time,Indiana,pts.away,score,pts.home,Philadelphia
0:43.0,,,33-22,,Turnover by E. Ilyasova (step out of bounds)
0:32.0,D. Collison misses 3-pt shot from 25 ft,,33-22,,
0:29.0,,,33-22,,Defensive rebound by J. Embiid
0:29.0,Loose ball foul by L. Stephenson (drawn by J. Embiid),,33-22,,
0:29.0,,,33-22,,J. Embiid misses free throw 1 of 2
0:29.0,,,33-22,,Offensive rebound by Team
0:29.0,,,33-23,1,J. Embiid makes free throw 2 of 2
0:05.0,D. Sabonis misses 2-pt shot from 4 ft,,33-23,,
0:01.0,Offensive rebound by T. Booker,,33-23,,
0:01.0,T. Booker misses 2-pt shot at rim,,33-23,,
0:00.0,,,33-23,,Defensive rebound by R. Covington
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Personal foul by D. Collison (drawn by J. Embiid),,33-23,,
11:35.0,,,33-23,,R. Covington misses 3-pt shot from 27 ft
11:32.0,Defensive rebound by T. Booker,,33-23,,
11:26.0,L. Stephenson makes 2-pt shot from 16 ft (assist by D. Sabonis),2,35-23,,
11:11.0,,,35-23,,Shooting foul by D. Sabonis (drawn by J. Embiid)
11:11.0,,,35-24,1,J. Embiid makes free throw 1 of 2
11:11.0,,,35-25,1,J. Embiid makes free throw 2 of 2
10:55.0,,,35-25,,Personal foul by J. Embiid (drawn by G. Robinson)
10:43.0,T. Booker misses 3-pt shot from 25 ft,,35-25,,
10:39.0,Offensive rebound by L. Stephenson,,35-25,,
10:37.0,L. Stephenson makes 2-pt shot from 2 ft,2,37-25,,
10:23.0,,,37-25,,Turnover by R. Covington (lost ball; steal by D. Sabonis)
10:16.0,L. Stephenson misses 3-pt shot from 25 ft,,37-25,,
10:15.0,Offensive rebound by T. Booker,,37-25,,
10:15.0,Turnover by T. Booker (out of bounds lost ball),,37-25,,
9:59.0,,,37-28,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by R. Covington)
9:46.0,,,37-28,,M. Belinelli enters the game for J. Redick
9:46.0,,,37-28,,D. Saric enters the game for E. Ilyasova
9:31.0,G. Robinson makes 2-pt shot from 1 ft (assist by D. Collison),2,39-28,,
9:25.0,,,39-28,,Shooting foul by T. Booker (drawn by D. Saric)
9:25.0,,,39-29,1,D. Saric makes free throw 1 of 2
9:25.0,,,39-30,1,D. Saric makes free throw 2 of 2
9:04.0,L. Stephenson misses 2-pt shot from 2 ft,,39-30,,
8:59.0,Offensive rebound by G. Robinson,,39-30,,
8:56.0,L. Stephenson makes 2-pt shot from 2 ft (assist by G. Robinson),2,41-30,,
8:56.0,,,41-30,,Philadelphia full timeout
8:56.0,,,41-30,,B. Simmons enters the game for T. McConnell
8:38.0,,,41-30,,M. Belinelli misses 3-pt shot from 24 ft
8:32.0,,,41-30,,Offensive rebound by M. Belinelli
8:24.0,,,41-30,,J. Embiid misses 3-pt shot from 25 ft
8:20.0,Defensive rebound by T. Booker,,41-30,,
8:12.0,T. Booker misses 3-pt shot from 27 ft,,41-30,,
8:10.0,,,41-30,,Defensive rebound by J. Embiid
7:57.0,,,41-30,,Turnover by D. Saric (bad pass; steal by D. Sabonis)
7:53.0,Shooting foul by B. Simmons (drawn by L. Stephenson),,41-30,,
7:53.0,L. Stephenson makes free throw 1 of 2,1,42-30,,
7:53.0,,,42-30,,A. Johnson enters the game for J. Embiid
7:53.0,B. Bogdanovic enters the game for G. Robinson,,42-30,,
7:53.0,L. Stephenson misses free throw 2 of 2,,42-30,,
7:50.0,,,42-30,,Defensive rebound by B. Simmons
7:40.0,,,42-32,2,D. Saric makes 2-pt shot from 16 ft (assist by B. Simmons)
7:19.0,B. Bogdanovic misses 3-pt shot from 26 ft,,42-32,,
7:17.0,Offensive rebound by Team,,42-32,,
7:17.0,,,42-32,,Loose ball foul by M. Belinelli (drawn by T. Booker)
7:12.0,D. Collison misses 3-pt shot from 25 ft,,42-32,,
7:08.0,,,42-32,,Defensive rebound by B. Simmons
7:03.0,,,42-35,3,M. Belinelli makes 3-pt shot from 25 ft (assist by B. Simmons)
6:51.0,,,42-35,,Personal foul by A. Johnson (drawn by D. Sabonis)
6:51.0,C. Joseph enters the game for D. Collison,,42-35,,
6:51.0,T. Young enters the game for T. Booker,,42-35,,
6:43.0,D. Sabonis misses 2-pt shot from 16 ft,,42-35,,
6:41.0,,,42-35,,Defensive rebound by M. Belinelli
6:31.0,,,42-35,,Shooting foul by D. Sabonis (drawn by D. Saric)
6:31.0,,,42-36,1,D. Saric makes free throw 1 of 2
6:31.0,V. Oladipo enters the game for L. Stephenson,,42-36,,
6:31.0,M. Turner enters the game for D. Sabonis,,42-36,,
6:31.0,,,42-36,,D. Saric misses free throw 2 of 2
6:28.0,Defensive rebound by B. Bogdanovic,,42-36,,
6:13.0,T. Young makes 2-pt shot from 8 ft (assist by B. Bogdanovic),2,44-36,,
6:05.0,,,44-39,3,D. Saric makes 3-pt shot from 26 ft (assist by B. Simmons)
5:46.0,M. Turner makes 2-pt shot from 19 ft (assist by V. Oladipo),2,46-39,,
5:27.0,,,46-42,3,R. Covington makes 3-pt shot from 26 ft (assist by M. Belinelli)
5:20.0,Indiana full timeout,,46-42,,
5:12.0,V. Oladipo misses 2-pt shot from 20 ft,,46-42,,
5:09.0,,,46-42,,Defensive rebound by B. Simmons
4:58.0,,,46-42,,M. Belinelli misses 3-pt shot from 25 ft
4:55.0,,,46-42,,Offensive rebound by D. Saric
4:51.0,,,46-44,2,B. Simmons makes 2-pt shot from 4 ft (assist by D. Saric)
4:36.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by T. Young),2,48-44,,
4:25.0,,,48-44,,R. Covington misses 3-pt shot from 25 ft
4:21.0,Defensive rebound by C. Joseph,,48-44,,
4:15.0,,,48-44,,Personal foul by B. Simmons (drawn by M. Turner)
4:15.0,M. Turner makes free throw 1 of 2,1,49-44,,
4:15.0,,,49-44,,T. McConnell enters the game for A. Johnson
4:15.0,,,49-44,,J. Redick enters the game for M. Belinelli
4:15.0,,,49-44,,E. Ilyasova enters the game for B. Simmons
4:15.0,M. Turner makes free throw 2 of 2,1,50-44,,
4:05.0,,,50-46,2,T. McConnell makes 2-pt shot from 5 ft
3:43.0,B. Bogdanovic misses 2-pt shot from 5 ft (block by R. Covington),,50-46,,
3:39.0,,,50-46,,Defensive rebound by T. McConnell
3:36.0,,,50-46,,Turnover by D. Saric (bad pass; steal by C. Joseph)
3:32.0,V. Oladipo makes 2-pt shot from 9 ft (assist by C. Joseph),2,52-46,,
3:10.0,,,52-46,,Turnover by D. Saric (turnover)
2:49.0,V. Oladipo misses 2-pt shot from 15 ft,,52-46,,
2:46.0,,,52-46,,Defensive rebound by J. Redick
2:36.0,Personal block foul by V. Oladipo (drawn by D. Saric),,52-46,,
2:36.0,,,52-46,,D. Saric misses free throw 1 of 2
2:36.0,,,52-46,,Offensive rebound by Team
2:36.0,,,52-46,,M. Belinelli enters the game for R. Covington
2:36.0,G. Robinson enters the game for B. Bogdanovic,,52-46,,
2:36.0,,,52-47,1,D. Saric makes free throw 2 of 2
2:19.0,V. Oladipo misses 2-pt shot from 2 ft,,52-47,,
2:17.0,,,52-47,,Defensive rebound by T. McConnell
2:14.0,,,52-47,,Turnover by D. Saric (bad pass; steal by G. Robinson)
2:10.0,Shooting foul by T. McConnell (drawn by C. Joseph),,52-47,,
2:10.0,C. Joseph makes free throw 1 of 2,1,53-47,,
2:10.0,,,53-47,,J. Embiid enters the game for D. Saric
2:10.0,D. Collison enters the game for V. Oladipo,,53-47,,
2:10.0,C. Joseph makes free throw 2 of 2,1,54-47,,
1:58.0,,,54-50,3,J. Redick makes 3-pt shot from 26 ft (assist by J. Embiid)
1:34.0,M. Turner makes 2-pt shot at rim (assist by C. Joseph),2,56-50,,
1:16.0,,,56-50,,J. Redick misses 2-pt shot from 20 ft
1:14.0,Defensive rebound by M. Turner,,56-50,,
0:59.0,M. Turner misses 3-pt shot from 25 ft,,56-50,,
0:55.0,,,56-50,,Defensive rebound by T. McConnell
0:48.0,,,56-50,,J. Embiid misses 2-pt shot from 5 ft
0:46.0,,,56-50,,Offensive rebound by J. Embiid
0:46.0,,,56-50,,J. Embiid misses 2-pt shot from 1 ft
0:46.0,Defensive rebound by C. Joseph,,56-50,,
0:43.0,Shooting foul by M. Belinelli (drawn by D. Collison),,56-50,,
0:43.0,D. Collison misses free throw 1 of 2,,56-50,,
0:43.0,Offensive rebound by Team,,56-50,,
0:43.0,,,56-50,,R. Covington enters the game for M. Belinelli
0:43.0,D. Collison makes free throw 2 of 2,1,57-50,,
0:35.0,,,57-50,,J. Embiid misses 3-pt shot from 25 ft
0:35.0,Defensive rebound by T. Young,,57-50,,
0:11.0,D. Collison misses 2-pt shot from 3 ft (block by R. Covington),,57-50,,
0:11.0,Offensive rebound by Team,,57-50,,
0:09.0,C. Joseph misses 2-pt shot from 15 ft,,57-50,,
0:06.0,,,57-50,,Defensive rebound by R. Covington
0:03.0,,,57-53,3,J. Redick makes 3-pt shot from 26 ft (assist by T. McConnell)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:53.0,Personal foul by M. Turner (drawn by J. Redick),,57-53,,
11:51.0,,,57-55,2,J. Redick makes 2-pt shot from 2 ft (assist by R. Covington)
11:39.0,V. Oladipo misses 3-pt shot from 24 ft,,57-55,,
11:36.0,,,57-55,,Defensive rebound by J. Embiid
11:30.0,,,57-55,,Turnover by J. Embiid (lost ball; steal by T. Young)
11:27.0,V. Oladipo makes 2-pt shot from 2 ft,2,59-55,,
11:27.0,Shooting foul by R. Covington (drawn by V. Oladipo),,59-55,,
11:27.0,V. Oladipo makes free throw 1 of 1,1,60-55,,
11:11.0,,,60-57,2,J. Embiid makes 2-pt shot from 14 ft
10:56.0,V. Oladipo makes 2-pt shot from 2 ft,2,62-57,,
10:50.0,,,62-57,,R. Covington misses 3-pt shot from 26 ft
10:50.0,Defensive rebound by T. Young,,62-57,,
10:36.0,V. Oladipo misses 2-pt shot from 6 ft,,62-57,,
10:34.0,Offensive rebound by T. Young,,62-57,,
10:34.0,T. Young misses 2-pt shot at rim,,62-57,,
10:34.0,Offensive rebound by T. Young,,62-57,,
10:34.0,T. Young makes 2-pt shot at rim,2,64-57,,
10:34.0,,,64-57,,Philadelphia full timeout
10:16.0,,,64-59,2,J. Embiid makes 2-pt shot from 1 ft (assist by D. Saric)
9:53.0,T. Young misses 3-pt shot from 24 ft,,64-59,,
9:50.0,,,64-59,,Defensive rebound by B. Simmons
9:41.0,,,64-59,,D. Saric misses 3-pt shot from 25 ft
9:38.0,Defensive rebound by T. Young,,64-59,,
9:32.0,V. Oladipo misses 2-pt shot from 3 ft (block by R. Covington),,64-59,,
9:32.0,,,64-59,,Defensive rebound by Team
9:10.0,,,64-59,,B. Simmons misses 2-pt shot from 6 ft
9:08.0,,,64-59,,Offensive rebound by B. Simmons
9:06.0,,,64-61,2,B. Simmons makes 2-pt shot from 1 ft
8:46.0,C. Joseph makes 2-pt shot from 18 ft,2,66-61,,
8:22.0,,,66-64,3,R. Covington makes 3-pt shot from 26 ft (assist by B. Simmons)
8:10.0,B. Bogdanovic misses 3-pt shot from 22 ft,,66-64,,
8:07.0,,,66-64,,Defensive rebound by B. Simmons
7:58.0,,,66-64,,D. Saric misses 3-pt shot from 24 ft
7:56.0,Defensive rebound by B. Bogdanovic,,66-64,,
7:54.0,,,66-64,,Personal block foul by R. Covington (drawn by V. Oladipo)
7:54.0,,,66-64,,M. Belinelli enters the game for J. Redick
7:43.0,V. Oladipo misses 3-pt shot from 25 ft,,66-64,,
7:40.0,Offensive rebound by M. Turner,,66-64,,
7:35.0,C. Joseph misses 2-pt shot from 5 ft,,66-64,,
7:34.0,Offensive rebound by M. Turner,,66-64,,
7:33.0,M. Turner makes 2-pt shot from 2 ft,2,68-64,,
7:33.0,Shooting foul by J. Embiid (drawn by M. Turner),,68-64,,
7:33.0,,,68-64,,A. Johnson enters the game for J. Embiid
7:33.0,M. Turner makes free throw 1 of 1,1,69-64,,
7:16.0,,,69-64,,B. Simmons misses 2-pt shot from 9 ft
7:11.0,,,69-64,,Offensive rebound by A. Johnson
7:05.0,,,69-64,,B. Simmons misses 2-pt shot from 4 ft
7:05.0,Defensive rebound by V. Oladipo,,69-64,,
6:58.0,B. Bogdanovic misses 3-pt shot from 24 ft,,69-64,,
6:55.0,,,69-64,,Defensive rebound by A. Johnson
6:50.0,,,69-66,2,R. Covington makes 2-pt shot from 20 ft (assist by B. Simmons)
6:50.0,,,69-66,,Shooting foul by V. Oladipo (drawn by R. Covington)
6:50.0,,,69-66,,R. Covington misses free throw 1 of 1
6:46.0,Defensive rebound by T. Young,,69-66,,
6:28.0,T. Young makes 2-pt shot from 1 ft,2,71-66,,
6:17.0,,,71-66,,Shooting foul by T. Young (drawn by D. Saric)
6:17.0,,,71-67,1,D. Saric makes free throw 1 of 2
6:17.0,,,71-68,1,D. Saric makes free throw 2 of 2
6:03.0,,,71-68,,Def 3 sec tech foul by A. Johnson
6:03.0,B. Bogdanovic misses technical free throw,,71-68,,
6:03.0,Offensive rebound by Team,,71-68,,
5:49.0,V. Oladipo misses 3-pt shot from 25 ft,,71-68,,
5:49.0,Offensive rebound by Team,,71-68,,
5:49.0,Turnover by Team (shot clock),,71-68,,
5:49.0,,,71-68,,T. McConnell enters the game for R. Covington
5:32.0,,,71-71,3,D. Saric makes 3-pt shot from 25 ft (assist by B. Simmons)
5:12.0,T. Young makes 2-pt shot from 8 ft (assist by B. Bogdanovic),2,73-71,,
4:49.0,,,73-71,,M. Belinelli misses 3-pt shot from 25 ft
4:47.0,Defensive rebound by B. Bogdanovic,,73-71,,
4:36.0,T. Young makes 2-pt shot from 5 ft,2,75-71,,
4:18.0,,,75-71,,Turnover by A. Johnson (lost ball; steal by C. Joseph)
4:13.0,T. Young makes 2-pt shot from 1 ft (assist by C. Joseph),2,77-71,,
4:13.0,Shooting foul by A. Johnson (drawn by T. Young),,77-71,,
4:13.0,,,77-71,,J. Embiid enters the game for A. Johnson
4:13.0,,,77-71,,E. Ilyasova enters the game for D. Saric
4:13.0,,,77-71,,J. Redick enters the game for B. Simmons
4:13.0,L. Stephenson enters the game for B. Bogdanovic,,77-71,,
4:13.0,T. Young makes free throw 1 of 1,1,78-71,,
4:02.0,,,78-71,,Turnover by M. Belinelli (bad pass; steal by C. Joseph)
3:55.0,L. Stephenson misses 3-pt shot from 25 ft,,78-71,,
3:52.0,,,78-71,,Defensive rebound by J. Redick
3:42.0,,,78-71,,M. Belinelli misses 3-pt shot from 25 ft
3:40.0,Defensive rebound by M. Turner,,78-71,,
3:36.0,C. Joseph makes 2-pt shot from 2 ft (assist by L. Stephenson),2,80-71,,
3:17.0,Personal foul by M. Turner (drawn by J. Embiid),,80-71,,
3:17.0,D. Sabonis enters the game for T. Young,,80-71,,
3:09.0,,,80-71,,E. Ilyasova misses 3-pt shot from 25 ft
3:06.0,Defensive rebound by M. Turner,,80-71,,
2:52.0,Offensive charge foul by M. Turner (drawn by E. Ilyasova),,80-71,,
2:52.0,Turnover by M. Turner (offensive foul),,80-71,,
2:52.0,Indiana full timeout,,80-71,,
2:52.0,T. Booker enters the game for M. Turner,,80-71,,
2:41.0,,,80-73,2,J. Embiid makes 2-pt shot from 2 ft
2:34.0,Turnover by C. Joseph (bad pass; steal by E. Ilyasova),,80-73,,
2:31.0,,,80-73,,Offensive charge foul by J. Embiid (drawn by C. Joseph)
2:31.0,,,80-73,,Turnover by J. Embiid (offensive foul)
2:31.0,,,80-73,,R. Covington enters the game for M. Belinelli
2:31.0,D. Collison enters the game for V. Oladipo,,80-73,,
2:14.0,L. Stephenson misses 2-pt shot from 11 ft,,80-73,,
2:11.0,,,80-73,,Defensive rebound by R. Covington
1:59.0,,,80-73,,J. Redick misses 2-pt shot from 23 ft
1:57.0,Defensive rebound by L. Stephenson,,80-73,,
1:51.0,Indiana full timeout,,80-73,,
1:51.0,A. Jefferson enters the game for D. Sabonis,,80-73,,
1:51.0,,,80-73,,M. Belinelli enters the game for J. Redick
1:40.0,D. Collison misses 2-pt shot from 16 ft,,80-73,,
1:38.0,,,80-73,,Defensive rebound by R. Covington
1:25.0,,,80-73,,J. Embiid misses 2-pt shot from 4 ft (block by A. Jefferson)
1:24.0,,,80-73,,Offensive rebound by J. Embiid
1:24.0,Personal foul by A. Jefferson (drawn by J. Embiid),,80-73,,
1:24.0,,,80-74,1,J. Embiid makes free throw 1 of 2
1:24.0,,,80-75,1,J. Embiid makes free throw 2 of 2
1:12.0,A. Jefferson misses 2-pt shot from 18 ft,,80-75,,
1:09.0,,,80-75,,Defensive rebound by R. Covington
0:57.0,,,80-77,2,J. Embiid makes 2-pt shot from 1 ft
0:44.0,L. Stephenson makes 2-pt shot from 6 ft,2,82-77,,
0:44.0,,,82-77,,Technical foul by J. Embiid
0:44.0,D. Collison makes technical free throw,1,83-77,,
0:36.0,Personal foul by A. Jefferson (drawn by J. Embiid),,83-77,,
0:36.0,,,83-78,1,J. Embiid makes free throw 1 of 2
0:36.0,,,83-79,1,J. Embiid makes free throw 2 of 2
0:29.0,L. Stephenson misses 2-pt shot from 18 ft,,83-79,,
0:27.0,,,83-79,,Defensive rebound by R. Covington
0:09.0,,,83-79,,T. McConnell misses 2-pt shot from 13 ft
0:05.0,Defensive rebound by L. Stephenson,,83-79,,
0:01.0,Turnover by L. Stephenson (bad pass; steal by E. Ilyasova),,83-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,C. Joseph misses 3-pt shot from 25 ft,,83-79,,
11:34.0,,,83-79,,Defensive rebound by R. Covington
11:15.0,,,83-79,,J. Embiid misses 2-pt shot from 17 ft
11:13.0,Defensive rebound by L. Stephenson,,83-79,,
11:03.0,A. Jefferson misses 2-pt shot from 7 ft,,83-79,,
11:02.0,,,83-79,,Defensive rebound by J. Embiid
10:41.0,,,83-81,2,J. Embiid makes 2-pt shot from 10 ft
10:20.0,,,83-81,,Personal foul by T. McConnell (drawn by D. Collison)
10:20.0,V. Oladipo enters the game for C. Joseph,,83-81,,
10:14.0,V. Oladipo misses 2-pt shot from 17 ft,,83-81,,
10:11.0,,,83-81,,Defensive rebound by J. Embiid
10:03.0,,,83-81,,J. Embiid misses 3-pt shot from 26 ft
9:59.0,Defensive rebound by T. Booker,,83-81,,
9:48.0,A. Jefferson misses 2-pt shot from 16 ft,,83-81,,
9:45.0,,,83-81,,Defensive rebound by J. Embiid
9:34.0,,,83-81,,Turnover by J. Embiid (lost ball; steal by A. Jefferson)
9:15.0,Shooting foul by R. Covington (drawn by V. Oladipo),,83-81,,
9:15.0,V. Oladipo misses free throw 1 of 2,,83-81,,
9:15.0,Offensive rebound by Team,,83-81,,
9:15.0,,,83-81,,B. Simmons enters the game for T. McConnell
9:15.0,,,83-81,,D. Saric enters the game for J. Embiid
9:15.0,V. Oladipo makes free throw 2 of 2,1,84-81,,
9:04.0,,,84-81,,D. Saric misses 2-pt shot from 15 ft
9:02.0,Defensive rebound by D. Collison,,84-81,,
8:53.0,M. Turner enters the game for A. Jefferson,,84-81,,
8:51.0,M. Turner makes 2-pt shot from 2 ft (assist by L. Stephenson),2,86-81,,
8:31.0,,,86-81,,R. Covington misses 3-pt shot from 26 ft
8:28.0,Defensive rebound by D. Collison,,86-81,,
8:20.0,M. Turner misses 3-pt shot from 25 ft,,86-81,,
8:17.0,,,86-81,,Defensive rebound by B. Simmons
8:09.0,,,86-81,,D. Saric misses 3-pt shot from 25 ft
8:01.0,,,86-81,,Offensive rebound by R. Covington
8:01.0,,,86-83,2,R. Covington makes 2-pt shot at rim
7:46.0,D. Collison makes 2-pt shot from 16 ft,2,88-83,,
7:34.0,,,88-83,,Turnover by B. Simmons (bad pass; steal by D. Collison)
7:28.0,D. Collison makes 2-pt shot from 16 ft,2,90-83,,
7:27.0,,,90-83,,Philadelphia full timeout
7:27.0,,,90-83,,J. Redick enters the game for R. Covington
7:27.0,T. Young enters the game for T. Booker,,90-83,,
7:17.0,,,90-85,2,E. Ilyasova makes 2-pt shot from 21 ft (assist by J. Redick)
6:55.0,Offensive charge foul by L. Stephenson (drawn by E. Ilyasova),,90-85,,
6:55.0,Turnover by L. Stephenson (offensive foul),,90-85,,
6:43.0,,,90-85,,Offensive foul by E. Ilyasova (drawn by V. Oladipo)
6:43.0,,,90-85,,Turnover by E. Ilyasova (offensive foul)
6:29.0,V. Oladipo misses 2-pt shot from 14 ft,,90-85,,
