time,Philadelphia,pts.away,score,pts.home,Orlando
6:24.0,D. Saric misses 2-pt shot from 4 ft (block by W. Iwundu),,12-11,,
6:24.0,,,12-11,,Defensive rebound by Team
6:09.0,,,12-14,3,N. Vucevic makes 3-pt shot from 26 ft (assist by A. Gordon)
5:58.0,,,12-14,,Personal foul by W. Iwundu (drawn by R. Covington)
5:56.0,M. Belinelli makes 2-pt shot from 2 ft (assist by R. Covington),2,14-14,,
5:44.0,,,14-14,,D. Augustin misses 3-pt shot from 27 ft
5:40.0,Defensive rebound by D. Saric,,14-14,,
5:33.0,M. Belinelli makes 2-pt shot from 21 ft,2,16-14,,
5:13.0,,,16-14,,A. Gordon misses 3-pt shot from 26 ft
5:10.0,Defensive rebound by D. Saric,,16-14,,
4:59.0,D. Saric misses 2-pt shot from 22 ft,,16-14,,
4:56.0,,,16-14,,Defensive rebound by N. Vucevic
4:48.0,,,16-16,2,W. Iwundu makes 2-pt shot at rim (assist by D. Augustin)
4:38.0,Turnover by B. Simmons (traveling),,16-16,,
4:38.0,E. Ilyasova enters the game for D. Saric,,16-16,,
4:38.0,J. Anderson enters the game for R. Covington,,16-16,,
4:19.0,,,16-16,,W. Iwundu misses 3-pt shot from 27 ft
4:18.0,Defensive rebound by B. Simmons,,16-16,,
4:12.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by M. Belinelli),2,18-16,,
3:56.0,,,18-16,,Turnover by D. Augustin (bad pass)
3:56.0,,,18-16,,B. Biyombo enters the game for N. Vucevic
3:56.0,,,18-16,,A. Afflalo enters the game for W. Iwundu
3:56.0,T. McConnell enters the game for B. Simmons,,18-16,,
3:40.0,M. Belinelli makes 2-pt shot from 20 ft (assist by J. Anderson),2,20-16,,
3:28.0,,,20-18,2,D. Augustin makes 2-pt shot from 2 ft
3:17.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by T. McConnell),3,23-18,,
3:00.0,,,23-18,,A. Gordon misses 2-pt shot at rim
2:58.0,Defensive rebound by T. McConnell,,23-18,,
2:51.0,T. McConnell makes 2-pt shot from 8 ft,2,25-18,,
2:29.0,,,25-20,2,B. Biyombo makes 2-pt shot from 1 ft (assist by A. Gordon)
2:29.0,Philadelphia full timeout,,25-20,,
2:29.0,,,25-20,,S. Mack enters the game for D. Augustin
2:29.0,J. Redick enters the game for A. Johnson,,25-20,,
2:29.0,J. Embiid enters the game for M. Belinelli,,25-20,,
2:16.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by J. Embiid),2,27-20,,
2:02.0,,,27-20,,Shooting foul by J. Embiid (drawn by B. Biyombo)
2:02.0,,,27-21,1,B. Biyombo makes free throw 1 of 2
2:02.0,,,27-21,,B. Biyombo misses free throw 2 of 2
2:00.0,,,27-21,,Offensive rebound by A. Gordon
1:58.0,,,27-21,,A. Afflalo misses 3-pt shot from 25 ft
1:56.0,Defensive rebound by Team,,27-21,,
1:40.0,J. Anderson makes 3-pt shot from 25 ft (assist by J. Embiid),3,30-21,,
1:23.0,,,30-21,,A. Gordon misses 3-pt shot from 25 ft
1:19.0,Defensive rebound by J. Embiid,,30-21,,
1:15.0,,,30-21,,Personal foul by S. Mack (drawn by E. Ilyasova)
0:59.0,T. McConnell misses 2-pt shot from 19 ft,,30-21,,
0:59.0,Offensive rebound by Team,,30-21,,
0:58.0,Turnover by Team (shot clock),,30-21,,
0:47.0,,,30-23,2,B. Biyombo makes 2-pt shot from 1 ft (assist by M. Hezonja)
0:33.0,J. Embiid makes 2-pt shot at rim (assist by J. Redick),2,32-23,,
0:07.0,,,32-23,,A. Afflalo misses 3-pt shot from 22 ft
0:05.0,Defensive rebound by J. Embiid,,32-23,,
0:00.0,J. Redick misses 3-pt shot from 25 ft,,32-23,,
0:00.0,Offensive rebound by Team,,32-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,32-23,,S. Mack misses 3-pt shot from 28 ft
11:35.0,Defensive rebound by Team,,32-23,,
11:22.0,J. Embiid makes 2-pt shot at rim,2,34-23,,
11:22.0,Shooting foul by K. Birch (drawn by J. Embiid),,34-23,,
11:22.0,J. Embiid makes free throw 1 of 1,1,35-23,,
11:12.0,,,35-25,2,K. Birch makes 2-pt shot from 1 ft (assist by S. Mack)
10:51.0,J. Redick misses 3-pt shot from 23 ft,,35-25,,
10:48.0,,,35-25,,Defensive rebound by K. Birch
10:44.0,,,35-28,3,R. Purvis makes 3-pt shot from 25 ft (assist by K. Birch)
10:24.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by J. Redick),3,38-28,,
10:04.0,,,38-30,2,A. Afflalo makes 2-pt shot from 16 ft (assist by S. Mack)
9:58.0,E. Ilyasova misses 2-pt shot from 16 ft,,38-30,,
9:55.0,Offensive rebound by J. Anderson,,38-30,,
9:55.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by J. Anderson),2,40-30,,
9:55.0,Shooting foul by A. Afflalo (drawn by E. Ilyasova),,40-30,,
9:55.0,E. Ilyasova makes free throw 1 of 1,1,41-30,,
9:40.0,,,41-30,,S. Mack misses 2-pt shot from 5 ft
9:37.0,Defensive rebound by J. Embiid,,41-30,,
9:36.0,J. Embiid makes 2-pt shot at rim (assist by T. McConnell),2,43-30,,
9:36.0,Shooting foul by R. Purvis (drawn by J. Embiid),,43-30,,
9:36.0,,,43-30,,Orlando full timeout
9:36.0,R. Covington enters the game for J. Anderson,,43-30,,
9:36.0,D. Saric enters the game for E. Ilyasova,,43-30,,
9:36.0,J. Embiid makes free throw 1 of 1,1,44-30,,
9:26.0,B. Simmons enters the game for T. McConnell,,44-30,,
9:26.0,M. Belinelli enters the game for J. Redick,,44-30,,
9:15.0,,,44-33,3,A. Afflalo makes 3-pt shot from 26 ft (assist by S. Mack)
8:55.0,Shooting foul by K. Birch (drawn by D. Saric),,44-33,,
8:55.0,D. Saric makes free throw 1 of 2,1,45-33,,
8:55.0,A. Johnson enters the game for J. Embiid,,45-33,,
8:55.0,D. Saric misses free throw 2 of 2,,45-33,,
8:55.0,,,45-33,,Defensive rebound by Team
8:45.0,,,45-33,,R. Purvis misses 3-pt shot from 26 ft
8:42.0,Defensive rebound by B. Simmons,,45-33,,
8:38.0,R. Covington misses 3-pt shot from 25 ft,,45-33,,
8:37.0,Offensive rebound by A. Johnson,,45-33,,
8:37.0,A. Johnson misses 2-pt shot at rim,,45-33,,
8:36.0,Offensive rebound by A. Johnson,,45-33,,
8:34.0,A. Johnson makes 2-pt shot at rim,2,47-33,,
8:15.0,,,47-33,,A. Afflalo misses 3-pt shot from 23 ft
8:14.0,,,47-33,,Offensive rebound by Team
8:14.0,,,47-33,,N. Vucevic enters the game for B. Biyombo
8:12.0,,,47-35,2,R. Purvis makes 2-pt shot from 15 ft (assist by A. Afflalo)
8:10.0,Philadelphia full timeout,,47-35,,
7:53.0,Turnover by R. Covington (bad pass),,47-35,,
7:30.0,,,47-35,,N. Vucevic misses 2-pt shot from 9 ft
7:28.0,Defensive rebound by A. Johnson,,47-35,,
7:22.0,D. Saric makes 2-pt shot from 4 ft (assist by B. Simmons),2,49-35,,
7:08.0,,,49-35,,Turnover by N. Vucevic (bad pass)
6:55.0,,,49-35,,Personal foul by R. Purvis (drawn by M. Belinelli)
6:55.0,M. Belinelli makes free throw 1 of 2,1,50-35,,
6:55.0,M. Belinelli makes free throw 2 of 2,1,51-35,,
6:46.0,,,51-37,2,S. Mack makes 2-pt shot from 11 ft
6:30.0,Turnover by M. Belinelli (bad pass; steal by A. Afflalo),,51-37,,
6:27.0,,,51-37,,Turnover by A. Afflalo (bad pass; steal by M. Belinelli)
6:23.0,R. Covington misses 2-pt shot from 16 ft,,51-37,,
6:20.0,,,51-37,,Defensive rebound by N. Vucevic
6:15.0,,,51-39,2,R. Purvis makes 2-pt shot from 18 ft
6:05.0,D. Saric makes 3-pt shot from 25 ft (assist by B. Simmons),3,54-39,,
5:50.0,,,54-39,,N. Vucevic misses 2-pt shot from 11 ft
5:50.0,Defensive rebound by D. Saric,,54-39,,
5:33.0,A. Johnson misses 3-pt shot from 23 ft,,54-39,,
5:30.0,Offensive rebound by D. Saric,,54-39,,
5:28.0,B. Simmons misses 2-pt shot from 3 ft,,54-39,,
5:25.0,Offensive rebound by M. Belinelli,,54-39,,
5:23.0,M. Belinelli misses 2-pt shot from 18 ft,,54-39,,
5:17.0,,,54-39,,Defensive rebound by A. Afflalo
5:07.0,,,54-39,,S. Mack misses 3-pt shot from 25 ft
5:04.0,Defensive rebound by B. Simmons,,54-39,,
5:00.0,B. Simmons makes 2-pt shot at rim,2,56-39,,
5:00.0,,,56-39,,Orlando full timeout
5:00.0,,,56-39,,B. Biyombo enters the game for A. Afflalo
5:00.0,,,56-39,,D. Augustin enters the game for S. Mack
5:00.0,,,56-39,,M. Hezonja enters the game for R. Purvis
5:00.0,,,56-39,,W. Iwundu enters the game for K. Birch
5:00.0,,,56-39,,A. Gordon enters the game for N. Vucevic
5:00.0,E. Ilyasova enters the game for A. Johnson,,56-39,,
4:38.0,,,56-41,2,W. Iwundu makes 2-pt shot from 8 ft
4:15.0,M. Belinelli misses 3-pt shot from 25 ft,,56-41,,
4:12.0,,,56-41,,Defensive rebound by A. Gordon
4:03.0,Personal foul by D. Saric (drawn by A. Gordon),,56-41,,
3:57.0,,,56-41,,D. Augustin misses 2-pt shot at rim
3:54.0,Defensive rebound by R. Covington,,56-41,,
3:49.0,M. Belinelli misses 3-pt shot from 22 ft,,56-41,,
3:45.0,,,56-41,,Defensive rebound by B. Biyombo
3:38.0,,,56-43,2,M. Hezonja makes 2-pt shot at rim
3:20.0,M. Belinelli misses 2-pt shot from 2 ft (block by A. Gordon),,56-43,,
3:16.0,,,56-43,,Defensive rebound by W. Iwundu
3:14.0,,,56-43,,Turnover by W. Iwundu (bad pass; steal by D. Saric)
3:14.0,,,56-43,,Personal foul by W. Iwundu (drawn by D. Saric)
3:14.0,D. Saric makes free throw 1 of 2,1,57-43,,
3:14.0,J. Redick enters the game for M. Belinelli,,57-43,,
3:14.0,J. Embiid enters the game for E. Ilyasova,,57-43,,
3:14.0,D. Saric makes free throw 2 of 2,1,58-43,,
2:59.0,,,58-45,2,M. Hezonja makes 2-pt shot from 13 ft
2:37.0,J. Embiid misses 2-pt shot from 16 ft,,58-45,,
2:33.0,,,58-45,,Defensive rebound by M. Hezonja
2:20.0,,,58-47,2,B. Biyombo makes 2-pt shot from 6 ft (assist by D. Augustin)
2:00.0,R. Covington misses 3-pt shot from 27 ft,,58-47,,
1:56.0,,,58-47,,Defensive rebound by A. Gordon
1:53.0,,,58-47,,D. Augustin misses 3-pt shot from 25 ft
1:48.0,Defensive rebound by D. Saric,,58-47,,
1:43.0,J. Embiid makes 2-pt shot at rim (assist by B. Simmons),2,60-47,,
1:21.0,,,60-47,,Turnover by A. Gordon (bad pass; steal by R. Covington)
1:21.0,,,60-47,,Personal foul by B. Biyombo (drawn by R. Covington)
1:21.0,R. Covington makes clear path free throw 1 of 2,1,61-47,,
1:21.0,R. Covington makes clear path free throw 2 of 2,1,62-47,,
1:21.0,,,62-47,,N. Vucevic enters the game for A. Gordon
1:21.0,,,62-47,,A. Afflalo enters the game for M. Hezonja
1:21.0,,,62-47,,K. Birch enters the game for B. Biyombo
1:21.0,E. Ilyasova enters the game for D. Saric,,62-47,,
1:13.0,,,62-47,,Personal foul by N. Vucevic (drawn by J. Redick)
1:13.0,,,62-47,,Turnover by N. Vucevic (turnover)
1:13.0,J. Redick makes free throw 1 of 2,1,63-47,,
1:13.0,J. Redick makes free throw 2 of 2,1,64-47,,
0:54.0,,,64-47,,N. Vucevic misses 2-pt shot from 12 ft
0:52.0,Defensive rebound by E. Ilyasova,,64-47,,
0:52.0,J. Redick makes technical free throw,1,65-47,,
0:35.0,J. Redick makes 2-pt shot from 18 ft,2,67-47,,
0:26.0,,,67-47,,D. Augustin misses 2-pt shot from 8 ft
0:26.0,Defensive rebound by B. Simmons,,67-47,,
0:19.0,E. Ilyasova misses 2-pt shot from 1 ft,,67-47,,
0:19.0,Offensive rebound by J. Embiid,,67-47,,
0:16.0,J. Embiid makes 3-pt shot from 25 ft,3,70-47,,
0:05.0,Personal foul by B. Simmons (drawn by D. Augustin),,70-47,,
0:01.0,,,70-47,,Shooting foul by R. Covington (drawn by A. Afflalo)
0:01.0,,,70-48,1,A. Afflalo makes free throw 1 of 2
0:01.0,,,70-49,1,A. Afflalo makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,70-49,,M. Hezonja misses 3-pt shot from 27 ft
11:36.0,Defensive rebound by D. Saric,,70-49,,
11:22.0,Turnover by J. Embiid (lost ball; steal by N. Vucevic),,70-49,,
11:11.0,,,70-49,,D. Augustin misses 2-pt shot from 5 ft (block by J. Embiid)
11:02.0,Defensive rebound by D. Saric,,70-49,,
10:59.0,R. Covington makes 3-pt shot from 26 ft (assist by B. Simmons),3,73-49,,
10:39.0,,,73-49,,Shooting foul by J. Embiid (drawn by D. Augustin)
10:39.0,,,73-50,1,D. Augustin makes free throw 1 of 2
10:39.0,,,73-50,,D. Augustin misses free throw 2 of 2
10:36.0,Defensive rebound by J. Embiid,,73-50,,
10:28.0,Shooting foul by D. Augustin (drawn by J. Redick),,73-50,,
10:28.0,J. Redick makes free throw 1 of 2,1,74-50,,
10:28.0,J. Redick makes free throw 2 of 2,1,75-50,,
10:10.0,,,75-52,2,A. Gordon makes 2-pt shot from 2 ft (assist by M. Hezonja)
9:58.0,J. Embiid misses 2-pt shot from 17 ft,,75-52,,
9:56.0,,,75-52,,Defensive rebound by M. Hezonja
9:51.0,,,75-52,,A. Gordon misses 2-pt shot from 1 ft
9:48.0,Defensive rebound by R. Covington,,75-52,,
9:43.0,R. Covington makes 3-pt shot from 25 ft (assist by B. Simmons),3,78-52,,
9:24.0,,,78-52,,N. Vucevic misses 2-pt shot from 15 ft
9:22.0,Defensive rebound by B. Simmons,,78-52,,
9:16.0,J. Embiid misses 3-pt shot from 26 ft,,78-52,,
9:11.0,,,78-52,,Defensive rebound by D. Augustin
9:10.0,,,78-52,,Shooting foul by B. Simmons (drawn by M. Hezonja)
9:10.0,,,78-53,1,M. Hezonja makes free throw 1 of 2
9:10.0,,,78-54,1,M. Hezonja makes free throw 2 of 2
8:50.0,J. Redick misses 3-pt shot from 25 ft,,78-54,,
8:47.0,,,78-54,,Defensive rebound by A. Gordon
8:40.0,,,78-54,,Turnover by M. Hezonja (bad pass; steal by B. Simmons)
8:36.0,B. Simmons makes 2-pt shot at rim,2,80-54,,
8:19.0,,,80-54,,Turnover by M. Hezonja (bad pass; steal by J. Embiid)
8:13.0,Turnover by B. Simmons (bad pass; steal by A. Gordon),,80-54,,
8:07.0,,,80-54,,A. Gordon misses 2-pt shot from 16 ft
8:03.0,Defensive rebound by J. Embiid,,80-54,,
7:56.0,J. Redick makes 3-pt shot from 26 ft,3,83-54,,
7:36.0,,,83-54,,A. Gordon misses 3-pt shot from 25 ft
7:33.0,Defensive rebound by R. Covington,,83-54,,
7:20.0,Shooting foul by N. Vucevic (drawn by J. Embiid),,83-54,,
7:20.0,J. Embiid makes free throw 1 of 2,1,84-54,,
7:20.0,M. Belinelli enters the game for J. Redick,,84-54,,
7:20.0,J. Embiid makes free throw 2 of 2,1,85-54,,
7:03.0,,,85-54,,A. Gordon misses 2-pt shot from 16 ft
7:00.0,Defensive rebound by D. Saric,,85-54,,
6:53.0,Turnover by B. Simmons (bad pass; steal by A. Gordon),,85-54,,
6:47.0,,,85-54,,A. Gordon misses 3-pt shot from 23 ft
6:44.0,Defensive rebound by J. Embiid,,85-54,,
6:38.0,Turnover by D. Saric (lost ball; steal by W. Iwundu),,85-54,,
6:29.0,,,85-54,,M. Hezonja misses 3-pt shot from 22 ft
6:24.0,Defensive rebound by B. Simmons,,85-54,,
6:16.0,J. Embiid misses 3-pt shot from 26 ft,,85-54,,
6:13.0,Offensive rebound by D. Saric,,85-54,,
6:10.0,D. Saric misses 2-pt shot from 2 ft,,85-54,,
6:07.0,,,85-54,,Defensive rebound by N. Vucevic
6:01.0,,,85-54,,D. Augustin misses 3-pt shot from 25 ft (block by B. Simmons)
5:56.0,,,85-54,,Offensive rebound by D. Augustin
5:55.0,,,85-54,,M. Hezonja misses 3-pt shot from 26 ft
5:52.0,Defensive rebound by B. Simmons,,85-54,,
5:51.0,Philadelphia full timeout,,85-54,,
5:51.0,E. Ilyasova enters the game for D. Saric,,85-54,,
5:51.0,A. Johnson enters the game for J. Embiid,,85-54,,
5:48.0,,,85-54,,Personal foul by A. Gordon (drawn by B. Simmons)
5:37.0,Shooting foul by M. Hezonja (drawn by B. Simmons),,85-54,,
5:37.0,B. Simmons misses free throw 1 of 2,,85-54,,
5:37.0,Offensive rebound by Team,,85-54,,
5:37.0,B. Simmons misses free throw 2 of 2,,85-54,,
5:35.0,,,85-54,,Defensive rebound by A. Gordon
5:14.0,,,85-54,,M. Hezonja misses 2-pt shot from 11 ft (block by R. Covington)
5:13.0,,,85-54,,Offensive rebound by Team
5:13.0,,,85-54,,Turnover by Team (shot clock)
5:04.0,Turnover by B. Simmons (bad pass),,85-54,,
4:40.0,,,85-54,,W. Iwundu misses 2-pt shot from 7 ft
4:36.0,Defensive rebound by A. Johnson,,85-54,,
4:29.0,R. Covington misses 2-pt shot from 21 ft,,85-54,,
4:25.0,,,85-54,,Defensive rebound by W. Iwundu
4:22.0,,,85-54,,N. Vucevic misses 3-pt shot from 26 ft
4:18.0,Defensive rebound by B. Simmons,,85-54,,
4:14.0,M. Belinelli makes 3-pt shot from 27 ft (assist by B. Simmons),3,88-54,,
3:56.0,,,88-54,,M. Hezonja misses 2-pt shot from 21 ft
3:54.0,,,88-54,,Offensive rebound by N. Vucevic
3:46.0,,,88-57,3,M. Hezonja makes 3-pt shot from 26 ft (assist by W. Iwundu)
3:35.0,R. Covington makes 3-pt shot from 27 ft (assist by B. Simmons),3,91-57,,
3:10.0,,,91-57,,N. Vucevic misses 2-pt shot from 8 ft
3:07.0,Defensive rebound by B. Simmons,,91-57,,
2:58.0,Shooting foul by N. Vucevic (drawn by M. Belinelli),,91-57,,
2:58.0,,,91-57,,Orlando full timeout
2:58.0,,,91-57,,A. Afflalo enters the game for M. Hezonja
2:58.0,,,91-57,,B. Biyombo enters the game for N. Vucevic
2:58.0,,,91-57,,R. Purvis enters the game for W. Iwundu
2:58.0,J. Anderson enters the game for B. Simmons,,91-57,,
2:58.0,T. McConnell enters the game for R. Covington,,91-57,,
2:58.0,M. Belinelli makes free throw 1 of 2,1,92-57,,
2:58.0,M. Belinelli misses free throw 2 of 2,,92-57,,
2:55.0,,,92-57,,Defensive rebound by A. Gordon
2:43.0,,,92-60,3,D. Augustin makes 3-pt shot from 22 ft (assist by A. Afflalo)
2:28.0,M. Belinelli makes 3-pt shot from 27 ft (assist by T. McConnell),3,95-60,,
2:07.0,,,95-60,,A. Gordon misses 2-pt shot from 2 ft
2:05.0,Defensive rebound by E. Ilyasova,,95-60,,
2:04.0,Turnover by E. Ilyasova (bad pass; steal by A. Afflalo),,95-60,,
1:53.0,,,95-63,3,A. Gordon makes 3-pt shot from 23 ft (assist by D. Augustin)
1:30.0,Turnover by J. Anderson (traveling),,95-63,,
1:18.0,,,95-63,,A. Gordon misses 2-pt shot from 16 ft
1:16.0,Defensive rebound by T. McConnell,,95-63,,
1:09.0,M. Belinelli misses 3-pt shot from 23 ft,,95-63,,
1:06.0,,,95-63,,Defensive rebound by A. Gordon
0:52.0,Personal foul by E. Ilyasova (drawn by B. Biyombo),,95-63,,
0:41.0,,,95-63,,Shooting foul by A. Johnson (drawn by B. Biyombo)
0:41.0,,,95-64,1,B. Biyombo makes free throw 1 of 2
0:41.0,,,95-64,,S. Mack enters the game for D. Augustin
0:41.0,,,95-65,1,B. Biyombo makes free throw 2 of 2
0:25.0,Turnover by T. McConnell (traveling),,95-65,,
0:02.0,,,95-65,,S. Mack misses 2-pt shot from 15 ft
0:01.0,,,95-65,,Offensive rebound by Team
0:01.0,,,95-65,,Turnover by Team (shot clock)
0:00.0,A. Johnson misses 3-pt shot from 48 ft,,95-65,,
0:00.0,Offensive rebound by Team,,95-65,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,J. Anderson misses 2-pt shot from 22 ft,,95-65,,
11:35.0,,,95-65,,Defensive rebound by B. Biyombo
11:24.0,,,95-68,3,R. Purvis makes 3-pt shot from 26 ft (assist by J. Artis)
11:01.0,Turnover by T. McConnell (lost ball; steal by S. Mack),,95-68,,
10:57.0,,,95-70,2,R. Purvis makes 2-pt shot from 1 ft (assist by S. Mack)
10:57.0,Philadelphia full timeout,,95-70,,
10:48.0,Turnover by T. McConnell (bad pass; steal by S. Mack),,95-70,,
10:42.0,,,95-72,2,B. Biyombo makes 2-pt shot from 1 ft (assist by S. Mack)
10:30.0,T. McConnell misses 2-pt shot from 1 ft,,95-72,,
10:25.0,Offensive rebound by R. Holmes,,95-72,,
10:25.0,R. Holmes misses 2-pt shot at rim,,95-72,,
10:24.0,,,95-72,,Defensive rebound by K. Birch
10:12.0,,,95-72,,R. Purvis misses 2-pt shot from 19 ft
10:10.0,,,95-72,,Offensive rebound by S. Mack
10:07.0,,,95-72,,S. Mack misses 2-pt shot from 9 ft (block by R. Holmes)
10:06.0,,,95-72,,B. Biyombo misses 2-pt shot from 2 ft (block by M. Belinelli)
10:06.0,,,95-72,,Offensive rebound by B. Biyombo
10:04.0,Defensive rebound by R. Holmes,,95-72,,
9:53.0,J. Anderson misses 3-pt shot from 26 ft,,95-72,,
9:50.0,,,95-72,,Defensive rebound by J. Artis
9:43.0,,,95-72,,J. Artis misses 2-pt shot from 8 ft
9:41.0,,,95-72,,Offensive rebound by B. Biyombo
9:41.0,,,95-72,,Shooting foul by R. Holmes (drawn by B. Biyombo)
9:41.0,,,95-72,,B. Biyombo misses free throw 1 of 2
9:41.0,,,95-72,,Offensive rebound by Team
9:41.0,E. Ilyasova enters the game for J. Anderson,,95-72,,
9:41.0,,,95-72,,B. Biyombo misses free throw 2 of 2
9:38.0,Defensive rebound by R. Holmes,,95-72,,
9:20.0,Turnover by E. Ilyasova (lost ball; steal by S. Mack),,95-72,,
9:12.0,,,95-72,,B. Biyombo misses 2-pt shot from 2 ft
9:09.0,Defensive rebound by E. Ilyasova,,95-72,,
9:02.0,E. Ilyasova misses 3-pt shot from 26 ft,,95-72,,
8:59.0,,,95-72,,Defensive rebound by B. Biyombo
8:51.0,,,95-72,,Shooting foul by T. McConnell (drawn by S. Mack)
8:51.0,,,95-72,,S. Mack misses free throw 1 of 2
8:51.0,,,95-72,,Offensive rebound by Team
8:51.0,,,95-73,1,S. Mack makes free throw 2 of 2
8:42.0,,,95-73,,Personal foul by J. Artis (drawn by F. Korkmaz)
8:30.0,E. Ilyasova misses 2-pt shot from 2 ft,,95-73,,
8:27.0,,,95-73,,Defensive rebound by B. Biyombo
8:24.0,,,95-73,,R. Purvis misses 3-pt shot from 26 ft
8:20.0,Defensive rebound by T. McConnell,,95-73,,
8:15.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by F. Korkmaz),2,97-73,,
7:53.0,,,97-75,2,B. Biyombo makes 2-pt shot from 9 ft
7:39.0,F. Korkmaz misses 3-pt shot from 27 ft,,97-75,,
7:36.0,,,97-75,,Defensive rebound by S. Mack
7:31.0,,,97-75,,S. Mack misses 2-pt shot from 7 ft
7:27.0,Defensive rebound by R. Holmes,,97-75,,
7:15.0,Turnover by F. Korkmaz (lost ball; steal by S. Mack),,97-75,,
7:11.0,,,97-77,2,R. Purvis makes 2-pt shot from 1 ft (assist by S. Mack)
7:11.0,Philadelphia full timeout,,97-77,,
7:11.0,,,97-77,,M. Speights enters the game for S. Mack
7:11.0,,,97-77,,W. Iwundu enters the game for B. Biyombo
7:11.0,D. Jackson enters the game for M. Belinelli,,97-77,,
7:00.0,R. Holmes misses 2-pt shot from 18 ft,,97-77,,
6:56.0,,,97-77,,Defensive rebound by W. Iwundu
