time,Atlanta,pts.away,score,pts.home,Philadelphia
1:01.0,,,22-31,,Defensive rebound by J. Embiid
0:52.0,,,22-34,3,T. Luwawu-Cabarrot makes 3-pt shot from 23 ft (assist by J. Embiid)
0:40.0,M. Belinelli misses 3-pt shot from 25 ft,,22-34,,
0:37.0,,,22-34,,Defensive rebound by B. Simmons
0:33.0,,,22-34,,J. Redick misses 3-pt shot from 25 ft
0:30.0,Defensive rebound by I. Taylor,,22-34,,
0:24.0,Turnover by M. Delaney (bad pass; steal by B. Simmons),,22-34,,
0:20.0,,,22-34,,Turnover by T. Luwawu-Cabarrot (lost ball; steal by M. Delaney)
0:18.0,M. Delaney makes 3-pt shot from 23 ft,3,25-34,,
0:01.0,,,25-34,,D. Saric misses 2-pt shot from 16 ft
0:01.0,,,25-34,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,25-34,,J. Bayless misses 3-pt shot from 25 ft
11:37.0,,,25-34,,Offensive rebound by J. Bayless
11:33.0,,,25-34,,T. Luwawu-Cabarrot misses 3-pt shot from 26 ft
11:33.0,,,25-34,,Offensive rebound by D. Saric
11:29.0,,,25-34,,D. Saric misses 2-pt shot from 2 ft (block by D. Dedmon)
11:29.0,Defensive rebound by L. Babbitt,,25-34,,
11:18.0,L. Babbitt makes 3-pt shot from 25 ft (assist by M. Belinelli),3,28-34,,
10:55.0,,,28-37,3,T. Luwawu-Cabarrot makes 3-pt shot from 25 ft (assist by J. Bayless)
10:35.0,,,28-37,,Personal foul by J. Bayless (drawn by M. Delaney)
10:35.0,,,28-37,,T. McConnell enters the game for D. Saric
10:29.0,Offensive foul by D. Dedmon (drawn by T. Luwawu-Cabarrot),,28-37,,
10:29.0,Turnover by D. Dedmon (offensive foul),,28-37,,
10:18.0,,,28-37,,Offensive charge foul by T. Luwawu-Cabarrot (drawn by M. Delaney)
10:18.0,,,28-37,,Turnover by T. Luwawu-Cabarrot (offensive foul)
10:08.0,M. Belinelli misses 3-pt shot from 25 ft,,28-37,,
10:06.0,D. Dedmon makes 2-pt shot from 2 ft,2,30-37,,
10:06.0,Shooting foul by J. Embiid (drawn by D. Dedmon),,30-37,,
10:06.0,D. Dedmon makes free throw 1 of 1,1,31-37,,
10:05.0,Offensive rebound by D. Dedmon,,31-37,,
9:57.0,,,31-37,,B. Simmons misses 2-pt shot from 7 ft
9:55.0,Defensive rebound by M. Delaney,,31-37,,
9:40.0,I. Taylor misses 2-pt shot from 1 ft,,31-37,,
9:39.0,,,31-37,,Defensive rebound by T. McConnell
9:22.0,,,31-37,,Turnover by J. Embiid (lost ball; steal by M. Delaney)
9:20.0,Offensive foul by I. Taylor (drawn by T. McConnell),,31-37,,
9:20.0,Turnover by I. Taylor (offensive foul),,31-37,,
9:20.0,T. Waller-Prince enters the game for M. Belinelli,,31-37,,
9:20.0,,,31-37,,A. Johnson enters the game for T. Luwawu-Cabarrot
9:20.0,,,31-37,,R. Covington enters the game for J. Embiid
9:12.0,,,31-37,,B. Simmons misses 2-pt shot from 2 ft
9:11.0,,,31-37,,Offensive rebound by B. Simmons
9:11.0,,,31-37,,Turnover by B. Simmons (traveling)
8:56.0,I. Taylor makes 2-pt shot from 2 ft (assist by T. Waller-Prince),2,33-37,,
8:42.0,,,33-37,,Shooting foul by D. Dedmon (drawn by R. Covington)
8:42.0,,,33-38,1,R. Covington makes free throw 1 of 2
8:42.0,,,33-39,1,R. Covington makes free throw 2 of 2
8:24.0,L. Babbitt misses 2-pt shot from 6 ft,,33-39,,
8:20.0,Offensive rebound by D. Dedmon,,33-39,,
8:19.0,D. Dedmon makes 2-pt shot from 1 ft,2,35-39,,
8:09.0,,,35-39,,R. Covington misses 2-pt shot from 8 ft
8:09.0,Defensive rebound by D. Dedmon,,35-39,,
8:02.0,I. Taylor makes 2-pt shot from 2 ft,2,37-39,,
7:53.0,,,37-42,3,R. Covington makes 3-pt shot from 25 ft (assist by B. Simmons)
7:39.0,,,37-42,,Personal foul by A. Johnson (drawn by T. Waller-Prince)
7:39.0,,,37-42,,J. Redick enters the game for B. Simmons
7:21.0,T. Waller-Prince misses 2-pt shot from 9 ft,,37-42,,
7:18.0,,,37-42,,Defensive rebound by T. McConnell
7:13.0,,,37-44,2,T. McConnell makes 2-pt shot from 12 ft
7:08.0,D. Schroder enters the game for I. Taylor,,37-44,,
7:08.0,M. Delaney makes 2-pt shot from 1 ft (assist by D. Schroder),2,39-44,,
7:08.0,Shooting foul by J. Redick (drawn by M. Delaney),,39-44,,
7:08.0,M. Delaney makes free throw 1 of 1,1,40-44,,
6:56.0,,,40-46,2,A. Johnson makes 2-pt shot from 2 ft (assist by J. Redick)
6:44.0,D. Dedmon makes 2-pt shot from 8 ft (assist by M. Delaney),2,42-46,,
6:31.0,,,42-46,,J. Bayless misses 3-pt shot from 22 ft
6:28.0,Defensive rebound by L. Babbitt,,42-46,,
6:16.0,M. Delaney makes 2-pt shot from 12 ft,2,44-46,,
5:54.0,,,44-48,2,J. Redick makes 2-pt shot from 21 ft (assist by T. McConnell)
5:47.0,Atlanta full timeout,,44-48,,
5:39.0,D. Dedmon misses 2-pt shot from 5 ft,,44-48,,
5:36.0,,,44-48,,Defensive rebound by A. Johnson
5:21.0,,,44-50,2,J. Bayless makes 2-pt shot from 17 ft (assist by A. Johnson)
4:56.0,Shooting foul by A. Johnson (drawn by D. Dedmon),,44-50,,
4:56.0,D. Dedmon misses free throw 1 of 2,,44-50,,
4:56.0,Offensive rebound by Team,,44-50,,
4:56.0,,,44-50,,J. Embiid enters the game for A. Johnson
4:56.0,M. Belinelli enters the game for M. Delaney,,44-50,,
4:56.0,K. Bazemore enters the game for L. Babbitt,,44-50,,
4:56.0,D. Dedmon makes free throw 2 of 2,1,45-50,,
4:45.0,,,45-50,,Turnover by J. Embiid (out of bounds lost ball)
4:45.0,J. Collins enters the game for D. Dedmon,,45-50,,
4:35.0,D. Schroder misses 2-pt shot from 2 ft (block by J. Embiid),,45-50,,
4:30.0,Offensive rebound by J. Collins,,45-50,,
4:30.0,J. Collins misses 2-pt shot from 2 ft,,45-50,,
4:28.0,,,45-50,,Defensive rebound by J. Embiid
4:25.0,Personal foul by J. Collins (drawn by J. Embiid),,45-50,,
4:22.0,,,45-52,2,J. Bayless makes 2-pt shot from 2 ft (assist by J. Redick)
4:07.0,Turnover by D. Schroder (bad pass; steal by R. Covington),,45-52,,
4:02.0,,,45-52,,Turnover by R. Covington (bad pass; steal by K. Bazemore)
4:00.0,Shooting foul by J. Embiid (drawn by K. Bazemore),,45-52,,
4:00.0,K. Bazemore misses free throw 1 of 2,,45-52,,
4:00.0,Offensive rebound by Team,,45-52,,
4:00.0,K. Bazemore makes free throw 2 of 2,1,46-52,,
3:51.0,,,46-52,,J. Bayless misses 3-pt shot from 23 ft
3:47.0,Defensive rebound by D. Schroder,,46-52,,
3:43.0,M. Belinelli misses 3-pt shot from 24 ft,,46-52,,
3:38.0,Offensive rebound by J. Collins,,46-52,,
3:37.0,J. Collins misses 2-pt shot from 1 ft,,46-52,,
3:37.0,,,46-52,,Defensive rebound by J. Embiid
3:23.0,,,46-52,,R. Covington misses 3-pt shot from 25 ft
3:19.0,,,46-52,,Offensive rebound by J. Embiid
3:10.0,,,46-55,3,R. Covington makes 3-pt shot from 25 ft (assist by J. Embiid)
2:43.0,M. Belinelli misses 2-pt shot from 20 ft,,46-55,,
2:43.0,,,46-55,,Defensive rebound by R. Covington
2:30.0,,,46-55,,J. Embiid misses 3-pt shot from 26 ft
2:30.0,Defensive rebound by T. Waller-Prince,,46-55,,
2:26.0,D. Schroder makes 2-pt shot from 1 ft,2,48-55,,
2:26.0,,,48-55,,Philadelphia full timeout
2:26.0,,,48-55,,T. Luwawu-Cabarrot enters the game for J. Bayless
2:26.0,,,48-55,,B. Simmons enters the game for T. McConnell
2:16.0,,,48-57,2,J. Embiid makes 2-pt shot from 2 ft (assist by T. Luwawu-Cabarrot)
2:02.0,D. Schroder makes 2-pt shot from 1 ft,2,50-57,,
1:54.0,Personal take foul by K. Bazemore (drawn by B. Simmons),,50-57,,
1:43.0,,,50-57,,Turnover by B. Simmons (bad pass; steal by K. Bazemore)
1:40.0,T. Waller-Prince makes 2-pt shot from 2 ft (assist by K. Bazemore),2,52-57,,
1:23.0,,,52-57,,R. Covington misses 3-pt shot from 25 ft
1:20.0,Defensive rebound by K. Bazemore,,52-57,,
1:16.0,Shooting foul by J. Redick (drawn by J. Collins),,52-57,,
1:16.0,J. Collins misses free throw 1 of 2,,52-57,,
1:16.0,Offensive rebound by Team,,52-57,,
1:16.0,,,52-57,,A. Johnson enters the game for J. Redick
1:16.0,,,52-57,,J. Bayless enters the game for J. Embiid
1:16.0,J. Collins makes free throw 2 of 2,1,53-57,,
1:08.0,,,53-57,,B. Simmons misses 2-pt shot from 2 ft
1:06.0,,,53-57,,Offensive rebound by A. Johnson
1:06.0,M. Muscala enters the game for J. Collins,,53-57,,
1:05.0,,,53-57,,Loose ball foul by A. Johnson (drawn by K. Bazemore)
1:05.0,,,53-57,,Turnover by A. Johnson (turnover)
1:05.0,K. Bazemore makes free throw 1 of 2,1,54-57,,
1:05.0,K. Bazemore makes free throw 2 of 2,1,55-57,,
0:54.0,,,55-57,,T. Luwawu-Cabarrot misses 3-pt shot from 24 ft
0:52.0,Defensive rebound by K. Bazemore,,55-57,,
0:45.0,D. Schroder makes 2-pt shot from 4 ft,2,57-57,,
0:35.0,,,57-57,,Turnover by T. Luwawu-Cabarrot (bad pass; steal by K. Bazemore)
0:30.0,Turnover by K. Bazemore (bad pass; steal by J. Bayless),,57-57,,
0:23.0,,,57-59,2,A. Johnson makes 2-pt shot from 6 ft (assist by T. Luwawu-Cabarrot)
0:05.0,T. Waller-Prince misses 3-pt shot from 24 ft,,57-59,,
0:02.0,Offensive rebound by M. Belinelli,,57-59,,
0:02.0,M. Belinelli misses 3-pt shot from 25 ft,,57-59,,
0:02.0,,,57-59,,Defensive rebound by B. Simmons
0:00.0,,,57-59,,B. Simmons misses 3-pt shot from 86 ft
0:00.0,,,57-59,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,57-59,,Turnover by J. Redick (bad pass; steal by K. Bazemore)
11:34.0,D. Dedmon makes 2-pt shot at rim (assist by K. Bazemore),2,59-59,,
11:13.0,,,59-59,,D. Saric misses 3-pt shot from 23 ft
11:12.0,,,59-59,,Offensive rebound by Team
11:12.0,Loose ball foul by K. Bazemore (drawn by J. Embiid),,59-59,,
11:00.0,,,59-61,2,J. Embiid makes 2-pt shot from 11 ft
10:44.0,T. Waller-Prince misses 2-pt shot from 13 ft,,59-61,,
10:44.0,,,59-61,,Defensive rebound by J. Embiid
10:36.0,,,59-61,,R. Covington misses 3-pt shot from 26 ft
10:34.0,Defensive rebound by D. Dedmon,,59-61,,
10:25.0,D. Schroder makes 2-pt shot from 16 ft,2,61-61,,
10:13.0,Personal foul by D. Dedmon (drawn by J. Embiid),,61-61,,
10:10.0,,,61-61,,R. Covington misses 2-pt shot from 3 ft
10:07.0,Defensive rebound by T. Waller-Prince,,61-61,,
10:01.0,D. Dedmon misses 2-pt shot from 17 ft,,61-61,,
9:57.0,,,61-61,,Defensive rebound by D. Saric
9:55.0,Personal foul by D. Dedmon (drawn by J. Embiid),,61-61,,
9:55.0,L. Babbitt enters the game for D. Dedmon,,61-61,,
9:49.0,,,61-63,2,B. Simmons makes 2-pt shot from 6 ft
9:39.0,D. Schroder makes 2-pt shot from 5 ft,2,63-63,,
9:39.0,Shooting foul by B. Simmons (drawn by D. Schroder),,63-63,,
9:39.0,D. Schroder makes free throw 1 of 1,1,64-63,,
9:24.0,,,64-66,3,R. Covington makes 3-pt shot from 26 ft (assist by J. Embiid)
9:12.0,T. Waller-Prince makes 2-pt shot from 1 ft,2,66-66,,
9:04.0,,,66-66,,J. Redick misses 3-pt shot from 25 ft
9:00.0,Defensive rebound by T. Waller-Prince,,66-66,,
8:53.0,D. Schroder makes 3-pt shot from 25 ft (assist by T. Waller-Prince),3,69-66,,
8:37.0,,,69-66,,J. Redick misses 3-pt shot from 23 ft
8:34.0,Defensive rebound by K. Bazemore,,69-66,,
8:30.0,Shooting foul by J. Embiid (drawn by T. Waller-Prince),,69-66,,
8:30.0,T. Waller-Prince misses free throw 1 of 2,,69-66,,
8:30.0,Offensive rebound by Team,,69-66,,
8:30.0,T. Waller-Prince makes free throw 2 of 2,1,70-66,,
8:15.0,,,70-66,,Turnover by D. Saric (lost ball; steal by L. Babbitt)
8:04.0,Turnover by T. Waller-Prince (lost ball; steal by R. Covington),,70-66,,
8:04.0,Personal foul by D. Schroder (drawn by D. Saric),,70-66,,
8:04.0,,,70-66,,T. McConnell enters the game for D. Saric
8:04.0,,,70-66,,A. Johnson enters the game for J. Embiid
7:45.0,,,70-66,,Turnover by T. McConnell (bad pass; steal by M. Muscala)
7:42.0,L. Babbitt makes 2-pt shot from 3 ft (assist by K. Bazemore),2,72-66,,
7:42.0,,,72-66,,Philadelphia full timeout
7:42.0,,,72-66,,J. Bayless enters the game for J. Redick
7:32.0,,,72-66,,T. McConnell misses 2-pt shot from 7 ft
7:30.0,Defensive rebound by T. Waller-Prince,,72-66,,
7:25.0,Shooting foul by J. Bayless (drawn by T. Waller-Prince),,72-66,,
7:25.0,T. Waller-Prince misses free throw 1 of 2,,72-66,,
7:25.0,Offensive rebound by Team,,72-66,,
7:25.0,T. Waller-Prince makes free throw 2 of 2,1,73-66,,
7:16.0,,,73-68,2,B. Simmons makes 2-pt shot from 7 ft (assist by T. McConnell)
7:04.0,T. Waller-Prince misses 2-pt shot from 9 ft,,73-68,,
7:00.0,,,73-68,,Defensive rebound by B. Simmons
6:55.0,Personal foul by L. Babbitt (drawn by J. Bayless),,73-68,,
6:55.0,,,73-69,1,J. Bayless makes free throw 1 of 2
6:55.0,M. Belinelli enters the game for T. Waller-Prince,,73-69,,
6:55.0,,,73-70,1,J. Bayless makes free throw 2 of 2
6:44.0,,,73-70,,Personal foul by A. Johnson (drawn by D. Schroder)
6:36.0,L. Babbitt makes 2-pt shot from 15 ft (assist by M. Belinelli),2,75-70,,
6:26.0,,,75-73,3,R. Covington makes 3-pt shot from 26 ft (assist by B. Simmons)
6:09.0,D. Schroder misses 2-pt shot from 3 ft,,75-73,,
6:07.0,,,75-73,,Defensive rebound by R. Covington
6:03.0,,,75-73,,Shooting foul by K. Bazemore (drawn by A. Johnson)
6:03.0,,,75-73,,A. Johnson misses free throw 1 of 2
6:03.0,,,75-73,,Offensive rebound by Team
6:03.0,Atlanta full timeout,,75-73,,
6:03.0,,,75-73,,A. Johnson misses free throw 2 of 2
6:00.0,,,75-73,,Offensive rebound by B. Simmons
5:59.0,Personal foul by K. Bazemore (drawn by B. Simmons),,75-73,,
5:59.0,,,75-73,,B. Simmons misses free throw 1 of 2
5:59.0,,,75-73,,Offensive rebound by Team
5:59.0,,,75-74,1,B. Simmons makes free throw 2 of 2
5:46.0,Turnover by D. Schroder (lost ball; steal by T. McConnell),,75-74,,
5:34.0,,,75-74,,Offensive charge foul by R. Covington (drawn by K. Bazemore)
5:34.0,,,75-74,,Turnover by R. Covington (offensive foul)
5:34.0,I. Taylor enters the game for K. Bazemore,,75-74,,
5:17.0,L. Babbitt makes 2-pt shot from 3 ft (assist by M. Belinelli),2,77-74,,
5:05.0,,,77-76,2,A. Johnson makes 2-pt shot from 8 ft (assist by B. Simmons)
4:55.0,M. Belinelli makes 3-pt shot from 25 ft (assist by I. Taylor),3,80-76,,
4:44.0,,,80-78,2,B. Simmons makes 2-pt shot from 4 ft (assist by T. McConnell)
4:41.0,,,80-78,,Personal foul by R. Covington (drawn by M. Belinelli)
4:41.0,M. Belinelli misses free throw 1 of 2,,80-78,,
4:41.0,Offensive rebound by Team,,80-78,,
4:41.0,,,80-78,,J. Redick enters the game for J. Bayless
4:41.0,,,80-78,,T. Luwawu-Cabarrot enters the game for R. Covington
4:41.0,M. Belinelli makes free throw 2 of 2,1,81-78,,
4:32.0,,,81-78,,B. Simmons misses 2-pt shot from 6 ft
4:29.0,,,81-78,,Offensive rebound by B. Simmons
4:28.0,,,81-80,2,B. Simmons makes 2-pt shot from 4 ft
4:22.0,Shooting foul by T. McConnell (drawn by D. Schroder),,81-80,,
4:22.0,D. Schroder makes free throw 1 of 2,1,82-80,,
4:22.0,D. Schroder makes free throw 2 of 2,1,83-80,,
4:21.0,Away from play foul by I. Taylor (drawn by B. Simmons),,83-80,,
4:21.0,T. Waller-Prince enters the game for D. Schroder,,83-80,,
4:21.0,,,83-81,1,B. Simmons makes free throw 1 of 2
4:21.0,,,83-81,,B. Simmons misses free throw 2 of 2
4:08.0,Defensive rebound by T. Waller-Prince,,83-81,,
4:07.0,T. Waller-Prince misses 2-pt shot from 16 ft,,83-81,,
4:03.0,,,83-81,,Defensive rebound by T. McConnell
4:01.0,,,83-81,,J. Redick misses 2-pt shot from 16 ft
4:01.0,,,83-81,,Offensive rebound by T. Luwawu-Cabarrot
3:45.0,,,83-81,,J. Redick misses 3-pt shot from 26 ft
3:45.0,,,83-81,,Offensive rebound by A. Johnson
3:45.0,,,83-81,,Shooting foul by M. Muscala (drawn by A. Johnson)
3:45.0,,,83-82,1,A. Johnson makes free throw 1 of 2
3:45.0,J. Collins enters the game for M. Muscala,,83-82,,
3:45.0,,,83-82,,D. Saric enters the game for B. Simmons
3:45.0,,,83-83,1,A. Johnson makes free throw 2 of 2
3:29.0,I. Taylor makes 2-pt shot from 5 ft,2,85-83,,
3:21.0,,,85-83,,T. McConnell misses 2-pt shot from 14 ft
3:18.0,,,85-83,,Offensive rebound by A. Johnson
3:16.0,,,85-85,2,T. McConnell makes 2-pt shot from 6 ft (assist by A. Johnson)
3:00.0,T. Waller-Prince misses 3-pt shot from 26 ft,,85-85,,
3:00.0,,,85-85,,Defensive rebound by A. Johnson
2:51.0,,,85-87,2,A. Johnson makes 2-pt shot at rim (assist by J. Redick)
2:50.0,Atlanta full timeout,,85-87,,
2:50.0,,,85-87,,J. Embiid enters the game for A. Johnson
2:40.0,Offensive foul by J. Collins (drawn by T. McConnell),,85-87,,
2:40.0,Turnover by J. Collins (offensive foul),,85-87,,
2:35.0,Personal foul by I. Taylor (drawn by J. Redick),,85-87,,
2:35.0,Turnover by I. Taylor (turnover),,85-87,,
2:35.0,,,85-87,,J. Redick misses free throw 1 of 2
2:35.0,,,85-87,,Offensive rebound by Team
2:35.0,,,85-88,1,J. Redick makes free throw 2 of 2
2:27.0,T. Waller-Prince misses 2-pt shot from 5 ft,,85-88,,
2:22.0,Offensive rebound by J. Collins,,85-88,,
2:22.0,J. Collins misses 2-pt shot at rim,,85-88,,
2:21.0,,,85-88,,Defensive rebound by T. McConnell
2:20.0,,,85-88,,Turnover by T. McConnell (bad pass; steal by I. Taylor)
2:14.0,L. Babbitt makes 3-pt shot from 26 ft (assist by M. Belinelli),3,88-88,,
1:57.0,Personal foul by J. Collins (drawn by J. Embiid),,88-88,,
1:57.0,,,88-89,1,J. Embiid makes free throw 1 of 2
1:57.0,,,88-89,,J. Embiid misses free throw 2 of 2
1:55.0,Defensive rebound by L. Babbitt,,88-89,,
1:50.0,Turnover by I. Taylor (palming),,88-89,,
1:37.0,,,88-89,,J. Redick misses 2-pt shot from 18 ft
1:34.0,,,88-89,,Offensive rebound by D. Saric
1:32.0,,,88-89,,T. Luwawu-Cabarrot misses 3-pt shot from 26 ft
1:32.0,Defensive rebound by J. Collins,,88-89,,
1:17.0,T. Waller-Prince misses 2-pt shot from 4 ft (block by J. Embiid),,88-89,,
1:17.0,Offensive rebound by Team,,88-89,,
1:11.0,L. Babbitt misses 3-pt shot from 26 ft,,88-89,,
1:07.0,Offensive rebound by J. Collins,,88-89,,
1:00.0,T. Waller-Prince makes 3-pt shot from 25 ft (assist by J. Collins),3,91-89,,
0:50.0,,,91-89,,J. Redick misses 2-pt shot from 19 ft
0:46.0,Defensive rebound by T. Waller-Prince,,91-89,,
0:39.0,L. Babbitt misses 2-pt shot from 5 ft (block by J. Embiid),,91-89,,
0:38.0,Offensive rebound by J. Collins,,91-89,,
0:34.0,L. Babbitt misses 2-pt shot from 15 ft,,91-89,,
0:32.0,,,91-89,,Defensive rebound by T. Luwawu-Cabarrot
0:27.0,,,91-89,,Shooting foul by T. Waller-Prince (drawn by D. Saric)
0:27.0,,,91-90,1,D. Saric makes free throw 1 of 2
