time,Phoenix,pts.away,score,pts.home,Orlando
1:35.0,J. Dudley enters the game for D. Bender,,18-24,,
1:35.0,A. Len makes free throw 2 of 2,1,19-24,,
1:12.0,,,19-24,,D. Augustin misses 3-pt shot from 24 ft
1:08.0,,,19-24,,Offensive rebound by K. Birch
1:08.0,,,19-24,,Turnover by K. Birch (traveling)
0:48.0,T. Ulis makes 2-pt shot from 12 ft,2,21-24,,
0:39.0,,,21-26,2,N. Vucevic makes 2-pt shot from 1 ft (assist by D. Augustin)
0:39.0,Violation by J. Jackson (def goaltending),,21-26,,
0:30.0,T. Ulis misses 3-pt shot from 25 ft,,21-26,,
0:27.0,,,21-26,,Defensive rebound by K. Birch
0:08.0,,,21-26,,S. Mack misses 2-pt shot from 2 ft
0:05.0,,,21-26,,Offensive rebound by N. Vucevic
0:05.0,,,21-26,,N. Vucevic misses 2-pt shot from 1 ft
0:05.0,Defensive rebound by Team,,21-26,,
0:02.0,T. Daniels misses 3-pt shot from 26 ft,,21-26,,
0:02.0,Offensive rebound by A. Len,,21-26,,
0:00.0,A. Len makes 2-pt shot at rim,2,23-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,T. Daniels misses 3-pt shot from 22 ft,,23-26,,
11:47.0,,,23-26,,Defensive rebound by R. Purvis
11:30.0,,,23-26,,Shooting foul by T. Ulis (drawn by S. Mack)
11:30.0,,,23-27,1,S. Mack makes free throw 1 of 2
11:30.0,,,23-27,,S. Mack misses free throw 2 of 2
11:27.0,Defensive rebound by D. Reed,,23-27,,
11:05.0,A. Len makes 2-pt shot from 11 ft (assist by D. Reed),2,25-27,,
10:45.0,,,25-27,,B. Biyombo misses 2-pt shot from 2 ft
10:42.0,Defensive rebound by A. Len,,25-27,,
10:26.0,Shooting foul by K. Birch (drawn by A. Len),,25-27,,
10:26.0,A. Len misses free throw 1 of 2,,25-27,,
10:26.0,Offensive rebound by Team,,25-27,,
10:26.0,A. Len makes free throw 2 of 2,1,26-27,,
10:11.0,,,26-27,,Shooting foul by J. Dudley (drawn by B. Biyombo)
10:11.0,,,26-28,1,B. Biyombo makes free throw 1 of 2
10:11.0,,,26-29,1,B. Biyombo makes free throw 2 of 2
10:01.0,T. Daniels misses 3-pt shot from 25 ft,,26-29,,
10:01.0,Offensive rebound by Team,,26-29,,
10:01.0,,,26-29,,Loose ball foul by R. Purvis (drawn by A. Len)
9:52.0,T. Ulis makes 2-pt shot from 8 ft,2,28-29,,
9:30.0,,,28-29,,K. Birch misses 2-pt shot from 16 ft
9:26.0,,,28-29,,Offensive rebound by B. Biyombo
9:25.0,,,28-29,,Turnover by B. Biyombo (lost ball; steal by D. Reed)
9:20.0,D. Reed misses 2-pt shot from 1 ft (block by B. Biyombo),,28-29,,
9:15.0,,,28-29,,Defensive rebound by A. Afflalo
9:08.0,,,28-29,,B. Biyombo misses 2-pt shot from 13 ft
9:05.0,Defensive rebound by J. Dudley,,28-29,,
8:59.0,J. Jackson enters the game for T. Daniels,,28-29,,
8:59.0,Turnover by A. Len (out of bounds lost ball),,28-29,,
8:59.0,,,28-29,,J. Artis enters the game for K. Birch
8:32.0,,,28-29,,Turnover by B. Biyombo (lost ball; steal by D. Reed)
8:12.0,A. Len makes 2-pt shot at rim (assist by T. Ulis),2,30-29,,
7:56.0,,,30-29,,R. Purvis misses 2-pt shot from 17 ft
7:53.0,Defensive rebound by J. Jackson,,30-29,,
7:47.0,J. Jackson misses 2-pt shot from 11 ft,,30-29,,
7:44.0,,,30-29,,Defensive rebound by J. Artis
7:38.0,Personal foul by T. Ulis (drawn by S. Mack),,30-29,,
7:38.0,D. Bender enters the game for J. Dudley,,30-29,,
7:38.0,E. Payton enters the game for T. Ulis,,30-29,,
7:38.0,M. Chriss enters the game for A. Len,,30-29,,
7:32.0,,,30-29,,S. Mack misses 2-pt shot from 10 ft
7:29.0,Defensive rebound by E. Payton,,30-29,,
7:24.0,M. Chriss makes 2-pt shot from 2 ft (assist by E. Payton),2,32-29,,
7:24.0,,,32-29,,Orlando full timeout
7:02.0,,,32-29,,S. Mack misses 2-pt shot from 21 ft
6:59.0,,,32-29,,Offensive rebound by J. Artis
6:54.0,,,32-29,,R. Purvis misses 2-pt shot from 12 ft
6:52.0,Defensive rebound by D. Reed,,32-29,,
6:36.0,E. Payton makes 2-pt shot from 11 ft,2,34-29,,
6:20.0,,,34-29,,J. Artis misses 3-pt shot from 25 ft
6:19.0,,,34-29,,Offensive rebound by Team
6:19.0,,,34-29,,A. Gordon enters the game for A. Afflalo
6:19.0,,,34-29,,M. Hezonja enters the game for R. Purvis
6:08.0,,,34-29,,Turnover by A. Gordon (bad pass; steal by E. Payton)
5:59.0,J. Jackson makes 2-pt shot from 3 ft (assist by E. Payton),2,36-29,,
5:59.0,,,36-29,,Orlando full timeout
5:59.0,,,36-29,,N. Vucevic enters the game for B. Biyombo
5:44.0,,,36-29,,Turnover by N. Vucevic (bad pass; steal by D. Reed)
5:40.0,Turnover by M. Chriss (bad pass),,36-29,,
5:20.0,,,36-29,,Turnover by A. Gordon (lost ball; steal by J. Jackson)
5:09.0,D. Bender misses 2-pt shot from 2 ft (block by M. Hezonja),,36-29,,
5:09.0,,,36-29,,Defensive rebound by M. Hezonja
4:57.0,,,36-32,3,S. Mack makes 3-pt shot from 26 ft (assist by A. Gordon)
4:38.0,Shooting foul by J. Artis (drawn by M. Chriss),,36-32,,
4:38.0,M. Chriss makes free throw 1 of 2,1,37-32,,
4:38.0,M. Chriss makes free throw 2 of 2,1,38-32,,
4:26.0,,,38-32,,Shooting foul by J. Jackson (drawn by M. Hezonja)
4:26.0,,,38-32,,M. Hezonja misses free throw 1 of 2
4:26.0,,,38-32,,Offensive rebound by Team
4:26.0,,,38-32,,W. Iwundu enters the game for J. Artis
4:26.0,,,38-32,,D. Augustin enters the game for S. Mack
4:26.0,,,38-32,,M. Hezonja misses free throw 2 of 2
4:23.0,,,38-32,,Offensive rebound by N. Vucevic
4:17.0,,,38-32,,D. Augustin misses 3-pt shot from 25 ft
4:17.0,,,38-32,,Offensive rebound by Team
4:17.0,Loose ball foul by E. Payton (drawn by M. Hezonja),,38-32,,
4:17.0,,,38-33,1,M. Hezonja makes free throw 1 of 2
4:17.0,,,38-34,1,M. Hezonja makes free throw 2 of 2
4:00.0,E. Payton misses 2-pt shot from 20 ft,,38-34,,
3:57.0,,,38-34,,Defensive rebound by M. Hezonja
3:42.0,,,38-34,,A. Gordon misses 2-pt shot from 7 ft
3:38.0,Defensive rebound by D. Reed,,38-34,,
3:29.0,D. Reed misses 2-pt shot from 20 ft,,38-34,,
3:27.0,,,38-34,,Defensive rebound by W. Iwundu
3:14.0,,,38-34,,N. Vucevic misses 3-pt shot from 24 ft
3:12.0,Defensive rebound by Team,,38-34,,
3:12.0,T. Daniels enters the game for D. Reed,,38-34,,
2:51.0,J. Jackson misses 3-pt shot from 25 ft,,38-34,,
2:49.0,Offensive rebound by E. Payton,,38-34,,
2:45.0,M. Chriss makes 2-pt shot from 1 ft (assist by E. Payton),2,40-34,,
2:24.0,,,40-34,,N. Vucevic misses 2-pt shot from 9 ft
2:24.0,Defensive rebound by M. Chriss,,40-34,,
2:16.0,M. Chriss misses 3-pt shot from 25 ft,,40-34,,
2:13.0,Offensive rebound by D. Bender,,40-34,,
2:11.0,T. Daniels makes 3-pt shot from 24 ft (assist by D. Bender),3,43-34,,
1:58.0,,,43-36,2,A. Gordon makes 2-pt shot from 1 ft (assist by D. Augustin)
1:58.0,,,43-36,,Shooting foul by M. Chriss (drawn by A. Gordon)
1:58.0,A. Len enters the game for M. Chriss,,43-36,,
1:58.0,,,43-36,,A. Gordon misses free throw 1 of 1
1:55.0,Defensive rebound by D. Bender,,43-36,,
1:34.0,,,43-36,,Violation by N. Vucevic (kicked ball)
1:29.0,D. Bender makes 3-pt shot from 25 ft (assist by E. Payton),3,46-36,,
1:18.0,,,46-36,,Turnover by N. Vucevic (lost ball; steal by J. Jackson)
1:14.0,Turnover by T. Daniels (bad pass; steal by M. Hezonja),,46-36,,
1:08.0,,,46-36,,A. Gordon misses 3-pt shot from 24 ft
1:05.0,,,46-36,,Offensive rebound by D. Augustin
1:03.0,,,46-36,,N. Vucevic misses 2-pt shot from 7 ft
1:00.0,,,46-36,,Offensive rebound by A. Gordon
1:00.0,,,46-36,,A. Gordon misses 2-pt shot at rim
0:59.0,Defensive rebound by E. Payton,,46-36,,
0:57.0,D. Bender misses 3-pt shot from 26 ft,,46-36,,
0:57.0,,,46-36,,Defensive rebound by N. Vucevic
0:51.0,,,46-36,,Shooting foul by D. Bender (drawn by A. Gordon)
0:51.0,,,46-37,1,A. Gordon makes free throw 1 of 2
0:51.0,T. Ulis enters the game for J. Jackson,,46-37,,
0:51.0,,,46-38,1,A. Gordon makes free throw 2 of 2
0:29.0,Turnover by D. Bender (bad pass; steal by N. Vucevic),,46-38,,
0:04.0,,,46-38,,Turnover by D. Augustin (bad pass; steal by A. Len)
0:00.0,E. Payton misses 2-pt shot from 19 ft,,46-38,,
0:00.0,Offensive rebound by Team,,46-38,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,T. Daniels misses 3-pt shot from 24 ft,,46-38,,
11:43.0,,,46-38,,Defensive rebound by M. Hezonja
11:25.0,,,46-40,2,N. Vucevic makes 2-pt shot from 19 ft (assist by D. Augustin)
11:14.0,E. Payton misses 3-pt shot from 25 ft,,46-40,,
11:10.0,,,46-40,,Defensive rebound by D. Augustin
10:54.0,,,46-40,,W. Iwundu misses 3-pt shot from 22 ft
10:51.0,Defensive rebound by D. Bender,,46-40,,
10:44.0,M. Chriss misses 2-pt shot from 1 ft (block by M. Hezonja),,46-40,,
10:41.0,,,46-40,,Defensive rebound by W. Iwundu
10:31.0,,,46-42,2,A. Gordon makes 2-pt shot from 1 ft (assist by M. Hezonja)
10:26.0,M. Chriss misses 2-pt shot from 15 ft,,46-42,,
10:23.0,,,46-42,,Defensive rebound by A. Gordon
10:01.0,,,46-42,,N. Vucevic misses 2-pt shot from 17 ft
9:57.0,Defensive rebound by D. Bender,,46-42,,
9:45.0,M. Chriss makes 3-pt shot from 24 ft (assist by J. Jackson),3,49-42,,
9:31.0,,,49-42,,A. Gordon misses 2-pt shot from 12 ft
9:25.0,,,49-42,,Offensive rebound by N. Vucevic
9:25.0,,,49-44,2,N. Vucevic makes 2-pt shot at rim
9:15.0,,,49-44,,Personal foul by A. Gordon (drawn by D. Bender)
9:15.0,A. Len enters the game for M. Chriss,,49-44,,
9:11.0,Turnover by D. Bender (bad pass),,49-44,,
9:11.0,,,49-46,2,N. Vucevic makes 2-pt shot from 13 ft
9:11.0,Offensive foul by A. Len (drawn by D. Augustin),,49-46,,
9:11.0,Turnover by A. Len (bad pass),,49-46,,
8:53.0,,,49-46,,A. Gordon misses 2-pt shot from 16 ft (block by E. Payton)
8:53.0,,,49-46,,Offensive rebound by A. Gordon
8:49.0,,,49-48,2,N. Vucevic makes 2-pt shot at rim (assist by A. Gordon)
8:31.0,T. Daniels makes 2-pt shot from 11 ft (assist by E. Payton),2,51-48,,
8:18.0,,,51-48,,N. Vucevic misses 3-pt shot from 25 ft
8:15.0,Defensive rebound by D. Bender,,51-48,,
8:10.0,J. Jackson makes 2-pt shot from 2 ft,2,53-48,,
8:03.0,,,53-48,,Shooting foul by D. Bender (drawn by M. Hezonja)
8:03.0,,,53-49,1,M. Hezonja makes free throw 1 of 2
8:03.0,,,53-49,,S. Mack enters the game for W. Iwundu
8:03.0,,,53-50,1,M. Hezonja makes free throw 2 of 2
7:49.0,A. Len misses 2-pt shot from 2 ft,,53-50,,
7:48.0,Offensive rebound by Team,,53-50,,
7:45.0,D. Bender misses 2-pt shot from 22 ft,,53-50,,
7:42.0,,,53-50,,Defensive rebound by A. Gordon
7:30.0,,,53-52,2,D. Augustin makes 2-pt shot from 12 ft
7:29.0,Phoenix full timeout,,53-52,,
7:29.0,T. Ulis enters the game for T. Daniels,,53-52,,
7:17.0,J. Jackson misses 2-pt shot from 13 ft (block by N. Vucevic),,53-52,,
7:14.0,,,53-52,,Defensive rebound by D. Augustin
7:12.0,,,53-52,,Turnover by D. Augustin (bad pass; steal by E. Payton)
7:07.0,E. Payton makes 2-pt shot from 2 ft (assist by J. Jackson),2,55-52,,
7:07.0,Shooting foul by N. Vucevic (drawn by E. Payton),,55-52,,
7:07.0,E. Payton misses free throw 1 of 1,,55-52,,
7:07.0,,,55-52,,Defensive rebound by A. Gordon
6:44.0,,,55-52,,M. Hezonja misses 2-pt shot from 10 ft
6:42.0,Defensive rebound by A. Len,,55-52,,
6:38.0,J. Jackson makes 2-pt shot from 1 ft (assist by E. Payton),2,57-52,,
6:38.0,,,57-52,,Orlando full timeout
6:21.0,,,57-52,,Shooting foul by E. Payton (drawn by D. Augustin)
6:21.0,,,57-53,1,D. Augustin makes free throw 1 of 2
6:21.0,,,57-54,1,D. Augustin makes free throw 2 of 2
6:06.0,Turnover by J. Jackson (lost ball; steal by M. Hezonja),,57-54,,
6:01.0,,,57-56,2,D. Augustin makes 2-pt shot from 1 ft (assist by M. Hezonja)
5:41.0,E. Payton misses 2-pt shot from 3 ft (block by S. Mack),,57-56,,
5:38.0,,,57-56,,Defensive rebound by Team
5:36.0,,,57-56,,N. Vucevic misses 3-pt shot from 26 ft
5:33.0,Defensive rebound by T. Ulis,,57-56,,
5:28.0,T. Ulis misses 2-pt shot from 2 ft,,57-56,,
5:24.0,Offensive rebound by A. Len,,57-56,,
5:24.0,A. Len misses 2-pt shot at rim,,57-56,,
5:23.0,Offensive rebound by J. Jackson,,57-56,,
5:19.0,T. Ulis makes 2-pt shot from 2 ft,2,59-56,,
5:08.0,Personal foul by J. Jackson (drawn by N. Vucevic),,59-56,,
5:08.0,T. Daniels enters the game for E. Payton,,59-56,,
5:04.0,,,59-56,,Shooting foul by D. Bender (drawn by M. Hezonja)
5:04.0,,,59-56,,M. Hezonja misses free throw 1 of 2
5:04.0,,,59-56,,Offensive rebound by Team
5:04.0,,,59-57,1,M. Hezonja makes free throw 2 of 2
4:49.0,A. Len makes 2-pt shot from 2 ft,2,61-57,,
4:39.0,,,61-57,,M. Hezonja misses 2-pt shot from 1 ft
4:33.0,,,61-57,,Offensive rebound by N. Vucevic
4:33.0,,,61-59,2,N. Vucevic makes 2-pt shot at rim
4:29.0,T. Ulis misses 3-pt shot from 25 ft,,61-59,,
4:26.0,,,61-59,,Defensive rebound by A. Gordon
4:21.0,Personal foul by D. Bender (drawn by A. Gordon),,61-59,,
4:21.0,M. Chriss enters the game for D. Bender,,61-59,,
4:21.0,,,61-60,1,A. Gordon makes free throw 1 of 2
4:21.0,,,61-60,,A. Gordon misses free throw 2 of 2
4:18.0,Defensive rebound by A. Len,,61-60,,
4:16.0,,,61-60,,Shooting block foul by M. Hezonja (drawn by J. Jackson)
4:16.0,J. Jackson makes free throw 1 of 2,1,62-60,,
4:16.0,J. Jackson misses free throw 2 of 2,,62-60,,
4:14.0,,,62-60,,Defensive rebound by A. Gordon
3:57.0,,,62-63,3,S. Mack makes 3-pt shot from 25 ft (assist by N. Vucevic)
3:38.0,T. Daniels misses 3-pt shot from 27 ft,,62-63,,
3:35.0,,,62-63,,Defensive rebound by N. Vucevic
3:32.0,Personal foul by T. Daniels (drawn by A. Gordon),,62-63,,
3:32.0,,,62-64,1,A. Gordon makes free throw 1 of 2
3:32.0,,,62-64,,A. Gordon misses free throw 2 of 2
3:30.0,,,62-64,,Offensive rebound by N. Vucevic
3:28.0,,,62-66,2,N. Vucevic makes 2-pt shot from 7 ft
3:13.0,Turnover by M. Chriss (lost ball; steal by A. Gordon),,62-66,,
3:08.0,,,62-69,3,S. Mack makes 3-pt shot from 24 ft (assist by A. Gordon)
3:08.0,Phoenix full timeout,,62-69,,
3:08.0,J. Dudley enters the game for A. Len,,62-69,,
2:48.0,Turnover by T. Daniels (lost ball; steal by A. Gordon),,62-69,,
2:48.0,Personal foul by T. Daniels (drawn by A. Gordon),,62-69,,
2:48.0,,,62-70,1,A. Gordon makes free throw 1 of 2
2:48.0,,,62-71,1,A. Gordon makes free throw 2 of 2
2:37.0,T. Ulis misses 2-pt shot from 21 ft,,62-71,,
2:36.0,,,62-71,,Defensive rebound by Team
2:19.0,,,62-71,,S. Mack misses 3-pt shot from 25 ft
2:17.0,Defensive rebound by M. Chriss,,62-71,,
2:10.0,T. Daniels makes 3-pt shot from 23 ft (assist by J. Jackson),3,65-71,,
1:59.0,,,65-73,2,D. Augustin makes 2-pt shot from 1 ft
1:47.0,J. Dudley makes 3-pt shot from 25 ft (assist by T. Ulis),3,68-73,,
1:34.0,,,68-75,2,S. Mack makes 2-pt shot from 2 ft (assist by A. Gordon)
1:22.0,Shooting foul by N. Vucevic (drawn by M. Chriss),,68-75,,
1:22.0,M. Chriss makes free throw 1 of 2,1,69-75,,
1:22.0,,,69-75,,R. Purvis enters the game for M. Hezonja
1:22.0,,,69-75,,B. Biyombo enters the game for N. Vucevic
1:22.0,D. Reed enters the game for J. Jackson,,69-75,,
1:22.0,S. Harrison enters the game for T. Daniels,,69-75,,
1:22.0,M. Chriss misses free throw 2 of 2,,69-75,,
1:19.0,,,69-75,,Defensive rebound by S. Mack
1:12.0,,,69-75,,Shooting foul by S. Harrison (drawn by D. Augustin)
1:12.0,,,69-76,1,D. Augustin makes free throw 1 of 2
1:12.0,,,69-77,1,D. Augustin makes free throw 2 of 2
0:46.0,Turnover by S. Harrison (lost ball; steal by S. Mack),,69-77,,
0:41.0,,,69-77,,R. Purvis misses 3-pt shot from 25 ft
0:37.0,Defensive rebound by D. Reed,,69-77,,
0:33.0,J. Dudley misses 3-pt shot from 25 ft,,69-77,,
0:30.0,,,69-77,,Defensive rebound by B. Biyombo
0:12.0,,,69-77,,S. Mack misses 2-pt shot from 2 ft
0:12.0,Defensive rebound by Team,,69-77,,
0:03.0,T. Ulis makes 2-pt shot from 2 ft,2,71-77,,
0:02.0,,,71-77,,Turnover by R. Purvis (step out of bounds)
0:00.0,S. Harrison makes 3-pt shot from 26 ft (assist by J. Dudley),3,74-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,74-77,,M. Hezonja misses 3-pt shot from 24 ft
11:43.0,Defensive rebound by M. Chriss,,74-77,,
11:30.0,T. Ulis makes 2-pt shot from 8 ft,2,76-77,,
11:07.0,,,76-77,,Turnover by M. Hezonja (bad pass; steal by D. Reed)
11:03.0,Shooting foul by A. Afflalo (drawn by S. Harrison),,76-77,,
11:03.0,S. Harrison makes free throw 1 of 2,1,77-77,,
11:03.0,S. Harrison makes free throw 2 of 2,1,78-77,,
10:42.0,,,78-77,,A. Afflalo misses 2-pt shot from 16 ft
10:36.0,Defensive rebound by S. Harrison,,78-77,,
10:31.0,T. Ulis misses 2-pt shot from 17 ft,,78-77,,
10:28.0,,,78-77,,Defensive rebound by S. Mack
10:18.0,,,78-80,3,R. Purvis makes 3-pt shot from 25 ft (assist by M. Hezonja)
9:53.0,M. Chriss misses 2-pt shot from 3 ft (block by B. Biyombo),,78-80,,
9:50.0,,,78-80,,Defensive rebound by A. Afflalo
9:44.0,,,78-83,3,A. Afflalo makes 3-pt shot from 25 ft (assist by M. Hezonja)
9:26.0,T. Ulis misses 2-pt shot from 3 ft,,78-83,,
9:22.0,,,78-83,,Defensive rebound by B. Biyombo
9:02.0,,,78-83,,S. Mack misses 3-pt shot from 25 ft
9:00.0,,,78-83,,Offensive rebound by Team
9:00.0,A. Len enters the game for M. Chriss,,78-83,,
9:00.0,J. Jackson enters the game for S. Harrison,,78-83,,
8:49.0,,,78-83,,Turnover by B. Biyombo (turnover)
8:39.0,Turnover by T. Ulis (bad pass; steal by M. Hezonja),,78-83,,
8:36.0,,,78-85,2,M. Hezonja makes 2-pt shot from 1 ft (assist by S. Mack)
8:36.0,Phoenix full timeout,,78-85,,
8:36.0,E. Payton enters the game for T. Ulis,,78-85,,
8:28.0,Turnover by E. Payton (bad pass; steal by M. Hezonja),,78-85,,
8:23.0,,,78-85,,Turnover by S. Mack (bad pass; steal by D. Reed)
8:20.0,Shooting foul by A. Afflalo (drawn by D. Reed),,78-85,,
8:20.0,D. Reed makes free throw 1 of 2,1,79-85,,
8:20.0,,,79-85,,D. Augustin enters the game for S. Mack
8:20.0,D. Reed makes free throw 2 of 2,1,80-85,,
7:59.0,,,80-85,,Turnover by M. Hezonja (lost ball; steal by J. Jackson)
7:59.0,,,80-85,,Personal foul by D. Augustin (drawn by J. Jackson)
7:59.0,J. Jackson makes clear path free throw 1 of 2,1,81-85,,
7:59.0,J. Jackson makes clear path free throw 2 of 2,1,82-85,,
7:48.0,E. Payton makes 2-pt shot from 7 ft,2,84-85,,
7:27.0,,,84-88,3,M. Hezonja makes 3-pt shot from 25 ft (assist by D. Augustin)
7:10.0,E. Payton misses 2-pt shot from 3 ft (block by B. Biyombo),,84-88,,
7:06.0,,,84-88,,Defensive rebound by R. Purvis
7:00.0,,,84-88,,Turnover by D. Augustin (lost ball; steal by E. Payton)
6:57.0,E. Payton makes 2-pt shot from 2 ft (assist by J. Jackson),2,86-88,,
6:57.0,Shooting foul by B. Biyombo (drawn by E. Payton),,86-88,,
6:57.0,,,86-88,,N. Vucevic enters the game for B. Biyombo
6:57.0,,,86-88,,A. Gordon enters the game for R. Purvis
6:57.0,D. Bender enters the game for J. Dudley,,86-88,,
6:57.0,E. Payton makes free throw 1 of 1,1,87-88,,
6:46.0,,,87-88,,Offensive foul by D. Augustin (drawn by J. Jackson)
