time,LA Lakers,pts.away,score,pts.home,Sacramento
3:20.0,I. Thomas misses 3-pt shot from 25 ft,,18-16,,
3:16.0,,,18-16,,Defensive rebound by W. Cauley-Stein
3:06.0,,,18-16,,Z. Randolph misses 2-pt shot from 7 ft
3:03.0,Defensive rebound by B. Ingram,,18-16,,
2:55.0,J. Randle makes 2-pt shot from 6 ft,2,20-16,,
2:49.0,,,20-16,,Sacramento full timeout
2:49.0,,,20-16,,S. Labissiere enters the game for W. Cauley-Stein
2:49.0,,,20-16,,K. Koufos enters the game for Z. Randolph
2:49.0,K. Kuzma enters the game for J. Randle,,20-16,,
2:41.0,,,20-16,,B. Bogdanovic misses 2-pt shot from 16 ft
2:38.0,Defensive rebound by I. Zubac,,20-16,,
2:25.0,Turnover by I. Zubac (traveling),,20-16,,
2:25.0,,,20-16,,G. Temple enters the game for B. Bogdanovic
2:09.0,,,20-16,,Shooting foul by K. Kuzma (drawn by S. Labissiere)
2:09.0,,,20-17,1,S. Labissiere makes free throw 1 of 2
2:09.0,,,20-18,1,S. Labissiere makes free throw 2 of 2
1:46.0,B. Ingram misses 2-pt shot from 3 ft,,20-18,,
1:39.0,Offensive rebound by I. Zubac,,20-18,,
1:39.0,I. Zubac makes 2-pt shot at rim,2,22-18,,
1:34.0,,,22-18,,F. Mason misses 2-pt shot from 4 ft
1:30.0,,,22-18,,Offensive rebound by F. Mason
1:28.0,,,22-21,3,B. Hield makes 3-pt shot from 22 ft (assist by F. Mason)
1:14.0,I. Thomas misses 2-pt shot from 13 ft,,22-21,,
1:12.0,,,22-21,,Defensive rebound by G. Temple
1:09.0,,,22-24,3,B. Hield makes 3-pt shot from 24 ft (assist by G. Temple)
1:08.0,LA Lakers full timeout,,22-24,,
1:08.0,C. Brewer enters the game for B. Ingram,,22-24,,
0:49.0,K. Caldwell-Pope misses 2-pt shot from 20 ft,,22-24,,
0:46.0,,,22-24,,Defensive rebound by K. Koufos
0:44.0,,,22-26,2,S. Labissiere makes 2-pt shot at rim (assist by F. Mason)
0:28.0,I. Zubac misses 2-pt shot from 9 ft,,22-26,,
0:25.0,,,22-26,,Defensive rebound by B. Hield
0:11.0,,,22-29,3,G. Temple makes 3-pt shot from 25 ft (assist by F. Mason)
0:02.0,I. Thomas makes 3-pt shot from 24 ft,3,25-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,25-31,2,F. Mason makes 2-pt shot from 22 ft
11:40.0,Offensive foul by K. Kuzma (drawn by G. Temple),,25-31,,
11:40.0,Turnover by K. Kuzma (offensive foul),,25-31,,
11:25.0,,,25-31,,B. Hield misses 2-pt shot from 16 ft
11:22.0,Defensive rebound by Team,,25-31,,
11:08.0,K. Kuzma misses 2-pt shot from 11 ft,,25-31,,
11:05.0,,,25-31,,Defensive rebound by K. Koufos
10:55.0,,,25-31,,Turnover by B. Hield (traveling)
10:31.0,K. Kuzma misses 3-pt shot from 23 ft,,25-31,,
10:28.0,,,25-31,,Defensive rebound by B. Hield
10:16.0,,,25-33,2,K. Koufos makes 2-pt shot from 9 ft (assist by F. Mason)
10:02.0,Shooting foul by S. Labissiere (drawn by K. Kuzma),,25-33,,
10:02.0,K. Kuzma makes free throw 1 of 2,1,26-33,,
10:02.0,K. Kuzma makes free throw 2 of 2,1,27-33,,
9:51.0,,,27-33,,Offensive charge foul by B. Hield (drawn by C. Brewer)
9:51.0,,,27-33,,Turnover by B. Hield (offensive foul)
9:51.0,,,27-33,,V. Carter enters the game for F. Mason
9:38.0,I. Thomas misses 2-pt shot from 16 ft,,27-33,,
9:33.0,,,27-33,,Defensive rebound by V. Carter
9:20.0,,,27-33,,K. Koufos misses 2-pt shot from 7 ft
9:16.0,Defensive rebound by K. Kuzma,,27-33,,
9:12.0,K. Kuzma makes 3-pt shot from 25 ft,3,30-33,,
8:47.0,,,30-33,,B. Hield misses 3-pt shot from 24 ft
8:43.0,,,30-33,,Offensive rebound by K. Koufos
8:39.0,,,30-35,2,V. Carter makes 2-pt shot from 1 ft (assist by S. Labissiere)
8:26.0,C. Brewer makes 2-pt shot at rim,2,32-35,,
8:07.0,,,32-37,2,K. Koufos makes 2-pt shot from 6 ft
7:54.0,I. Thomas misses 3-pt shot from 25 ft,,32-37,,
7:50.0,,,32-37,,Defensive rebound by K. Koufos
7:48.0,,,32-37,,Sacramento full timeout
7:48.0,,,32-37,,W. Cauley-Stein enters the game for K. Koufos
7:38.0,,,32-39,2,S. Labissiere makes 2-pt shot from 16 ft (assist by G. Temple)
7:20.0,K. Kuzma misses 2-pt shot from 3 ft,,32-39,,
7:20.0,Offensive rebound by Team,,32-39,,
7:13.0,I. Thomas makes 2-pt shot from 2 ft,2,34-39,,
6:58.0,,,34-39,,S. Labissiere misses 2-pt shot from 6 ft
6:57.0,,,34-39,,Offensive rebound by S. Labissiere
6:56.0,,,34-41,2,S. Labissiere makes 2-pt shot at rim
6:39.0,,,34-41,,Personal foul by V. Carter (drawn by I. Zubac)
6:39.0,,,34-41,,D. Fox enters the game for G. Temple
6:27.0,I. Zubac makes 2-pt shot from 1 ft (assist by I. Thomas),2,36-41,,
6:17.0,,,36-41,,B. Bogdanovic enters the game for B. Hield
6:17.0,B. Lopez enters the game for C. Brewer,,36-41,,
6:17.0,B. Ingram enters the game for I. Thomas,,36-41,,
6:17.0,K. Caldwell-Pope enters the game for I. Zubac,,36-41,,
6:09.0,,,36-41,,S. Labissiere misses 3-pt shot from 25 ft
6:05.0,Defensive rebound by J. Hart,,36-41,,
5:57.0,,,36-41,,Personal foul by W. Cauley-Stein (drawn by B. Lopez)
5:52.0,B. Ingram makes 2-pt shot from 20 ft,2,38-41,,
5:40.0,,,38-43,2,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by D. Fox)
5:27.0,B. Ingram misses 2-pt shot from 3 ft,,38-43,,
5:25.0,,,38-43,,Defensive rebound by W. Cauley-Stein
5:19.0,,,38-45,2,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by D. Fox)
5:19.0,,,38-45,,Shooting foul by B. Lopez (drawn by W. Cauley-Stein)
5:19.0,J. Randle enters the game for K. Kuzma,,38-45,,
5:19.0,,,38-45,,W. Cauley-Stein misses free throw 1 of 1
5:17.0,Defensive rebound by J. Randle,,38-45,,
5:06.0,Shooting foul by B. Bogdanovic (drawn by K. Caldwell-Pope),,38-45,,
5:06.0,K. Caldwell-Pope makes free throw 1 of 2,1,39-45,,
5:06.0,K. Caldwell-Pope makes free throw 2 of 2,1,40-45,,
4:51.0,,,40-48,3,V. Carter makes 3-pt shot from 25 ft (assist by D. Fox)
4:28.0,Shooting foul by B. Bogdanovic (drawn by J. Randle),,40-48,,
4:28.0,J. Randle misses free throw 1 of 2,,40-48,,
4:28.0,Offensive rebound by Team,,40-48,,
4:28.0,J. Randle misses free throw 2 of 2,,40-48,,
4:24.0,Offensive rebound by J. Randle,,40-48,,
4:21.0,B. Ingram makes 3-pt shot from 24 ft (assist by J. Hart),3,43-48,,
4:02.0,,,43-51,3,D. Fox makes 3-pt shot from 25 ft (assist by B. Bogdanovic)
3:48.0,B. Lopez misses 3-pt shot from 25 ft,,43-51,,
3:45.0,,,43-51,,Defensive rebound by B. Bogdanovic
3:37.0,,,43-51,,W. Cauley-Stein misses 2-pt shot from 2 ft (block by B. Lopez)
3:35.0,,,43-51,,Offensive rebound by W. Cauley-Stein
3:35.0,,,43-51,,Turnover by W. Cauley-Stein (out of bounds lost ball)
3:35.0,,,43-51,,B. Hield enters the game for S. Labissiere
3:35.0,,,43-51,,Z. Randolph enters the game for V. Carter
3:21.0,B. Lopez makes 2-pt shot from 16 ft (assist by K. Caldwell-Pope),2,45-51,,
3:10.0,,,45-53,2,B. Bogdanovic makes 2-pt shot from 8 ft
2:55.0,J. Randle misses 2-pt shot from 1 ft,,45-53,,
2:55.0,Offensive rebound by Team,,45-53,,
2:55.0,LA Lakers full timeout,,45-53,,
2:49.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,45-53,,
2:44.0,Offensive rebound by B. Lopez,,45-53,,
2:40.0,J. Hart makes 3-pt shot from 24 ft (assist by B. Ingram),3,48-53,,
2:26.0,,,48-53,,B. Bogdanovic misses 2-pt shot from 4 ft (block by B. Lopez)
2:26.0,,,48-53,,Offensive rebound by Team
2:19.0,,,48-53,,D. Fox misses 2-pt shot from 8 ft
2:14.0,,,48-53,,Offensive rebound by W. Cauley-Stein
1:59.0,,,48-53,,W. Cauley-Stein misses 2-pt shot from 11 ft
1:56.0,Defensive rebound by J. Randle,,48-53,,
1:42.0,K. Caldwell-Pope makes 2-pt shot from 12 ft (assist by J. Randle),2,50-53,,
1:42.0,Shooting foul by B. Hield (drawn by K. Caldwell-Pope),,50-53,,
1:42.0,K. Caldwell-Pope misses free throw 1 of 1,,50-53,,
1:42.0,,,50-53,,Defensive rebound by Team
1:42.0,Violation by K. Caldwell-Pope (lane),,50-53,,
1:26.0,,,50-55,2,B. Bogdanovic makes 2-pt shot from 21 ft
1:10.0,Turnover by J. Hart (bad pass; steal by W. Cauley-Stein),,50-55,,
1:07.0,,,50-55,,Shooting foul by K. Caldwell-Pope (drawn by W. Cauley-Stein)
1:07.0,,,50-56,1,W. Cauley-Stein makes free throw 1 of 2
1:07.0,K. Kuzma enters the game for B. Lopez,,50-56,,
1:07.0,,,50-56,,W. Cauley-Stein misses free throw 2 of 2
1:04.0,,,50-56,,Offensive rebound by W. Cauley-Stein
1:01.0,,,50-56,,B. Bogdanovic misses 3-pt shot from 24 ft
0:57.0,,,50-56,,Offensive rebound by B. Hield
0:45.0,,,50-56,,W. Cauley-Stein misses 2-pt shot from 5 ft (block by B. Ingram)
0:41.0,Defensive rebound by B. Ingram,,50-56,,
0:39.0,J. Hart misses 2-pt shot from 1 ft,,50-56,,
0:37.0,,,50-56,,Defensive rebound by Team
0:31.0,,,50-56,,D. Fox misses 2-pt shot from 3 ft
0:29.0,,,50-56,,Offensive rebound by W. Cauley-Stein
0:29.0,,,50-56,,W. Cauley-Stein misses 2-pt shot from 6 ft (block by J. Randle)
0:29.0,,,50-56,,Offensive rebound by W. Cauley-Stein
0:27.0,Jump ball: W. Cauley-Stein vs. J. Randle,,,,Jump ball: W. Cauley-Stein vs. J. Randle
0:20.0,,,50-58,2,B. Hield makes 2-pt shot from 14 ft (assist by Z. Randolph)
0:00.0,K. Kuzma misses 3-pt shot from 23 ft,,50-58,,
0:00.0,Offensive rebound by Team,,50-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,50-60,2,Z. Randolph makes 2-pt shot from 4 ft
11:24.0,B. Lopez makes 2-pt shot from 9 ft (assist by J. Hart),2,52-60,,
11:05.0,,,52-60,,B. Bogdanovic misses 3-pt shot from 25 ft
11:01.0,Defensive rebound by J. Randle,,52-60,,
10:57.0,,,52-60,,Personal foul by Z. Randolph (drawn by B. Lopez)
10:52.0,J. Hart misses 3-pt shot from 26 ft,,52-60,,
10:48.0,,,52-60,,Defensive rebound by B. Bogdanovic
10:39.0,,,52-62,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
10:27.0,,,52-62,,Personal foul by B. Bogdanovic (drawn by K. Caldwell-Pope)
10:20.0,B. Ingram makes 2-pt shot from 17 ft,2,54-62,,
10:08.0,,,54-64,2,W. Cauley-Stein makes 2-pt shot from 17 ft (assist by D. Fox)
9:38.0,K. Caldwell-Pope misses 3-pt shot from 32 ft,,54-64,,
9:38.0,Offensive rebound by Team,,54-64,,
9:38.0,Turnover by Team (shot clock),,54-64,,
9:23.0,,,54-64,,B. Bogdanovic misses 2-pt shot from 2 ft
9:20.0,Defensive rebound by K. Caldwell-Pope,,54-64,,
9:17.0,J. Hart misses 2-pt shot from 1 ft (block by W. Cauley-Stein),,54-64,,
9:17.0,Offensive rebound by Team,,54-64,,
9:06.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by B. Ingram),3,57-64,,
8:44.0,,,57-67,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by Z. Randolph)
8:26.0,B. Lopez makes 2-pt shot from 9 ft,2,59-67,,
8:14.0,,,59-67,,Turnover by B. Bogdanovic (bad pass; steal by B. Lopez)
8:10.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by J. Hart),3,62-67,,
7:50.0,,,62-70,3,Z. Randolph makes 3-pt shot from 24 ft (assist by B. Bogdanovic)
7:41.0,B. Lopez makes 3-pt shot from 25 ft (assist by B. Ingram),3,65-70,,
7:27.0,Personal foul by J. Randle (drawn by Z. Randolph),,65-70,,
7:18.0,,,65-70,,Turnover by Z. Randolph (lost ball; steal by J. Randle)
7:14.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by J. Randle),3,68-70,,
7:01.0,,,68-70,,W. Cauley-Stein misses 2-pt shot from 6 ft
6:57.0,Defensive rebound by J. Hart,,68-70,,
6:57.0,,,68-70,,Violation by D. Fox (kicked ball)
6:57.0,,,68-70,,Sacramento full timeout
6:45.0,B. Lopez misses 2-pt shot from 8 ft,,68-70,,
6:42.0,Offensive rebound by J. Randle,,68-70,,
6:41.0,J. Randle makes 2-pt shot from 2 ft,2,70-70,,
6:29.0,,,70-70,,Shooting foul by J. Randle (drawn by W. Cauley-Stein)
6:29.0,,,70-71,1,W. Cauley-Stein makes free throw 1 of 2
6:29.0,,,70-72,1,W. Cauley-Stein makes free throw 2 of 2
6:14.0,B. Ingram misses 2-pt shot from 3 ft,,70-72,,
6:12.0,Offensive rebound by B. Ingram,,70-72,,
6:11.0,Turnover by B. Ingram (lost ball; steal by D. Fox),,70-72,,
6:11.0,Personal foul by K. Caldwell-Pope (drawn by D. Fox),,70-72,,
5:58.0,,,70-72,,Z. Randolph misses 2-pt shot from 7 ft (block by B. Lopez)
5:55.0,Defensive rebound by B. Ingram,,70-72,,
5:53.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by B. Ingram),3,73-72,,
5:32.0,,,73-72,,Turnover by B. Bogdanovic (bad pass; steal by J. Hart)
5:27.0,J. Hart makes 2-pt shot from 1 ft,2,75-72,,
5:27.0,,,75-72,,Sacramento full timeout
5:12.0,,,75-72,,Shooting foul by B. Ingram (drawn by W. Cauley-Stein)
5:12.0,,,75-72,,W. Cauley-Stein misses free throw 1 of 2
5:12.0,,,75-72,,Offensive rebound by Team
5:12.0,,,75-73,1,W. Cauley-Stein makes free throw 2 of 2
5:03.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by B. Ingram),2,77-73,,
4:56.0,,,77-73,,Shooting foul by J. Hart (drawn by D. Fox)
4:56.0,,,77-73,,D. Fox misses free throw 1 of 2
4:56.0,,,77-73,,Offensive rebound by Team
4:56.0,,,77-73,,S. Labissiere enters the game for Z. Randolph
4:56.0,,,77-73,,B. Hield enters the game for J. Jackson
4:56.0,,,77-74,1,D. Fox makes free throw 2 of 2
4:42.0,B. Lopez misses 3-pt shot from 24 ft,,77-74,,
4:39.0,,,77-74,,Defensive rebound by B. Bogdanovic
4:29.0,,,77-76,2,D. Fox makes 2-pt shot from 1 ft (assist by B. Hield)
4:29.0,,,77-76,,Shooting foul by B. Lopez (drawn by D. Fox)
4:29.0,,,77-77,1,D. Fox makes free throw 1 of 1
4:07.0,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by J. Randle),3,80-77,,
3:54.0,,,80-77,,Turnover by B. Hield (bad pass)
3:54.0,LA Lakers full timeout,,80-77,,
3:51.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,80-77,,
3:49.0,,,80-77,,Defensive rebound by Team
3:37.0,,,80-77,,D. Fox misses 3-pt shot from 24 ft
3:33.0,Defensive rebound by K. Caldwell-Pope,,80-77,,
3:25.0,J. Randle makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope),2,82-77,,
3:00.0,,,82-80,3,B. Bogdanovic makes 3-pt shot from 29 ft (assist by S. Labissiere)
2:49.0,,,82-80,,Personal foul by S. Labissiere (drawn by J. Randle)
2:49.0,I. Thomas enters the game for B. Ingram,,82-80,,
2:44.0,,,82-80,,Personal foul by W. Cauley-Stein (drawn by B. Lopez)
2:44.0,,,82-80,,G. Temple enters the game for B. Bogdanovic
2:31.0,B. Lopez makes 2-pt shot at rim (assist by J. Hart),2,84-80,,
2:07.0,,,84-80,,B. Hield misses 2-pt shot from 18 ft
2:04.0,Defensive rebound by B. Lopez,,84-80,,
1:48.0,J. Hart misses 2-pt shot from 3 ft (block by S. Labissiere),,84-80,,
1:44.0,,,84-80,,Defensive rebound by S. Labissiere
1:35.0,,,84-80,,Turnover by G. Temple (bad pass; steal by J. Randle)
1:31.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,84-80,,
1:25.0,Offensive rebound by J. Hart,,84-80,,
1:24.0,Offensive charge foul by J. Randle (drawn by S. Labissiere),,84-80,,
1:24.0,Turnover by J. Randle (offensive foul),,84-80,,
1:24.0,,,84-80,,F. Mason enters the game for D. Fox
1:24.0,C. Brewer enters the game for J. Hart,,84-80,,
1:13.0,,,84-80,,Turnover by G. Temple (bad pass; steal by C. Brewer)
1:01.0,I. Thomas makes 3-pt shot from 24 ft,3,87-80,,
0:35.0,,,87-80,,B. Hield misses 2-pt shot from 14 ft
0:32.0,,,87-80,,Offensive rebound by S. Labissiere
0:31.0,,,87-83,3,B. Hield makes 3-pt shot from 24 ft (assist by S. Labissiere)
0:13.0,I. Thomas misses 3-pt shot from 25 ft,,87-83,,
0:09.0,Offensive rebound by J. Randle,,87-83,,
0:02.0,B. Lopez misses 3-pt shot from 25 ft,,87-83,,
0:02.0,Offensive rebound by Team,,87-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,Turnover by I. Thomas (lost ball; steal by G. Temple),,87-83,,
11:33.0,,,87-85,2,F. Mason makes 2-pt shot from 1 ft (assist by S. Labissiere)
11:13.0,I. Zubac misses 2-pt shot from 1 ft,,87-85,,
11:10.0,,,87-85,,Defensive rebound by K. Koufos
11:06.0,,,87-87,2,B. Hield makes 2-pt shot from 3 ft (assist by F. Mason)
11:06.0,LA Lakers full timeout,,87-87,,
11:06.0,J. Randle enters the game for I. Zubac,,87-87,,
10:42.0,B. Ingram misses 3-pt shot from 24 ft,,87-87,,
10:37.0,,,87-87,,Defensive rebound by F. Mason
10:33.0,,,87-87,,B. Hield misses 3-pt shot from 25 ft
10:29.0,,,87-87,,Offensive rebound by S. Labissiere
10:17.0,,,87-87,,K. Koufos misses 2-pt shot from 9 ft
10:13.0,,,87-87,,Offensive rebound by S. Labissiere
10:13.0,,,87-87,,S. Labissiere misses 2-pt shot at rim
10:13.0,Defensive rebound by J. Randle,,87-87,,
10:02.0,I. Thomas makes 3-pt shot from 24 ft (assist by K. Kuzma),3,90-87,,
9:50.0,Personal foul by J. Randle (drawn by F. Mason),,90-87,,
9:43.0,,,90-89,2,K. Koufos makes 2-pt shot from 8 ft (assist by F. Mason)
9:25.0,B. Ingram misses 3-pt shot from 24 ft,,90-89,,
9:23.0,,,90-89,,Defensive rebound by F. Mason
9:11.0,,,90-91,2,F. Mason makes 2-pt shot from 19 ft
8:54.0,J. Randle makes 2-pt shot from 1 ft,2,92-91,,
8:37.0,,,92-94,3,B. Hield makes 3-pt shot from 25 ft (assist by G. Temple)
8:22.0,K. Kuzma misses 3-pt shot from 23 ft,,92-94,,
8:20.0,,,92-94,,Defensive rebound by B. Hield
8:11.0,,,92-94,,G. Temple misses 2-pt shot from 17 ft
8:06.0,Defensive rebound by K. Kuzma,,92-94,,
8:01.0,Shooting foul by F. Mason (drawn by I. Thomas),,92-94,,
8:01.0,I. Thomas makes free throw 1 of 2,1,93-94,,
8:01.0,,,93-94,,W. Cauley-Stein enters the game for S. Labissiere
8:01.0,I. Thomas makes free throw 2 of 2,1,94-94,,
7:55.0,Personal foul by I. Thomas (drawn by F. Mason),,94-94,,
7:55.0,K. Caldwell-Pope enters the game for I. Thomas,,94-94,,
7:37.0,,,94-94,,G. Temple misses 2-pt shot from 15 ft
7:33.0,Defensive rebound by K. Kuzma,,94-94,,
7:20.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,94-94,,
7:16.0,,,94-94,,Defensive rebound by W. Cauley-Stein
7:05.0,,,94-94,,F. Mason misses 2-pt shot from 6 ft
7:01.0,,,94-94,,Offensive rebound by B. Hield
6:50.0,,,94-94,,Shooting foul by C. Brewer (drawn by W. Cauley-Stein)
6:50.0,,,94-95,1,W. Cauley-Stein makes free throw 1 of 2
6:50.0,I. Thomas enters the game for C. Brewer,,94-95,,
6:50.0,,,94-95,,W. Cauley-Stein misses free throw 2 of 2
6:46.0,Defensive rebound by K. Kuzma,,94-95,,
6:35.0,K. Kuzma makes 2-pt shot from 5 ft (assist by I. Thomas),2,96-95,,
6:18.0,,,96-95,,B. Hield misses 3-pt shot from 24 ft
6:15.0,Defensive rebound by K. Kuzma,,96-95,,
5:59.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by J. Randle),2,98-95,,
5:41.0,,,98-95,,F. Mason misses 2-pt shot from 8 ft
5:39.0,,,98-95,,Offensive rebound by Team
5:39.0,,,98-95,,D. Fox enters the game for F. Mason
5:21.0,,,98-95,,G. Temple misses 2-pt shot from 2 ft
5:20.0,Defensive rebound by J. Randle,,98-95,,
5:08.0,J. Randle misses 2-pt shot from 1 ft (block by G. Temple),,98-95,,
5:08.0,Offensive rebound by Team,,98-95,,
5:08.0,,,98-95,,Personal foul by G. Temple (drawn by J. Randle)
5:08.0,,,98-95,,S. Labissiere enters the game for G. Temple
5:08.0,,,98-95,,B. Bogdanovic enters the game for K. Koufos
5:01.0,K. Kuzma misses 2-pt shot from 6 ft,,98-95,,
4:59.0,,,98-95,,Defensive rebound by W. Cauley-Stein
4:53.0,,,98-97,2,D. Fox makes 2-pt shot from 7 ft
