time,Memphis,pts.away,score,pts.home,Atlanta
7:42.0,M. Gasol misses 3-pt shot from 24 ft,,6-6,,
7:38.0,Offensive rebound by W. Selden,,6-6,,
7:37.0,W. Selden misses 3-pt shot from 27 ft,,6-6,,
7:35.0,,,6-6,,Defensive rebound by D. Schroder
7:26.0,,,6-6,,T. Waller-Prince misses 3-pt shot from 25 ft
7:23.0,Defensive rebound by J. Green,,6-6,,
7:05.0,M. Gasol misses 2-pt shot from 17 ft,,6-6,,
7:02.0,,,6-6,,Defensive rebound by K. Bazemore
6:54.0,,,6-6,,Offensive foul by K. Bazemore (drawn by M. Chalmers)
6:54.0,,,6-6,,Turnover by K. Bazemore (offensive foul)
6:54.0,,,6-6,,T. Dorsey enters the game for T. Waller-Prince
6:54.0,J. Martin enters the game for W. Selden,,6-6,,
6:38.0,D. Brooks misses 2-pt shot from 17 ft,,6-6,,
6:36.0,,,6-6,,Defensive rebound by Team
6:27.0,,,6-8,2,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Schroder)
6:14.0,J. Green misses 3-pt shot from 22 ft,,6-8,,
6:12.0,,,6-8,,Defensive rebound by M. Plumlee
5:55.0,,,6-8,,Shooting foul by M. Gasol (drawn by D. Schroder)
5:55.0,,,6-9,1,D. Schroder makes free throw 1 of 2
5:55.0,,,6-9,,D. Dedmon enters the game for M. Plumlee
5:55.0,J. Ennis enters the game for J. Green,,6-9,,
5:55.0,I. Rabb enters the game for M. Gasol,,6-9,,
5:55.0,,,6-10,1,D. Schroder makes free throw 2 of 2
5:39.0,Turnover by M. Chalmers (bad pass; steal by D. Schroder),,6-10,,
5:35.0,,,6-12,2,T. Dorsey makes 2-pt shot from 1 ft (assist by D. Schroder)
5:23.0,M. Chalmers misses 2-pt shot from 1 ft (block by D. Schroder),,6-12,,
5:23.0,Offensive rebound by Team,,6-12,,
5:23.0,,,6-12,,J. Collins enters the game for E. Ilyasova
5:20.0,I. Rabb misses 2-pt shot from 2 ft,,6-12,,
5:17.0,,,6-12,,Defensive rebound by J. Collins
5:04.0,,,6-12,,T. Dorsey misses 2-pt shot from 13 ft
4:59.0,,,6-12,,T. Waller-Prince enters the game for K. Bazemore
4:59.0,,,6-12,,Offensive rebound by Team
4:56.0,Jump ball: J. Collins vs. D. Brooks (D. Schroder gains possession),,,,Jump ball: J. Collins vs. D. Brooks (D. Schroder gains possession)
4:52.0,,,6-14,2,D. Schroder makes 2-pt shot from 21 ft
4:27.0,J. Ennis misses 2-pt shot from 4 ft,,6-14,,
4:25.0,Offensive rebound by J. Ennis,,6-14,,
4:22.0,J. Ennis misses 3-pt shot from 25 ft,,6-14,,
4:22.0,Offensive rebound by Team,,6-14,,
4:21.0,,,6-14,,Loose ball foul by D. Dedmon (drawn by I. Rabb)
4:21.0,B. McLemore enters the game for D. Brooks,,6-14,,
4:12.0,M. Chalmers makes 2-pt shot from 15 ft (assist by I. Rabb),2,8-14,,
3:49.0,,,8-14,,D. Schroder misses 3-pt shot from 26 ft
3:41.0,Defensive rebound by I. Rabb,,8-14,,
3:33.0,Shooting foul by J. Collins (drawn by B. McLemore),,8-14,,
3:33.0,B. McLemore makes free throw 1 of 2,1,9-14,,
3:33.0,,,9-14,,M. Delaney enters the game for D. Schroder
3:33.0,B. McLemore makes free throw 2 of 2,1,10-14,,
3:20.0,,,10-16,2,D. Dedmon makes 2-pt shot from 16 ft (assist by T. Dorsey)
3:07.0,M. Chalmers makes 2-pt shot from 11 ft,2,12-16,,
3:07.0,Shooting foul by M. Delaney (drawn by M. Chalmers),,12-16,,
3:07.0,,,12-16,,Atlanta full timeout
3:07.0,M. Chalmers makes free throw 1 of 1,1,13-16,,
2:54.0,,,13-16,,T. Waller-Prince misses 2-pt shot from 5 ft (block by I. Rabb)
2:50.0,Defensive rebound by I. Rabb,,13-16,,
2:45.0,I. Rabb makes 2-pt shot at rim (assist by M. Chalmers),2,15-16,,
2:29.0,,,15-16,,Turnover by M. Delaney (bad pass; steal by M. Chalmers)
2:26.0,Offensive charge foul by J. Martin (drawn by T. Waller-Prince),,15-16,,
2:26.0,Turnover by J. Martin (offensive foul),,15-16,,
2:26.0,A. Harrison enters the game for M. Chalmers,,15-16,,
2:10.0,,,15-16,,T. Dorsey misses 3-pt shot from 25 ft
2:07.0,Defensive rebound by J. Ennis,,15-16,,
2:05.0,Turnover by J. Ennis (bad pass),,15-16,,
1:53.0,,,15-18,2,M. Delaney makes 2-pt shot from 19 ft
1:30.0,A. Harrison misses 2-pt shot from 12 ft,,15-18,,
1:26.0,,,15-18,,Defensive rebound by M. Delaney
1:24.0,Personal foul by A. Harrison (drawn by M. Delaney),,15-18,,
1:24.0,J. Green enters the game for I. Rabb,,15-18,,
1:15.0,,,15-20,2,D. Dedmon makes 2-pt shot from 12 ft (assist by T. Dorsey)
0:55.0,A. Harrison misses 2-pt shot from 4 ft,,15-20,,
0:51.0,,,15-20,,Defensive rebound by J. Collins
0:49.0,,,15-20,,Turnover by J. Collins (bad pass; steal by J. Martin)
0:41.0,Turnover by A. Harrison (step out of bounds),,15-20,,
0:26.0,,,15-20,,T. Waller-Prince misses 2-pt shot from 20 ft
0:24.0,,,15-20,,Offensive rebound by J. Collins
0:24.0,,,15-20,,Shooting foul by J. Martin (drawn by J. Collins)
0:24.0,,,15-21,1,J. Collins makes free throw 1 of 2
0:24.0,,,15-22,1,J. Collins makes free throw 2 of 2
0:01.0,J. Martin misses 2-pt shot from 7 ft (block by D. Dedmon),,15-22,,
0:01.0,,,15-22,,Defensive rebound by J. Collins
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,15-22,,J. Collins misses 2-pt shot from 1 ft
11:43.0,Defensive rebound by M. Gasol,,15-22,,
11:29.0,M. Gasol makes 2-pt shot from 19 ft (assist by J. Green),2,17-22,,
11:03.0,,,17-22,,J. Collins misses 2-pt shot from 3 ft
11:03.0,Defensive rebound by J. Green,,17-22,,
10:51.0,W. Selden misses 2-pt shot from 7 ft,,17-22,,
10:49.0,,,17-22,,Defensive rebound by J. Collins
10:48.0,,,17-22,,Turnover by J. Collins (bad pass; steal by B. McLemore)
10:48.0,B. McLemore misses 2-pt shot from 5 ft (block by T. Waller-Prince),,17-22,,
10:48.0,Offensive rebound by Team,,17-22,,
10:44.0,Turnover by B. McLemore (bad pass),,17-22,,
10:34.0,,,17-24,2,I. Taylor makes 2-pt shot from 20 ft (assist by T. Waller-Prince)
10:09.0,M. Gasol makes 2-pt shot from 17 ft,2,19-24,,
9:45.0,,,19-24,,M. Muscala misses 3-pt shot from 23 ft
9:42.0,Defensive rebound by D. Brooks,,19-24,,
9:40.0,D. Brooks makes 2-pt shot at rim,2,21-24,,
9:40.0,Shooting foul by M. Delaney (drawn by D. Brooks),,21-24,,
9:40.0,,,21-24,,E. Ilyasova enters the game for J. Collins
9:40.0,,,21-24,,K. Bazemore enters the game for T. Waller-Prince
9:40.0,D. Brooks misses free throw 1 of 1,,21-24,,
9:38.0,,,21-24,,Defensive rebound by E. Ilyasova
9:22.0,,,21-24,,M. Delaney misses 3-pt shot from 25 ft
9:18.0,Defensive rebound by J. Green,,21-24,,
9:04.0,Offensive foul by M. Gasol (drawn by M. Delaney),,21-24,,
9:04.0,Turnover by M. Gasol (offensive foul),,21-24,,
8:52.0,,,21-26,2,M. Muscala makes 2-pt shot from 17 ft (assist by K. Bazemore)
8:34.0,Turnover by D. Brooks (lost ball; steal by E. Ilyasova),,21-26,,
8:19.0,,,21-28,2,K. Bazemore makes 2-pt shot from 1 ft
8:19.0,,,21-28,,Shooting foul by W. Selden (drawn by K. Bazemore)
8:19.0,M. Chalmers enters the game for B. McLemore,,21-28,,
8:19.0,J. Martin enters the game for M. Gasol,,21-28,,
8:19.0,,,21-29,1,K. Bazemore makes free throw 1 of 1
8:03.0,M. Chalmers makes 3-pt shot from 25 ft (assist by J. Green),3,24-29,,
7:50.0,,,24-32,3,K. Bazemore makes 3-pt shot from 25 ft (assist by I. Taylor)
7:38.0,J. Green makes 2-pt shot from 21 ft (assist by D. Brooks),2,26-32,,
7:19.0,,,26-32,,K. Bazemore misses 3-pt shot from 24 ft
7:17.0,Defensive rebound by Team,,26-32,,
7:17.0,,,26-32,,D. Schroder enters the game for M. Delaney
7:07.0,W. Selden misses 2-pt shot from 5 ft,,26-32,,
7:05.0,Offensive rebound by Team,,26-32,,
6:57.0,D. Brooks misses 2-pt shot from 2 ft,,26-32,,
6:54.0,,,26-32,,Defensive rebound by K. Bazemore
6:43.0,,,26-32,,D. Schroder misses 2-pt shot from 2 ft (block by J. Martin)
6:37.0,,,26-32,,Offensive rebound by M. Muscala
6:34.0,,,26-35,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by M. Muscala)
6:17.0,M. Chalmers misses 2-pt shot from 1 ft (block by E. Ilyasova),,26-35,,
6:14.0,,,26-35,,Defensive rebound by E. Ilyasova
6:12.0,,,26-37,2,D. Schroder makes 2-pt shot from 16 ft
6:11.0,Memphis full timeout,,26-37,,
6:11.0,,,26-37,,T. Dorsey enters the game for I. Taylor
6:11.0,B. Wright enters the game for J. Martin,,26-37,,
6:11.0,A. Harrison enters the game for M. Chalmers,,26-37,,
6:06.0,W. Selden makes 3-pt shot from 24 ft (assist by D. Brooks),3,29-37,,
6:04.0,,,29-37,,Atlanta full timeout
5:47.0,,,29-37,,K. Bazemore misses 2-pt shot from 9 ft
5:42.0,,,29-37,,Offensive rebound by M. Muscala
5:42.0,,,29-39,2,M. Muscala makes 2-pt shot at rim
5:28.0,D. Brooks misses 2-pt shot from 2 ft (block by K. Bazemore),,29-39,,
5:28.0,Offensive rebound by B. Wright,,29-39,,
5:28.0,B. Wright makes 2-pt shot from 2 ft,2,31-39,,
5:03.0,,,31-39,,T. Dorsey misses 2-pt shot from 2 ft (block by B. Wright)
4:59.0,Defensive rebound by J. Green,,31-39,,
4:56.0,W. Selden misses 2-pt shot from 17 ft,,31-39,,
4:56.0,,,31-39,,Defensive rebound by E. Ilyasova
4:40.0,Personal foul by D. Brooks (drawn by K. Bazemore),,31-39,,
4:40.0,,,31-39,,J. Collins enters the game for E. Ilyasova
4:40.0,,,31-39,,D. Dedmon enters the game for M. Muscala
4:32.0,,,31-39,,K. Bazemore misses 2-pt shot from 16 ft
4:28.0,Defensive rebound by J. Green,,31-39,,
4:21.0,,,31-39,,Def 3 sec tech foul by D. Dedmon
4:21.0,,,31-39,,T. Waller-Prince enters the game for K. Bazemore
4:21.0,A. Harrison makes technical free throw,1,32-39,,
4:11.0,Offensive foul by W. Selden (drawn by T. Dorsey),,32-39,,
4:11.0,Turnover by W. Selden (offensive foul),,32-39,,
4:11.0,J. Ennis enters the game for J. Green,,32-39,,
4:11.0,J. Martin enters the game for W. Selden,,32-39,,
3:54.0,,,32-41,2,J. Collins makes 2-pt shot from 2 ft (assist by T. Waller-Prince)
3:48.0,,,32-41,,Away from play foul by D. Schroder (drawn by A. Harrison)
3:48.0,A. Harrison makes free throw 1 of 1,1,33-41,,
3:34.0,Turnover by A. Harrison (bad pass; steal by D. Dedmon),,33-41,,
3:16.0,,,33-44,3,D. Dedmon makes 3-pt shot from 25 ft (assist by D. Schroder)
2:53.0,D. Brooks misses 3-pt shot from 24 ft,,33-44,,
2:48.0,,,33-44,,Defensive rebound by T. Dorsey
2:43.0,Personal foul by B. Wright (drawn by J. Collins),,33-44,,
2:43.0,M. Chalmers enters the game for A. Harrison,,33-44,,
2:37.0,,,33-46,2,D. Schroder makes 2-pt shot from 20 ft (assist by T. Dorsey)
2:37.0,,,33-46,,Shooting foul by B. Wright (drawn by D. Schroder)
2:37.0,,,33-47,1,D. Schroder makes free throw 1 of 1
2:24.0,Turnover by M. Chalmers (bad pass; steal by J. Collins),,33-47,,
2:05.0,,,33-49,2,D. Dedmon makes 2-pt shot at rim (assist by D. Schroder)
1:53.0,D. Brooks misses 3-pt shot from 25 ft,,33-49,,
1:47.0,Offensive rebound by M. Chalmers,,33-49,,
1:46.0,Turnover by M. Chalmers (bad pass; steal by T. Dorsey),,33-49,,
1:40.0,,,33-49,,Turnover by T. Waller-Prince (bad pass)
1:20.0,J. Martin makes 2-pt shot from 5 ft,2,35-49,,
1:12.0,Personal foul by M. Chalmers (drawn by J. Collins),,35-49,,
1:12.0,,,35-49,,J. Collins misses free throw 1 of 2
1:12.0,,,35-49,,Offensive rebound by Team
1:12.0,,,35-49,,J. Collins misses free throw 2 of 2
1:10.0,Defensive rebound by J. Ennis,,35-49,,
0:52.0,B. Wright misses 2-pt shot from 13 ft,,35-49,,
0:48.0,,,35-49,,Defensive rebound by J. Collins
0:29.0,,,35-51,2,D. Schroder makes 2-pt shot from 2 ft
0:04.0,Turnover by Team (shot clock),,35-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,35-51,,M. Plumlee misses 2-pt shot from 1 ft (block by J. Ennis)
11:37.0,Defensive rebound by J. Green,,35-51,,
11:30.0,J. Ennis makes 2-pt shot at rim (assist by M. Gasol),2,37-51,,
11:16.0,,,37-51,,Shooting foul by J. Ennis (drawn by T. Waller-Prince)
11:16.0,,,37-52,1,T. Waller-Prince makes free throw 1 of 3
11:16.0,,,37-53,1,T. Waller-Prince makes free throw 2 of 3
11:16.0,,,37-54,1,T. Waller-Prince makes free throw 3 of 3
10:58.0,M. Gasol misses 2-pt shot from 16 ft,,37-54,,
10:58.0,,,37-54,,Defensive rebound by Team
10:48.0,,,37-54,,D. Schroder misses 2-pt shot from 19 ft
10:43.0,,,37-54,,Offensive rebound by M. Plumlee
10:42.0,,,37-54,,Turnover by M. Plumlee (bad pass; steal by B. McLemore)
10:36.0,J. Martin misses 3-pt shot from 22 ft,,37-54,,
10:33.0,,,37-54,,Defensive rebound by D. Schroder
10:18.0,,,37-54,,D. Schroder misses 3-pt shot from 24 ft
10:14.0,Defensive rebound by M. Gasol,,37-54,,
10:06.0,Turnover by B. McLemore (lost ball; steal by E. Ilyasova),,37-54,,
10:02.0,,,37-56,2,D. Schroder makes 2-pt shot at rim (assist by T. Waller-Prince)
9:47.0,J. Green makes 2-pt shot from 19 ft (assist by J. Ennis),2,39-56,,
9:31.0,,,39-59,3,E. Ilyasova makes 3-pt shot from 22 ft (assist by K. Bazemore)
9:09.0,B. McLemore misses 2-pt shot from 9 ft,,39-59,,
9:04.0,,,39-59,,Defensive rebound by K. Bazemore
9:00.0,,,39-59,,K. Bazemore misses 2-pt shot from 18 ft
9:00.0,Defensive rebound by M. Gasol,,39-59,,
8:49.0,M. Gasol misses 3-pt shot from 24 ft,,39-59,,
8:49.0,,,39-59,,Defensive rebound by K. Bazemore
8:41.0,,,39-59,,Turnover by K. Bazemore (lost ball; steal by J. Ennis)
8:33.0,Turnover by J. Martin (bad pass; steal by K. Bazemore),,39-59,,
8:29.0,,,39-61,2,T. Waller-Prince makes 2-pt shot from 1 ft
8:16.0,,,39-61,,Personal foul by M. Plumlee (drawn by M. Gasol)
8:07.0,B. McLemore misses 3-pt shot from 24 ft,,39-61,,
8:03.0,,,39-61,,Defensive rebound by T. Waller-Prince
7:43.0,,,39-61,,D. Schroder misses 2-pt shot from 13 ft
7:42.0,,,39-61,,Offensive rebound by Team
7:42.0,Loose ball foul by B. McLemore (drawn by D. Schroder),,39-61,,
7:28.0,,,39-61,,T. Waller-Prince misses 3-pt shot from 25 ft
7:24.0,Defensive rebound by M. Gasol,,39-61,,
7:19.0,J. Green misses 3-pt shot from 22 ft,,39-61,,
7:14.0,Offensive rebound by M. Gasol,,39-61,,
7:11.0,,,39-61,,T. Dorsey enters the game for T. Waller-Prince
7:11.0,M. Chalmers enters the game for J. Ennis,,39-61,,
7:01.0,J. Green misses 3-pt shot from 23 ft,,39-61,,
7:00.0,,,39-61,,Defensive rebound by Team
7:00.0,Loose ball foul by J. Martin (drawn by K. Bazemore),,39-61,,
6:47.0,,,39-61,,Shooting foul by B. McLemore (drawn by K. Bazemore)
6:47.0,,,39-61,,Atlanta full timeout
6:47.0,W. Selden enters the game for J. Martin,,39-61,,
6:47.0,D. Brooks enters the game for B. McLemore,,39-61,,
6:47.0,,,39-62,1,K. Bazemore makes free throw 1 of 2
6:47.0,,,39-63,1,K. Bazemore makes free throw 2 of 2
6:25.0,D. Brooks makes 2-pt shot from 14 ft (assist by M. Chalmers),2,41-63,,
6:14.0,,,41-63,,K. Bazemore misses 3-pt shot from 24 ft
6:13.0,Defensive rebound by Team,,41-63,,
6:04.0,D. Brooks misses 2-pt shot from 20 ft,,41-63,,
6:00.0,,,41-63,,Defensive rebound by E. Ilyasova
5:45.0,,,41-65,2,K. Bazemore makes 2-pt shot from 19 ft (assist by M. Plumlee)
5:33.0,Shooting foul by M. Plumlee (drawn by M. Gasol),,41-65,,
5:33.0,M. Gasol makes free throw 1 of 2,1,42-65,,
5:33.0,,,42-65,,D. Dedmon enters the game for M. Plumlee
5:33.0,M. Gasol makes free throw 2 of 2,1,43-65,,
5:18.0,,,43-67,2,T. Dorsey makes 2-pt shot from 18 ft (assist by D. Schroder)
4:58.0,M. Chalmers misses 3-pt shot from 23 ft,,43-67,,
4:55.0,,,43-67,,Defensive rebound by D. Dedmon
4:42.0,,,43-69,2,D. Schroder makes 2-pt shot from 1 ft
4:29.0,,,43-69,,Personal foul by D. Dedmon (drawn by M. Gasol)
4:29.0,,,43-69,,J. Collins enters the game for E. Ilyasova
4:29.0,,,43-69,,T. Waller-Prince enters the game for K. Bazemore
4:29.0,J. Martin enters the game for J. Green,,43-69,,
4:28.0,Turnover by J. Martin (step out of bounds),,43-69,,
4:15.0,Personal foul by J. Martin (drawn by T. Dorsey),,43-69,,
4:15.0,,,43-70,1,T. Dorsey makes free throw 1 of 2
4:15.0,I. Rabb enters the game for J. Martin,,43-70,,
4:15.0,,,43-70,,T. Dorsey misses free throw 2 of 2
4:13.0,Defensive rebound by I. Rabb,,43-70,,
3:55.0,Turnover by D. Brooks (bad pass),,43-70,,
3:48.0,,,43-72,2,D. Schroder makes 2-pt shot from 14 ft (assist by D. Dedmon)
3:35.0,D. Brooks misses 2-pt shot from 2 ft,,43-72,,
3:33.0,Offensive rebound by I. Rabb,,43-72,,
3:31.0,Turnover by I. Rabb (bad pass; steal by T. Dorsey),,43-72,,
3:25.0,,,43-72,,T. Dorsey misses 3-pt shot from 25 ft
3:20.0,,,43-72,,Offensive rebound by J. Collins
3:19.0,,,43-75,3,D. Schroder makes 3-pt shot from 26 ft (assist by J. Collins)
3:05.0,M. Chalmers makes 2-pt shot from 12 ft (assist by M. Gasol),2,45-75,,
3:05.0,Shooting foul by D. Schroder (drawn by M. Chalmers),,45-75,,
3:05.0,,,45-75,,M. Delaney enters the game for D. Schroder
3:05.0,M. Chalmers makes free throw 1 of 1,1,46-75,,
2:47.0,,,46-75,,Turnover by M. Delaney (bad pass; steal by I. Rabb)
2:42.0,M. Chalmers makes 2-pt shot from 1 ft (assist by I. Rabb),2,48-75,,
2:29.0,,,48-75,,J. Collins misses 3-pt shot from 22 ft
2:25.0,Defensive rebound by M. Gasol,,48-75,,
2:19.0,Turnover by M. Gasol (traveling),,48-75,,
2:19.0,Memphis full timeout,,48-75,,
2:19.0,B. Wright enters the game for M. Chalmers,,48-75,,
2:19.0,A. Harrison enters the game for M. Gasol,,48-75,,
2:05.0,,,48-75,,T. Waller-Prince misses 2-pt shot from 15 ft
2:01.0,Defensive rebound by B. Wright,,48-75,,
1:48.0,W. Selden makes 2-pt shot from 12 ft (assist by B. Wright),2,50-75,,
1:21.0,,,50-77,2,T. Dorsey makes 2-pt shot from 1 ft
1:07.0,D. Brooks makes 2-pt shot from 19 ft (assist by B. Wright),2,52-77,,
0:53.0,,,52-79,2,J. Collins makes 2-pt shot from 17 ft (assist by M. Delaney)
0:43.0,B. Wright makes 2-pt shot from 17 ft (assist by A. Harrison),2,54-79,,
0:34.0,,,54-79,,M. Delaney misses 2-pt shot from 17 ft
0:30.0,Defensive rebound by B. Wright,,54-79,,
0:28.0,Shooting foul by D. Dedmon (drawn by D. Brooks),,54-79,,
0:28.0,D. Brooks misses free throw 1 of 2,,54-79,,
0:28.0,Offensive rebound by Team,,54-79,,
0:28.0,D. Brooks misses free throw 2 of 2,,54-79,,
0:24.0,Offensive rebound by I. Rabb,,54-79,,
0:04.0,A. Harrison misses 2-pt shot from 19 ft,,54-79,,
0:03.0,Offensive rebound by Team,,54-79,,
0:03.0,Turnover by Team (shot clock),,54-79,,
0:00.0,,,54-79,,D. Dedmon misses 2-pt shot from 19 ft
0:00.0,,,54-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,D. Brooks makes 2-pt shot from 17 ft,2,56-79,,
11:21.0,,,56-79,,I. Taylor misses 2-pt shot from 11 ft
11:18.0,Defensive rebound by I. Rabb,,56-79,,
11:10.0,I. Rabb makes 2-pt shot from 5 ft (assist by D. Brooks),2,58-79,,
10:51.0,,,58-82,3,M. Delaney makes 3-pt shot from 26 ft
10:51.0,,,58-82,,Shooting foul by B. Wright (drawn by M. Delaney)
10:51.0,,,58-83,1,M. Delaney makes free throw 1 of 1
10:34.0,Offensive foul by D. Brooks (drawn by L. Babbitt),,58-83,,
10:34.0,Turnover by D. Brooks (offensive foul),,58-83,,
10:16.0,,,58-83,,M. Delaney misses 3-pt shot from 23 ft
10:16.0,Defensive rebound by Team,,58-83,,
9:55.0,Turnover by B. Wright (lost ball; steal by M. Muscala),,58-83,,
9:46.0,,,58-85,2,D. Dedmon makes 2-pt shot from 18 ft (assist by I. Taylor)
9:28.0,W. Selden misses 3-pt shot from 26 ft,,58-85,,
9:28.0,,,58-85,,Defensive rebound by D. Dedmon
9:18.0,,,58-85,,I. Taylor misses 2-pt shot from 10 ft
9:18.0,Defensive rebound by I. Rabb,,58-85,,
9:08.0,I. Rabb makes 2-pt shot from 15 ft (assist by A. Harrison),2,60-85,,
8:55.0,Personal block foul by A. Harrison (drawn by M. Delaney),,60-85,,
8:55.0,,,60-85,,J. Collins enters the game for D. Dedmon
8:55.0,J. Ennis enters the game for W. Selden,,60-85,,
8:55.0,B. McLemore enters the game for B. Wright,,60-85,,
8:48.0,,,60-87,2,J. Collins makes 2-pt shot from 8 ft (assist by M. Muscala)
8:48.0,,,60-87,,Shooting foul by I. Rabb (drawn by J. Collins)
8:48.0,,,60-88,1,J. Collins makes free throw 1 of 1
8:42.0,D. Brooks misses 3-pt shot from 24 ft,,60-88,,
8:38.0,Offensive rebound by I. Rabb,,60-88,,
8:37.0,I. Rabb misses 2-pt shot from 3 ft,,60-88,,
8:37.0,Offensive rebound by Team,,60-88,,
8:36.0,,,60-88,,T. Dorsey enters the game for M. Delaney
8:29.0,J. Ennis misses 3-pt shot from 26 ft,,60-88,,
8:25.0,,,60-88,,Defensive rebound by I. Taylor
8:15.0,,,60-90,2,J. Collins makes 2-pt shot at rim (assist by T. Dorsey)
7:55.0,Turnover by J. Ennis (bad pass; steal by L. Babbitt),,60-90,,
7:43.0,,,60-92,2,J. Collins makes 2-pt shot from 11 ft (assist by T. Dorsey)
7:26.0,Turnover by I. Rabb (bad pass; steal by I. Taylor),,60-92,,
7:13.0,Personal foul by A. Harrison (drawn by I. Taylor),,60-92,,
7:00.0,,,60-92,,L. Babbitt misses 3-pt shot from 22 ft
6:56.0,,,60-92,,Offensive rebound by J. Collins
6:55.0,,,60-94,2,J. Collins makes 2-pt shot at rim
6:42.0,Shooting foul by L. Babbitt (drawn by D. Brooks),,60-94,,
6:42.0,,,60-94,,Atlanta full timeout
6:42.0,,,60-94,,M. Plumlee enters the game for M. Muscala
6:42.0,D. Brooks makes free throw 1 of 2,1,61-94,,
6:42.0,D. Brooks makes free throw 2 of 2,1,62-94,,
6:28.0,,,62-94,,L. Babbitt misses 3-pt shot from 26 ft
6:25.0,Defensive rebound by I. Rabb,,62-94,,
6:18.0,I. Rabb makes 2-pt shot from 18 ft (assist by B. McLemore),2,64-94,,
5:50.0,,,64-94,,T. Dorsey misses 2-pt shot from 8 ft (block by D. Brooks)
5:50.0,,,64-94,,Offensive rebound by Team
5:50.0,,,64-94,,Turnover by Team (shot clock)
5:50.0,W. Selden enters the game for D. Brooks,,64-94,,
5:37.0,I. Rabb misses 2-pt shot from 20 ft,,64-94,,
5:34.0,,,64-94,,Defensive rebound by J. Collins
5:21.0,,,64-97,3,L. Babbitt makes 3-pt shot from 26 ft (assist by I. Taylor)
5:08.0,B. McLemore makes 2-pt shot from 13 ft,2,66-97,,
4:54.0,,,66-97,,Offensive foul by M. Plumlee (drawn by A. Harrison)
4:54.0,,,66-97,,Turnover by M. Plumlee (offensive foul)
4:40.0,B. McLemore makes 3-pt shot from 25 ft (assist by W. Selden),3,69-97,,
4:24.0,,,69-99,2,T. Dorsey makes 2-pt shot from 19 ft (assist by I. Taylor)
4:08.0,B. McLemore misses 2-pt shot from 19 ft,,69-99,,
4:06.0,,,69-99,,Defensive rebound by J. Collins
