time,LA Lakers,pts.away,score,pts.home,Oklahoma City
7:01.0,,,34-34,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
6:58.0,Turnover by L. Nance (bad pass; steal by P. George),,34-34,,
6:54.0,,,34-37,3,R. Felton makes 3-pt shot from 25 ft (assist by P. George)
6:28.0,J. Clarkson misses 2-pt shot from 11 ft,,34-37,,
6:25.0,Offensive rebound by L. Nance,,34-37,,
6:24.0,L. Nance makes 2-pt shot at rim,2,36-37,,
6:17.0,,,36-37,,Turnover by R. Westbrook (bad pass; steal by J. Hart)
6:12.0,B. Ingram makes 2-pt shot from 1 ft (assist by J. Clarkson),2,38-37,,
5:59.0,,,38-37,,Shooting foul by B. Ingram (drawn by R. Westbrook)
5:59.0,,,38-38,1,R. Westbrook makes free throw 1 of 2
5:59.0,,,38-38,,C. Anthony enters the game for R. Felton
5:59.0,,,38-38,,A. Abrines enters the game for P. Patterson
5:59.0,J. Randle enters the game for L. Nance,,38-38,,
5:59.0,,,38-38,,R. Westbrook misses free throw 2 of 2
5:56.0,Defensive rebound by J. Randle,,38-38,,
5:33.0,J. Randle misses 3-pt shot from 25 ft,,38-38,,
5:30.0,,,38-38,,Defensive rebound by C. Anthony
5:25.0,,,38-40,2,R. Westbrook makes 2-pt shot from 1 ft
4:59.0,B. Ingram misses 2-pt shot from 7 ft,,38-40,,
4:57.0,,,38-40,,Defensive rebound by R. Westbrook
4:52.0,,,38-42,2,R. Westbrook makes 2-pt shot at rim
4:49.0,LA Lakers full timeout,,38-42,,
4:49.0,B. Lopez enters the game for K. Kuzma,,38-42,,
4:49.0,K. Caldwell-Pope enters the game for J. Clarkson,,38-42,,
4:32.0,,,38-42,,Personal foul by C. Anthony (drawn by J. Randle)
4:27.0,J. Randle makes 2-pt shot from 4 ft,2,40-42,,
4:06.0,,,40-42,,C. Anthony misses 2-pt shot from 16 ft (block by J. Randle)
4:04.0,Defensive rebound by B. Lopez,,40-42,,
4:00.0,B. Lopez misses 2-pt shot from 7 ft,,40-42,,
3:55.0,Offensive rebound by K. Caldwell-Pope,,40-42,,
3:55.0,K. Caldwell-Pope makes 2-pt shot at rim,2,42-42,,
3:46.0,,,42-42,,Turnover by R. Westbrook (out of bounds lost ball)
3:26.0,J. Hart makes 3-pt shot from 25 ft (assist by J. Randle),3,45-42,,
3:05.0,,,45-44,2,P. George makes 2-pt shot from 9 ft
2:56.0,,,45-44,,Personal foul by C. Anthony (drawn by J. Randle)
2:52.0,B. Ingram makes 2-pt shot from 2 ft (assist by J. Randle),2,47-44,,
2:44.0,,,47-44,,Shooting foul by B. Lopez (drawn by R. Westbrook)
2:44.0,,,47-45,1,R. Westbrook makes free throw 1 of 2
2:44.0,,,47-45,,R. Westbrook misses free throw 2 of 2
2:42.0,Defensive rebound by J. Hart,,47-45,,
2:27.0,Jump ball: S. Adams vs. B. Ingram (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. B. Ingram (R. Westbrook gains possession)
2:27.0,Turnover by B. Ingram (turnover; steal by S. Adams),,47-45,,
2:21.0,,,47-45,,Turnover by R. Westbrook (out of bounds lost ball)
2:11.0,,,47-45,,Personal foul by S. Adams (drawn by B. Lopez)
1:58.0,B. Ingram makes 2-pt shot at rim,2,49-45,,
1:40.0,,,49-45,,C. Anthony misses 2-pt shot from 1 ft
1:39.0,Defensive rebound by J. Hart,,49-45,,
1:39.0,,,49-45,,Personal foul by A. Abrines (drawn by K. Caldwell-Pope)
1:18.0,J. Hart makes 2-pt shot from 11 ft,2,51-45,,
0:59.0,,,51-45,,A. Abrines misses 3-pt shot from 24 ft
0:58.0,Defensive rebound by J. Randle,,51-45,,
0:54.0,Turnover by J. Randle (bad pass),,51-45,,
0:47.0,Personal foul by J. Randle (drawn by S. Adams),,51-45,,
0:47.0,,,51-46,1,S. Adams makes free throw 1 of 2
0:47.0,,,51-47,1,S. Adams makes free throw 2 of 2
0:33.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,51-47,,
0:30.0,,,51-47,,Defensive rebound by Team
0:27.0,,,51-49,2,R. Westbrook makes 2-pt shot at rim
0:07.0,Offensive foul by J. Randle (drawn by C. Anthony),,51-49,,
0:07.0,Turnover by J. Randle (offensive foul),,51-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,Turnover by J. Randle (lost ball; steal by T. Ferguson),,51-49,,
11:22.0,,,51-51,2,C. Anthony makes 2-pt shot from 1 ft
10:56.0,B. Lopez makes 2-pt shot from 1 ft (assist by B. Ingram),2,53-51,,
10:31.0,,,53-51,,Turnover by T. Ferguson (bad pass)
10:20.0,B. Lopez makes 3-pt shot from 24 ft (assist by B. Ingram),3,56-51,,
10:04.0,,,56-51,,P. George misses 2-pt shot from 18 ft
10:01.0,,,56-51,,Offensive rebound by C. Anthony
9:59.0,,,56-51,,C. Anthony misses 2-pt shot from 21 ft
9:56.0,,,56-51,,Offensive rebound by P. George
9:54.0,,,56-53,2,R. Westbrook makes 2-pt shot at rim (assist by P. George)
9:30.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by J. Hart),3,59-53,,
9:29.0,,,59-53,,Oklahoma City full timeout
9:19.0,,,59-53,,Offensive foul by P. George (drawn by K. Caldwell-Pope)
9:19.0,,,59-53,,Turnover by P. George (offensive foul)
9:11.0,Shooting foul by T. Ferguson (drawn by J. Randle),,59-53,,
9:11.0,J. Randle makes free throw 1 of 2,1,60-53,,
9:11.0,J. Randle misses free throw 2 of 2,,60-53,,
9:09.0,,,60-53,,Defensive rebound by R. Westbrook
9:03.0,,,60-53,,Turnover by R. Westbrook (bad pass; steal by J. Hart)
8:59.0,J. Randle misses 2-pt shot from 1 ft,,60-53,,
8:59.0,,,60-53,,Defensive rebound by Team
8:46.0,,,60-53,,S. Adams misses 2-pt shot from 2 ft (block by B. Lopez)
8:44.0,Defensive rebound by B. Lopez,,60-53,,
8:36.0,B. Lopez misses 3-pt shot from 25 ft,,60-53,,
8:34.0,,,60-53,,Defensive rebound by C. Anthony
8:28.0,,,60-53,,C. Anthony misses 3-pt shot from 25 ft
8:25.0,Defensive rebound by K. Caldwell-Pope,,60-53,,
8:13.0,B. Ingram misses 3-pt shot from 25 ft,,60-53,,
8:10.0,,,60-53,,Defensive rebound by C. Anthony
