time,New York,pts.away,score,pts.home,Chicago
3:44.0,K. O'Quinn makes free throw 1 of 1,1,9-19,,
3:23.0,,,9-22,3,N. Mirotic makes 3-pt shot from 24 ft (assist by J. Grant)
3:03.0,C. Lee misses 3-pt shot from 25 ft,,9-22,,
3:00.0,,,9-22,,Defensive rebound by N. Mirotic
2:42.0,,,9-22,,J. Holiday misses 3-pt shot from 24 ft
2:40.0,,,9-22,,Offensive rebound by N. Mirotic
2:28.0,,,9-22,,N. Mirotic misses 2-pt shot from 18 ft
2:28.0,Defensive rebound by K. O'Quinn,,9-22,,
2:16.0,K. O'Quinn misses 2-pt shot from 16 ft,,9-22,,
2:16.0,,,9-22,,Defensive rebound by J. Holiday
2:06.0,,,9-22,,D. Nwaba misses 2-pt shot from 8 ft
2:05.0,Defensive rebound by M. Beasley,,9-22,,
1:55.0,F. Ntilikina misses 2-pt shot from 9 ft (block by D. Nwaba),,9-22,,
1:55.0,Offensive rebound by K. O'Quinn,,9-22,,
1:40.0,M. Beasley misses 2-pt shot from 2 ft (block by R. Lopez),,9-22,,
1:37.0,,,9-22,,Defensive rebound by R. Lopez
1:33.0,,,9-22,,J. Grant misses 2-pt shot from 4 ft
1:31.0,,,9-22,,Offensive rebound by J. Holiday
1:28.0,,,9-22,,J. Holiday misses 3-pt shot from 23 ft
1:28.0,Defensive rebound by M. Beasley,,9-22,,
1:18.0,C. Lee makes 3-pt shot from 23 ft,3,12-22,,
1:17.0,,,12-22,,Chicago full timeout
1:17.0,,,12-22,,B. Portis enters the game for R. Lopez
1:17.0,D. Dotson enters the game for C. Lee,,12-22,,
1:14.0,Personal foul by D. McDermott (drawn by D. Nwaba),,12-22,,
1:00.0,,,12-22,,D. Nwaba misses 2-pt shot from 2 ft
0:58.0,Defensive rebound by D. McDermott,,12-22,,
0:49.0,D. McDermott makes 3-pt shot from 26 ft (assist by F. Ntilikina),3,15-22,,
0:35.0,,,15-24,2,B. Portis makes 2-pt shot from 14 ft
0:24.0,F. Ntilikina makes 3-pt shot from 25 ft,3,18-24,,
0:05.0,,,18-26,2,J. Grant makes 2-pt shot from 15 ft
0:05.0,,,18-26,,Shooting foul by K. O'Quinn (drawn by J. Grant)
0:05.0,,,18-27,1,J. Grant makes free throw 1 of 1
0:03.0,,,18-27,,Personal take foul by J. Grant (drawn by F. Ntilikina)
0:00.0,D. McDermott misses 3-pt shot from 25 ft,,18-27,,
0:00.0,Offensive rebound by Team,,18-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,D. McDermott misses 3-pt shot from 23 ft,,18-27,,
11:38.0,Offensive rebound by M. Beasley,,18-27,,
11:37.0,Turnover by M. Beasley (bad pass; steal by D. Nwaba),,18-27,,
11:36.0,Personal foul by F. Ntilikina (drawn by D. Nwaba),,18-27,,
11:21.0,,,18-29,2,N. Mirotic makes 2-pt shot from 19 ft
11:06.0,Shooting foul by N. Mirotic (drawn by M. Beasley),,18-29,,
11:06.0,M. Beasley makes free throw 1 of 2,1,19-29,,
11:06.0,K. Porzingis enters the game for K. O'Quinn,,19-29,,
11:06.0,M. Beasley makes free throw 2 of 2,1,20-29,,
10:55.0,,,20-29,,Turnover by N. Mirotic (lost ball; steal by D. McDermott)
10:53.0,Turnover by F. Ntilikina (traveling),,20-29,,
10:39.0,,,20-29,,P. Zipser misses 2-pt shot from 6 ft (block by D. McDermott)
10:34.0,Defensive rebound by K. Porzingis,,20-29,,
10:32.0,K. Porzingis misses 3-pt shot from 25 ft,,20-29,,
10:26.0,,,20-29,,Defensive rebound by D. Nwaba
10:21.0,,,20-31,2,B. Portis makes 2-pt shot at rim (assist by D. Nwaba)
10:10.0,D. McDermott makes 2-pt shot at rim (assist by F. Ntilikina),2,22-31,,
10:00.0,,,22-31,,B. Portis misses 3-pt shot from 25 ft
10:00.0,Defensive rebound by F. Ntilikina,,22-31,,
9:42.0,Turnover by M. Beasley (lost ball; steal by B. Portis),,22-31,,
9:32.0,,,22-31,,N. Mirotic misses 3-pt shot from 22 ft
9:30.0,Defensive rebound by D. McDermott,,22-31,,
9:23.0,,,22-31,,Personal foul by N. Mirotic (drawn by K. Porzingis)
9:17.0,M. Beasley makes 2-pt shot from 12 ft (assist by D. McDermott),2,24-31,,
9:01.0,,,24-34,3,N. Mirotic makes 3-pt shot from 23 ft (assist by P. Zipser)
8:52.0,F. Ntilikina makes 3-pt shot from 25 ft,3,27-34,,
8:31.0,,,27-34,,D. Nwaba misses 2-pt shot from 1 ft
8:31.0,,,27-34,,Offensive rebound by Team
8:23.0,,,27-37,3,N. Mirotic makes 3-pt shot from 22 ft (assist by J. Grant)
8:07.0,D. Dotson makes 2-pt shot from 15 ft,2,29-37,,
8:00.0,,,29-37,,Shooting foul by F. Ntilikina (drawn by J. Grant)
8:00.0,,,29-37,,J. Grant misses free throw 1 of 2
8:00.0,,,29-37,,Offensive rebound by Team
8:00.0,E. Kanter enters the game for M. Beasley,,29-37,,
8:00.0,,,29-37,,J. Grant misses free throw 2 of 2
7:57.0,Defensive rebound by K. Porzingis,,29-37,,
7:41.0,D. Dotson misses 3-pt shot from 25 ft,,29-37,,
7:37.0,,,29-37,,Defensive rebound by B. Portis
7:30.0,,,29-37,,Shooting foul by D. Dotson (drawn by D. Nwaba)
7:30.0,,,29-37,,D. Nwaba misses free throw 1 of 2
7:30.0,,,29-37,,Offensive rebound by Team
7:30.0,,,29-37,,K. Dunn enters the game for J. Grant
7:30.0,,,29-37,,L. Markkanen enters the game for N. Mirotic
7:30.0,,,29-37,,D. Nwaba misses free throw 2 of 2
7:26.0,Defensive rebound by E. Kanter,,29-37,,
7:11.0,K. Porzingis misses 2-pt shot from 8 ft (block by D. Nwaba),,29-37,,
7:07.0,,,29-37,,Defensive rebound by P. Zipser
7:05.0,,,29-39,2,D. Nwaba makes 2-pt shot at rim (assist by P. Zipser)
6:48.0,D. Dotson makes 2-pt shot from 11 ft,2,31-39,,
6:35.0,,,31-41,2,P. Zipser makes 2-pt shot from 21 ft (assist by B. Portis)
6:13.0,E. Kanter misses 2-pt shot from 2 ft,,31-41,,
6:13.0,Offensive rebound by Team,,31-41,,
6:13.0,,,31-41,,Chicago full timeout
6:13.0,,,31-41,,R. Lopez enters the game for B. Portis
6:07.0,D. McDermott misses 2-pt shot from 20 ft,,31-41,,
6:07.0,Offensive rebound by Team,,31-41,,
6:07.0,,,31-41,,Loose ball foul by L. Markkanen (drawn by K. Porzingis)
6:07.0,J. Jack enters the game for F. Ntilikina,,31-41,,
5:56.0,Turnover by J. Jack (bad pass),,31-41,,
5:44.0,,,31-43,2,L. Markkanen makes 2-pt shot from 2 ft (assist by K. Dunn)
5:32.0,D. McDermott makes 2-pt shot from 4 ft (assist by D. Dotson),2,33-43,,
5:07.0,,,33-43,,P. Zipser misses 2-pt shot from 7 ft
5:04.0,Defensive rebound by D. McDermott,,33-43,,
4:59.0,E. Kanter misses 2-pt shot from 8 ft,,33-43,,
4:55.0,,,33-43,,Defensive rebound by D. Nwaba
4:42.0,,,33-43,,P. Zipser misses 2-pt shot from 22 ft
4:42.0,,,33-43,,Offensive rebound by Team
4:42.0,,,33-43,,J. Holiday enters the game for D. Nwaba
4:42.0,,,33-43,,D. Valentine enters the game for P. Zipser
4:42.0,C. Lee enters the game for D. Dotson,,33-43,,
4:38.0,,,33-43,,J. Holiday misses 2-pt shot from 21 ft
4:34.0,,,33-43,,Offensive rebound by K. Dunn
4:30.0,,,33-45,2,K. Dunn makes 2-pt shot from 14 ft
4:17.0,K. Porzingis misses 2-pt shot from 6 ft,,33-45,,
4:14.0,,,33-45,,Defensive rebound by L. Markkanen
4:08.0,,,33-45,,L. Markkanen misses 3-pt shot from 24 ft
4:05.0,Defensive rebound by Team,,33-45,,
3:55.0,J. Jack makes 2-pt shot from 1 ft,2,35-45,,
3:45.0,,,35-45,,K. Dunn misses 2-pt shot from 8 ft
3:42.0,Defensive rebound by D. McDermott,,35-45,,
3:31.0,K. Porzingis makes 2-pt shot from 8 ft (assist by D. McDermott),2,37-45,,
3:15.0,,,37-45,,R. Lopez misses 2-pt shot from 7 ft
3:13.0,Defensive rebound by E. Kanter,,37-45,,
3:06.0,K. Porzingis misses 3-pt shot from 25 ft,,37-45,,
3:03.0,Offensive rebound by J. Jack,,37-45,,
3:01.0,C. Lee misses 3-pt shot from 25 ft,,37-45,,
2:57.0,,,37-45,,Defensive rebound by K. Dunn
2:51.0,,,37-45,,L. Markkanen misses 3-pt shot from 23 ft
2:46.0,Defensive rebound by E. Kanter,,37-45,,
2:34.0,J. Jack misses 2-pt shot from 12 ft,,37-45,,
2:32.0,,,37-45,,Defensive rebound by L. Markkanen
2:19.0,,,37-47,2,L. Markkanen makes 2-pt shot from 11 ft
1:58.0,K. Porzingis misses 2-pt shot from 17 ft,,37-47,,
1:53.0,,,37-47,,Defensive rebound by D. Valentine
1:48.0,,,37-47,,L. Markkanen misses 3-pt shot from 25 ft
1:45.0,Defensive rebound by E. Kanter,,37-47,,
1:43.0,New York full timeout,,37-47,,
1:43.0,F. Ntilikina enters the game for D. McDermott,,37-47,,
1:34.0,Turnover by F. Ntilikina (bad pass; steal by J. Holiday),,37-47,,
1:29.0,,,37-49,2,J. Holiday makes 2-pt shot from 1 ft (assist by D. Valentine)
1:13.0,Shooting foul by J. Holiday (drawn by E. Kanter),,37-49,,
1:13.0,E. Kanter makes free throw 1 of 2,1,38-49,,
1:13.0,,,38-49,,D. Nwaba enters the game for J. Holiday
1:13.0,E. Kanter makes free throw 2 of 2,1,39-49,,
1:00.0,,,39-49,,Personal foul by R. Lopez (drawn by J. Jack)
1:00.0,,,39-49,,Turnover by R. Lopez (turnover)
1:00.0,,,39-49,,N. Mirotic enters the game for R. Lopez
0:43.0,K. Porzingis makes 3-pt shot from 24 ft (assist by E. Kanter),3,42-49,,
0:26.0,,,42-49,,D. Valentine misses 3-pt shot from 24 ft
0:23.0,Defensive rebound by E. Kanter,,42-49,,
0:01.0,F. Ntilikina makes 2-pt shot from 2 ft (assist by E. Kanter),2,44-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,C. Lee misses 2-pt shot from 21 ft,,44-49,,
11:32.0,Offensive rebound by L. Thomas,,44-49,,
11:27.0,E. Kanter misses 2-pt shot from 2 ft (block by R. Lopez),,44-49,,
11:27.0,,,44-49,,Defensive rebound by D. Valentine
11:17.0,,,44-51,2,J. Holiday makes 2-pt shot from 19 ft (assist by R. Lopez)
11:00.0,J. Jack misses 2-pt shot from 14 ft,,44-51,,
11:00.0,Offensive rebound by E. Kanter,,44-51,,
10:56.0,E. Kanter makes 2-pt shot from 1 ft,2,46-51,,
10:32.0,,,46-53,2,R. Lopez makes 2-pt shot from 1 ft (assist by J. Holiday)
10:25.0,,,46-53,,Personal foul by K. Dunn (drawn by J. Jack)
10:18.0,J. Jack makes 2-pt shot from 3 ft,2,48-53,,
10:08.0,,,48-53,,Turnover by J. Holiday (bad pass; steal by L. Thomas)
10:03.0,L. Thomas makes 2-pt shot at rim,2,50-53,,
9:50.0,,,50-53,,J. Holiday misses 2-pt shot from 17 ft
9:47.0,Defensive rebound by J. Jack,,50-53,,
9:43.0,K. Porzingis makes 2-pt shot at rim (assist by J. Jack),2,52-53,,
9:43.0,,,52-53,,Chicago full timeout
9:27.0,,,52-55,2,R. Lopez makes 2-pt shot from 16 ft (assist by K. Dunn)
9:03.0,K. Porzingis misses 3-pt shot from 24 ft,,52-55,,
9:03.0,,,52-55,,Defensive rebound by D. Valentine
8:52.0,,,52-55,,D. Valentine misses 2-pt shot from 4 ft
8:49.0,Defensive rebound by K. Porzingis,,52-55,,
8:43.0,J. Jack misses 3-pt shot from 24 ft,,52-55,,
8:40.0,,,52-55,,Defensive rebound by L. Markkanen
8:34.0,,,52-55,,Offensive charge foul by K. Dunn (drawn by L. Thomas)
8:34.0,,,52-55,,Turnover by K. Dunn (offensive foul)
8:22.0,L. Thomas makes 2-pt shot from 21 ft (assist by K. Porzingis),2,54-55,,
8:05.0,,,54-55,,L. Markkanen misses 2-pt shot from 4 ft
8:02.0,Defensive rebound by K. Porzingis,,54-55,,
7:53.0,E. Kanter misses 2-pt shot from 2 ft,,54-55,,
7:43.0,Offensive rebound by L. Thomas,,54-55,,
7:43.0,L. Thomas misses 2-pt shot at rim,,54-55,,
7:43.0,,,54-55,,Defensive rebound by L. Markkanen
7:39.0,,,54-55,,K. Dunn misses 2-pt shot from 9 ft
7:39.0,Defensive rebound by C. Lee,,54-55,,
7:33.0,Turnover by C. Lee (bad pass; steal by D. Valentine),,54-55,,
7:22.0,,,54-55,,Shooting foul by L. Thomas (drawn by K. Dunn)
7:22.0,,,54-56,1,K. Dunn makes free throw 1 of 2
7:22.0,,,54-57,1,K. Dunn makes free throw 2 of 2
7:08.0,C. Lee misses 2-pt shot from 19 ft,,54-57,,
7:08.0,Offensive rebound by Team,,54-57,,
6:51.0,L. Thomas misses 3-pt shot from 23 ft,,54-57,,
6:51.0,,,54-57,,Defensive rebound by L. Markkanen
6:39.0,,,54-57,,K. Dunn misses 3-pt shot from 26 ft
6:39.0,Defensive rebound by E. Kanter,,54-57,,
6:27.0,J. Jack makes 2-pt shot from 2 ft,2,56-57,,
6:15.0,,,56-57,,D. Valentine misses 3-pt shot from 25 ft
6:15.0,Defensive rebound by Team,,56-57,,
6:15.0,,,56-57,,Personal foul by R. Lopez (drawn by E. Kanter)
6:15.0,,,56-57,,D. Nwaba enters the game for D. Valentine
6:09.0,Turnover by J. Jack (lost ball; steal by K. Dunn),,56-57,,
6:09.0,Personal foul by K. Porzingis (drawn by K. Dunn),,56-57,,
5:54.0,,,56-57,,Turnover by K. Dunn (bad pass; steal by J. Jack)
5:39.0,K. Porzingis makes 2-pt shot at rim (assist by E. Kanter),2,58-57,,
5:18.0,,,58-59,2,L. Markkanen makes 2-pt shot from 21 ft (assist by K. Dunn)
4:55.0,K. Porzingis makes 2-pt shot from 10 ft (assist by J. Jack),2,60-59,,
4:41.0,,,60-61,2,K. Dunn makes 2-pt shot from 12 ft
4:29.0,C. Lee misses 2-pt shot from 17 ft,,60-61,,
4:26.0,,,60-61,,Defensive rebound by L. Markkanen
4:24.0,,,60-61,,Shooting foul by C. Lee (drawn by D. Nwaba)
4:24.0,,,60-61,,D. Nwaba misses free throw 1 of 2
4:24.0,,,60-61,,Offensive rebound by Team
4:24.0,,,60-61,,N. Mirotic enters the game for L. Markkanen
4:24.0,F. Ntilikina enters the game for E. Kanter,,60-61,,
4:24.0,D. McDermott enters the game for C. Lee,,60-61,,
4:24.0,K. O'Quinn enters the game for J. Jack,,60-61,,
4:24.0,,,60-62,1,D. Nwaba makes free throw 2 of 2
4:06.0,K. O'Quinn makes 2-pt shot at rim (assist by D. McDermott),2,62-62,,
3:51.0,,,62-62,,Turnover by J. Holiday (bad pass)
3:38.0,D. McDermott misses 2-pt shot from 11 ft,,62-62,,
3:34.0,,,62-62,,Defensive rebound by K. Dunn
3:28.0,,,62-62,,Turnover by K. Dunn (lost ball; steal by F. Ntilikina)
3:24.0,K. Porzingis makes 2-pt shot at rim (assist by F. Ntilikina),2,64-62,,
3:13.0,,,64-62,,Shooting foul by K. O'Quinn (drawn by N. Mirotic)
3:13.0,,,64-63,1,N. Mirotic makes free throw 1 of 2
3:13.0,,,64-63,,J. Grant enters the game for K. Dunn
3:13.0,,,64-63,,B. Portis enters the game for R. Lopez
3:13.0,,,64-63,,N. Mirotic misses free throw 2 of 2
3:10.0,Defensive rebound by K. O'Quinn,,64-63,,
2:55.0,K. O'Quinn makes 2-pt shot from 1 ft (assist by F. Ntilikina),2,66-63,,
2:44.0,,,66-63,,Shooting foul by K. O'Quinn (drawn by D. Nwaba)
2:44.0,New York full timeout,,66-63,,
2:44.0,D. Dotson enters the game for L. Thomas,,66-63,,
2:44.0,,,66-63,,D. Nwaba misses free throw 1 of 2
2:44.0,,,66-63,,Offensive rebound by Team
2:44.0,,,66-64,1,D. Nwaba makes free throw 2 of 2
2:32.0,K. Porzingis misses 3-pt shot from 25 ft,,66-64,,
2:27.0,,,66-64,,Defensive rebound by D. Nwaba
2:20.0,,,66-64,,J. Holiday misses 3-pt shot from 23 ft
2:18.0,Defensive rebound by D. McDermott,,66-64,,
2:11.0,D. Dotson misses 3-pt shot from 25 ft,,66-64,,
2:07.0,,,66-64,,Defensive rebound by J. Grant
1:46.0,,,66-64,,B. Portis misses 2-pt shot from 1 ft
1:46.0,,,66-64,,Offensive rebound by N. Mirotic
1:46.0,,,66-64,,Shooting foul by D. Dotson (drawn by N. Mirotic)
1:46.0,,,66-65,1,N. Mirotic makes free throw 1 of 2
1:46.0,,,66-65,,P. Zipser enters the game for J. Holiday
1:46.0,M. Beasley enters the game for K. Porzingis,,66-65,,
1:46.0,,,66-65,,N. Mirotic misses free throw 2 of 2
1:43.0,,,66-65,,Offensive rebound by D. Nwaba
1:24.0,,,66-65,,N. Mirotic misses 3-pt shot from 22 ft
1:19.0,,,66-65,,Offensive rebound by B. Portis
1:18.0,,,66-65,,Turnover by B. Portis (traveling)
1:11.0,,,66-65,,Personal foul by J. Grant (drawn by F. Ntilikina)
1:02.0,Turnover by F. Ntilikina (bad pass; steal by J. Grant),,66-65,,
0:58.0,,,66-67,2,B. Portis makes 2-pt shot from 1 ft (assist by J. Grant)
0:46.0,M. Beasley makes 2-pt shot from 12 ft,2,68-67,,
0:31.0,,,68-67,,J. Grant misses 3-pt shot from 26 ft
0:27.0,Defensive rebound by M. Beasley,,68-67,,
0:08.0,F. Ntilikina makes 2-pt shot from 22 ft,2,70-67,,
0:02.0,,,70-67,,Shooting foul by D. McDermott (drawn by J. Grant)
0:02.0,,,70-68,1,J. Grant makes free throw 1 of 2
0:02.0,,,70-68,,J. Grant misses free throw 2 of 2
0:02.0,Defensive rebound by M. Beasley,,70-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,70-68,,P. Zipser misses 2-pt shot from 13 ft (block by K. O'Quinn)
11:37.0,,,70-68,,Offensive rebound by Team
11:35.0,,,70-70,2,P. Zipser makes 2-pt shot from 19 ft (assist by B. Portis)
11:19.0,M. Beasley misses 2-pt shot from 5 ft,,70-70,,
11:19.0,,,70-70,,Defensive rebound by B. Portis
11:03.0,,,70-72,2,J. Grant makes 2-pt shot from 20 ft
10:36.0,Turnover by Team (shot clock),,70-72,,
10:18.0,,,70-74,2,D. Nwaba makes 2-pt shot from 2 ft (assist by J. Grant)
10:03.0,K. O'Quinn makes 2-pt shot from 1 ft (assist by D. McDermott),2,72-74,,
10:03.0,Shooting foul by D. Nwaba (drawn by K. O'Quinn),,72-74,,
10:03.0,K. O'Quinn makes free throw 1 of 1,1,73-74,,
9:45.0,,,73-74,,J. Grant misses 3-pt shot from 25 ft
9:41.0,Defensive rebound by F. Ntilikina,,73-74,,
9:34.0,M. Beasley makes 3-pt shot from 23 ft (assist by F. Ntilikina),3,76-74,,
9:21.0,,,76-76,2,B. Portis makes 2-pt shot from 8 ft (assist by J. Grant)
9:06.0,Turnover by F. Ntilikina (bad pass; steal by J. Grant),,76-76,,
8:58.0,,,76-78,2,B. Portis makes 2-pt shot from 1 ft (assist by J. Grant)
8:38.0,D. Dotson makes 2-pt shot from 12 ft (assist by K. O'Quinn),2,78-78,,
8:14.0,,,78-81,3,N. Mirotic makes 3-pt shot from 22 ft (assist by J. Grant)
8:09.0,New York full timeout,,78-81,,
8:09.0,L. Thomas enters the game for D. Dotson,,78-81,,
7:44.0,F. Ntilikina misses 3-pt shot from 27 ft,,78-81,,
7:41.0,,,78-81,,Defensive rebound by J. Grant
7:24.0,,,78-84,3,N. Mirotic makes 3-pt shot from 25 ft
7:03.0,D. McDermott makes 3-pt shot from 24 ft (assist by F. Ntilikina),3,81-84,,
6:43.0,,,81-84,,R. Lopez enters the game for B. Portis
6:43.0,C. Lee enters the game for M. Beasley,,81-84,,
6:43.0,K. Porzingis enters the game for K. O'Quinn,,81-84,,
6:43.0,E. Kanter enters the game for F. Ntilikina,,81-84,,
6:43.0,J. Jack enters the game for D. McDermott,,81-84,,
6:36.0,,,81-84,,N. Mirotic misses 3-pt shot from 28 ft
6:33.0,Defensive rebound by C. Lee,,81-84,,
6:28.0,,,81-84,,Personal foul by N. Mirotic (drawn by E. Kanter)
6:28.0,,,81-84,,L. Markkanen enters the game for N. Mirotic
6:21.0,K. Porzingis makes 2-pt shot from 10 ft (assist by J. Jack),2,83-84,,
6:10.0,,,83-86,2,D. Nwaba makes 2-pt shot from 1 ft (assist by J. Grant)
6:10.0,,,83-86,,Shooting foul by L. Thomas (drawn by D. Nwaba)
6:10.0,,,83-87,1,D. Nwaba makes free throw 1 of 1
5:46.0,K. Porzingis misses 2-pt shot from 3 ft,,83-87,,
5:44.0,,,83-87,,Defensive rebound by D. Nwaba
5:42.0,,,83-89,2,D. Nwaba makes 2-pt shot from 1 ft
5:27.0,Turnover by J. Jack (bad pass; steal by P. Zipser),,83-89,,
5:23.0,,,83-91,2,D. Nwaba makes 2-pt shot at rim (assist by J. Grant)
5:23.0,New York full timeout,,83-91,,
5:23.0,,,83-91,,K. Dunn enters the game for J. Grant
5:08.0,E. Kanter misses 2-pt shot from 2 ft,,83-91,,
5:01.0,Offensive rebound by E. Kanter,,83-91,,
5:01.0,E. Kanter makes 2-pt shot at rim,2,85-91,,
4:44.0,,,85-93,2,R. Lopez makes 2-pt shot from 7 ft (assist by K. Dunn)
4:44.0,,,85-93,,Shooting foul by E. Kanter (drawn by R. Lopez)
4:44.0,,,85-94,1,R. Lopez makes free throw 1 of 1
4:31.0,E. Kanter makes 2-pt shot from 17 ft (assist by C. Lee),2,87-94,,
4:17.0,,,87-96,2,K. Dunn makes 2-pt shot from 1 ft
3:57.0,C. Lee makes 2-pt shot from 1 ft (assist by E. Kanter),2,89-96,,
3:37.0,,,89-96,,Turnover by L. Markkanen (bad pass; steal by C. Lee)
3:36.0,C. Lee makes 2-pt shot at rim,2,91-96,,
3:36.0,Shooting foul by P. Zipser (drawn by C. Lee),,91-96,,
3:36.0,,,91-96,,J. Holiday enters the game for P. Zipser
3:36.0,C. Lee makes free throw 1 of 1,1,92-96,,
3:26.0,,,92-96,,Turnover by R. Lopez (traveling)
3:09.0,E. Kanter misses 2-pt shot from 14 ft,,92-96,,
3:08.0,Offensive rebound by Team,,92-96,,
3:08.0,,,92-96,,Loose ball foul by J. Holiday (drawn by K. Porzingis)
2:58.0,Turnover by K. Porzingis (traveling),,92-96,,
2:47.0,,,92-98,2,L. Markkanen makes 2-pt shot from 1 ft (assist by K. Dunn)
2:28.0,Turnover by K. Porzingis (lost ball; steal by K. Dunn),,92-98,,
2:24.0,,,92-100,2,D. Nwaba makes 2-pt shot at rim (assist by K. Dunn)
2:24.0,New York full timeout,,92-100,,
2:24.0,D. McDermott enters the game for E. Kanter,,92-100,,
