time,Cleveland,pts.away,score,pts.home,Houston
1:16.0,D. Wade makes free throw 2 of 2,1,25-31,,
1:02.0,,,25-34,3,J. Harden makes 3-pt shot from 27 ft (assist by R. Anderson)
0:48.0,K. Korver misses 2-pt shot from 20 ft,,25-34,,
0:45.0,,,25-34,,Defensive rebound by T. Ariza
0:41.0,,,25-34,,Offensive foul by N. Hilario (drawn by J. Green)
0:41.0,,,25-34,,Turnover by N. Hilario (offensive foul)
0:33.0,K. Korver misses 3-pt shot from 25 ft,,25-34,,
0:30.0,,,25-34,,Defensive rebound by J. Harden
0:09.0,,,25-34,,T. Ariza misses 3-pt shot from 23 ft
0:06.0,,,25-34,,Offensive rebound by R. Anderson
0:06.0,,,25-36,2,R. Anderson makes 2-pt shot at rim
0:00.0,D. Wade misses 2-pt shot from 7 ft,,25-36,,
0:00.0,Offensive rebound by Team,,25-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Turnover by D. Wade (lost ball; steal by P. Tucker),,25-36,,
11:45.0,,,25-39,3,R. Anderson makes 3-pt shot from 26 ft (assist by B. Brown)
11:30.0,J. Green misses 2-pt shot from 3 ft,,25-39,,
11:27.0,,,25-39,,Defensive rebound by C. Capela
11:21.0,,,25-42,3,E. Gordon makes 3-pt shot from 28 ft (assist by B. Brown)
11:12.0,,,25-42,,Personal foul by C. Capela (drawn by D. Wade)
11:04.0,C. Frye makes 2-pt shot from 20 ft (assist by I. Shumpert),2,27-42,,
10:48.0,,,27-44,2,E. Gordon makes 2-pt shot from 1 ft (assist by R. Anderson)
10:48.0,,,27-44,,Shooting foul by C. Frye (drawn by E. Gordon)
10:48.0,,,27-45,1,E. Gordon makes free throw 1 of 1
10:34.0,J. Green makes 2-pt shot from 2 ft (assist by D. Wade),2,29-45,,
10:09.0,,,29-45,,Offensive charge foul by P. Tucker (drawn by K. Korver)
10:09.0,,,29-45,,Turnover by P. Tucker (offensive foul)
9:50.0,J. Green makes 2-pt shot from 6 ft,2,31-45,,
9:39.0,,,31-45,,Turnover by B. Brown (bad pass; steal by J. Green)
9:36.0,J. Green makes 2-pt shot from 1 ft,2,33-45,,
9:36.0,Shooting foul by B. Brown (drawn by J. Green),,33-45,,
9:36.0,,,33-45,,T. Ariza enters the game for P. Tucker
9:36.0,J. Green makes free throw 1 of 1,1,34-45,,
9:24.0,,,34-48,3,E. Gordon makes 3-pt shot from 28 ft
9:08.0,J. Green makes 2-pt shot from 7 ft,2,36-48,,
8:57.0,,,36-50,2,C. Capela makes 2-pt shot from 1 ft (assist by T. Ariza)
8:45.0,D. Wade misses 2-pt shot from 11 ft,,36-50,,
8:42.0,,,36-50,,Defensive rebound by C. Capela
8:31.0,,,36-53,3,E. Gordon makes 3-pt shot from 27 ft
8:30.0,Cleveland full timeout,,36-53,,
8:30.0,L. James enters the game for D. Wade,,36-53,,
8:14.0,L. James makes 2-pt shot from 4 ft,2,38-53,,
8:02.0,,,38-53,,Turnover by E. Gordon (traveling)
7:47.0,J. Green makes 3-pt shot from 23 ft (assist by C. Frye),3,41-53,,
7:29.0,,,41-55,2,T. Ariza makes 2-pt shot at rim (assist by C. Capela)
7:11.0,Turnover by L. James (bad pass; steal by R. Anderson),,41-55,,
6:57.0,,,41-55,,E. Gordon misses 3-pt shot from 28 ft
6:54.0,,,41-55,,Offensive rebound by R. Anderson
6:53.0,,,41-55,,R. Anderson misses 2-pt shot from 1 ft
6:51.0,Defensive rebound by K. Korver,,41-55,,
6:42.0,J. Green makes 2-pt shot from 2 ft (assist by I. Shumpert),2,43-55,,
6:41.0,,,43-55,,Houston full timeout
6:41.0,,,43-55,,J. Harden enters the game for B. Brown
6:41.0,J. Crowder enters the game for C. Frye,,43-55,,
6:41.0,J. Smith enters the game for K. Korver,,43-55,,
6:27.0,,,43-55,,Turnover by C. Capela (bad pass)
6:14.0,L. James makes 2-pt shot from 1 ft,2,45-55,,
5:52.0,,,45-55,,Turnover by R. Anderson (lost ball; steal by I. Shumpert)
5:47.0,J. Green makes 2-pt shot from 1 ft (assist by I. Shumpert),2,47-55,,
5:33.0,,,47-55,,Offensive charge foul by J. Harden (drawn by J. Green)
5:33.0,,,47-55,,Turnover by J. Harden (offensive foul)
5:33.0,,,47-55,,N. Hilario enters the game for C. Capela
5:33.0,K. Love enters the game for I. Shumpert,,47-55,,
5:16.0,L. James makes 2-pt shot from 20 ft,2,49-55,,
5:00.0,,,49-55,,Shooting foul by J. Smith (drawn by J. Harden)
5:00.0,,,49-56,1,J. Harden makes free throw 1 of 2
5:00.0,,,49-57,1,J. Harden makes free throw 2 of 2
4:49.0,Shooting foul by T. Ariza (drawn by L. James),,49-57,,
4:49.0,L. James makes free throw 1 of 2,1,50-57,,
4:49.0,,,50-57,,P. Tucker enters the game for R. Anderson
4:49.0,L. James makes free throw 2 of 2,1,51-57,,
4:44.0,,,51-57,,E. Gordon misses 3-pt shot from 27 ft
4:39.0,Defensive rebound by J. Green,,51-57,,
4:37.0,J. Green makes 2-pt shot from 1 ft,2,53-57,,
4:28.0,,,53-57,,Shooting foul by J. Green (drawn by J. Harden)
4:28.0,,,53-58,1,J. Harden makes free throw 1 of 2
4:28.0,,,53-59,1,J. Harden makes free throw 2 of 2
4:13.0,Turnover by L. James (turnover),,53-59,,
4:07.0,,,53-59,,Turnover by J. Harden (bad pass; steal by J. Green)
4:07.0,,,53-59,,Personal foul by T. Ariza (drawn by J. Green)
3:58.0,,,53-59,,Personal foul by N. Hilario (drawn by K. Love)
3:58.0,K. Love makes free throw 1 of 2,1,54-59,,
3:58.0,K. Love makes free throw 2 of 2,1,55-59,,
3:47.0,,,55-61,2,N. Hilario makes 2-pt shot from 1 ft (assist by J. Harden)
3:39.0,J. Smith misses 3-pt shot from 22 ft,,55-61,,
3:36.0,,,55-61,,Defensive rebound by J. Harden
3:28.0,,,55-61,,P. Tucker misses 3-pt shot from 22 ft
3:26.0,Defensive rebound by J. Crowder,,55-61,,
3:20.0,K. Love misses 3-pt shot from 25 ft,,55-61,,
3:17.0,,,55-61,,Defensive rebound by T. Ariza
3:07.0,,,55-61,,T. Ariza misses 3-pt shot from 26 ft
3:05.0,Defensive rebound by L. James,,55-61,,
3:01.0,L. James makes 2-pt shot from 1 ft (assist by J. Smith),2,57-61,,
2:38.0,,,57-61,,Turnover by E. Gordon (bad pass; steal by K. Love)
2:38.0,I. Shumpert enters the game for J. Smith,,57-61,,
2:34.0,Jump ball: P. Tucker vs. K. Love (L. James gains possession),,,,Jump ball: P. Tucker vs. K. Love (L. James gains possession)
2:28.0,L. James makes 2-pt shot from 1 ft,2,59-61,,
2:17.0,Personal foul by I. Shumpert (drawn by J. Harden),,59-61,,
2:17.0,,,59-61,,R. Anderson enters the game for P. Tucker
2:07.0,,,59-61,,Turnover by N. Hilario (out of bounds lost ball)
1:47.0,Turnover by K. Love (lost ball; steal by J. Harden),,59-61,,
1:45.0,,,59-61,,Offensive foul by N. Hilario (drawn by I. Shumpert)
1:45.0,,,59-61,,Turnover by N. Hilario (offensive foul)
1:45.0,,,59-61,,C. Capela enters the game for N. Hilario
1:21.0,K. Love makes 2-pt shot from 1 ft,2,61-61,,
1:05.0,,,61-61,,J. Harden misses 3-pt shot from 25 ft
1:03.0,Defensive rebound by I. Shumpert,,61-61,,
1:00.0,,,61-61,,Personal foul by J. Harden (drawn by J. Green)
1:00.0,J. Green makes free throw 1 of 2,1,62-61,,
1:00.0,K. Korver enters the game for I. Shumpert,,62-61,,
1:00.0,D. Wade enters the game for J. Crowder,,62-61,,
1:00.0,J. Green makes free throw 2 of 2,1,63-61,,
0:51.0,,,63-61,,Shooting foul by L. James (drawn by C. Capela)
0:51.0,,,63-62,1,C. Capela makes free throw 1 of 2
0:51.0,,,63-63,1,C. Capela makes free throw 2 of 2
0:44.0,L. James makes 2-pt shot from 1 ft,2,65-63,,
0:35.0,,,65-63,,Turnover by J. Harden (bad pass; steal by D. Wade)
0:30.0,L. James misses 2-pt shot from 3 ft (block by C. Capela),,65-63,,
0:27.0,Offensive rebound by K. Love,,65-63,,
0:24.0,L. James makes 2-pt shot from 1 ft (assist by D. Wade),2,67-63,,
0:03.0,,,67-63,,Shooting foul by J. Green (drawn by J. Harden)
0:03.0,,,67-64,1,J. Harden makes free throw 1 of 2
0:03.0,J. Smith enters the game for J. Green,,67-64,,
0:03.0,,,67-65,1,J. Harden makes free throw 2 of 2
0:00.0,J. Smith misses 3-pt shot from 35 ft,,67-65,,
0:00.0,Offensive rebound by Team,,67-65,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,L. James misses 2-pt shot from 13 ft,,67-65,,
11:43.0,,,67-65,,Defensive rebound by C. Capela
11:33.0,Personal foul by K. Love (drawn by C. Capela),,67-65,,
11:18.0,,,67-65,,J. Harden misses 2-pt shot from 16 ft
11:15.0,Defensive rebound by J. Crowder,,67-65,,
11:03.0,L. James misses 2-pt shot from 13 ft,,67-65,,
11:01.0,,,67-65,,Defensive rebound by C. Capela
10:57.0,,,67-68,3,E. Gordon makes 3-pt shot from 29 ft (assist by J. Harden)
10:38.0,J. Smith misses 3-pt shot from 25 ft,,67-68,,
10:36.0,,,67-68,,Defensive rebound by J. Harden
10:28.0,,,67-68,,R. Anderson misses 3-pt shot from 28 ft
10:25.0,Defensive rebound by K. Love,,67-68,,
10:20.0,I. Shumpert misses 3-pt shot from 25 ft,,67-68,,
10:18.0,,,67-68,,Defensive rebound by C. Capela
10:07.0,,,67-71,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden)
10:07.0,,,67-71,,Shooting foul by K. Love (drawn by T. Ariza)
10:07.0,,,67-72,1,T. Ariza makes free throw 1 of 1
9:54.0,,,67-72,,Personal foul by C. Capela (drawn by K. Love)
9:52.0,Turnover by J. Crowder (bad pass),,67-72,,
9:45.0,,,67-72,,Turnover by R. Anderson (bad pass)
9:38.0,K. Love misses 2-pt shot from 5 ft (block by C. Capela),,67-72,,
9:34.0,Offensive rebound by J. Crowder,,67-72,,
9:31.0,J. Crowder makes 3-pt shot from 27 ft,3,70-72,,
9:24.0,Personal foul by J. Crowder (drawn by C. Capela),,70-72,,
9:20.0,Personal foul by I. Shumpert (drawn by T. Ariza),,70-72,,
9:16.0,Personal foul by K. Love (drawn by T. Ariza),,70-72,,
9:16.0,,,70-73,1,T. Ariza makes free throw 1 of 2
9:16.0,J. Green enters the game for K. Love,,70-73,,
9:16.0,,,70-73,,T. Ariza misses free throw 2 of 2
9:14.0,Defensive rebound by J. Green,,70-73,,
9:03.0,I. Shumpert makes 2-pt shot from 1 ft (assist by L. James),2,72-73,,
8:47.0,,,72-76,3,J. Harden makes 3-pt shot from 28 ft
8:26.0,J. Smith makes 2-pt shot from 1 ft (assist by J. Green),2,74-76,,
7:59.0,,,74-79,3,J. Harden makes 3-pt shot from 27 ft
7:40.0,J. Crowder misses 2-pt shot from 21 ft,,74-79,,
7:37.0,,,74-79,,Defensive rebound by R. Anderson
7:26.0,,,74-81,2,C. Capela makes 2-pt shot from 5 ft (assist by J. Harden)
7:26.0,Cleveland full timeout,,74-81,,
7:11.0,,,74-81,,Def 3 sec tech foul by C. Capela
7:11.0,L. James misses technical free throw,,74-81,,
7:11.0,Offensive rebound by Team,,74-81,,
7:06.0,J. Smith makes 3-pt shot from 23 ft (assist by L. James),3,77-81,,
6:42.0,,,77-84,3,J. Harden makes 3-pt shot from 25 ft
6:34.0,,,77-84,,Personal foul by E. Gordon (drawn by J. Crowder)
6:34.0,,,77-84,,P. Tucker enters the game for R. Anderson
6:26.0,J. Smith makes 3-pt shot from 22 ft,3,80-84,,
6:15.0,,,80-84,,Turnover by E. Gordon (bad pass; steal by J. Green)
6:11.0,L. James makes 2-pt shot at rim (assist by J. Crowder),2,82-84,,
5:54.0,Personal foul by J. Smith (drawn by J. Harden),,82-84,,
5:54.0,,,82-84,,J. Harden misses free throw 1 of 2
5:54.0,,,82-84,,Offensive rebound by Team
5:54.0,,,82-84,,N. Hilario enters the game for C. Capela
5:54.0,,,82-85,1,J. Harden makes free throw 2 of 2
5:42.0,Turnover by J. Crowder (bad pass; steal by E. Gordon),,82-85,,
5:37.0,,,82-87,2,N. Hilario makes 2-pt shot from 1 ft (assist by J. Harden)
5:19.0,I. Shumpert makes 2-pt shot from 19 ft,2,84-87,,
4:58.0,,,84-87,,J. Harden misses 3-pt shot from 29 ft
4:55.0,,,84-87,,Offensive rebound by P. Tucker
4:48.0,,,84-87,,Offensive charge foul by J. Harden (drawn by J. Crowder)
4:48.0,,,84-87,,Turnover by J. Harden (offensive foul)
4:40.0,J. Green makes 3-pt shot from 25 ft (assist by L. James),3,87-87,,
4:22.0,,,87-89,2,E. Gordon makes 2-pt shot from 1 ft
4:22.0,,,87-89,,Shooting foul by J. Green (drawn by E. Gordon)
4:22.0,,,87-90,1,E. Gordon makes free throw 1 of 1
4:11.0,J. Green makes 2-pt shot from 16 ft (assist by L. James),2,89-90,,
3:50.0,,,89-90,,Shooting foul by J. Crowder (drawn by P. Tucker)
3:50.0,,,89-90,,P. Tucker misses free throw 1 of 2
3:50.0,,,89-90,,Offensive rebound by Team
3:50.0,,,89-90,,R. Anderson enters the game for E. Gordon
3:50.0,,,89-91,1,P. Tucker makes free throw 2 of 2
3:28.0,J. Smith misses 2-pt shot from 1 ft,,89-91,,
3:26.0,,,89-91,,Defensive rebound by N. Hilario
3:09.0,,,89-91,,Turnover by J. Harden (bad pass; steal by J. Crowder)
3:07.0,Turnover by J. Crowder (out of bounds lost ball),,89-91,,
3:07.0,,,89-91,,Houston full timeout
3:07.0,D. Wade enters the game for J. Crowder,,89-91,,
2:55.0,,,89-91,,R. Anderson misses 3-pt shot from 25 ft
2:52.0,,,89-91,,Offensive rebound by P. Tucker
2:52.0,,,89-93,2,P. Tucker makes 2-pt shot from 1 ft
2:41.0,,,89-93,,Personal block foul by P. Tucker (drawn by L. James)
2:27.0,Turnover by L. James (bad pass; steal by T. Ariza),,89-93,,
2:13.0,,,89-96,3,J. Harden makes 3-pt shot from 28 ft
1:52.0,D. Wade makes 2-pt shot from 18 ft (assist by J. Green),2,91-96,,
1:30.0,Personal foul by I. Shumpert (drawn by T. Ariza),,91-96,,
1:30.0,,,91-97,1,T. Ariza makes free throw 1 of 2
1:30.0,K. Korver enters the game for I. Shumpert,,91-97,,
1:30.0,,,91-98,1,T. Ariza makes free throw 2 of 2
1:12.0,D. Wade makes 2-pt shot from 18 ft,2,93-98,,
0:46.0,,,93-98,,J. Harden misses 2-pt shot from 22 ft
0:41.0,Defensive rebound by J. Green,,93-98,,
0:31.0,Offensive foul by L. James (drawn by J. Harden),,93-98,,
0:31.0,Turnover by L. James (offensive foul),,93-98,,
0:31.0,,,93-98,,E. Gordon enters the game for N. Hilario
0:11.0,,,93-98,,Shooting foul by J. Smith (drawn by J. Harden)
0:11.0,,,93-99,1,J. Harden makes free throw 1 of 2
0:11.0,,,93-99,,C. Capela enters the game for R. Anderson
0:11.0,,,93-100,1,J. Harden makes free throw 2 of 2
0:02.0,L. James misses 2-pt shot from 3 ft,,93-100,,
0:02.0,,,93-100,,Defensive rebound by P. Tucker
0:00.0,,,93-100,,T. Ariza misses 3-pt shot from 60 ft
0:00.0,,,93-100,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,93-100,,Turnover by E. Gordon (bad pass; steal by L. James)
11:28.0,Offensive charge foul by K. Love (drawn by P. Tucker),,93-100,,
11:28.0,Turnover by K. Love (offensive foul),,93-100,,
11:28.0,Personal foul by L. James (drawn by E. Gordon),,93-100,,
11:28.0,Turnover by L. James (turnover),,93-100,,
11:15.0,,,93-100,,J. Harden misses 3-pt shot from 28 ft
11:12.0,,,93-100,,Offensive rebound by C. Capela
11:09.0,,,93-100,,Turnover by E. Gordon (bad pass)
11:01.0,,,93-100,,Personal foul by E. Gordon (drawn by K. Korver)
10:51.0,D. Wade misses 2-pt shot from 20 ft,,93-100,,
10:48.0,,,93-100,,Loose ball foul by C. Capela (drawn by K. Love)
10:47.0,Defensive rebound by Team,,93-100,,
10:33.0,K. Love makes 3-pt shot from 25 ft (assist by L. James),3,96-100,,
10:23.0,,,96-100,,C. Capela misses 2-pt shot from 2 ft (block by L. James)
10:18.0,,,96-100,,Offensive rebound by C. Capela
10:17.0,,,96-102,2,C. Capela makes 2-pt shot from 1 ft
10:08.0,J. Green misses 2-pt shot from 22 ft,,96-102,,
10:08.0,,,96-102,,Defensive rebound by C. Capela
10:01.0,,,96-105,3,J. Harden makes 3-pt shot from 25 ft
10:00.0,Cleveland full timeout,,96-105,,
9:45.0,L. James makes 2-pt shot from 2 ft (assist by K. Love),2,98-105,,
9:32.0,,,98-105,,Offensive foul by C. Capela (drawn by J. Green)
9:32.0,,,98-105,,Turnover by C. Capela (offensive foul)
9:11.0,L. James misses 3-pt shot from 22 ft,,98-105,,
9:09.0,,,98-105,,Defensive rebound by J. Harden
9:04.0,,,98-105,,Shooting foul by D. Wade (drawn by C. Capela)
9:04.0,,,98-105,,C. Capela misses free throw 1 of 2
9:04.0,,,98-105,,Offensive rebound by Team
9:04.0,,,98-105,,T. Ariza enters the game for R. Anderson
9:04.0,,,98-106,1,C. Capela makes free throw 2 of 2
8:50.0,J. Green misses 2-pt shot from 3 ft (block by J. Harden),,98-106,,
8:47.0,,,98-106,,Defensive rebound by J. Harden
8:43.0,,,98-106,,T. Ariza misses 3-pt shot from 22 ft
8:40.0,,,98-106,,Offensive rebound by C. Capela
8:32.0,,,98-108,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
8:15.0,K. Love misses 3-pt shot from 25 ft,,98-108,,
8:12.0,,,98-108,,Defensive rebound by P. Tucker
8:02.0,,,98-111,3,P. Tucker makes 3-pt shot from 26 ft (assist by J. Harden)
7:34.0,L. James makes 3-pt shot from 26 ft,3,101-111,,
7:06.0,,,101-111,,E. Gordon misses 3-pt shot from 30 ft
7:04.0,Defensive rebound by D. Wade,,101-111,,
6:57.0,D. Wade misses 2-pt shot from 15 ft,,101-111,,
6:53.0,,,101-111,,Defensive rebound by J. Harden
6:50.0,,,101-111,,J. Harden misses 2-pt shot from 1 ft
6:50.0,Defensive rebound by L. James,,101-111,,
6:42.0,D. Wade makes 2-pt shot from 2 ft (assist by L. James),2,103-111,,
6:42.0,,,103-111,,Houston full timeout
6:42.0,J. Smith enters the game for L. James,,103-111,,
6:23.0,,,103-111,,J. Harden misses 3-pt shot from 29 ft
6:20.0,,,103-111,,Offensive rebound by P. Tucker
6:02.0,,,103-111,,P. Tucker misses 3-pt shot from 22 ft
5:59.0,,,103-111,,Offensive rebound by C. Capela
5:57.0,,,103-111,,T. Ariza misses 3-pt shot from 25 ft
5:53.0,,,103-111,,Offensive rebound by P. Tucker
5:43.0,Personal foul by J. Green (drawn by J. Harden),,103-111,,
5:35.0,,,103-111,,E. Gordon misses 3-pt shot from 26 ft
5:34.0,,,103-111,,Offensive rebound by Team
5:22.0,,,103-111,,T. Ariza misses 3-pt shot from 26 ft
5:19.0,Defensive rebound by K. Korver,,103-111,,
5:08.0,,,103-111,,Personal foul by T. Ariza (drawn by K. Love)
5:03.0,,,103-111,,Personal foul by P. Tucker (drawn by K. Love)
5:03.0,,,103-111,,R. Anderson enters the game for P. Tucker
4:56.0,Turnover by K. Love (traveling),,103-111,,
4:45.0,,,103-111,,Shooting foul by D. Wade (drawn by C. Capela)
4:45.0,,,103-111,,C. Capela misses free throw 1 of 2
4:45.0,,,103-111,,Offensive rebound by Team
4:45.0,L. James enters the game for D. Wade,,103-111,,
4:45.0,I. Shumpert enters the game for K. Korver,,103-111,,
4:45.0,,,103-112,1,C. Capela makes free throw 2 of 2
4:22.0,I. Shumpert misses 3-pt shot from 23 ft,,103-112,,
4:19.0,,,103-112,,Defensive rebound by C. Capela
4:15.0,,,103-112,,Turnover by C. Capela (bad pass; steal by J. Smith)
4:11.0,J. Smith misses 3-pt shot from 25 ft,,103-112,,
4:09.0,Offensive rebound by K. Love,,103-112,,
4:08.0,K. Love misses 2-pt shot from 1 ft,,103-112,,
4:08.0,,,103-112,,Defensive rebound by J. Harden
3:46.0,,,103-112,,E. Gordon misses 2-pt shot from 21 ft
3:44.0,Defensive rebound by J. Smith,,103-112,,
3:39.0,J. Smith makes 2-pt shot from 6 ft,2,105-112,,
3:39.0,,,105-112,,Violation by C. Capela (def goaltending)
3:39.0,,,105-112,,Houston full timeout
3:39.0,,,105-112,,P. Tucker enters the game for R. Anderson
