time,Chicago,pts.away,score,pts.home,Philadelphia
7:58.0,,,3-4,,Defensive rebound by J. Embiid
7:49.0,,,3-6,2,B. Simmons makes 2-pt shot from 1 ft (assist by R. Covington)
7:32.0,L. Markkanen makes 2-pt shot from 17 ft (assist by J. Grant),2,5-6,,
7:19.0,,,5-6,,Shooting foul by J. Holiday (drawn by B. Simmons)
7:19.0,,,5-7,1,B. Simmons makes free throw 1 of 2
7:19.0,,,5-7,,J. Anderson enters the game for R. Covington
7:19.0,,,5-8,1,B. Simmons makes free throw 2 of 2
7:10.0,L. Markkanen misses 2-pt shot from 7 ft,,5-8,,
7:07.0,,,5-8,,Defensive rebound by J. Embiid
7:01.0,,,5-10,2,J. Embiid makes 2-pt shot from 17 ft (assist by B. Simmons)
6:38.0,R. Lopez makes 2-pt shot from 9 ft (assist by Z. LaVine),2,7-10,,
6:11.0,,,7-10,,Turnover by Team (shot clock)
6:11.0,,,7-10,,Philadelphia full timeout
6:11.0,,,7-10,,A. Johnson enters the game for J. Embiid
6:11.0,D. Valentine enters the game for Z. LaVine,,7-10,,
6:03.0,,,7-10,,Personal foul by J. Anderson (drawn by L. Markkanen)
6:03.0,N. Mirotic enters the game for R. Lopez,,7-10,,
5:58.0,Turnover by J. Grant (traveling),,7-10,,
5:45.0,,,7-12,2,J. Anderson makes 2-pt shot from 1 ft (assist by B. Simmons)
5:26.0,J. Holiday misses 3-pt shot from 25 ft,,7-12,,
5:23.0,,,7-12,,Defensive rebound by B. Simmons
5:18.0,,,7-12,,D. Saric misses 2-pt shot from 10 ft
5:15.0,Defensive rebound by L. Markkanen,,7-12,,
5:07.0,,,7-12,,Personal foul by A. Johnson (drawn by N. Mirotic)
5:00.0,J. Grant misses 2-pt shot from 15 ft,,7-12,,
4:58.0,,,7-12,,Defensive rebound by B. Simmons
4:50.0,,,7-12,,B. Simmons misses 2-pt shot from 8 ft
4:46.0,,,7-12,,Offensive rebound by B. Simmons
4:46.0,,,7-12,,B. Simmons misses 2-pt shot at rim
4:45.0,,,7-12,,Offensive rebound by B. Simmons
4:35.0,,,7-15,3,D. Saric makes 3-pt shot from 25 ft (assist by B. Simmons)
4:22.0,D. Valentine misses 2-pt shot from 3 ft,,7-15,,
4:15.0,Offensive rebound by L. Markkanen,,7-15,,
4:15.0,L. Markkanen makes 2-pt shot at rim,2,9-15,,
4:10.0,,,9-17,2,B. Simmons makes 2-pt shot from 1 ft
3:57.0,L. Markkanen misses 3-pt shot from 26 ft,,9-17,,
3:54.0,,,9-17,,Defensive rebound by B. Simmons
3:49.0,,,9-17,,Shooting foul by D. Valentine (drawn by D. Saric)
3:49.0,,,9-18,1,D. Saric makes free throw 1 of 2
3:49.0,,,9-18,,J. Young enters the game for T. Luwawu-Cabarrot
3:49.0,,,9-19,1,D. Saric makes free throw 2 of 2
3:29.0,D. Valentine misses 3-pt shot from 25 ft,,9-19,,
3:25.0,,,9-19,,Defensive rebound by B. Simmons
3:15.0,,,9-22,3,J. Anderson makes 3-pt shot from 23 ft (assist by B. Simmons)
3:13.0,Chicago full timeout,,9-22,,
3:13.0,,,9-22,,T. Booker enters the game for A. Johnson
3:13.0,,,9-22,,J. Embiid enters the game for D. Saric
3:13.0,R. Arcidiacono enters the game for J. Grant,,9-22,,
3:13.0,B. Portis enters the game for L. Markkanen,,9-22,,
2:59.0,N. Mirotic misses 3-pt shot from 26 ft,,9-22,,
2:56.0,,,9-22,,Defensive rebound by B. Simmons
2:42.0,,,9-22,,B. Simmons misses 2-pt shot from 15 ft
2:39.0,,,9-22,,Offensive rebound by T. Booker
2:39.0,,,9-22,,T. Booker misses 2-pt shot from 14 ft
2:39.0,Defensive rebound by B. Portis,,9-22,,
2:32.0,D. Valentine makes 3-pt shot from 22 ft (assist by R. Arcidiacono),3,12-22,,
2:10.0,,,12-24,2,B. Simmons makes 2-pt shot from 15 ft
1:46.0,N. Mirotic misses 3-pt shot from 26 ft,,12-24,,
1:43.0,Offensive rebound by B. Portis,,12-24,,
1:42.0,J. Holiday misses 3-pt shot from 26 ft,,12-24,,
1:37.0,,,12-24,,Defensive rebound by B. Simmons
1:30.0,,,12-24,,J. Young misses 3-pt shot from 25 ft
1:26.0,Defensive rebound by J. Holiday,,12-24,,
1:13.0,N. Mirotic misses 2-pt shot from 7 ft (block by B. Simmons),,12-24,,
1:10.0,,,12-24,,Defensive rebound by T. Booker
1:10.0,,,12-24,,Shooting foul by D. Valentine (drawn by J. Young)
1:10.0,,,12-25,1,J. Young makes free throw 1 of 2
1:10.0,,,12-25,,R. Covington enters the game for J. Anderson
1:10.0,,,12-25,,J. Young misses free throw 2 of 2
1:08.0,Defensive rebound by N. Mirotic,,12-25,,
0:58.0,B. Portis misses 2-pt shot from 21 ft,,12-25,,
0:57.0,Offensive rebound by Team,,12-25,,
0:57.0,,,12-25,,Loose ball foul by R. Covington (drawn by N. Mirotic)
0:47.0,D. Valentine misses 3-pt shot from 26 ft,,12-25,,
0:43.0,,,12-25,,Defensive rebound by J. Embiid
0:32.0,,,12-25,,Turnover by B. Simmons (bad pass; steal by B. Portis)
0:29.0,Shooting foul by J. Young (drawn by D. Valentine),,12-25,,
0:29.0,D. Valentine makes free throw 1 of 2,1,13-25,,
0:29.0,D. Valentine makes free throw 2 of 2,1,14-25,,
0:16.0,,,14-25,,Offensive foul by J. Embiid (drawn by B. Portis)
0:16.0,,,14-25,,Turnover by J. Embiid (offensive foul)
0:16.0,,,14-25,,A. Johnson enters the game for J. Embiid
0:01.0,B. Portis makes 2-pt shot from 4 ft (assist by J. Holiday),2,16-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,16-27,2,J. Embiid makes 2-pt shot from 12 ft (assist by T. Luwawu-Cabarrot)
11:31.0,Z. LaVine makes 2-pt shot from 9 ft (assist by B. Portis),2,18-27,,
11:14.0,,,18-27,,T. Booker misses 2-pt shot from 5 ft
11:14.0,Defensive rebound by B. Portis,,18-27,,
11:06.0,R. Arcidiacono misses 3-pt shot from 24 ft,,18-27,,
11:06.0,Offensive rebound by B. Portis,,18-27,,
10:58.0,,,18-27,,Personal foul by L. Drew (drawn by N. Mirotic)
10:51.0,N. Mirotic misses 3-pt shot from 28 ft,,18-27,,
10:47.0,,,18-27,,Defensive rebound by J. Embiid
10:40.0,,,18-27,,R. Covington misses 3-pt shot from 26 ft
10:38.0,Defensive rebound by Z. LaVine,,18-27,,
10:34.0,B. Portis makes 2-pt shot from 1 ft (assist by Z. LaVine),2,20-27,,
10:33.0,,,20-27,,Philadelphia full timeout
10:15.0,,,20-27,,L. Drew misses 3-pt shot from 24 ft
10:12.0,Defensive rebound by Z. LaVine,,20-27,,
9:55.0,N. Mirotic makes 2-pt shot from 9 ft,2,22-27,,
9:37.0,,,22-27,,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft
9:34.0,Defensive rebound by Z. LaVine,,22-27,,
9:19.0,N. Mirotic misses 2-pt shot from 9 ft,,22-27,,
9:17.0,,,22-27,,Defensive rebound by T. Booker
9:04.0,,,22-27,,L. Drew misses 3-pt shot from 26 ft
9:03.0,,,22-27,,Offensive rebound by Team
9:03.0,Loose ball foul by D. Nwaba (drawn by J. Embiid),,22-27,,
9:03.0,,,22-27,,D. Saric enters the game for T. Booker
9:03.0,,,22-27,,B. Simmons enters the game for L. Drew
8:52.0,,,22-27,,J. Embiid misses 2-pt shot from 9 ft
8:49.0,Defensive rebound by N. Mirotic,,22-27,,
8:38.0,N. Mirotic makes 2-pt shot from 7 ft (assist by D. Nwaba),2,24-27,,
8:26.0,,,24-30,3,D. Saric makes 3-pt shot from 25 ft (assist by B. Simmons)
8:07.0,B. Portis misses 3-pt shot from 26 ft,,24-30,,
8:04.0,Offensive rebound by B. Portis,,24-30,,
7:58.0,B. Portis makes 2-pt shot from 8 ft,2,26-30,,
7:37.0,,,26-33,3,T. Luwawu-Cabarrot makes 3-pt shot from 25 ft (assist by J. Embiid)
7:26.0,N. Mirotic misses 3-pt shot from 28 ft,,26-33,,
7:23.0,,,26-33,,Defensive rebound by R. Covington
7:07.0,,,26-33,,J. Embiid misses 2-pt shot from 14 ft
7:05.0,Defensive rebound by D. Nwaba,,26-33,,
6:59.0,B. Portis makes 2-pt shot from 10 ft (assist by D. Nwaba),2,28-33,,
6:45.0,,,28-35,2,B. Simmons makes 2-pt shot from 11 ft
6:35.0,Z. LaVine makes 3-pt shot from 27 ft,3,31-35,,
6:19.0,,,31-35,,Turnover by B. Simmons (bad pass; steal by Z. LaVine)
6:16.0,,,31-35,,Personal foul by B. Simmons (drawn by Z. LaVine)
6:16.0,,,31-35,,A. Johnson enters the game for J. Embiid
6:16.0,,,31-35,,J. Anderson enters the game for R. Covington
6:16.0,L. Markkanen enters the game for B. Portis,,31-35,,
6:16.0,R. Lopez enters the game for Z. LaVine,,31-35,,
6:16.0,D. Valentine enters the game for N. Mirotic,,31-35,,
6:16.0,J. Grant enters the game for R. Arcidiacono,,31-35,,
6:07.0,L. Markkanen misses 3-pt shot from 22 ft,,31-35,,
6:02.0,Offensive rebound by R. Lopez,,31-35,,
6:02.0,R. Lopez misses 2-pt shot at rim,,31-35,,
6:01.0,,,31-35,,Defensive rebound by A. Johnson
5:55.0,,,31-35,,J. Anderson misses 3-pt shot from 24 ft
5:53.0,Defensive rebound by D. Valentine,,31-35,,
5:36.0,Turnover by R. Lopez (lost ball; steal by A. Johnson),,31-35,,
5:28.0,,,31-35,,T. Luwawu-Cabarrot misses 2-pt shot from 20 ft
5:24.0,Defensive rebound by D. Valentine,,31-35,,
5:19.0,D. Valentine misses 2-pt shot from 12 ft,,31-35,,
5:17.0,,,31-35,,Defensive rebound by B. Simmons
5:01.0,,,31-35,,B. Simmons misses 2-pt shot from 10 ft
4:58.0,,,31-35,,Offensive rebound by D. Saric
4:54.0,,,31-35,,Turnover by D. Saric (traveling)
4:54.0,J. Holiday enters the game for D. Nwaba,,31-35,,
4:45.0,L. Markkanen misses 2-pt shot from 2 ft (block by A. Johnson),,31-35,,
4:45.0,Offensive rebound by Team,,31-35,,
4:45.0,,,31-35,,R. Covington enters the game for T. Luwawu-Cabarrot
4:39.0,R. Lopez misses 2-pt shot from 8 ft,,31-35,,
4:36.0,,,31-35,,Defensive rebound by D. Saric
4:30.0,,,31-38,3,D. Saric makes 3-pt shot from 26 ft (assist by B. Simmons)
4:27.0,Chicago full timeout,,31-38,,
4:20.0,Turnover by J. Grant (bad pass; steal by R. Covington),,31-38,,
4:17.0,,,31-38,,Shooting foul by L. Markkanen (drawn by D. Saric)
4:17.0,,,31-39,1,D. Saric makes free throw 1 of 2
4:17.0,,,31-40,1,D. Saric makes free throw 2 of 2
4:04.0,J. Grant misses 2-pt shot from 16 ft,,31-40,,
4:01.0,,,31-40,,Defensive rebound by D. Saric
3:52.0,,,31-43,3,R. Covington makes 3-pt shot from 25 ft (assist by J. Anderson)
3:35.0,J. Holiday makes 2-pt shot from 2 ft (assist by L. Markkanen),2,33-43,,
3:10.0,,,33-46,3,A. Johnson makes 3-pt shot from 23 ft (assist by R. Covington)
2:56.0,D. Valentine misses 3-pt shot from 25 ft,,33-46,,
2:52.0,,,33-46,,Defensive rebound by B. Simmons
2:50.0,,,33-46,,Shooting foul by D. Valentine (drawn by B. Simmons)
2:50.0,,,33-47,1,B. Simmons makes free throw 1 of 2
2:50.0,D. Nwaba enters the game for J. Grant,,33-47,,
2:50.0,R. Arcidiacono enters the game for D. Valentine,,33-47,,
2:50.0,,,33-47,,B. Simmons misses free throw 2 of 2
2:48.0,Defensive rebound by L. Markkanen,,33-47,,
2:38.0,L. Markkanen misses 3-pt shot from 27 ft,,33-47,,
2:33.0,Offensive rebound by R. Lopez,,33-47,,
2:30.0,Turnover by J. Holiday (bad pass; steal by J. Anderson),,33-47,,
2:26.0,,,33-49,2,R. Covington makes 2-pt shot from 1 ft (assist by B. Simmons)
2:25.0,Chicago full timeout,,33-49,,
2:14.0,L. Markkanen misses 2-pt shot from 2 ft,,33-49,,
2:12.0,Offensive rebound by D. Nwaba,,33-49,,
2:10.0,D. Nwaba makes 2-pt shot from 1 ft,2,35-49,,
1:51.0,,,35-51,2,D. Saric makes 2-pt shot from 16 ft
1:33.0,L. Markkanen makes 2-pt shot from 2 ft (assist by R. Arcidiacono),2,37-51,,
1:10.0,,,37-53,2,J. Anderson makes 2-pt shot from 2 ft (assist by A. Johnson)
1:04.0,Shooting foul by R. Covington (drawn by D. Nwaba),,37-53,,
1:04.0,D. Nwaba misses free throw 1 of 2,,37-53,,
1:04.0,Offensive rebound by Team,,37-53,,
1:04.0,N. Mirotic enters the game for R. Lopez,,37-53,,
1:04.0,D. Nwaba misses free throw 2 of 2,,37-53,,
1:01.0,,,37-53,,Defensive rebound by D. Saric
0:52.0,Violation by N. Mirotic (kicked ball),,37-53,,
0:44.0,,,37-53,,R. Covington misses 3-pt shot from 24 ft
0:41.0,Defensive rebound by D. Nwaba,,37-53,,
0:35.0,D. Nwaba makes 2-pt shot from 6 ft,2,39-53,,
0:28.0,,,39-53,,Turnover by B. Simmons (bad pass)
0:28.0,,,39-53,,T. Luwawu-Cabarrot enters the game for R. Covington
0:28.0,J. Grant enters the game for R. Arcidiacono,,39-53,,
0:12.0,J. Holiday misses 3-pt shot from 27 ft,,39-53,,
0:09.0,,,39-53,,Defensive rebound by D. Saric
0:05.0,,,39-55,2,J. Anderson makes 2-pt shot from 1 ft (assist by D. Saric)
0:00.0,,,39-55,,Personal foul by B. Simmons (drawn by D. Nwaba)
0:00.0,D. Nwaba makes free throw 1 of 2,1,40-55,,
0:00.0,,,40-55,,R. Covington enters the game for J. Anderson
0:00.0,D. Nwaba makes free throw 2 of 2,1,41-55,,
0:00.0,,,41-55,,Turnover by R. Covington (bad pass)
0:00.0,,,41-55,,J. Anderson enters the game for R. Covington
0:00.0,J. Holiday misses 2-pt shot from 17 ft,,41-55,,
0:00.0,Offensive rebound by Team,,41-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,41-58,3,R. Covington makes 3-pt shot from 27 ft (assist by B. Simmons)
11:17.0,Z. LaVine misses 2-pt shot from 12 ft,,41-58,,
11:15.0,,,41-58,,Defensive rebound by R. Covington
11:11.0,,,41-61,3,R. Covington makes 3-pt shot from 26 ft (assist by B. Simmons)
10:53.0,D. Nwaba misses 2-pt shot from 3 ft (block by J. Embiid),,41-61,,
10:53.0,Offensive rebound by Team,,41-61,,
10:44.0,J. Holiday misses 3-pt shot from 25 ft,,41-61,,
10:41.0,Offensive rebound by R. Lopez,,41-61,,
10:29.0,Z. LaVine makes 2-pt shot from 1 ft,2,43-61,,
10:16.0,,,43-61,,Turnover by D. Saric (lost ball; steal by R. Lopez)
10:12.0,Turnover by Z. LaVine (out of bounds lost ball),,43-61,,
9:50.0,,,43-63,2,J. Embiid makes 2-pt shot from 10 ft
9:40.0,J. Holiday misses 2-pt shot from 19 ft (block by R. Covington),,43-63,,
9:38.0,,,43-63,,Defensive rebound by B. Simmons
9:34.0,,,43-63,,Shooting foul by J. Holiday (drawn by B. Simmons)
9:34.0,,,43-63,,B. Simmons misses free throw 1 of 2
9:34.0,,,43-63,,Offensive rebound by Team
9:34.0,,,43-64,1,B. Simmons makes free throw 2 of 2
9:24.0,Shooting foul by T. Luwawu-Cabarrot (drawn by Z. LaVine),,43-64,,
9:24.0,Z. LaVine makes free throw 1 of 2,1,44-64,,
9:24.0,Z. LaVine makes free throw 2 of 2,1,45-64,,
9:12.0,,,45-64,,Turnover by B. Simmons (bad pass; steal by D. Nwaba)
8:59.0,Z. LaVine misses 3-pt shot from 24 ft,,45-64,,
8:57.0,,,45-64,,Defensive rebound by Team
8:41.0,,,45-64,,J. Embiid misses 2-pt shot from 2 ft (block by R. Lopez)
8:38.0,Defensive rebound by R. Lopez,,45-64,,
8:35.0,Z. LaVine makes 2-pt shot from 1 ft (assist by D. Nwaba),2,47-64,,
8:13.0,,,47-64,,B. Simmons misses 2-pt shot from 16 ft
8:11.0,Defensive rebound by D. Nwaba,,47-64,,
8:02.0,Shooting foul by R. Covington (drawn by D. Nwaba),,47-64,,
8:02.0,,,47-64,,J. Anderson enters the game for R. Covington
8:02.0,D. Nwaba misses free throw 1 of 2,,47-64,,
8:02.0,Offensive rebound by Team,,47-64,,
8:02.0,D. Nwaba makes free throw 2 of 2,1,48-64,,
7:56.0,Personal foul by R. Lopez,,48-64,,
7:56.0,Technical foul by R. Lopez,,48-64,,
7:56.0,,,48-65,1,D. Saric makes technical free throw
7:50.0,Personal foul by Z. LaVine (drawn by J. Embiid),,48-65,,
7:39.0,,,48-67,2,B. Simmons makes 2-pt shot from 1 ft (assist by T. Luwawu-Cabarrot)
7:26.0,J. Holiday misses 3-pt shot from 27 ft,,48-67,,
7:23.0,,,48-67,,Defensive rebound by T. Luwawu-Cabarrot
7:16.0,,,48-69,2,J. Anderson makes 2-pt shot from 14 ft (assist by B. Simmons)
7:15.0,Chicago full timeout,,48-69,,
7:15.0,J. Grant enters the game for Z. LaVine,,48-69,,
6:56.0,R. Lopez misses 2-pt shot from 9 ft,,48-69,,
6:52.0,,,48-69,,Defensive rebound by J. Embiid
6:41.0,,,48-71,2,D. Saric makes 2-pt shot at rim (assist by B. Simmons)
6:27.0,D. Nwaba makes 3-pt shot from 24 ft (assist by L. Markkanen),3,51-71,,
6:06.0,,,51-71,,T. Luwawu-Cabarrot misses 3-pt shot from 27 ft
6:04.0,Defensive rebound by D. Nwaba,,51-71,,
5:56.0,L. Markkanen makes 3-pt shot from 27 ft (assist by D. Nwaba),3,54-71,,
5:54.0,,,54-71,,Philadelphia full timeout
5:41.0,Personal foul by D. Nwaba (drawn by J. Embiid),,54-71,,
5:29.0,,,54-73,2,J. Embiid makes 2-pt shot from 3 ft
5:14.0,L. Markkanen misses 2-pt shot from 4 ft,,54-73,,
5:11.0,,,54-73,,Defensive rebound by D. Saric
4:52.0,,,54-76,3,D. Saric makes 3-pt shot from 25 ft (assist by J. Embiid)
4:34.0,J. Grant misses 2-pt shot from 21 ft,,54-76,,
4:31.0,,,54-76,,Defensive rebound by T. Luwawu-Cabarrot
4:24.0,,,54-79,3,J. Embiid makes 3-pt shot from 25 ft (assist by B. Simmons)
4:23.0,Chicago full timeout,,54-79,,
4:23.0,,,54-79,,A. Johnson enters the game for J. Anderson
4:23.0,,,54-79,,J. Young enters the game for J. Embiid
4:23.0,B. Portis enters the game for J. Holiday,,54-79,,
4:23.0,,,54-79,,R. Covington enters the game for T. Luwawu-Cabarrot
4:23.0,D. Valentine enters the game for L. Markkanen,,54-79,,
4:23.0,N. Mirotic enters the game for R. Lopez,,54-79,,
4:07.0,Shooting foul by R. Covington (drawn by N. Mirotic),,54-79,,
4:07.0,N. Mirotic makes free throw 1 of 2,1,55-79,,
4:07.0,N. Mirotic makes free throw 2 of 2,1,56-79,,
3:49.0,,,56-79,,R. Covington misses 3-pt shot from 23 ft
3:44.0,Defensive rebound by N. Mirotic,,56-79,,
3:32.0,N. Mirotic makes 3-pt shot from 23 ft (assist by J. Grant),3,59-79,,
3:10.0,,,59-79,,A. Johnson misses 2-pt shot from 2 ft
3:10.0,Defensive rebound by Team,,59-79,,
3:10.0,,,59-79,,T. Booker enters the game for D. Saric
2:53.0,N. Mirotic misses 2-pt shot from 18 ft,,59-79,,
2:53.0,,,59-79,,Defensive rebound by T. Booker
2:40.0,,,59-79,,Turnover by B. Simmons (bad pass; steal by D. Valentine)
2:33.0,Turnover by D. Nwaba (out of bounds lost ball),,59-79,,
2:05.0,,,59-79,,B. Simmons misses 2-pt shot from 10 ft
2:02.0,Defensive rebound by B. Portis,,59-79,,
2:01.0,Shooting foul by J. Young (drawn by J. Grant),,59-79,,
2:01.0,J. Grant makes free throw 1 of 2,1,60-79,,
2:01.0,,,60-79,,J. Embiid enters the game for A. Johnson
2:01.0,J. Grant makes free throw 2 of 2,1,61-79,,
1:36.0,,,61-79,,J. Young misses 3-pt shot from 23 ft
1:36.0,Defensive rebound by D. Valentine,,61-79,,
1:32.0,Shooting foul by B. Simmons (drawn by B. Portis),,61-79,,
1:32.0,B. Portis misses free throw 1 of 2,,61-79,,
1:32.0,Offensive rebound by Team,,61-79,,
1:32.0,B. Portis makes free throw 2 of 2,1,62-79,,
1:15.0,,,62-82,3,J. Young makes 3-pt shot from 26 ft (assist by R. Covington)
0:57.0,N. Mirotic makes 3-pt shot from 28 ft (assist by B. Portis),3,65-82,,
0:38.0,Personal foul by J. Grant (drawn by B. Simmons),,65-82,,
0:38.0,,,65-82,,B. Simmons misses free throw 1 of 2
0:38.0,,,65-82,,Offensive rebound by Team
0:38.0,,,65-83,1,B. Simmons makes free throw 2 of 2
0:29.0,N. Mirotic misses 3-pt shot from 25 ft (block by B. Simmons),,65-83,,
0:29.0,,,65-83,,Defensive rebound by B. Simmons
0:27.0,,,65-83,,Shooting foul by J. Grant (drawn by B. Simmons)
0:27.0,,,65-84,1,B. Simmons makes free throw 1 of 2
0:27.0,,,65-84,,J. Anderson enters the game for J. Embiid
0:27.0,Z. LaVine enters the game for D. Nwaba,,65-84,,
0:27.0,,,65-85,1,B. Simmons makes free throw 2 of 2
0:07.0,J. Grant makes 2-pt shot from 4 ft (assist by D. Valentine),2,67-85,,
0:07.0,Violation by B. Portis (kicked ball),,67-85,,
0:07.0,,,67-85,,J. Embiid enters the game for T. Booker
0:07.0,D. Nwaba enters the game for Z. LaVine,,67-85,,
0:00.0,,,67-85,,Turnover by R. Covington (bad pass; steal by B. Portis)
0:00.0,Z. LaVine enters the game for D. Nwaba,,67-85,,
0:00.0,B. Portis misses 2-pt shot from 18 ft (block by R. Covington),,67-85,,
0:00.0,Offensive rebound by Team,,67-85,,
0:00.0,N. Mirotic misses 2-pt shot from 13 ft,,67-85,,
0:00.0,Offensive rebound by Team,,67-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,N. Mirotic misses 3-pt shot from 25 ft,,67-85,,
11:45.0,,,67-85,,Defensive rebound by R. Covington
11:35.0,,,67-85,,J. Embiid misses 2-pt shot from 17 ft
11:35.0,Defensive rebound by B. Portis,,67-85,,
11:27.0,Z. LaVine misses 2-pt shot from 3 ft,,67-85,,
11:25.0,,,67-85,,Defensive rebound by T. Booker
11:06.0,,,67-88,3,T. Luwawu-Cabarrot makes 3-pt shot from 24 ft (assist by L. Drew)
10:52.0,B. Portis misses 2-pt shot from 18 ft,,67-88,,
10:48.0,,,67-88,,Defensive rebound by T. Luwawu-Cabarrot
10:38.0,,,67-90,2,J. Embiid makes 2-pt shot from 15 ft
10:20.0,D. Valentine makes 2-pt shot from 14 ft,2,69-90,,
10:00.0,,,69-93,3,T. Luwawu-Cabarrot makes 3-pt shot from 27 ft (assist by R. Covington)
9:45.0,B. Portis makes 3-pt shot from 26 ft (assist by Z. LaVine),3,72-93,,
9:20.0,,,72-95,2,T. Booker makes 2-pt shot from 1 ft (assist by R. Covington)
9:02.0,Z. LaVine makes 3-pt shot from 23 ft (assist by J. Grant),3,75-95,,
8:36.0,,,75-97,2,J. Embiid makes 2-pt shot from 14 ft
8:24.0,Turnover by Z. LaVine (bad pass; steal by T. Luwawu-Cabarrot),,75-97,,
8:21.0,,,75-97,,Turnover by T. Luwawu-Cabarrot (bad pass)
8:01.0,J. Grant makes 3-pt shot from 25 ft,3,78-97,,
7:59.0,,,78-97,,Philadelphia full timeout
7:59.0,,,78-97,,B. Simmons enters the game for L. Drew
7:43.0,,,78-100,3,T. Luwawu-Cabarrot makes 3-pt shot from 26 ft (assist by J. Embiid)
7:19.0,Z. LaVine makes 2-pt shot from 19 ft,2,80-100,,
7:08.0,,,80-103,3,R. Covington makes 3-pt shot from 25 ft (assist by T. Booker)
6:49.0,N. Mirotic makes 2-pt shot from 13 ft,2,82-103,,
6:49.0,Shooting foul by B. Simmons (drawn by N. Mirotic),,82-103,,
6:49.0,N. Mirotic makes free throw 1 of 1,1,83-103,,
6:34.0,Personal foul by J. Grant (drawn by J. Embiid),,83-103,,
6:34.0,R. Arcidiacono enters the game for J. Grant,,83-103,,
6:26.0,,,83-103,,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft
6:22.0,Defensive rebound by Z. LaVine,,83-103,,
6:18.0,Z. LaVine makes 3-pt shot from 26 ft,3,86-103,,
5:57.0,,,86-103,,J. Embiid misses 2-pt shot from 13 ft
5:55.0,Defensive rebound by B. Portis,,86-103,,
5:43.0,Z. LaVine makes 2-pt shot from 1 ft,2,88-103,,
5:28.0,,,88-103,,Turnover by J. Embiid (lost ball; steal by B. Portis)
5:28.0,,,88-103,,Loose ball foul by J. Embiid (drawn by B. Portis)
5:28.0,,,88-103,,D. Saric enters the game for T. Booker
5:17.0,Turnover by D. Valentine (out of bounds lost ball),,88-103,,
4:58.0,,,88-105,2,R. Covington makes 2-pt shot from 20 ft (assist by B. Simmons)
4:45.0,Z. LaVine misses 2-pt shot from 19 ft,,88-105,,
4:42.0,,,88-105,,Defensive rebound by D. Saric
4:35.0,,,88-107,2,J. Embiid makes 2-pt shot from 1 ft
