time,Indiana,pts.away,score,pts.home,Boston
4:37.0,M. Turner makes 3-pt shot from 25 ft (assist by V. Oladipo),3,19-10,,
4:21.0,,,19-12,2,A. Baynes makes 2-pt shot at rim (assist by K. Irving)
4:10.0,T. Young makes 3-pt shot from 25 ft (assist by C. Joseph),2,22-12,,
3:59.0,,,22-12,,K. Irving misses 2-pt shot from 2 ft
3:57.0,Defensive rebound by M. Turner,,22-12,,
3:56.0,Turnover by V. Oladipo (traveling),,22-12,,
3:56.0,,,22-12,,T. Rozier enters the game for K. Irving
3:56.0,,,22-12,,M. Morris enters the game for A. Baynes
3:56.0,,,22-12,,D. Theis enters the game for S. Ojeleye
3:56.0,D. Sabonis enters the game for T. Young,,22-12,,
3:40.0,,,22-12,,Turnover by D. Theis (bad pass; steal by V. Oladipo)
3:34.0,V. Oladipo makes 2-pt shot from 2 ft,2,24-12,,
3:28.0,Personal foul by C. Joseph (drawn by D. Theis),,24-12,,
3:28.0,,,24-12,,G. Monroe enters the game for A. Horford
3:28.0,L. Stephenson enters the game for B. Bogdanovic,,24-12,,
3:15.0,,,24-12,,M. Morris misses 3-pt shot from 24 ft
3:14.0,Defensive rebound by D. Sabonis,,24-12,,
3:09.0,V. Oladipo makes 2-pt shot at rim (assist by C. Joseph),2,26-12,,
2:47.0,,,26-12,,M. Morris misses 2-pt shot from 13 ft (block by M. Turner)
2:44.0,Defensive rebound by V. Oladipo,,26-12,,
2:33.0,V. Oladipo misses 2-pt shot from 4 ft (block by J. Tatum),,26-12,,
2:30.0,,,26-12,,Defensive rebound by M. Morris
2:19.0,,,26-12,,G. Monroe misses 2-pt shot from 4 ft
2:15.0,,,26-12,,Offensive rebound by G. Monroe
2:10.0,,,26-12,,M. Morris misses 3-pt shot from 26 ft
2:08.0,Defensive rebound by M. Turner,,26-12,,
2:05.0,,,26-12,,Personal foul by T. Rozier (drawn by C. Joseph)
2:05.0,Indiana full timeout,,26-12,,
2:05.0,J. Young enters the game for C. Joseph,,26-12,,
2:05.0,A. Jefferson enters the game for M. Turner,,26-12,,
1:58.0,,,26-12,,Violation by D. Theis (kicked ball)
1:46.0,Shooting foul by M. Morris (drawn by L. Stephenson),,26-12,,
1:46.0,L. Stephenson makes free throw 1 of 2,1,27-12,,
1:46.0,B. Bogdanovic enters the game for V. Oladipo,,27-12,,
1:46.0,L. Stephenson makes free throw 2 of 2,1,28-12,,
1:33.0,,,28-12,,J. Tatum misses 2-pt shot from 22 ft
1:32.0,Defensive rebound by D. Sabonis,,28-12,,
1:25.0,,,28-12,,Violation by T. Rozier (kicked ball)
1:25.0,,,28-12,,J. Brown enters the game for J. Tatum
1:16.0,Turnover by L. Stephenson (bad pass; steal by T. Rozier),,28-12,,
1:13.0,,,28-12,,Shooting foul by J. Young (drawn by T. Rozier)
1:13.0,,,28-13,1,T. Rozier makes free throw 1 of 2
1:13.0,,,28-14,1,T. Rozier makes free throw 2 of 2
0:55.0,J. Young makes 2-pt shot from 12 ft (assist by A. Jefferson),2,30-14,,
0:39.0,,,30-14,,T. Rozier misses 2-pt shot from 3 ft
0:39.0,,,30-14,,Offensive rebound by Team
0:39.0,Loose ball foul by A. Jefferson (drawn by G. Monroe),,30-14,,
0:39.0,,,30-15,1,G. Monroe makes free throw 1 of 2
0:39.0,,,30-16,1,G. Monroe makes free throw 2 of 2
0:28.0,D. Sabonis misses 2-pt shot from 4 ft,,30-16,,
0:24.0,,,30-16,,Defensive rebound by G. Monroe
0:19.0,,,30-16,,M. Morris misses 2-pt shot from 3 ft (block by B. Bogdanovic)
0:19.0,,,30-16,,Offensive rebound by Team
0:07.0,,,30-16,,T. Rozier misses 3-pt shot from 23 ft
0:03.0,Defensive rebound by J. Young,,30-16,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,L. Stephenson makes 2-pt shot from 7 ft,2,32-16,,
11:17.0,,,32-16,,M. Morris misses 2-pt shot from 1 ft (block by D. Sabonis)
11:13.0,Defensive rebound by A. Jefferson,,32-16,,
11:09.0,L. Stephenson misses 2-pt shot from 14 ft,,32-16,,
11:06.0,Offensive rebound by L. Stephenson,,32-16,,
11:03.0,J. Young misses 3-pt shot from 26 ft,,32-16,,
11:00.0,,,32-16,,Defensive rebound by G. Monroe
10:55.0,,,32-16,,T. Rozier misses 2-pt shot from 18 ft
10:54.0,,,32-16,,Offensive rebound by Team
10:54.0,Loose ball foul by D. Sabonis (drawn by D. Theis),,32-16,,
10:47.0,,,32-16,,G. Monroe misses 2-pt shot from 4 ft
10:44.0,,,32-16,,Offensive rebound by D. Theis
10:43.0,,,32-18,2,D. Theis makes 2-pt shot at rim
10:29.0,D. Sabonis misses 2-pt shot from 11 ft,,32-18,,
10:29.0,Offensive rebound by D. Sabonis,,32-18,,
10:25.0,D. Sabonis makes 2-pt shot from 2 ft,2,34-18,,
10:09.0,,,34-18,,D. Theis misses 2-pt shot from 7 ft
10:08.0,Defensive rebound by B. Bogdanovic,,34-18,,
10:01.0,D. Sabonis makes 2-pt shot from 1 ft (assist by B. Bogdanovic),2,36-18,,
9:43.0,,,36-18,,J. Brown misses 2-pt shot from 2 ft
9:43.0,,,36-18,,Offensive rebound by M. Morris
9:37.0,,,36-20,2,M. Morris makes 2-pt shot from 19 ft
9:20.0,B. Bogdanovic misses 3-pt shot from 26 ft,,36-20,,
9:19.0,Offensive rebound by Team,,36-20,,
9:19.0,,,36-20,,A. Horford enters the game for G. Monroe
9:17.0,J. Young makes 2-pt shot from 13 ft (assist by L. Stephenson),2,38-20,,
8:59.0,,,38-20,,T. Rozier misses 3-pt shot from 24 ft
8:55.0,Defensive rebound by B. Bogdanovic,,38-20,,
8:50.0,B. Bogdanovic makes 2-pt shot from 3 ft,2,40-20,,
8:50.0,,,40-20,,Boston full timeout
8:32.0,,,40-20,,A. Horford misses 2-pt shot from 13 ft
8:32.0,Defensive rebound by L. Stephenson,,40-20,,
8:19.0,B. Bogdanovic makes 2-pt shot from 6 ft (assist by L. Stephenson),2,42-20,,
8:02.0,,,42-20,,J. Brown misses 3-pt shot from 25 ft
8:01.0,Defensive rebound by A. Jefferson,,42-20,,
7:53.0,B. Bogdanovic misses 3-pt shot from 26 ft,,42-20,,
7:52.0,Offensive rebound by Team,,42-20,,
7:52.0,,,42-20,,Loose ball foul by M. Morris (drawn by D. Sabonis)
7:52.0,,,42-20,,A. Nader enters the game for M. Morris
7:35.0,Offensive foul by L. Stephenson (drawn by A. Nader),,42-20,,
7:35.0,Turnover by L. Stephenson (offensive foul),,42-20,,
7:25.0,,,42-20,,Shooting foul by A. Jefferson (drawn by T. Rozier)
7:25.0,,,42-21,1,T. Rozier makes free throw 1 of 2
7:25.0,T. Young enters the game for J. Young,,42-21,,
7:25.0,C. Joseph enters the game for A. Jefferson,,42-21,,
7:25.0,,,42-22,1,T. Rozier makes free throw 2 of 2
7:14.0,T. Young makes 2-pt shot from 1 ft (assist by B. Bogdanovic),2,44-22,,
6:55.0,,,44-24,2,J. Brown makes 2-pt shot from 3 ft
6:49.0,Shooting foul by D. Theis (drawn by B. Bogdanovic),,44-24,,
6:49.0,B. Bogdanovic makes free throw 1 of 2,1,45-24,,
6:49.0,,,45-24,,K. Irving enters the game for T. Rozier
6:49.0,,,45-24,,A. Baynes enters the game for A. Horford
6:49.0,B. Bogdanovic makes free throw 2 of 2,1,46-24,,
6:37.0,,,46-26,2,A. Baynes makes 2-pt shot from 13 ft (assist by K. Irving)
6:22.0,,,46-26,,Personal foul by A. Baynes (drawn by C. Joseph)
6:22.0,V. Oladipo enters the game for B. Bogdanovic,,46-26,,
6:10.0,C. Joseph misses 2-pt shot from 3 ft,,46-26,,
6:06.0,,,46-26,,Defensive rebound by A. Baynes
6:05.0,,,46-26,,Turnover by A. Nader (out of bounds lost ball)
5:49.0,L. Stephenson misses 3-pt shot from 25 ft,,46-26,,
5:44.0,,,46-26,,Defensive rebound by A. Baynes
5:28.0,,,46-26,,Turnover by J. Brown (lost ball; steal by V. Oladipo)
5:22.0,L. Stephenson makes 2-pt shot from 2 ft,2,48-26,,
5:08.0,,,48-26,,A. Baynes misses 2-pt shot from 18 ft
5:08.0,Defensive rebound by V. Oladipo,,48-26,,
5:02.0,Turnover by V. Oladipo (bad pass),,48-26,,
5:02.0,,,48-26,,J. Tatum enters the game for J. Brown
5:02.0,M. Turner enters the game for D. Sabonis,,48-26,,
4:47.0,,,48-26,,A. Nader misses 3-pt shot from 24 ft
4:42.0,Defensive rebound by T. Young,,48-26,,
4:33.0,,,48-26,,Violation by D. Theis (kicked ball)
4:33.0,,,48-26,,M. Morris enters the game for D. Theis
4:33.0,,,48-26,,G. Monroe enters the game for A. Nader
4:25.0,M. Turner misses 2-pt shot from 20 ft,,48-26,,
4:23.0,,,48-26,,Defensive rebound by M. Morris
4:15.0,,,48-26,,Turnover by K. Irving (lost ball; steal by T. Young)
4:09.0,V. Oladipo makes 2-pt shot from 1 ft,2,50-26,,
3:51.0,,,50-26,,Turnover by J. Tatum (bad pass; steal by V. Oladipo)
3:45.0,V. Oladipo misses 3-pt shot from 23 ft,,50-26,,
3:40.0,Offensive rebound by M. Turner,,50-26,,
3:31.0,T. Young makes 2-pt shot from 1 ft (assist by L. Stephenson),2,52-26,,
3:09.0,,,52-26,,K. Irving misses 3-pt shot from 25 ft
3:07.0,Defensive rebound by L. Stephenson,,52-26,,
3:04.0,,,52-26,,Personal foul by A. Baynes (drawn by L. Stephenson)
3:04.0,Indiana full timeout,,52-26,,
3:04.0,,,52-26,,T. Rozier enters the game for A. Baynes
2:56.0,T. Young misses 2-pt shot from 3 ft,,52-26,,
2:52.0,,,52-26,,Defensive rebound by M. Morris
2:43.0,,,52-28,2,M. Morris makes 2-pt shot from 18 ft
2:24.0,Shooting foul by K. Irving (drawn by M. Turner),,52-28,,
2:24.0,M. Turner misses free throw 1 of 2,,52-28,,
2:24.0,Offensive rebound by Team,,52-28,,
2:24.0,M. Turner makes free throw 2 of 2,1,53-28,,
2:10.0,,,53-31,3,K. Irving makes 3-pt shot from 22 ft (assist by G. Monroe)
1:53.0,C. Joseph misses 2-pt shot from 15 ft,,53-31,,
1:51.0,Offensive rebound by T. Young,,53-31,,
1:48.0,Turnover by C. Joseph (bad pass),,53-31,,
1:25.0,,,53-31,,K. Irving misses 2-pt shot from 15 ft
1:24.0,,,53-31,,Offensive rebound by G. Monroe
1:24.0,,,53-31,,G. Monroe misses 2-pt shot from 1 ft
1:23.0,,,53-31,,Offensive rebound by M. Morris
1:23.0,,,53-31,,M. Morris misses 2-pt shot at rim
1:22.0,Defensive rebound by T. Young,,53-31,,
1:10.0,V. Oladipo misses 2-pt shot from 4 ft (block by M. Morris),,53-31,,
1:08.0,,,53-31,,Defensive rebound by J. Tatum
1:08.0,,,53-33,2,J. Tatum makes 2-pt shot at rim
1:08.0,,,53-33,,Shooting foul by C. Joseph (drawn by J. Tatum)
1:08.0,J. Young enters the game for C. Joseph,,53-33,,
1:08.0,,,53-34,1,J. Tatum makes free throw 1 of 1
0:51.0,,,53-34,,Personal foul by G. Monroe (drawn by M. Turner)
0:51.0,M. Turner makes free throw 1 of 2,1,54-34,,
0:51.0,M. Turner makes free throw 2 of 2,1,55-34,,
0:41.0,,,55-36,2,K. Irving makes 2-pt shot from 9 ft
0:30.0,V. Oladipo makes 2-pt shot from 15 ft,2,57-36,,
0:16.0,,,57-36,,Turnover by K. Irving (lost ball; steal by V. Oladipo)
0:14.0,V. Oladipo makes 2-pt shot from 1 ft,2,59-36,,
0:03.0,Personal foul by L. Stephenson (drawn by J. Tatum),,59-36,,
0:03.0,,,59-37,1,J. Tatum makes free throw 1 of 2
0:03.0,,,59-37,,S. Ojeleye enters the game for G. Monroe
0:03.0,B. Bogdanovic enters the game for L. Stephenson,,59-37,,
0:03.0,,,59-38,1,J. Tatum makes free throw 2 of 2
0:01.0,V. Oladipo misses 2-pt shot from 4 ft,,59-38,,
0:01.0,,,59-38,,Defensive rebound by M. Morris
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,V. Oladipo makes 3-pt shot from 23 ft (assist by B. Bogdanovic),3,62-38,,
11:26.0,,,62-40,2,K. Irving makes 2-pt shot from 22 ft (assist by A. Baynes)
11:01.0,Shooting foul by K. Irving (drawn by B. Bogdanovic),,62-40,,
11:01.0,B. Bogdanovic makes free throw 1 of 2,1,63-40,,
11:01.0,B. Bogdanovic makes free throw 2 of 2,1,64-40,,
10:53.0,,,64-42,2,K. Irving makes 2-pt shot from 9 ft
10:36.0,T. Young misses 2-pt shot from 18 ft,,64-42,,
10:34.0,,,64-42,,Defensive rebound by A. Horford
10:26.0,,,64-45,3,A. Horford makes 3-pt shot from 24 ft
10:03.0,B. Bogdanovic makes 2-pt shot from 19 ft (assist by C. Joseph),2,66-45,,
9:45.0,,,66-47,2,J. Tatum makes 2-pt shot from 20 ft (assist by A. Horford)
9:32.0,M. Turner misses 3-pt shot from 25 ft,,66-47,,
9:30.0,,,66-47,,Defensive rebound by J. Brown
9:13.0,,,66-50,3,J. Brown makes 3-pt shot from 22 ft (assist by A. Horford)
8:53.0,C. Joseph misses 3-pt shot from 25 ft,,66-50,,
8:50.0,,,66-50,,Defensive rebound by J. Tatum
8:44.0,,,66-52,2,A. Horford makes 2-pt shot from 9 ft (assist by J. Tatum)
8:44.0,Indiana full timeout,,66-52,,
8:31.0,M. Turner makes 2-pt shot from 16 ft (assist by C. Joseph),2,68-52,,
8:09.0,,,68-52,,A. Baynes misses 2-pt shot from 20 ft
8:09.0,Defensive rebound by T. Young,,68-52,,
7:59.0,V. Oladipo makes 2-pt shot from 20 ft,2,70-52,,
7:42.0,,,70-52,,Offensive charge foul by J. Tatum (drawn by B. Bogdanovic)
7:42.0,,,70-52,,Turnover by J. Tatum (offensive foul)
7:32.0,V. Oladipo misses 3-pt shot from 25 ft,,70-52,,
7:30.0,,,70-52,,Defensive rebound by A. Horford
7:25.0,Personal foul by V. Oladipo (drawn by K. Irving),,70-52,,
7:16.0,,,70-52,,J. Brown misses 3-pt shot from 25 ft
7:13.0,Defensive rebound by T. Young,,70-52,,
7:10.0,C. Joseph misses 2-pt shot from 2 ft (block by A. Horford),,70-52,,
7:10.0,Offensive rebound by Team,,70-52,,
6:59.0,B. Bogdanovic misses 2-pt shot from 9 ft,,70-52,,
6:56.0,,,70-52,,Defensive rebound by A. Baynes
6:47.0,,,70-55,3,K. Irving makes 3-pt shot from 28 ft
6:23.0,Turnover by T. Young (traveling),,70-55,,
6:09.0,,,70-55,,K. Irving misses 2-pt shot from 18 ft
6:06.0,Defensive rebound by V. Oladipo,,70-55,,
5:58.0,V. Oladipo misses 2-pt shot from 14 ft,,70-55,,
5:54.0,,,70-55,,Defensive rebound by A. Baynes
5:39.0,,,70-55,,Turnover by J. Brown (lost ball; steal by V. Oladipo)
5:34.0,Turnover by C. Joseph (bad pass; steal by A. Horford),,70-55,,
5:32.0,,,70-57,2,J. Brown makes 2-pt shot from 2 ft (assist by A. Horford)
5:32.0,,,70-57,,Shooting foul by M. Turner (drawn by J. Brown)
5:32.0,,,70-57,,J. Brown misses free throw 1 of 1
5:30.0,Defensive rebound by T. Young,,70-57,,
5:16.0,,,70-57,,Personal foul by A. Baynes (drawn by T. Young)
5:07.0,V. Oladipo misses 3-pt shot from 25 ft,,70-57,,
5:03.0,,,70-57,,Defensive rebound by K. Irving
4:53.0,,,70-59,2,J. Brown makes 2-pt shot from 3 ft
4:36.0,V. Oladipo makes 2-pt shot from 12 ft,2,72-59,,
4:23.0,,,72-59,,K. Irving misses 3-pt shot from 26 ft
4:19.0,Defensive rebound by V. Oladipo,,72-59,,
4:01.0,Turnover by V. Oladipo (lost ball; steal by J. Brown),,72-59,,
3:56.0,,,72-61,2,K. Irving makes 2-pt shot from 2 ft (assist by J. Brown)
3:30.0,Turnover by Team (shot clock),,72-61,,
3:30.0,,,72-61,,T. Rozier enters the game for J. Tatum
3:30.0,L. Stephenson enters the game for T. Young,,72-61,,
3:30.0,D. Sabonis enters the game for B. Bogdanovic,,72-61,,
3:17.0,,,72-61,,Turnover by A. Horford (traveling)
3:08.0,Turnover by D. Sabonis (traveling),,72-61,,
2:46.0,,,72-63,2,J. Brown makes 2-pt shot from 7 ft
2:46.0,,,72-63,,Shooting foul by L. Stephenson (drawn by J. Brown)
2:46.0,,,72-63,,Boston full timeout
2:46.0,,,72-63,,M. Morris enters the game for K. Irving
2:46.0,,,72-63,,S. Ojeleye enters the game for A. Baynes
2:46.0,J. Young enters the game for V. Oladipo,,72-63,,
2:46.0,,,72-63,,J. Brown misses free throw 1 of 1
2:44.0,Defensive rebound by L. Stephenson,,72-63,,
2:26.0,Shooting foul by S. Ojeleye (drawn by D. Sabonis),,72-63,,
2:26.0,D. Sabonis misses free throw 1 of 2,,72-63,,
2:26.0,Offensive rebound by Team,,72-63,,
2:26.0,V. Oladipo enters the game for C. Joseph,,72-63,,
2:26.0,D. Sabonis makes free throw 2 of 2,1,73-63,,
2:11.0,,,73-63,,J. Brown misses 3-pt shot from 27 ft
2:09.0,Defensive rebound by D. Sabonis,,73-63,,
2:01.0,Offensive foul by D. Sabonis (drawn by J. Brown),,73-63,,
2:01.0,Turnover by D. Sabonis (offensive foul),,73-63,,
2:01.0,,,73-63,,Technical foul by J. Brown
2:01.0,V. Oladipo makes technical free throw,1,74-63,,
1:45.0,,,74-63,,T. Rozier misses 3-pt shot from 26 ft
1:41.0,,,74-63,,Offensive rebound by S. Ojeleye
1:39.0,,,74-66,3,J. Brown makes 3-pt shot from 26 ft (assist by A. Horford)
1:15.0,V. Oladipo misses 2-pt shot from 1 ft,,74-66,,
1:14.0,Offensive rebound by V. Oladipo,,74-66,,
1:13.0,V. Oladipo makes 2-pt shot from 4 ft,2,76-66,,
1:00.0,Personal foul by D. Sabonis (drawn by T. Rozier),,76-66,,
1:00.0,T. Young enters the game for M. Turner,,76-66,,
0:52.0,,,76-66,,Shooting foul by T. Young (drawn by T. Rozier)
0:52.0,,,76-67,1,T. Rozier makes free throw 1 of 2
0:52.0,,,76-67,,D. Theis enters the game for A. Horford
0:52.0,,,76-68,1,T. Rozier makes free throw 2 of 2
0:34.0,V. Oladipo misses 2-pt shot from 3 ft (block by D. Theis),,76-68,,
0:33.0,,,76-68,,Defensive rebound by S. Ojeleye
0:29.0,,,76-68,,Shooting foul by D. Sabonis (drawn by S. Ojeleye)
0:29.0,,,76-69,1,S. Ojeleye makes free throw 1 of 2
0:29.0,,,76-69,,A. Baynes enters the game for D. Theis
0:29.0,A. Jefferson enters the game for D. Sabonis,,76-69,,
0:29.0,,,76-69,,S. Ojeleye misses free throw 2 of 2
0:29.0,Defensive rebound by L. Stephenson,,76-69,,
0:06.0,L. Stephenson misses 2-pt shot from 6 ft,,76-69,,
0:05.0,Offensive rebound by V. Oladipo,,76-69,,
0:05.0,Turnover by Team (shot clock),,76-69,,
0:05.0,,,76-69,,D. Theis enters the game for A. Baynes
0:00.0,,,76-72,3,T. Rozier makes 3-pt shot from 34 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,76-74,2,J. Tatum makes 2-pt shot from 20 ft (assist by T. Rozier)
11:28.0,A. Jefferson makes 2-pt shot from 2 ft (assist by L. Stephenson),2,78-74,,
11:16.0,Personal foul by J. Young (drawn by M. Morris),,78-74,,
11:06.0,,,78-74,,J. Tatum misses 2-pt shot from 18 ft
11:03.0,Defensive rebound by T. Young,,78-74,,
10:45.0,Turnover by A. Jefferson (bad pass; steal by T. Rozier),,78-74,,
10:30.0,,,78-76,2,M. Morris makes 2-pt shot from 3 ft (assist by T. Rozier)
10:09.0,T. Young misses 2-pt shot from 2 ft,,78-76,,
10:06.0,,,78-76,,Defensive rebound by S. Ojeleye
9:59.0,,,78-76,,T. Rozier misses 2-pt shot from 1 ft (block by A. Jefferson)
9:58.0,,,78-76,,Offensive rebound by Team
9:58.0,D. Sabonis enters the game for A. Jefferson,,78-76,,
9:45.0,,,78-76,,M. Morris misses 2-pt shot from 12 ft
9:45.0,,,78-76,,Offensive rebound by Team
9:34.0,,,78-76,,J. Tatum misses 2-pt shot from 10 ft
9:33.0,,,78-76,,Offensive rebound by D. Theis
9:30.0,,,78-76,,Boston full timeout
9:26.0,,,78-76,,M. Morris misses 2-pt shot from 18 ft
9:24.0,Defensive rebound by L. Stephenson,,78-76,,
9:11.0,D. Sabonis misses 2-pt shot from 4 ft (block by J. Tatum),,78-76,,
9:08.0,Offensive rebound by T. Young,,78-76,,
9:07.0,T. Young makes 2-pt shot from 3 ft,2,80-76,,
8:49.0,,,80-78,2,D. Theis makes 2-pt shot from 1 ft (assist by T. Rozier)
8:35.0,B. Bogdanovic misses 3-pt shot from 26 ft,,80-78,,
8:33.0,,,80-78,,Defensive rebound by S. Ojeleye
8:25.0,,,80-78,,T. Rozier misses 2-pt shot from 2 ft
8:22.0,Defensive rebound by T. Young,,80-78,,
8:21.0,B. Bogdanovic misses 2-pt shot at rim (block by J. Tatum),,80-78,,
8:21.0,Offensive rebound by Team,,80-78,,
8:21.0,V. Oladipo enters the game for J. Young,,80-78,,
8:21.0,C. Joseph enters the game for B. Bogdanovic,,80-78,,
8:11.0,L. Stephenson misses 2-pt shot from 16 ft,,80-78,,
8:06.0,Offensive rebound by T. Young,,80-78,,
7:54.0,,,80-78,,Def 3 sec tech foul by S. Ojeleye
7:54.0,V. Oladipo misses technical free throw,,80-78,,
7:54.0,Offensive rebound by Team,,80-78,,
7:51.0,,,80-78,,Personal foul by J. Tatum (drawn by V. Oladipo)
7:37.0,D. Sabonis misses 2-pt shot from 5 ft,,80-78,,
7:36.0,,,80-78,,Defensive rebound by Team
7:23.0,,,80-78,,D. Theis misses 2-pt shot from 10 ft
7:16.0,Defensive rebound by D. Sabonis,,80-78,,
7:13.0,,,80-78,,Personal foul by D. Theis (drawn by V. Oladipo)
7:13.0,,,80-78,,K. Irving enters the game for S. Ojeleye
7:13.0,M. Turner enters the game for T. Young,,80-78,,
7:08.0,Turnover by V. Oladipo (lost ball; steal by D. Theis),,80-78,,
7:02.0,,,80-78,,T. Rozier misses 3-pt shot from 28 ft
6:59.0,,,80-78,,Offensive rebound by K. Irving
6:58.0,,,80-78,,T. Rozier misses 3-pt shot from 28 ft
6:58.0,Defensive rebound by L. Stephenson,,80-78,,
6:51.0,Indiana full timeout,,80-78,,
6:51.0,,,80-78,,A. Horford enters the game for D. Theis
6:37.0,L. Stephenson misses 2-pt shot from 8 ft,,80-78,,
6:34.0,,,80-78,,Defensive rebound by M. Morris
6:23.0,,,80-78,,K. Irving misses 2-pt shot from 8 ft
6:23.0,Defensive rebound by V. Oladipo,,80-78,,
6:08.0,V. Oladipo misses 2-pt shot from 19 ft,,80-78,,
6:06.0,,,80-78,,Defensive rebound by A. Horford
5:47.0,,,80-78,,M. Morris misses 3-pt shot from 23 ft
5:44.0,Defensive rebound by L. Stephenson,,80-78,,
5:33.0,D. Sabonis misses 2-pt shot from 2 ft,,80-78,,
5:28.0,,,80-78,,Defensive rebound by T. Rozier
5:25.0,,,80-78,,T. Rozier misses 2-pt shot from 3 ft
5:24.0,,,80-78,,Offensive rebound by A. Horford
5:24.0,,,80-80,2,A. Horford makes 2-pt shot at rim
5:07.0,V. Oladipo makes 2-pt shot from 20 ft (assist by D. Sabonis),2,82-80,,
4:45.0,,,82-83,3,A. Horford makes 3-pt shot from 26 ft (assist by K. Irving)
4:29.0,V. Oladipo makes 2-pt shot from 20 ft,2,84-83,,
4:01.0,,,84-83,,Shooting foul by C. Joseph (drawn by K. Irving)
4:01.0,,,84-84,1,K. Irving makes free throw 1 of 2
4:01.0,,,84-84,,J. Brown enters the game for M. Morris
4:01.0,B. Bogdanovic enters the game for L. Stephenson,,84-84,,
4:01.0,T. Young enters the game for D. Sabonis,,84-84,,
4:01.0,,,84-85,1,K. Irving makes free throw 2 of 2
