time,Charlotte,pts.away,score,pts.home,Boston
9:15.0,D. Howard misses 2-pt shot from 5 ft,,28-21,,
9:12.0,Offensive rebound by C. Zeller,,28-21,,
9:12.0,C. Zeller makes 2-pt shot from 1 ft (assist by D. Howard),2,30-21,,
9:12.0,Shooting foul by T. Rozier (drawn by C. Zeller),,30-21,,
9:12.0,C. Zeller misses free throw 1 of 1,,30-21,,
9:10.0,,,30-21,,Defensive rebound by A. Nader
8:59.0,,,30-21,,S. Larkin misses 2-pt shot from 9 ft
8:56.0,Defensive rebound by M. Carter-Williams,,30-21,,
8:50.0,M. Carter-Williams misses 2-pt shot from 1 ft,,30-21,,
8:50.0,Offensive rebound by C. Zeller,,30-21,,
8:47.0,C. Zeller misses 2-pt shot from 2 ft (block by A. Baynes),,30-21,,
8:47.0,,,30-21,,Defensive rebound by A. Nader
8:41.0,,,30-21,,T. Rozier misses 3-pt shot from 23 ft
8:41.0,Defensive rebound by Team,,30-21,,
8:39.0,F. Kaminsky enters the game for C. Zeller,,30-21,,
8:22.0,D. Bacon makes 2-pt shot from 14 ft (assist by D. Howard),2,32-21,,
8:11.0,,,32-24,3,J. Tatum makes 3-pt shot from 25 ft (assist by T. Rozier)
7:54.0,,,32-24,,Personal foul by J. Tatum (drawn by F. Kaminsky)
7:54.0,,,32-24,,M. Smart enters the game for T. Rozier
7:48.0,M. Monk misses 2-pt shot from 1 ft,,32-24,,
7:46.0,Offensive rebound by D. Howard,,32-24,,
7:45.0,Shooting foul by A. Nader (drawn by M. Monk),,32-24,,
7:45.0,Technical foul by D. Howard,,32-24,,
7:45.0,,,32-25,1,M. Smart makes technical free throw
7:45.0,M. Monk makes free throw 1 of 2,1,33-25,,
7:45.0,M. Monk makes free throw 2 of 2,1,34-25,,
7:33.0,,,34-28,3,S. Larkin makes 3-pt shot from 24 ft (assist by M. Smart)
7:21.0,D. Bacon makes 2-pt shot from 13 ft (assist by M. Carter-Williams),2,36-28,,
7:08.0,Personal foul by M. Carter-Williams (drawn by M. Smart),,36-28,,
7:08.0,M. Williams enters the game for D. Howard,,36-28,,
7:08.0,K. Walker enters the game for M. Carter-Williams,,36-28,,
7:00.0,,,36-28,,J. Tatum misses 2-pt shot from 20 ft
6:57.0,,,36-28,,Offensive rebound by A. Baynes
6:55.0,,,36-28,,Turnover by A. Baynes (bad pass; steal by M. Williams)
