time,Golden State,pts.away,score,pts.home,Denver
5:26.0,,,19-11,,P. Millsap misses 2-pt shot from 4 ft (block by D. Green)
5:22.0,Defensive rebound by K. Durant,,19-11,,
5:17.0,K. Thompson makes 3-pt shot from 22 ft (assist by K. Durant),3,22-11,,
5:17.0,,,22-11,,Denver full timeout
5:17.0,,,22-11,,W. Barton enters the game for N. Jokic
5:17.0,,,22-11,,M. Plumlee enters the game for W. Chandler
5:17.0,A. Iguodala enters the game for D. Green,,22-11,,
5:17.0,J. McGee enters the game for Z. Pachulia,,22-11,,
5:05.0,,,22-14,3,W. Barton makes 3-pt shot from 25 ft (assist by G. Harris)
4:50.0,S. Curry makes 2-pt shot from 12 ft,2,24-14,,
4:31.0,,,24-14,,J. Murray misses 3-pt shot from 25 ft
4:28.0,Defensive rebound by K. Durant,,24-14,,
4:28.0,Turnover by K. Durant (lost ball; steal by M. Plumlee),,24-14,,
4:23.0,,,24-14,,Personal foul by M. Plumlee (drawn by K. Durant)
4:23.0,N. Young enters the game for K. Thompson,,24-14,,
4:22.0,,,24-14,,P. Millsap misses 3-pt shot from 25 ft
4:22.0,Defensive rebound by K. Durant,,24-14,,
4:09.0,S. Curry misses 2-pt shot from 10 ft,,24-14,,
4:08.0,Offensive rebound by J. McGee,,24-14,,
4:07.0,J. McGee misses 2-pt shot from 3 ft,,24-14,,
4:05.0,,,24-14,,Defensive rebound by J. Murray
3:59.0,,,24-16,2,J. Murray makes 2-pt shot from 3 ft
3:46.0,J. McGee misses 2-pt shot from 3 ft,,24-16,,
3:44.0,,,24-16,,Defensive rebound by M. Plumlee
3:41.0,,,24-16,,W. Barton misses 3-pt shot from 25 ft
3:36.0,Defensive rebound by A. Iguodala,,24-16,,
3:14.0,N. Young misses 3-pt shot from 22 ft,,24-16,,
3:13.0,Offensive rebound by A. Iguodala,,24-16,,
3:13.0,,,24-16,,Personal foul by G. Harris (drawn by A. Iguodala)
3:13.0,,,24-16,,W. Chandler enters the game for P. Millsap
3:13.0,,,24-16,,E. Mudiay enters the game for J. Murray
3:06.0,A. Iguodala makes 2-pt shot from 3 ft (assist by S. Curry),2,26-16,,
2:48.0,,,26-16,,Turnover by E. Mudiay (out of bounds lost ball)
2:32.0,J. McGee makes 2-pt shot from 6 ft (assist by K. Durant),2,28-16,,
2:22.0,,,28-19,3,W. Chandler makes 3-pt shot from 25 ft (assist by M. Plumlee)
1:58.0,K. Durant misses 3-pt shot from 25 ft,,28-19,,
1:56.0,,,28-19,,Defensive rebound by W. Barton
1:50.0,,,28-21,2,W. Barton makes 2-pt shot from 3 ft
1:50.0,Golden State full timeout,,28-21,,
1:50.0,D. Green enters the game for K. Durant,,28-21,,
1:35.0,J. McGee makes 2-pt shot from 2 ft (assist by S. Curry),2,30-21,,
1:21.0,,,30-23,2,E. Mudiay makes 2-pt shot from 19 ft (assist by M. Plumlee)
1:05.0,J. McGee makes 2-pt shot from 1 ft (assist by S. Curry),2,32-23,,
0:48.0,,,32-23,,Turnover by M. Plumlee (bad pass; steal by A. Iguodala)
0:39.0,J. McGee makes 2-pt shot from 3 ft (assist by S. Curry),2,34-23,,
0:24.0,,,34-23,,Turnover by G. Harris (lost ball; steal by A. Iguodala)
0:20.0,A. Iguodala makes 2-pt shot from 2 ft,2,36-23,,
0:20.0,Shooting foul by W. Barton (drawn by A. Iguodala),,36-23,,
0:20.0,P. McCaw enters the game for J. McGee,,36-23,,
0:20.0,K. Looney enters the game for S. Curry,,36-23,,
0:20.0,A. Iguodala misses free throw 1 of 1,,36-23,,
0:18.0,,,36-23,,Defensive rebound by W. Barton
0:05.0,Personal take foul by K. Looney (drawn by W. Barton),,36-23,,
0:00.0,,,36-23,,W. Chandler misses 3-pt shot from 25 ft
0:00.0,,,36-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,36-23,,Shooting foul by P. McCaw (drawn by E. Mudiay)
11:37.0,,,36-24,1,E. Mudiay makes free throw 1 of 2
11:37.0,,,36-25,1,E. Mudiay makes free throw 2 of 2
11:23.0,A. Iguodala misses 2-pt shot from 18 ft,,36-25,,
11:19.0,,,36-25,,Defensive rebound by M. Beasley
11:12.0,,,36-25,,K. Faried misses 2-pt shot from 6 ft
11:09.0,Defensive rebound by D. Green,,36-25,,
10:50.0,D. West misses 2-pt shot from 13 ft,,36-25,,
10:49.0,,,36-25,,Defensive rebound by N. Jokic
10:40.0,,,36-25,,Shooting foul by D. West (drawn by N. Jokic)
10:40.0,,,36-26,1,N. Jokic makes free throw 1 of 2
10:40.0,,,36-27,1,N. Jokic makes free throw 2 of 2
10:21.0,K. Thompson misses 3-pt shot from 25 ft,,36-27,,
10:16.0,,,36-27,,Defensive rebound by K. Faried
10:15.0,,,36-27,,Turnover by K. Faried (lost ball; steal by P. McCaw)
10:12.0,P. McCaw misses 2-pt shot from 1 ft,,36-27,,
10:09.0,,,36-27,,Defensive rebound by E. Mudiay
9:54.0,,,36-27,,E. Mudiay misses 2-pt shot from 8 ft
9:49.0,,,36-27,,Offensive rebound by N. Jokic
9:49.0,,,36-29,2,N. Jokic makes 2-pt shot at rim
9:35.0,K. Thompson misses 2-pt shot from 2 ft,,36-29,,
9:32.0,,,36-29,,Defensive rebound by N. Jokic
9:28.0,,,36-31,2,W. Barton makes 2-pt shot from 3 ft (assist by N. Jokic)
9:05.0,A. Iguodala misses 3-pt shot from 24 ft,,36-31,,
9:02.0,,,36-31,,Defensive rebound by M. Beasley
8:59.0,,,36-33,2,K. Faried makes 2-pt shot from 3 ft (assist by M. Beasley)
8:58.0,Golden State full timeout,,36-33,,
8:40.0,K. Thompson misses 2-pt shot from 13 ft,,36-33,,
8:37.0,,,36-33,,Defensive rebound by K. Faried
8:24.0,,,36-33,,Shooting foul by K. Thompson (drawn by N. Jokic)
8:24.0,,,36-34,1,N. Jokic makes free throw 1 of 2
8:24.0,,,36-35,1,N. Jokic makes free throw 2 of 2
8:09.0,D. Green misses 3-pt shot from 26 ft,,36-35,,
8:06.0,,,36-35,,Defensive rebound by M. Beasley
7:47.0,,,36-35,,E. Mudiay misses 3-pt shot from 24 ft
7:45.0,Defensive rebound by A. Iguodala,,36-35,,
7:32.0,J. Bell enters the game for D. Green,,36-35,,
7:32.0,K. Durant enters the game for D. West,,36-35,,
7:22.0,K. Thompson misses 3-pt shot from 22 ft,,36-35,,
7:20.0,,,36-35,,Defensive rebound by M. Beasley
7:17.0,,,36-38,3,W. Barton makes 3-pt shot from 25 ft (assist by M. Beasley)
7:02.0,K. Durant makes 3-pt shot from 23 ft (assist by P. McCaw),3,39-38,,
6:41.0,,,39-38,,K. Faried misses 2-pt shot from 3 ft (block by K. Durant)
6:41.0,,,39-38,,Offensive rebound by Team
6:41.0,O. Casspi enters the game for A. Iguodala,,39-38,,
6:31.0,,,39-38,,W. Barton misses 3-pt shot from 25 ft
6:28.0,Defensive rebound by K. Thompson,,39-38,,
6:25.0,Offensive charge foul by K. Durant (drawn by K. Faried),,39-38,,
6:25.0,Turnover by K. Durant (offensive foul),,39-38,,
6:13.0,,,39-40,2,E. Mudiay makes 2-pt shot from 3 ft
6:13.0,,,39-40,,Shooting foul by J. Bell (drawn by E. Mudiay)
6:13.0,,,39-40,,W. Chandler enters the game for N. Jokic
6:13.0,S. Curry enters the game for K. Thompson,,39-40,,
6:13.0,,,39-41,1,E. Mudiay makes free throw 1 of 1
5:49.0,J. Bell misses 2-pt shot from 4 ft (block by K. Faried),,39-41,,
5:49.0,Offensive rebound by Team,,39-41,,
5:49.0,Turnover by Team (shot clock),,39-41,,
5:40.0,,,39-41,,Shooting foul by J. Bell (drawn by E. Mudiay)
5:40.0,,,39-42,1,E. Mudiay makes free throw 1 of 2
5:40.0,K. Looney enters the game for J. Bell,,39-42,,
5:40.0,,,39-42,,E. Mudiay misses free throw 2 of 2
5:37.0,Defensive rebound by O. Casspi,,39-42,,
5:34.0,P. McCaw misses 2-pt shot from 4 ft (block by E. Mudiay),,39-42,,
5:30.0,,,39-42,,Defensive rebound by K. Faried
5:25.0,,,39-42,,M. Beasley misses 3-pt shot from 24 ft
5:23.0,Defensive rebound by O. Casspi,,39-42,,
5:20.0,S. Curry misses 3-pt shot from 26 ft,,39-42,,
5:20.0,,,39-42,,Defensive rebound by W. Barton
5:10.0,,,39-42,,K. Faried misses 2-pt shot from 4 ft
5:07.0,,,39-42,,Offensive rebound by M. Beasley
5:06.0,,,39-44,2,K. Faried makes 2-pt shot from 1 ft (assist by M. Beasley)
5:06.0,Golden State full timeout,,39-44,,
4:53.0,O. Casspi makes 2-pt shot from 2 ft (assist by K. Durant),2,41-44,,
4:36.0,,,41-46,2,K. Faried makes 2-pt shot from 2 ft (assist by E. Mudiay)
4:34.0,,,41-46,,Shooting foul by O. Casspi (drawn by K. Faried)
4:34.0,,,41-47,1,K. Faried makes free throw 1 of 1
4:18.0,K. Durant makes 2-pt shot from 16 ft,2,43-47,,
3:55.0,,,43-47,,W. Barton misses 2-pt shot from 3 ft (block by K. Durant)
3:52.0,Defensive rebound by O. Casspi,,43-47,,
3:46.0,,,43-47,,Personal foul by E. Mudiay (drawn by K. Looney)
3:46.0,,,43-47,,G. Harris enters the game for M. Beasley
3:46.0,K. Thompson enters the game for P. McCaw,,43-47,,
3:39.0,S. Curry makes 3-pt shot from 24 ft (assist by K. Looney),3,46-47,,
3:15.0,,,46-47,,Turnover by E. Mudiay (bad pass; steal by K. Thompson)
3:13.0,,,46-47,,Personal foul by E. Mudiay (drawn by K. Thompson)
3:13.0,,,46-47,,J. Murray enters the game for E. Mudiay
3:13.0,,,46-47,,P. Millsap enters the game for W. Barton
3:13.0,,,46-47,,N. Jokic enters the game for K. Faried
3:13.0,D. Green enters the game for O. Casspi,,46-47,,
3:09.0,Shooting foul by P. Millsap (drawn by S. Curry),,46-47,,
3:09.0,S. Curry makes free throw 1 of 2,1,47-47,,
3:09.0,S. Curry makes free throw 2 of 2,1,48-47,,
2:56.0,,,48-49,2,W. Chandler makes 2-pt shot from 7 ft
2:35.0,S. Curry makes 3-pt shot from 23 ft (assist by D. Green),3,51-49,,
2:22.0,,,51-49,,J. Murray misses 2-pt shot from 13 ft
2:20.0,Defensive rebound by D. Green,,51-49,,
2:15.0,S. Curry misses 3-pt shot from 26 ft,,51-49,,
2:10.0,Offensive rebound by K. Looney,,51-49,,
2:08.0,Turnover by K. Looney (lost ball; steal by G. Harris),,51-49,,
2:07.0,,,51-51,2,P. Millsap makes 2-pt shot from 2 ft (assist by J. Murray)
1:43.0,Turnover by K. Durant (bad pass; steal by G. Harris),,51-51,,
1:39.0,,,51-53,2,G. Harris makes 2-pt shot from 2 ft (assist by P. Millsap)
1:33.0,,,51-53,,Personal foul by N. Jokic (drawn by K. Thompson)
1:29.0,Shooting foul by P. Millsap (drawn by K. Looney),,51-53,,
1:29.0,K. Looney makes free throw 1 of 2,1,52-53,,
1:29.0,K. Looney misses free throw 2 of 2,,52-53,,
1:27.0,,,52-53,,Defensive rebound by N. Jokic
1:04.0,,,52-53,,J. Murray misses 3-pt shot from 26 ft
1:04.0,,,52-53,,Offensive rebound by G. Harris
1:04.0,,,52-53,,Turnover by Team (shot clock)
0:56.0,D. Green makes 3-pt shot from 26 ft (assist by S. Curry),3,55-53,,
0:47.0,,,55-55,2,G. Harris makes 2-pt shot from 2 ft (assist by N. Jokic)
0:37.0,K. Thompson makes 2-pt shot from 19 ft (assist by D. Green),2,57-55,,
0:19.0,,,57-55,,J. Murray misses 2-pt shot from 17 ft
0:16.0,Defensive rebound by K. Looney,,57-55,,
0:02.0,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry),3,60-55,,
0:00.0,,,60-55,,P. Millsap misses 3-pt shot from 26 ft
0:00.0,,,60-55,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,60-57,2,J. Murray makes 2-pt shot from 1 ft (assist by N. Jokic)
11:27.0,Z. Pachulia makes 2-pt shot from 7 ft (assist by D. Green),2,62-57,,
11:07.0,,,62-57,,N. Jokic misses 2-pt shot from 14 ft
11:04.0,Defensive rebound by D. Green,,62-57,,
10:59.0,D. Green makes 2-pt shot from 3 ft (assist by K. Durant),2,64-57,,
10:41.0,,,64-57,,Turnover by P. Millsap (traveling)
10:25.0,D. Green makes 3-pt shot from 26 ft (assist by K. Durant),3,67-57,,
10:10.0,,,67-57,,Turnover by J. Murray (bad pass; steal by S. Curry)
10:05.0,Z. Pachulia makes 2-pt shot from 2 ft,2,69-57,,
10:05.0,,,69-57,,Denver full timeout
9:52.0,,,69-57,,G. Harris misses 2-pt shot from 5 ft
9:50.0,,,69-57,,Offensive rebound by G. Harris
9:42.0,,,69-57,,P. Millsap misses 2-pt shot from 9 ft
9:40.0,Defensive rebound by Z. Pachulia,,69-57,,
9:37.0,,,69-57,,Personal foul by P. Millsap (drawn by S. Curry)
9:33.0,K. Durant makes 2-pt shot from 19 ft,2,71-57,,
9:16.0,,,71-57,,G. Harris misses 3-pt shot from 24 ft
9:14.0,Defensive rebound by K. Durant,,71-57,,
9:02.0,Turnover by S. Curry (bad pass; steal by N. Jokic),,71-57,,
8:57.0,,,71-57,,W. Chandler misses 3-pt shot from 24 ft
8:51.0,Defensive rebound by Z. Pachulia,,71-57,,
8:37.0,Z. Pachulia makes 2-pt shot from 9 ft (assist by K. Durant),2,73-57,,
8:16.0,,,73-57,,Turnover by P. Millsap (lost ball; steal by D. Green)
8:05.0,K. Durant makes 3-pt shot from 26 ft (assist by D. Green),3,76-57,,
8:04.0,,,76-57,,Denver full timeout
8:04.0,,,76-57,,E. Mudiay enters the game for P. Millsap
8:04.0,,,76-57,,M. Plumlee enters the game for G. Harris
8:04.0,,,76-57,,K. Faried enters the game for N. Jokic
8:04.0,,,76-57,,W. Barton enters the game for W. Chandler
8:04.0,,,76-57,,M. Beasley enters the game for J. Murray
7:46.0,,,76-59,2,M. Plumlee makes 2-pt shot from 5 ft (assist by W. Barton)
7:27.0,,,76-59,,Personal foul by W. Barton (drawn by K. Thompson)
7:19.0,K. Durant misses 3-pt shot from 26 ft,,76-59,,
7:15.0,,,76-59,,Defensive rebound by E. Mudiay
7:09.0,,,76-59,,M. Beasley misses 2-pt shot from 20 ft
7:06.0,Defensive rebound by D. Green,,76-59,,
7:03.0,Z. Pachulia misses 2-pt shot from 1 ft,,76-59,,
7:01.0,,,76-59,,Defensive rebound by M. Plumlee
7:01.0,,,76-59,,Turnover by E. Mudiay (lost ball; steal by S. Curry)
7:01.0,S. Curry makes 3-pt shot from 24 ft,3,79-59,,
7:01.0,Shooting foul by E. Mudiay (drawn by S. Curry),,79-59,,
7:01.0,S. Curry misses free throw 1 of 1,,79-59,,
6:38.0,,,79-59,,E. Mudiay misses 2-pt shot from 19 ft
6:35.0,Defensive rebound by D. Green,,79-59,,
6:33.0,K. Durant makes 2-pt shot from 2 ft,2,81-59,,
6:23.0,,,81-59,,W. Barton misses 3-pt shot from 26 ft
6:21.0,,,81-59,,Offensive rebound by M. Plumlee
6:21.0,,,81-59,,Shooting foul by D. Green (drawn by M. Plumlee)
6:21.0,,,81-59,,M. Plumlee misses free throw 2 of 2
6:21.0,Defensive rebound by Team,,81-59,,
6:21.0,,,81-59,,M. Plumlee misses free throw 1 of 2
6:21.0,,,81-59,,Offensive rebound by Team
6:13.0,S. Curry makes 3-pt shot from 24 ft (assist by D. Green),3,84-59,,
6:12.0,,,84-59,,Denver full timeout
5:52.0,,,84-61,2,K. Faried makes 2-pt shot from 5 ft (assist by W. Barton)
5:35.0,K. Durant makes 3-pt shot from 24 ft (assist by Z. Pachulia),3,87-61,,
5:19.0,,,87-63,2,M. Plumlee makes 2-pt shot from 2 ft (assist by E. Mudiay)
5:08.0,S. Curry misses 3-pt shot from 25 ft,,87-63,,
5:06.0,,,87-63,,Defensive rebound by M. Plumlee
4:58.0,,,87-63,,W. Barton misses 2-pt shot from 2 ft
4:56.0,,,87-63,,Offensive rebound by K. Faried
4:53.0,,,87-63,,K. Faried misses 2-pt shot from 5 ft
4:51.0,,,87-63,,Offensive rebound by W. Barton
4:51.0,,,87-65,2,W. Barton makes 2-pt shot at rim
4:34.0,Z. Pachulia makes 2-pt shot from 3 ft (assist by K. Thompson),2,89-65,,
4:26.0,,,89-68,3,M. Beasley makes 3-pt shot from 23 ft (assist by E. Mudiay)
4:26.0,Golden State full timeout,,89-68,,
4:26.0,J. McGee enters the game for Z. Pachulia,,89-68,,
4:26.0,A. Iguodala enters the game for K. Durant,,89-68,,
4:16.0,Shooting foul by M. Plumlee (drawn by J. McGee),,89-68,,
4:16.0,J. McGee makes free throw 1 of 2,1,90-68,,
4:16.0,N. Young enters the game for K. Thompson,,90-68,,
4:16.0,J. McGee misses free throw 2 of 2,,90-68,,
4:14.0,,,90-68,,Defensive rebound by K. Faried
3:53.0,,,90-68,,Turnover by M. Beasley (lost ball; steal by N. Young)
3:43.0,N. Young misses 3-pt shot from 23 ft,,90-68,,
3:39.0,Offensive rebound by A. Iguodala,,90-68,,
3:33.0,N. Young misses 3-pt shot from 23 ft,,90-68,,
3:30.0,Offensive rebound by A. Iguodala,,90-68,,
3:19.0,D. Green makes 2-pt shot from 3 ft (assist by S. Curry),2,92-68,,
3:10.0,,,92-70,2,M. Plumlee makes 2-pt shot from 3 ft (assist by W. Barton)
3:10.0,,,92-70,,Shooting foul by D. Green (drawn by M. Plumlee)
3:10.0,,,92-70,,T. Lyles enters the game for K. Faried
3:10.0,,,92-71,1,M. Plumlee makes free throw 1 of 1
2:59.0,J. McGee makes 2-pt shot from 3 ft (assist by S. Curry),2,94-71,,
2:48.0,,,94-71,,Turnover by M. Beasley (bad pass; steal by J. McGee)
2:42.0,S. Curry misses 3-pt shot from 25 ft,,94-71,,
2:39.0,,,94-71,,Defensive rebound by M. Beasley
2:29.0,,,94-71,,Turnover by M. Plumlee (turnover)
2:15.0,J. McGee misses 2-pt shot from 3 ft (block by M. Plumlee),,94-71,,
2:12.0,,,94-71,,Defensive rebound by E. Mudiay
2:08.0,,,94-71,,Shooting foul by J. McGee (drawn by W. Barton)
2:08.0,,,94-71,,W. Barton misses free throw 1 of 2
2:08.0,,,94-71,,Offensive rebound by Team
2:08.0,,,94-72,1,W. Barton makes free throw 2 of 2
1:52.0,S. Curry makes 2-pt shot from 14 ft (assist by D. Green),2,96-72,,
1:36.0,,,96-72,,T. Lyles misses 2-pt shot from 4 ft
1:34.0,Defensive rebound by J. McGee,,96-72,,
1:31.0,Shooting foul by M. Beasley (drawn by S. Curry),,96-72,,
1:31.0,K. Durant enters the game for D. Green,,96-72,,
1:31.0,,,96-72,,D. Arthur enters the game for M. Plumlee
1:31.0,S. Curry makes free throw 1 of 1,1,100-72,,
1:30.0,S. Curry makes 3-pt shot from 26 ft,3,99-72,,
1:19.0,,,99-72,,T. Lyles misses 3-pt shot from 25 ft
1:17.0,,,99-72,,Offensive rebound by D. Arthur
1:13.0,Personal foul by N. Young (drawn by M. Beasley),,99-72,,
1:08.0,,,99-72,,D. Arthur misses 3-pt shot from 24 ft
1:03.0,Defensive rebound by A. Iguodala,,99-72,,
1:00.0,Turnover by S. Curry (bad pass),,99-72,,
0:53.0,,,99-72,,E. Mudiay misses 2-pt shot from 15 ft
0:51.0,,,99-72,,Offensive rebound by E. Mudiay
0:47.0,,,100-74,2,W. Barton makes 2-pt shot from 3 ft (assist by E. Mudiay)
0:32.0,Shooting foul by D. Arthur (drawn by K. Durant),,100-74,,
0:32.0,K. Durant makes free throw 1 of 3,1,101-74,,
0:32.0,K. Looney enters the game for J. McGee,,101-74,,
0:32.0,K. Durant makes free throw 2 of 3,1,102-74,,
0:32.0,K. Durant makes free throw 3 of 3,1,103-74,,
0:17.0,,,103-74,,M. Beasley misses 3-pt shot from 25 ft
0:14.0,,,103-74,,Offensive rebound by Team
0:14.0,P. McCaw enters the game for S. Curry,,103-74,,
0:01.0,,,103-76,2,T. Lyles makes 2-pt shot from 5 ft (assist by E. Mudiay)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,A. Iguodala misses 3-pt shot from 23 ft,,103-76,,
11:40.0,,,103-76,,Defensive rebound by W. Barton
11:30.0,,,103-78,2,T. Lyles makes 2-pt shot from 5 ft (assist by E. Mudiay)
11:30.0,,,103-78,,Shooting foul by P. McCaw (drawn by T. Lyles)
11:30.0,,,103-79,1,T. Lyles makes free throw 1 of 1
11:15.0,D. West makes 2-pt shot from 2 ft (assist by K. Thompson),2,105-79,,
11:00.0,,,105-79,,M. Beasley misses 3-pt shot from 25 ft
10:55.0,Defensive rebound by K. Durant,,105-79,,
10:53.0,D. West makes 2-pt shot from 1 ft (assist by K. Durant),2,107-79,,
10:53.0,,,107-79,,Denver full timeout
10:42.0,Personal foul by K. Thompson (drawn by T. Lyles),,107-79,,
10:34.0,,,107-81,2,E. Mudiay makes 2-pt shot from 2 ft
10:34.0,,,107-81,,Shooting foul by D. West (drawn by E. Mudiay)
10:34.0,,,107-82,1,E. Mudiay makes free throw 1 of 1
10:20.0,,,107-82,,Personal foul by T. Lyles (drawn by A. Iguodala)
10:18.0,D. West makes 3-pt shot from 25 ft (assist by P. McCaw),3,110-82,,
9:56.0,,,110-84,2,D. Arthur makes 2-pt shot from 19 ft (assist by W. Barton)
9:42.0,P. McCaw misses 3-pt shot from 25 ft,,110-84,,
9:40.0,,,110-84,,Defensive rebound by W. Barton
9:36.0,Personal foul by A. Iguodala (drawn by W. Barton),,110-84,,
9:36.0,O. Casspi enters the game for K. Durant,,110-84,,
9:36.0,N. Young enters the game for P. McCaw,,110-84,,
9:33.0,,,110-84,,D. Arthur misses 3-pt shot from 25 ft
9:30.0,Defensive rebound by K. Thompson,,110-84,,
9:24.0,Turnover by K. Thompson (bad pass; steal by W. Barton),,110-84,,
9:20.0,,,110-86,2,W. Barton makes 2-pt shot from 1 ft (assist by D. Arthur)
9:02.0,Shooting foul by T. Lyles (drawn by N. Young),,110-86,,
9:02.0,N. Young misses free throw 1 of 2,,110-86,,
9:02.0,Offensive rebound by Team,,110-86,,
9:02.0,N. Young misses free throw 2 of 2,,110-86,,
9:00.0,,,110-86,,Defensive rebound by W. Barton
8:39.0,,,110-86,,E. Mudiay misses 2-pt shot from 2 ft
8:37.0,Defensive rebound by O. Casspi,,110-86,,
8:19.0,A. Iguodala misses 3-pt shot from 25 ft,,110-86,,
8:17.0,,,110-86,,Defensive rebound by M. Beasley
8:15.0,Shooting block foul by N. Young (drawn by W. Barton),,110-86,,
8:15.0,,,110-87,1,W. Barton makes free throw 1 of 2
8:15.0,,,110-88,1,W. Barton makes free throw 2 of 2
8:08.0,K. Thompson misses 3-pt shot from 27 ft,,110-88,,
8:05.0,,,110-88,,Defensive rebound by T. Lyles
7:56.0,,,110-88,,Turnover by W. Barton (bad pass; steal by O. Casspi)
7:49.0,O. Casspi makes 3-pt shot from 25 ft (assist by N. Young),3,113-88,,
7:33.0,Personal foul by N. Young (drawn by E. Mudiay),,113-88,,
7:33.0,,,113-89,1,E. Mudiay makes free throw 1 of 2
7:33.0,K. Looney enters the game for D. West,,113-89,,
7:33.0,P. McCaw enters the game for K. Thompson,,113-89,,
7:33.0,,,113-90,1,E. Mudiay makes free throw 2 of 2
7:16.0,N. Young misses 2-pt shot from 7 ft,,113-90,,
7:14.0,,,113-90,,Defensive rebound by T. Lyles
7:08.0,,,113-90,,D. Arthur misses 2-pt shot from 13 ft
7:05.0,Defensive rebound by O. Casspi,,113-90,,
7:00.0,P. McCaw makes 2-pt shot from 4 ft (assist by O. Casspi),2,115-90,,
7:00.0,Shooting foul by D. Arthur (drawn by P. McCaw),,115-90,,
7:00.0,,,115-90,,J. Murray enters the game for M. Beasley
7:00.0,J. Bell enters the game for A. Iguodala,,115-90,,
7:00.0,P. McCaw misses free throw 1 of 1,,115-90,,
6:58.0,,,115-90,,Defensive rebound by D. Arthur
6:44.0,,,115-92,2,T. Lyles makes 2-pt shot from 1 ft (assist by E. Mudiay)
6:16.0,J. Bell misses 2-pt shot from 16 ft,,115-92,,
6:14.0,,,115-92,,Defensive rebound by T. Lyles
6:09.0,,,115-94,2,E. Mudiay makes 2-pt shot from 5 ft
