time,New York,pts.away,score,pts.home,Minnesota
3:05.0,,,19-15,,A. Wiggins misses 2-pt shot from 20 ft
3:01.0,,,19-15,,Offensive rebound by J. Crawford
3:00.0,,,19-17,2,G. Dieng makes 2-pt shot from 1 ft (assist by J. Crawford)
2:42.0,Turnover by K. Porzingis (lost ball; steal by G. Dieng),,19-17,,
2:35.0,,,19-17,,A. Wiggins misses 3-pt shot from 24 ft
2:32.0,Defensive rebound by K. O'Quinn,,19-17,,
2:23.0,K. Porzingis misses 2-pt shot from 16 ft,,19-17,,
2:23.0,,,19-17,,Defensive rebound by A. Wiggins
2:15.0,,,19-20,3,J. Crawford makes 3-pt shot from 24 ft
1:53.0,K. O'Quinn makes 2-pt shot from 7 ft (assist by F. Ntilikina),2,21-20,,
1:40.0,Personal foul by L. Thomas (drawn by G. Dieng),,21-20,,
1:40.0,C. Lee enters the game for L. Thomas,,21-20,,
1:34.0,,,21-20,,T. Jones misses 3-pt shot from 25 ft
1:30.0,Defensive rebound by K. Porzingis,,21-20,,
1:22.0,F. Ntilikina makes 2-pt shot from 1 ft,2,23-20,,
1:11.0,,,23-20,,J. Crawford misses 3-pt shot from 24 ft
1:08.0,,,23-20,,Offensive rebound by G. Dieng
1:06.0,,,23-20,,Turnover by G. Dieng (traveling)
1:06.0,,,23-20,,N. Bjelica enters the game for T. Gibson
0:52.0,K. Porzingis misses 2-pt shot from 16 ft (block by A. Wiggins),,23-20,,
0:50.0,,,23-20,,Defensive rebound by T. Jones
0:48.0,,,23-22,2,T. Jones makes 2-pt shot at rim
0:35.0,C. Lee makes 2-pt shot from 15 ft (assist by K. Porzingis),2,25-22,,
0:29.0,,,25-24,2,J. Crawford makes 2-pt shot from 1 ft
0:09.0,T. Hardaway makes 2-pt shot from 22 ft,2,27-24,,
0:00.0,,,27-24,,J. Crawford misses 2-pt shot from 15 ft
0:00.0,,,27-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,M. Beasley misses 2-pt shot from 14 ft,,27-24,,
11:43.0,,,27-24,,Defensive rebound by K. Towns
11:33.0,,,27-26,2,J. Crawford makes 2-pt shot from 16 ft (assist by K. Towns)
11:16.0,C. Lee makes 3-pt shot from 23 ft (assist by M. Beasley),3,30-26,,
10:56.0,,,30-28,2,N. Bjelica makes 2-pt shot from 1 ft (assist by G. Dieng)
10:42.0,M. Beasley makes 2-pt shot from 9 ft,2,32-28,,
10:21.0,,,32-30,2,G. Dieng makes 2-pt shot from 1 ft (assist by J. Crawford)
9:55.0,M. Beasley makes 2-pt shot from 5 ft,2,34-30,,
9:41.0,,,34-32,2,T. Jones makes 2-pt shot from 2 ft (assist by J. Crawford)
9:16.0,M. Beasley makes 2-pt shot from 4 ft,2,36-32,,
9:10.0,,,36-32,,Minnesota full timeout
9:03.0,,,36-32,,Shooting foul by K. O'Quinn (drawn by K. Towns)
9:03.0,,,36-33,1,K. Towns makes free throw 1 of 2
9:03.0,,,36-34,1,K. Towns makes free throw 2 of 2
8:45.0,F. Ntilikina misses 2-pt shot from 21 ft,,36-34,,
8:41.0,,,36-34,,Defensive rebound by T. Jones
8:34.0,,,36-34,,K. Towns misses 3-pt shot from 26 ft
8:31.0,Defensive rebound by K. O'Quinn,,36-34,,
8:20.0,M. Beasley makes 3-pt shot from 24 ft (assist by F. Ntilikina),3,39-34,,
7:54.0,,,39-36,2,K. Towns makes 2-pt shot from 13 ft
7:43.0,C. Lee makes 2-pt shot from 1 ft,2,41-36,,
7:35.0,,,41-36,,J. Crawford misses 3-pt shot from 25 ft
7:33.0,Defensive rebound by K. O'Quinn,,41-36,,
7:31.0,M. Beasley makes 2-pt shot from 1 ft (assist by K. O'Quinn),2,43-36,,
7:22.0,,,43-36,,Minnesota full timeout
7:22.0,,,43-36,,J. Teague enters the game for T. Jones
7:22.0,,,43-36,,A. Wiggins enters the game for G. Dieng
7:22.0,,,43-36,,J. Butler enters the game for N. Bjelica
7:22.0,,,43-36,,T. Gibson enters the game for J. Crawford
7:22.0,E. Kanter enters the game for K. O'Quinn,,43-36,,
7:09.0,,,43-36,,A. Wiggins misses 2-pt shot from 8 ft
7:04.0,,,43-36,,Offensive rebound by T. Gibson
7:04.0,,,43-38,2,T. Gibson makes 2-pt shot at rim
6:50.0,Turnover by F. Ntilikina (lost ball; steal by J. Teague),,43-38,,
6:42.0,,,43-40,2,T. Gibson makes 2-pt shot from 1 ft (assist by K. Towns)
6:17.0,Turnover by C. Lee (bad pass; steal by J. Teague),,43-40,,
6:15.0,,,43-42,2,J. Teague makes 2-pt shot from 1 ft
6:14.0,New York full timeout,,43-42,,
6:14.0,T. Hardaway enters the game for C. Lee,,43-42,,
6:14.0,K. Porzingis enters the game for M. Beasley,,43-42,,
6:14.0,L. Thomas enters the game for F. Ntilikina,,43-42,,
6:14.0,J. Jack enters the game for D. McDermott,,43-42,,
6:02.0,K. Porzingis misses 2-pt shot from 20 ft,,43-42,,
5:56.0,Offensive rebound by E. Kanter,,43-42,,
5:56.0,E. Kanter makes 2-pt shot at rim,2,45-42,,
5:48.0,,,45-45,3,A. Wiggins makes 3-pt shot from 24 ft (assist by J. Teague)
5:24.0,E. Kanter misses 2-pt shot from 18 ft,,45-45,,
5:19.0,,,45-45,,Defensive rebound by J. Teague
5:11.0,,,45-45,,Turnover by J. Teague (bad pass)
4:59.0,,,45-45,,Personal foul by T. Gibson (drawn by K. Porzingis)
4:50.0,K. Porzingis makes 2-pt shot from 14 ft (assist by J. Jack),2,47-45,,
4:33.0,,,47-45,,K. Towns misses 2-pt shot from 2 ft
4:31.0,,,47-45,,Offensive rebound by K. Towns
4:29.0,,,47-47,2,K. Towns makes 2-pt shot from 1 ft
4:10.0,T. Hardaway misses 3-pt shot from 26 ft,,47-47,,
4:07.0,Offensive rebound by E. Kanter,,47-47,,
4:06.0,E. Kanter makes 2-pt shot from 1 ft,2,49-47,,
3:53.0,,,49-47,,A. Wiggins misses 2-pt shot from 17 ft
3:49.0,Defensive rebound by Team,,49-47,,
3:42.0,Personal foul by L. Thomas (drawn by J. Butler),,49-47,,
3:42.0,Turnover by L. Thomas (turnover),,49-47,,
3:39.0,Personal foul by L. Thomas (drawn by K. Towns),,49-47,,
3:29.0,,,49-47,,A. Wiggins misses 2-pt shot from 5 ft (block by K. Porzingis)
3:27.0,Defensive rebound by E. Kanter,,49-47,,
3:18.0,T. Hardaway makes 2-pt shot from 1 ft (assist by J. Jack),2,51-47,,
3:08.0,,,51-49,2,A. Wiggins makes 2-pt shot at rim (assist by J. Teague)
2:53.0,K. Porzingis makes 3-pt shot from 25 ft (assist by T. Hardaway),3,54-49,,
2:44.0,,,54-49,,J. Teague misses 2-pt shot from 13 ft
2:42.0,Defensive rebound by T. Hardaway,,54-49,,
2:38.0,T. Hardaway misses 3-pt shot from 25 ft,,54-49,,
2:38.0,,,54-49,,Defensive rebound by J. Teague
2:31.0,,,54-49,,J. Butler misses 3-pt shot from 24 ft
2:31.0,,,54-49,,Offensive rebound by T. Gibson
2:21.0,,,54-49,,A. Wiggins misses 3-pt shot from 22 ft
2:21.0,Defensive rebound by Team,,54-49,,
2:05.0,T. Hardaway makes 3-pt shot from 25 ft (assist by J. Jack),3,57-49,,
1:39.0,,,57-51,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Butler)
1:21.0,Turnover by K. Porzingis (lost ball; steal by J. Teague),,57-51,,
1:09.0,,,57-51,,K. Towns misses 2-pt shot from 1 ft (block by L. Thomas)
1:08.0,,,57-51,,Offensive rebound by K. Towns
1:06.0,,,57-53,2,K. Towns makes 2-pt shot from 1 ft
1:06.0,,,57-53,,Shooting foul by E. Kanter (drawn by K. Towns)
1:06.0,K. O'Quinn enters the game for E. Kanter,,57-53,,
1:06.0,C. Lee enters the game for L. Thomas,,57-53,,
1:06.0,,,57-53,,K. Towns misses free throw 1 of 1
1:03.0,Defensive rebound by K. Porzingis,,57-53,,
0:50.0,T. Hardaway misses 2-pt shot from 22 ft,,57-53,,
0:48.0,,,57-53,,Defensive rebound by Team
0:38.0,,,57-53,,Offensive charge foul by K. Towns (drawn by K. Porzingis)
0:38.0,,,57-53,,Turnover by K. Towns (offensive foul)
0:29.0,K. Porzingis misses 2-pt shot from 12 ft,,57-53,,
0:26.0,,,57-53,,Defensive rebound by K. Towns
0:03.0,,,57-55,2,J. Butler makes 2-pt shot at rim (assist by K. Towns)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Turnover by E. Kanter (bad pass; steal by A. Wiggins),,57-55,,
11:33.0,,,57-58,3,K. Towns makes 3-pt shot from 25 ft (assist by J. Teague)
11:15.0,C. Lee misses 2-pt shot from 20 ft,,57-58,,
11:12.0,,,57-58,,Defensive rebound by T. Gibson
11:03.0,,,57-60,2,K. Towns makes 2-pt shot from 4 ft (assist by J. Teague)
10:52.0,J. Jack misses 2-pt shot from 2 ft (block by T. Gibson),,57-60,,
10:52.0,Offensive rebound by C. Lee,,57-60,,
10:46.0,K. Porzingis misses 2-pt shot from 19 ft,,57-60,,
10:46.0,,,57-60,,Defensive rebound by K. Towns
10:42.0,,,57-60,,Shooting foul by J. Jack (drawn by J. Teague)
10:42.0,,,57-61,1,J. Teague makes free throw 1 of 2
10:42.0,,,57-62,1,J. Teague makes free throw 2 of 2
10:25.0,E. Kanter makes 2-pt shot from 1 ft,2,59-62,,
10:06.0,,,59-64,2,K. Towns makes 2-pt shot from 1 ft (assist by J. Teague)
9:45.0,C. Lee makes 2-pt shot from 11 ft (assist by E. Kanter),2,61-64,,
9:32.0,,,61-64,,Turnover by J. Butler (out of bounds lost ball)
9:21.0,K. Porzingis misses 2-pt shot from 11 ft,,61-64,,
9:18.0,Offensive rebound by K. Porzingis,,61-64,,
9:16.0,K. Porzingis misses 2-pt shot from 6 ft,,61-64,,
9:16.0,,,61-64,,Defensive rebound by J. Teague
9:08.0,,,61-66,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Teague)
9:08.0,,,61-66,,Shooting foul by K. Porzingis (drawn by T. Gibson)
9:08.0,,,61-67,1,T. Gibson makes free throw 1 of 1
9:00.0,E. Kanter misses 2-pt shot from 7 ft,,61-67,,
9:00.0,Offensive rebound by K. Porzingis,,61-67,,
8:58.0,K. Porzingis misses 2-pt shot from 4 ft,,61-67,,
8:58.0,,,61-67,,Defensive rebound by A. Wiggins
8:53.0,,,61-67,,A. Wiggins misses 2-pt shot from 1 ft
8:52.0,,,61-67,,Offensive rebound by T. Gibson
8:51.0,,,61-69,2,T. Gibson makes 2-pt shot at rim
8:51.0,New York full timeout,,61-69,,
8:37.0,Turnover by K. Porzingis (lost ball; steal by J. Teague),,61-69,,
8:33.0,,,61-69,,J. Teague misses 3-pt shot from 26 ft
8:30.0,,,61-69,,Offensive rebound by J. Teague
8:20.0,,,61-69,,Offensive foul by A. Wiggins (drawn by K. Porzingis)
8:20.0,,,61-69,,Turnover by A. Wiggins (offensive foul)
8:02.0,K. Porzingis makes 3-pt shot from 24 ft (assist by E. Kanter),3,64-69,,
7:44.0,,,64-69,,J. Butler misses 2-pt shot from 20 ft
7:44.0,Defensive rebound by E. Kanter,,64-69,,
7:35.0,E. Kanter makes 2-pt shot from 1 ft (assist by J. Jack),2,66-69,,
7:13.0,,,66-69,,A. Wiggins misses 3-pt shot from 25 ft
7:09.0,Defensive rebound by E. Kanter,,66-69,,
7:04.0,K. Porzingis misses 3-pt shot from 22 ft,,66-69,,
7:02.0,,,66-69,,Defensive rebound by J. Butler
6:46.0,,,66-71,2,T. Gibson makes 2-pt shot from 2 ft (assist by K. Towns)
6:31.0,K. Porzingis misses 2-pt shot from 13 ft,,66-71,,
6:29.0,,,66-71,,Defensive rebound by A. Wiggins
6:16.0,,,66-73,2,A. Wiggins makes 2-pt shot from 1 ft (assist by J. Teague)
6:16.0,,,66-73,,Shooting foul by E. Kanter (drawn by A. Wiggins)
6:16.0,M. Beasley enters the game for C. Lee,,66-73,,
6:16.0,T. Hardaway enters the game for K. Porzingis,,66-73,,
6:16.0,K. O'Quinn enters the game for E. Kanter,,66-73,,
6:16.0,,,66-74,1,A. Wiggins makes free throw 1 of 1
5:53.0,K. O'Quinn makes 2-pt shot from 1 ft (assist by M. Beasley),2,68-74,,
5:44.0,,,68-74,,T. Gibson misses 2-pt shot from 3 ft (block by M. Beasley)
5:44.0,Defensive rebound by L. Thomas,,68-74,,
5:37.0,J. Jack makes 3-pt shot from 24 ft,3,71-74,,
5:22.0,,,71-74,,Shooting foul by J. Jack (drawn by J. Teague)
5:22.0,,,71-74,,J. Teague misses free throw 1 of 2
5:22.0,,,71-74,,Offensive rebound by Team
5:22.0,,,71-75,1,J. Teague makes free throw 2 of 2
5:07.0,M. Beasley makes 2-pt shot from 1 ft,2,73-75,,
4:48.0,,,73-75,,Shooting foul by K. O'Quinn (drawn by J. Teague)
4:48.0,,,73-76,1,J. Teague makes free throw 1 of 2
4:48.0,,,73-77,1,J. Teague makes free throw 2 of 2
4:30.0,M. Beasley misses 2-pt shot from 6 ft (block by K. Towns),,73-77,,
4:30.0,,,73-77,,Defensive rebound by Team
4:06.0,,,73-79,2,T. Gibson makes 2-pt shot at rim (assist by A. Wiggins)
3:50.0,T. Hardaway makes 3-pt shot from 24 ft (assist by J. Jack),3,76-79,,
3:33.0,Def 3 sec tech foul by T. Hardaway,,76-79,,
3:33.0,,,76-79,,J. Butler misses technical free throw
3:33.0,,,76-79,,Offensive rebound by Team
3:27.0,,,76-79,,K. Towns misses 3-pt shot from 25 ft
3:24.0,Defensive rebound by M. Beasley,,76-79,,
3:19.0,K. O'Quinn makes 2-pt shot from 1 ft (assist by L. Thomas),2,78-79,,
3:18.0,,,78-79,,Minnesota full timeout
3:18.0,,,78-79,,G. Dieng enters the game for K. Towns
3:02.0,,,78-79,,A. Wiggins misses 2-pt shot from 16 ft
2:58.0,Defensive rebound by K. O'Quinn,,78-79,,
2:42.0,J. Jack makes 3-pt shot from 23 ft (assist by T. Hardaway),3,81-79,,
2:31.0,,,81-79,,Turnover by J. Teague (lost ball; steal by L. Thomas)
2:26.0,Turnover by J. Jack (bad pass; steal by J. Butler),,81-79,,
2:23.0,,,81-81,2,J. Butler makes 2-pt shot from 1 ft
1:58.0,K. O'Quinn makes 2-pt shot from 2 ft,2,83-81,,
1:58.0,Shooting foul by A. Wiggins (drawn by K. O'Quinn),,83-81,,
1:58.0,,,83-81,,T. Jones enters the game for J. Teague
1:58.0,F. Ntilikina enters the game for J. Jack,,83-81,,
1:58.0,K. O'Quinn misses free throw 1 of 1,,83-81,,
1:56.0,,,83-81,,Defensive rebound by G. Dieng
1:36.0,,,83-83,2,A. Wiggins makes 2-pt shot from 12 ft (assist by T. Gibson)
1:25.0,T. Hardaway makes 3-pt shot from 25 ft (assist by M. Beasley),3,86-83,,
1:04.0,,,86-85,2,G. Dieng makes 2-pt shot from 21 ft (assist by T. Jones)
0:50.0,Turnover by F. Ntilikina (bad pass; steal by G. Dieng),,86-85,,
0:43.0,,,86-85,,A. Wiggins misses 2-pt shot from 1 ft
0:43.0,,,86-85,,Offensive rebound by G. Dieng
0:43.0,,,86-87,2,G. Dieng makes 2-pt shot at rim
0:43.0,New York full timeout,,86-87,,
0:43.0,,,86-87,,J. Crawford enters the game for J. Butler
0:25.0,Turnover by M. Beasley (bad pass; steal by A. Wiggins),,86-87,,
0:03.0,,,86-87,,A. Wiggins misses 2-pt shot from 16 ft
0:00.0,Defensive rebound by K. O'Quinn,,86-87,,
0:00.0,K. O'Quinn misses 3-pt shot from 68 ft,,86-87,,
0:00.0,Offensive rebound by Team,,86-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,86-90,3,N. Bjelica makes 3-pt shot from 27 ft (assist by T. Jones)
11:20.0,Shooting foul by J. Crawford (drawn by K. O'Quinn),,86-90,,
11:20.0,K. O'Quinn makes free throw 1 of 2,1,87-90,,
11:20.0,K. O'Quinn makes free throw 2 of 2,1,88-90,,
10:59.0,,,88-92,2,G. Dieng makes 2-pt shot from 21 ft
10:39.0,F. Ntilikina misses 2-pt shot from 19 ft,,88-92,,
10:35.0,,,88-92,,Defensive rebound by K. Towns
10:23.0,,,88-92,,J. Crawford misses 3-pt shot from 23 ft
10:23.0,Defensive rebound by K. Porzingis,,88-92,,
10:07.0,K. Porzingis misses 2-pt shot from 7 ft,,88-92,,
10:04.0,,,88-92,,Defensive rebound by K. Towns
10:04.0,,,88-92,,Minnesota full timeout
9:39.0,,,88-94,2,N. Bjelica makes 2-pt shot from 1 ft (assist by K. Towns)
9:29.0,,,88-94,,Personal foul by J. Crawford (drawn by C. Lee)
9:23.0,C. Lee misses 3-pt shot from 24 ft,,88-94,,
9:19.0,,,88-94,,Defensive rebound by K. Towns
9:10.0,,,88-97,3,K. Towns makes 3-pt shot from 25 ft (assist by T. Jones)
8:49.0,E. Kanter enters the game for K. O'Quinn,,88-97,,
8:44.0,C. Lee misses 3-pt shot from 25 ft,,88-97,,
8:43.0,Offensive rebound by K. Porzingis,,88-97,,
8:43.0,Shooting foul by T. Jones (drawn by K. Porzingis),,88-97,,
8:43.0,K. Porzingis makes free throw 1 of 2,1,89-97,,
8:43.0,K. Porzingis misses free throw 2 of 2,,89-97,,
8:41.0,Offensive rebound by E. Kanter,,89-97,,
8:31.0,Turnover by F. Ntilikina (bad pass; steal by T. Jones),,89-97,,
8:22.0,Personal foul by K. Porzingis (drawn by K. Towns),,89-97,,
8:22.0,J. Jack enters the game for F. Ntilikina,,89-97,,
8:19.0,,,89-100,3,N. Bjelica makes 3-pt shot from 22 ft (assist by K. Towns)
8:06.0,Shooting foul by J. Crawford (drawn by K. Porzingis),,89-100,,
8:06.0,K. Porzingis makes free throw 1 of 2,1,90-100,,
8:06.0,L. Thomas enters the game for M. Beasley,,90-100,,
8:06.0,K. Porzingis misses free throw 2 of 2,,90-100,,
8:04.0,,,90-100,,Defensive rebound by K. Towns
7:52.0,,,90-102,2,K. Towns makes 2-pt shot from 11 ft (assist by T. Jones)
7:52.0,,,90-102,,Shooting foul by K. Porzingis (drawn by K. Towns)
7:52.0,,,90-103,1,K. Towns makes free throw 1 of 1
7:29.0,J. Jack makes 2-pt shot from 6 ft,2,92-103,,
7:04.0,,,92-103,,T. Jones misses 2-pt shot from 11 ft
7:00.0,Defensive rebound by K. Porzingis,,92-103,,
6:53.0,J. Jack misses 2-pt shot from 11 ft,,92-103,,
6:51.0,,,92-103,,Defensive rebound by K. Towns
6:41.0,,,92-106,3,T. Jones makes 3-pt shot from 25 ft (assist by G. Dieng)
6:25.0,Turnover by L. Thomas (out of bounds lost ball),,92-106,,
6:25.0,,,92-106,,J. Teague enters the game for T. Jones
6:25.0,,,92-106,,J. Butler enters the game for N. Bjelica
6:25.0,T. Hardaway enters the game for L. Thomas,,92-106,,
6:10.0,,,92-108,2,J. Teague makes 2-pt shot from 6 ft
5:52.0,New York full timeout,,92-108,,
5:46.0,K. Porzingis misses 3-pt shot from 25 ft,,92-108,,
5:44.0,,,92-108,,Defensive rebound by Team
5:31.0,,,92-108,,G. Dieng misses 2-pt shot from 2 ft (block by E. Kanter)
5:28.0,,,92-108,,Offensive rebound by J. Butler
5:25.0,,,92-111,3,J. Crawford makes 3-pt shot from 27 ft (assist by K. Towns)
5:25.0,,,92-111,,Shooting foul by C. Lee (drawn by J. Crawford)
5:25.0,,,92-111,,J. Crawford misses free throw 1 of 1
5:22.0,Defensive rebound by T. Hardaway,,92-111,,
5:17.0,C. Lee makes 3-pt shot from 25 ft,3,95-111,,
5:02.0,,,95-111,,J. Crawford misses 2-pt shot from 19 ft
4:59.0,Defensive rebound by C. Lee,,95-111,,
4:54.0,Turnover by J. Jack (bad pass; steal by J. Butler),,95-111,,
4:49.0,,,95-113,2,J. Butler makes 2-pt shot from 1 ft (assist by J. Crawford)
4:22.0,T. Hardaway makes 3-pt shot from 23 ft (assist by C. Lee),3,98-113,,
3:57.0,,,98-113,,J. Butler misses 3-pt shot from 24 ft
3:54.0,,,98-113,,Offensive rebound by G. Dieng
3:51.0,,,98-113,,G. Dieng misses 3-pt shot from 23 ft
3:51.0,,,98-113,,Offensive rebound by Team
3:50.0,,,98-113,,T. Gibson enters the game for G. Dieng
3:50.0,,,98-113,,A. Wiggins enters the game for J. Crawford
3:43.0,,,98-113,,J. Teague misses 3-pt shot from 25 ft
3:39.0,Defensive rebound by E. Kanter,,98-113,,
3:30.0,J. Jack makes 2-pt shot from 9 ft,2,100-113,,
3:15.0,,,100-113,,A. Wiggins misses 2-pt shot from 14 ft
3:12.0,,,100-113,,Offensive rebound by T. Gibson
2:53.0,,,100-113,,J. Butler misses 2-pt shot from 14 ft
2:50.0,Defensive rebound by E. Kanter,,100-113,,
2:43.0,,,100-113,,Personal foul by J. Butler (drawn by T. Hardaway)
2:43.0,J. Jack makes free throw 1 of 2,1,101-113,,
2:43.0,J. Jack makes free throw 2 of 2,1,102-113,,
2:25.0,,,102-113,,Turnover by K. Towns (bad pass; steal by J. Jack)
2:12.0,K. Porzingis makes 2-pt shot from 16 ft (assist by C. Lee),2,104-113,,
1:56.0,,,104-113,,Shooting foul by T. Hardaway (drawn by A. Wiggins)
1:56.0,,,104-113,,A. Wiggins misses free throw 1 of 2
1:56.0,,,104-113,,Offensive rebound by Team
1:56.0,,,104-113,,A. Wiggins misses free throw 2 of 2
1:54.0,Defensive rebound by J. Jack,,104-113,,
1:43.0,T. Hardaway misses 3-pt shot from 25 ft,,104-113,,
1:41.0,,,104-113,,Defensive rebound by A. Wiggins
1:34.0,,,104-113,,Turnover by A. Wiggins (bad pass; steal by T. Hardaway)
1:32.0,Turnover by T. Hardaway (bad pass; steal by J. Butler),,104-113,,
1:32.0,,,104-115,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Butler)
1:32.0,New York full timeout,,104-115,,
1:23.0,T. Hardaway misses 2-pt shot from 23 ft,,104-115,,
1:20.0,Offensive rebound by K. Porzingis,,104-115,,
1:18.0,J. Jack makes 2-pt shot from 5 ft (assist by K. Porzingis),2,106-115,,
0:54.0,,,106-118,3,J. Butler makes 3-pt shot from 25 ft (assist by A. Wiggins)
0:48.0,J. Jack misses 3-pt shot from 24 ft,,106-118,,
0:48.0,,,106-118,,Defensive rebound by K. Towns
0:40.0,,,106-118,,Turnover by T. Gibson (bad pass; steal by T. Hardaway)
