time,Milwaukee,pts.away,score,pts.home,Cleveland
7:40.0,Defensive rebound by E. Bledsoe,,10-7,,
7:34.0,G. Antetokounmpo misses 2-pt shot from 9 ft,,10-7,,
7:30.0,,,10-7,,Defensive rebound by K. Korver
7:25.0,,,10-7,,Turnover by L. James (lost ball; steal by G. Antetokounmpo)
7:20.0,K. Middleton makes 2-pt shot from 1 ft (assist by J. Henson),2,12-7,,
6:57.0,,,12-9,2,L. James makes 2-pt shot from 1 ft
6:43.0,K. Middleton makes 2-pt shot from 19 ft (assist by E. Bledsoe),2,14-9,,
6:25.0,,,14-12,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
6:02.0,Turnover by E. Bledsoe (bad pass),,14-12,,
6:02.0,,,14-12,,Cleveland full timeout
5:55.0,Personal foul by G. Antetokounmpo (drawn by K. Korver),,14-12,,
5:55.0,J. Parker enters the game for G. Antetokounmpo,,14-12,,
5:41.0,,,14-12,,Turnover by L. James (bad pass; steal by K. Middleton)
5:37.0,Turnover by J. Parker (lost ball; steal by L. James),,14-12,,
5:31.0,,,14-12,,K. Love misses 3-pt shot from 23 ft
5:29.0,,,14-12,,Offensive rebound by L. James
5:27.0,,,14-12,,L. James misses 2-pt shot from 1 ft (block by J. Parker)
5:27.0,Defensive rebound by E. Bledsoe,,14-12,,
5:22.0,E. Bledsoe misses 2-pt shot from 13 ft,,14-12,,
5:19.0,Offensive rebound by J. Parker,,14-12,,
5:18.0,T. Snell misses 3-pt shot from 26 ft,,14-12,,
5:16.0,,,14-12,,Defensive rebound by L. James
5:08.0,,,14-14,2,L. James makes 2-pt shot at rim (assist by K. Love)
4:41.0,J. Henson makes 2-pt shot from 21 ft (assist by E. Bledsoe),2,16-14,,
4:24.0,,,16-17,3,K. Korver makes 3-pt shot from 35 ft (assist by K. Love)
4:17.0,J. Parker makes 2-pt shot from 1 ft,2,18-17,,
4:00.0,,,18-17,,K. Love misses 2-pt shot from 17 ft
3:58.0,,,18-17,,Offensive rebound by K. Love
3:56.0,,,18-19,2,K. Love makes 2-pt shot from 18 ft
3:28.0,E. Bledsoe misses 2-pt shot from 11 ft,,18-19,,
3:26.0,,,18-19,,Defensive rebound by G. Hill
3:21.0,,,18-19,,Cleveland full timeout
3:21.0,,,18-19,,J. Smith enters the game for K. Love
3:21.0,,,18-19,,J. Clarkson enters the game for K. Korver
3:21.0,,,18-19,,A. Zizic enters the game for J. Green
3:21.0,S. Brown enters the game for T. Snell,,18-19,,
3:21.0,T. Maker enters the game for J. Henson,,18-19,,
3:08.0,,,18-19,,L. James misses 2-pt shot at rim
3:08.0,,,18-19,,Offensive rebound by L. James
3:08.0,,,18-21,2,L. James makes 2-pt shot at rim
3:08.0,,,18-21,,Shooting foul by S. Brown (drawn by L. James)
3:08.0,,,18-21,,J. Calderon enters the game for G. Hill
3:08.0,,,18-22,1,L. James makes free throw 1 of 1
2:56.0,K. Middleton makes 2-pt shot from 21 ft (assist by J. Parker),2,20-22,,
2:42.0,,,20-24,2,L. James makes 2-pt shot at rim
2:25.0,E. Bledsoe makes 2-pt shot from 2 ft (assist by J. Parker),2,22-24,,
2:25.0,Shooting foul by A. Zizic (drawn by E. Bledsoe),,22-24,,
2:25.0,E. Bledsoe makes free throw 1 of 1,1,23-24,,
2:11.0,,,23-24,,J. Smith misses 3-pt shot from 24 ft
2:08.0,Defensive rebound by S. Brown,,23-24,,
2:04.0,J. Parker makes 2-pt shot from 18 ft,2,25-24,,
1:38.0,,,25-24,,J. Clarkson misses 3-pt shot from 29 ft
1:38.0,Defensive rebound by Team,,25-24,,
1:38.0,B. Jennings enters the game for E. Bledsoe,,25-24,,
1:22.0,Turnover by K. Middleton (bad pass; steal by J. Clarkson),,25-24,,
1:13.0,,,25-24,,L. James misses 2-pt shot from 1 ft
1:09.0,,,25-24,,Offensive rebound by A. Zizic
1:09.0,,,25-26,2,A. Zizic makes 2-pt shot at rim
1:00.0,J. Parker misses 2-pt shot from 20 ft,,25-26,,
0:59.0,,,25-26,,Defensive rebound by L. James
0:47.0,,,25-26,,Shooting foul by J. Parker (drawn by L. James)
0:47.0,,,25-26,,L. James misses free throw 1 of 2
0:47.0,,,25-26,,Offensive rebound by Team
0:47.0,,,25-26,,L. James misses free throw 2 of 2
0:45.0,Defensive rebound by J. Parker,,25-26,,
0:32.0,K. Middleton misses 3-pt shot from 24 ft,,25-26,,
0:29.0,,,25-26,,Defensive rebound by J. Smith
0:19.0,,,25-26,,Turnover by J. Smith (bad pass; steal by T. Maker)
0:15.0,S. Brown misses 2-pt shot from 1 ft,,25-26,,
0:12.0,,,25-26,,Defensive rebound by A. Zizic
0:00.0,,,25-26,,L. James misses 3-pt shot from 25 ft
0:00.0,,,25-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,25-26,,Shooting foul by T. Maker (drawn by A. Zizic)
11:46.0,,,25-27,1,A. Zizic makes free throw 1 of 2
11:46.0,,,25-28,1,A. Zizic makes free throw 2 of 2
11:32.0,B. Jennings makes 2-pt shot from 18 ft,2,27-28,,
11:16.0,,,27-28,,J. Green misses 2-pt shot from 2 ft
11:14.0,Defensive rebound by J. Parker,,27-28,,
11:06.0,T. Maker misses 3-pt shot from 25 ft,,27-28,,
11:04.0,,,27-28,,Defensive rebound by J. Clarkson
10:41.0,,,27-28,,J. Calderon misses 2-pt shot from 11 ft
10:39.0,,,27-28,,Offensive rebound by A. Zizic
10:37.0,,,27-28,,A. Zizic misses 2-pt shot from 1 ft
10:37.0,,,27-28,,Offensive rebound by A. Zizic
10:27.0,,,27-30,2,A. Zizic makes 2-pt shot at rim
10:21.0,J. Parker misses 2-pt shot from 16 ft,,27-30,,
10:18.0,,,27-30,,Defensive rebound by J. Calderon
10:13.0,,,27-32,2,A. Zizic makes 2-pt shot at rim (assist by J. Calderon)
10:00.0,B. Jennings makes 2-pt shot from 13 ft,2,29-32,,
9:41.0,,,29-32,,J. Calderon misses 3-pt shot from 25 ft
9:39.0,,,29-32,,Offensive rebound by Team
9:39.0,Loose ball foul by J. Parker (drawn by A. Zizic),,29-32,,
9:39.0,G. Antetokounmpo enters the game for S. Brown,,29-32,,
9:28.0,,,29-34,2,J. Green makes 2-pt shot from 7 ft
9:14.0,T. Maker misses 2-pt shot from 2 ft (block by A. Zizic),,29-34,,
9:14.0,Offensive rebound by Team,,29-34,,
9:06.0,T. Maker misses 2-pt shot from 15 ft,,29-34,,
9:04.0,Offensive rebound by G. Antetokounmpo,,29-34,,
9:04.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,31-34,,
9:04.0,Shooting foul by A. Zizic (drawn by G. Antetokounmpo),,31-34,,
9:04.0,G. Antetokounmpo makes free throw 1 of 1,1,32-34,,
8:53.0,,,32-36,2,J. Calderon makes 2-pt shot from 1 ft
8:42.0,Turnover by B. Jennings (bad pass),,32-36,,
8:35.0,,,32-36,,J. Calderon misses 2-pt shot from 3 ft (block by B. Jennings)
8:34.0,,,32-36,,Offensive rebound by Team
8:30.0,,,32-36,,J. Clarkson misses 2-pt shot from 18 ft
8:30.0,Defensive rebound by J. Parker,,32-36,,
8:22.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by B. Jennings),2,34-36,,
8:14.0,,,34-39,3,J. Smith makes 3-pt shot from 26 ft
8:06.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by B. Jennings),2,36-39,,
8:06.0,Shooting foul by J. Smith (drawn by G. Antetokounmpo),,36-39,,
8:06.0,G. Antetokounmpo makes free throw 1 of 1,1,37-39,,
7:49.0,,,37-39,,J. Clarkson misses 3-pt shot from 23 ft
7:49.0,Defensive rebound by G. Antetokounmpo,,37-39,,
7:39.0,J. Parker makes 3-pt shot from 23 ft (assist by G. Antetokounmpo),3,40-39,,
7:27.0,,,40-39,,Cleveland full timeout
7:27.0,,,40-39,,L. James enters the game for A. Zizic
7:18.0,,,40-42,3,J. Calderon makes 3-pt shot from 25 ft (assist by J. Green)
6:55.0,J. Parker makes 2-pt shot from 13 ft,2,42-42,,
6:28.0,,,42-42,,L. James misses 2-pt shot from 16 ft
6:26.0,Defensive rebound by G. Antetokounmpo,,42-42,,
6:23.0,T. Maker makes 2-pt shot from 2 ft (assist by B. Jennings),2,44-42,,
5:54.0,,,44-44,2,J. Clarkson makes 2-pt shot from 13 ft
5:39.0,T. Maker makes 2-pt shot from 9 ft (assist by B. Jennings),2,46-44,,
5:21.0,,,46-44,,Turnover by L. James (lost ball; steal by J. Parker)
5:15.0,Turnover by G. Antetokounmpo (bad pass; steal by J. Green),,46-44,,
5:12.0,,,46-46,2,L. James makes 2-pt shot at rim (assist by J. Green)
4:47.0,T. Maker makes 2-pt shot from 9 ft (assist by G. Antetokounmpo),2,48-46,,
4:28.0,,,48-48,2,J. Green makes 2-pt shot from 1 ft (assist by L. James)
4:26.0,Milwaukee full timeout,,48-48,,
4:26.0,,,48-48,,K. Love enters the game for J. Smith
4:26.0,,,48-48,,G. Hill enters the game for J. Clarkson
4:26.0,,,48-48,,K. Korver enters the game for J. Calderon
4:26.0,E. Bledsoe enters the game for J. Terry,,48-48,,
4:26.0,T. Snell enters the game for T. Maker,,48-48,,
4:26.0,K. Middleton enters the game for B. Jennings,,48-48,,
4:26.0,J. Henson enters the game for J. Parker,,48-48,,
4:17.0,E. Bledsoe makes 3-pt shot from 25 ft,3,51-48,,
4:00.0,,,51-50,2,L. James makes 2-pt shot from 1 ft (assist by G. Hill)
3:38.0,J. Henson misses 2-pt shot from 2 ft (block by K. Love),,51-50,,
3:36.0,,,51-50,,Defensive rebound by G. Hill
3:28.0,,,51-52,2,L. James makes 2-pt shot from 2 ft
3:05.0,E. Bledsoe misses 2-pt shot from 22 ft,,51-52,,
3:00.0,,,51-52,,Defensive rebound by K. Korver
2:49.0,,,51-55,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
2:31.0,,,51-55,,Violation by L. James (kicked ball)
2:28.0,G. Antetokounmpo misses 3-pt shot from 24 ft,,51-55,,
2:25.0,,,51-55,,Defensive rebound by K. Love
2:18.0,,,51-58,3,K. Love makes 3-pt shot from 32 ft (assist by L. James)
2:18.0,Milwaukee full timeout,,51-58,,
2:08.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,53-58,,
1:46.0,,,53-58,,L. James misses 2-pt shot from 2 ft
1:43.0,Defensive rebound by G. Antetokounmpo,,53-58,,
1:40.0,Turnover by E. Bledsoe (bad pass),,53-58,,
1:40.0,,,53-58,,J. Smith enters the game for K. Love
1:20.0,,,53-58,,K. Korver misses 3-pt shot from 22 ft
1:17.0,Defensive rebound by G. Antetokounmpo,,53-58,,
1:13.0,T. Snell misses 3-pt shot from 27 ft,,53-58,,
1:11.0,Offensive rebound by Team,,53-58,,
1:11.0,,,53-58,,Loose ball foul by J. Smith (drawn by G. Antetokounmpo)
1:11.0,J. Parker enters the game for J. Henson,,53-58,,
1:06.0,G. Antetokounmpo makes 2-pt shot at rim (assist by E. Bledsoe),2,55-58,,
1:00.0,,,55-60,2,L. James makes 2-pt shot from 1 ft
1:00.0,,,55-60,,Shooting foul by K. Middleton (drawn by L. James)
1:00.0,,,55-61,1,L. James makes free throw 1 of 1
0:37.0,T. Snell makes 2-pt shot at rim,2,57-61,,
0:23.0,,,57-64,3,K. Korver makes 3-pt shot from 23 ft (assist by G. Hill)
0:02.0,E. Bledsoe misses 3-pt shot from 22 ft,,57-64,,
0:01.0,,,57-64,,Defensive rebound by K. Korver
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,57-66,2,J. Green makes 2-pt shot from 2 ft (assist by G. Hill)
11:26.0,E. Bledsoe makes 2-pt shot from 1 ft,2,59-66,,
11:08.0,,,59-66,,K. Love misses 3-pt shot from 22 ft (block by J. Henson)
11:04.0,Defensive rebound by K. Middleton,,59-66,,
10:59.0,K. Middleton makes 3-pt shot from 24 ft (assist by T. Snell),3,62-66,,
10:44.0,,,62-66,,K. Korver misses 3-pt shot from 22 ft
10:41.0,Defensive rebound by G. Antetokounmpo,,62-66,,
10:35.0,,,62-66,,Personal foul by L. James (drawn by J. Henson)
10:29.0,K. Middleton makes 2-pt shot at rim (assist by E. Bledsoe),2,64-66,,
10:05.0,,,64-69,3,L. James makes 3-pt shot from 30 ft (assist by K. Love)
9:43.0,K. Middleton misses 3-pt shot from 22 ft,,64-69,,
9:41.0,,,64-69,,Defensive rebound by K. Love
9:30.0,,,64-69,,Turnover by J. Green (lost ball; steal by E. Bledsoe)
9:26.0,Offensive charge foul by E. Bledsoe (drawn by K. Korver),,64-69,,
9:26.0,Turnover by E. Bledsoe (offensive foul),,64-69,,
9:10.0,Personal block foul by K. Middleton (drawn by G. Hill),,64-69,,
9:07.0,,,64-69,,L. James misses 3-pt shot from 26 ft
9:04.0,Defensive rebound by T. Snell,,64-69,,
8:51.0,G. Antetokounmpo misses 2-pt shot from 21 ft,,64-69,,
8:48.0,,,64-69,,Defensive rebound by L. James
8:34.0,,,64-69,,Turnover by L. James (bad pass; steal by E. Bledsoe)
8:29.0,E. Bledsoe makes 2-pt shot from 20 ft,2,66-69,,
8:15.0,,,66-69,,Turnover by G. Hill (out of bounds lost ball)
7:56.0,J. Henson misses 2-pt shot from 1 ft (block by G. Hill),,66-69,,
7:56.0,Offensive rebound by Team,,66-69,,
7:53.0,G. Antetokounmpo misses 3-pt shot from 26 ft,,66-69,,
7:50.0,,,66-69,,Defensive rebound by G. Hill
7:42.0,,,66-71,2,L. James makes 2-pt shot at rim (assist by K. Love)
7:27.0,,,66-71,,Personal foul by K. Korver (drawn by E. Bledsoe)
7:16.0,K. Middleton makes 2-pt shot at rim,2,68-71,,
7:07.0,,,68-71,,Shooting foul by E. Bledsoe (drawn by J. Green)
7:07.0,,,68-72,1,J. Green makes free throw 1 of 2
7:07.0,,,68-73,1,J. Green makes free throw 2 of 2
6:54.0,E. Bledsoe misses 3-pt shot from 26 ft,,68-73,,
6:52.0,,,68-73,,Defensive rebound by K. Korver
6:38.0,,,68-76,3,K. Love makes 3-pt shot from 30 ft (assist by L. James)
6:38.0,Milwaukee full timeout,,68-76,,
6:38.0,T. Maker enters the game for J. Henson,,68-76,,
6:21.0,G. Antetokounmpo makes 2-pt shot from 13 ft,2,70-76,,
6:07.0,,,70-76,,Turnover by K. Love (bad pass; steal by T. Maker)
5:59.0,T. Maker makes 2-pt shot from 9 ft (assist by E. Bledsoe),2,72-76,,
5:40.0,,,72-76,,A. Zizic enters the game for K. Love
5:32.0,,,72-76,,Turnover by Team (shot clock)
5:25.0,T. Maker makes 2-pt shot from 20 ft (assist by E. Bledsoe),2,74-76,,
5:09.0,Violation by K. Middleton (kicked ball),,74-76,,
5:09.0,,,74-76,,J. Clarkson enters the game for G. Hill
4:57.0,,,74-76,,K. Korver misses 2-pt shot from 19 ft
4:55.0,,,74-76,,Offensive rebound by L. James
4:52.0,,,74-79,3,L. James makes 3-pt shot from 30 ft
4:46.0,T. Snell makes 3-pt shot from 23 ft (assist by K. Middleton),3,77-79,,
4:33.0,,,77-82,3,L. James makes 3-pt shot from 25 ft
4:24.0,E. Bledsoe misses 3-pt shot from 26 ft,,77-82,,
4:20.0,,,77-82,,Defensive rebound by L. James
4:14.0,,,77-82,,L. James misses 3-pt shot from 24 ft
4:14.0,Defensive rebound by Team,,77-82,,
4:14.0,J. Parker enters the game for G. Antetokounmpo,,77-82,,
4:00.0,Turnover by J. Parker (out of bounds lost ball),,77-82,,
4:00.0,,,77-82,,J. Smith enters the game for J. Green
3:42.0,,,77-84,2,L. James makes 2-pt shot from 1 ft
3:23.0,K. Middleton makes 3-pt shot from 25 ft (assist by T. Snell),3,80-84,,
3:06.0,,,80-84,,Shooting foul by T. Maker (drawn by L. James)
3:06.0,,,80-85,1,L. James makes free throw 1 of 2
3:06.0,,,80-85,,J. Calderon enters the game for K. Korver
3:06.0,B. Jennings enters the game for E. Bledsoe,,80-85,,
3:06.0,G. Antetokounmpo enters the game for T. Snell,,80-85,,
3:06.0,,,80-86,1,L. James makes free throw 2 of 2
2:55.0,K. Middleton misses 2-pt shot from 15 ft,,80-86,,
2:53.0,,,80-86,,Defensive rebound by L. James
2:46.0,,,80-86,,Turnover by L. James (bad pass; steal by J. Parker)
2:42.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Parker),2,82-86,,
2:32.0,,,82-86,,Cleveland full timeout
2:25.0,,,82-86,,Turnover by L. James (bad pass; steal by K. Middleton)
2:00.0,J. Parker misses 2-pt shot from 9 ft,,82-86,,
1:58.0,,,82-86,,Defensive rebound by A. Zizic
1:52.0,,,82-88,2,A. Zizic makes 2-pt shot from 1 ft (assist by L. James)
1:52.0,,,82-88,,Shooting foul by K. Middleton (drawn by A. Zizic)
1:52.0,,,82-89,1,A. Zizic makes free throw 1 of 1
1:37.0,J. Parker misses 3-pt shot from 23 ft,,82-89,,
1:34.0,,,82-89,,Defensive rebound by J. Calderon
1:21.0,,,82-91,2,J. Clarkson makes 2-pt shot from 1 ft
1:08.0,K. Middleton makes 2-pt shot from 4 ft,2,84-91,,
1:08.0,Shooting foul by J. Clarkson (drawn by K. Middleton),,84-91,,
1:08.0,K. Middleton makes free throw 1 of 1,1,85-91,,
0:57.0,,,85-91,,L. James misses 3-pt shot from 31 ft
0:54.0,,,85-91,,Offensive rebound by J. Calderon
0:45.0,,,85-93,2,L. James makes 2-pt shot from 8 ft (assist by J. Clarkson)
0:39.0,Turnover by J. Parker (bad pass),,85-93,,
0:28.0,,,85-93,,L. James misses 2-pt shot from 1 ft
0:28.0,,,85-93,,Offensive rebound by A. Zizic
0:28.0,,,85-93,,A. Zizic misses 2-pt shot from 1 ft
0:28.0,,,85-93,,Offensive rebound by L. James
0:05.0,,,85-93,,J. Calderon misses 3-pt shot from 24 ft
0:02.0,,,85-93,,Offensive rebound by L. James
0:02.0,,,85-93,,L. James misses 2-pt shot from 13 ft
0:02.0,Defensive rebound by Team,,85-93,,
0:02.0,,,85-93,,J. Green enters the game for L. James
0:00.0,J. Parker misses 3-pt shot from 35 ft,,85-93,,
0:00.0,Offensive rebound by Team,,85-93,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,B. Jennings misses 2-pt shot from 9 ft,,85-93,,
11:38.0,Offensive rebound by J. Parker,,85-93,,
11:37.0,Turnover by J. Parker (step out of bounds),,85-93,,
11:22.0,,,85-93,,J. Clarkson misses 2-pt shot from 1 ft
11:21.0,,,85-93,,Offensive rebound by Team
11:16.0,,,85-96,3,J. Clarkson makes 3-pt shot from 22 ft (assist by J. Smith)
10:59.0,Shooting foul by A. Zizic (drawn by G. Antetokounmpo),,85-96,,
10:59.0,G. Antetokounmpo makes free throw 1 of 2,1,86-96,,
10:59.0,G. Antetokounmpo makes free throw 2 of 2,1,87-96,,
10:48.0,Technical foul by J. Terry (drawn by A. Zizic),,87-96,,
10:48.0,,,87-97,1,A. Zizic makes flagrant free throw 1 of 2
10:48.0,,,87-98,1,A. Zizic makes flagrant free throw 2 of 2
10:48.0,E. Bledsoe enters the game for B. Jennings,,87-98,,
10:31.0,,,87-98,,Turnover by J. Smith (bad pass; steal by J. Henson)
10:27.0,E. Bledsoe makes 2-pt shot from 1 ft (assist by J. Henson),2,89-98,,
10:12.0,Personal foul by J. Henson (drawn by A. Zizic),,89-98,,
10:02.0,,,89-101,3,J. Clarkson makes 3-pt shot from 25 ft (assist by J. Green)
9:39.0,Turnover by E. Bledsoe (bad pass),,89-101,,
9:15.0,,,89-103,2,J. Smith makes 2-pt shot from 8 ft
9:15.0,Milwaukee full timeout,,89-103,,
9:15.0,K. Middleton enters the game for J. Terry,,89-103,,
9:15.0,T. Snell enters the game for J. Henson,,89-103,,
8:56.0,Shooting foul by A. Zizic (drawn by E. Bledsoe),,89-103,,
8:56.0,E. Bledsoe makes free throw 1 of 2,1,90-103,,
8:56.0,E. Bledsoe misses free throw 2 of 2,,90-103,,
8:54.0,,,90-103,,Defensive rebound by J. Smith
8:39.0,,,90-103,,J. Clarkson misses 3-pt shot from 27 ft
8:37.0,Defensive rebound by K. Middleton,,90-103,,
8:36.0,Turnover by K. Middleton (bad pass),,90-103,,
8:36.0,,,90-103,,L. James enters the game for A. Zizic
8:20.0,,,90-105,2,J. Green makes 2-pt shot from 10 ft (assist by J. Calderon)
8:08.0,G. Antetokounmpo misses 2-pt shot from 16 ft,,90-105,,
8:04.0,,,90-105,,Defensive rebound by J. Clarkson
7:54.0,,,90-105,,J. Calderon misses 2-pt shot at rim (block by E. Bledsoe)
7:50.0,Defensive rebound by J. Parker,,90-105,,
7:50.0,J. Parker makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,92-105,,
7:50.0,Shooting foul by J. Smith (drawn by J. Parker),,92-105,,
7:50.0,J. Parker makes free throw 1 of 1,1,93-105,,
7:29.0,,,93-105,,Shooting foul by E. Bledsoe (drawn by J. Clarkson)
7:29.0,,,93-106,1,J. Clarkson makes free throw 1 of 2
7:29.0,,,93-106,,K. Love enters the game for J. Calderon
7:29.0,,,93-107,1,J. Clarkson makes free throw 2 of 2
7:20.0,G. Antetokounmpo makes 2-pt shot from 21 ft,2,95-107,,
7:03.0,,,95-107,,K. Love misses 2-pt shot from 13 ft
7:03.0,,,95-107,,Offensive rebound by Team
7:03.0,Loose ball foul by K. Middleton (drawn by J. Green),,95-107,,
6:47.0,,,95-107,,L. James misses 2-pt shot from 18 ft
6:45.0,Defensive rebound by E. Bledsoe,,95-107,,
6:45.0,,,95-107,,Personal foul by J. Clarkson (drawn by E. Bledsoe)
6:30.0,Shooting foul by L. James (drawn by G. Antetokounmpo),,95-107,,
6:30.0,G. Antetokounmpo makes free throw 1 of 2,1,96-107,,
6:30.0,,,96-107,,K. Korver enters the game for J. Smith
6:30.0,G. Antetokounmpo makes free throw 2 of 2,1,97-107,,
6:07.0,,,97-107,,J. Green misses 3-pt shot from 25 ft
6:04.0,Defensive rebound by G. Antetokounmpo,,97-107,,
6:01.0,Turnover by G. Antetokounmpo (bad pass; steal by L. James),,97-107,,
5:54.0,,,97-110,3,J. Clarkson makes 3-pt shot from 24 ft (assist by L. James)
5:39.0,Turnover by E. Bledsoe (bad pass),,97-110,,
5:35.0,Personal foul by J. Parker (drawn by K. Love),,97-110,,
5:35.0,,,97-111,1,K. Love makes free throw 1 of 2
5:35.0,Milwaukee full timeout,,97-111,,
5:35.0,T. Maker enters the game for J. Parker,,97-111,,
5:35.0,,,97-112,1,K. Love makes free throw 2 of 2
5:23.0,,,97-112,,Personal foul by J. Green (drawn by G. Antetokounmpo)
5:23.0,G. Antetokounmpo makes free throw 1 of 2,1,98-112,,
5:23.0,G. Antetokounmpo makes free throw 2 of 2,1,99-112,,
5:00.0,,,99-114,2,L. James makes 2-pt shot from 18 ft
4:36.0,T. Maker misses 3-pt shot from 22 ft (block by J. Green),,99-114,,
4:34.0,,,99-114,,Defensive rebound by K. Love
4:34.0,Personal foul by G. Antetokounmpo (drawn by K. Love),,99-114,,
4:34.0,,,99-115,1,K. Love makes free throw 1 of 2
4:34.0,,,99-116,1,K. Love makes free throw 2 of 2
4:23.0,T. Snell misses 3-pt shot from 23 ft,,99-116,,
4:21.0,,,99-116,,Defensive rebound by K. Love
4:09.0,,,99-116,,J. Clarkson misses 3-pt shot from 26 ft
4:07.0,Defensive rebound by K. Middleton,,99-116,,
3:56.0,Shooting foul by J. Green (drawn by G. Antetokounmpo),,99-116,,
3:56.0,G. Antetokounmpo makes free throw 1 of 2,1,100-116,,
3:56.0,G. Antetokounmpo makes free throw 2 of 2,1,101-116,,
3:37.0,,,101-116,,Shooting foul by T. Maker (drawn by L. James)
3:37.0,,,101-116,,L. James misses free throw 1 of 2
3:37.0,,,101-116,,Offensive rebound by Team
3:37.0,,,101-117,1,L. James makes free throw 2 of 2
3:30.0,Offensive charge foul by K. Middleton (drawn by K. Love),,101-117,,
3:30.0,Turnover by K. Middleton (offensive foul),,101-117,,
3:16.0,,,101-117,,Turnover by J. Green (lost ball; steal by T. Maker)
3:11.0,T. Snell misses 3-pt shot from 22 ft,,101-117,,
3:09.0,Offensive rebound by G. Antetokounmpo,,101-117,,
3:09.0,G. Antetokounmpo makes 2-pt shot at rim,2,103-117,,
3:09.0,,,103-117,,Cleveland full timeout
3:04.0,,,103-117,,K. Love misses 3-pt shot from 23 ft
3:01.0,Defensive rebound by G. Antetokounmpo,,103-117,,
2:58.0,K. Middleton makes 3-pt shot from 23 ft (assist by G. Antetokounmpo),3,106-117,,
2:21.0,,,106-117,,K. Love misses 3-pt shot from 24 ft (block by T. Maker)
2:21.0,,,106-117,,Offensive rebound by Team
2:21.0,,,106-117,,Turnover by Team (shot clock)
2:16.0,E. Bledsoe misses 3-pt shot from 25 ft,,106-117,,
2:13.0,,,106-117,,Defensive rebound by K. Korver
1:56.0,,,106-117,,K. Korver misses 3-pt shot from 27 ft
1:53.0,Defensive rebound by G. Antetokounmpo,,106-117,,
1:50.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,108-117,,
1:50.0,,,108-117,,Shooting block foul by K. Korver (drawn by G. Antetokounmpo)
1:50.0,G. Antetokounmpo makes free throw 1 of 1,1,109-117,,
1:31.0,,,109-117,,Turnover by K. Love (turnover)
1:17.0,E. Bledsoe misses 3-pt shot from 26 ft,,109-117,,
1:14.0,,,109-117,,Defensive rebound by L. James
1:12.0,,,109-119,2,L. James makes 2-pt shot from 1 ft
