time,Brooklyn,pts.away,score,pts.home,Atlanta
4:33.0,,,17-18,,D. Bembry misses 2-pt shot from 1 ft (block by J. Allen)
4:31.0,Defensive rebound by T. Booker,,17-18,,
4:31.0,,,17-18,,Personal foul by D. Schroder (drawn by J. Allen)
4:31.0,J. Harris enters the game for D. Carroll,,17-18,,
4:31.0,,,17-18,,I. Taylor enters the game for D. Schroder
4:22.0,S. Dinwiddie makes 3-pt shot from 25 ft (assist by T. Booker),3,20-18,,
4:04.0,,,20-20,2,I. Taylor makes 2-pt shot from 11 ft
3:49.0,C. LeVert makes 2-pt shot from 10 ft (assist by T. Booker),2,22-20,,
3:35.0,,,22-22,2,D. Bembry makes 2-pt shot from 12 ft
3:20.0,C. LeVert makes 2-pt shot from 11 ft,2,24-22,,
3:07.0,,,24-25,3,T. Cavanaugh makes 3-pt shot from 25 ft (assist by D. Bembry)
2:53.0,J. Harris misses 3-pt shot from 25 ft,,24-25,,
2:50.0,,,24-25,,Defensive rebound by I. Taylor
2:39.0,,,24-25,,T. Cavanaugh misses 3-pt shot from 23 ft
2:35.0,Defensive rebound by T. Booker,,24-25,,
2:26.0,Turnover by C. LeVert (bad pass; steal by D. Bembry),,24-25,,
2:21.0,,,24-25,,L. Babbitt misses 3-pt shot from 24 ft
2:18.0,Defensive rebound by S. Dinwiddie,,24-25,,
2:10.0,T. Booker makes 2-pt shot from 14 ft (assist by S. Dinwiddie),2,26-25,,
1:49.0,,,26-25,,D. Bembry misses 3-pt shot from 25 ft
1:46.0,Defensive rebound by S. Dinwiddie,,26-25,,
1:42.0,C. LeVert misses 2-pt shot from 1 ft (block by D. Bembry),,26-25,,
1:42.0,Offensive rebound by J. Harris,,26-25,,
1:42.0,Shooting foul by D. Bembry (drawn by J. Harris),,26-25,,
1:42.0,J. Harris makes free throw 1 of 2,1,27-25,,
1:42.0,,,27-25,,M. Plumlee enters the game for T. Cavanaugh
1:42.0,A. Crabbe enters the game for S. Dinwiddie,,27-25,,
1:42.0,J. Harris makes free throw 2 of 2,1,28-25,,
1:33.0,,,28-25,,M. Belinelli misses 2-pt shot from 17 ft
1:30.0,Defensive rebound by T. Booker,,28-25,,
1:17.0,J. Allen makes 3-pt shot from 23 ft (assist by T. Booker),3,31-25,,
0:59.0,,,31-27,2,M. Belinelli makes 2-pt shot from 16 ft (assist by L. Babbitt)
0:49.0,T. Booker makes 2-pt shot from 1 ft (assist by C. LeVert),2,33-27,,
0:40.0,,,33-30,3,I. Taylor makes 3-pt shot from 25 ft (assist by M. Belinelli)
0:33.0,C. LeVert misses 3-pt shot from 26 ft,,33-30,,
0:30.0,,,33-30,,Defensive rebound by M. Belinelli
0:15.0,,,33-30,,Shooting foul by J. Harris (drawn by M. Belinelli)
0:15.0,,,33-31,1,M. Belinelli makes free throw 1 of 2
0:15.0,,,33-31,,T. Waller-Prince enters the game for L. Babbitt
0:15.0,S. Dinwiddie enters the game for J. Allen,,33-31,,
0:15.0,,,33-32,1,M. Belinelli makes free throw 2 of 2
0:00.0,C. LeVert misses 2-pt shot from 7 ft,,33-32,,
0:00.0,,,33-32,,Defensive rebound by M. Belinelli
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,A. Crabbe misses 2-pt shot from 14 ft,,33-32,,
11:45.0,,,33-32,,Defensive rebound by T. Waller-Prince
11:36.0,,,33-32,,I. Taylor misses 2-pt shot from 11 ft
11:33.0,Defensive rebound by Q. Acy,,33-32,,
11:25.0,Turnover by C. LeVert (bad pass; steal by M. Plumlee),,33-32,,
11:16.0,,,33-32,,M. Belinelli misses 3-pt shot from 25 ft
11:13.0,Defensive rebound by A. Crabbe,,33-32,,
11:09.0,A. Crabbe makes 3-pt shot from 25 ft,3,36-32,,
10:43.0,,,36-34,2,I. Taylor makes 2-pt shot from 4 ft
10:27.0,J. Allen misses 2-pt shot from 6 ft,,36-34,,
10:24.0,,,36-34,,Defensive rebound by K. Bazemore
10:16.0,,,36-34,,Turnover by K. Bazemore (lost ball; steal by Q. Acy)
10:12.0,A. Crabbe misses 3-pt shot from 24 ft,,36-34,,
10:08.0,,,36-34,,Defensive rebound by T. Waller-Prince
9:48.0,Shooting block foul by J. Allen (drawn by T. Waller-Prince),,36-34,,
9:48.0,,,36-34,,T. Waller-Prince misses free throw 1 of 2
9:48.0,,,36-34,,Offensive rebound by Team
9:48.0,,,36-34,,T. Cavanaugh enters the game for M. Belinelli
9:48.0,,,36-34,,E. Ilyasova enters the game for M. Plumlee
9:48.0,T. Booker enters the game for J. Allen,,36-34,,
9:48.0,,,36-35,1,T. Waller-Prince makes free throw 2 of 2
9:42.0,Offensive foul by Q. Acy (drawn by I. Taylor),,36-35,,
9:42.0,Turnover by Q. Acy (offensive foul),,36-35,,
9:26.0,Personal foul by A. Crabbe (drawn by I. Taylor),,36-35,,
9:26.0,S. Dinwiddie enters the game for A. Crabbe,,36-35,,
9:14.0,,,36-35,,Turnover by I. Taylor (bad pass; steal by C. LeVert)
9:08.0,,,36-35,,D. Schroder enters the game for I. Taylor
8:54.0,T. Booker makes 2-pt shot from 10 ft (assist by S. Dinwiddie),2,38-35,,
8:42.0,,,38-38,3,E. Ilyasova makes 3-pt shot from 23 ft (assist by T. Cavanaugh)
8:23.0,,,38-38,,Violation by K. Bazemore (kicked ball)
8:23.0,D. Carroll enters the game for J. Harris,,38-38,,
8:12.0,Q. Acy misses 3-pt shot from 25 ft,,38-38,,
8:08.0,,,38-38,,Defensive rebound by K. Bazemore
8:00.0,,,38-38,,T. Waller-Prince misses 2-pt shot from 11 ft
7:53.0,Defensive rebound by S. Dinwiddie,,38-38,,
7:48.0,Q. Acy misses 3-pt shot from 25 ft,,38-38,,
7:45.0,,,38-38,,Defensive rebound by K. Bazemore
7:37.0,,,38-40,2,D. Schroder makes 2-pt shot from 12 ft
7:26.0,D. Carroll makes 3-pt shot from 25 ft (assist by Q. Acy),3,41-40,,
7:10.0,,,41-42,2,D. Schroder makes 2-pt shot from 16 ft (assist by T. Waller-Prince)
6:59.0,D. Carroll misses 2-pt shot from 11 ft,,41-42,,
6:59.0,,,41-42,,Defensive rebound by Team
6:59.0,Loose ball foul by T. Booker (drawn by T. Cavanaugh),,41-42,,
6:59.0,,,41-42,,Atlanta full timeout
6:59.0,J. Harris enters the game for C. LeVert,,41-42,,
6:50.0,,,41-44,2,K. Bazemore makes 2-pt shot from 1 ft (assist by T. Cavanaugh)
6:28.0,T. Booker misses 3-pt shot from 22 ft,,41-44,,
6:22.0,,,41-44,,Defensive rebound by D. Schroder
6:16.0,,,41-46,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by D. Schroder)
5:56.0,S. Dinwiddie misses 3-pt shot from 25 ft,,41-46,,
5:54.0,Offensive rebound by Team,,41-46,,
5:54.0,R. Hollis-Jefferson enters the game for Q. Acy,,41-46,,
5:50.0,Turnover by R. Hollis-Jefferson (lost ball; steal by K. Bazemore),,41-46,,
5:44.0,,,41-46,,Turnover by K. Bazemore (bad pass)
5:44.0,T. Zeller enters the game for T. Booker,,41-46,,
5:35.0,J. Harris misses 2-pt shot from 19 ft,,41-46,,
5:32.0,,,41-46,,Defensive rebound by T. Waller-Prince
5:26.0,,,41-48,2,D. Schroder makes 2-pt shot from 14 ft
5:11.0,,,41-48,,Shooting block foul by T. Cavanaugh (drawn by T. Zeller)
5:11.0,T. Zeller makes free throw 1 of 2,1,42-48,,
5:11.0,,,42-48,,M. Belinelli enters the game for K. Bazemore
5:11.0,,,42-48,,M. Plumlee enters the game for T. Cavanaugh
5:11.0,T. Zeller misses free throw 2 of 2,,42-48,,
5:06.0,,,42-48,,Defensive rebound by T. Waller-Prince
4:59.0,,,42-48,,Offensive foul by M. Plumlee (drawn by S. Dinwiddie)
4:59.0,,,42-48,,Turnover by M. Plumlee (offensive foul)
4:44.0,R. Hollis-Jefferson misses 3-pt shot from 22 ft,,42-48,,
4:41.0,Offensive rebound by T. Zeller,,42-48,,
4:39.0,T. Zeller makes 2-pt shot from 2 ft,2,44-48,,
4:11.0,,,44-48,,M. Plumlee misses 2-pt shot from 8 ft
4:08.0,Defensive rebound by R. Hollis-Jefferson,,44-48,,
4:04.0,S. Dinwiddie misses 3-pt shot from 25 ft,,44-48,,
3:55.0,,,44-48,,Defensive rebound by M. Plumlee
3:39.0,,,44-50,2,D. Schroder makes 2-pt shot from 13 ft
3:38.0,Brooklyn full timeout,,44-50,,
3:38.0,,,44-50,,L. Babbitt enters the game for E. Ilyasova
3:38.0,,,44-50,,D. Bembry enters the game for T. Waller-Prince
3:19.0,Turnover by D. Carroll (traveling),,44-50,,
3:08.0,,,44-50,,M. Belinelli misses 2-pt shot from 11 ft
3:04.0,Defensive rebound by D. Carroll,,44-50,,
3:01.0,J. Harris makes 3-pt shot from 24 ft (assist by D. Carroll),3,47-50,,
2:47.0,,,47-50,,D. Schroder misses 2-pt shot from 19 ft
2:45.0,Defensive rebound by S. Dinwiddie,,47-50,,
2:34.0,R. Hollis-Jefferson misses 2-pt shot from 9 ft,,47-50,,
2:29.0,,,47-50,,Defensive rebound by L. Babbitt
2:24.0,,,47-50,,Offensive foul by M. Plumlee (drawn by R. Hollis-Jefferson)
2:24.0,,,47-50,,Turnover by M. Plumlee (offensive foul)
2:24.0,,,47-50,,T. Waller-Prince enters the game for M. Belinelli
2:15.0,J. Harris makes 3-pt shot from 26 ft (assist by S. Dinwiddie),3,50-50,,
2:00.0,,,50-50,,D. Bembry misses 3-pt shot from 24 ft
1:57.0,Defensive rebound by D. Carroll,,50-50,,
1:52.0,D. Carroll misses 3-pt shot from 24 ft,,50-50,,
1:48.0,Offensive rebound by J. Harris,,50-50,,
1:45.0,Turnover by R. Hollis-Jefferson (out of bounds lost ball),,50-50,,
1:45.0,,,50-50,,E. Ilyasova enters the game for M. Plumlee
1:35.0,,,50-50,,D. Schroder misses 2-pt shot from 2 ft (block by R. Hollis-Jefferson)
1:27.0,,,50-50,,Offensive rebound by D. Schroder
1:17.0,,,50-52,2,D. Schroder makes 2-pt shot at rim
1:03.0,S. Dinwiddie misses 2-pt shot from 9 ft,,50-52,,
1:03.0,Offensive rebound by Team,,50-52,,
0:58.0,,,50-52,,Personal foul by D. Bembry (drawn by R. Hollis-Jefferson)
0:49.0,R. Hollis-Jefferson makes 3-pt shot from 22 ft (assist by S. Dinwiddie),3,53-52,,
0:27.0,,,53-54,2,D. Bembry makes 2-pt shot from 1 ft (assist by T. Waller-Prince)
0:03.0,C. LeVert enters the game for T. Zeller,,53-54,,
0:03.0,,,53-54,,M. Belinelli enters the game for D. Bembry
0:02.0,Turnover by Team (shot clock),,53-54,,
0:00.0,,,53-54,,E. Ilyasova misses 3-pt shot from 26 ft
0:00.0,,,53-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,T. Zeller makes 2-pt shot from 10 ft (assist by S. Dinwiddie),2,55-54,,
11:26.0,,,55-54,,Turnover by M. Plumlee (lost ball; steal by A. Crabbe)
11:21.0,D. Carroll makes 3-pt shot from 24 ft (assist by A. Crabbe),3,58-54,,
10:54.0,,,58-54,,D. Schroder misses 3-pt shot from 24 ft
10:53.0,Defensive rebound by R. Hollis-Jefferson,,58-54,,
10:45.0,D. Carroll misses 2-pt shot from 11 ft,,58-54,,
10:42.0,,,58-54,,Defensive rebound by E. Ilyasova
10:36.0,,,58-54,,M. Plumlee misses 2-pt shot from 1 ft
10:33.0,Defensive rebound by T. Zeller,,58-54,,
10:30.0,,,58-54,,Personal foul by M. Plumlee (drawn by T. Zeller)
10:24.0,S. Dinwiddie makes 2-pt shot from 3 ft,2,60-54,,
10:05.0,,,60-54,,T. Waller-Prince misses 3-pt shot from 25 ft
10:02.0,Defensive rebound by A. Crabbe,,60-54,,
9:52.0,R. Hollis-Jefferson misses 3-pt shot from 23 ft,,60-54,,
9:49.0,,,60-54,,Defensive rebound by D. Schroder
9:45.0,,,60-54,,T. Waller-Prince misses 2-pt shot from 2 ft
9:40.0,Defensive rebound by R. Hollis-Jefferson,,60-54,,
9:36.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft,,60-54,,
9:33.0,,,60-54,,Defensive rebound by M. Plumlee
9:16.0,,,60-54,,M. Plumlee misses 2-pt shot from 11 ft
9:12.0,Defensive rebound by T. Zeller,,60-54,,
8:58.0,R. Hollis-Jefferson misses 2-pt shot at rim,,60-54,,
8:54.0,Offensive rebound by R. Hollis-Jefferson,,60-54,,
8:53.0,R. Hollis-Jefferson misses 2-pt shot from 1 ft,,60-54,,
8:53.0,,,60-54,,Defensive rebound by T. Waller-Prince
8:51.0,,,60-54,,Atlanta full timeout
8:51.0,,,60-54,,T. Cavanaugh enters the game for M. Plumlee
8:45.0,,,60-54,,T. Cavanaugh misses 3-pt shot from 24 ft
8:42.0,Defensive rebound by S. Dinwiddie,,60-54,,
8:31.0,S. Dinwiddie makes 2-pt shot from 2 ft,2,62-54,,
8:13.0,,,62-54,,D. Schroder misses 3-pt shot from 25 ft
8:12.0,Defensive rebound by A. Crabbe,,62-54,,
7:59.0,S. Dinwiddie misses 2-pt shot from 1 ft,,62-54,,
7:56.0,Offensive rebound by T. Zeller,,62-54,,
7:56.0,T. Zeller makes 2-pt shot from 2 ft,2,64-54,,
7:42.0,,,64-54,,T. Cavanaugh misses 3-pt shot from 23 ft
7:39.0,Defensive rebound by T. Zeller,,64-54,,
7:36.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by D. Carroll),2,66-54,,
7:36.0,Shooting foul by D. Schroder (drawn by R. Hollis-Jefferson),,66-54,,
7:36.0,,,66-54,,D. Bembry enters the game for E. Ilyasova
7:36.0,R. Hollis-Jefferson makes free throw 1 of 1,1,67-54,,
7:16.0,,,67-54,,K. Bazemore misses 2-pt shot from 3 ft
7:12.0,Defensive rebound by R. Hollis-Jefferson,,67-54,,
7:09.0,A. Crabbe misses 3-pt shot from 25 ft,,67-54,,
7:05.0,Offensive rebound by R. Hollis-Jefferson,,67-54,,
7:01.0,D. Carroll makes 3-pt shot from 22 ft (assist by R. Hollis-Jefferson),3,70-54,,
6:58.0,,,70-54,,Atlanta full timeout
6:51.0,,,70-54,,D. Bembry misses 2-pt shot from 10 ft
6:46.0,Defensive rebound by D. Carroll,,70-54,,
6:39.0,Turnover by T. Zeller (lost ball; steal by T. Waller-Prince),,70-54,,
6:37.0,Personal foul by R. Hollis-Jefferson (drawn by T. Waller-Prince),,70-54,,
6:33.0,,,70-54,,D. Schroder misses 3-pt shot from 24 ft
6:29.0,Defensive rebound by T. Zeller,,70-54,,
6:24.0,Offensive charge foul by R. Hollis-Jefferson (drawn by T. Waller-Prince),,70-54,,
6:24.0,Turnover by R. Hollis-Jefferson (offensive foul),,70-54,,
6:17.0,,,70-54,,Shooting foul by A. Crabbe (drawn by K. Bazemore)
6:17.0,,,70-55,1,K. Bazemore makes free throw 1 of 3
6:17.0,,,70-56,1,K. Bazemore makes free throw 2 of 3
6:17.0,J. Harris enters the game for A. Crabbe,,70-56,,
6:17.0,J. Allen enters the game for T. Zeller,,70-56,,
6:17.0,,,70-57,1,K. Bazemore makes free throw 3 of 3
6:01.0,Turnover by D. Carroll (bad pass; steal by K. Bazemore),,70-57,,
5:57.0,,,70-57,,Turnover by K. Bazemore (bad pass)
5:37.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft,2,72-57,,
5:21.0,,,72-57,,K. Bazemore misses 2-pt shot from 1 ft
5:19.0,Defensive rebound by J. Harris,,72-57,,
5:16.0,C. LeVert enters the game for D. Carroll,,72-57,,
5:16.0,T. Booker enters the game for R. Hollis-Jefferson,,72-57,,
5:11.0,Turnover by J. Harris (bad pass),,72-57,,
4:56.0,,,72-57,,T. Waller-Prince misses 2-pt shot from 2 ft (block by J. Allen)
4:56.0,,,72-57,,Offensive rebound by Team
4:56.0,,,72-57,,L. Babbitt enters the game for T. Waller-Prince
4:56.0,,,72-57,,M. Belinelli enters the game for K. Bazemore
4:54.0,,,72-59,2,D. Schroder makes 2-pt shot from 16 ft (assist by M. Belinelli)
4:42.0,J. Harris makes 3-pt shot from 25 ft (assist by T. Booker),3,75-59,,
4:25.0,,,75-59,,Shooting foul by T. Booker (drawn by M. Belinelli)
4:25.0,,,75-60,1,M. Belinelli makes free throw 1 of 2
4:25.0,,,75-61,1,M. Belinelli makes free throw 2 of 2
4:09.0,C. LeVert makes 2-pt shot from 16 ft (assist by T. Booker),2,77-61,,
3:55.0,,,77-61,,M. Belinelli misses 3-pt shot from 25 ft
3:52.0,,,77-61,,Offensive rebound by T. Cavanaugh
3:50.0,,,77-61,,Turnover by L. Babbitt (bad pass)
3:50.0,A. Crabbe enters the game for S. Dinwiddie,,77-61,,
3:37.0,J. Harris misses 3-pt shot from 24 ft,,77-61,,
3:33.0,,,77-61,,Defensive rebound by D. Bembry
3:28.0,,,77-61,,D. Schroder misses 2-pt shot from 18 ft
3:26.0,Defensive rebound by Team,,77-61,,
3:20.0,Turnover by T. Booker (step out of bounds),,77-61,,
3:20.0,,,77-61,,I. Taylor enters the game for D. Schroder
3:09.0,,,77-61,,M. Belinelli misses 2-pt shot from 2 ft
3:06.0,Defensive rebound by J. Harris,,77-61,,
3:03.0,A. Crabbe misses 3-pt shot from 25 ft,,77-61,,
3:03.0,,,77-61,,Defensive rebound by Team
3:01.0,Loose ball foul by T. Booker (drawn by D. Bembry),,77-61,,
2:51.0,,,77-61,,D. Bembry misses 2-pt shot from 2 ft
2:48.0,Defensive rebound by T. Booker,,77-61,,
2:46.0,Shooting foul by L. Babbitt (drawn by T. Booker),,77-61,,
2:46.0,T. Booker misses free throw 1 of 2,,77-61,,
2:46.0,Offensive rebound by Team,,77-61,,
2:46.0,,,77-61,,E. Ilyasova enters the game for T. Cavanaugh
2:46.0,T. Booker makes free throw 2 of 2,1,78-61,,
2:32.0,,,78-63,2,D. Bembry makes 2-pt shot from 12 ft
2:32.0,,,78-63,,Shooting foul by T. Booker (drawn by D. Bembry)
2:32.0,,,78-64,1,D. Bembry makes free throw 1 of 1
2:24.0,Offensive charge foul by C. LeVert (drawn by E. Ilyasova),,78-64,,
2:24.0,Turnover by C. LeVert (offensive foul),,78-64,,
2:16.0,,,78-64,,Offensive charge foul by I. Taylor (drawn by C. LeVert)
2:16.0,,,78-64,,Turnover by I. Taylor (offensive foul)
2:04.0,Turnover by J. Harris (bad pass; steal by E. Ilyasova),,78-64,,
1:56.0,,,78-64,,Shooting foul by C. LeVert (drawn by I. Taylor)
1:56.0,,,78-65,1,I. Taylor makes free throw 1 of 2
1:56.0,,,78-66,1,I. Taylor makes free throw 2 of 2
1:50.0,Offensive foul by J. Harris (drawn by I. Taylor),,78-66,,
1:50.0,Turnover by J. Harris (offensive foul),,78-66,,
1:39.0,,,78-66,,Turnover by D. Bembry (lost ball; steal by C. LeVert)
1:22.0,C. LeVert misses 2-pt shot from 11 ft,,78-66,,
1:17.0,,,78-66,,Defensive rebound by L. Babbitt
1:12.0,,,78-69,3,L. Babbitt makes 3-pt shot from 25 ft (assist by D. Bembry)
0:50.0,T. Booker misses 2-pt shot from 10 ft,,78-69,,
0:50.0,Offensive rebound by J. Allen,,78-69,,
0:48.0,J. Allen makes 2-pt shot at rim,2,80-69,,
0:37.0,,,80-69,,L. Babbitt misses 2-pt shot from 13 ft
0:32.0,Defensive rebound by C. LeVert,,80-69,,
0:29.0,J. Allen makes 2-pt shot from 1 ft (assist by C. LeVert),2,82-69,,
0:11.0,,,82-69,,I. Taylor misses 2-pt shot from 1 ft
0:07.0,Defensive rebound by T. Booker,,82-69,,
0:05.0,,,82-69,,Personal foul by D. Bembry (drawn by C. LeVert)
0:05.0,Brooklyn full timeout,,82-69,,
0:05.0,,,82-69,,T. Waller-Prince enters the game for M. Belinelli
0:05.0,,,82-69,,M. Plumlee enters the game for L. Babbitt
0:05.0,,,82-69,,K. Bazemore enters the game for I. Taylor
0:00.0,C. LeVert makes 2-pt shot from 16 ft (assist by J. Allen),2,84-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,84-69,,Turnover by K. Bazemore (bad pass; steal by R. Hollis-Jefferson)
11:31.0,,,84-69,,Personal foul by D. Bembry (drawn by A. Crabbe)
11:23.0,J. Allen makes 2-pt shot at rim (assist by C. LeVert),2,86-69,,
11:10.0,,,86-69,,I. Taylor misses 2-pt shot from 22 ft
11:06.0,,,86-69,,Offensive rebound by M. Plumlee
11:03.0,,,86-69,,I. Taylor misses 3-pt shot from 25 ft
11:00.0,Defensive rebound by A. Crabbe,,86-69,,
10:51.0,J. Allen makes 2-pt shot from 1 ft (assist by C. LeVert),2,88-69,,
10:35.0,,,88-69,,Turnover by D. Bembry (bad pass)
10:18.0,R. Hollis-Jefferson makes 2-pt shot from 15 ft,2,90-69,,
10:01.0,,,90-69,,Turnover by K. Bazemore (bad pass; steal by J. Allen)
9:54.0,C. LeVert misses 3-pt shot from 25 ft,,90-69,,
9:49.0,,,90-69,,Defensive rebound by M. Plumlee
9:42.0,,,90-69,,Shooting foul by A. Crabbe (drawn by M. Belinelli)
9:42.0,,,90-70,1,M. Belinelli makes free throw 1 of 2
9:42.0,,,90-70,,E. Ilyasova enters the game for M. Plumlee
9:42.0,,,90-70,,D. Schroder enters the game for I. Taylor
9:42.0,D. Carroll enters the game for A. Crabbe,,90-70,,
9:42.0,,,90-71,1,M. Belinelli makes free throw 2 of 2
9:28.0,Turnover by J. Allen (lost ball; steal by E. Ilyasova),,90-71,,
9:28.0,Personal foul by C. LeVert (drawn by E. Ilyasova),,90-71,,
9:20.0,,,90-71,,M. Belinelli misses 2-pt shot from 19 ft
9:15.0,Defensive rebound by D. Carroll,,90-71,,
8:54.0,D. Carroll misses 2-pt shot from 7 ft,,90-71,,
8:52.0,Offensive rebound by C. LeVert,,90-71,,
8:52.0,Shooting foul by D. Schroder (drawn by C. LeVert),,90-71,,
