time,New York,pts.away,score,pts.home,Denver
5:49.0,,,12-22,,N. Jokic misses 2-pt shot from 5 ft
5:47.0,Defensive rebound by C. Lee,,12-22,,
5:42.0,,,12-22,,Personal foul by M. Plumlee (drawn by K. Porzingis)
5:36.0,J. Jack makes 2-pt shot from 20 ft (assist by C. Lee),2,14-22,,
5:19.0,,,14-24,2,M. Plumlee makes 2-pt shot from 1 ft (assist by N. Jokic)
4:56.0,J. Jack misses 3-pt shot from 24 ft,,14-24,,
4:52.0,,,14-24,,Defensive rebound by M. Plumlee
4:45.0,,,14-26,2,M. Plumlee makes 2-pt shot from 1 ft (assist by W. Barton)
4:29.0,J. Jack misses 2-pt shot from 6 ft,,14-26,,
4:27.0,,,14-26,,Defensive rebound by J. Murray
4:22.0,,,14-26,,J. Murray misses 2-pt shot from 3 ft (block by J. Jack)
4:20.0,Defensive rebound by J. Jack,,14-26,,
4:16.0,L. Thomas makes 3-pt shot from 22 ft (assist by J. Jack),3,17-26,,
4:00.0,,,17-26,,Turnover by W. Barton (bad pass; steal by L. Thomas)
4:00.0,,,17-26,,Personal take foul by N. Jokic (drawn by J. Jack)
4:00.0,,,17-26,,W. Chandler enters the game for W. Barton
4:00.0,M. Beasley enters the game for E. Kanter,,17-26,,
4:00.0,T. Burke enters the game for K. Porzingis,,17-26,,
4:00.0,W. Hernangomez enters the game for J. Jack,,17-26,,
4:00.0,,,17-26,,T. Lyles enters the game for M. Plumlee
3:42.0,,,17-26,,Violation by N. Jokic (kicked ball)
3:38.0,C. Lee makes 3-pt shot from 23 ft (assist by T. Burke),3,20-26,,
3:19.0,,,20-26,,T. Lyles misses 2-pt shot from 1 ft
3:17.0,Defensive rebound by W. Hernangomez,,20-26,,
3:12.0,L. Thomas misses 3-pt shot from 22 ft,,20-26,,
3:10.0,,,20-26,,Defensive rebound by T. Lyles
3:05.0,,,20-29,3,J. Murray makes 3-pt shot from 24 ft (assist by G. Harris)
2:46.0,M. Beasley misses 2-pt shot from 10 ft,,20-29,,
2:44.0,,,20-29,,Defensive rebound by J. Murray
2:43.0,,,20-29,,Turnover by J. Murray (bad pass; steal by C. Lee)
2:37.0,T. Burke makes 2-pt shot from 2 ft (assist by C. Lee),2,22-29,,
2:37.0,,,22-29,,Denver full timeout
2:37.0,,,22-29,,W. Barton enters the game for G. Harris
2:37.0,,,22-29,,T. Craig enters the game for N. Jokic
2:37.0,F. Ntilikina enters the game for C. Lee,,22-29,,
2:20.0,,,22-32,3,T. Lyles makes 3-pt shot from 25 ft (assist by J. Murray)
1:55.0,F. Ntilikina misses 3-pt shot from 24 ft,,22-32,,
1:51.0,,,22-32,,Defensive rebound by T. Lyles
1:45.0,,,22-32,,T. Lyles misses 3-pt shot from 25 ft
1:42.0,Defensive rebound by L. Thomas,,22-32,,
1:27.0,W. Hernangomez makes 2-pt shot from 14 ft,2,24-32,,
1:10.0,,,24-35,3,W. Chandler makes 3-pt shot from 24 ft (assist by W. Barton)
0:52.0,W. Hernangomez makes 2-pt shot from 2 ft (assist by F. Ntilikina),2,26-35,,
0:40.0,,,26-37,2,T. Craig makes 2-pt shot from 2 ft (assist by T. Lyles)
0:33.0,T. Burke makes 2-pt shot from 18 ft,2,28-37,,
0:27.0,,,28-37,,T. Craig misses 2-pt shot from 3 ft (block by F. Ntilikina)
0:24.0,Defensive rebound by M. Beasley,,28-37,,
0:13.0,,,28-37,,Personal take foul by J. Murray (drawn by T. Burke)
0:13.0,,,28-37,,E. Mudiay enters the game for J. Murray
0:04.0,T. Burke misses 3-pt shot from 24 ft,,28-37,,
0:01.0,,,28-37,,Defensive rebound by W. Barton
0:00.0,,,28-39,2,T. Lyles makes 2-pt shot from 1 ft (assist by W. Barton)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,28-39,,Shooting block foul by W. Chandler (drawn by M. Beasley)
11:51.0,M. Beasley makes free throw 1 of 2,1,29-39,,
11:51.0,M. Beasley makes free throw 2 of 2,1,30-39,,
11:28.0,,,30-39,,W. Barton misses 2-pt shot from 3 ft
11:26.0,Defensive rebound by M. Beasley,,30-39,,
11:24.0,Shooting foul by E. Mudiay (drawn by M. Beasley),,30-39,,
11:24.0,M. Beasley makes free throw 1 of 2,1,31-39,,
11:24.0,M. Beasley makes free throw 2 of 2,1,32-39,,
11:07.0,,,32-42,3,W. Chandler makes 3-pt shot from 25 ft (assist by E. Mudiay)
10:52.0,L. Thomas misses 2-pt shot from 5 ft (block by T. Craig),,32-42,,
10:48.0,,,32-42,,Defensive rebound by W. Barton
10:47.0,,,32-42,,W. Barton misses 2-pt shot from 1 ft
10:46.0,Defensive rebound by Team,,32-42,,
10:33.0,L. Thomas makes 3-pt shot from 22 ft (assist by T. Burke),3,35-42,,
10:16.0,,,35-44,2,W. Chandler makes 2-pt shot from 4 ft
10:03.0,W. Hernangomez makes 2-pt shot from 2 ft (assist by T. Burke),2,37-44,,
9:51.0,,,37-46,2,E. Mudiay makes 2-pt shot from 9 ft
9:39.0,F. Ntilikina makes 3-pt shot from 24 ft (assist by T. Burke),3,40-46,,
9:38.0,,,40-46,,Denver full timeout
9:18.0,,,40-46,,Turnover by E. Mudiay (bad pass)
8:55.0,L. Thomas misses 3-pt shot from 23 ft,,40-46,,
8:52.0,Offensive rebound by W. Hernangomez,,40-46,,
8:52.0,Shooting foul by T. Lyles (drawn by W. Hernangomez),,40-46,,
8:52.0,W. Hernangomez makes free throw 1 of 2,1,41-46,,
8:52.0,W. Hernangomez misses free throw 2 of 2,,41-46,,
8:50.0,,,41-46,,Defensive rebound by T. Lyles
8:44.0,,,41-48,2,E. Mudiay makes 2-pt shot from 2 ft
8:44.0,Shooting block foul by W. Hernangomez (drawn by E. Mudiay),,41-48,,
8:44.0,,,41-49,1,E. Mudiay makes free throw 1 of 1
8:34.0,T. Burke makes 2-pt shot from 18 ft (assist by L. Thomas),2,43-49,,
8:18.0,,,43-49,,Turnover by W. Chandler (lost ball; steal by F. Ntilikina)
8:12.0,L. Thomas makes 3-pt shot from 24 ft (assist by T. Burke),3,46-49,,
7:54.0,,,46-51,2,T. Lyles makes 2-pt shot from 18 ft (assist by E. Mudiay)
7:30.0,T. Burke misses 2-pt shot from 20 ft,,46-51,,
7:27.0,,,46-51,,Defensive rebound by W. Barton
7:26.0,,,46-53,2,T. Lyles makes 2-pt shot from 1 ft (assist by W. Barton)
7:26.0,,,46-53,,Shooting foul by L. Thomas (drawn by T. Lyles)
7:26.0,C. Lee enters the game for M. Beasley,,46-53,,
7:26.0,K. Porzingis enters the game for L. Thomas,,46-53,,
7:26.0,,,46-54,1,T. Lyles makes free throw 1 of 1
7:12.0,Turnover by W. Hernangomez (traveling),,46-54,,
7:02.0,,,46-56,2,T. Lyles makes 2-pt shot from 2 ft (assist by E. Mudiay)
6:50.0,K. Porzingis misses 2-pt shot from 17 ft,,46-56,,
6:47.0,,,46-56,,Defensive rebound by T. Craig
6:40.0,,,46-58,2,W. Barton makes 2-pt shot from 3 ft
6:33.0,New York full timeout,,46-58,,
6:33.0,,,46-58,,M. Plumlee enters the game for E. Mudiay
6:33.0,,,46-58,,J. Murray enters the game for T. Craig
6:33.0,,,46-58,,G. Harris enters the game for W. Barton
6:33.0,,,46-58,,N. Jokic enters the game for T. Lyles
6:33.0,J. Jack enters the game for W. Hernangomez,,46-58,,
6:33.0,E. Kanter enters the game for T. Burke,,46-58,,
6:28.0,,,46-58,,Personal foul by N. Jokic (drawn by K. Porzingis)
6:20.0,K. Porzingis misses 2-pt shot from 7 ft,,46-58,,
6:19.0,Offensive rebound by Team,,46-58,,
6:19.0,,,46-58,,Personal take foul by J. Murray (drawn by E. Kanter)
6:19.0,E. Kanter makes free throw 1 of 2,1,47-58,,
6:19.0,E. Kanter makes free throw 2 of 2,1,48-58,,
6:02.0,,,48-58,,W. Chandler misses 2-pt shot from 9 ft
5:58.0,Defensive rebound by F. Ntilikina,,48-58,,
5:48.0,E. Kanter makes 2-pt shot from 5 ft,2,50-58,,
5:38.0,,,50-61,3,G. Harris makes 3-pt shot from 24 ft (assist by J. Murray)
5:22.0,F. Ntilikina misses 2-pt shot from 3 ft,,50-61,,
5:19.0,,,50-61,,Defensive rebound by N. Jokic
5:16.0,,,50-63,2,G. Harris makes 2-pt shot from 21 ft (assist by J. Murray)
5:00.0,K. Porzingis makes 2-pt shot from 8 ft (assist by J. Jack),2,52-63,,
4:48.0,,,52-65,2,G. Harris makes 2-pt shot from 21 ft
4:22.0,K. Porzingis misses 2-pt shot from 13 ft,,52-65,,
4:19.0,,,52-65,,Defensive rebound by M. Plumlee
4:13.0,,,52-67,2,W. Chandler makes 2-pt shot from 1 ft (assist by N. Jokic)
4:13.0,New York full timeout,,52-67,,
4:13.0,L. Thomas enters the game for F. Ntilikina,,52-67,,
3:59.0,Offensive foul by K. Porzingis (drawn by W. Chandler),,52-67,,
3:59.0,Turnover by K. Porzingis (offensive foul),,52-67,,
3:51.0,,,52-67,,Shooting foul by E. Kanter (drawn by G. Harris)
3:51.0,,,52-68,1,G. Harris makes free throw 1 of 2
3:51.0,,,52-69,1,G. Harris makes free throw 2 of 2
3:44.0,Offensive foul by E. Kanter (drawn by J. Murray),,52-69,,
3:44.0,Turnover by E. Kanter (offensive foul),,52-69,,
3:44.0,M. Beasley enters the game for E. Kanter,,52-69,,
3:25.0,,,52-69,,J. Murray misses 2-pt shot from 17 ft
3:21.0,,,52-69,,Offensive rebound by W. Chandler
3:11.0,,,52-69,,Turnover by J. Murray (bad pass; steal by C. Lee)
2:58.0,J. Jack misses 2-pt shot from 7 ft,,52-69,,
2:54.0,,,52-69,,Defensive rebound by N. Jokic
2:44.0,,,52-69,,W. Chandler misses 3-pt shot from 22 ft
2:41.0,Defensive rebound by J. Jack,,52-69,,
2:27.0,K. Porzingis misses 2-pt shot from 2 ft (block by M. Plumlee),,52-69,,
2:24.0,,,52-69,,Defensive rebound by M. Plumlee
2:20.0,,,52-69,,Shooting foul by K. Porzingis (drawn by N. Jokic)
2:20.0,,,52-70,1,N. Jokic makes free throw 1 of 2
2:20.0,,,52-70,,N. Jokic misses free throw 2 of 2
2:17.0,Defensive rebound by K. Porzingis,,52-70,,
2:04.0,Shooting foul by J. Murray (drawn by K. Porzingis),,52-70,,
2:04.0,K. Porzingis makes free throw 1 of 2,1,53-70,,
2:04.0,,,53-70,,T. Lyles enters the game for N. Jokic
2:04.0,,,53-70,,W. Barton enters the game for W. Chandler
2:04.0,K. Porzingis makes free throw 2 of 2,1,54-70,,
1:48.0,,,54-70,,Turnover by J. Murray (bad pass; steal by C. Lee)
1:42.0,K. Porzingis misses 2-pt shot from 1 ft,,54-70,,
1:39.0,,,54-70,,Defensive rebound by G. Harris
1:37.0,,,54-70,,W. Barton misses 3-pt shot from 25 ft
1:33.0,Defensive rebound by K. Porzingis,,54-70,,
1:27.0,Shooting foul by T. Lyles (drawn by K. Porzingis),,54-70,,
1:27.0,K. Porzingis makes free throw 1 of 2,1,55-70,,
1:27.0,T. Burke enters the game for L. Thomas,,55-70,,
1:27.0,K. Porzingis makes free throw 2 of 2,1,56-70,,
1:16.0,,,56-73,3,G. Harris makes 3-pt shot from 25 ft (assist by T. Lyles)
1:03.0,K. Porzingis makes 2-pt shot from 2 ft (assist by T. Burke),2,58-73,,
0:51.0,,,58-73,,T. Lyles misses 3-pt shot from 24 ft
0:50.0,Defensive rebound by T. Burke,,58-73,,
0:42.0,K. Porzingis misses 3-pt shot from 24 ft,,58-73,,
0:40.0,,,58-73,,Defensive rebound by T. Lyles
0:25.0,,,58-73,,J. Murray misses 2-pt shot from 3 ft
0:22.0,Defensive rebound by K. Porzingis,,58-73,,
0:04.0,Shooting foul by T. Lyles (drawn by T. Burke),,58-73,,
0:04.0,T. Burke makes free throw 1 of 2,1,59-73,,
0:04.0,L. Thomas enters the game for K. Porzingis,,59-73,,
0:04.0,T. Burke makes free throw 2 of 2,1,60-73,,
0:00.0,,,60-73,,Turnover by M. Plumlee (offensive goaltending)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,E. Kanter makes 2-pt shot from 2 ft (assist by R. Baker),2,62-73,,
11:16.0,,,62-73,,N. Jokic misses 3-pt shot from 25 ft
11:13.0,Defensive rebound by R. Baker,,62-73,,
11:05.0,J. Jack makes 2-pt shot from 11 ft,2,64-73,,
10:55.0,Personal foul by K. Porzingis (drawn by N. Jokic),,64-73,,
10:45.0,,,64-75,2,M. Plumlee makes 2-pt shot from 2 ft (assist by N. Jokic)
10:34.0,E. Kanter misses 2-pt shot from 8 ft,,64-75,,
10:31.0,,,64-75,,Defensive rebound by N. Jokic
10:21.0,,,64-75,,G. Harris misses 2-pt shot from 15 ft
10:18.0,Defensive rebound by K. Porzingis,,64-75,,
10:13.0,,,64-75,,Personal foul by N. Jokic (drawn by K. Porzingis)
10:02.0,E. Kanter misses 2-pt shot from 7 ft,,64-75,,
9:58.0,,,64-75,,Defensive rebound by M. Plumlee
9:54.0,,,64-75,,J. Murray misses 3-pt shot from 26 ft
9:50.0,Defensive rebound by E. Kanter,,64-75,,
9:39.0,K. Porzingis makes 3-pt shot from 24 ft (assist by J. Jack),3,67-75,,
9:19.0,,,67-75,,Shooting foul by K. Porzingis (drawn by N. Jokic)
9:19.0,,,67-76,1,N. Jokic makes free throw 1 of 2
9:19.0,,,67-77,1,N. Jokic makes free throw 2 of 2
9:06.0,E. Kanter makes 2-pt shot from 1 ft (assist by C. Lee),2,69-77,,
8:54.0,,,69-77,,Turnover by W. Barton (turnover)
8:47.0,K. Porzingis misses 3-pt shot from 24 ft,,69-77,,
8:44.0,,,69-77,,Defensive rebound by J. Murray
8:40.0,,,69-77,,J. Murray misses 2-pt shot from 3 ft (block by R. Baker)
8:40.0,Defensive rebound by Team,,69-77,,
8:38.0,Jump ball: J. Murray vs. E. Kanter,,,,Jump ball: J. Murray vs. E. Kanter
8:32.0,,,69-77,,Personal foul by W. Barton (drawn by J. Jack)
8:28.0,J. Jack misses 2-pt shot from 20 ft,,69-77,,
8:25.0,,,69-77,,Defensive rebound by G. Harris
8:17.0,,,69-79,2,G. Harris makes 2-pt shot from 11 ft
8:17.0,,,69-79,,Shooting foul by R. Baker (drawn by G. Harris)
8:17.0,,,69-80,1,G. Harris makes free throw 1 of 1
8:00.0,E. Kanter makes 2-pt shot from 1 ft (assist by C. Lee),2,71-80,,
7:45.0,,,71-82,2,N. Jokic makes 2-pt shot from 6 ft (assist by J. Murray)
7:26.0,C. Lee makes 2-pt shot from 10 ft (assist by E. Kanter),2,73-82,,
7:08.0,,,73-82,,W. Barton misses 3-pt shot from 24 ft
7:05.0,Defensive rebound by R. Baker,,73-82,,
6:48.0,Turnover by R. Baker (bad pass),,73-82,,
6:48.0,,,73-82,,Denver full timeout
6:48.0,T. Burke enters the game for J. Jack,,73-82,,
6:48.0,F. Ntilikina enters the game for R. Baker,,73-82,,
6:32.0,,,73-84,2,M. Plumlee makes 2-pt shot from 1 ft (assist by N. Jokic)
6:19.0,Shooting foul by M. Plumlee (drawn by K. Porzingis),,73-84,,
6:19.0,K. Porzingis makes free throw 1 of 2,1,74-84,,
6:19.0,K. Porzingis makes free throw 2 of 2,1,75-84,,
6:04.0,,,75-84,,Shooting foul by E. Kanter (drawn by N. Jokic)
6:04.0,,,75-85,1,N. Jokic makes free throw 1 of 2
6:04.0,,,75-85,,N. Jokic misses free throw 2 of 2
6:02.0,Defensive rebound by E. Kanter,,75-85,,
5:44.0,E. Kanter makes 2-pt shot from 2 ft,2,77-85,,
5:27.0,,,77-85,,G. Harris misses 2-pt shot from 4 ft (block by K. Porzingis)
5:24.0,Defensive rebound by C. Lee,,77-85,,
5:14.0,E. Kanter misses 2-pt shot from 12 ft,,77-85,,
5:13.0,,,77-85,,Defensive rebound by Team
5:13.0,Loose ball foul by K. Porzingis (drawn by N. Jokic),,77-85,,
5:13.0,,,77-86,1,N. Jokic makes free throw 1 of 2
5:13.0,M. Beasley enters the game for K. Porzingis,,77-86,,
5:13.0,,,77-87,1,N. Jokic makes free throw 2 of 2
4:55.0,T. Burke makes 2-pt shot from 13 ft,2,79-87,,
4:46.0,Personal foul by M. Beasley (drawn by M. Plumlee),,79-87,,
4:46.0,,,79-88,1,M. Plumlee makes free throw 1 of 2
4:46.0,,,79-89,1,M. Plumlee makes free throw 2 of 2
4:33.0,E. Kanter misses 2-pt shot from 3 ft,,79-89,,
4:33.0,Offensive rebound by Team,,79-89,,
4:32.0,,,79-89,,W. Chandler enters the game for M. Plumlee
4:32.0,L. Thomas enters the game for C. Lee,,79-89,,
4:29.0,Jump ball: J. Murray vs. M. Beasley (T. Burke gains possession),,,,Jump ball: J. Murray vs. M. Beasley (T. Burke gains possession)
4:24.0,F. Ntilikina misses 2-pt shot from 20 ft,,79-89,,
4:23.0,,,79-89,,Defensive rebound by Team
4:23.0,,,79-89,,T. Lyles enters the game for W. Barton
4:02.0,,,79-89,,Turnover by J. Murray (bad pass; steal by M. Beasley)
3:53.0,M. Beasley makes 2-pt shot from 2 ft (assist by T. Burke),2,81-89,,
3:42.0,,,81-89,,Shooting foul by T. Burke (drawn by J. Murray)
3:42.0,,,81-90,1,J. Murray makes free throw 1 of 2
3:42.0,,,81-91,1,J. Murray makes free throw 2 of 2
3:27.0,F. Ntilikina misses 3-pt shot from 24 ft,,81-91,,
3:22.0,,,81-91,,Defensive rebound by T. Lyles
3:17.0,,,81-91,,G. Harris misses 3-pt shot from 22 ft
3:15.0,Defensive rebound by E. Kanter,,81-91,,
3:02.0,T. Burke misses 2-pt shot from 5 ft,,81-91,,
2:57.0,Offensive rebound by E. Kanter,,81-91,,
2:57.0,E. Kanter makes 2-pt shot at rim,2,83-91,,
2:42.0,,,83-93,2,N. Jokic makes 2-pt shot from 5 ft (assist by T. Lyles)
2:42.0,,,83-93,,Shooting foul by F. Ntilikina (drawn by N. Jokic)
2:42.0,New York full timeout,,83-93,,
2:42.0,,,83-93,,W. Barton enters the game for G. Harris
2:42.0,,,83-94,1,N. Jokic makes free throw 1 of 1
2:26.0,,,83-94,,Personal foul by W. Barton (drawn by F. Ntilikina)
2:12.0,M. Beasley makes 2-pt shot from 2 ft (assist by T. Burke),2,85-94,,
1:49.0,,,85-94,,W. Chandler misses 3-pt shot from 24 ft
1:46.0,Defensive rebound by E. Kanter,,85-94,,
1:36.0,Shooting foul by J. Murray (drawn by M. Beasley),,85-94,,
1:36.0,,,85-94,,Denver full timeout
1:36.0,,,85-94,,M. Plumlee enters the game for N. Jokic
1:36.0,M. Beasley makes free throw 1 of 2,1,86-94,,
1:36.0,M. Beasley misses free throw 2 of 2,,86-94,,
1:35.0,,,86-94,,Defensive rebound by Team
1:35.0,Loose ball foul by L. Thomas (drawn by W. Chandler),,86-94,,
1:35.0,,,86-94,,W. Chandler misses free throw 1 of 2
1:35.0,,,86-94,,Offensive rebound by Team
1:35.0,,,86-94,,W. Chandler misses free throw 2 of 2
1:33.0,Defensive rebound by M. Beasley,,86-94,,
1:21.0,M. Beasley makes 2-pt shot from 3 ft (assist by T. Burke),2,88-94,,
1:15.0,Away from play foul by F. Ntilikina (drawn by M. Plumlee),,88-94,,
1:15.0,,,88-95,1,J. Murray makes free throw 1 of 1
1:15.0,,,88-95,,E. Mudiay enters the game for J. Murray
0:55.0,,,88-97,2,W. Chandler makes 2-pt shot from 1 ft (assist by M. Plumlee)
0:36.0,E. Kanter makes 2-pt shot from 4 ft (assist by F. Ntilikina),2,90-97,,
0:18.0,,,90-99,2,T. Lyles makes 2-pt shot from 2 ft (assist by W. Barton)
0:00.0,T. Burke makes 2-pt shot from 13 ft,2,92-99,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,92-101,2,W. Barton makes 2-pt shot from 1 ft
11:24.0,F. Ntilikina misses 3-pt shot from 25 ft,,92-101,,
11:20.0,Offensive rebound by T. Burke,,92-101,,
11:12.0,Turnover by M. Beasley (bad pass; steal by E. Mudiay),,92-101,,
11:00.0,,,92-104,3,W. Barton makes 3-pt shot from 22 ft (assist by E. Mudiay)
10:45.0,C. Lee enters the game for F. Ntilikina,,92-104,,
10:35.0,W. Hernangomez misses 2-pt shot from 16 ft,,92-104,,
10:32.0,,,92-104,,Defensive rebound by W. Barton
10:24.0,,,92-107,3,T. Lyles makes 3-pt shot from 23 ft (assist by N. Jokic)
10:22.0,New York full timeout,,92-107,,
10:17.0,Offensive foul by W. Hernangomez (drawn by W. Barton),,92-107,,
10:17.0,Turnover by W. Hernangomez (offensive foul),,92-107,,
10:04.0,,,92-109,2,T. Lyles makes 2-pt shot from 10 ft
9:54.0,Offensive foul by L. Thomas (drawn by E. Mudiay),,92-109,,
9:54.0,Turnover by L. Thomas (offensive foul),,92-109,,
9:54.0,K. Porzingis enters the game for L. Thomas,,92-109,,
9:41.0,,,92-109,,N. Jokic misses 2-pt shot from 5 ft
9:38.0,Defensive rebound by K. Porzingis,,92-109,,
9:26.0,W. Hernangomez makes 2-pt shot from 1 ft,2,94-109,,
9:05.0,,,94-111,2,T. Lyles makes 2-pt shot from 13 ft (assist by E. Mudiay)
8:46.0,M. Beasley makes 3-pt shot from 25 ft (assist by T. Burke),3,97-111,,
8:19.0,,,97-111,,E. Mudiay misses 2-pt shot from 10 ft
8:15.0,,,97-111,,Offensive rebound by N. Jokic
8:06.0,,,97-114,3,N. Jokic makes 3-pt shot from 24 ft (assist by W. Barton)
7:51.0,T. Burke makes 2-pt shot from 17 ft,2,99-114,,
7:30.0,,,99-114,,E. Mudiay misses 2-pt shot from 2 ft
7:28.0,Defensive rebound by K. Porzingis,,99-114,,
7:25.0,,,99-114,,Shooting block foul by T. Lyles (drawn by M. Beasley)
7:25.0,M. Beasley misses free throw 1 of 2,,99-114,,
7:25.0,Offensive rebound by Team,,99-114,,
7:25.0,J. Jack enters the game for W. Hernangomez,,99-114,,
7:25.0,M. Beasley makes free throw 2 of 2,1,100-114,,
7:10.0,,,100-114,,Turnover by N. Jokic (lost ball; steal by C. Lee)
7:10.0,,,100-114,,Personal foul by N. Jokic (drawn by C. Lee)
7:10.0,,,100-114,,G. Harris enters the game for T. Lyles
7:03.0,K. Porzingis makes 2-pt shot from 19 ft (assist by J. Jack),2,102-114,,
6:45.0,,,102-114,,W. Barton misses 3-pt shot from 24 ft
6:42.0,Defensive rebound by C. Lee,,102-114,,
6:33.0,M. Beasley makes 2-pt shot from 1 ft (assist by C. Lee),2,104-114,,
6:33.0,,,104-114,,Denver full timeout
6:33.0,,,104-114,,J. Murray enters the game for E. Mudiay
6:19.0,,,104-114,,Turnover by J. Murray (bad pass; steal by M. Beasley)
6:17.0,Shooting foul by W. Chandler (drawn by M. Beasley),,104-114,,
6:17.0,M. Beasley makes free throw 1 of 2,1,105-114,,
6:17.0,M. Beasley makes free throw 2 of 2,1,106-114,,
6:06.0,,,106-114,,Turnover by W. Barton (bad pass)
5:54.0,C. Lee misses 3-pt shot from 25 ft,,106-114,,
5:51.0,,,106-114,,Defensive rebound by N. Jokic
5:32.0,,,106-116,2,J. Murray makes 2-pt shot from 4 ft (assist by N. Jokic)
5:13.0,K. Porzingis makes 2-pt shot from 15 ft (assist by J. Jack),2,108-116,,
4:49.0,,,108-116,,Shooting foul by K. Porzingis (drawn by W. Chandler)
4:49.0,E. Kanter enters the game for K. Porzingis,,108-116,,
4:49.0,,,108-117,1,W. Chandler makes free throw 1 of 2
4:49.0,,,108-118,1,W. Chandler makes free throw 2 of 2
4:41.0,T. Burke makes 2-pt shot from 19 ft,2,110-118,,
4:26.0,,,110-120,2,J. Murray makes 2-pt shot from 7 ft
4:10.0,M. Beasley makes 2-pt shot from 4 ft (assist by T. Burke),2,112-120,,
3:51.0,,,112-122,2,W. Chandler makes 2-pt shot from 1 ft (assist by W. Barton)
3:28.0,T. Burke misses 3-pt shot from 25 ft,,112-122,,
3:24.0,,,112-122,,Defensive rebound by G. Harris
3:09.0,,,112-122,,G. Harris misses 2-pt shot from 9 ft (block by C. Lee)
3:09.0,,,112-122,,Offensive rebound by Team
3:07.0,,,112-122,,G. Harris misses 3-pt shot from 25 ft
3:04.0,Defensive rebound by E. Kanter,,112-122,,
2:57.0,T. Burke makes 2-pt shot from 1 ft,2,114-122,,
2:41.0,,,114-125,3,J. Murray makes 3-pt shot from 24 ft (assist by N. Jokic)
2:27.0,C. Lee misses 2-pt shot from 13 ft,,114-125,,
2:25.0,,,114-125,,Defensive rebound by N. Jokic
2:07.0,,,114-125,,J. Murray misses 3-pt shot from 26 ft
2:04.0,Defensive rebound by C. Lee,,114-125,,
1:58.0,J. Jack misses 3-pt shot from 22 ft,,114-125,,
1:55.0,,,114-125,,Defensive rebound by J. Murray
