time,Memphis,pts.away,score,pts.home,Toronto
6:50.0,J. Green makes 2-pt shot at rim,2,14-11,,
6:41.0,,,14-11,,Turnover by K. Lowry (step out of bounds)
6:30.0,A. Harrison misses 2-pt shot from 5 ft,,14-11,,
6:28.0,Offensive rebound by J. Green,,14-11,,
6:26.0,J. Green misses 2-pt shot at rim,,14-11,,
6:26.0,,,14-11,,Defensive rebound by Team
6:26.0,J. Martin enters the game for J. Green,,14-11,,
6:17.0,Personal foul by J. Martin (drawn by K. Lowry),,14-11,,
6:17.0,J. Ennis enters the game for W. Selden,,14-11,,
6:11.0,,,14-11,,D. DeRozan misses 3-pt shot from 26 ft
6:08.0,Defensive rebound by J. Ennis,,14-11,,
6:00.0,D. Brooks makes 3-pt shot from 25 ft (assist by J. Ennis),3,17-11,,
5:46.0,,,17-11,,O. Anunoby misses 3-pt shot from 26 ft
5:46.0,,,17-11,,Offensive rebound by S. Ibaka
5:33.0,,,17-13,2,O. Anunoby makes 2-pt shot at rim (assist by K. Lowry)
5:12.0,M. Gasol misses 2-pt shot from 15 ft,,17-13,,
5:10.0,,,17-13,,Defensive rebound by Team
5:10.0,M. Chalmers enters the game for A. Harrison,,17-13,,
4:54.0,,,17-13,,K. Lowry misses 2-pt shot from 17 ft
4:48.0,,,17-13,,Offensive rebound by J. Valanciunas
4:48.0,,,17-13,,J. Valanciunas misses 2-pt shot at rim
4:46.0,Defensive rebound by J. Martin,,17-13,,
4:43.0,J. Martin misses 2-pt shot from 1 ft,,17-13,,
4:40.0,Offensive rebound by M. Gasol,,17-13,,
4:40.0,M. Gasol misses 2-pt shot at rim,,17-13,,
4:39.0,,,17-13,,Defensive rebound by J. Valanciunas
4:35.0,,,17-13,,Shooting foul by J. Martin (drawn by J. Valanciunas)
4:35.0,,,17-13,,J. Valanciunas misses free throw 1 of 2
4:35.0,,,17-13,,Offensive rebound by Team
4:35.0,D. Davis enters the game for J. Martin,,17-13,,
4:35.0,,,17-14,1,J. Valanciunas makes free throw 2 of 2
4:18.0,J. Ennis misses 2-pt shot from 2 ft (block by J. Valanciunas),,17-14,,
4:16.0,,,17-14,,Defensive rebound by S. Ibaka
4:13.0,,,17-16,2,O. Anunoby makes 2-pt shot from 1 ft (assist by K. Lowry)
4:02.0,M. Gasol makes 2-pt shot from 6 ft (assist by M. Chalmers),2,19-16,,
3:50.0,,,19-18,2,K. Lowry makes 2-pt shot from 1 ft (assist by J. Valanciunas)
3:27.0,Turnover by M. Chalmers (bad pass; steal by D. DeRozan),,19-18,,
3:23.0,,,19-20,2,D. DeRozan makes 2-pt shot at rim
3:12.0,M. Chalmers misses 2-pt shot from 16 ft,,19-20,,
3:09.0,,,19-20,,Defensive rebound by S. Ibaka
3:02.0,,,19-20,,D. DeRozan misses 2-pt shot from 1 ft (block by D. Davis)
3:00.0,Defensive rebound by D. Brooks,,19-20,,
2:56.0,Turnover by M. Chalmers (bad pass; steal by K. Lowry),,19-20,,
2:52.0,,,19-20,,Turnover by K. Lowry (bad pass; steal by M. Gasol)
2:47.0,J. Ennis makes 3-pt shot from 23 ft (assist by M. Gasol),3,22-20,,
2:37.0,,,22-20,,Toronto full timeout
2:37.0,,,22-20,,D. Wright enters the game for O. Anunoby
2:37.0,,,22-20,,P. Siakam enters the game for K. Lowry
2:37.0,,,22-20,,J. Poeltl enters the game for S. Ibaka
2:37.0,,,22-20,,F. VanVleet enters the game for J. Valanciunas
2:37.0,W. Selden enters the game for D. Brooks,,22-20,,
2:37.0,J. Martin enters the game for M. Gasol,,22-20,,
2:28.0,,,22-20,,F. VanVleet misses 3-pt shot from 23 ft
2:24.0,,,22-20,,Offensive rebound by F. VanVleet
2:05.0,,,22-20,,Turnover by J. Poeltl (bad pass; steal by M. Chalmers)
1:55.0,J. Martin misses 2-pt shot from 2 ft,,22-20,,
1:53.0,,,22-20,,Defensive rebound by D. Wright
1:39.0,,,22-22,2,J. Poeltl makes 2-pt shot from 1 ft (assist by F. VanVleet)
1:39.0,,,22-22,,Shooting foul by J. Martin (drawn by J. Poeltl)
1:39.0,I. Rabb enters the game for J. Martin,,22-22,,
1:39.0,,,22-23,1,J. Poeltl makes free throw 1 of 1
1:17.0,I. Rabb misses 2-pt shot from 13 ft,,22-23,,
1:14.0,,,22-23,,Defensive rebound by D. DeRozan
1:06.0,,,22-23,,P. Siakam misses 2-pt shot from 2 ft
1:05.0,Defensive rebound by D. Davis,,22-23,,
0:57.0,I. Rabb makes 2-pt shot from 2 ft,2,24-23,,
0:37.0,,,24-23,,D. DeRozan misses 2-pt shot from 22 ft
0:34.0,Defensive rebound by I. Rabb,,24-23,,
0:17.0,M. Chalmers misses 2-pt shot from 2 ft (block by J. Poeltl),,24-23,,
0:17.0,Offensive rebound by Team,,24-23,,
0:14.0,W. Selden misses 2-pt shot from 13 ft,,24-23,,
0:11.0,,,24-23,,Defensive rebound by D. Wright
0:00.0,,,24-25,2,D. DeRozan makes 2-pt shot from 19 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,24-25,,D. Wright misses 3-pt shot from 23 ft
11:33.0,,,24-25,,Offensive rebound by J. Poeltl
11:33.0,,,24-27,2,J. Poeltl makes 2-pt shot at rim
11:22.0,Turnover by I. Rabb (lost ball; steal by P. Siakam),,24-27,,
11:19.0,,,24-29,2,D. Wright makes 2-pt shot at rim (assist by P. Siakam)
11:07.0,A. Harrison misses 3-pt shot from 22 ft,,24-29,,
11:04.0,,,24-29,,Defensive rebound by F. VanVleet
11:00.0,,,24-31,2,F. VanVleet makes 2-pt shot from 2 ft
11:00.0,Violation by D. Davis (def goaltending),,24-31,,
10:47.0,W. Selden misses 3-pt shot from 25 ft,,24-31,,
10:44.0,,,24-31,,Defensive rebound by Team
10:27.0,,,24-31,,N. Powell misses 3-pt shot from 26 ft
10:25.0,Defensive rebound by I. Rabb,,24-31,,
10:17.0,Turnover by B. McLemore (bad pass; steal by D. Wright),,24-31,,
10:13.0,,,24-33,2,D. Wright makes 2-pt shot from 1 ft
10:13.0,Memphis full timeout,,24-33,,
9:51.0,A. Harrison misses 2-pt shot from 11 ft,,24-33,,
9:48.0,,,24-33,,Defensive rebound by N. Powell
9:45.0,,,24-33,,Turnover by N. Powell (bad pass; steal by B. McLemore)
9:41.0,Shooting foul by N. Powell (drawn by W. Selden),,24-33,,
9:41.0,W. Selden makes free throw 1 of 2,1,25-33,,
9:41.0,W. Selden misses free throw 2 of 2,,25-33,,
9:39.0,,,25-33,,Defensive rebound by N. Powell
9:27.0,,,25-35,2,J. Poeltl makes 2-pt shot from 5 ft (assist by F. VanVleet)
9:08.0,A. Harrison makes 3-pt shot from 25 ft (assist by B. McLemore),3,28-35,,
8:49.0,,,28-35,,Turnover by P. Siakam (bad pass; steal by B. McLemore)
8:43.0,Turnover by B. McLemore (bad pass; steal by N. Powell),,28-35,,
8:39.0,,,28-37,2,N. Powell makes 2-pt shot from 1 ft
8:23.0,,,28-37,,Personal block foul by D. Wright (drawn by A. Harrison)
8:23.0,A. Harrison makes free throw 1 of 2,1,29-37,,
8:23.0,J. Green enters the game for I. Rabb,,29-37,,
8:23.0,D. Brooks enters the game for B. McLemore,,29-37,,
8:23.0,A. Harrison makes free throw 2 of 2,1,30-37,,
7:58.0,,,30-37,,Turnover by F. VanVleet (lost ball; steal by J. Green)
7:54.0,Turnover by J. Green (lost ball; steal by F. VanVleet),,30-37,,
7:50.0,,,30-39,2,P. Siakam makes 2-pt shot at rim (assist by F. VanVleet)
7:42.0,,,30-39,,Personal foul by F. VanVleet (drawn by D. Brooks)
7:42.0,M. Gasol enters the game for D. Davis,,30-39,,
7:31.0,D. Brooks misses 2-pt shot from 4 ft,,30-39,,
7:28.0,,,30-39,,Defensive rebound by F. VanVleet
7:13.0,,,30-39,,N. Powell misses 3-pt shot from 26 ft
7:10.0,Defensive rebound by W. Selden,,30-39,,
6:54.0,W. Selden misses 2-pt shot from 1 ft (block by P. Siakam),,30-39,,
6:52.0,Offensive rebound by J. Green,,30-39,,
6:52.0,J. Green makes 2-pt shot from 2 ft,2,32-39,,
6:52.0,Shooting foul by J. Poeltl (drawn by J. Green),,32-39,,
6:52.0,,,32-39,,J. Valanciunas enters the game for N. Powell
6:52.0,,,32-39,,K. Lowry enters the game for J. Poeltl
6:52.0,J. Ennis enters the game for W. Selden,,32-39,,
6:52.0,J. Green misses free throw 1 of 1,,32-39,,
6:50.0,,,32-39,,Defensive rebound by J. Valanciunas
6:33.0,,,32-41,2,J. Valanciunas makes 2-pt shot from 2 ft
6:14.0,M. Gasol misses 2-pt shot from 11 ft,,32-41,,
6:10.0,,,32-41,,Defensive rebound by K. Lowry
5:56.0,,,32-41,,Shooting foul by A. Harrison (drawn by D. Wright)
5:56.0,,,32-42,1,D. Wright makes free throw 1 of 2
5:56.0,,,32-42,,S. Ibaka enters the game for P. Siakam
5:56.0,M. Chalmers enters the game for A. Harrison,,32-42,,
5:56.0,,,32-43,1,D. Wright makes free throw 2 of 2
5:39.0,D. Brooks misses 2-pt shot from 1 ft,,32-43,,
5:37.0,,,32-43,,Defensive rebound by S. Ibaka
5:20.0,,,32-45,2,F. VanVleet makes 2-pt shot from 1 ft (assist by J. Valanciunas)
5:06.0,M. Chalmers misses 3-pt shot from 23 ft,,32-45,,
5:04.0,,,32-45,,Defensive rebound by K. Lowry
5:01.0,Personal foul by J. Ennis (drawn by K. Lowry),,32-45,,
5:01.0,,,32-45,,D. DeRozan enters the game for F. VanVleet
4:54.0,,,32-45,,K. Lowry misses 3-pt shot from 22 ft
4:49.0,Defensive rebound by M. Chalmers,,32-45,,
4:47.0,Turnover by M. Chalmers (bad pass; steal by D. Wright),,32-45,,
4:43.0,,,32-48,3,K. Lowry makes 3-pt shot from 27 ft (assist by D. Wright)
4:23.0,J. Ennis makes 2-pt shot at rim,2,34-48,,
4:17.0,Personal foul by D. Brooks (drawn by K. Lowry),,34-48,,
4:07.0,,,34-51,3,S. Ibaka makes 3-pt shot from 25 ft (assist by J. Valanciunas)
4:00.0,Memphis full timeout,,34-51,,
4:00.0,,,34-51,,O. Anunoby enters the game for D. Wright
3:45.0,Turnover by M. Gasol (lost ball; steal by D. DeRozan),,34-51,,
3:40.0,,,34-51,,S. Ibaka misses 3-pt shot from 25 ft
3:37.0,Defensive rebound by M. Chalmers,,34-51,,
3:33.0,J. Ennis misses 2-pt shot from 1 ft (block by S. Ibaka),,34-51,,
3:30.0,,,34-51,,Defensive rebound by J. Valanciunas
3:23.0,,,34-51,,D. DeRozan misses 2-pt shot from 23 ft
3:23.0,Defensive rebound by Team,,34-51,,
3:11.0,,,34-51,,Personal foul by O. Anunoby (drawn by D. Brooks)
3:11.0,D. Brooks makes free throw 1 of 2,1,35-51,,
3:11.0,W. Selden enters the game for J. Ennis,,35-51,,
3:11.0,D. Brooks makes free throw 2 of 2,1,36-51,,
2:47.0,,,36-51,,D. DeRozan misses 2-pt shot from 17 ft
2:47.0,,,36-51,,Offensive rebound by Team
2:47.0,,,36-51,,Turnover by Team (shot clock)
2:37.0,W. Selden makes 2-pt shot at rim (assist by M. Chalmers),2,38-51,,
2:24.0,Personal foul by W. Selden (drawn by O. Anunoby),,38-51,,
2:13.0,,,38-51,,O. Anunoby misses 3-pt shot from 24 ft
2:10.0,Defensive rebound by M. Chalmers,,38-51,,
2:06.0,W. Selden makes 2-pt shot from 1 ft (assist by M. Chalmers),2,40-51,,
1:43.0,,,40-51,,D. DeRozan misses 2-pt shot from 13 ft
1:43.0,Defensive rebound by Team,,40-51,,
1:43.0,,,40-51,,Loose ball foul by J. Valanciunas (drawn by M. Gasol)
1:43.0,M. Gasol misses free throw 1 of 2,,40-51,,
1:43.0,Offensive rebound by Team,,40-51,,
1:43.0,D. Davis enters the game for J. Green,,40-51,,
1:43.0,M. Gasol makes free throw 2 of 2,1,41-51,,
1:31.0,Violation by M. Gasol (kicked ball),,41-51,,
1:25.0,,,41-51,,J. Valanciunas misses 3-pt shot from 23 ft
1:22.0,Defensive rebound by D. Brooks,,41-51,,
1:09.0,W. Selden misses 3-pt shot from 25 ft,,41-51,,
1:07.0,,,41-51,,Defensive rebound by O. Anunoby
1:01.0,,,41-53,2,K. Lowry makes 2-pt shot from 19 ft
0:52.0,Offensive charge foul by M. Gasol (drawn by J. Valanciunas),,41-53,,
0:52.0,Turnover by M. Gasol (offensive foul),,41-53,,
0:33.0,,,41-55,2,D. DeRozan makes 2-pt shot from 1 ft
0:20.0,M. Gasol makes 3-pt shot from 26 ft (assist by M. Chalmers),3,44-55,,
0:03.0,,,44-55,,Shooting foul by D. Brooks (drawn by D. DeRozan)
0:03.0,,,44-55,,D. DeRozan misses free throw 1 of 2
0:03.0,,,44-55,,Offensive rebound by Team
0:03.0,,,44-56,1,D. DeRozan makes free throw 2 of 2
0:00.0,M. Chalmers misses 3-pt shot from 43 ft,,44-56,,
0:00.0,Offensive rebound by Team,,44-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,44-56,,O. Anunoby misses 2-pt shot from 2 ft (block by M. Gasol)
11:38.0,Defensive rebound by W. Selden,,44-56,,
11:36.0,Turnover by W. Selden (bad pass),,44-56,,
11:18.0,,,44-58,2,S. Ibaka makes 2-pt shot from 5 ft
10:58.0,J. Green makes 2-pt shot from 16 ft,2,46-58,,
10:43.0,,,46-60,2,J. Valanciunas makes 2-pt shot at rim
10:24.0,A. Harrison makes 2-pt shot from 4 ft,2,48-60,,
10:05.0,Personal foul by J. Green (drawn by K. Lowry),,48-60,,
10:01.0,Personal foul by J. Green (drawn by D. DeRozan),,48-60,,
9:48.0,,,48-60,,K. Lowry misses 3-pt shot from 27 ft
9:45.0,Defensive rebound by D. Brooks,,48-60,,
9:32.0,Turnover by D. Brooks (turnover),,48-60,,
9:32.0,Loose ball foul by D. Brooks (drawn by K. Lowry),,48-60,,
9:32.0,J. Ennis enters the game for D. Brooks,,48-60,,
9:06.0,,,48-60,,K. Lowry misses 2-pt shot from 2 ft
9:04.0,,,48-60,,Offensive rebound by J. Valanciunas
9:01.0,,,48-60,,O. Anunoby misses 3-pt shot from 22 ft
9:01.0,,,48-60,,Offensive rebound by S. Ibaka
8:58.0,,,48-60,,S. Ibaka misses 2-pt shot at rim
8:58.0,,,48-60,,Offensive rebound by K. Lowry
8:44.0,,,48-60,,J. Valanciunas misses 2-pt shot from 3 ft (block by A. Harrison)
8:44.0,,,48-60,,Offensive rebound by Team
8:39.0,,,48-60,,D. DeRozan misses 2-pt shot from 10 ft
8:37.0,Defensive rebound by M. Gasol,,48-60,,
8:30.0,M. Gasol makes 3-pt shot from 25 ft (assist by W. Selden),3,51-60,,
8:05.0,,,51-60,,S. Ibaka misses 3-pt shot from 25 ft
8:02.0,Defensive rebound by W. Selden,,51-60,,
7:56.0,J. Green makes 3-pt shot from 23 ft (assist by A. Harrison),3,54-60,,
7:54.0,,,54-60,,Toronto full timeout
7:54.0,,,54-60,,J. Poeltl enters the game for J. Valanciunas
7:47.0,,,54-60,,Turnover by K. Lowry (out of bounds lost ball)
7:29.0,Turnover by M. Gasol (traveling),,54-60,,
7:24.0,Personal foul by A. Harrison (drawn by K. Lowry),,54-60,,
7:21.0,,,54-60,,Shooting foul by M. Gasol (drawn by D. DeRozan)
7:21.0,,,54-61,1,D. DeRozan makes free throw 1 of 2
7:21.0,,,54-61,,J. Valanciunas enters the game for J. Poeltl
7:21.0,,,54-62,1,D. DeRozan makes free throw 2 of 2
7:14.0,,,54-62,,Personal foul by O. Anunoby (drawn by M. Gasol)
7:08.0,M. Gasol misses 3-pt shot from 26 ft,,54-62,,
7:04.0,,,54-62,,Defensive rebound by O. Anunoby
6:57.0,,,54-62,,K. Lowry misses 3-pt shot from 25 ft
6:53.0,Defensive rebound by W. Selden,,54-62,,
6:53.0,W. Selden makes 2-pt shot from 1 ft,2,56-62,,
6:53.0,Shooting foul by K. Lowry (drawn by W. Selden),,56-62,,
6:53.0,W. Selden makes free throw 1 of 1,1,57-62,,
6:38.0,,,57-62,,O. Anunoby misses 3-pt shot from 25 ft
6:37.0,Defensive rebound by Team,,57-62,,
6:37.0,,,57-62,,Loose ball foul by J. Valanciunas (drawn by M. Gasol)
6:37.0,,,57-62,,F. VanVleet enters the game for O. Anunoby
6:37.0,J. Martin enters the game for W. Selden,,57-62,,
6:24.0,A. Harrison makes 2-pt shot from 14 ft,2,59-62,,
6:12.0,,,59-64,2,D. DeRozan makes 2-pt shot from 14 ft
5:52.0,M. Gasol misses 2-pt shot from 15 ft,,59-64,,
5:47.0,Offensive rebound by J. Ennis,,59-64,,
5:47.0,J. Ennis misses 2-pt shot at rim,,59-64,,
5:46.0,Offensive rebound by J. Martin,,59-64,,
5:44.0,A. Harrison makes 3-pt shot from 26 ft (assist by J. Green),3,62-64,,
5:34.0,,,62-66,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by F. VanVleet)
5:21.0,J. Green misses 3-pt shot from 26 ft,,62-66,,
5:18.0,,,62-66,,Defensive rebound by J. Valanciunas
5:02.0,,,62-66,,K. Lowry misses 3-pt shot from 22 ft
4:59.0,Defensive rebound by M. Gasol,,62-66,,
4:41.0,Shooting foul by S. Ibaka (drawn by J. Martin),,62-66,,
4:41.0,J. Martin makes free throw 1 of 2,1,63-66,,
4:41.0,,,63-66,,P. Siakam enters the game for S. Ibaka
4:41.0,W. Selden enters the game for J. Green,,63-66,,
4:41.0,J. Martin makes free throw 2 of 2,1,64-66,,
4:25.0,,,64-66,,F. VanVleet misses 3-pt shot from 26 ft
4:22.0,Defensive rebound by M. Gasol,,64-66,,
4:14.0,A. Harrison misses 2-pt shot from 4 ft,,64-66,,
4:12.0,,,64-66,,Defensive rebound by J. Valanciunas
4:05.0,,,64-66,,Turnover by K. Lowry (bad pass; steal by J. Ennis)
4:03.0,Shooting foul by K. Lowry (drawn by J. Ennis),,64-66,,
4:03.0,J. Ennis makes free throw 1 of 2,1,65-66,,
4:03.0,M. Chalmers enters the game for A. Harrison,,65-66,,
4:03.0,J. Ennis makes free throw 2 of 2,1,66-66,,
3:40.0,,,66-66,,D. DeRozan misses 2-pt shot from 16 ft
3:37.0,Defensive rebound by J. Martin,,66-66,,
3:30.0,J. Ennis makes 2-pt shot at rim (assist by M. Gasol),2,68-66,,
3:15.0,,,68-66,,P. Siakam misses 3-pt shot from 27 ft
3:15.0,,,68-66,,Offensive rebound by Team
3:15.0,Loose ball foul by M. Chalmers (drawn by K. Lowry),,68-66,,
3:15.0,,,68-67,1,K. Lowry makes free throw 1 of 2
3:15.0,,,68-67,,J. Poeltl enters the game for J. Valanciunas
3:15.0,D. Davis enters the game for J. Ennis,,68-67,,
3:15.0,,,68-68,1,K. Lowry makes free throw 2 of 2
3:05.0,D. Davis makes 2-pt shot from 3 ft (assist by M. Gasol),2,70-68,,
2:52.0,,,70-70,2,F. VanVleet makes 2-pt shot from 2 ft (assist by D. DeRozan)
2:40.0,M. Chalmers makes 2-pt shot from 2 ft (assist by M. Gasol),2,72-70,,
2:21.0,,,72-72,2,D. DeRozan makes 2-pt shot from 2 ft
2:05.0,,,72-72,,Personal foul by P. Siakam (drawn by M. Gasol)
2:05.0,Memphis full timeout,,72-72,,
2:05.0,,,72-72,,D. Wright enters the game for K. Lowry
2:05.0,,,72-72,,C. Miles enters the game for D. DeRozan
2:05.0,M. Gasol makes free throw 1 of 2,1,73-72,,
2:05.0,M. Gasol makes free throw 2 of 2,1,74-72,,
1:45.0,,,74-72,,D. Wright misses 3-pt shot from 22 ft
1:42.0,,,74-72,,Offensive rebound by J. Poeltl
1:40.0,,,74-74,2,J. Poeltl makes 2-pt shot from 3 ft
1:15.0,M. Gasol misses 2-pt shot from 12 ft,,74-74,,
1:13.0,,,74-74,,Defensive rebound by F. VanVleet
1:07.0,,,74-76,2,P. Siakam makes 2-pt shot from 2 ft (assist by F. VanVleet)
0:55.0,Turnover by M. Chalmers (bad pass),,74-76,,
0:55.0,A. Harrison enters the game for M. Gasol,,74-76,,
0:48.0,,,74-76,,F. VanVleet misses 2-pt shot from 2 ft (block by D. Davis)
0:45.0,Defensive rebound by A. Harrison,,74-76,,
0:30.0,J. Martin misses 2-pt shot from 7 ft,,74-76,,
0:28.0,,,74-76,,Defensive rebound by J. Poeltl
0:06.0,,,74-76,,F. VanVleet misses 3-pt shot from 24 ft
0:04.0,Defensive rebound by W. Selden,,74-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,W. Selden misses 2-pt shot from 3 ft,,74-76,,
11:39.0,,,74-76,,Defensive rebound by P. Siakam
11:34.0,,,74-76,,Turnover by C. Miles (step out of bounds)
11:24.0,D. Davis misses 2-pt shot from 1 ft,,74-76,,
11:22.0,,,74-76,,Defensive rebound by J. Poeltl
11:00.0,,,74-76,,F. VanVleet misses 3-pt shot from 25 ft
10:55.0,,,74-76,,Offensive rebound by F. VanVleet
10:45.0,,,74-79,3,C. Miles makes 3-pt shot from 26 ft (assist by F. VanVleet)
10:19.0,D. Brooks makes 2-pt shot from 12 ft,2,76-79,,
9:54.0,,,76-82,3,D. Wright makes 3-pt shot from 26 ft (assist by P. Siakam)
9:39.0,A. Harrison misses 3-pt shot from 24 ft,,76-82,,
9:38.0,,,76-82,,Defensive rebound by Team
9:38.0,Personal foul by W. Selden (drawn by D. Wright),,76-82,,
9:38.0,J. Ennis enters the game for W. Selden,,76-82,,
9:21.0,,,76-82,,C. Miles misses 2-pt shot from 20 ft
9:19.0,Defensive rebound by A. Harrison,,76-82,,
9:11.0,D. Brooks misses 3-pt shot from 25 ft,,76-82,,
9:08.0,Offensive rebound by J. Ennis,,76-82,,
8:58.0,D. Davis misses 2-pt shot from 20 ft,,76-82,,
8:55.0,Offensive rebound by A. Harrison,,76-82,,
8:53.0,D. Brooks misses 3-pt shot from 26 ft,,76-82,,
8:53.0,,,76-82,,Defensive rebound by P. Siakam
8:48.0,,,76-82,,Shooting foul by J. Martin (drawn by P. Siakam)
8:48.0,,,76-83,1,P. Siakam makes free throw 1 of 2
8:48.0,M. Gasol enters the game for D. Davis,,76-83,,
8:48.0,,,76-84,1,P. Siakam makes free throw 2 of 2
8:31.0,D. Brooks makes 2-pt shot from 1 ft (assist by J. Ennis),2,78-84,,
8:20.0,Personal foul by D. Brooks (drawn by C. Miles),,78-84,,
8:20.0,W. Selden enters the game for D. Brooks,,78-84,,
8:20.0,J. Green enters the game for J. Martin,,78-84,,
8:09.0,,,78-86,2,F. VanVleet makes 2-pt shot at rim (assist by P. Siakam)
7:52.0,J. Green misses 2-pt shot from 2 ft,,78-86,,
7:50.0,Offensive rebound by J. Ennis,,78-86,,
7:49.0,J. Ennis misses 2-pt shot from 1 ft (block by P. Siakam),,78-86,,
7:49.0,Offensive rebound by J. Ennis,,78-86,,
7:44.0,A. Harrison misses 3-pt shot from 26 ft,,78-86,,
7:44.0,,,78-86,,Defensive rebound by P. Siakam
7:44.0,Personal foul by J. Green (drawn by P. Siakam),,78-86,,
7:30.0,,,78-88,2,D. Wright makes 2-pt shot from 4 ft
7:30.0,Memphis full timeout,,78-88,,
7:11.0,M. Gasol misses 2-pt shot from 4 ft,,78-88,,
7:08.0,Offensive rebound by J. Green,,78-88,,
7:07.0,J. Green misses 2-pt shot from 2 ft,,78-88,,
7:05.0,,,78-88,,Defensive rebound by F. VanVleet
7:01.0,,,78-88,,C. Miles misses 3-pt shot from 24 ft
7:00.0,,,78-88,,Offensive rebound by J. Poeltl
6:47.0,,,78-88,,P. Siakam misses 2-pt shot from 2 ft (block by M. Gasol)
6:45.0,Defensive rebound by A. Harrison,,78-88,,
6:42.0,Shooting foul by J. Poeltl (drawn by J. Green),,78-88,,
6:42.0,J. Green makes free throw 1 of 2,1,79-88,,
6:42.0,J. Green makes free throw 2 of 2,1,80-88,,
6:27.0,,,80-90,2,D. Wright makes 2-pt shot from 1 ft
6:10.0,M. Gasol misses 2-pt shot from 9 ft,,80-90,,
6:10.0,,,80-90,,Defensive rebound by D. Wright
6:04.0,,,80-90,,Turnover by J. Poeltl (traveling)
5:53.0,A. Harrison makes 2-pt shot from 14 ft,2,82-90,,
5:32.0,,,82-93,3,F. VanVleet makes 3-pt shot from 25 ft (assist by D. Wright)
5:17.0,,,82-93,,Personal foul by J. Poeltl (drawn by M. Gasol)
5:11.0,J. Green misses 3-pt shot from 23 ft (block by P. Siakam),,82-93,,
5:07.0,Offensive rebound by J. Green,,82-93,,
5:04.0,W. Selden misses 2-pt shot from 3 ft,,82-93,,
5:02.0,Offensive rebound by W. Selden,,82-93,,
5:02.0,,,82-93,,Personal foul by C. Miles (drawn by W. Selden)
4:56.0,W. Selden misses 2-pt shot from 10 ft,,82-93,,
4:53.0,Offensive rebound by Team,,82-93,,
4:38.0,Turnover by W. Selden (bad pass; steal by F. VanVleet),,82-93,,
