time,Orlando,pts.away,score,pts.home,Detroit
3:40.0,,,35-51,,E. Moreland enters the game for A. Drummond
3:20.0,E. Payton makes 2-pt shot at rim (assist by N. Vucevic),2,37-51,,
3:10.0,,,37-51,,Offensive foul by R. Jackson (drawn by E. Payton)
3:10.0,,,37-51,,Turnover by R. Jackson (offensive foul)
3:10.0,,,37-51,,I. Smith enters the game for R. Jackson
3:00.0,N. Vucevic makes 2-pt shot from 3 ft (assist by E. Payton),2,39-51,,
2:44.0,,,39-53,2,L. Galloway makes 2-pt shot from 20 ft (assist by E. Moreland)
2:29.0,N. Vucevic makes 2-pt shot at rim (assist by J. Simmons),2,41-53,,
2:11.0,,,41-53,,R. Bullock misses 3-pt shot from 26 ft
2:09.0,Defensive rebound by M. Hezonja,,41-53,,
1:56.0,N. Vucevic misses 2-pt shot from 7 ft,,41-53,,
1:56.0,Offensive rebound by J. Simmons,,41-53,,
1:52.0,J. Simmons misses 2-pt shot from 2 ft,,41-53,,
1:52.0,,,41-53,,Defensive rebound by L. Galloway
1:42.0,,,41-55,2,T. Harris makes 2-pt shot from 7 ft
1:32.0,N. Vucevic misses 3-pt shot from 25 ft,,41-55,,
1:29.0,,,41-55,,Defensive rebound by R. Bullock
1:24.0,,,41-55,,I. Smith misses 2-pt shot from 10 ft
1:21.0,Defensive rebound by M. Hezonja,,41-55,,
1:18.0,,,41-55,,Personal foul by E. Moreland (drawn by N. Vucevic)
1:12.0,Turnover by J. Simmons (traveling),,41-55,,
1:00.0,,,41-55,,T. Harris misses 3-pt shot from 27 ft
0:57.0,Defensive rebound by N. Vucevic,,41-55,,
0:47.0,Jump ball: T. Harris vs. E. Payton (L. Galloway gains possession),,,,Jump ball: T. Harris vs. E. Payton (L. Galloway gains possession)
0:47.0,Turnover by E. Payton (turnover; steal by T. Harris),,41-55,,
0:39.0,,,41-57,2,T. Harris makes 2-pt shot from 11 ft (assist by I. Smith)
0:28.0,M. Hezonja misses 3-pt shot from 24 ft,,41-57,,
0:24.0,Offensive rebound by N. Vucevic,,41-57,,
0:23.0,S. Mack makes 2-pt shot from 1 ft (assist by N. Vucevic),2,43-57,,
0:12.0,Personal foul by E. Payton (drawn by I. Smith),,43-57,,
0:02.0,,,43-60,3,R. Bullock makes 3-pt shot from 26 ft (assist by I. Smith)
0:00.0,Turnover by J. Simmons (step out of bounds),,43-60,,
0:00.0,,,43-60,,B. Marjanovic enters the game for E. Moreland
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,M. Hezonja makes 2-pt shot from 11 ft (assist by S. Mack),2,45-60,,
11:16.0,,,45-60,,L. Kennard misses 2-pt shot from 10 ft
11:14.0,,,45-60,,Offensive rebound by A. Drummond
11:14.0,,,45-62,2,A. Drummond makes 2-pt shot at rim
11:01.0,Turnover by M. Hezonja (bad pass; steal by L. Kennard),,45-62,,
10:52.0,,,45-64,2,R. Jackson makes 2-pt shot from 17 ft
10:41.0,M. Hezonja makes 3-pt shot from 27 ft (assist by E. Payton),3,48-64,,
10:24.0,,,48-64,,T. Harris misses 3-pt shot from 24 ft
10:21.0,Defensive rebound by S. Mack,,48-64,,
10:15.0,E. Payton makes 3-pt shot from 24 ft (assist by N. Vucevic),3,51-64,,
10:14.0,,,51-64,,Detroit full timeout
9:55.0,,,51-64,,R. Jackson misses 2-pt shot from 16 ft
9:51.0,,,51-64,,Offensive rebound by A. Drummond
9:50.0,,,51-66,2,A. Drummond makes 2-pt shot at rim
9:34.0,J. Simmons makes 2-pt shot from 2 ft (assist by N. Vucevic),2,53-66,,
9:19.0,,,53-66,,Turnover by T. Harris (turnover)
9:07.0,J. Simmons makes 2-pt shot at rim (assist by N. Vucevic),2,55-66,,
8:54.0,,,55-69,3,R. Jackson makes 3-pt shot from 25 ft (assist by L. Kennard)
8:32.0,M. Hezonja misses 2-pt shot from 4 ft (block by L. Kennard),,55-69,,
8:28.0,,,55-69,,Defensive rebound by T. Harris
8:18.0,,,55-72,3,L. Kennard makes 3-pt shot from 24 ft (assist by T. Harris)
8:04.0,N. Vucevic makes 3-pt shot from 26 ft (assist by E. Payton),3,58-72,,
7:48.0,,,58-72,,L. Kennard misses 2-pt shot from 18 ft
7:45.0,Defensive rebound by J. Simmons,,58-72,,
7:29.0,M. Hezonja makes 3-pt shot from 25 ft (assist by J. Simmons),3,61-72,,
7:14.0,,,61-72,,A. Tolliver enters the game for T. Harris
7:00.0,,,61-75,3,A. Tolliver makes 3-pt shot from 26 ft (assist by L. Kennard)
6:49.0,Shooting foul by L. Kennard (drawn by J. Simmons),,61-75,,
6:49.0,J. Simmons misses free throw 1 of 2,,61-75,,
6:49.0,Offensive rebound by Team,,61-75,,
6:49.0,J. Simmons makes free throw 2 of 2,1,62-75,,
6:37.0,,,62-77,2,R. Bullock makes 2-pt shot from 1 ft (assist by A. Tolliver)
6:37.0,Violation by N. Vucevic (def goaltending),,62-77,,
6:23.0,J. Simmons makes 2-pt shot at rim,2,64-77,,
6:15.0,,,64-77,,Offensive foul by R. Jackson (drawn by E. Payton)
6:15.0,,,64-77,,Turnover by R. Jackson (offensive foul)
6:06.0,Shooting foul by R. Bullock (drawn by J. Simmons),,64-77,,
6:06.0,J. Simmons makes free throw 1 of 2,1,65-77,,
6:06.0,,,65-77,,I. Smith enters the game for R. Jackson
6:06.0,D. Augustin enters the game for S. Mack,,65-77,,
6:06.0,J. Simmons makes free throw 2 of 2,1,66-77,,
5:55.0,,,66-79,2,A. Drummond makes 2-pt shot from 1 ft
5:48.0,E. Payton makes 2-pt shot from 1 ft,2,68-79,,
5:31.0,,,68-82,3,A. Tolliver makes 3-pt shot from 23 ft (assist by I. Smith)
5:19.0,J. Simmons misses 3-pt shot from 24 ft,,68-82,,
5:13.0,,,68-82,,Defensive rebound by I. Smith
5:04.0,,,68-82,,Shooting foul by M. Hezonja (drawn by A. Drummond)
5:04.0,,,68-83,1,A. Drummond makes free throw 1 of 2
5:04.0,,,68-83,,S. Johnson enters the game for L. Kennard
5:04.0,J. Isaac enters the game for M. Hezonja,,68-83,,
5:04.0,,,68-84,1,A. Drummond makes free throw 2 of 2
4:49.0,N. Vucevic makes 2-pt shot from 1 ft (assist by J. Simmons),2,70-84,,
4:28.0,,,70-84,,A. Drummond misses 2-pt shot from 5 ft
4:26.0,Defensive rebound by J. Simmons,,70-84,,
4:10.0,Turnover by E. Payton (bad pass; steal by S. Johnson),,70-84,,
4:09.0,Personal foul by J. Simmons (drawn by I. Smith),,70-84,,
3:58.0,,,70-86,2,R. Bullock makes 2-pt shot at rim (assist by S. Johnson)
3:43.0,N. Vucevic misses 2-pt shot from 17 ft,,70-86,,
3:41.0,,,70-86,,Defensive rebound by S. Johnson
3:28.0,,,70-86,,Shooting foul by E. Payton (drawn by S. Johnson)
3:28.0,,,70-87,1,S. Johnson makes free throw 1 of 2
3:28.0,,,70-88,1,S. Johnson makes free throw 2 of 2
3:15.0,Shooting foul by A. Tolliver (drawn by J. Isaac),,70-88,,
3:15.0,J. Isaac misses free throw 1 of 2,,70-88,,
3:15.0,Offensive rebound by Team,,70-88,,
3:15.0,J. Isaac makes free throw 2 of 2,1,71-88,,
3:01.0,,,71-90,2,R. Bullock makes 2-pt shot at rim (assist by A. Drummond)
2:53.0,Orlando full timeout,,71-90,,
2:40.0,Turnover by J. Isaac (bad pass; steal by A. Drummond),,71-90,,
2:35.0,,,71-93,3,R. Bullock makes 3-pt shot from 25 ft (assist by I. Smith)
2:21.0,J. Simmons makes 2-pt shot from 2 ft,2,73-93,,
2:01.0,,,73-93,,Turnover by A. Tolliver (bad pass; steal by J. Simmons)
1:53.0,J. Simmons makes 2-pt shot from 3 ft,2,75-93,,
1:36.0,,,75-93,,A. Tolliver misses 3-pt shot from 25 ft
1:32.0,Defensive rebound by D. Augustin,,75-93,,
1:20.0,J. Simmons makes 2-pt shot at rim,2,77-93,,
1:03.0,,,77-96,3,A. Tolliver makes 3-pt shot from 23 ft (assist by S. Johnson)
0:40.0,D. Augustin misses 3-pt shot from 23 ft,,77-96,,
0:37.0,,,77-96,,Defensive rebound by A. Drummond
0:33.0,,,77-96,,Turnover by I. Smith (turnover)
0:33.0,W. Iwundu enters the game for E. Payton,,77-96,,
0:33.0,S. Mack enters the game for N. Vucevic,,77-96,,
0:33.0,B. Biyombo enters the game for J. Simmons,,77-96,,
0:21.0,Shooting foul by I. Smith (drawn by D. Augustin),,77-96,,
0:21.0,D. Augustin makes free throw 1 of 2,1,78-96,,
0:21.0,,,78-96,,E. Moreland enters the game for A. Drummond
0:21.0,D. Augustin makes free throw 2 of 2,1,79-96,,
0:06.0,Personal foul by D. Augustin (drawn by I. Smith),,79-96,,
0:01.0,,,79-96,,I. Smith misses 2-pt shot from 16 ft
0:01.0,,,79-96,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,79-98,2,L. Galloway makes 2-pt shot from 8 ft (assist by E. Moreland)
11:22.0,D. Augustin misses 3-pt shot from 24 ft,,79-98,,
11:19.0,,,79-98,,Defensive rebound by S. Johnson
11:11.0,,,79-98,,S. Johnson misses 3-pt shot from 25 ft
11:08.0,Defensive rebound by S. Mack,,79-98,,
11:00.0,W. Iwundu misses 3-pt shot from 25 ft,,79-98,,
10:58.0,,,79-98,,Defensive rebound by E. Moreland
10:48.0,,,79-98,,L. Galloway misses 3-pt shot from 25 ft
10:44.0,,,79-98,,Offensive rebound by S. Johnson
10:36.0,,,79-98,,L. Galloway misses 3-pt shot from 23 ft
10:32.0,Defensive rebound by W. Iwundu,,79-98,,
10:14.0,B. Biyombo misses 2-pt shot from 3 ft,,79-98,,
10:12.0,,,79-98,,Defensive rebound by S. Johnson
10:09.0,,,79-98,,S. Johnson misses 2-pt shot from 1 ft (block by B. Biyombo)
10:09.0,,,79-98,,Offensive rebound by Team
10:09.0,,,79-98,,R. Jackson enters the game for I. Smith
9:55.0,,,79-98,,R. Jackson misses 3-pt shot from 25 ft
9:51.0,Defensive rebound by B. Biyombo,,79-98,,
9:40.0,Shooting foul by E. Moreland (drawn by D. Augustin),,79-98,,
9:40.0,D. Augustin makes free throw 1 of 2,1,80-98,,
9:40.0,D. Augustin makes free throw 2 of 2,1,81-98,,
9:17.0,,,81-100,2,R. Jackson makes 2-pt shot at rim
8:51.0,D. Augustin misses 2-pt shot from 4 ft,,81-100,,
8:49.0,,,81-100,,Defensive rebound by E. Moreland
8:29.0,,,81-100,,R. Jackson misses 3-pt shot from 26 ft
8:27.0,Defensive rebound by B. Biyombo,,81-100,,
8:14.0,Turnover by D. Augustin (bad pass; steal by S. Johnson),,81-100,,
8:05.0,,,81-102,2,R. Jackson makes 2-pt shot from 1 ft (assist by S. Johnson)
8:05.0,Orlando full timeout,,81-102,,
8:05.0,M. Hezonja enters the game for J. Isaac,,81-102,,
8:05.0,J. Simmons enters the game for B. Biyombo,,81-102,,
8:05.0,N. Vucevic enters the game for W. Iwundu,,81-102,,
7:40.0,N. Vucevic misses 2-pt shot from 15 ft,,81-102,,
7:38.0,,,81-102,,Defensive rebound by R. Jackson
7:24.0,,,81-102,,Turnover by A. Tolliver (traveling)
7:07.0,J. Simmons misses 3-pt shot from 23 ft,,81-102,,
7:04.0,,,81-102,,Defensive rebound by A. Tolliver
7:00.0,,,81-105,3,A. Tolliver makes 3-pt shot from 26 ft (assist by R. Jackson)
6:35.0,M. Hezonja makes 3-pt shot from 27 ft (assist by J. Simmons),3,84-105,,
6:14.0,,,84-105,,Turnover by E. Moreland (bad pass; steal by M. Hezonja)
6:03.0,N. Vucevic misses 2-pt shot from 12 ft,,84-105,,
6:00.0,,,84-105,,Defensive rebound by E. Moreland
5:52.0,,,84-105,,R. Jackson misses 3-pt shot from 26 ft
5:47.0,Defensive rebound by M. Hezonja,,84-105,,
5:32.0,J. Simmons makes 2-pt shot from 1 ft,2,86-105,,
5:17.0,,,86-105,,A. Tolliver misses 3-pt shot from 24 ft
5:14.0,Defensive rebound by N. Vucevic,,86-105,,
5:08.0,N. Vucevic makes 3-pt shot from 27 ft (assist by J. Simmons),3,89-105,,
5:07.0,,,89-105,,Detroit full timeout
5:07.0,,,89-105,,A. Drummond enters the game for L. Galloway
5:07.0,,,89-105,,T. Harris enters the game for E. Moreland
5:07.0,,,89-105,,R. Bullock enters the game for A. Tolliver
5:07.0,E. Payton enters the game for S. Mack,,89-105,,
4:56.0,,,89-105,,Turnover by R. Jackson (bad pass; steal by M. Hezonja)
4:52.0,N. Vucevic makes 3-pt shot from 26 ft (assist by M. Hezonja),3,92-105,,
4:24.0,,,92-105,,T. Harris misses 2-pt shot from 12 ft
4:22.0,Defensive rebound by M. Hezonja,,92-105,,
4:14.0,M. Hezonja misses 2-pt shot from 3 ft (block by A. Drummond),,92-105,,
4:14.0,Offensive rebound by Team,,92-105,,
4:08.0,M. Hezonja misses 3-pt shot from 25 ft,,92-105,,
4:05.0,,,92-105,,Defensive rebound by R. Jackson
4:02.0,,,92-105,,Turnover by R. Jackson (bad pass)
3:48.0,D. Augustin makes 3-pt shot from 25 ft (assist by E. Payton),3,95-105,,
3:35.0,,,95-105,,R. Jackson misses 2-pt shot from 3 ft
3:35.0,Defensive rebound by Team,,95-105,,
3:35.0,,,95-105,,Personal foul by A. Drummond (drawn by N. Vucevic)
3:27.0,D. Augustin misses 3-pt shot from 27 ft,,95-105,,
3:22.0,,,95-105,,Defensive rebound by R. Bullock
3:12.0,,,95-105,,T. Harris misses 2-pt shot from 4 ft
3:10.0,,,95-105,,Offensive rebound by T. Harris
3:09.0,,,95-105,,T. Harris misses 2-pt shot from 2 ft (block by N. Vucevic)
3:06.0,Defensive rebound by N. Vucevic,,95-105,,
3:01.0,E. Payton makes 3-pt shot from 27 ft (assist by M. Hezonja),3,98-105,,
2:45.0,,,98-105,,A. Drummond misses 2-pt shot from 2 ft
2:43.0,Defensive rebound by N. Vucevic,,98-105,,
2:40.0,J. Simmons makes 2-pt shot from 1 ft (assist by E. Payton),2,100-105,,
2:40.0,,,100-105,,Detroit full timeout
2:40.0,,,100-105,,I. Smith enters the game for R. Jackson
2:19.0,,,100-105,,T. Harris misses 2-pt shot from 5 ft
2:19.0,,,100-105,,Offensive rebound by Team
2:04.0,,,100-105,,Offensive foul by S. Johnson (drawn by N. Vucevic)
2:04.0,,,100-105,,Turnover by S. Johnson (offensive foul)
2:04.0,,,100-105,,L. Galloway enters the game for S. Johnson
1:45.0,M. Hezonja misses 3-pt shot from 27 ft,,100-105,,
1:42.0,,,100-105,,Defensive rebound by I. Smith
1:21.0,,,100-107,2,T. Harris makes 2-pt shot from 2 ft
1:14.0,Turnover by D. Augustin (out of bounds lost ball),,100-107,,
0:53.0,,,100-107,,T. Harris misses 2-pt shot from 2 ft
0:50.0,Defensive rebound by N. Vucevic,,100-107,,
0:47.0,J. Simmons misses 2-pt shot from 2 ft (block by A. Drummond),,100-107,,
