time,Utah,pts.away,score,pts.home,Orlando
7:06.0,R. Rubio makes 2-pt shot from 21 ft (assist by J. Ingles),2,14-11,,
6:54.0,,,14-11,,T. Ross misses 2-pt shot from 7 ft (block by D. Favors)
6:49.0,Defensive rebound by D. Favors,,14-11,,
6:47.0,Turnover by D. Mitchell (bad pass; steal by E. Payton),,14-11,,
6:44.0,,,14-11,,Offensive charge foul by A. Gordon
6:44.0,,,14-11,,Turnover by A. Gordon (offensive foul)
6:44.0,,,14-11,,Technical foul by A. Gordon
6:44.0,D. Mitchell makes technical free throw,1,15-11,,
6:44.0,R. Hood enters the game for R. Rubio,,15-11,,
6:33.0,Turnover by J. Ingles (bad pass; steal by N. Vucevic),,15-11,,
6:21.0,,,15-11,,A. Gordon misses 3-pt shot from 23 ft
6:17.0,Defensive rebound by R. Hood,,15-11,,
6:03.0,D. Mitchell misses 2-pt shot from 4 ft,,15-11,,
5:58.0,Offensive rebound by D. Favors,,15-11,,
5:58.0,D. Favors makes 2-pt shot at rim,2,17-11,,
5:49.0,,,17-11,,E. Fournier misses 2-pt shot from 17 ft
5:49.0,Defensive rebound by J. Jerebko,,17-11,,
5:32.0,J. Ingles misses 2-pt shot from 19 ft,,17-11,,
5:30.0,,,17-11,,Defensive rebound by A. Gordon
5:23.0,,,17-13,2,A. Gordon makes 2-pt shot from 14 ft
5:10.0,,,17-13,,Personal foul by E. Fournier (drawn by J. Ingles)
5:10.0,,,17-13,,J. Simmons enters the game for T. Ross
5:10.0,T. Sefolosha enters the game for J. Jerebko,,17-13,,
4:54.0,Turnover by R. Hood (lost ball; steal by N. Vucevic),,17-13,,
4:46.0,,,17-15,2,E. Payton makes 2-pt shot from 3 ft (assist by E. Fournier)
4:23.0,T. Sefolosha misses 2-pt shot from 18 ft,,17-15,,
4:19.0,,,17-15,,Defensive rebound by E. Payton
4:17.0,,,17-15,,Shooting foul by D. Favors (drawn by E. Fournier)
4:17.0,,,17-16,1,E. Fournier makes free throw 1 of 1
4:17.0,A. Burks enters the game for J. Ingles,,17-16,,
4:17.0,,,17-17,1,E. Fournier makes free throw 2 of 2
4:05.0,D. Mitchell makes 3-pt shot from 26 ft (assist by D. Favors),3,20-17,,
3:55.0,,,20-20,3,N. Vucevic makes 3-pt shot from 26 ft (assist by E. Payton)
3:43.0,D. Favors makes 2-pt shot from 4 ft (assist by R. Hood),2,22-20,,
3:43.0,Shooting foul by E. Fournier (drawn by D. Favors),,22-20,,
3:43.0,,,22-20,,A. Afflalo enters the game for E. Payton
3:43.0,,,22-20,,D. Augustin enters the game for E. Fournier
3:43.0,D. Favors makes free throw 1 of 1,1,23-20,,
3:30.0,,,23-20,,N. Vucevic misses 2-pt shot from 15 ft
3:25.0,Defensive rebound by T. Sefolosha,,23-20,,
3:19.0,Turnover by A. Burks (lost ball; steal by J. Simmons),,23-20,,
3:04.0,,,23-20,,Shooting foul by D. Mitchell (drawn by A. Gordon)
3:04.0,,,23-21,1,A. Gordon makes free throw 1 of 2
3:04.0,Utah full timeout,,23-21,,
3:04.0,E. Udoh enters the game for D. Favors,,23-21,,
3:04.0,R. Neto enters the game for D. Mitchell,,23-21,,
3:04.0,,,23-22,1,A. Gordon makes free throw 2 of 2
2:47.0,R. Hood misses 3-pt shot from 26 ft,,23-22,,
2:43.0,,,23-22,,Defensive rebound by A. Afflalo
2:26.0,,,23-22,,A. Gordon misses 3-pt shot from 26 ft
2:25.0,Defensive rebound by Team,,23-22,,
2:08.0,Shooting foul by J. Simmons (drawn by A. Burks),,23-22,,
2:08.0,A. Burks makes free throw 1 of 2,1,24-22,,
2:08.0,A. Burks makes free throw 2 of 2,1,25-22,,
1:59.0,,,25-22,,Shooting foul by E. Udoh (drawn by J. Simmons)
1:59.0,,,25-23,1,J. Simmons makes free throw 1 of 2
1:59.0,,,25-23,,B. Biyombo enters the game for N. Vucevic
1:59.0,,,25-24,1,J. Simmons makes free throw 2 of 2
1:48.0,R. Neto makes 2-pt shot from 14 ft,2,27-24,,
1:36.0,,,27-24,,B. Biyombo misses 2-pt shot from 4 ft
1:32.0,Defensive rebound by A. Burks,,27-24,,
1:30.0,A. Burks misses 3-pt shot from 25 ft,,27-24,,
1:26.0,,,27-24,,Defensive rebound by A. Gordon
1:17.0,,,27-24,,Offensive charge foul by D. Augustin (drawn by R. Neto)
1:17.0,,,27-24,,Turnover by D. Augustin (offensive foul)
1:03.0,R. Hood misses 2-pt shot from 17 ft,,27-24,,
1:00.0,,,27-24,,Defensive rebound by D. Augustin
0:55.0,,,27-24,,D. Augustin misses 2-pt shot from 3 ft
0:55.0,,,27-24,,Offensive rebound by B. Biyombo
0:51.0,,,27-26,2,B. Biyombo makes 2-pt shot at rim
0:34.0,R. Hood makes 2-pt shot from 18 ft,2,29-26,,
0:12.0,,,29-26,,A. Gordon misses 3-pt shot from 25 ft
0:09.0,Defensive rebound by R. Hood,,29-26,,
0:01.0,R. Hood misses 2-pt shot from 22 ft,,29-26,,
0:01.0,,,29-26,,Defensive rebound by A. Gordon
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,29-26,,Personal foul by A. Afflalo (drawn by R. Hood)
11:37.0,T. Sefolosha makes 3-pt shot from 25 ft (assist by R. Neto),3,32-26,,
11:19.0,,,32-26,,M. Hezonja misses 3-pt shot from 25 ft
11:16.0,Defensive rebound by R. Hood,,32-26,,
11:08.0,Turnover by R. Hood (lost ball; steal by M. Hezonja),,32-26,,
10:58.0,,,32-26,,A. Afflalo misses 3-pt shot from 22 ft
10:54.0,Defensive rebound by T. Sefolosha,,32-26,,
10:38.0,A. Burks makes 2-pt shot from 13 ft (assist by R. Hood),2,34-26,,
10:24.0,,,34-28,2,J. Simmons makes 2-pt shot from 2 ft
10:16.0,T. Sefolosha makes 2-pt shot from 2 ft (assist by R. Neto),2,36-28,,
10:16.0,Shooting foul by M. Hezonja (drawn by T. Sefolosha),,36-28,,
10:16.0,T. Sefolosha makes free throw 1 of 1,1,37-28,,
9:58.0,,,37-28,,D. Augustin misses 3-pt shot from 25 ft
9:57.0,,,37-28,,Offensive rebound by B. Biyombo
9:55.0,,,37-28,,Shooting foul by R. Hood (drawn by B. Biyombo)
9:55.0,,,37-29,1,B. Biyombo makes free throw 1 of 2
9:55.0,,,37-29,,B. Biyombo misses free throw 2 of 2
9:52.0,Defensive rebound by E. Udoh,,37-29,,
9:40.0,R. Neto makes 2-pt shot from 2 ft (assist by T. Sefolosha),2,39-29,,
9:19.0,,,39-29,,M. Hezonja misses 2-pt shot from 9 ft
9:16.0,Defensive rebound by E. Udoh,,39-29,,
9:13.0,R. Hood makes 3-pt shot from 25 ft (assist by A. Burks),3,42-29,,
9:11.0,,,42-29,,Orlando full timeout
9:11.0,,,42-29,,E. Fournier enters the game for M. Hezonja
8:50.0,,,42-29,,E. Fournier misses 2-pt shot from 7 ft (block by E. Udoh)
8:49.0,,,42-29,,Offensive rebound by B. Biyombo
8:48.0,,,42-29,,Turnover by B. Biyombo (bad pass; steal by R. Neto)
8:40.0,E. Udoh makes 2-pt shot from 2 ft (assist by R. Neto),2,44-29,,
8:30.0,,,44-29,,A. Afflalo misses 3-pt shot from 22 ft
8:26.0,Defensive rebound by A. Burks,,44-29,,
8:20.0,T. Sefolosha misses 2-pt shot from 16 ft,,44-29,,
8:09.0,,,44-29,,Defensive rebound by B. Biyombo
8:00.0,,,44-31,2,E. Fournier makes 2-pt shot from 3 ft (assist by D. Augustin)
7:37.0,A. Burks misses 2-pt shot from 5 ft,,44-31,,
7:35.0,,,44-31,,Defensive rebound by A. Afflalo
7:12.0,,,44-31,,D. Augustin misses 2-pt shot from 19 ft
7:10.0,Defensive rebound by E. Udoh,,44-31,,
6:56.0,R. Hood makes 3-pt shot from 27 ft,3,47-31,,
6:54.0,,,47-31,,Orlando full timeout
6:54.0,,,47-31,,E. Payton enters the game for A. Afflalo
6:54.0,,,47-31,,T. Ross enters the game for D. Augustin
6:54.0,D. Mitchell enters the game for A. Burks,,47-31,,
6:54.0,J. Jerebko enters the game for T. Sefolosha,,47-31,,
6:54.0,R. Rubio enters the game for R. Neto,,47-31,,
6:37.0,,,47-31,,E. Fournier misses 2-pt shot from 7 ft
6:34.0,Defensive rebound by J. Jerebko,,47-31,,
6:16.0,R. Hood misses 3-pt shot from 22 ft,,47-31,,
6:14.0,,,47-31,,Defensive rebound by E. Fournier
6:05.0,,,47-33,2,T. Ross makes 2-pt shot from 6 ft
5:56.0,R. Hood misses 3-pt shot from 23 ft,,47-33,,
5:54.0,,,47-33,,Defensive rebound by B. Biyombo
5:47.0,,,47-33,,E. Fournier misses 3-pt shot from 26 ft
5:43.0,Defensive rebound by R. Hood,,47-33,,
5:40.0,Utah full timeout,,47-33,,
5:40.0,,,47-33,,N. Vucevic enters the game for B. Biyombo
5:40.0,,,47-33,,A. Gordon enters the game for J. Simmons
5:40.0,D. Favors enters the game for R. Hood,,47-33,,
5:40.0,J. Ingles enters the game for E. Udoh,,47-33,,
5:40.0,A. Burks enters the game for J. Jerebko,,47-33,,
5:20.0,Turnover by Team (shot clock),,47-33,,
5:08.0,,,47-35,2,T. Ross makes 2-pt shot from 13 ft (assist by E. Payton)
4:51.0,R. Rubio misses 2-pt shot from 10 ft,,47-35,,
4:49.0,Offensive rebound by D. Favors,,47-35,,
4:47.0,Turnover by D. Favors (bad pass; steal by T. Ross),,47-35,,
4:42.0,,,47-37,2,T. Ross makes 2-pt shot from 12 ft
4:42.0,,,47-37,,Shooting foul by R. Rubio (drawn by T. Ross)
4:42.0,,,47-38,1,T. Ross makes free throw 1 of 1
4:30.0,R. Rubio misses 2-pt shot from 12 ft,,47-38,,
4:26.0,,,47-38,,Defensive rebound by A. Gordon
4:15.0,,,47-40,2,T. Ross makes 2-pt shot from 12 ft (assist by E. Payton)
3:58.0,A. Burks misses 2-pt shot from 5 ft,,47-40,,
3:58.0,Offensive rebound by D. Favors,,47-40,,
3:51.0,D. Favors makes 2-pt shot at rim,2,49-40,,
3:41.0,,,49-40,,Turnover by E. Fournier (traveling)
3:41.0,R. Neto enters the game for R. Rubio,,49-40,,
3:41.0,R. Hood enters the game for A. Burks,,49-40,,
3:24.0,J. Ingles makes 3-pt shot from 22 ft (assist by R. Neto),3,52-40,,
3:10.0,,,52-40,,N. Vucevic misses 2-pt shot from 8 ft
3:07.0,Defensive rebound by D. Favors,,52-40,,
2:56.0,D. Favors makes 2-pt shot from 2 ft (assist by J. Ingles),2,54-40,,
2:41.0,,,54-42,2,E. Fournier makes 2-pt shot from 2 ft
2:27.0,D. Favors makes 2-pt shot from 3 ft (assist by J. Ingles),2,56-42,,
2:16.0,,,56-42,,N. Vucevic misses 2-pt shot from 7 ft (block by D. Favors)
2:12.0,Defensive rebound by D. Mitchell,,56-42,,
2:09.0,R. Hood makes 2-pt shot from 2 ft (assist by D. Mitchell),2,58-42,,
1:58.0,,,58-42,,Shooting foul by J. Ingles (drawn by A. Gordon)
1:58.0,,,58-43,1,A. Gordon makes free throw 1 of 2
1:58.0,,,58-43,,A. Gordon misses free throw 2 of 2
1:54.0,Defensive rebound by D. Mitchell,,58-43,,
1:38.0,Turnover by R. Neto (bad pass; steal by N. Vucevic),,58-43,,
1:35.0,,,58-45,2,E. Payton makes 2-pt shot from 4 ft
1:35.0,Violation by D. Mitchell (def goaltending),,58-45,,
1:24.0,,,58-45,,Personal foul by T. Ross (drawn by R. Hood)
1:14.0,J. Ingles makes 3-pt shot from 26 ft,3,61-45,,
1:00.0,,,61-45,,N. Vucevic misses 2-pt shot from 5 ft
0:56.0,Defensive rebound by J. Ingles,,61-45,,
0:37.0,R. Neto misses 2-pt shot from 21 ft,,61-45,,
0:34.0,,,61-45,,Defensive rebound by A. Gordon
0:19.0,,,61-48,3,T. Ross makes 3-pt shot from 22 ft (assist by N. Vucevic)
0:00.0,D. Favors makes 2-pt shot from 10 ft (assist by D. Mitchell),2,63-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,R. Rubio misses 3-pt shot from 23 ft,,63-48,,
11:44.0,,,63-48,,Defensive rebound by A. Gordon
11:36.0,,,63-48,,A. Gordon misses 2-pt shot from 15 ft
11:31.0,Defensive rebound by R. Rubio,,63-48,,
11:27.0,R. Rubio makes 2-pt shot from 15 ft (assist by D. Mitchell),2,65-48,,
11:27.0,Shooting foul by A. Gordon (drawn by R. Rubio),,65-48,,
11:27.0,R. Rubio makes free throw 1 of 1,1,66-48,,
11:08.0,,,66-50,2,E. Fournier makes 2-pt shot from 2 ft (assist by A. Gordon)
10:45.0,J. Jerebko makes 2-pt shot from 2 ft (assist by J. Ingles),2,68-50,,
10:31.0,,,68-50,,N. Vucevic misses 3-pt shot from 26 ft
10:28.0,Defensive rebound by R. Rubio,,68-50,,
10:18.0,J. Ingles misses 3-pt shot from 23 ft,,68-50,,
10:15.0,,,68-50,,Defensive rebound by E. Fournier
10:14.0,Personal foul by D. Mitchell (drawn by E. Fournier),,68-50,,
10:05.0,,,68-50,,E. Payton misses 2-pt shot from 20 ft
10:02.0,Defensive rebound by D. Mitchell,,68-50,,
9:47.0,D. Favors misses 2-pt shot from 9 ft,,68-50,,
9:44.0,Offensive rebound by R. Rubio,,68-50,,
9:42.0,J. Jerebko misses 3-pt shot from 26 ft,,68-50,,
9:38.0,,,68-50,,Defensive rebound by T. Ross
9:27.0,,,68-53,3,N. Vucevic makes 3-pt shot from 26 ft (assist by T. Ross)
9:19.0,Turnover by R. Rubio (bad pass; steal by E. Fournier),,68-53,,
9:08.0,,,68-53,,E. Fournier misses 3-pt shot from 25 ft
9:04.0,Defensive rebound by D. Mitchell,,68-53,,
8:44.0,D. Mitchell misses 2-pt shot from 5 ft,,68-53,,
8:44.0,Offensive rebound by D. Favors,,68-53,,
8:38.0,D. Favors makes 2-pt shot at rim,2,70-53,,
8:34.0,Personal foul by R. Rubio (drawn by E. Payton),,70-53,,
8:34.0,R. Neto enters the game for R. Rubio,,70-53,,
8:27.0,,,70-55,2,E. Payton makes 2-pt shot from 2 ft
8:22.0,,,70-55,,Personal foul by E. Payton (drawn by D. Mitchell)
8:15.0,Turnover by D. Mitchell (lost ball; steal by E. Payton),,70-55,,
8:13.0,Personal foul by D. Mitchell (drawn by E. Payton),,70-55,,
8:02.0,,,70-55,,E. Payton misses 2-pt shot from 5 ft
8:01.0,,,70-55,,Offensive rebound by E. Payton
8:01.0,,,70-55,,Shooting foul by R. Neto (drawn by E. Payton)
8:01.0,,,70-56,1,E. Payton makes free throw 1 of 2
8:01.0,,,70-56,,E. Payton misses free throw 2 of 2
8:01.0,Defensive rebound by J. Ingles,,70-56,,
7:40.0,D. Mitchell makes 3-pt shot from 26 ft (assist by J. Ingles),3,73-56,,
7:29.0,,,73-56,,E. Payton misses 2-pt shot from 5 ft
7:27.0,Defensive rebound by J. Jerebko,,73-56,,
7:13.0,J. Jerebko misses 2-pt shot from 9 ft,,73-56,,
7:13.0,Offensive rebound by J. Jerebko,,73-56,,
7:08.0,J. Jerebko misses 2-pt shot from 8 ft,,73-56,,
7:08.0,Offensive rebound by D. Favors,,73-56,,
7:03.0,D. Favors makes 2-pt shot from 20 ft (assist by R. Neto),2,75-56,,
6:50.0,,,75-56,,N. Vucevic misses 2-pt shot from 20 ft
6:50.0,Defensive rebound by D. Mitchell,,75-56,,
6:35.0,Turnover by J. Jerebko (bad pass; steal by E. Payton),,75-56,,
6:29.0,,,75-56,,Turnover by N. Vucevic (lost ball; steal by D. Mitchell)
6:16.0,D. Mitchell misses 2-pt shot from 5 ft (block by N. Vucevic),,75-56,,
6:12.0,,,75-56,,Defensive rebound by T. Ross
6:12.0,,,75-56,,Orlando full timeout
6:12.0,R. Hood enters the game for D. Mitchell,,75-56,,
6:04.0,,,75-56,,N. Vucevic misses 2-pt shot from 12 ft
6:02.0,Defensive rebound by D. Favors,,75-56,,
5:43.0,R. Hood misses 3-pt shot from 26 ft,,75-56,,
5:40.0,,,75-56,,Defensive rebound by A. Gordon
5:40.0,Personal foul by J. Jerebko (drawn by A. Gordon),,75-56,,
5:40.0,,,75-57,1,A. Gordon makes free throw 1 of 2
5:40.0,,,75-58,1,A. Gordon makes free throw 2 of 2
5:27.0,D. Favors misses 2-pt shot from 4 ft,,75-58,,
5:22.0,,,75-58,,Defensive rebound by E. Payton
5:19.0,,,75-58,,Turnover by E. Payton (bad pass; steal by R. Hood)
5:19.0,,,75-58,,Personal foul by E. Payton (drawn by R. Hood)
5:19.0,,,75-58,,J. Simmons enters the game for T. Ross
5:07.0,R. Hood makes 2-pt shot from 2 ft (assist by D. Favors),2,77-58,,
5:00.0,,,77-58,,Shooting foul by J. Jerebko (drawn by A. Gordon)
5:00.0,,,77-59,1,A. Gordon makes free throw 1 of 2
5:00.0,,,77-59,,A. Gordon misses free throw 2 of 2
4:56.0,Defensive rebound by D. Favors,,77-59,,
4:45.0,,,77-59,,Personal foul by N. Vucevic (drawn by R. Neto)
4:45.0,T. Sefolosha enters the game for J. Jerebko,,77-59,,
4:36.0,J. Ingles misses 2-pt shot from 3 ft (block by N. Vucevic),,77-59,,
4:32.0,,,77-59,,Defensive rebound by E. Fournier
4:30.0,,,77-59,,J. Simmons misses 3-pt shot from 23 ft
4:25.0,Defensive rebound by R. Neto,,77-59,,
4:07.0,T. Sefolosha makes 2-pt shot from 3 ft (assist by R. Neto),2,79-59,,
3:55.0,,,79-59,,N. Vucevic misses 2-pt shot from 16 ft
3:52.0,Defensive rebound by J. Ingles,,79-59,,
3:50.0,Utah full timeout,,79-59,,
3:50.0,,,79-59,,D. Augustin enters the game for E. Payton
3:50.0,,,79-59,,M. Speights enters the game for N. Vucevic
3:50.0,,,79-59,,A. Afflalo enters the game for E. Fournier
3:50.0,E. Udoh enters the game for D. Favors,,79-59,,
3:34.0,R. Hood misses 2-pt shot from 11 ft,,79-59,,
3:32.0,,,79-59,,Defensive rebound by M. Speights
3:19.0,,,79-59,,J. Simmons misses 2-pt shot from 15 ft (block by E. Udoh)
3:14.0,Defensive rebound by T. Sefolosha,,79-59,,
3:03.0,,,79-59,,Personal foul by M. Speights (drawn by R. Neto)
3:03.0,R. Neto makes free throw 1 of 2,1,80-59,,
3:03.0,R. Neto makes free throw 2 of 2,1,81-59,,
2:42.0,,,81-59,,Turnover by J. Simmons (lost ball; steal by T. Sefolosha)
2:39.0,R. Neto makes 2-pt shot from 3 ft,2,83-59,,
2:39.0,Shooting foul by M. Speights (drawn by R. Neto),,83-59,,
2:39.0,R. Neto makes free throw 1 of 1,1,84-59,,
2:39.0,A. Burks enters the game for J. Ingles,,84-59,,
2:25.0,,,84-61,2,A. Gordon makes 2-pt shot from 16 ft
2:08.0,R. Hood makes 2-pt shot from 13 ft,2,86-61,,
1:56.0,,,86-63,2,A. Gordon makes 2-pt shot from 13 ft
1:40.0,R. Hood makes 2-pt shot from 3 ft (assist by E. Udoh),2,88-63,,
1:26.0,,,88-66,3,J. Simmons makes 3-pt shot from 25 ft (assist by A. Afflalo)
1:03.0,R. Hood makes 3-pt shot from 26 ft,3,91-66,,
0:55.0,,,91-66,,Shooting foul by E. Udoh (drawn by J. Simmons)
0:55.0,,,91-66,,J. Simmons misses free throw 1 of 2
0:55.0,,,91-66,,Offensive rebound by Team
0:55.0,,,91-67,1,J. Simmons makes free throw 2 of 2
0:41.0,R. Hood makes 3-pt shot from 26 ft,3,94-67,,
0:30.0,,,94-67,,M. Speights misses 2-pt shot from 4 ft
0:30.0,Defensive rebound by T. Sefolosha,,94-67,,
0:13.0,R. Hood makes 3-pt shot from 26 ft,3,97-67,,
0:07.0,,,97-67,,A. Gordon misses 3-pt shot from 26 ft
0:03.0,Defensive rebound by R. Hood,,97-67,,
0:00.0,R. Hood misses 3-pt shot from 30 ft,,97-67,,
0:00.0,Offensive rebound by Team,,97-67,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,97-67,,M. Speights misses 3-pt shot from 26 ft
11:45.0,Defensive rebound by Team,,97-67,,
11:31.0,R. Hood makes 3-pt shot from 26 ft (assist by E. Udoh),3,100-67,,
11:07.0,,,100-67,,Turnover by D. Augustin (lost ball; steal by T. Sefolosha)
10:59.0,A. Burks misses 3-pt shot from 26 ft,,100-67,,
10:56.0,,,100-67,,Defensive rebound by M. Hezonja
10:54.0,,,100-67,,Technical foul by D. Augustin
10:54.0,R. Hood misses technical free throw,,100-67,,
10:54.0,,,100-67,,Defensive rebound by Team
10:54.0,R. Rubio enters the game for R. Neto,,100-67,,
10:41.0,,,100-67,,Turnover by M. Speights (lost ball; steal by E. Udoh)
10:36.0,R. Hood makes 3-pt shot from 26 ft (assist by R. Rubio),3,103-67,,
10:34.0,,,103-67,,Orlando full timeout
10:34.0,,,103-67,,B. Biyombo enters the game for M. Speights
10:34.0,,,103-67,,S. Mack enters the game for J. Simmons
10:10.0,,,103-67,,M. Hezonja misses 2-pt shot from 22 ft
10:10.0,Defensive rebound by Team,,103-67,,
9:57.0,R. Hood misses 3-pt shot from 27 ft,,103-67,,
9:54.0,,,103-67,,Defensive rebound by S. Mack
9:38.0,,,103-67,,Shooting foul by E. Udoh (drawn by A. Afflalo)
9:38.0,,,103-67,,A. Afflalo misses free throw 1 of 2
9:38.0,,,103-67,,Offensive rebound by Team
9:38.0,,,103-68,1,A. Afflalo makes free throw 2 of 2
9:24.0,R. Rubio misses 2-pt shot from 2 ft (block by M. Hezonja),,103-68,,
9:21.0,,,103-68,,Defensive rebound by S. Mack
9:19.0,,,103-68,,Turnover by M. Hezonja (bad pass)
9:19.0,J. Jerebko enters the game for T. Sefolosha,,103-68,,
8:59.0,A. Burks misses 3-pt shot from 25 ft,,103-68,,
8:54.0,,,103-68,,Defensive rebound by B. Biyombo
8:46.0,,,103-70,2,M. Hezonja makes 2-pt shot from 3 ft
8:30.0,,,103-70,,Personal foul by A. Afflalo (drawn by A. Burks)
8:30.0,D. Favors enters the game for E. Udoh,,103-70,,
8:30.0,D. Mitchell enters the game for R. Hood,,103-70,,
8:18.0,A. Burks misses 2-pt shot from 2 ft,,103-70,,
8:13.0,Offensive rebound by D. Favors,,103-70,,
8:13.0,D. Favors makes 2-pt shot at rim,2,105-70,,
8:00.0,,,105-70,,A. Afflalo misses 2-pt shot from 16 ft
7:57.0,Defensive rebound by R. Rubio,,105-70,,
7:40.0,A. Burks misses 3-pt shot from 26 ft,,105-70,,
7:37.0,,,105-70,,Defensive rebound by S. Mack
7:33.0,,,105-70,,Offensive foul by S. Mack (drawn by D. Mitchell)
7:33.0,,,105-70,,Turnover by S. Mack (offensive foul)
7:33.0,,,105-70,,M. Speights enters the game for D. Augustin
7:21.0,A. Burks misses 3-pt shot from 26 ft,,105-70,,
7:17.0,,,105-70,,Defensive rebound by A. Afflalo
7:10.0,,,105-72,2,M. Speights makes 2-pt shot from 2 ft (assist by A. Afflalo)
7:05.0,J. Jerebko makes 2-pt shot from 2 ft (assist by R. Rubio),2,107-72,,
6:56.0,,,107-72,,M. Speights misses 3-pt shot from 26 ft
6:56.0,,,107-72,,Offensive rebound by S. Mack
6:52.0,,,107-72,,S. Mack misses 3-pt shot from 26 ft
6:52.0,Defensive rebound by R. Rubio,,107-72,,
6:46.0,D. Mitchell misses 3-pt shot from 26 ft,,107-72,,
6:46.0,Offensive rebound by J. Jerebko,,107-72,,
6:38.0,J. Jerebko misses 2-pt shot at rim,,107-72,,
6:36.0,Offensive rebound by J. Jerebko,,107-72,,
6:36.0,J. Jerebko makes 2-pt shot at rim,2,109-72,,
6:21.0,,,109-72,,Turnover by S. Mack (bad pass; steal by J. Jerebko)
6:20.0,,,109-72,,Personal foul by M. Speights (drawn by J. Jerebko)
6:20.0,D. Favors makes clear path free throw 2 of 2,1,110-72,,
6:20.0,D. Favors makes clear path free throw 1 of 2,1,111-72,,
6:20.0,E. Udoh enters the game for R. Rubio,,111-72,,
6:20.0,R. Neto enters the game for A. Burks,,111-72,,
6:20.0,R. O'Neale enters the game for D. Favors,,111-72,,
6:10.0,D. Mitchell misses 2-pt shot from 9 ft,,111-72,,
6:10.0,Offensive rebound by D. Mitchell,,111-72,,
6:02.0,D. Mitchell makes 3-pt shot from 25 ft (assist by R. O'Neale),3,114-72,,
5:44.0,,,114-72,,A. Afflalo misses 3-pt shot from 25 ft
5:41.0,Defensive rebound by E. Udoh,,114-72,,
5:35.0,E. Udoh makes 2-pt shot from 2 ft (assist by R. O'Neale),2,116-72,,
5:14.0,,,116-72,,Turnover by M. Speights (lost ball; steal by D. Mitchell)
5:11.0,J. Jerebko makes 2-pt shot from 3 ft (assist by R. Neto),2,118-72,,
5:11.0,,,118-72,,Orlando full timeout
5:00.0,,,118-72,,M. Hezonja misses 2-pt shot from 3 ft
4:59.0,,,118-72,,Offensive rebound by M. Hezonja
4:58.0,,,118-72,,M. Hezonja misses 2-pt shot at rim
4:57.0,,,118-72,,Offensive rebound by M. Hezonja
4:57.0,,,118-74,2,M. Hezonja makes 2-pt shot at rim
4:38.0,E. Udoh misses 2-pt shot from 3 ft (block by B. Biyombo),,118-74,,
