time,Memphis,pts.away,score,pts.home,LA Lakers
7:01.0,,,8-3,,J. Randle enters the game for A. Bogut
7:01.0,,,8-4,1,K. Caldwell-Pope makes free throw 2 of 2
6:44.0,M. Gasol makes 2-pt shot from 1 ft,2,10-4,,
6:31.0,,,10-4,,K. Kuzma misses 3-pt shot from 24 ft
6:27.0,Defensive rebound by M. Gasol,,10-4,,
6:21.0,A. Harrison misses 2-pt shot from 16 ft,,10-4,,
6:18.0,,,10-4,,Defensive rebound by K. Kuzma
6:14.0,,,10-4,,J. Clarkson misses 3-pt shot from 25 ft
6:10.0,Defensive rebound by T. Evans,,10-4,,
6:02.0,T. Evans makes 2-pt shot from 1 ft,2,12-4,,
5:55.0,,,12-4,,LA Lakers full timeout
5:55.0,C. Parsons enters the game for T. Evans,,12-4,,
5:55.0,K. Simmons enters the game for D. Brooks,,12-4,,
5:48.0,,,12-4,,Shooting foul by A. Harrison (drawn by K. Caldwell-Pope)
5:48.0,,,12-5,1,K. Caldwell-Pope makes free throw 3 of 3
5:48.0,,,12-6,1,K. Caldwell-Pope makes free throw 1 of 3
5:48.0,,,12-7,1,K. Caldwell-Pope makes free throw 2 of 3
5:48.0,M. Chalmers enters the game for A. Harrison,,12-7,,
5:28.0,Turnover by M. Gasol (bad pass; steal by K. Kuzma),,12-7,,
5:24.0,,,12-9,2,K. Kuzma makes 2-pt shot from 1 ft
5:06.0,C. Parsons misses 3-pt shot from 23 ft,,12-9,,
4:59.0,Offensive rebound by J. Martin,,12-9,,
4:59.0,J. Martin makes 2-pt shot at rim,2,14-9,,
4:50.0,,,14-9,,K. Kuzma misses 2-pt shot from 6 ft (block by M. Gasol)
4:50.0,,,14-9,,Offensive rebound by Team
4:50.0,,,14-9,,J. Hart enters the game for J. Clarkson
4:47.0,,,14-9,,J. Randle misses 2-pt shot from 19 ft
4:46.0,,,14-9,,Offensive rebound by Team
4:39.0,,,14-9,,K. Kuzma misses 3-pt shot from 26 ft
4:36.0,Defensive rebound by C. Parsons,,14-9,,
4:25.0,J. Martin misses 2-pt shot from 2 ft,,14-9,,
4:22.0,,,14-9,,Defensive rebound by K. Kuzma
4:09.0,,,14-11,2,J. Randle makes 2-pt shot from 3 ft (assist by K. Caldwell-Pope)
3:50.0,K. Simmons misses 2-pt shot from 19 ft,,14-11,,
3:47.0,,,14-11,,Defensive rebound by J. Randle
3:40.0,,,14-13,2,J. Randle makes 2-pt shot from 1 ft
3:34.0,Memphis full timeout,,14-13,,
3:34.0,D. Davis enters the game for J. Martin,,14-13,,
3:34.0,J. Ennis enters the game for K. Simmons,,14-13,,
3:34.0,T. Evans enters the game for M. Gasol,,14-13,,
3:23.0,M. Chalmers makes 2-pt shot at rim (assist by C. Parsons),2,16-13,,
3:09.0,,,16-13,,Shooting foul by T. Evans (drawn by B. Ingram)
3:09.0,,,16-13,,B. Ingram misses free throw 1 of 2
3:09.0,,,16-13,,Offensive rebound by Team
3:09.0,,,16-13,,C. Brewer enters the game for K. Kuzma
3:09.0,,,16-14,1,B. Ingram makes free throw 2 of 2
2:49.0,Shooting foul by J. Randle (drawn by T. Evans),,16-14,,
2:49.0,T. Evans makes free throw 1 of 2,1,17-14,,
2:49.0,T. Evans makes free throw 2 of 2,1,18-14,,
2:35.0,Jump ball: B. Ingram vs. T. Evans (J. Hart gains possession),,,,Jump ball: B. Ingram vs. T. Evans (J. Hart gains possession)
2:30.0,,,18-14,,J. Randle misses 2-pt shot from 3 ft
2:27.0,,,18-14,,Offensive rebound by J. Randle
2:26.0,,,18-14,,Shooting foul by M. Chalmers (drawn by J. Randle)
2:26.0,,,18-14,,J. Randle misses free throw 1 of 2
2:26.0,,,18-14,,Offensive rebound by Team
2:26.0,,,18-14,,T. Ennis enters the game for B. Ingram
2:26.0,,,18-14,,J. Randle misses free throw 2 of 2
2:23.0,Defensive rebound by T. Evans,,18-14,,
2:11.0,T. Evans misses 3-pt shot from 25 ft,,18-14,,
2:06.0,,,18-14,,Defensive rebound by J. Randle
1:53.0,,,18-14,,Turnover by T. Ennis (bad pass)
1:35.0,D. Davis misses 2-pt shot from 3 ft,,18-14,,
1:33.0,,,18-14,,Defensive rebound by J. Hart
1:27.0,Personal foul by T. Evans (drawn by J. Randle),,18-14,,
1:27.0,,,18-15,1,J. Randle makes free throw 1 of 2
1:27.0,,,18-15,,J. Clarkson enters the game for K. Caldwell-Pope
1:27.0,D. Brooks enters the game for T. Evans,,18-15,,
1:27.0,,,18-15,,J. Randle misses free throw 2 of 2
1:22.0,Defensive rebound by M. Chalmers,,18-15,,
1:14.0,C. Parsons makes 3-pt shot from 25 ft,3,21-15,,
0:51.0,,,21-18,3,J. Clarkson makes 3-pt shot from 22 ft (assist by T. Ennis)
0:35.0,D. Davis makes 2-pt shot from 1 ft (assist by D. Brooks),2,23-18,,
0:35.0,Shooting foul by T. Ennis (drawn by D. Davis),,23-18,,
0:35.0,D. Davis makes free throw 1 of 1,1,24-18,,
0:28.0,,,24-18,,J. Randle misses 2-pt shot from 1 ft
0:24.0,,,24-18,,Offensive rebound by J. Hart
0:24.0,,,24-18,,J. Hart misses 2-pt shot at rim
0:23.0,,,24-18,,Offensive rebound by J. Clarkson
0:04.0,,,24-18,,Turnover by Team (shot clock)
0:01.0,M. Chalmers misses 3-pt shot from 31 ft (block by T. Ennis),,24-18,,
0:01.0,Offensive rebound by Team,,24-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,Personal foul by D. Brooks (drawn by J. Clarkson),,24-18,,
11:42.0,,,24-18,,T. Ennis misses 3-pt shot from 25 ft
11:39.0,Defensive rebound by J. Ennis,,24-18,,
11:25.0,Shooting foul by T. Ennis (drawn by D. Brooks),,24-18,,
11:25.0,D. Brooks misses free throw 1 of 2,,24-18,,
11:25.0,Offensive rebound by Team,,24-18,,
11:25.0,D. Brooks misses free throw 2 of 2,,24-18,,
11:23.0,,,24-18,,Defensive rebound by C. Brewer
11:14.0,,,24-18,,T. Ennis misses 2-pt shot from 4 ft (block by C. Parsons)
11:10.0,,,24-18,,Offensive rebound by T. Ennis
10:59.0,,,24-18,,T. Ennis misses 3-pt shot from 26 ft
10:56.0,Defensive rebound by J. Ennis,,24-18,,
10:41.0,D. Davis makes 2-pt shot from 1 ft (assist by C. Parsons),2,26-18,,
10:31.0,,,26-18,,Turnover by J. Clarkson (bad pass; steal by J. Ennis)
10:28.0,,,26-18,,Shooting block foul by T. Ennis (drawn by J. Ennis)
10:28.0,J. Ennis makes free throw 2 of 2,1,27-18,,
10:28.0,J. Ennis makes free throw 1 of 2,1,28-18,,
10:28.0,,,28-18,,B. Ingram enters the game for T. Ennis
10:10.0,,,28-18,,J. Clarkson misses 2-pt shot from 15 ft
10:10.0,,,28-18,,Offensive rebound by L. Nance
10:06.0,,,28-18,,J. Hart misses 3-pt shot from 25 ft
10:06.0,,,28-18,,Offensive rebound by J. Hart
10:00.0,,,28-20,2,B. Ingram makes 2-pt shot from 4 ft
9:36.0,C. Parsons misses 3-pt shot from 25 ft,,28-20,,
9:36.0,,,28-20,,Defensive rebound by J. Clarkson
9:27.0,,,28-20,,J. Clarkson misses 2-pt shot from 3 ft
9:24.0,,,28-20,,Offensive rebound by L. Nance
9:22.0,,,28-22,2,L. Nance makes 2-pt shot from 1 ft
9:08.0,C. Parsons makes 2-pt shot from 3 ft (assist by M. Chalmers),2,30-22,,
8:59.0,,,30-22,,B. Ingram misses 2-pt shot from 16 ft
8:52.0,,,30-22,,Offensive rebound by J. Hart
8:50.0,,,30-25,3,J. Clarkson makes 3-pt shot from 26 ft (assist by J. Hart)
8:29.0,,,30-25,,Personal foul by J. Hart (drawn by C. Parsons)
8:29.0,,,30-25,,K. Kuzma enters the game for C. Brewer
8:29.0,M. Gasol enters the game for D. Davis,,30-25,,
8:29.0,J. Martin enters the game for C. Parsons,,30-25,,
8:25.0,D. Brooks misses 2-pt shot from 13 ft,,30-25,,
8:20.0,,,30-25,,Defensive rebound by L. Nance
8:06.0,,,30-27,2,B. Ingram makes 2-pt shot from 2 ft
8:06.0,,,30-27,,Shooting foul by M. Chalmers (drawn by B. Ingram)
8:06.0,,,30-28,1,B. Ingram makes free throw 1 of 1
7:50.0,Turnover by J. Martin (bad pass; steal by B. Ingram),,30-28,,
7:48.0,Shooting block foul by J. Ennis (drawn by B. Ingram),,30-28,,
7:48.0,,,30-29,1,B. Ingram makes free throw 2 of 2
7:48.0,,,30-29,,B. Ingram misses free throw 1 of 2
7:48.0,,,30-29,,Offensive rebound by Team
7:48.0,T. Evans enters the game for M. Chalmers,,30-29,,
7:48.0,K. Simmons enters the game for J. Ennis,,30-29,,
7:26.0,M. Gasol misses 3-pt shot from 26 ft,,30-29,,
7:24.0,Offensive rebound by K. Simmons,,30-29,,
7:18.0,T. Evans misses 2-pt shot from 4 ft,,30-29,,
7:18.0,Offensive rebound by Team,,30-29,,
7:05.0,J. Martin makes 2-pt shot from 20 ft,2,32-29,,
6:53.0,,,32-31,2,J. Hart makes 2-pt shot from 1 ft
6:46.0,Shooting foul by J. Hart (drawn by T. Evans),,32-31,,
6:46.0,,,32-31,,LA Lakers full timeout
6:46.0,,,32-31,,K. Caldwell-Pope enters the game for J. Clarkson
6:46.0,T. Evans misses free throw 1 of 2,,32-31,,
6:46.0,Offensive rebound by Team,,32-31,,
6:46.0,T. Evans makes free throw 2 of 2,1,33-31,,
6:35.0,,,33-31,,Shooting foul by M. Gasol (drawn by K. Caldwell-Pope)
6:35.0,,,33-32,1,K. Caldwell-Pope makes free throw 1 of 2
6:35.0,,,33-33,1,K. Caldwell-Pope makes free throw 2 of 2
6:14.0,T. Evans makes 2-pt shot from 20 ft,2,35-33,,
6:02.0,Personal foul by D. Brooks (drawn by B. Ingram),,35-33,,
6:02.0,,,35-33,,B. Ingram misses free throw 1 of 2
6:02.0,,,35-33,,Offensive rebound by Team
6:02.0,J. Ennis enters the game for D. Brooks,,35-33,,
6:02.0,,,35-33,,B. Ingram misses free throw 2 of 2
5:59.0,Defensive rebound by J. Martin,,35-33,,
5:45.0,M. Gasol misses 2-pt shot from 2 ft,,35-33,,
5:45.0,Offensive rebound by Team,,35-33,,
5:43.0,J. Martin makes 2-pt shot from 3 ft (assist by J. Ennis),2,37-33,,
5:43.0,,,37-33,,Violation by L. Nance (def goaltending)
5:25.0,,,37-33,,K. Kuzma misses 2-pt shot from 3 ft
5:21.0,Defensive rebound by J. Martin,,37-33,,
5:15.0,T. Evans misses 3-pt shot from 25 ft,,37-33,,
5:09.0,,,37-33,,Defensive rebound by K. Kuzma
5:06.0,,,37-33,,K. Caldwell-Pope misses 2-pt shot from 16 ft
5:04.0,Defensive rebound by T. Evans,,37-33,,
4:56.0,M. Gasol makes 2-pt shot from 1 ft (assist by T. Evans),2,39-33,,
4:45.0,,,39-33,,K. Caldwell-Pope misses 2-pt shot from 18 ft
4:40.0,,,39-33,,Offensive rebound by L. Nance
4:40.0,,,39-35,2,L. Nance makes 2-pt shot at rim
4:19.0,Turnover by J. Ennis (out of bounds lost ball),,39-35,,
4:19.0,,,39-35,,J. Clarkson enters the game for J. Hart
3:57.0,,,39-38,3,K. Kuzma makes 3-pt shot from 25 ft (assist by B. Ingram)
3:46.0,Turnover by T. Evans (bad pass; steal by K. Kuzma),,39-38,,
3:39.0,,,39-38,,K. Kuzma misses 2-pt shot from 2 ft
3:35.0,Defensive rebound by J. Martin,,39-38,,
3:22.0,Turnover by M. Gasol (lost ball; steal by L. Nance),,39-38,,
3:16.0,,,39-40,2,K. Kuzma makes 2-pt shot at rim (assist by L. Nance)
3:16.0,Memphis full timeout,,39-40,,
3:16.0,C. Parsons enters the game for J. Martin,,39-40,,
3:16.0,A. Harrison enters the game for J. Ennis,,39-40,,
2:55.0,T. Evans makes 3-pt shot from 26 ft (assist by M. Gasol),3,42-40,,
2:42.0,,,42-42,2,L. Nance makes 2-pt shot from 1 ft (assist by B. Ingram)
2:31.0,T. Evans makes 2-pt shot from 1 ft,2,44-42,,
2:21.0,,,44-45,3,J. Clarkson makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope)
2:03.0,T. Evans makes 3-pt shot from 25 ft,3,47-45,,
1:46.0,,,47-45,,J. Clarkson misses 3-pt shot from 24 ft
1:42.0,Defensive rebound by M. Gasol,,47-45,,
1:22.0,A. Harrison misses 3-pt shot from 24 ft,,47-45,,
1:18.0,Offensive rebound by M. Gasol,,47-45,,
1:15.0,A. Harrison makes 2-pt shot from 1 ft (assist by M. Gasol),2,49-45,,
0:56.0,,,49-45,,L. Nance misses 2-pt shot from 19 ft
0:52.0,Defensive rebound by T. Evans,,49-45,,
0:46.0,T. Evans misses 2-pt shot from 2 ft (block by B. Ingram),,49-45,,
0:43.0,,,49-45,,Defensive rebound by L. Nance
0:41.0,,,49-45,,K. Kuzma misses 3-pt shot from 25 ft
0:41.0,Defensive rebound by K. Simmons,,49-45,,
0:27.0,T. Evans makes 2-pt shot from 3 ft,2,51-45,,
0:07.0,,,51-45,,J. Clarkson misses 2-pt shot from 10 ft
0:04.0,Defensive rebound by M. Gasol,,51-45,,
0:04.0,,,51-45,,Personal foul by J. Clarkson
0:04.0,,,51-45,,Technical foul by J. Clarkson
0:04.0,M. Gasol makes technical free throw,1,52-45,,
0:04.0,J. Martin enters the game for K. Simmons,,52-45,,
0:04.0,J. Ennis enters the game for T. Evans,,52-45,,
0:04.0,M. Chalmers enters the game for C. Parsons,,52-45,,
0:04.0,M. Gasol makes free throw 1 of 2,1,53-45,,
0:04.0,M. Gasol makes free throw 2 of 2,1,54-45,,
0:02.0,,,54-47,2,B. Ingram makes 2-pt shot from 1 ft (assist by K. Kuzma)
0:01.0,M. Chalmers misses 3-pt shot from 37 ft,,54-47,,
0:00.0,Offensive rebound by Team,,54-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,54-47,,Shooting foul by M. Gasol (drawn by B. Ingram)
11:46.0,,,54-48,1,B. Ingram makes free throw 1 of 2
11:46.0,,,54-48,,B. Ingram misses free throw 2 of 2
11:43.0,Defensive rebound by M. Gasol,,54-48,,
11:26.0,D. Brooks makes 2-pt shot from 10 ft (assist by A. Harrison),2,56-48,,
11:13.0,,,56-48,,K. Kuzma misses 2-pt shot from 3 ft (block by J. Martin)
11:13.0,,,56-48,,Offensive rebound by Team
11:06.0,,,56-48,,K. Kuzma misses 3-pt shot from 25 ft
11:01.0,Defensive rebound by T. Evans,,56-48,,
10:52.0,A. Harrison misses 2-pt shot from 10 ft,,56-48,,
10:49.0,,,56-48,,Defensive rebound by K. Kuzma
10:44.0,,,56-48,,K. Caldwell-Pope misses 3-pt shot from 25 ft
10:39.0,,,56-48,,Offensive rebound by B. Ingram
10:35.0,,,56-48,,K. Kuzma misses 2-pt shot from 7 ft (block by M. Gasol)
10:35.0,,,56-48,,Offensive rebound by Team
10:28.0,,,56-48,,B. Ingram misses 2-pt shot from 1 ft
10:28.0,,,56-48,,Offensive rebound by A. Bogut
10:26.0,,,56-50,2,A. Bogut makes 2-pt shot at rim
10:17.0,,,56-50,,Personal foul by A. Bogut (drawn by T. Evans)
10:03.0,A. Harrison misses 2-pt shot from 20 ft,,56-50,,
9:59.0,,,56-50,,Defensive rebound by A. Bogut
9:52.0,,,56-50,,K. Kuzma misses 3-pt shot from 23 ft
9:49.0,Defensive rebound by M. Gasol,,56-50,,
9:46.0,A. Harrison makes 2-pt shot from 2 ft (assist by M. Gasol),2,58-50,,
9:46.0,Shooting foul by J. Clarkson (drawn by A. Harrison),,58-50,,
9:46.0,A. Harrison makes free throw 1 of 1,1,59-50,,
9:28.0,,,59-50,,B. Ingram misses 2-pt shot from 5 ft
9:24.0,Defensive rebound by A. Harrison,,59-50,,
9:10.0,T. Evans misses 2-pt shot from 1 ft,,59-50,,
9:07.0,,,59-50,,Defensive rebound by K. Kuzma
9:04.0,,,59-50,,Shooting foul by J. Martin (drawn by J. Clarkson)
9:04.0,,,59-51,1,J. Clarkson makes free throw 1 of 3
9:04.0,,,59-52,1,J. Clarkson makes free throw 2 of 3
9:04.0,,,59-52,,J. Clarkson misses free throw 3 of 3
9:01.0,Defensive rebound by M. Gasol,,59-52,,
8:50.0,Shooting foul by A. Bogut (drawn by A. Harrison),,59-52,,
8:50.0,A. Harrison makes free throw 1 of 2,1,60-52,,
8:50.0,A. Harrison misses free throw 2 of 2,,60-52,,
8:48.0,,,60-52,,Defensive rebound by J. Clarkson
8:32.0,,,60-52,,Turnover by J. Clarkson (traveling)
8:16.0,Turnover by M. Gasol (turnover),,60-52,,
7:58.0,,,60-54,2,B. Ingram makes 2-pt shot from 14 ft
7:36.0,Shooting foul by K. Kuzma (drawn by J. Martin),,60-54,,
7:36.0,J. Martin makes free throw 1 of 2,1,61-54,,
7:36.0,K. Simmons enters the game for T. Evans,,61-54,,
7:36.0,J. Martin makes free throw 2 of 2,1,62-54,,
7:27.0,,,62-54,,K. Kuzma misses 3-pt shot from 25 ft
7:23.0,Defensive rebound by K. Simmons,,62-54,,
7:13.0,Turnover by A. Harrison (bad pass),,62-54,,
6:54.0,Personal foul by M. Gasol (drawn by B. Ingram),,62-54,,
6:54.0,,,62-54,,LA Lakers full timeout
6:42.0,,,62-56,2,B. Ingram makes 2-pt shot from 2 ft
6:26.0,M. Gasol misses 3-pt shot from 24 ft,,62-56,,
6:22.0,,,62-56,,Defensive rebound by K. Kuzma
6:10.0,,,62-56,,K. Kuzma misses 3-pt shot from 26 ft
6:06.0,,,62-56,,Offensive rebound by A. Bogut
6:03.0,,,62-58,2,K. Caldwell-Pope makes 2-pt shot from 19 ft
5:44.0,M. Gasol makes 2-pt shot from 4 ft (assist by K. Simmons),2,64-58,,
5:27.0,,,64-58,,Turnover by B. Ingram (out of bounds lost ball)
5:27.0,,,64-58,,J. Hart enters the game for K. Kuzma
5:10.0,J. Martin makes 2-pt shot from 1 ft (assist by M. Gasol),2,66-58,,
4:41.0,,,66-58,,B. Ingram misses 2-pt shot from 14 ft
4:38.0,,,66-58,,Offensive rebound by A. Bogut
4:35.0,,,66-60,2,J. Hart makes 2-pt shot from 1 ft (assist by A. Bogut)
4:27.0,,,66-60,,Personal foul by K. Caldwell-Pope (drawn by A. Harrison)
4:27.0,,,66-60,,L. Nance enters the game for A. Bogut
4:27.0,C. Parsons enters the game for J. Martin,,66-60,,
4:27.0,A. Harrison misses free throw 1 of 2,,66-60,,
4:27.0,Offensive rebound by Team,,66-60,,
4:27.0,A. Harrison makes free throw 2 of 2,1,67-60,,
4:09.0,,,67-63,3,J. Clarkson makes 3-pt shot from 25 ft
3:54.0,A. Harrison misses 3-pt shot from 26 ft,,67-63,,
3:52.0,,,67-63,,Defensive rebound by B. Ingram
3:48.0,Personal foul by K. Simmons (drawn by B. Ingram),,67-63,,
3:48.0,D. Davis enters the game for A. Harrison,,67-63,,
3:48.0,T. Evans enters the game for M. Gasol,,67-63,,
3:40.0,,,67-65,2,L. Nance makes 2-pt shot at rim (assist by J. Clarkson)
3:13.0,T. Evans misses 3-pt shot from 28 ft,,67-65,,
3:08.0,,,67-65,,Defensive rebound by B. Ingram
3:07.0,Personal foul by K. Simmons (drawn by L. Nance),,67-65,,
3:07.0,,,67-66,1,L. Nance makes free throw 1 of 2
3:07.0,J. Ennis enters the game for D. Brooks,,67-66,,
3:07.0,,,67-67,1,L. Nance makes free throw 2 of 2
2:56.0,Turnover by C. Parsons (bad pass),,67-67,,
2:56.0,Memphis full timeout,,67-67,,
2:41.0,,,67-67,,B. Ingram misses 2-pt shot from 2 ft
2:38.0,,,67-67,,Offensive rebound by L. Nance
2:38.0,,,67-69,2,L. Nance makes 2-pt shot at rim
2:27.0,Turnover by T. Evans (bad pass; steal by K. Caldwell-Pope),,67-69,,
2:21.0,,,67-71,2,K. Caldwell-Pope makes 2-pt shot from 2 ft
2:09.0,,,67-71,,Personal foul by L. Nance (drawn by D. Davis)
2:09.0,D. Davis makes free throw 1 of 2,1,68-71,,
2:09.0,D. Davis makes free throw 2 of 2,1,69-71,,
1:50.0,,,69-73,2,B. Ingram makes 2-pt shot from 11 ft
1:31.0,D. Davis makes 2-pt shot at rim (assist by T. Evans),2,71-73,,
1:16.0,,,71-73,,Shooting foul by K. Simmons (drawn by J. Clarkson)
1:16.0,,,71-73,,J. Clarkson misses free throw 1 of 2
1:16.0,,,71-73,,Offensive rebound by Team
1:16.0,M. Chalmers enters the game for K. Simmons,,71-73,,
1:16.0,,,71-74,1,J. Clarkson makes free throw 2 of 2
0:59.0,D. Davis makes 2-pt shot from 1 ft (assist by T. Evans),2,73-74,,
0:59.0,Shooting foul by B. Ingram (drawn by D. Davis),,73-74,,
0:59.0,D. Davis makes free throw 1 of 1,1,74-74,,
0:50.0,,,74-74,,K. Caldwell-Pope misses 3-pt shot from 25 ft
0:46.0,,,74-74,,Offensive rebound by L. Nance
0:45.0,,,74-74,,L. Nance misses 2-pt shot from 6 ft (block by D. Davis)
0:45.0,Defensive rebound by D. Davis,,74-74,,
0:37.0,C. Parsons misses 3-pt shot from 28 ft,,74-74,,
0:37.0,Offensive rebound by D. Davis,,74-74,,
0:29.0,J. Ennis misses 2-pt shot from 1 ft,,74-74,,
0:29.0,,,74-74,,Defensive rebound by L. Nance
0:24.0,,,74-76,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by B. Ingram)
0:02.0,T. Evans makes 2-pt shot at rim,2,76-76,,
0:00.0,,,76-76,,J. Clarkson misses 3-pt shot from 23 ft
0:00.0,,,76-76,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,Shooting foul by J. Hart (drawn by T. Evans),,76-76,,
11:42.0,T. Evans makes free throw 1 of 2,1,77-76,,
11:42.0,T. Evans makes free throw 2 of 2,1,78-76,,
11:29.0,,,78-76,,A. Caruso misses 2-pt shot from 19 ft
11:24.0,Defensive rebound by D. Davis,,78-76,,
11:17.0,D. Davis makes 2-pt shot from 1 ft (assist by T. Evans),2,80-76,,
11:03.0,,,80-76,,B. Ingram misses 2-pt shot from 16 ft
10:59.0,,,80-76,,Offensive rebound by K. Kuzma
10:57.0,,,80-78,2,K. Kuzma makes 2-pt shot from 5 ft
10:43.0,T. Evans misses 3-pt shot from 25 ft,,80-78,,
10:39.0,,,80-78,,Defensive rebound by L. Nance
10:37.0,,,80-78,,K. Kuzma misses 2-pt shot from 2 ft (block by M. Chalmers)
10:37.0,,,80-78,,Offensive rebound by Team
10:37.0,J. Martin enters the game for C. Parsons,,80-78,,
10:35.0,,,80-78,,Offensive charge foul by K. Kuzma (drawn by A. Harrison)
10:35.0,,,80-78,,Turnover by K. Kuzma (offensive foul)
10:11.0,T. Evans misses 2-pt shot from 19 ft,,80-78,,
10:07.0,,,80-78,,Defensive rebound by B. Ingram
10:03.0,,,80-78,,K. Kuzma misses 3-pt shot from 24 ft
10:03.0,Defensive rebound by D. Davis,,80-78,,
9:51.0,A. Harrison makes 2-pt shot from 9 ft,2,82-78,,
9:34.0,,,82-78,,Shooting foul by A. Harrison (drawn by B. Ingram)
9:34.0,,,82-79,1,B. Ingram makes free throw 1 of 2
9:34.0,,,82-79,,B. Ingram misses free throw 2 of 2
9:32.0,Defensive rebound by J. Martin,,82-79,,
9:10.0,M. Chalmers makes 3-pt shot from 24 ft,3,85-79,,
9:08.0,,,85-79,,LA Lakers full timeout
9:08.0,,,85-79,,J. Randle enters the game for L. Nance
8:58.0,,,85-79,,Turnover by B. Ingram (bad pass; steal by M. Chalmers)
8:58.0,,,85-79,,Personal foul by A. Caruso (drawn by M. Chalmers)
8:41.0,A. Harrison makes 2-pt shot from 16 ft,2,87-79,,
8:26.0,,,87-79,,B. Ingram misses 2-pt shot from 3 ft (block by D. Davis)
8:21.0,,,87-79,,Offensive rebound by K. Kuzma
8:19.0,,,87-79,,K. Kuzma misses 2-pt shot from 3 ft
8:17.0,Defensive rebound by J. Martin,,87-79,,
8:13.0,T. Evans makes 2-pt shot from 21 ft,2,89-79,,
7:55.0,,,89-82,3,J. Hart makes 3-pt shot from 25 ft (assist by B. Ingram)
7:43.0,Shooting foul by K. Kuzma (drawn by A. Harrison),,89-82,,
7:43.0,A. Harrison makes free throw 1 of 2,1,90-82,,
7:43.0,,,90-82,,J. Clarkson enters the game for A. Caruso
7:43.0,M. Gasol enters the game for T. Evans,,90-82,,
7:43.0,D. Brooks enters the game for D. Davis,,90-82,,
7:43.0,A. Harrison makes free throw 2 of 2,1,91-82,,
7:25.0,,,91-82,,Turnover by J. Randle (lost ball; steal by D. Brooks)
7:08.0,A. Harrison misses 3-pt shot from 24 ft,,91-82,,
7:06.0,,,91-82,,Defensive rebound by J. Hart
7:00.0,,,91-84,2,B. Ingram makes 2-pt shot from 10 ft (assist by J. Hart)
6:48.0,,,91-84,,Personal foul by B. Ingram (drawn by A. Harrison)
