time,Houston,pts.away,score,pts.home,LA Lakers
7:42.0,,,70-59,,Defensive rebound by B. Ingram
7:39.0,,,70-59,,Shooting foul by P. Tucker (drawn by B. Ingram)
7:39.0,,,70-60,1,B. Ingram makes free throw 1 of 2
7:39.0,,,70-61,1,B. Ingram makes free throw 2 of 2
7:25.0,J. Harden misses 2-pt shot from 17 ft,,70-61,,
7:23.0,,,70-61,,Defensive rebound by B. Ingram
7:17.0,,,70-64,3,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by B. Ingram)
6:51.0,T. Ariza misses 2-pt shot from 2 ft,,70-64,,
6:49.0,,,70-64,,Defensive rebound by K. Caldwell-Pope
6:40.0,,,70-64,,Turnover by B. Lopez (traveling)
6:40.0,E. Gordon enters the game for C. Paul,,70-64,,
6:40.0,N. Hilario enters the game for C. Capela,,70-64,,
6:31.0,E. Gordon misses 3-pt shot from 27 ft,,70-64,,
6:31.0,,,70-64,,Defensive rebound by Team
6:14.0,,,70-67,3,B. Lopez makes 3-pt shot from 26 ft (assist by L. Ball)
6:02.0,J. Harden makes 2-pt shot from 1 ft,2,72-67,,
5:47.0,,,72-67,,Shooting foul by N. Hilario (drawn by B. Lopez)
5:47.0,,,72-67,,B. Lopez misses free throw 1 of 2
5:47.0,,,72-67,,Offensive rebound by Team
5:47.0,L. Mbah a Moute enters the game for T. Ariza,,72-67,,
5:47.0,,,72-67,,B. Lopez misses free throw 2 of 2
5:45.0,Defensive rebound by L. Mbah a Moute,,72-67,,
5:34.0,J. Harden makes 2-pt shot from 15 ft,2,74-67,,
5:21.0,,,74-67,,Turnover by K. Caldwell-Pope (step out of bounds)
5:11.0,J. Harden misses 2-pt shot from 3 ft (block by L. Nance),,74-67,,
5:11.0,Offensive rebound by Team,,74-67,,
4:59.0,P. Tucker makes 3-pt shot from 24 ft (assist by L. Mbah a Moute),3,77-67,,
4:41.0,,,77-67,,B. Lopez misses 3-pt shot from 22 ft
4:39.0,Defensive rebound by P. Tucker,,77-67,,
4:33.0,N. Hilario makes 2-pt shot from 8 ft (assist by J. Harden),2,79-67,,
4:33.0,,,79-67,,LA Lakers full timeout
4:33.0,,,79-67,,J. Clarkson enters the game for L. Ball
4:18.0,,,79-67,,K. Caldwell-Pope misses 3-pt shot from 23 ft
4:15.0,Defensive rebound by J. Harden,,79-67,,
4:12.0,Turnover by J. Harden (bad pass; steal by K. Caldwell-Pope),,79-67,,
4:06.0,,,79-70,3,K. Caldwell-Pope makes 3-pt shot from 25 ft
3:45.0,J. Harden misses 3-pt shot from 26 ft,,79-70,,
3:42.0,,,79-70,,Defensive rebound by B. Ingram
3:29.0,,,79-70,,K. Caldwell-Pope misses 2-pt shot from 19 ft
3:26.0,Defensive rebound by N. Hilario,,79-70,,
3:16.0,,,79-70,,Personal foul by B. Ingram (drawn by J. Harden)
3:03.0,N. Hilario makes 2-pt shot from 17 ft (assist by J. Harden),2,81-70,,
2:43.0,,,81-70,,Turnover by J. Clarkson (out of bounds lost ball)
2:35.0,E. Gordon misses 3-pt shot from 27 ft,,81-70,,
2:32.0,,,81-70,,Defensive rebound by L. Nance
2:21.0,,,81-70,,B. Ingram misses 2-pt shot from 19 ft
2:18.0,Defensive rebound by L. Mbah a Moute,,81-70,,
2:14.0,N. Hilario misses 2-pt shot from 2 ft (block by B. Lopez),,81-70,,
2:11.0,,,81-70,,Defensive rebound by B. Lopez
1:51.0,,,81-70,,B. Lopez misses 2-pt shot from 14 ft
1:48.0,Defensive rebound by P. Tucker,,81-70,,
1:37.0,P. Tucker misses 3-pt shot from 25 ft,,81-70,,
1:34.0,,,81-70,,Defensive rebound by B. Ingram
1:28.0,,,81-70,,B. Ingram misses 2-pt shot from 3 ft
1:27.0,,,81-70,,Offensive rebound by L. Nance
1:27.0,,,81-72,2,L. Nance makes 2-pt shot at rim
1:27.0,Houston full timeout,,81-72,,
1:27.0,T. Ariza enters the game for P. Tucker,,81-72,,
1:27.0,C. Paul enters the game for J. Harden,,81-72,,
1:13.0,E. Gordon makes 2-pt shot from 1 ft (assist by C. Paul),2,83-72,,
1:03.0,,,83-72,,Turnover by K. Caldwell-Pope (bad pass; steal by E. Gordon)
0:55.0,E. Gordon misses 2-pt shot from 7 ft,,83-72,,
0:54.0,,,83-72,,Defensive rebound by Team
0:54.0,Turnover by E. Gordon (traveling),,83-72,,
0:54.0,,,83-72,,J. Randle enters the game for B. Lopez
0:43.0,,,83-72,,J. Clarkson misses 3-pt shot from 25 ft
0:40.0,Defensive rebound by T. Ariza,,83-72,,
0:33.0,C. Paul makes 2-pt shot from 16 ft,2,85-72,,
0:15.0,Personal foul by N. Hilario (drawn by J. Randle),,85-72,,
0:15.0,,,85-72,,J. Randle misses free throw 1 of 2
0:15.0,,,85-72,,Offensive rebound by Team
0:15.0,,,85-72,,J. Hart enters the game for K. Caldwell-Pope
0:15.0,,,85-72,,K. Kuzma enters the game for L. Nance
0:15.0,,,85-73,1,J. Randle makes free throw 2 of 2
0:03.0,C. Paul misses 2-pt shot from 14 ft,,85-73,,
0:01.0,,,85-73,,Defensive rebound by K. Kuzma
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,C. Paul makes 3-pt shot from 25 ft,3,88-73,,
11:07.0,,,88-73,,C. Brewer misses 2-pt shot from 3 ft
11:05.0,Defensive rebound by C. Paul,,88-73,,
10:55.0,C. Paul makes 3-pt shot from 23 ft,3,91-73,,
10:33.0,,,91-73,,J. Clarkson misses 3-pt shot from 26 ft
10:30.0,Defensive rebound by T. Ariza,,91-73,,
10:27.0,C. Paul misses 3-pt shot from 27 ft,,91-73,,
10:23.0,,,91-73,,Defensive rebound by K. Kuzma
10:21.0,,,91-75,2,K. Kuzma makes 2-pt shot from 2 ft
10:19.0,,,91-75,,Shooting foul by T. Ariza (drawn by K. Kuzma)
10:19.0,,,91-75,,K. Kuzma misses free throw 1 of 1
10:15.0,Defensive rebound by T. Ariza,,91-75,,
10:10.0,Shooting foul by C. Brewer (drawn by N. Hilario),,91-75,,
10:10.0,N. Hilario makes free throw 1 of 2,1,92-75,,
10:10.0,N. Hilario makes free throw 2 of 2,1,93-75,,
9:52.0,C. Capela enters the game for N. Hilario,,93-75,,
9:48.0,,,93-75,,Turnover by C. Brewer (bad pass; steal by C. Paul)
9:29.0,E. Gordon misses 3-pt shot from 28 ft,,93-75,,
9:29.0,Offensive rebound by C. Capela,,93-75,,
9:29.0,,,93-75,,Personal foul by C. Brewer (drawn by C. Capela)
9:13.0,Turnover by C. Paul (bad pass; steal by C. Brewer),,93-75,,
9:04.0,,,93-75,,K. Kuzma misses 3-pt shot from 24 ft
8:59.0,Jump ball: J. Randle vs. C. Capela (K. Kuzma gains possession),,,,Jump ball: J. Randle vs. C. Capela (K. Kuzma gains possession)
8:59.0,,,93-75,,Offensive rebound by K. Kuzma
8:56.0,,,93-77,2,K. Kuzma makes 2-pt shot from 2 ft (assist by C. Brewer)
8:45.0,E. Gordon misses 2-pt shot from 10 ft,,93-77,,
8:43.0,Offensive rebound by C. Capela,,93-77,,
8:42.0,,,93-77,,B. Ingram enters the game for C. Brewer
8:42.0,,,93-77,,K. Caldwell-Pope enters the game for J. Hart
8:42.0,,,93-77,,Loose ball foul by J. Randle (drawn by C. Capela)
8:35.0,,,93-77,,Personal foul by J. Randle (drawn by C. Paul)
8:35.0,J. Harden enters the game for E. Gordon,,93-77,,
8:35.0,P. Tucker enters the game for L. Mbah a Moute,,93-77,,
8:21.0,C. Paul misses 2-pt shot from 16 ft,,93-77,,
8:17.0,,,93-77,,Defensive rebound by K. Kuzma
8:09.0,,,93-77,,Shooting foul by C. Capela (drawn by B. Ingram)
8:09.0,,,93-77,,B. Ingram misses free throw 1 of 2
8:09.0,,,93-77,,Offensive rebound by Team
8:09.0,,,93-77,,B. Ingram misses free throw 2 of 2
8:09.0,Defensive rebound by P. Tucker,,93-77,,
7:51.0,P. Tucker misses 3-pt shot from 24 ft,,93-77,,
7:46.0,Offensive rebound by C. Capela,,93-77,,
7:45.0,C. Capela makes 2-pt shot from 2 ft,2,95-77,,
7:35.0,,,95-77,,Offensive charge foul by J. Randle (drawn by C. Paul)
7:35.0,,,95-77,,Turnover by J. Randle (offensive foul)
7:17.0,J. Harden makes 2-pt shot from 1 ft,2,97-77,,
7:00.0,,,97-77,,Turnover by J. Clarkson (lost ball; steal by C. Capela)
7:00.0,,,97-77,,Personal take foul by J. Clarkson (drawn by C. Capela)
7:00.0,,,97-77,,L. Nance enters the game for J. Randle
7:00.0,C. Capela makes free throw 2 of 2,1,98-77,,
7:00.0,C. Capela makes free throw 1 of 2,1,99-77,,
