time,Charlotte,pts.away,score,pts.home,Detroit
0:32.0,T. Graham enters the game for D. Howard,,25-27,,
0:32.0,J. O'Bryant enters the game for M. Kidd-Gilchrist,,25-27,,
0:22.0,,,25-27,,A. Bradley misses 3-pt shot from 23 ft
0:19.0,Defensive rebound by J. O'Bryant,,25-27,,
0:00.0,J. O'Bryant makes 2-pt shot from 2 ft (assist by J. Lamb),2,27-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,T. Graham makes 2-pt shot from 2 ft,2,29-27,,
11:22.0,,,29-27,,D. Buycks misses 2-pt shot from 17 ft
11:17.0,Defensive rebound by J. O'Bryant,,29-27,,
11:08.0,J. O'Bryant makes 2-pt shot from 12 ft,2,31-27,,
10:56.0,,,31-29,2,D. Buycks makes 2-pt shot from 1 ft (assist by E. Moreland)
10:34.0,J. O'Bryant misses 2-pt shot from 14 ft,,31-29,,
10:32.0,,,31-29,,Defensive rebound by L. Kennard
10:24.0,,,31-31,2,R. Bullock makes 2-pt shot from 2 ft (assist by A. Tolliver)
10:04.0,F. Kaminsky misses 3-pt shot from 28 ft,,31-31,,
10:01.0,,,31-31,,Defensive rebound by L. Kennard
9:49.0,,,31-33,2,L. Kennard makes 2-pt shot from 1 ft
9:29.0,J. O'Bryant misses 2-pt shot from 19 ft,,31-33,,
9:25.0,,,31-33,,Defensive rebound by D. Buycks
9:22.0,,,31-33,,Turnover by D. Buycks (lost ball; steal by M. Carter-Williams)
9:16.0,F. Kaminsky makes 3-pt shot from 25 ft (assist by T. Graham),3,34-33,,
9:01.0,,,34-33,,Turnover by D. Buycks (bad pass; steal by J. Lamb)
8:53.0,J. Lamb misses 2-pt shot from 4 ft,,34-33,,
8:46.0,,,34-33,,Defensive rebound by E. Moreland
8:35.0,,,34-33,,Turnover by L. Kennard (bad pass; steal by J. Lamb)
8:26.0,F. Kaminsky misses 3-pt shot from 25 ft,,34-33,,
8:22.0,,,34-33,,Defensive rebound by E. Moreland
8:13.0,,,34-33,,D. Buycks misses 2-pt shot from 22 ft
8:10.0,Defensive rebound by J. O'Bryant,,34-33,,
7:50.0,F. Kaminsky misses 2-pt shot from 9 ft,,34-33,,
7:48.0,,,34-33,,Defensive rebound by E. Moreland
7:40.0,,,34-35,2,R. Bullock makes 2-pt shot from 2 ft (assist by A. Tolliver)
7:16.0,J. O'Bryant makes 2-pt shot from 2 ft (assist by T. Graham),2,36-35,,
7:09.0,,,36-35,,Detroit full timeout
7:09.0,,,36-35,,I. Smith enters the game for D. Buycks
7:09.0,,,36-35,,A. Drummond enters the game for E. Moreland
7:09.0,N. Batum enters the game for M. Carter-Williams,,36-35,,
7:09.0,K. Walker enters the game for T. Graham,,36-35,,
7:02.0,,,36-38,3,A. Tolliver makes 3-pt shot from 24 ft (assist by I. Smith)
6:38.0,F. Kaminsky misses 2-pt shot from 3 ft (block by A. Drummond),,36-38,,
6:38.0,Offensive rebound by Team,,36-38,,
6:37.0,N. Batum misses 3-pt shot from 24 ft,,36-38,,
6:37.0,,,36-38,,Defensive rebound by R. Bullock
6:23.0,,,36-41,3,A. Tolliver makes 3-pt shot from 23 ft (assist by A. Drummond)
6:05.0,Turnover by J. Lamb (bad pass; steal by A. Drummond),,36-41,,
6:01.0,,,36-41,,A. Drummond misses 2-pt shot from 2 ft
5:59.0,Defensive rebound by F. Kaminsky,,36-41,,
5:53.0,J. Lamb misses 2-pt shot from 8 ft,,36-41,,
5:53.0,,,36-41,,Defensive rebound by A. Drummond
5:42.0,,,36-41,,R. Bullock misses 3-pt shot from 23 ft
5:39.0,Defensive rebound by J. O'Bryant,,36-41,,
5:29.0,J. Lamb misses 2-pt shot from 3 ft,,36-41,,
5:26.0,,,36-41,,Defensive rebound by I. Smith
5:24.0,,,36-44,3,R. Bullock makes 3-pt shot from 29 ft (assist by I. Smith)
5:23.0,Technical foul by J. Lamb,,36-44,,
5:23.0,,,36-45,1,L. Kennard makes technical free throw
5:23.0,,,36-45,,A. Bradley enters the game for L. Kennard
5:23.0,M. Williams enters the game for J. O'Bryant,,36-45,,
5:23.0,D. Howard enters the game for F. Kaminsky,,36-45,,
5:11.0,J. Lamb makes 3-pt shot from 26 ft (assist by N. Batum),3,39-45,,
4:49.0,,,39-45,,R. Bullock misses 3-pt shot from 25 ft
4:41.0,Defensive rebound by D. Howard,,39-45,,
4:36.0,Turnover by N. Batum (bad pass; steal by R. Bullock),,39-45,,
4:34.0,,,39-45,,Turnover by R. Bullock (out of bounds lost ball)
4:34.0,,,39-45,,T. Harris enters the game for A. Tolliver
4:34.0,M. Kidd-Gilchrist enters the game for J. Lamb,,39-45,,
4:15.0,N. Batum misses 2-pt shot from 3 ft,,39-45,,
4:11.0,,,39-45,,Defensive rebound by A. Drummond
4:09.0,,,39-45,,T. Harris misses 2-pt shot from 17 ft
4:06.0,Defensive rebound by D. Howard,,39-45,,
3:55.0,M. Kidd-Gilchrist misses 2-pt shot from 14 ft,,39-45,,
3:51.0,Offensive rebound by N. Batum,,39-45,,
3:49.0,N. Batum makes 2-pt shot from 2 ft,2,41-45,,
3:40.0,Personal foul by N. Batum (drawn by A. Bradley),,41-45,,
3:33.0,,,41-47,2,I. Smith makes 2-pt shot from 2 ft
3:18.0,Turnover by D. Howard (traveling),,41-47,,
3:10.0,,,41-47,,T. Harris misses 2-pt shot from 11 ft
3:05.0,Defensive rebound by N. Batum,,41-47,,
3:00.0,,,41-47,,Personal foul by A. Drummond (drawn by D. Howard)
3:00.0,,,41-47,,E. Moreland enters the game for A. Drummond
2:55.0,Shooting foul by T. Harris (drawn by M. Williams),,41-47,,
2:55.0,Charlotte full timeout,,41-47,,
2:55.0,,,41-47,,A. Tolliver enters the game for T. Harris
2:55.0,M. Williams makes free throw 1 of 3,1,42-47,,
2:55.0,M. Williams misses free throw 2 of 3,,42-47,,
2:55.0,Offensive rebound by Team,,42-47,,
2:55.0,M. Williams makes free throw 3 of 3,1,43-47,,
2:35.0,,,43-50,3,R. Bullock makes 3-pt shot from 24 ft (assist by I. Smith)
2:14.0,M. Williams makes 3-pt shot from 25 ft (assist by N. Batum),3,46-50,,
1:51.0,,,46-50,,I. Smith misses 2-pt shot from 17 ft
1:48.0,Defensive rebound by D. Howard,,46-50,,
1:43.0,,,46-50,,Personal foul by A. Tolliver (drawn by K. Walker)
1:39.0,Turnover by M. Williams (bad pass; steal by R. Bullock),,46-50,,
1:33.0,,,46-52,2,A. Tolliver makes 2-pt shot from 2 ft (assist by R. Bullock)
1:19.0,Shooting foul by E. Moreland (drawn by D. Howard),,46-52,,
1:19.0,D. Howard misses free throw 1 of 2,,46-52,,
1:19.0,Offensive rebound by Team,,46-52,,
1:19.0,D. Howard misses free throw 2 of 2,,46-52,,
1:16.0,,,46-52,,Defensive rebound by E. Moreland
1:05.0,,,46-52,,I. Smith misses 2-pt shot from 14 ft
1:01.0,Defensive rebound by K. Walker,,46-52,,
0:49.0,D. Howard makes 2-pt shot from 2 ft,2,48-52,,
0:37.0,,,48-54,2,I. Smith makes 2-pt shot from 2 ft (assist by A. Tolliver)
0:23.0,D. Howard makes 2-pt shot at rim,2,50-54,,
0:05.0,,,50-56,2,I. Smith makes 2-pt shot from 13 ft
0:00.0,K. Walker misses 2-pt shot from 10 ft,,50-56,,
0:00.0,Offensive rebound by Team,,50-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,D. Howard makes 2-pt shot from 3 ft,2,52-56,,
11:36.0,,,52-58,2,T. Harris makes 2-pt shot from 15 ft
11:21.0,K. Walker makes 2-pt shot at rim,2,54-58,,
11:06.0,,,54-58,,A. Bradley misses 3-pt shot from 25 ft
11:04.0,Defensive rebound by D. Howard,,54-58,,
10:57.0,M. Williams makes 3-pt shot from 26 ft (assist by N. Batum),3,57-58,,
10:56.0,,,57-58,,Detroit full timeout
10:39.0,,,57-60,2,I. Smith makes 2-pt shot from 4 ft
10:24.0,N. Batum misses 3-pt shot from 25 ft,,57-60,,
10:18.0,Offensive rebound by M. Williams,,57-60,,
10:17.0,K. Walker misses 3-pt shot from 26 ft,,57-60,,
10:11.0,Offensive rebound by N. Batum,,57-60,,
10:09.0,K. Walker misses 3-pt shot from 26 ft,,57-60,,
10:07.0,,,57-60,,Defensive rebound by T. Harris
10:00.0,,,57-63,3,R. Bullock makes 3-pt shot from 28 ft (assist by T. Harris)
9:31.0,N. Batum misses 2-pt shot from 14 ft,,57-63,,
9:25.0,,,57-63,,Defensive rebound by T. Harris
9:14.0,,,57-63,,A. Bradley misses 2-pt shot from 20 ft
9:11.0,Defensive rebound by D. Howard,,57-63,,
9:05.0,K. Walker makes 2-pt shot from 1 ft,2,59-63,,
8:45.0,,,59-63,,I. Smith misses 2-pt shot from 17 ft
8:40.0,Defensive rebound by M. Kidd-Gilchrist,,59-63,,
8:40.0,Shooting foul by R. Bullock (drawn by M. Kidd-Gilchrist),,59-63,,
8:40.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,60-63,,
8:40.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,61-63,,
8:16.0,,,61-63,,A. Drummond misses 2-pt shot from 11 ft (block by D. Howard)
8:16.0,,,61-63,,Offensive rebound by I. Smith
8:15.0,,,61-65,2,I. Smith makes 2-pt shot from 1 ft
7:58.0,K. Walker makes 2-pt shot from 3 ft,2,63-65,,
7:39.0,,,63-65,,A. Bradley misses 2-pt shot from 6 ft
7:36.0,Defensive rebound by N. Batum,,63-65,,
7:32.0,M. Williams misses 3-pt shot from 26 ft,,63-65,,
7:27.0,,,63-65,,Defensive rebound by A. Bradley
7:21.0,,,63-65,,Turnover by I. Smith (lost ball; steal by M. Kidd-Gilchrist)
7:15.0,M. Williams makes 2-pt shot from 1 ft,2,65-65,,
6:59.0,,,65-65,,A. Drummond misses 2-pt shot from 2 ft (block by D. Howard)
6:56.0,Defensive rebound by N. Batum,,65-65,,
6:53.0,D. Howard makes 2-pt shot from 1 ft (assist by M. Kidd-Gilchrist),2,67-65,,
6:53.0,Shooting foul by T. Harris (drawn by D. Howard),,67-65,,
6:53.0,,,67-65,,A. Tolliver enters the game for T. Harris
6:53.0,D. Howard misses free throw 1 of 1,,67-65,,
6:47.0,,,67-65,,Defensive rebound by R. Bullock
6:39.0,,,67-65,,A. Bradley misses 2-pt shot from 1 ft
6:37.0,Defensive rebound by D. Howard,,67-65,,
6:33.0,M. Kidd-Gilchrist makes 2-pt shot at rim,2,69-65,,
6:33.0,Shooting foul by I. Smith (drawn by M. Kidd-Gilchrist),,69-65,,
6:33.0,M. Kidd-Gilchrist misses free throw 1 of 1,,69-65,,
6:22.0,,,69-65,,Defensive rebound by A. Drummond
6:21.0,,,69-65,,Shooting foul by D. Howard (drawn by A. Bradley)
6:21.0,,,69-65,,A. Bradley misses free throw 1 of 2
6:21.0,,,69-65,,Offensive rebound by Team
6:21.0,,,69-66,1,A. Bradley makes free throw 2 of 2
6:10.0,N. Batum makes 2-pt shot from 12 ft (assist by M. Williams),2,71-66,,
5:50.0,,,71-68,2,A. Bradley makes 2-pt shot from 2 ft (assist by A. Drummond)
5:28.0,Turnover by N. Batum (traveling),,71-68,,
5:18.0,,,71-70,2,I. Smith makes 2-pt shot from 9 ft
4:51.0,M. Williams makes 2-pt shot from 1 ft (assist by N. Batum),2,73-70,,
4:24.0,,,73-70,,A. Drummond misses 2-pt shot from 6 ft
4:22.0,Defensive rebound by D. Howard,,73-70,,
4:16.0,Turnover by M. Williams (bad pass; steal by A. Bradley),,73-70,,
4:06.0,,,73-70,,Turnover by A. Bradley (bad pass; steal by N. Batum)
4:03.0,K. Walker makes 2-pt shot from 3 ft,2,75-70,,
4:03.0,,,75-70,,Detroit full timeout
4:03.0,,,75-70,,D. Buycks enters the game for I. Smith
4:03.0,,,75-70,,L. Kennard enters the game for R. Bullock
4:03.0,F. Kaminsky enters the game for M. Williams,,75-70,,
4:03.0,J. Lamb enters the game for M. Kidd-Gilchrist,,75-70,,
3:49.0,,,75-70,,L. Kennard misses 2-pt shot from 17 ft
3:46.0,Defensive rebound by K. Walker,,75-70,,
3:41.0,K. Walker misses 2-pt shot from 4 ft (block by A. Tolliver),,75-70,,
3:37.0,,,75-70,,Defensive rebound by D. Buycks
3:32.0,,,75-73,3,A. Tolliver makes 3-pt shot from 26 ft (assist by D. Buycks)
3:08.0,N. Batum misses 2-pt shot from 9 ft,,75-73,,
3:05.0,,,75-73,,Defensive rebound by D. Buycks
2:58.0,,,75-75,2,D. Buycks makes 2-pt shot from 13 ft
2:39.0,K. Walker makes 2-pt shot from 3 ft (assist by F. Kaminsky),2,77-75,,
2:27.0,M. Carter-Williams enters the game for N. Batum,,77-75,,
2:27.0,T. Graham enters the game for K. Walker,,77-75,,
2:16.0,,,77-77,2,D. Buycks makes 2-pt shot from 10 ft
1:56.0,J. Lamb misses 3-pt shot from 27 ft,,77-77,,
1:53.0,Offensive rebound by D. Howard,,77-77,,
1:46.0,Shooting foul by D. Buycks (drawn by M. Carter-Williams),,77-77,,
1:46.0,M. Carter-Williams makes free throw 1 of 2,1,78-77,,
1:46.0,,,78-77,,R. Bullock enters the game for A. Bradley
1:46.0,M. Carter-Williams misses free throw 2 of 2,,78-77,,
1:44.0,,,78-77,,Defensive rebound by A. Drummond
1:32.0,,,78-77,,L. Kennard misses 2-pt shot from 2 ft
1:30.0,Defensive rebound by D. Howard,,78-77,,
1:08.0,F. Kaminsky makes 2-pt shot from 2 ft,2,80-77,,
1:00.0,Personal foul by M. Carter-Williams (drawn by D. Buycks),,80-77,,
0:49.0,,,80-77,,Turnover by A. Drummond (bad pass; steal by D. Howard)
0:31.0,D. Howard misses 2-pt shot from 7 ft (block by A. Tolliver),,80-77,,
0:27.0,Offensive rebound by J. Lamb,,80-77,,
0:25.0,J. Lamb makes 2-pt shot from 1 ft,2,82-77,,
0:10.0,,,82-80,3,A. Tolliver makes 3-pt shot from 26 ft (assist by A. Drummond)
0:01.0,Shooting foul by D. Buycks (drawn by J. Lamb),,82-80,,
0:01.0,J. Lamb makes free throw 1 of 2,1,83-80,,
0:01.0,J. Lamb makes free throw 2 of 2,1,84-80,,
0:01.0,,,84-80,,D. Buycks misses 3-pt shot from 71 ft
0:01.0,,,84-80,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,84-80,,Turnover by D. Buycks (out of bounds lost ball)
11:30.0,Shooting foul by L. Kennard (drawn by J. O'Bryant),,84-80,,
11:30.0,J. O'Bryant makes free throw 1 of 2,1,85-80,,
11:30.0,J. O'Bryant makes free throw 2 of 2,1,86-80,,
11:17.0,,,86-80,,R. Bullock misses 2-pt shot from 12 ft
11:13.0,Defensive rebound by F. Kaminsky,,86-80,,
11:04.0,J. Lamb misses 2-pt shot from 6 ft,,86-80,,
11:00.0,Offensive rebound by J. Lamb,,86-80,,
10:58.0,F. Kaminsky misses 3-pt shot from 27 ft,,86-80,,
10:53.0,,,86-80,,Defensive rebound by E. Moreland
10:37.0,,,86-80,,Turnover by L. Kennard (bad pass; steal by M. Carter-Williams)
10:29.0,M. Carter-Williams makes 3-pt shot from 29 ft (assist by J. O'Bryant),3,89-80,,
10:11.0,,,89-82,2,R. Bullock makes 2-pt shot at rim (assist by E. Moreland)
10:00.0,Shooting foul by D. Buycks (drawn by J. O'Bryant),,89-82,,
10:00.0,J. O'Bryant makes free throw 1 of 2,1,90-82,,
10:00.0,,,90-82,,T. Harris enters the game for E. Moreland
10:00.0,J. O'Bryant misses free throw 2 of 2,,90-82,,
9:57.0,,,90-82,,Defensive rebound by R. Bullock
9:37.0,,,90-82,,D. Buycks misses 2-pt shot from 21 ft
9:35.0,Defensive rebound by T. Graham,,90-82,,
9:26.0,,,90-82,,Def 3 sec tech foul by T. Harris
9:26.0,J. Lamb makes technical free throw,1,91-82,,
9:26.0,,,91-82,,I. Smith enters the game for D. Buycks
9:17.0,Turnover by M. Carter-Williams (traveling),,91-82,,
9:05.0,,,91-84,2,L. Kennard makes 2-pt shot from 21 ft (assist by I. Smith)
8:47.0,M. Carter-Williams misses 2-pt shot from 5 ft (block by T. Harris),,91-84,,
8:47.0,Offensive rebound by F. Kaminsky,,91-84,,
8:42.0,T. Graham misses 2-pt shot from 15 ft,,91-84,,
8:42.0,,,91-84,,Defensive rebound by L. Kennard
8:37.0,Personal foul by T. Graham (drawn by T. Harris),,91-84,,
8:24.0,,,91-84,,T. Harris misses 2-pt shot from 11 ft
8:21.0,,,91-84,,Offensive rebound by T. Harris
8:21.0,,,91-84,,Shooting foul by T. Graham (drawn by T. Harris)
8:21.0,,,91-85,1,T. Harris makes free throw 1 of 2
8:21.0,,,91-85,,A. Bradley enters the game for R. Bullock
8:21.0,K. Walker enters the game for M. Carter-Williams,,91-85,,
8:21.0,M. Kidd-Gilchrist enters the game for T. Graham,,91-85,,
8:21.0,,,91-85,,T. Harris misses free throw 2 of 2
8:17.0,Defensive rebound by F. Kaminsky,,91-85,,
8:02.0,M. Kidd-Gilchrist misses 2-pt shot from 18 ft,,91-85,,
7:58.0,,,91-85,,Defensive rebound by I. Smith
7:51.0,,,91-85,,Turnover by T. Harris (lost ball; steal by F. Kaminsky)
7:44.0,J. Lamb makes 2-pt shot from 2 ft (assist by K. Walker),2,93-85,,
7:44.0,Shooting foul by A. Tolliver (drawn by J. Lamb),,93-85,,
7:44.0,M. Williams enters the game for J. O'Bryant,,93-85,,
7:44.0,J. Lamb makes free throw 1 of 1,1,94-85,,
7:33.0,,,94-85,,T. Harris misses 3-pt shot from 25 ft
7:29.0,Defensive rebound by K. Walker,,94-85,,
7:23.0,K. Walker makes 2-pt shot from 14 ft,2,96-85,,
7:22.0,,,96-85,,Detroit full timeout
7:22.0,,,96-85,,A. Drummond enters the game for A. Tolliver
7:10.0,,,96-87,2,T. Harris makes 2-pt shot from 2 ft
7:10.0,,,96-87,,Shooting foul by F. Kaminsky (drawn by T. Harris)
7:10.0,D. Howard enters the game for F. Kaminsky,,96-87,,
7:10.0,,,96-88,1,T. Harris makes free throw 1 of 1
6:57.0,K. Walker makes 2-pt shot from 2 ft,2,98-88,,
6:42.0,N. Batum enters the game for J. Lamb,,98-88,,
6:38.0,,,98-88,,Turnover by A. Bradley (traveling)
6:18.0,K. Walker misses 3-pt shot from 25 ft,,98-88,,
6:17.0,,,98-88,,Defensive rebound by Team
6:06.0,,,98-88,,A. Bradley misses 2-pt shot from 3 ft
6:06.0,Defensive rebound by Team,,98-88,,
5:55.0,M. Kidd-Gilchrist makes 2-pt shot from 12 ft (assist by K. Walker),2,100-88,,
5:36.0,Jump ball: A. Bradley vs. N. Batum (M. Williams gains possession),,,,Jump ball: A. Bradley vs. N. Batum (M. Williams gains possession)
5:36.0,,,100-88,,Turnover by A. Bradley (turnover; steal by N. Batum)
5:25.0,D. Howard makes 2-pt shot from 2 ft (assist by K. Walker),2,102-88,,
5:25.0,Shooting foul by T. Harris (drawn by D. Howard),,102-88,,
5:25.0,D. Howard makes free throw 1 of 1,1,103-88,,
5:10.0,,,103-88,,A. Drummond misses 2-pt shot from 5 ft
5:08.0,Defensive rebound by N. Batum,,103-88,,
4:58.0,K. Walker makes 3-pt shot from 27 ft,3,106-88,,
4:57.0,,,106-88,,Detroit full timeout
4:47.0,Personal foul by N. Batum (drawn by A. Bradley),,106-88,,
4:32.0,,,106-91,2,T. Harris makes 3-pt shot from 27 ft (assist by A. Drummond)
4:14.0,M. Kidd-Gilchrist misses 2-pt shot from 10 ft,,106-91,,
4:12.0,,,106-91,,Defensive rebound by T. Harris
4:07.0,,,106-94,3,T. Harris makes 3-pt shot from 26 ft (assist by I. Smith)
3:53.0,Turnover by K. Walker (bad pass; steal by I. Smith),,106-94,,
3:49.0,,,106-97,3,A. Bradley makes 3-pt shot from 24 ft (assist by I. Smith)
3:47.0,Charlotte full timeout,,106-97,,
3:29.0,N. Batum misses 2-pt shot from 16 ft,,106-97,,
3:28.0,,,106-97,,Defensive rebound by T. Harris
3:19.0,,,106-97,,A. Bradley misses 2-pt shot from 12 ft
3:14.0,Defensive rebound by M. Williams,,106-97,,
3:05.0,D. Howard makes 2-pt shot from 1 ft (assist by K. Walker),2,108-97,,
2:43.0,,,108-97,,A. Drummond misses 2-pt shot from 3 ft (block by D. Howard)
2:39.0,Defensive rebound by M. Kidd-Gilchrist,,108-97,,
2:36.0,K. Walker misses 2-pt shot from 3 ft,,108-97,,
2:34.0,Offensive rebound by K. Walker,,108-97,,
2:23.0,,,108-97,,Personal foul by L. Kennard (drawn by N. Batum)
2:23.0,N. Batum makes free throw 1 of 2,1,109-97,,
2:23.0,N. Batum makes free throw 2 of 2,1,110-97,,
2:15.0,,,110-97,,A. Bradley misses 3-pt shot from 28 ft
