time,Houston,pts.away,score,pts.home,Memphis
4:42.0,,,51-40,3,M. Gasol makes 3-pt shot from 26 ft (assist by C. Parsons)
4:25.0,C. Paul misses 2-pt shot from 14 ft,,51-40,,
4:24.0,,,51-40,,Defensive rebound by Team
4:24.0,C. Capela enters the game for T. Black,,51-40,,
4:09.0,,,51-43,3,J. Green makes 3-pt shot from 25 ft (assist by M. Gasol)
3:58.0,Offensive charge foul by C. Paul (drawn by M. Chalmers),,51-43,,
3:58.0,Turnover by C. Paul (offensive foul),,51-43,,
3:44.0,,,51-45,2,M. Gasol makes 2-pt shot at rim (assist by M. Chalmers)
3:41.0,Houston full timeout,,51-45,,
3:41.0,,,51-45,,T. Evans enters the game for C. Parsons
3:22.0,J. Harden misses 2-pt shot from 11 ft,,51-45,,
3:20.0,Offensive rebound by P. Tucker,,51-45,,
3:07.0,J. Harden misses 2-pt shot at rim,,51-45,,
3:03.0,,,51-45,,Defensive rebound by M. Chalmers
3:02.0,,,51-45,,Shooting foul by C. Paul (drawn by D. Brooks)
3:02.0,,,51-45,,D. Brooks misses free throw 1 of 2
3:02.0,,,51-45,,Offensive rebound by Team
3:02.0,E. Gordon enters the game for C. Paul,,51-45,,
3:02.0,,,51-46,1,D. Brooks makes free throw 2 of 2
2:42.0,Turnover by J. Harden (bad pass),,51-46,,
2:30.0,,,51-46,,M. Gasol misses 3-pt shot from 25 ft
2:28.0,,,51-46,,Offensive rebound by J. Green
2:23.0,,,51-49,3,J. Green makes 3-pt shot from 23 ft (assist by M. Gasol)
2:07.0,Shooting foul by M. Chalmers (drawn by E. Gordon),,51-49,,
2:07.0,E. Gordon makes free throw 1 of 2,1,52-49,,
2:07.0,E. Gordon makes free throw 2 of 2,1,53-49,,
1:54.0,,,53-49,,M. Chalmers misses 3-pt shot from 25 ft
1:50.0,Defensive rebound by P. Tucker,,53-49,,
1:43.0,,,53-49,,Personal foul by J. Green (drawn by J. Harden)
1:39.0,E. Gordon misses 3-pt shot from 25 ft,,53-49,,
1:34.0,,,53-49,,Defensive rebound by T. Evans
1:19.0,,,53-49,,T. Evans misses 3-pt shot from 27 ft
1:16.0,Defensive rebound by C. Capela,,53-49,,
1:08.0,E. Gordon makes 3-pt shot from 26 ft,3,56-49,,
1:07.0,Shooting foul by M. Chalmers (drawn by E. Gordon),,56-49,,
1:07.0,E. Gordon makes free throw 1 of 1,1,57-49,,
0:47.0,,,57-49,,Turnover by T. Evans (lost ball; steal by J. Harden)
0:43.0,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden),2,59-49,,
0:40.0,,,59-49,,Memphis full timeout
0:24.0,,,59-49,,T. Evans misses 2-pt shot from 1 ft (block by L. Mbah a Moute)
0:24.0,Defensive rebound by C. Capela,,59-49,,
0:24.0,Turnover by C. Capela (step out of bounds),,59-49,,
0:01.0,,,59-49,,Shooting foul by P. Tucker (drawn by J. Green)
0:01.0,,,59-50,1,J. Green makes free throw 1 of 2
0:01.0,,,59-50,,J. Green misses free throw 2 of 2
0:00.0,Defensive rebound by P. Tucker,,59-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,T. Ariza misses 3-pt shot from 24 ft,,59-50,,
11:44.0,,,59-50,,Defensive rebound by J. Green
11:34.0,Personal foul by J. Harden (drawn by C. Parsons),,59-50,,
11:24.0,,,59-50,,M. Chalmers misses 2-pt shot from 6 ft
11:21.0,,,59-50,,Offensive rebound by J. Green
11:20.0,,,59-52,2,J. Green makes 2-pt shot at rim
11:09.0,Turnover by C. Paul (bad pass; steal by M. Chalmers),,59-52,,
10:58.0,,,59-52,,Turnover by M. Chalmers (bad pass; steal by C. Paul)
10:49.0,C. Capela makes 2-pt shot from 1 ft (assist by T. Ariza),2,61-52,,
10:24.0,Away from play foul by R. Anderson (drawn by M. Chalmers),,61-52,,
10:24.0,,,61-53,1,M. Chalmers makes free throw 1 of 1
10:12.0,,,61-53,,Turnover by D. Brooks (lost ball; steal by J. Harden)
10:04.0,C. Capela makes 2-pt shot at rim (assist by R. Anderson),2,63-53,,
9:41.0,,,63-55,2,M. Gasol makes 2-pt shot from 11 ft (assist by M. Chalmers)
9:25.0,C. Paul makes 2-pt shot from 1 ft,2,65-55,,
9:02.0,,,65-55,,M. Chalmers misses 3-pt shot from 25 ft
9:00.0,,,65-55,,Offensive rebound by J. Green
9:00.0,,,65-57,2,J. Green makes 2-pt shot at rim
8:36.0,J. Harden makes 3-pt shot from 25 ft,3,68-57,,
8:12.0,,,68-57,,M. Gasol misses 2-pt shot at rim
8:12.0,Defensive rebound by Team,,68-57,,
7:56.0,Turnover by R. Anderson (lost ball; steal by M. Chalmers),,68-57,,
7:51.0,,,68-59,2,C. Parsons makes 2-pt shot from 1 ft (assist by D. Brooks)
7:38.0,Offensive foul by J. Harden (drawn by D. Brooks),,68-59,,
7:38.0,Turnover by J. Harden (offensive foul),,68-59,,
7:27.0,Personal foul by C. Capela (drawn by M. Gasol),,68-59,,
7:15.0,,,68-62,3,M. Chalmers makes 3-pt shot from 22 ft (assist by M. Gasol)
6:53.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,70-62,,
6:24.0,,,70-64,2,M. Gasol makes 2-pt shot from 6 ft
6:08.0,C. Paul misses 2-pt shot from 12 ft,,70-64,,
6:05.0,,,70-64,,Defensive rebound by J. Green
5:55.0,,,70-64,,M. Gasol misses 3-pt shot from 25 ft
5:52.0,Defensive rebound by R. Anderson,,70-64,,
5:44.0,C. Paul makes 3-pt shot from 22 ft (assist by J. Harden),3,73-64,,
5:23.0,,,73-64,,Turnover by M. Chalmers (bad pass; steal by J. Harden)
5:19.0,J. Harden makes 2-pt shot at rim,2,75-64,,
5:19.0,,,75-64,,Memphis full timeout
5:19.0,,,75-64,,T. Evans enters the game for J. Green
5:19.0,,,75-64,,B. McLemore enters the game for M. Chalmers
5:19.0,,,75-64,,J. Ennis enters the game for C. Parsons
5:19.0,P. Tucker enters the game for C. Capela,,75-64,,
5:19.0,L. Mbah a Moute enters the game for T. Ariza,,75-64,,
5:19.0,E. Gordon enters the game for R. Anderson,,75-64,,
5:19.0,N. Hilario enters the game for C. Paul,,75-64,,
5:04.0,,,75-64,,D. Brooks misses 3-pt shot from 25 ft
5:02.0,Defensive rebound by N. Hilario,,75-64,,
4:58.0,E. Gordon misses 3-pt shot from 22 ft,,75-64,,
4:54.0,,,75-64,,Defensive rebound by M. Gasol
4:42.0,,,75-64,,Turnover by B. McLemore (out of bounds lost ball)
4:30.0,J. Harden makes 3-pt shot from 25 ft (assist by N. Hilario),3,78-64,,
4:09.0,,,78-64,,M. Gasol misses 2-pt shot from 19 ft
4:07.0,Defensive rebound by J. Harden,,78-64,,
4:00.0,J. Harden misses 3-pt shot from 25 ft,,78-64,,
3:57.0,,,78-64,,Defensive rebound by M. Gasol
3:51.0,,,78-66,2,M. Gasol makes 2-pt shot from 1 ft (assist by T. Evans)
