time,Miami,pts.away,score,pts.home,Brooklyn
10:07.0,,,27-24,,Defensive rebound by J. Harris
10:01.0,,,27-24,,Turnover by D. Russell (bad pass; steal by W. Ellington)
9:55.0,Turnover by J. Winslow (lost ball; steal by C. LeVert),,27-24,,
9:41.0,,,27-24,,D. Russell misses 3-pt shot from 24 ft
9:38.0,Defensive rebound by B. Adebayo,,27-24,,
9:30.0,Shooting foul by J. Okafor (drawn by K. Olynyk),,27-24,,
9:30.0,K. Olynyk makes free throw 1 of 2,1,28-24,,
9:30.0,K. Olynyk makes free throw 2 of 2,1,29-24,,
9:25.0,,,29-24,,C. LeVert misses 2-pt shot from 1 ft
9:25.0,Defensive rebound by Team,,29-24,,
9:07.0,Turnover by K. Olynyk (turnover),,29-24,,
8:49.0,,,29-24,,C. LeVert misses 2-pt shot from 8 ft
8:47.0,Defensive rebound by J. Richardson,,29-24,,
8:45.0,Turnover by W. Ellington (out of bounds lost ball),,29-24,,
8:26.0,,,29-26,2,J. Harris makes 2-pt shot from 1 ft
8:05.0,W. Ellington makes 2-pt shot from 20 ft (assist by B. Adebayo),2,31-26,,
7:43.0,,,31-28,2,J. Okafor makes 2-pt shot from 5 ft
7:29.0,K. Olynyk makes 2-pt shot at rim (assist by J. Richardson),2,33-28,,
7:29.0,,,33-28,,Brooklyn full timeout
7:29.0,,,33-28,,R. Hollis-Jefferson enters the game for D. Russell
7:29.0,,,33-28,,A. Crabbe enters the game for Q. Acy
7:08.0,,,33-30,2,J. Okafor makes 2-pt shot from 5 ft (assist by J. Harris)
6:53.0,Shooting foul by J. Okafor (drawn by B. Adebayo),,33-30,,
6:53.0,B. Adebayo makes free throw 1 of 2,1,34-30,,
6:53.0,B. Adebayo makes free throw 2 of 2,1,35-30,,
6:39.0,,,35-30,,R. Hollis-Jefferson misses 2-pt shot from 8 ft
6:35.0,Defensive rebound by K. Olynyk,,35-30,,
6:29.0,W. Ellington makes 3-pt shot from 24 ft (assist by J. Richardson),3,38-30,,
6:20.0,Personal foul by W. Ellington (drawn by J. Harris),,38-30,,
6:20.0,,,38-30,,S. Dinwiddie enters the game for J. Harris
6:20.0,,,38-30,,D. Carroll enters the game for C. LeVert
6:20.0,H. Whiteside enters the game for J. Richardson,,38-30,,
6:20.0,G. Dragic enters the game for B. Adebayo,,38-30,,
6:14.0,,,38-30,,Offensive foul by J. Okafor (drawn by G. Dragic)
6:14.0,,,38-30,,Turnover by J. Okafor (offensive foul)
5:59.0,Shooting foul by S. Dinwiddie (drawn by G. Dragic),,38-30,,
5:59.0,G. Dragic misses free throw 1 of 2,,38-30,,
5:59.0,Offensive rebound by Team,,38-30,,
5:59.0,G. Dragic makes free throw 2 of 2,1,39-30,,
5:47.0,,,39-32,2,S. Dinwiddie makes 2-pt shot from 1 ft
5:41.0,G. Dragic misses 2-pt shot from 3 ft (block by J. Okafor),,39-32,,
5:41.0,Offensive rebound by Team,,39-32,,
5:30.0,J. Winslow makes 3-pt shot from 22 ft (assist by K. Olynyk),3,42-32,,
5:06.0,,,42-32,,Turnover by S. Dinwiddie (bad pass; steal by W. Ellington)
5:01.0,J. Winslow misses 2-pt shot from 1 ft,,42-32,,
4:58.0,,,42-32,,Defensive rebound by J. Okafor
4:48.0,,,42-34,2,A. Crabbe makes 2-pt shot from 9 ft
4:33.0,W. Ellington misses 3-pt shot from 24 ft,,42-34,,
4:31.0,,,42-34,,Defensive rebound by J. Okafor
4:28.0,,,42-34,,Brooklyn full timeout
4:28.0,,,42-34,,J. Allen enters the game for J. Okafor
4:17.0,,,42-34,,S. Dinwiddie misses 2-pt shot from 6 ft (block by H. Whiteside)
4:14.0,Defensive rebound by J. Winslow,,42-34,,
4:00.0,H. Whiteside makes 2-pt shot from 1 ft (assist by G. Dragic),2,44-34,,
3:35.0,,,44-34,,R. Hollis-Jefferson misses 2-pt shot from 16 ft (block by K. Olynyk)
3:32.0,Defensive rebound by W. Ellington,,44-34,,
3:21.0,W. Ellington makes 2-pt shot from 15 ft,2,46-34,,
2:56.0,,,46-34,,D. Carroll misses 2-pt shot from 7 ft
2:54.0,,,46-34,,Offensive rebound by D. Carroll
2:52.0,,,46-36,2,D. Carroll makes 2-pt shot from 1 ft
2:30.0,Turnover by W. Ellington (lost ball; steal by D. Carroll),,46-36,,
2:26.0,,,46-38,2,D. Carroll makes 2-pt shot from 1 ft
2:05.0,H. Whiteside makes 2-pt shot at rim,2,48-38,,
2:04.0,,,48-38,,Brooklyn full timeout
2:04.0,J. Richardson enters the game for W. Ellington,,48-38,,
2:04.0,J. Johnson enters the game for K. Olynyk,,48-38,,
1:48.0,,,48-38,,A. Crabbe misses 2-pt shot from 16 ft
1:46.0,Defensive rebound by J. Johnson,,48-38,,
1:36.0,Offensive foul by G. Dragic (drawn by S. Dinwiddie),,48-38,,
1:36.0,Turnover by G. Dragic (offensive foul),,48-38,,
1:36.0,,,48-38,,Q. Acy enters the game for J. Allen
1:36.0,W. Ellington enters the game for G. Dragic,,48-38,,
1:20.0,Personal foul by J. Winslow (drawn by R. Hollis-Jefferson),,48-38,,
1:18.0,Personal foul by J. Johnson (drawn by R. Hollis-Jefferson),,48-38,,
1:18.0,,,48-39,1,R. Hollis-Jefferson makes free throw 1 of 2
1:18.0,G. Dragic enters the game for J. Winslow,,48-39,,
1:18.0,,,48-39,,R. Hollis-Jefferson misses free throw 2 of 2
1:15.0,Defensive rebound by G. Dragic,,48-39,,
1:04.0,G. Dragic misses 2-pt shot from 2 ft,,48-39,,
1:01.0,,,48-39,,Defensive rebound by D. Carroll
0:59.0,,,48-41,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by D. Carroll)
0:39.0,G. Dragic misses 2-pt shot from 2 ft (block by R. Hollis-Jefferson),,48-41,,
0:39.0,Offensive rebound by Team,,48-41,,
0:34.0,J. Richardson makes 3-pt shot from 25 ft (assist by H. Whiteside),3,51-41,,
0:24.0,,,51-43,2,S. Dinwiddie makes 2-pt shot at rim
0:02.0,G. Dragic makes 2-pt shot from 15 ft,2,53-43,,
0:00.0,,,53-43,,S. Dinwiddie misses 3-pt shot from 44 ft
0:00.0,,,53-43,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,53-43,,D. Carroll misses 3-pt shot from 24 ft
11:37.0,,,53-43,,Offensive rebound by T. Zeller
11:20.0,,,53-43,,Turnover by S. Dinwiddie (lost ball; steal by J. Richardson)
11:18.0,Shooting foul by A. Crabbe (drawn by J. Richardson),,53-43,,
11:18.0,J. Richardson makes free throw 1 of 2,1,54-43,,
11:18.0,J. Richardson makes free throw 2 of 2,1,55-43,,
11:05.0,,,55-43,,A. Crabbe misses 3-pt shot from 24 ft
11:03.0,Defensive rebound by H. Whiteside,,55-43,,
10:52.0,H. Whiteside makes 2-pt shot from 14 ft (assist by J. Richardson),2,57-43,,
10:29.0,,,57-45,2,T. Zeller makes 2-pt shot from 1 ft (assist by R. Hollis-Jefferson)
10:08.0,D. Jones misses 2-pt shot from 6 ft (block by A. Crabbe),,57-45,,
10:06.0,,,57-45,,Defensive rebound by A. Crabbe
10:02.0,,,57-48,3,D. Carroll makes 3-pt shot from 24 ft (assist by S. Dinwiddie)
9:41.0,J. Richardson makes 2-pt shot from 1 ft (assist by J. Johnson),2,59-48,,
9:33.0,,,59-48,,Turnover by D. Carroll (bad pass)
9:25.0,J. Johnson makes 3-pt shot from 24 ft (assist by G. Dragic),3,62-48,,
9:03.0,,,62-48,,S. Dinwiddie misses 3-pt shot from 24 ft
9:02.0,Defensive rebound by G. Dragic,,62-48,,
8:53.0,G. Dragic makes 2-pt shot from 22 ft (assist by J. Johnson),2,64-48,,
8:32.0,,,64-51,3,S. Dinwiddie makes 3-pt shot from 24 ft (assist by A. Crabbe)
8:17.0,G. Dragic misses 2-pt shot from 12 ft,,64-51,,
8:13.0,,,64-51,,Defensive rebound by T. Zeller
8:06.0,Personal foul by D. Jones (drawn by R. Hollis-Jefferson),,64-51,,
8:06.0,,,64-51,,Q. Acy enters the game for T. Zeller
7:54.0,,,64-51,,S. Dinwiddie misses 3-pt shot from 25 ft
7:51.0,Defensive rebound by J. Johnson,,64-51,,
7:47.0,Shooting foul by S. Dinwiddie (drawn by G. Dragic),,64-51,,
7:47.0,G. Dragic makes free throw 1 of 2,1,65-51,,
7:47.0,G. Dragic makes free throw 2 of 2,1,66-51,,
7:35.0,Violation by D. Jones (kicked ball),,66-51,,
7:35.0,,,66-51,,C. LeVert enters the game for S. Dinwiddie
7:30.0,,,66-51,,R. Hollis-Jefferson misses 2-pt shot from 17 ft
7:28.0,,,66-51,,Offensive rebound by D. Carroll
7:26.0,,,66-53,2,D. Carroll makes 2-pt shot from 1 ft
7:12.0,,,66-53,,Shooting block foul by Q. Acy (drawn by G. Dragic)
7:12.0,G. Dragic makes free throw 1 of 2,1,67-53,,
7:12.0,G. Dragic misses free throw 2 of 2,,67-53,,
7:07.0,Offensive rebound by G. Dragic,,67-53,,
6:44.0,J. Richardson misses 3-pt shot from 28 ft,,67-53,,
6:44.0,,,67-53,,Defensive rebound by Team
6:44.0,Loose ball foul by D. Jones (drawn by A. Crabbe),,67-53,,
6:44.0,,,67-53,,Brooklyn full timeout
6:33.0,,,67-53,,C. LeVert misses 3-pt shot from 24 ft
6:30.0,Defensive rebound by G. Dragic,,67-53,,
6:16.0,J. Richardson misses 3-pt shot from 24 ft,,67-53,,
6:12.0,,,67-53,,Defensive rebound by A. Crabbe
6:09.0,,,67-53,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
6:06.0,Defensive rebound by J. Johnson,,67-53,,
5:53.0,H. Whiteside misses 2-pt shot from 5 ft (block by R. Hollis-Jefferson),,67-53,,
5:53.0,Offensive rebound by Team,,67-53,,
5:53.0,,,67-53,,J. Harris enters the game for A. Crabbe
5:53.0,W. Ellington enters the game for J. Richardson,,67-53,,
5:51.0,H. Whiteside makes 2-pt shot from 10 ft (assist by G. Dragic),2,69-53,,
5:22.0,,,69-55,2,D. Carroll makes 2-pt shot from 1 ft
5:08.0,H. Whiteside misses 2-pt shot from 7 ft,,69-55,,
5:06.0,,,69-55,,Defensive rebound by C. LeVert
4:45.0,,,69-55,,C. LeVert misses 3-pt shot from 25 ft
4:41.0,Defensive rebound by H. Whiteside,,69-55,,
4:18.0,J. Johnson misses 2-pt shot from 7 ft,,69-55,,
4:18.0,,,69-55,,Defensive rebound by Team
4:18.0,Loose ball foul by J. Johnson (drawn by Q. Acy),,69-55,,
4:18.0,,,69-55,,D. Russell enters the game for R. Hollis-Jefferson
4:07.0,,,69-58,3,Q. Acy makes 3-pt shot from 25 ft (assist by D. Russell)
4:05.0,Miami full timeout,,69-58,,
3:50.0,H. Whiteside misses 2-pt shot from 7 ft,,69-58,,
3:47.0,Offensive rebound by H. Whiteside,,69-58,,
3:47.0,H. Whiteside misses 2-pt shot at rim,,69-58,,
3:47.0,Offensive rebound by Team,,69-58,,
3:45.0,W. Ellington misses 3-pt shot from 22 ft,,69-58,,
3:42.0,Offensive rebound by D. Jones,,69-58,,
3:39.0,,,69-58,,Personal foul by J. Harris (drawn by W. Ellington)
3:30.0,G. Dragic misses 2-pt shot from 13 ft,,69-58,,
3:26.0,,,69-58,,Defensive rebound by C. LeVert
3:12.0,,,69-58,,Shooting foul by H. Whiteside (drawn by C. LeVert)
3:12.0,,,69-59,1,C. LeVert makes free throw 1 of 2
3:12.0,J. Richardson enters the game for G. Dragic,,69-59,,
3:12.0,,,69-60,1,C. LeVert makes free throw 2 of 2
2:56.0,J. Johnson misses 3-pt shot from 24 ft,,69-60,,
2:53.0,Offensive rebound by J. Richardson,,69-60,,
2:53.0,Turnover by J. Richardson (out of bounds lost ball),,69-60,,
2:53.0,,,69-60,,R. Hollis-Jefferson enters the game for D. Carroll
2:53.0,K. Olynyk enters the game for D. Jones,,69-60,,
2:53.0,B. Adebayo enters the game for J. Johnson,,69-60,,
2:53.0,J. Winslow enters the game for H. Whiteside,,69-60,,
2:37.0,Personal foul by W. Ellington (drawn by D. Russell),,69-60,,
2:37.0,,,69-60,,D. Russell misses free throw 1 of 2
2:37.0,,,69-60,,Offensive rebound by Team
2:37.0,,,69-61,1,D. Russell makes free throw 2 of 2
2:22.0,B. Adebayo misses 2-pt shot from 4 ft (block by Q. Acy),,69-61,,
2:19.0,,,69-61,,Defensive rebound by Q. Acy
2:14.0,,,69-61,,D. Russell misses 3-pt shot from 26 ft
2:10.0,Defensive rebound by K. Olynyk,,69-61,,
1:51.0,J. Winslow misses 2-pt shot from 15 ft,,69-61,,
1:49.0,,,69-61,,Defensive rebound by R. Hollis-Jefferson
1:41.0,,,69-63,2,J. Harris makes 2-pt shot from 20 ft (assist by C. LeVert)
1:14.0,Offensive charge foul by J. Richardson (drawn by Q. Acy),,69-63,,
1:14.0,Turnover by J. Richardson (offensive foul),,69-63,,
1:01.0,Personal block foul by K. Olynyk (drawn by J. Harris),,69-63,,
1:01.0,,,69-64,1,J. Harris makes free throw 1 of 2
1:01.0,,,69-65,1,J. Harris makes free throw 2 of 2
0:38.0,K. Olynyk misses 2-pt shot from 10 ft,,69-65,,
0:37.0,Offensive rebound by J. Richardson,,69-65,,
0:36.0,J. Richardson misses 2-pt shot from 1 ft,,69-65,,
0:36.0,,,69-65,,Defensive rebound by R. Hollis-Jefferson
0:21.0,,,69-65,,R. Hollis-Jefferson misses 2-pt shot from 3 ft (block by W. Ellington)
0:18.0,,,69-65,,Offensive rebound by Q. Acy
0:17.0,,,69-67,2,R. Hollis-Jefferson makes 2-pt shot at rim (assist by D. Russell)
0:17.0,Miami full timeout,,69-67,,
0:17.0,,,69-67,,S. Dinwiddie enters the game for D. Russell
0:17.0,,,69-67,,J. Allen enters the game for Q. Acy
0:05.0,W. Ellington misses 3-pt shot from 24 ft,,69-67,,
0:02.0,,,69-67,,Defensive rebound by J. Allen
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,W. Ellington makes 3-pt shot from 22 ft (assist by K. Olynyk),3,72-67,,
11:32.0,,,72-67,,Shooting foul by B. Adebayo (drawn by R. Hollis-Jefferson)
11:32.0,,,72-68,1,R. Hollis-Jefferson makes free throw 1 of 2
11:32.0,,,72-69,1,R. Hollis-Jefferson makes free throw 2 of 2
11:21.0,,,72-69,,Personal foul by J. Harris (drawn by W. Ellington)
11:14.0,W. Ellington misses 3-pt shot from 25 ft,,72-69,,
11:11.0,,,72-69,,Defensive rebound by J. Allen
11:03.0,,,72-69,,D. Russell misses 2-pt shot from 1 ft
11:00.0,Defensive rebound by K. Olynyk,,72-69,,
10:56.0,J. Winslow makes 2-pt shot from 1 ft (assist by K. Olynyk),2,74-69,,
10:39.0,,,74-69,,Shooting foul by W. Ellington (drawn by C. LeVert)
10:39.0,,,74-70,1,C. LeVert makes free throw 1 of 2
10:39.0,,,74-70,,S. Dinwiddie enters the game for D. Russell
10:39.0,,,74-70,,C. LeVert misses free throw 2 of 2
10:36.0,,,74-70,,Offensive rebound by J. Allen
10:25.0,,,74-72,2,J. Allen makes 2-pt shot from 1 ft (assist by C. LeVert)
10:15.0,B. Adebayo makes 2-pt shot at rim,2,76-72,,
9:52.0,,,76-74,2,C. LeVert makes 2-pt shot from 5 ft
9:44.0,Shooting foul by J. Allen (drawn by B. Adebayo),,76-74,,
9:44.0,B. Adebayo makes free throw 1 of 2,1,77-74,,
9:44.0,,,77-74,,A. Crabbe enters the game for J. Harris
9:44.0,B. Adebayo misses free throw 2 of 2,,77-74,,
9:42.0,,,77-74,,Defensive rebound by J. Allen
9:18.0,,,77-76,2,J. Allen makes 2-pt shot at rim (assist by A. Crabbe)
9:05.0,B. Adebayo misses 2-pt shot from 5 ft,,77-76,,
9:02.0,,,77-76,,Defensive rebound by J. Allen
8:57.0,,,77-79,3,C. LeVert makes 3-pt shot from 23 ft
8:56.0,Miami full timeout,,77-79,,
8:43.0,B. Adebayo makes 2-pt shot from 1 ft (assist by J. Richardson),2,79-79,,
8:27.0,,,79-79,,S. Dinwiddie misses 3-pt shot from 25 ft
8:26.0,Defensive rebound by J. Winslow,,79-79,,
8:11.0,J. Richardson misses 2-pt shot from 14 ft,,79-79,,
8:06.0,,,79-79,,Defensive rebound by S. Dinwiddie
8:03.0,Personal foul by W. Ellington (drawn by S. Dinwiddie),,79-79,,
7:58.0,,,79-79,,C. LeVert misses 3-pt shot from 25 ft
7:54.0,Defensive rebound by J. Winslow,,79-79,,
7:38.0,Turnover by B. Adebayo (bad pass; steal by C. LeVert),,79-79,,
7:38.0,Personal foul by J. Winslow (drawn by C. LeVert),,79-79,,
7:38.0,,,79-79,,D. Carroll enters the game for C. LeVert
7:38.0,G. Dragic enters the game for W. Ellington,,79-79,,
7:38.0,H. Whiteside enters the game for B. Adebayo,,79-79,,
7:27.0,,,79-79,,R. Hollis-Jefferson misses 2-pt shot from 5 ft (block by H. Whiteside)
7:25.0,Defensive rebound by H. Whiteside,,79-79,,
7:18.0,K. Olynyk misses 3-pt shot from 25 ft,,79-79,,
7:16.0,,,79-79,,Defensive rebound by A. Crabbe
7:05.0,,,79-81,2,A. Crabbe makes 2-pt shot from 6 ft (assist by R. Hollis-Jefferson)
6:52.0,J. Richardson makes 2-pt shot from 2 ft (assist by G. Dragic),2,81-81,,
6:42.0,,,81-81,,A. Crabbe misses 3-pt shot from 22 ft
6:39.0,Defensive rebound by J. Richardson,,81-81,,
6:27.0,H. Whiteside makes 2-pt shot from 6 ft (assist by J. Richardson),2,83-81,,
6:26.0,,,83-81,,Brooklyn full timeout
6:26.0,,,83-81,,Q. Acy enters the game for J. Allen
6:16.0,,,83-81,,A. Crabbe misses 3-pt shot from 22 ft
6:14.0,Defensive rebound by K. Olynyk,,83-81,,
5:53.0,Jump ball: Q. Acy vs. H. Whiteside (G. Dragic gains possession),,,,Jump ball: Q. Acy vs. H. Whiteside (G. Dragic gains possession)
5:50.0,G. Dragic misses 3-pt shot from 28 ft (block by D. Carroll),,83-81,,
5:48.0,,,83-81,,Defensive rebound by S. Dinwiddie
5:48.0,,,83-81,,Turnover by S. Dinwiddie (bad pass)
5:39.0,G. Dragic misses 2-pt shot from 20 ft,,83-81,,
5:37.0,Offensive rebound by H. Whiteside,,83-81,,
5:37.0,Shooting foul by D. Carroll (drawn by H. Whiteside),,83-81,,
