time,Toronto,pts.away,score,pts.home,Portland
0:00.0,K. Lowry misses 2-pt shot at rim,,54-35,,
0:00.0,,,54-35,,Defensive rebound by J. Nurkic
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,Turnover by D. DeRozan (out of bounds lost ball),,54-35,,
11:32.0,,,54-37,2,C. McCollum makes 2-pt shot from 15 ft
11:14.0,K. Lowry misses 2-pt shot from 1 ft,,54-37,,
11:11.0,,,54-37,,Defensive rebound by J. Nurkic
11:04.0,,,54-37,,D. Lillard misses 3-pt shot from 25 ft
11:01.0,Defensive rebound by L. Nogueira,,54-37,,
10:41.0,P. Siakam makes 2-pt shot at rim (assist by L. Nogueira),2,56-37,,
10:26.0,,,56-39,2,J. Nurkic makes 2-pt shot from 1 ft (assist by C. McCollum)
10:05.0,P. Siakam makes 2-pt shot from 3 ft,2,58-39,,
9:49.0,,,58-39,,A. Aminu misses 3-pt shot from 24 ft
9:46.0,Defensive rebound by N. Powell,,58-39,,
9:40.0,L. Nogueira misses 2-pt shot from 3 ft (block by A. Aminu),,58-39,,
9:40.0,Offensive rebound by Team,,58-39,,
9:32.0,K. Lowry makes 2-pt shot from 1 ft,2,60-39,,
9:18.0,,,60-39,,C. McCollum misses 3-pt shot from 25 ft
9:15.0,Defensive rebound by L. Nogueira,,60-39,,
9:07.0,L. Nogueira makes 2-pt shot at rim (assist by K. Lowry),2,62-39,,
8:42.0,,,62-42,3,C. McCollum makes 3-pt shot from 24 ft (assist by A. Aminu)
8:29.0,Turnover by N. Powell (traveling),,62-42,,
8:17.0,,,62-44,2,C. McCollum makes 2-pt shot at rim
8:07.0,D. DeRozan misses 2-pt shot at rim (block by M. Harkless),,62-44,,
8:07.0,Offensive rebound by Team,,62-44,,
7:56.0,D. DeRozan misses 2-pt shot from 14 ft,,62-44,,
7:53.0,Personal take foul by D. DeRozan (drawn by D. Lillard),,62-44,,
7:52.0,,,62-44,,Defensive rebound by D. Lillard
7:43.0,,,62-44,,C. McCollum misses 3-pt shot from 24 ft
7:41.0,Defensive rebound by L. Nogueira,,62-44,,
7:21.0,N. Powell makes 3-pt shot from 24 ft (assist by K. Lowry),3,65-44,,
7:00.0,,,65-44,,J. Nurkic misses 2-pt shot from 22 ft
6:58.0,Defensive rebound by N. Powell,,65-44,,
6:44.0,N. Powell misses 3-pt shot from 22 ft,,65-44,,
6:43.0,,,65-44,,Defensive rebound by M. Harkless
6:37.0,,,65-44,,Shooting foul by L. Nogueira (drawn by D. Lillard)
6:37.0,,,65-44,,Portland full timeout
6:37.0,,,65-45,1,D. Lillard makes free throw 1 of 2
6:37.0,,,65-46,1,D. Lillard makes free throw 2 of 2
6:26.0,N. Powell makes 3-pt shot from 25 ft (assist by L. Nogueira),3,68-46,,
6:03.0,,,68-46,,J. Nurkic misses 2-pt shot from 2 ft
5:58.0,Defensive rebound by K. Lowry,,68-46,,
5:58.0,Turnover by K. Lowry (bad pass),,68-46,,
5:45.0,,,68-46,,A. Aminu misses 3-pt shot from 25 ft
5:42.0,Defensive rebound by P. Siakam,,68-46,,
5:36.0,L. Nogueira makes 2-pt shot at rim (assist by K. Lowry),2,70-46,,
5:15.0,,,70-46,,M. Harkless misses 2-pt shot from 6 ft
5:13.0,Defensive rebound by L. Nogueira,,70-46,,
4:58.0,P. Siakam misses 3-pt shot from 23 ft,,70-46,,
4:56.0,,,70-46,,Defensive rebound by A. Aminu
4:46.0,,,70-46,,Turnover by D. Lillard (bad pass; steal by P. Siakam)
4:30.0,L. Nogueira makes 2-pt shot at rim (assist by N. Powell),2,72-46,,
4:11.0,,,72-49,3,D. Lillard makes 3-pt shot from 30 ft (assist by M. Harkless)
3:56.0,P. Siakam makes 2-pt shot from 5 ft,2,74-49,,
3:38.0,,,74-52,3,D. Lillard makes 3-pt shot from 27 ft
3:16.0,N. Powell makes 2-pt shot from 1 ft,2,76-52,,
2:53.0,,,76-54,2,D. Lillard makes 2-pt shot from 1 ft
2:48.0,Toronto full timeout,,76-54,,
2:48.0,,,76-54,,E. Davis enters the game for J. Nurkic
2:48.0,,,76-54,,E. Turner enters the game for M. Harkless
2:48.0,C. Miles enters the game for K. Lowry,,76-54,,
2:48.0,D. Wright enters the game for N. Powell,,76-54,,
2:48.0,J. Poeltl enters the game for L. Nogueira,,76-54,,
2:39.0,D. DeRozan misses 2-pt shot from 1 ft,,76-54,,
2:35.0,,,76-54,,Defensive rebound by C. McCollum
2:30.0,,,76-54,,A. Aminu misses 3-pt shot from 22 ft
2:27.0,Defensive rebound by D. Wright,,76-54,,
2:17.0,J. Poeltl misses 2-pt shot at rim,,76-54,,
2:16.0,Offensive rebound by Team,,76-54,,
2:16.0,,,76-54,,P. Connaughton enters the game for C. McCollum
2:08.0,D. DeRozan misses 2-pt shot from 10 ft,,76-54,,
2:06.0,Offensive rebound by D. Wright,,76-54,,
2:06.0,D. Wright misses 2-pt shot at rim,,76-54,,
2:06.0,,,76-54,,Defensive rebound by Team
1:54.0,,,76-54,,Shooting foul by D. Wright (drawn by D. Lillard)
1:54.0,,,76-55,1,D. Lillard makes free throw 1 of 2
1:54.0,O. Anunoby enters the game for P. Siakam,,76-55,,
1:54.0,,,76-56,1,D. Lillard makes free throw 2 of 2
1:38.0,C. Miles makes 3-pt shot from 25 ft (assist by D. Wright),3,79-56,,
1:20.0,,,79-56,,D. Lillard misses 3-pt shot from 30 ft
1:19.0,Defensive rebound by J. Poeltl,,79-56,,
1:12.0,Shooting foul by E. Turner (drawn by D. DeRozan),,79-56,,
1:12.0,D. DeRozan makes free throw 1 of 2,1,80-56,,
1:12.0,D. DeRozan makes free throw 2 of 2,1,81-56,,
1:02.0,,,81-59,3,P. Connaughton makes 3-pt shot from 24 ft (assist by E. Turner)
0:47.0,O. Anunoby misses 2-pt shot from 1 ft,,81-59,,
0:44.0,,,81-59,,Defensive rebound by A. Aminu
0:40.0,,,81-59,,E. Turner misses 2-pt shot from 13 ft
0:37.0,Defensive rebound by C. Miles,,81-59,,
0:31.0,D. DeRozan misses 2-pt shot from 14 ft (block by E. Turner),,81-59,,
0:31.0,,,81-59,,Defensive rebound by E. Turner
0:22.0,,,81-61,2,D. Lillard makes 2-pt shot from 2 ft (assist by E. Turner)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,Personal foul by F. VanVleet (drawn by A. Aminu),,81-61,,
11:28.0,,,81-61,,D. Lillard misses 3-pt shot from 31 ft
11:27.0,Defensive rebound by Team,,81-61,,
11:17.0,C. Miles misses 3-pt shot from 25 ft,,81-61,,
11:14.0,,,81-61,,Defensive rebound by A. Aminu
11:08.0,,,81-63,2,D. Lillard makes 2-pt shot at rim
10:54.0,D. Wright makes 3-pt shot from 24 ft,3,84-63,,
10:39.0,Personal foul by J. Poeltl (drawn by D. Lillard),,84-63,,
10:39.0,,,84-63,,M. Harkless enters the game for A. Aminu
10:31.0,,,84-63,,D. Lillard misses 2-pt shot from 1 ft (block by J. Poeltl)
10:31.0,,,84-63,,Offensive rebound by Team
10:29.0,,,84-65,2,M. Harkless makes 2-pt shot from 1 ft (assist by E. Turner)
10:18.0,D. Wright makes 2-pt shot at rim,2,86-65,,
10:06.0,,,86-65,,Shooting foul by J. Poeltl (drawn by E. Davis)
10:06.0,,,86-66,1,E. Davis makes free throw 1 of 2
10:06.0,,,86-67,1,E. Davis makes free throw 2 of 2
9:45.0,D. Wright misses 2-pt shot from 1 ft,,86-67,,
9:43.0,,,86-67,,Defensive rebound by M. Harkless
9:34.0,,,86-67,,E. Turner misses 3-pt shot from 25 ft
9:32.0,,,86-67,,Offensive rebound by D. Lillard
9:24.0,,,86-69,2,D. Lillard makes 2-pt shot at rim
9:05.0,D. Wright misses 3-pt shot from 22 ft,,86-69,,
9:02.0,,,86-69,,Defensive rebound by E. Turner
8:57.0,,,86-69,,M. Harkless misses 2-pt shot from 1 ft
8:56.0,,,86-69,,Offensive rebound by M. Harkless
8:55.0,,,86-71,2,M. Harkless makes 2-pt shot at rim
8:55.0,Toronto full timeout,,86-71,,
8:55.0,K. Lowry enters the game for F. VanVleet,,86-71,,
8:55.0,L. Nogueira enters the game for J. Poeltl,,86-71,,
8:32.0,K. Lowry misses 3-pt shot from 24 ft,,86-71,,
8:29.0,,,86-71,,Defensive rebound by E. Davis
8:23.0,,,86-73,2,D. Lillard makes 2-pt shot from 15 ft
7:55.0,K. Lowry misses 2-pt shot from 14 ft,,86-73,,
7:53.0,Offensive rebound by L. Nogueira,,86-73,,
7:52.0,L. Nogueira makes 2-pt shot from 1 ft,2,88-73,,
7:39.0,,,88-73,,Turnover by D. Lillard (bad pass; steal by D. Wright)
7:31.0,O. Anunoby misses 3-pt shot from 22 ft,,88-73,,
7:28.0,,,88-73,,Defensive rebound by M. Harkless
7:18.0,,,88-75,2,D. Lillard makes 2-pt shot from 6 ft
7:03.0,Shooting foul by E. Davis (drawn by L. Nogueira),,88-75,,
7:03.0,L. Nogueira misses free throw 1 of 2,,88-75,,
7:03.0,Offensive rebound by Team,,88-75,,
7:03.0,D. DeRozan enters the game for C. Miles,,88-75,,
7:03.0,L. Nogueira makes free throw 2 of 2,1,89-75,,
6:44.0,,,89-75,,Turnover by E. Davis (lost ball; steal by O. Anunoby)
6:37.0,K. Lowry misses 2-pt shot from 1 ft,,89-75,,
6:35.0,,,89-75,,Defensive rebound by E. Davis
6:22.0,,,89-75,,M. Harkless misses 2-pt shot from 1 ft (block by L. Nogueira)
6:19.0,Defensive rebound by L. Nogueira,,89-75,,
6:09.0,K. Lowry misses 3-pt shot from 24 ft,,89-75,,
6:09.0,Offensive rebound by O. Anunoby,,89-75,,
6:02.0,O. Anunoby makes 2-pt shot at rim,2,91-75,,
5:40.0,,,91-77,2,E. Turner makes 2-pt shot from 3 ft
5:21.0,D. Wright misses 2-pt shot from 3 ft,,91-77,,
5:18.0,,,91-77,,Defensive rebound by E. Davis
5:08.0,,,91-77,,D. Lillard misses 2-pt shot from 1 ft
5:07.0,Defensive rebound by D. DeRozan,,91-77,,
4:46.0,Shooting foul by E. Davis (drawn by K. Lowry),,91-77,,
4:46.0,,,91-77,,Portland full timeout
4:46.0,,,91-77,,C. McCollum enters the game for M. Harkless
4:46.0,,,91-77,,A. Aminu enters the game for P. Connaughton
4:46.0,K. Lowry makes free throw 1 of 2,1,92-77,,
4:46.0,K. Lowry makes free throw 2 of 2,1,93-77,,
4:30.0,,,93-77,,D. Lillard misses 2-pt shot from 1 ft (block by L. Nogueira)
4:27.0,Defensive rebound by D. DeRozan,,93-77,,
4:21.0,Turnover by D. DeRozan (lost ball; steal by D. Lillard),,93-77,,
4:12.0,,,93-79,2,E. Davis makes 2-pt shot from 1 ft (assist by A. Aminu)
3:59.0,,,93-79,,Personal foul by C. McCollum (drawn by K. Lowry)
3:45.0,Turnover by Team (shot clock),,93-79,,
3:44.0,D. DeRozan misses 2-pt shot from 14 ft (block by E. Turner),,93-79,,
3:44.0,Offensive rebound by Team,,93-79,,
3:25.0,,,93-79,,Turnover by D. Lillard (lost ball; steal by D. Wright)
3:15.0,Turnover by L. Nogueira (lost ball; steal by E. Davis),,93-79,,
3:09.0,,,93-79,,C. McCollum misses 2-pt shot from 15 ft
3:05.0,Defensive rebound by K. Lowry,,93-79,,
3:01.0,Toronto full timeout,,93-79,,
2:56.0,D. DeRozan makes 2-pt shot from 15 ft,2,95-79,,
2:42.0,,,95-79,,C. McCollum misses 2-pt shot from 2 ft (block by L. Nogueira)
2:40.0,Defensive rebound by L. Nogueira,,95-79,,
2:30.0,O. Anunoby misses 3-pt shot from 22 ft,,95-79,,
2:26.0,,,95-79,,Defensive rebound by E. Davis
2:19.0,Jump ball: E. Turner vs. O. Anunoby (L. Nogueira gains possession),,,,Jump ball: E. Turner vs. O. Anunoby (L. Nogueira gains possession)
2:19.0,,,95-79,,Turnover by E. Turner (turnover; steal by O. Anunoby)
2:03.0,K. Lowry makes 2-pt shot from 21 ft,2,97-79,,
1:53.0,,,97-79,,Shooting foul by D. Wright (drawn by C. McCollum)
1:53.0,,,97-80,1,C. McCollum makes free throw 1 of 3
1:53.0,,,97-81,1,C. McCollum makes free throw 2 of 3
1:53.0,P. Siakam enters the game for O. Anunoby,,97-81,,
1:53.0,,,97-82,1,C. McCollum makes free throw 3 of 3
1:40.0,D. DeRozan misses 2-pt shot from 22 ft,,97-82,,
1:37.0,,,97-82,,Defensive rebound by A. Aminu
1:31.0,,,97-84,2,D. Lillard makes 2-pt shot from 2 ft
1:31.0,,,97-84,,Shooting foul by P. Siakam (drawn by D. Lillard)
1:31.0,,,97-85,1,D. Lillard makes free throw 1 of 1
1:15.0,D. DeRozan misses 2-pt shot from 1 ft,,97-85,,
1:12.0,,,97-85,,Defensive rebound by A. Aminu
1:04.0,,,97-85,,A. Aminu misses 3-pt shot from 23 ft
