time,Denver,pts.away,score,pts.home,Minnesota
5:20.0,Personal foul by G. Harris (drawn by J. Butler),,9-19,,
5:15.0,,,9-21,2,J. Butler makes 2-pt shot from 18 ft (assist by K. Towns)
4:54.0,Turnover by T. Lyles (lost ball; steal by J. Teague),,9-21,,
4:51.0,,,9-21,,Shooting foul by W. Barton (drawn by J. Butler)
4:51.0,,,9-22,1,J. Butler makes free throw 1 of 2
4:51.0,,,9-22,,G. Dieng enters the game for K. Towns
4:51.0,T. Craig enters the game for J. Murray,,9-22,,
4:51.0,,,9-23,1,J. Butler makes free throw 2 of 2
4:35.0,T. Lyles makes 3-pt shot from 25 ft (assist by N. Jokic),3,12-23,,
4:16.0,,,12-25,2,J. Butler makes 2-pt shot from 8 ft
4:00.0,N. Jokic makes 3-pt shot from 25 ft (assist by W. Barton),3,15-25,,
3:42.0,,,15-25,,J. Teague misses 3-pt shot from 25 ft
3:40.0,Defensive rebound by T. Lyles,,15-25,,
3:36.0,W. Barton makes 3-pt shot from 25 ft (assist by G. Harris),3,18-25,,
3:19.0,,,18-28,3,A. Wiggins makes 3-pt shot from 24 ft (assist by G. Dieng)
3:04.0,N. Jokic misses 3-pt shot from 26 ft,,18-28,,
3:01.0,,,18-28,,Defensive rebound by J. Butler
2:55.0,,,18-28,,J. Butler misses 2-pt shot from 3 ft
2:53.0,Defensive rebound by T. Lyles,,18-28,,
2:48.0,W. Barton misses 3-pt shot from 24 ft,,18-28,,
2:48.0,Offensive rebound by T. Craig,,18-28,,
2:47.0,T. Craig makes 2-pt shot at rim,2,20-28,,
2:24.0,,,20-28,,T. Gibson misses 2-pt shot from 19 ft
2:24.0,,,20-28,,Offensive rebound by G. Dieng
2:17.0,,,20-30,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Teague)
2:00.0,N. Jokic misses 2-pt shot from 16 ft,,20-30,,
1:58.0,,,20-30,,Defensive rebound by G. Dieng
1:44.0,,,20-32,2,J. Teague makes 2-pt shot at rim
1:44.0,Denver full timeout,,20-32,,
1:44.0,,,20-32,,T. Jones enters the game for J. Teague
1:44.0,,,20-32,,N. Bjelica enters the game for J. Butler
1:44.0,,,20-32,,J. Crawford enters the game for T. Gibson
1:44.0,D. Arthur enters the game for N. Jokic,,20-32,,
1:36.0,W. Barton makes 2-pt shot from 1 ft,2,22-32,,
1:36.0,Shooting foul by T. Jones (drawn by W. Barton),,22-32,,
1:36.0,W. Barton makes free throw 1 of 1,1,23-32,,
1:17.0,,,23-34,2,J. Crawford makes 2-pt shot at rim
1:02.0,T. Lyles misses 2-pt shot from 4 ft,,23-34,,
1:00.0,,,23-34,,Defensive rebound by T. Jones
0:51.0,,,23-34,,N. Bjelica misses 3-pt shot from 23 ft
0:51.0,Defensive rebound by T. Craig,,23-34,,
0:40.0,D. Arthur misses 2-pt shot from 5 ft,,23-34,,
0:37.0,,,23-34,,Defensive rebound by N. Bjelica
0:27.0,,,23-34,,Shooting foul by T. Lyles (drawn by N. Bjelica)
0:27.0,,,23-35,1,N. Bjelica makes free throw 1 of 2
0:27.0,,,23-35,,M. Georges-Hunt enters the game for T. Jones
0:27.0,,,23-35,,N. Bjelica misses free throw 2 of 2
0:25.0,Defensive rebound by T. Lyles,,23-35,,
0:08.0,T. Lyles misses 3-pt shot from 25 ft,,23-35,,
0:06.0,,,23-35,,Defensive rebound by A. Wiggins
0:00.0,,,23-35,,J. Crawford misses 3-pt shot from 24 ft
0:00.0,,,23-35,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,T. Lyles misses 3-pt shot from 22 ft,,23-35,,
11:48.0,,,23-35,,Defensive rebound by G. Dieng
11:33.0,,,23-37,2,K. Towns makes 2-pt shot from 2 ft (assist by J. Crawford)
11:22.0,W. Barton misses 2-pt shot from 6 ft,,23-37,,
11:22.0,,,23-37,,Defensive rebound by K. Towns
11:16.0,,,23-39,2,T. Jones makes 2-pt shot from 1 ft (assist by J. Crawford)
10:59.0,T. Craig misses 2-pt shot from 2 ft (block by G. Dieng),,23-39,,
10:56.0,,,23-39,,Defensive rebound by K. Towns
10:46.0,,,23-42,3,G. Dieng makes 3-pt shot from 23 ft (assist by J. Crawford)
10:29.0,T. Craig misses 3-pt shot from 25 ft,,23-42,,
10:25.0,,,23-42,,Defensive rebound by N. Bjelica
10:19.0,,,23-42,,J. Crawford misses 3-pt shot from 24 ft
10:19.0,Defensive rebound by D. Arthur,,23-42,,
10:13.0,,,23-42,,Personal foul by N. Bjelica (drawn by W. Barton)
10:13.0,W. Chandler enters the game for T. Craig,,23-42,,
10:07.0,T. Lyles makes 2-pt shot from 11 ft (assist by J. Murray),2,25-42,,
9:40.0,,,25-42,,G. Dieng misses 3-pt shot from 23 ft
9:38.0,,,25-42,,Offensive rebound by K. Towns
9:37.0,,,25-42,,Shooting foul by D. Arthur (drawn by G. Dieng)
9:37.0,,,25-43,1,G. Dieng makes free throw 1 of 2
9:37.0,,,25-43,,G. Dieng misses free throw 2 of 2
9:35.0,Defensive rebound by J. Murray,,25-43,,
9:28.0,J. Murray makes 2-pt shot from 2 ft,2,27-43,,
9:28.0,Shooting foul by G. Dieng (drawn by J. Murray),,27-43,,
9:28.0,J. Murray makes free throw 1 of 1,1,28-43,,
9:12.0,,,28-45,2,J. Crawford makes 2-pt shot from 15 ft (assist by K. Towns)
8:55.0,J. Murray misses 3-pt shot from 25 ft,,28-45,,
8:52.0,,,28-45,,Defensive rebound by N. Bjelica
8:47.0,,,28-45,,Turnover by K. Towns (bad pass; steal by W. Chandler)
8:46.0,,,28-45,,Personal foul by G. Dieng (drawn by T. Lyles)
8:46.0,,,28-45,,T. Gibson enters the game for G. Dieng
8:46.0,N. Jokic enters the game for D. Arthur,,28-45,,
8:46.0,M. Plumlee enters the game for T. Lyles,,28-45,,
8:34.0,M. Plumlee makes 2-pt shot from 1 ft,2,30-45,,
8:16.0,,,30-45,,J. Crawford misses 3-pt shot from 24 ft
8:13.0,,,30-45,,Offensive rebound by K. Towns
8:10.0,,,30-47,2,J. Crawford makes 2-pt shot from 17 ft (assist by K. Towns)
7:50.0,J. Murray makes 2-pt shot at rim (assist by M. Plumlee),2,32-47,,
7:36.0,,,32-47,,T. Gibson misses 2-pt shot from 10 ft
7:35.0,,,32-47,,Offensive rebound by K. Towns
7:33.0,,,32-49,2,T. Gibson makes 2-pt shot from 1 ft (assist by K. Towns)
7:10.0,M. Plumlee misses 2-pt shot from 2 ft,,32-49,,
7:07.0,,,32-49,,Defensive rebound by T. Jones
6:57.0,,,32-51,2,T. Jones makes 2-pt shot from 21 ft
6:43.0,M. Plumlee makes 2-pt shot from 3 ft (assist by W. Barton),2,34-51,,
6:29.0,,,34-53,2,J. Crawford makes 2-pt shot from 13 ft
6:14.0,J. Murray makes 3-pt shot from 25 ft (assist by N. Jokic),3,37-53,,
5:57.0,,,37-53,,T. Jones misses 3-pt shot from 23 ft
5:55.0,Defensive rebound by W. Chandler,,37-53,,
5:46.0,W. Barton makes 2-pt shot from 1 ft (assist by W. Chandler),2,39-53,,
5:39.0,,,39-53,,Minnesota full timeout
5:39.0,,,39-53,,J. Teague enters the game for T. Jones
5:39.0,,,39-53,,J. Butler enters the game for N. Bjelica
5:39.0,,,39-53,,A. Wiggins enters the game for J. Crawford
5:39.0,G. Harris enters the game for W. Barton,,39-53,,
5:27.0,,,39-53,,J. Butler misses 2-pt shot from 15 ft
5:23.0,Defensive rebound by N. Jokic,,39-53,,
5:12.0,J. Murray makes 2-pt shot from 1 ft,2,41-53,,
5:05.0,Personal foul by G. Harris (drawn by J. Teague),,41-53,,
4:56.0,,,41-56,3,K. Towns makes 3-pt shot from 24 ft (assist by J. Teague)
4:38.0,J. Murray makes 3-pt shot from 26 ft (assist by N. Jokic),3,44-56,,
4:11.0,,,44-58,2,J. Butler makes 2-pt shot from 9 ft
3:59.0,J. Murray misses 2-pt shot from 1 ft,,44-58,,
3:57.0,Offensive rebound by M. Plumlee,,44-58,,
3:57.0,M. Plumlee makes 2-pt shot from 1 ft,2,46-58,,
3:43.0,,,46-58,,Turnover by K. Towns (bad pass; steal by N. Jokic)
3:39.0,W. Chandler makes 2-pt shot from 1 ft (assist by G. Harris),2,48-58,,
3:21.0,,,48-60,2,J. Teague makes 2-pt shot from 6 ft
3:07.0,G. Harris misses 2-pt shot from 4 ft,,48-60,,
3:05.0,Offensive rebound by Team,,48-60,,
3:05.0,,,48-60,,G. Dieng enters the game for K. Towns
3:05.0,T. Lyles enters the game for M. Plumlee,,48-60,,
2:55.0,J. Murray misses 2-pt shot from 10 ft,,48-60,,
2:52.0,,,48-60,,Defensive rebound by G. Dieng
2:39.0,,,48-62,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Teague)
2:39.0,,,48-62,,Shooting foul by T. Lyles (drawn by T. Gibson)
2:39.0,Denver full timeout,,48-62,,
2:39.0,,,48-63,1,T. Gibson makes free throw 1 of 1
2:28.0,N. Jokic makes 2-pt shot from 12 ft (assist by J. Murray),2,50-63,,
2:09.0,,,50-63,,G. Dieng misses 2-pt shot from 17 ft
2:07.0,Defensive rebound by G. Harris,,50-63,,
1:53.0,W. Chandler makes 3-pt shot from 25 ft (assist by G. Harris),3,53-63,,
1:37.0,,,53-63,,A. Wiggins misses 2-pt shot from 4 ft
1:32.0,Defensive rebound by T. Lyles,,53-63,,
1:29.0,Offensive foul by W. Chandler (drawn by T. Gibson),,53-63,,
1:29.0,Turnover by W. Chandler (offensive foul),,53-63,,
1:07.0,,,53-65,2,G. Dieng makes 2-pt shot from 19 ft (assist by J. Teague)
0:52.0,Shooting foul by T. Gibson (drawn by N. Jokic),,53-65,,
0:52.0,N. Jokic makes free throw 1 of 2,1,54-65,,
0:52.0,T. Craig enters the game for G. Harris,,54-65,,
0:52.0,N. Jokic makes free throw 2 of 2,1,55-65,,
0:43.0,,,55-68,3,A. Wiggins makes 3-pt shot from 24 ft (assist by J. Teague)
0:33.0,T. Lyles makes 3-pt shot from 26 ft (assist by J. Murray),3,58-68,,
0:18.0,,,58-68,,Shooting foul by T. Craig (drawn by J. Butler)
0:18.0,,,58-69,1,J. Butler makes free throw 1 of 3
0:18.0,,,58-70,1,J. Butler makes free throw 2 of 3
0:18.0,,,58-70,,M. Georges-Hunt enters the game for J. Teague
0:18.0,G. Harris enters the game for T. Craig,,58-70,,
0:18.0,,,58-71,1,J. Butler makes free throw 3 of 3
0:00.0,J. Murray misses 3-pt shot from 23 ft,,58-71,,
0:00.0,Offensive rebound by Team,,58-71,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,G. Harris makes 3-pt shot from 24 ft,3,61-71,,
11:27.0,,,61-71,,K. Towns misses 2-pt shot from 19 ft
11:23.0,Defensive rebound by W. Chandler,,61-71,,
11:08.0,M. Plumlee misses 2-pt shot from 6 ft (block by K. Towns),,61-71,,
11:04.0,Offensive rebound by G. Harris,,61-71,,
11:01.0,W. Chandler misses 2-pt shot from 7 ft,,61-71,,
10:59.0,Offensive rebound by M. Plumlee,,61-71,,
10:59.0,M. Plumlee misses 2-pt shot at rim,,61-71,,
10:59.0,Offensive rebound by M. Plumlee,,61-71,,
10:59.0,Shooting foul by K. Towns (drawn by M. Plumlee),,61-71,,
10:59.0,M. Plumlee misses free throw 1 of 2,,61-71,,
10:59.0,Offensive rebound by Team,,61-71,,
10:59.0,M. Plumlee misses free throw 2 of 2,,61-71,,
10:59.0,Offensive rebound by M. Plumlee,,61-71,,
10:59.0,Turnover by M. Plumlee (out of bounds lost ball),,61-71,,
10:48.0,,,61-73,2,T. Gibson makes 2-pt shot from 19 ft (assist by J. Butler)
10:25.0,W. Chandler misses 2-pt shot from 4 ft (block by T. Gibson),,61-73,,
10:24.0,Offensive rebound by W. Chandler,,61-73,,
10:24.0,Offensive foul by W. Chandler (drawn by T. Gibson),,61-73,,
10:24.0,Turnover by W. Chandler (offensive foul),,61-73,,
10:06.0,,,61-73,,K. Towns misses 2-pt shot from 5 ft
10:04.0,Defensive rebound by M. Plumlee,,61-73,,
9:56.0,M. Plumlee misses 2-pt shot from 6 ft,,61-73,,
9:54.0,,,61-73,,Defensive rebound by K. Towns
9:41.0,,,61-73,,J. Teague misses 2-pt shot from 7 ft
9:36.0,Defensive rebound by M. Plumlee,,61-73,,
9:23.0,G. Harris misses 3-pt shot from 25 ft,,61-73,,
9:21.0,,,61-73,,Defensive rebound by K. Towns
9:06.0,,,61-75,2,J. Teague makes 2-pt shot from 1 ft
8:49.0,W. Chandler misses 3-pt shot from 23 ft,,61-75,,
8:47.0,,,61-75,,Defensive rebound by K. Towns
8:32.0,,,61-75,,Shooting foul by W. Chandler (drawn by A. Wiggins)
8:32.0,,,61-76,1,A. Wiggins makes free throw 1 of 2
8:32.0,,,61-76,,A. Wiggins misses free throw 2 of 2
8:29.0,Defensive rebound by N. Jokic,,61-76,,
8:17.0,Shooting foul by A. Wiggins (drawn by M. Plumlee),,61-76,,
8:17.0,M. Plumlee makes free throw 1 of 2,1,62-76,,
8:17.0,M. Plumlee makes free throw 2 of 2,1,63-76,,
8:07.0,,,63-76,,A. Wiggins misses 3-pt shot from 26 ft
8:02.0,,,63-76,,Offensive rebound by T. Gibson
8:02.0,,,63-78,2,K. Towns makes 2-pt shot from 7 ft (assist by T. Gibson)
7:36.0,J. Murray makes 2-pt shot from 13 ft,2,65-78,,
7:23.0,,,65-78,,J. Teague misses 2-pt shot from 11 ft
7:20.0,Defensive rebound by M. Plumlee,,65-78,,
7:04.0,,,65-78,,Personal foul by T. Gibson (drawn by N. Jokic)
6:56.0,N. Jokic misses 3-pt shot from 24 ft,,65-78,,
6:53.0,,,65-78,,Defensive rebound by T. Gibson
6:43.0,,,65-78,,Shooting foul by N. Jokic (drawn by J. Butler)
6:43.0,,,65-78,,Minnesota full timeout
6:43.0,,,65-79,1,J. Butler makes free throw 1 of 2
6:43.0,,,65-80,1,J. Butler makes free throw 2 of 2
6:32.0,,,65-80,,Personal foul by A. Wiggins (drawn by N. Jokic)
6:25.0,Shooting foul by A. Wiggins (drawn by M. Plumlee),,65-80,,
6:25.0,M. Plumlee misses free throw 1 of 2,,65-80,,
6:25.0,Offensive rebound by Team,,65-80,,
6:25.0,M. Plumlee makes free throw 2 of 2,1,66-80,,
6:07.0,,,66-82,2,T. Gibson makes 2-pt shot from 9 ft (assist by J. Butler)
5:40.0,W. Chandler misses 2-pt shot from 13 ft,,66-82,,
5:38.0,,,66-82,,Defensive rebound by J. Butler
5:24.0,,,66-82,,J. Butler misses 3-pt shot from 22 ft
5:22.0,Defensive rebound by J. Murray,,66-82,,
5:11.0,G. Harris misses 3-pt shot from 26 ft,,66-82,,
5:06.0,,,66-82,,Defensive rebound by T. Gibson
5:02.0,Personal foul by J. Murray (drawn by J. Butler),,66-82,,
5:02.0,W. Barton enters the game for W. Chandler,,66-82,,
5:02.0,T. Lyles enters the game for M. Plumlee,,66-82,,
4:53.0,,,66-82,,Turnover by J. Butler (bad pass; steal by N. Jokic)
4:49.0,G. Harris makes 2-pt shot from 1 ft (assist by J. Murray),2,68-82,,
4:35.0,,,68-84,2,K. Towns makes 2-pt shot from 7 ft
4:18.0,J. Murray misses 2-pt shot from 19 ft,,68-84,,
4:16.0,,,68-84,,Defensive rebound by K. Towns
4:04.0,,,68-86,2,A. Wiggins makes 2-pt shot from 1 ft (assist by J. Teague)
4:04.0,Denver full timeout,,68-86,,
4:04.0,,,68-86,,G. Dieng enters the game for K. Towns
3:42.0,T. Lyles makes 2-pt shot at rim (assist by N. Jokic),2,70-86,,
3:15.0,,,70-86,,G. Dieng misses 3-pt shot from 23 ft
3:13.0,Defensive rebound by J. Murray,,70-86,,
3:07.0,W. Barton makes 3-pt shot from 26 ft (assist by G. Harris),3,73-86,,
2:41.0,,,73-86,,G. Dieng misses 2-pt shot from 6 ft
2:39.0,Defensive rebound by T. Lyles,,73-86,,
2:33.0,T. Lyles makes 3-pt shot from 25 ft (assist by G. Harris),3,76-86,,
2:31.0,,,76-86,,Minnesota full timeout
2:31.0,,,76-86,,J. Crawford enters the game for J. Butler
2:20.0,,,76-86,,A. Wiggins misses 2-pt shot from 16 ft
2:18.0,Defensive rebound by N. Jokic,,76-86,,
2:14.0,W. Barton makes 2-pt shot from 5 ft,2,78-86,,
1:45.0,,,78-86,,J. Teague misses 2-pt shot from 20 ft
1:44.0,,,78-86,,Offensive rebound by Team
1:44.0,,,78-86,,N. Bjelica enters the game for T. Gibson
1:29.0,,,78-86,,J. Crawford misses 2-pt shot from 19 ft (block by T. Lyles)
1:26.0,Defensive rebound by G. Harris,,78-86,,
1:24.0,W. Barton makes 3-pt shot from 25 ft (assist by G. Harris),3,81-86,,
0:59.0,,,81-86,,A. Wiggins misses 2-pt shot from 10 ft
0:57.0,Defensive rebound by N. Jokic,,81-86,,
0:51.0,W. Barton misses 3-pt shot from 25 ft (block by A. Wiggins),,81-86,,
0:48.0,,,81-86,,Defensive rebound by J. Crawford
0:43.0,,,81-88,2,J. Crawford makes 2-pt shot at rim
0:29.0,T. Lyles misses 3-pt shot from 25 ft,,81-88,,
0:27.0,Offensive rebound by Team,,81-88,,
0:27.0,,,81-88,,Loose ball foul by N. Bjelica (drawn by N. Jokic)
0:27.0,N. Jokic misses free throw 1 of 2,,81-88,,
0:27.0,Offensive rebound by Team,,81-88,,
0:27.0,T. Craig enters the game for J. Murray,,81-88,,
0:27.0,N. Jokic makes free throw 2 of 2,1,82-88,,
0:05.0,,,82-88,,A. Wiggins misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by N. Jokic,,82-88,,
0:00.0,W. Barton misses 3-pt shot from 29 ft,,82-88,,
0:00.0,Offensive rebound by Team,,82-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,82-88,,Shooting foul by T. Craig (drawn by J. Butler)
11:47.0,,,82-89,1,J. Butler makes free throw 1 of 2
11:47.0,,,82-90,1,J. Butler makes free throw 2 of 2
11:27.0,T. Lyles makes 3-pt shot from 24 ft (assist by T. Craig),3,85-90,,
11:27.0,Shooting foul by K. Towns (drawn by T. Lyles),,85-90,,
11:27.0,T. Lyles makes free throw 1 of 1,1,86-90,,
11:15.0,,,86-90,,Offensive charge foul by K. Towns (drawn by T. Lyles)
11:15.0,,,86-90,,Turnover by K. Towns (offensive foul)
11:01.0,M. Plumlee makes 2-pt shot at rim (assist by W. Barton),2,88-90,,
10:38.0,,,88-90,,J. Butler misses 3-pt shot from 25 ft
10:36.0,Defensive rebound by W. Barton,,88-90,,
10:29.0,W. Barton makes 2-pt shot from 7 ft,2,90-90,,
10:29.0,,,90-90,,Minnesota full timeout
10:29.0,,,90-90,,T. Gibson enters the game for G. Dieng
10:08.0,,,90-93,3,J. Butler makes 3-pt shot from 23 ft (assist by K. Towns)
9:43.0,W. Barton misses 2-pt shot from 3 ft (block by K. Towns),,90-93,,
9:38.0,Offensive rebound by J. Murray,,90-93,,
9:37.0,W. Barton misses 3-pt shot from 21 ft,,90-93,,
9:37.0,,,90-93,,Defensive rebound by T. Jones
9:22.0,,,90-95,2,T. Gibson makes 2-pt shot from 1 ft
8:56.0,W. Barton makes 2-pt shot from 7 ft,2,92-95,,
8:56.0,Shooting foul by T. Jones (drawn by W. Barton),,92-95,,
8:56.0,W. Chandler enters the game for T. Craig,,92-95,,
8:56.0,W. Barton misses free throw 1 of 1,,92-95,,
8:53.0,Offensive rebound by W. Barton,,92-95,,
8:52.0,Turnover by W. Barton (step out of bounds),,92-95,,
8:41.0,Personal foul by W. Chandler (drawn by J. Butler),,92-95,,
8:35.0,,,92-95,,J. Butler misses 2-pt shot from 14 ft
8:31.0,Defensive rebound by J. Murray,,92-95,,
8:28.0,J. Murray makes 2-pt shot from 1 ft,2,94-95,,
8:10.0,,,94-95,,Offensive charge foul by J. Crawford (drawn by T. Lyles)
8:10.0,,,94-95,,Turnover by J. Crawford (offensive foul)
8:10.0,,,94-95,,J. Teague enters the game for T. Jones
7:48.0,J. Murray misses 3-pt shot from 24 ft,,94-95,,
7:47.0,,,94-95,,Defensive rebound by Team
7:47.0,Loose ball foul by J. Murray (drawn by J. Teague),,94-95,,
7:33.0,,,94-95,,J. Teague misses 2-pt shot from 6 ft
7:30.0,Defensive rebound by T. Lyles,,94-95,,
7:23.0,Shooting foul by K. Towns (drawn by T. Lyles),,94-95,,
7:23.0,T. Lyles makes free throw 1 of 2,1,95-95,,
7:23.0,,,95-95,,A. Wiggins enters the game for K. Towns
7:23.0,G. Harris enters the game for J. Murray,,95-95,,
7:23.0,T. Lyles makes free throw 2 of 2,1,96-95,,
7:01.0,,,96-97,2,J. Butler makes 2-pt shot from 21 ft
6:39.0,Shooting foul by J. Teague (drawn by G. Harris),,96-97,,
6:39.0,G. Harris makes free throw 1 of 2,1,97-97,,
6:39.0,G. Harris makes free throw 2 of 2,1,98-97,,
6:25.0,,,98-99,2,J. Butler makes 2-pt shot from 3 ft
6:05.0,Turnover by G. Harris (lost ball; steal by J. Crawford),,98-99,,
5:47.0,,,98-101,2,A. Wiggins makes 2-pt shot from 5 ft
5:47.0,Denver full timeout,,98-101,,
5:47.0,N. Jokic enters the game for T. Lyles,,98-101,,
5:47.0,J. Murray enters the game for M. Plumlee,,98-101,,
5:33.0,J. Murray misses 3-pt shot from 24 ft,,98-101,,
5:30.0,,,98-101,,Defensive rebound by J. Teague
5:11.0,,,98-101,,J. Butler misses 2-pt shot from 19 ft
5:08.0,Defensive rebound by J. Murray,,98-101,,
4:54.0,W. Chandler misses 3-pt shot from 26 ft,,98-101,,
4:50.0,,,98-101,,Defensive rebound by J. Teague
4:36.0,,,98-101,,J. Butler misses 2-pt shot from 2 ft
4:36.0,,,98-101,,Offensive rebound by Team
4:36.0,,,98-101,,Minnesota full timeout
4:33.0,,,98-101,,J. Crawford misses 3-pt shot from 22 ft
4:29.0,Defensive rebound by W. Chandler,,98-101,,
4:18.0,,,98-101,,Personal foul by T. Gibson (drawn by N. Jokic)
4:18.0,N. Jokic makes free throw 1 of 2,1,99-101,,
4:18.0,N. Jokic makes free throw 2 of 2,1,100-101,,
4:08.0,Personal foul by N. Jokic (drawn by T. Gibson),,100-101,,
3:55.0,,,100-103,2,J. Teague makes 2-pt shot from 2 ft
3:37.0,Turnover by N. Jokic (lost ball; steal by J. Butler),,100-103,,
3:19.0,,,100-105,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Teague)
3:19.0,Denver full timeout,,100-105,,
3:19.0,,,100-105,,K. Towns enters the game for J. Crawford
3:19.0,T. Lyles enters the game for W. Chandler,,100-105,,
3:10.0,G. Harris misses 2-pt shot from 19 ft,,100-105,,
3:06.0,,,100-105,,Defensive rebound by K. Towns
2:54.0,,,100-108,3,A. Wiggins makes 3-pt shot from 27 ft (assist by J. Teague)
2:54.0,,,100-108,,Shooting foul by W. Barton (drawn by A. Wiggins)
2:54.0,,,100-109,1,A. Wiggins makes free throw 1 of 1
2:46.0,W. Barton misses 2-pt shot from 4 ft (block by K. Towns),,100-109,,
2:42.0,Offensive rebound by N. Jokic,,100-109,,
2:41.0,N. Jokic makes 2-pt shot at rim,2,102-109,,
2:22.0,,,102-109,,A. Wiggins misses 3-pt shot from 25 ft
2:19.0,Defensive rebound by T. Lyles,,102-109,,
2:10.0,J. Murray misses 2-pt shot from 2 ft,,102-109,,
2:07.0,,,102-109,,Defensive rebound by J. Teague
2:00.0,,,102-109,,K. Towns misses 2-pt shot from 16 ft
1:58.0,Defensive rebound by T. Lyles,,102-109,,
1:54.0,W. Barton makes 2-pt shot at rim,2,104-109,,
1:54.0,Shooting foul by K. Towns (drawn by W. Barton),,104-109,,
