time,Golden State,pts.away,score,pts.home,Philadelphia
2:20.0,,,24-42,2,J. Redick makes 2-pt shot from 17 ft
1:58.0,S. Curry makes 2-pt shot from 19 ft,2,26-42,,
1:40.0,,,26-45,3,J. Redick makes 3-pt shot from 26 ft (assist by T. Luwawu-Cabarrot)
1:23.0,S. Curry misses 2-pt shot from 7 ft,,26-45,,
1:20.0,,,26-45,,Defensive rebound by T. Luwawu-Cabarrot
1:16.0,,,26-45,,J. Embiid misses 3-pt shot from 26 ft
1:12.0,Defensive rebound by S. Curry,,26-45,,
1:05.0,D. Green misses 3-pt shot from 26 ft,,26-45,,
1:02.0,,,26-45,,Defensive rebound by J. Embiid
0:52.0,,,26-45,,D. Saric misses 3-pt shot from 27 ft
0:49.0,Defensive rebound by S. Curry,,26-45,,
0:41.0,S. Curry makes 2-pt shot from 14 ft (assist by J. McGee),2,28-45,,
0:25.0,,,28-45,,Turnover by J. Embiid (out of bounds lost ball)
0:25.0,K. Thompson enters the game for P. McCaw,,28-45,,
0:25.0,K. Durant enters the game for J. McGee,,28-45,,
0:10.0,,,28-45,,Personal foul by J. Redick (drawn by K. Thompson)
0:07.0,Turnover by K. Durant (bad pass; steal by T. McConnell),,28-45,,
0:04.0,,,28-47,2,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft (assist by T. McConnell)
0:00.0,S. Curry misses 3-pt shot from 29 ft,,28-47,,
0:00.0,Offensive rebound by Team,,28-47,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,K. Thompson misses 2-pt shot from 2 ft,,28-47,,
11:34.0,Offensive rebound by S. Livingston,,28-47,,
11:34.0,,,28-47,,Shooting foul by D. West (drawn by J. Embiid)
11:34.0,,,28-47,,J. Embiid misses free throw 1 of 2
11:34.0,,,28-47,,Offensive rebound by Team
11:34.0,,,28-48,1,J. Embiid makes free throw 2 of 2
11:21.0,K. Thompson makes 2-pt shot from 16 ft (assist by D. West),2,30-48,,
11:14.0,,,30-50,2,D. Saric makes 2-pt shot at rim (assist by B. Simmons)
11:14.0,Golden State full timeout,,30-50,,
11:04.0,Turnover by D. West (bad pass; steal by R. Covington),,30-50,,
10:47.0,,,30-50,,Turnover by J. Embiid (bad pass; steal by D. Green)
10:36.0,Turnover by K. Thompson (bad pass; steal by J. Redick),,30-50,,
10:28.0,,,30-50,,J. Embiid misses 2-pt shot from 17 ft
10:23.0,Defensive rebound by K. Thompson,,30-50,,
10:16.0,D. West makes 2-pt shot from 18 ft,2,32-50,,
10:00.0,,,32-50,,J. Redick misses 2-pt shot from 5 ft
9:53.0,Defensive rebound by K. Thompson,,32-50,,
9:47.0,D. West misses 3-pt shot from 22 ft,,32-50,,
9:40.0,,,32-50,,Defensive rebound by J. Embiid
9:32.0,,,32-52,2,B. Simmons makes 2-pt shot from 2 ft
9:14.0,,,32-52,,Personal foul by D. Saric (drawn by D. Green)
9:14.0,,,32-52,,T. Luwawu-Cabarrot enters the game for D. Saric
9:14.0,,,32-52,,T. McConnell enters the game for J. Redick
9:05.0,S. Livingston misses 2-pt shot from 15 ft (block by T. McConnell),,32-52,,
8:58.0,Offensive rebound by S. Livingston,,32-52,,
8:56.0,S. Livingston misses 2-pt shot from 16 ft,,32-52,,
8:53.0,,,32-52,,Defensive rebound by B. Simmons
8:44.0,,,32-52,,J. Embiid misses 2-pt shot from 16 ft
8:39.0,Defensive rebound by A. Iguodala,,32-52,,
8:33.0,D. Green makes 2-pt shot from 2 ft (assist by S. Livingston),2,34-52,,
8:17.0,,,34-52,,J. Embiid misses 2-pt shot from 10 ft (block by D. Green)
8:08.0,Defensive rebound by D. West,,34-52,,
8:06.0,D. West makes 2-pt shot from 19 ft,2,36-52,,
7:57.0,,,36-52,,T. Luwawu-Cabarrot misses 2-pt shot from 21 ft
7:53.0,Defensive rebound by S. Livingston,,36-52,,
7:50.0,S. Livingston misses 2-pt shot from 2 ft,,36-52,,
7:49.0,Offensive rebound by D. West,,36-52,,
7:48.0,D. West makes 2-pt shot at rim,2,38-52,,
7:34.0,,,38-52,,T. Luwawu-Cabarrot misses 2-pt shot from 6 ft
7:30.0,Defensive rebound by K. Thompson,,38-52,,
7:22.0,Turnover by A. Iguodala (bad pass),,38-52,,
7:22.0,,,38-52,,R. Holmes enters the game for J. Embiid
6:59.0,,,38-54,2,B. Simmons makes 2-pt shot from 3 ft (assist by T. Luwawu-Cabarrot)
6:36.0,K. Thompson misses 2-pt shot from 21 ft,,38-54,,
6:32.0,,,38-54,,Defensive rebound by R. Covington
6:28.0,,,38-54,,R. Covington misses 3-pt shot from 27 ft
6:23.0,Defensive rebound by D. West,,38-54,,
6:14.0,,,38-54,,Personal foul by T. Luwawu-Cabarrot (drawn by K. Thompson)
6:14.0,,,38-54,,J. Redick enters the game for R. Covington
6:14.0,S. Curry enters the game for D. West,,38-54,,
6:14.0,K. Durant enters the game for K. Thompson,,38-54,,
6:14.0,K. Looney enters the game for D. Green,,38-54,,
6:03.0,A. Iguodala makes 2-pt shot from 15 ft (assist by K. Looney),2,40-54,,
5:43.0,,,40-56,2,R. Holmes makes 2-pt shot from 2 ft (assist by B. Simmons)
5:32.0,,,40-56,,Personal foul by T. McConnell (drawn by K. Durant)
5:25.0,S. Curry misses 3-pt shot from 25 ft,,40-56,,
5:21.0,,,40-56,,Defensive rebound by R. Holmes
5:09.0,,,40-58,2,B. Simmons makes 2-pt shot from 3 ft
4:49.0,K. Looney misses 2-pt shot from 3 ft (block by R. Holmes),,40-58,,
4:48.0,Offensive rebound by K. Looney,,40-58,,
4:48.0,,,40-58,,Personal foul by R. Holmes (drawn by K. Looney)
4:48.0,O. Casspi enters the game for A. Iguodala,,40-58,,
4:41.0,K. Durant makes 2-pt shot from 11 ft,2,42-58,,
4:25.0,,,42-60,2,J. Redick makes 2-pt shot from 21 ft (assist by B. Simmons)
4:12.0,S. Curry misses 2-pt shot from 12 ft,,42-60,,
4:10.0,,,42-60,,Defensive rebound by R. Holmes
4:00.0,,,42-60,,R. Holmes misses 2-pt shot from 4 ft (block by K. Durant)
3:58.0,Defensive rebound by K. Durant,,42-60,,
3:58.0,,,42-60,,Personal foul by T. McConnell (drawn by K. Durant)
3:58.0,K. Durant makes free throw 1 of 2,1,43-60,,
3:58.0,K. Thompson enters the game for S. Livingston,,43-60,,
3:58.0,K. Durant misses free throw 2 of 2,,43-60,,
3:55.0,,,43-60,,Defensive rebound by R. Holmes
3:42.0,,,43-62,2,R. Holmes makes 2-pt shot at rim (assist by J. Redick)
3:29.0,Turnover by K. Durant (traveling),,43-62,,
3:10.0,,,43-64,2,B. Simmons makes 2-pt shot from 4 ft
3:05.0,Shooting foul by T. McConnell (drawn by S. Curry),,43-64,,
3:05.0,S. Curry makes free throw 1 of 2,1,44-64,,
3:05.0,,,44-64,,D. Saric enters the game for T. McConnell
3:05.0,D. Green enters the game for K. Looney,,44-64,,
3:05.0,S. Curry makes free throw 2 of 2,1,45-64,,
3:05.0,,,45-64,,Philadelphia full timeout
3:05.0,,,45-64,,R. Covington enters the game for T. Luwawu-Cabarrot
3:05.0,,,45-64,,J. Embiid enters the game for R. Holmes
2:47.0,,,45-66,2,J. Embiid makes 2-pt shot from 2 ft
2:33.0,K. Thompson misses 2-pt shot from 5 ft,,45-66,,
2:30.0,,,45-66,,Defensive rebound by B. Simmons
2:19.0,,,45-66,,R. Covington misses 3-pt shot from 28 ft
2:14.0,Defensive rebound by K. Durant,,45-66,,
2:09.0,K. Durant misses 3-pt shot from 24 ft,,45-66,,
2:08.0,Offensive rebound by O. Casspi,,45-66,,
2:08.0,O. Casspi makes 2-pt shot at rim,2,47-66,,
1:53.0,,,47-66,,D. Saric misses 2-pt shot from 19 ft
1:49.0,Defensive rebound by D. Green,,47-66,,
1:45.0,K. Durant makes 2-pt shot at rim (assist by D. Green),2,49-66,,
1:35.0,,,49-68,2,J. Redick makes 2-pt shot from 7 ft (assist by B. Simmons)
1:35.0,,,49-68,,Shooting foul by K. Thompson (drawn by J. Redick)
1:35.0,,,49-69,1,J. Redick makes free throw 1 of 1
1:24.0,Shooting foul by J. Embiid (drawn by K. Durant),,49-69,,
1:24.0,K. Durant misses free throw 1 of 2,,49-69,,
1:24.0,Offensive rebound by Team,,49-69,,
1:24.0,K. Durant makes free throw 2 of 2,1,50-69,,
1:08.0,Personal foul by D. Green (drawn by J. Embiid),,50-69,,
1:08.0,,,50-69,,J. Embiid misses free throw 1 of 2
1:08.0,,,50-69,,Offensive rebound by Team
1:08.0,,,50-70,1,J. Embiid makes free throw 2 of 2
0:59.0,K. Durant misses 3-pt shot from 26 ft,,50-70,,
0:55.0,,,50-70,,Defensive rebound by D. Saric
0:55.0,,,50-72,2,J. Embiid makes 2-pt shot at rim (assist by D. Saric)
0:42.0,S. Curry misses 3-pt shot from 27 ft,,50-72,,
0:37.0,,,50-72,,Defensive rebound by J. Embiid
0:31.0,,,50-72,,D. Saric misses 3-pt shot from 26 ft
0:26.0,,,50-72,,Offensive rebound by R. Covington
0:26.0,,,50-72,,R. Covington misses 2-pt shot from 2 ft
0:23.0,Defensive rebound by S. Curry,,50-72,,
0:22.0,K. Durant makes 2-pt shot from 3 ft (assist by S. Curry),2,52-72,,
0:05.0,,,52-72,,D. Saric misses 3-pt shot from 25 ft
0:03.0,,,52-72,,Offensive rebound by J. Embiid
0:02.0,,,52-74,2,J. Embiid makes 2-pt shot from 2 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,Offensive foul by Z. Pachulia (drawn by D. Saric),,52-74,,
11:39.0,Turnover by Z. Pachulia (offensive foul),,52-74,,
11:22.0,,,52-76,2,J. Embiid makes 2-pt shot from 3 ft (assist by B. Simmons)
11:11.0,S. Curry makes 2-pt shot from 21 ft,2,54-76,,
11:02.0,,,54-76,,Turnover by J. Embiid (bad pass)
10:51.0,Z. Pachulia misses 2-pt shot from 10 ft,,54-76,,
10:48.0,,,54-76,,Defensive rebound by D. Saric
10:40.0,,,54-76,,R. Covington misses 3-pt shot from 27 ft
10:40.0,Defensive rebound by Z. Pachulia,,54-76,,
10:32.0,K. Durant makes 3-pt shot from 29 ft (assist by D. Green),3,57-76,,
10:18.0,Personal foul by S. Curry (drawn by J. Embiid),,57-76,,
10:10.0,Personal foul by Z. Pachulia (drawn by J. Embiid),,57-76,,
10:01.0,,,57-76,,Turnover by J. Embiid (lost ball; steal by Z. Pachulia)
9:59.0,,,57-76,,Personal foul by B. Simmons (drawn by K. Durant)
9:57.0,K. Thompson misses 2-pt shot from 15 ft,,57-76,,
9:54.0,,,57-76,,Defensive rebound by R. Covington
9:50.0,,,57-76,,Turnover by B. Simmons (traveling)
9:44.0,,,57-76,,Personal foul by B. Simmons (drawn by S. Curry)
9:38.0,S. Curry makes 3-pt shot from 26 ft,3,60-76,,
9:25.0,,,60-76,,Turnover by J. Redick (bad pass; steal by K. Durant)
9:21.0,K. Durant makes 2-pt shot from 3 ft,2,62-76,,
9:21.0,Shooting foul by R. Covington (drawn by K. Durant),,62-76,,
9:21.0,K. Durant makes free throw 1 of 1,1,63-76,,
9:09.0,,,63-76,,D. Saric misses 2-pt shot from 6 ft
9:01.0,,,63-76,,Offensive rebound by D. Saric
9:01.0,,,63-78,2,D. Saric makes 2-pt shot at rim
8:53.0,D. Green makes 2-pt shot from 4 ft (assist by Z. Pachulia),2,65-78,,
8:39.0,,,65-80,2,R. Covington makes 2-pt shot from 1 ft
8:28.0,Shooting foul by R. Covington (drawn by Z. Pachulia),,65-80,,
8:28.0,Z. Pachulia makes free throw 1 of 2,1,66-80,,
8:28.0,Z. Pachulia misses free throw 2 of 2,,66-80,,
8:24.0,,,66-80,,Defensive rebound by D. Saric
8:10.0,,,66-80,,J. Redick misses 2-pt shot from 13 ft
8:04.0,,,66-80,,Offensive rebound by D. Saric
8:04.0,,,66-82,2,D. Saric makes 2-pt shot at rim
7:56.0,S. Curry makes 2-pt shot from 20 ft,2,68-82,,
7:34.0,,,68-82,,J. Embiid misses 2-pt shot from 10 ft
7:30.0,,,68-82,,Offensive rebound by D. Saric
7:22.0,,,68-82,,D. Saric misses 2-pt shot at rim
7:22.0,Defensive rebound by D. Green,,68-82,,
7:21.0,Z. Pachulia makes 2-pt shot from 3 ft (assist by K. Durant),2,70-82,,
7:21.0,Shooting foul by J. Embiid (drawn by Z. Pachulia),,70-82,,
7:21.0,,,70-82,,T. McConnell enters the game for D. Saric
7:21.0,,,70-82,,R. Holmes enters the game for J. Embiid
7:21.0,Z. Pachulia makes free throw 1 of 1,1,71-82,,
7:10.0,,,71-82,,B. Simmons misses 2-pt shot from 7 ft
7:08.0,Defensive rebound by D. Green,,71-82,,
7:04.0,K. Durant makes 2-pt shot from 14 ft,2,73-82,,
6:49.0,,,73-85,3,R. Covington makes 3-pt shot from 25 ft (assist by J. Redick)
6:29.0,Z. Pachulia misses 2-pt shot from 4 ft (block by R. Covington),,73-85,,
6:29.0,Offensive rebound by Team,,73-85,,
6:29.0,,,73-85,,T. Luwawu-Cabarrot enters the game for J. Redick
6:29.0,K. Looney enters the game for Z. Pachulia,,73-85,,
6:23.0,K. Durant makes 2-pt shot from 17 ft,2,75-85,,
6:05.0,,,75-85,,R. Covington misses 3-pt shot from 26 ft
5:59.0,Defensive rebound by K. Looney,,75-85,,
5:59.0,D. Green makes 2-pt shot at rim (assist by S. Curry),2,77-85,,
5:59.0,,,77-85,,Philadelphia full timeout
5:36.0,,,77-87,2,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft (assist by R. Covington)
5:19.0,,,77-87,,D. Saric enters the game for B. Simmons
5:19.0,,,77-87,,J. Redick enters the game for R. Covington
5:19.0,A. Iguodala enters the game for D. Green,,77-87,,
5:10.0,A. Iguodala misses 3-pt shot from 26 ft,,77-87,,
5:10.0,,,77-87,,Defensive rebound by R. Holmes
4:51.0,,,77-87,,J. Redick misses 2-pt shot from 15 ft
4:51.0,Defensive rebound by A. Iguodala,,77-87,,
4:45.0,K. Durant misses 3-pt shot from 26 ft,,77-87,,
4:45.0,Offensive rebound by K. Looney,,77-87,,
4:40.0,S. Curry makes 3-pt shot from 25 ft (assist by K. Looney),3,80-87,,
4:17.0,,,80-87,,J. Redick misses 3-pt shot from 25 ft
4:14.0,Defensive rebound by K. Durant,,80-87,,
4:04.0,K. Thompson makes 2-pt shot from 13 ft,2,82-87,,
3:41.0,,,82-87,,D. Saric misses 2-pt shot from 17 ft
3:36.0,,,82-87,,Offensive rebound by T. McConnell
3:33.0,,,82-87,,T. Luwawu-Cabarrot misses 3-pt shot from 26 ft
3:33.0,Defensive rebound by K. Looney,,82-87,,
3:28.0,K. Durant misses 3-pt shot from 27 ft,,82-87,,
3:28.0,,,82-87,,Defensive rebound by Team
3:27.0,Loose ball foul by K. Looney (drawn by R. Holmes),,82-87,,
3:27.0,,,82-87,,J. Embiid enters the game for R. Holmes
3:27.0,N. Young enters the game for K. Thompson,,82-87,,
3:11.0,,,82-87,,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft
3:07.0,Defensive rebound by A. Iguodala,,82-87,,
2:59.0,N. Young makes 3-pt shot from 23 ft (assist by S. Curry),3,85-87,,
2:43.0,,,85-89,2,T. McConnell makes 2-pt shot from 3 ft
2:20.0,K. Looney misses 2-pt shot from 4 ft (block by J. Embiid),,85-89,,
2:20.0,,,85-89,,Defensive rebound by D. Saric
2:20.0,,,85-89,,Offensive charge foul by D. Saric (drawn by N. Young)
2:20.0,,,85-89,,Turnover by D. Saric (offensive foul)
2:20.0,Golden State full timeout,,85-89,,
2:20.0,D. Green enters the game for K. Durant,,85-89,,
1:59.0,S. Curry makes 3-pt shot from 27 ft,3,88-89,,
1:54.0,,,88-89,,D. Saric misses 2-pt shot from 6 ft (block by D. Green)
1:54.0,Defensive rebound by S. Curry,,88-89,,
1:49.0,Shooting foul by J. Embiid (drawn by S. Curry),,88-89,,
1:49.0,S. Curry makes free throw 1 of 2,1,89-89,,
1:49.0,S. Curry makes free throw 2 of 2,1,90-89,,
1:38.0,,,90-89,,Turnover by J. Embiid (traveling)
1:38.0,S. Curry makes technical free throw,1,91-89,,
1:22.0,S. Curry misses 2-pt shot from 18 ft,,91-89,,
1:20.0,Offensive rebound by K. Looney,,91-89,,
1:18.0,K. Looney makes 2-pt shot from 3 ft,2,93-89,,
1:18.0,Technical foul by Team,,93-89,,
1:18.0,S. Curry makes technical free throw,1,94-89,,
1:03.0,,,94-89,,Turnover by T. Luwawu-Cabarrot (bad pass; steal by K. Looney)
0:48.0,S. Curry makes 3-pt shot from 28 ft,3,97-89,,
0:32.0,Personal foul by K. Looney (drawn by J. Embiid),,97-89,,
0:26.0,,,97-89,,T. Luwawu-Cabarrot misses 3-pt shot from 24 ft
0:22.0,Defensive rebound by N. Young,,97-89,,
0:04.0,D. Green makes 2-pt shot at rim,2,99-89,,
0:00.0,,,99-89,,T. McConnell misses 2-pt shot from 21 ft (block by K. Looney)
0:00.0,,,99-89,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,99-89,,J. Redick misses 2-pt shot from 21 ft
11:42.0,Defensive rebound by N. Young,,99-89,,
11:26.0,N. Young misses 3-pt shot from 27 ft,,99-89,,
11:24.0,,,99-89,,Defensive rebound by J. Embiid
11:10.0,,,99-89,,J. Embiid misses 3-pt shot from 25 ft
11:07.0,Defensive rebound by D. West,,99-89,,
10:50.0,S. Livingston makes 2-pt shot from 13 ft,2,101-89,,
10:39.0,,,101-89,,Shooting foul by D. Green (drawn by J. Embiid)
10:39.0,,,101-90,1,J. Embiid makes free throw 1 of 2
10:39.0,,,101-91,1,J. Embiid makes free throw 2 of 2
10:15.0,Turnover by Team (shot clock),,101-91,,
9:56.0,,,101-93,2,J. Redick makes 2-pt shot from 21 ft
9:42.0,D. Green misses 2-pt shot from 17 ft,,101-93,,
9:39.0,,,101-93,,Defensive rebound by B. Simmons
9:36.0,,,101-93,,R. Covington misses 3-pt shot from 25 ft
9:36.0,Defensive rebound by A. Iguodala,,101-93,,
9:28.0,Golden State full timeout,,101-93,,
9:28.0,K. Thompson enters the game for N. Young,,101-93,,
9:17.0,D. West makes 2-pt shot from 17 ft (assist by S. Livingston),2,103-93,,
9:06.0,Personal foul by A. Iguodala (drawn by B. Simmons),,103-93,,
8:55.0,,,103-95,2,B. Simmons makes 2-pt shot at rim (assist by J. Embiid)
8:35.0,S. Livingston makes 2-pt shot from 11 ft (assist by D. Green),2,105-95,,
8:25.0,,,105-97,2,B. Simmons makes 2-pt shot from 9 ft
8:15.0,K. Thompson misses 2-pt shot from 17 ft,,105-97,,
8:15.0,,,105-97,,Defensive rebound by R. Covington
7:59.0,,,105-97,,D. Saric misses 2-pt shot from 9 ft
7:56.0,Defensive rebound by D. West,,105-97,,
7:52.0,D. West makes 2-pt shot at rim (assist by A. Iguodala),2,107-97,,
7:29.0,,,107-97,,J. Embiid misses 2-pt shot from 15 ft
7:27.0,Defensive rebound by S. Livingston,,107-97,,
7:08.0,D. West makes 2-pt shot from 3 ft,2,109-97,,
7:08.0,,,109-97,,Philadelphia full timeout
7:08.0,,,109-97,,R. Holmes enters the game for J. Embiid
7:08.0,K. Durant enters the game for D. Green,,109-97,,
6:57.0,,,109-97,,J. Redick misses 2-pt shot from 18 ft
6:51.0,,,109-97,,Offensive rebound by J. Redick
6:50.0,,,109-97,,J. Redick misses 2-pt shot from 19 ft
6:50.0,Defensive rebound by D. West,,109-97,,
6:33.0,K. Thompson makes 2-pt shot from 2 ft,2,111-97,,
6:33.0,,,111-97,,Violation by R. Holmes (def goaltending)
6:24.0,,,111-97,,B. Simmons misses 2-pt shot from 15 ft
6:18.0,,,111-97,,Offensive rebound by B. Simmons
6:18.0,,,111-97,,B. Simmons misses 2-pt shot at rim
6:16.0,Defensive rebound by D. West,,111-97,,
6:08.0,D. West makes 2-pt shot from 16 ft (assist by K. Thompson),2,113-97,,
5:52.0,,,113-97,,Turnover by D. Saric (bad pass)
5:34.0,K. Thompson makes 2-pt shot from 11 ft,2,115-97,,
5:18.0,,,115-97,,D. Saric misses 2-pt shot from 17 ft (block by K. Durant)
5:18.0,Defensive rebound by Team,,115-97,,
5:04.0,K. Thompson misses 2-pt shot from 21 ft,,115-97,,
5:01.0,,,115-97,,Defensive rebound by B. Simmons
4:55.0,,,115-99,2,B. Simmons makes 2-pt shot from 9 ft
4:55.0,,,115-99,,Shooting foul by S. Livingston (drawn by B. Simmons)
4:55.0,,,115-99,,T. Luwawu-Cabarrot enters the game for J. Redick
4:55.0,,,115-99,,J. Embiid enters the game for R. Holmes
4:55.0,,,115-99,,B. Simmons misses free throw 1 of 1
4:51.0,,,115-99,,Offensive rebound by J. Embiid
4:50.0,,,115-101,2,J. Embiid makes 2-pt shot from 1 ft
4:34.0,K. Durant misses 2-pt shot from 19 ft,,115-101,,
4:32.0,,,115-101,,Defensive rebound by J. Embiid
