time,Toronto,pts.away,score,pts.home,Orlando
2:50.0,J. Poeltl makes 2-pt shot from 3 ft (assist by K. Lowry),2,19-18,,
2:34.0,,,19-18,,M. Hezonja misses 2-pt shot from 18 ft
2:32.0,Defensive rebound by S. Ibaka,,19-18,,
2:24.0,K. Lowry misses 2-pt shot from 2 ft,,19-18,,
2:21.0,,,19-18,,Defensive rebound by N. Vucevic
2:13.0,,,19-20,2,N. Vucevic makes 2-pt shot from 1 ft (assist by D. Augustin)
1:59.0,S. Ibaka makes 2-pt shot from 5 ft,2,21-20,,
1:59.0,Shooting foul by M. Hezonja (drawn by S. Ibaka),,21-20,,
1:59.0,,,21-20,,S. Mack enters the game for A. Gordon
1:59.0,,,21-20,,K. Birch enters the game for D. Augustin
1:59.0,N. Powell enters the game for K. Lowry,,21-20,,
1:59.0,S. Ibaka makes free throw 1 of 1,1,22-20,,
1:40.0,,,22-20,,M. Hezonja misses 3-pt shot from 26 ft
1:33.0,,,22-20,,Offensive rebound by W. Iwundu
1:26.0,,,22-20,,Turnover by N. Vucevic (bad pass; steal by D. Wright)
1:19.0,C. Miles misses 3-pt shot from 25 ft,,22-20,,
1:14.0,,,22-20,,Defensive rebound by K. Birch
1:06.0,,,22-20,,N. Vucevic misses 2-pt shot from 6 ft
1:06.0,Defensive rebound by C. Miles,,22-20,,
0:53.0,S. Ibaka makes 2-pt shot from 18 ft (assist by C. Miles),2,24-20,,
0:39.0,,,24-23,3,S. Mack makes 3-pt shot from 26 ft
0:31.0,Turnover by S. Ibaka (lost ball; steal by W. Iwundu),,24-23,,
0:24.0,,,24-23,,M. Hezonja misses 2-pt shot from 5 ft (block by S. Ibaka)
0:22.0,,,24-23,,Offensive rebound by W. Iwundu
0:22.0,,,24-25,2,W. Iwundu makes 2-pt shot from 2 ft
0:00.0,C. Miles misses 3-pt shot from 24 ft,,24-25,,
0:00.0,Offensive rebound by Team,,24-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,24-25,,Turnover by Team (turnover)
11:34.0,P. Siakam misses 2-pt shot from 3 ft,,24-25,,
11:32.0,,,24-25,,Defensive rebound by K. Birch
11:25.0,,,24-25,,S. Mack misses 2-pt shot from 4 ft
11:22.0,Defensive rebound by J. Poeltl,,24-25,,
11:13.0,C. Miles misses 3-pt shot from 25 ft,,24-25,,
11:09.0,,,24-25,,Defensive rebound by B. Biyombo
10:48.0,,,24-27,2,M. Hezonja makes 2-pt shot from 6 ft
10:27.0,N. Powell makes 2-pt shot from 1 ft,2,26-27,,
10:12.0,Personal foul by N. Powell (drawn by M. Hezonja),,26-27,,
10:01.0,,,26-27,,M. Hezonja misses 3-pt shot from 26 ft
9:56.0,,,26-27,,Offensive rebound by K. Birch
9:52.0,,,26-29,2,S. Mack makes 2-pt shot from 2 ft
9:24.0,Turnover by P. Siakam (lost ball; steal by S. Mack),,26-29,,
9:15.0,,,26-29,,K. Birch misses 2-pt shot from 6 ft
9:15.0,,,26-29,,Offensive rebound by B. Biyombo
9:10.0,Jump ball: B. Biyombo vs. J. Poeltl (P. Siakam gains possession),,,,Jump ball: B. Biyombo vs. J. Poeltl (P. Siakam gains possession)
9:10.0,,,26-29,,Turnover by B. Biyombo (turnover; steal by J. Poeltl)
9:06.0,P. Siakam misses 2-pt shot from 2 ft (block by B. Biyombo),,26-29,,
9:03.0,,,26-29,,Defensive rebound by W. Iwundu
9:02.0,,,26-29,,Shooting foul by J. Poeltl (drawn by K. Birch)
9:02.0,,,26-29,,K. Birch misses free throw 1 of 2
9:02.0,,,26-29,,Offensive rebound by Team
9:02.0,,,26-30,1,K. Birch makes free throw 2 of 2
8:48.0,N. Powell misses 3-pt shot from 26 ft,,26-30,,
8:46.0,,,26-30,,Defensive rebound by M. Hezonja
8:36.0,,,26-32,2,M. Hezonja makes 2-pt shot from 16 ft (assist by B. Biyombo)
8:26.0,,,26-32,,Personal foul by M. Hezonja (drawn by N. Powell)
8:22.0,Shooting foul by B. Biyombo (drawn by D. Wright),,26-32,,
8:22.0,D. Wright makes free throw 1 of 2,1,27-32,,
8:22.0,D. Wright makes free throw 2 of 2,1,28-32,,
8:16.0,,,28-34,2,M. Hezonja makes 2-pt shot from 1 ft
7:57.0,N. Powell makes 2-pt shot from 18 ft,2,30-34,,
7:44.0,,,30-36,2,S. Mack makes 2-pt shot from 2 ft
7:34.0,N. Powell makes 3-pt shot from 27 ft (assist by J. Poeltl),3,33-36,,
7:18.0,,,33-39,3,S. Mack makes 3-pt shot from 25 ft
7:09.0,Toronto full timeout,,33-39,,
7:09.0,K. Lowry enters the game for C. Miles,,33-39,,
7:01.0,D. Wright misses 3-pt shot from 26 ft,,33-39,,
6:52.0,,,33-39,,Defensive rebound by B. Biyombo
6:46.0,,,33-39,,M. Hezonja misses 2-pt shot from 18 ft
6:44.0,,,33-39,,Offensive rebound by K. Birch
6:38.0,,,33-41,2,B. Biyombo makes 2-pt shot from 1 ft (assist by S. Mack)
6:21.0,P. Siakam misses 2-pt shot from 6 ft,,33-41,,
6:14.0,Offensive rebound by J. Poeltl,,33-41,,
6:14.0,J. Poeltl makes 2-pt shot at rim,2,35-41,,
6:00.0,,,35-41,,Turnover by M. Hezonja (out of bounds lost ball)
6:00.0,,,35-41,,A. Gordon enters the game for K. Birch
5:49.0,Shooting foul by A. Gordon (drawn by P. Siakam),,35-41,,
5:49.0,P. Siakam makes free throw 1 of 2,1,36-41,,
5:49.0,,,36-41,,D. Augustin enters the game for M. Hezonja
5:49.0,,,36-41,,J. Isaac enters the game for W. Iwundu
5:49.0,L. Brown enters the game for D. Wright,,36-41,,
5:49.0,P. Siakam misses free throw 2 of 2,,36-41,,
5:47.0,Offensive rebound by N. Powell,,36-41,,
5:38.0,Turnover by J. Poeltl (step out of bounds),,36-41,,
5:16.0,,,36-43,2,S. Mack makes 2-pt shot from 2 ft (assist by D. Augustin)
5:08.0,K. Lowry makes 2-pt shot from 3 ft,2,38-43,,
4:58.0,,,38-45,2,A. Gordon makes 2-pt shot from 2 ft
4:49.0,N. Powell makes 3-pt shot from 23 ft (assist by P. Siakam),3,41-45,,
4:43.0,,,41-45,,Orlando full timeout
4:43.0,,,41-45,,N. Vucevic enters the game for B. Biyombo
4:43.0,J. Valanciunas enters the game for J. Poeltl,,41-45,,
4:43.0,S. Ibaka enters the game for P. Siakam,,41-45,,
4:33.0,,,41-47,2,S. Mack makes 2-pt shot from 5 ft (assist by D. Augustin)
4:09.0,Turnover by N. Powell (bad pass; steal by N. Vucevic),,41-47,,
4:03.0,,,41-49,2,A. Gordon makes 2-pt shot from 1 ft (assist by S. Mack)
3:52.0,,,41-49,,Personal foul by A. Gordon (drawn by K. Lowry)
3:46.0,L. Brown misses 2-pt shot from 2 ft (block by J. Isaac),,41-49,,
3:46.0,,,41-49,,Defensive rebound by Team
3:34.0,,,41-49,,N. Vucevic misses 2-pt shot from 11 ft
3:31.0,Defensive rebound by S. Ibaka,,41-49,,
3:20.0,N. Powell misses 3-pt shot from 22 ft,,41-49,,
3:16.0,Offensive rebound by Team,,41-49,,
3:07.0,Turnover by N. Powell (lost ball; steal by S. Mack),,41-49,,
2:54.0,,,41-49,,N. Vucevic misses 2-pt shot from 5 ft
2:52.0,Defensive rebound by J. Valanciunas,,41-49,,
2:46.0,Turnover by K. Lowry (bad pass; steal by J. Isaac),,41-49,,
2:42.0,,,41-51,2,A. Gordon makes 2-pt shot from 2 ft (assist by S. Mack)
2:33.0,L. Brown makes 3-pt shot from 25 ft,3,44-51,,
2:21.0,,,44-51,,N. Vucevic misses 2-pt shot from 10 ft
2:21.0,,,44-51,,Offensive rebound by Team
2:21.0,Personal foul by N. Powell (drawn by J. Isaac),,44-51,,
2:21.0,C. Miles enters the game for N. Powell,,44-51,,
2:02.0,,,44-51,,Turnover by J. Isaac (lost ball; steal by C. Miles)
1:46.0,K. Lowry makes 3-pt shot from 25 ft,3,47-51,,
1:16.0,,,47-51,,S. Mack misses 3-pt shot from 23 ft
1:14.0,Defensive rebound by C. Miles,,47-51,,
1:07.0,,,47-51,,Personal foul by S. Mack (drawn by J. Valanciunas)
1:07.0,J. Valanciunas misses free throw 1 of 2,,47-51,,
1:07.0,Offensive rebound by Team,,47-51,,
1:07.0,,,47-51,,A. Afflalo enters the game for A. Gordon
1:07.0,J. Valanciunas misses free throw 2 of 2,,47-51,,
1:05.0,,,47-51,,Defensive rebound by N. Vucevic
0:53.0,,,47-51,,S. Mack misses 2-pt shot from 9 ft
0:52.0,Defensive rebound by S. Ibaka,,47-51,,
0:47.0,K. Lowry makes 2-pt shot from 1 ft,2,49-51,,
0:31.0,,,49-51,,D. Augustin misses 2-pt shot from 3 ft (block by J. Valanciunas)
0:27.0,Defensive rebound by C. Miles,,49-51,,
0:25.0,K. Lowry makes 3-pt shot from 25 ft,3,52-51,,
0:03.0,,,52-51,,S. Mack misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by J. Valanciunas,,52-51,,
0:00.0,K. Lowry misses 3-pt shot from 43 ft,,52-51,,
0:00.0,Offensive rebound by Team,,52-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,52-51,,A. Gordon misses 2-pt shot from 10 ft
11:36.0,Defensive rebound by N. Powell,,52-51,,
11:26.0,S. Ibaka misses 2-pt shot from 10 ft,,52-51,,
11:24.0,,,52-51,,Defensive rebound by N. Vucevic
11:22.0,,,52-51,,Turnover by J. Isaac (traveling)
10:58.0,K. Lowry misses 3-pt shot from 25 ft,,52-51,,
10:56.0,,,52-51,,Defensive rebound by N. Vucevic
10:45.0,,,52-54,3,A. Gordon makes 3-pt shot from 25 ft (assist by N. Vucevic)
10:31.0,Shooting foul by N. Vucevic (drawn by J. Valanciunas),,52-54,,
10:31.0,J. Valanciunas misses free throw 1 of 2,,52-54,,
10:31.0,Offensive rebound by Team,,52-54,,
10:31.0,J. Valanciunas makes free throw 2 of 2,1,53-54,,
10:17.0,,,53-54,,A. Gordon misses 2-pt shot from 5 ft (block by S. Ibaka)
10:17.0,,,53-54,,Offensive rebound by Team
10:11.0,,,53-54,,A. Afflalo misses 2-pt shot from 10 ft (block by N. Powell)
10:11.0,Defensive rebound by O. Anunoby,,53-54,,
10:04.0,J. Valanciunas misses 3-pt shot from 25 ft,,53-54,,
10:01.0,,,53-54,,Defensive rebound by J. Isaac
9:53.0,,,53-56,2,N. Vucevic makes 2-pt shot from 17 ft (assist by D. Augustin)
9:38.0,K. Lowry makes 3-pt shot from 26 ft (assist by N. Powell),3,56-56,,
9:26.0,,,56-59,3,D. Augustin makes 3-pt shot from 26 ft
9:12.0,Jump ball: J. Isaac vs. K. Lowry (N. Vucevic gains possession),,,,Jump ball: J. Isaac vs. K. Lowry (N. Vucevic gains possession)
9:12.0,Turnover by K. Lowry (lost ball; steal by J. Isaac),,56-59,,
8:54.0,,,56-61,2,N. Vucevic makes 2-pt shot from 3 ft
8:33.0,N. Powell misses 2-pt shot from 2 ft,,56-61,,
8:30.0,,,56-61,,Defensive rebound by D. Augustin
8:28.0,,,56-61,,Turnover by D. Augustin (bad pass; steal by O. Anunoby)
8:20.0,Turnover by O. Anunoby (lost ball; steal by J. Isaac),,56-61,,
8:14.0,,,56-63,2,D. Augustin makes 2-pt shot from 3 ft (assist by A. Gordon)
7:53.0,Turnover by N. Powell (bad pass; steal by J. Isaac),,56-63,,
7:33.0,,,56-65,2,J. Isaac makes 2-pt shot from 3 ft (assist by N. Vucevic)
7:05.0,S. Ibaka misses 2-pt shot from 4 ft,,56-65,,
7:03.0,,,56-65,,Defensive rebound by N. Vucevic
6:53.0,,,56-67,2,D. Augustin makes 2-pt shot from 3 ft
6:35.0,S. Ibaka makes 2-pt shot from 2 ft (assist by K. Lowry),2,58-67,,
6:19.0,,,58-67,,A. Gordon misses 3-pt shot from 27 ft
6:17.0,Defensive rebound by J. Valanciunas,,58-67,,
6:06.0,Turnover by K. Lowry (bad pass; steal by N. Vucevic),,58-67,,
6:04.0,Personal foul by N. Powell (drawn by D. Augustin),,58-67,,
6:04.0,D. Wright enters the game for O. Anunoby,,58-67,,
6:04.0,C. Miles enters the game for N. Powell,,58-67,,
5:55.0,,,58-67,,N. Vucevic misses 2-pt shot from 4 ft
5:53.0,Defensive rebound by S. Ibaka,,58-67,,
5:43.0,J. Valanciunas misses 2-pt shot from 6 ft,,58-67,,
5:41.0,,,58-67,,Defensive rebound by N. Vucevic
5:34.0,Personal foul by J. Valanciunas (drawn by N. Vucevic),,58-67,,
5:34.0,L. Nogueira enters the game for J. Valanciunas,,58-67,,
5:22.0,,,58-67,,N. Vucevic misses 3-pt shot from 26 ft
5:19.0,Defensive rebound by C. Miles,,58-67,,
5:17.0,,,58-67,,Personal foul by J. Isaac (drawn by K. Lowry)
5:06.0,D. Wright misses 3-pt shot from 23 ft,,58-67,,
5:02.0,,,58-67,,Defensive rebound by A. Gordon
4:55.0,Personal foul by D. Wright (drawn by A. Afflalo),,58-67,,
4:55.0,,,58-67,,W. Iwundu enters the game for J. Isaac
4:55.0,,,58-67,,M. Hezonja enters the game for A. Afflalo
4:41.0,,,58-67,,D. Augustin misses 3-pt shot from 28 ft
4:41.0,,,58-67,,Offensive rebound by Team
4:41.0,,,58-67,,Turnover by Team (shot clock)
4:28.0,S. Ibaka misses 3-pt shot from 22 ft,,58-67,,
4:26.0,,,58-67,,Defensive rebound by M. Hezonja
4:07.0,,,58-67,,N. Vucevic misses 2-pt shot from 4 ft
4:05.0,Defensive rebound by K. Lowry,,58-67,,
3:59.0,C. Miles makes 3-pt shot from 25 ft (assist by K. Lowry),3,61-67,,
3:58.0,,,61-67,,Orlando full timeout
3:44.0,,,61-67,,N. Vucevic misses 2-pt shot from 20 ft
3:42.0,Defensive rebound by S. Ibaka,,61-67,,
3:35.0,C. Miles misses 3-pt shot from 23 ft,,61-67,,
3:31.0,,,61-67,,Defensive rebound by A. Gordon
3:25.0,,,61-67,,B. Biyombo enters the game for N. Vucevic
3:17.0,,,61-69,2,M. Hezonja makes 2-pt shot from 19 ft (assist by D. Augustin)
3:00.0,L. Nogueira makes 2-pt shot from 2 ft (assist by D. Wright),2,63-69,,
2:48.0,,,63-71,2,B. Biyombo makes 2-pt shot from 1 ft (assist by D. Augustin)
2:32.0,S. Ibaka makes 3-pt shot from 23 ft (assist by C. Miles),3,66-71,,
2:19.0,,,66-73,2,D. Augustin makes 2-pt shot from 3 ft
2:13.0,K. Lowry misses 3-pt shot from 26 ft,,66-73,,
2:08.0,,,66-73,,Defensive rebound by A. Gordon
1:46.0,,,66-73,,M. Hezonja misses 2-pt shot from 20 ft
1:44.0,Defensive rebound by L. Nogueira,,66-73,,
1:37.0,Turnover by K. Lowry (lost ball; steal by M. Hezonja),,66-73,,
1:13.0,,,66-76,3,A. Gordon makes 3-pt shot from 26 ft
1:04.0,K. Lowry misses 2-pt shot from 3 ft (block by M. Hezonja),,66-76,,
1:04.0,Offensive rebound by Team,,66-76,,
1:04.0,,,66-76,,K. Birch enters the game for A. Gordon
1:04.0,,,66-76,,S. Mack enters the game for D. Augustin
1:04.0,P. Siakam enters the game for K. Lowry,,66-76,,
1:04.0,L. Brown enters the game for S. Ibaka,,66-76,,
1:01.0,C. Miles misses 3-pt shot from 23 ft,,66-76,,
0:59.0,,,66-76,,Defensive rebound by M. Hezonja
0:41.0,,,66-76,,Turnover by S. Mack (bad pass; steal by P. Siakam)
0:38.0,P. Siakam makes 2-pt shot from 1 ft (assist by D. Wright),2,68-76,,
0:27.0,,,68-76,,M. Hezonja misses 2-pt shot from 5 ft (block by L. Nogueira)
0:27.0,Defensive rebound by P. Siakam,,68-76,,
0:06.0,,,68-76,,Personal foul by B. Biyombo (drawn by D. Wright)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,D. Wright misses 2-pt shot from 6 ft,,68-76,,
11:45.0,,,68-76,,Defensive rebound by W. Iwundu
11:27.0,,,68-76,,Turnover by W. Iwundu (bad pass; steal by L. Brown)
11:25.0,P. Siakam misses 2-pt shot from 3 ft (block by B. Biyombo),,68-76,,
11:23.0,,,68-76,,Defensive rebound by B. Biyombo
11:15.0,,,68-76,,S. Mack misses 2-pt shot from 7 ft
11:13.0,,,68-76,,Offensive rebound by B. Biyombo
11:13.0,,,68-76,,B. Biyombo misses 2-pt shot at rim
11:12.0,Defensive rebound by D. Wright,,68-76,,
11:05.0,C. Miles misses 3-pt shot from 26 ft,,68-76,,
11:02.0,,,68-76,,Defensive rebound by B. Biyombo
10:38.0,,,68-76,,S. Mack misses 3-pt shot from 28 ft
10:38.0,,,68-76,,Offensive rebound by Team
10:38.0,,,68-76,,Turnover by Team (shot clock)
10:28.0,D. Wright makes 2-pt shot from 3 ft,2,70-76,,
10:04.0,,,70-76,,S. Mack misses 2-pt shot from 5 ft
10:04.0,,,70-76,,Offensive rebound by B. Biyombo
10:02.0,,,70-76,,B. Biyombo misses 2-pt shot from 4 ft
10:00.0,Defensive rebound by P. Siakam,,70-76,,
9:42.0,Shooting foul by A. Afflalo (drawn by L. Nogueira),,70-76,,
9:42.0,L. Nogueira misses free throw 1 of 2,,70-76,,
9:42.0,Offensive rebound by Team,,70-76,,
9:42.0,L. Nogueira misses free throw 2 of 2,,70-76,,
9:41.0,,,70-76,,Defensive rebound by M. Hezonja
9:38.0,Jump ball: M. Hezonja vs. D. Wright (B. Biyombo gains possession),,,,Jump ball: M. Hezonja vs. D. Wright (B. Biyombo gains possession)
9:19.0,,,70-76,,W. Iwundu misses 2-pt shot from 16 ft
9:18.0,Defensive rebound by L. Nogueira,,70-76,,
8:58.0,L. Brown misses 2-pt shot from 11 ft,,70-76,,
8:56.0,,,70-76,,Defensive rebound by B. Biyombo
8:42.0,,,70-76,,S. Mack misses 2-pt shot from 5 ft (block by P. Siakam)
8:38.0,Defensive rebound by P. Siakam,,70-76,,
8:27.0,C. Miles misses 2-pt shot from 6 ft (block by A. Afflalo),,70-76,,
8:26.0,Offensive rebound by Team,,70-76,,
8:26.0,,,70-76,,D. Augustin enters the game for M. Hezonja
8:26.0,,,70-76,,J. Isaac enters the game for W. Iwundu
8:26.0,K. Lowry enters the game for C. Miles,,70-76,,
8:24.0,Turnover by L. Brown (bad pass),,70-76,,
8:08.0,,,70-76,,S. Mack misses 2-pt shot from 4 ft (block by L. Nogueira)
8:03.0,Defensive rebound by K. Lowry,,70-76,,
8:03.0,Shooting foul by J. Isaac (drawn by L. Brown),,70-76,,
8:03.0,L. Brown makes free throw 1 of 2,1,71-76,,
8:03.0,,,71-76,,A. Gordon enters the game for S. Mack
8:03.0,L. Brown makes free throw 2 of 2,1,72-76,,
7:43.0,,,72-76,,Turnover by A. Afflalo (bad pass)
7:31.0,Turnover by P. Siakam (discontinued dribble),,72-76,,
7:13.0,,,72-76,,Shooting foul by D. Wright (drawn by B. Biyombo)
7:13.0,,,72-77,1,B. Biyombo makes free throw 1 of 2
7:13.0,,,72-78,1,B. Biyombo makes free throw 2 of 2
6:58.0,P. Siakam misses 2-pt shot from 6 ft (block by A. Gordon),,72-78,,
6:55.0,Offensive rebound by P. Siakam,,72-78,,
6:49.0,L. Brown makes 2-pt shot from 9 ft,2,74-78,,
6:35.0,,,74-78,,A. Gordon misses 3-pt shot from 26 ft
6:32.0,Defensive rebound by D. Wright,,74-78,,
6:26.0,D. Wright makes 2-pt shot from 4 ft,2,76-78,,
6:26.0,,,76-78,,Orlando full timeout
6:26.0,,,76-78,,N. Vucevic enters the game for B. Biyombo
6:19.0,,,76-78,,Offensive foul by D. Augustin (drawn by K. Lowry)
6:19.0,,,76-78,,Turnover by D. Augustin (offensive foul)
6:05.0,L. Nogueira makes 2-pt shot from 2 ft (assist by K. Lowry),2,78-78,,
5:41.0,,,78-78,,J. Isaac misses 2-pt shot from 16 ft
5:39.0,Defensive rebound by P. Siakam,,78-78,,
5:30.0,K. Lowry makes 3-pt shot from 25 ft,3,81-78,,
5:07.0,,,81-78,,D. Augustin misses 3-pt shot from 26 ft
5:05.0,Defensive rebound by D. Wright,,81-78,,
4:53.0,P. Siakam makes 3-pt shot from 23 ft (assist by D. Wright),3,84-78,,
4:52.0,,,84-78,,Orlando full timeout
4:52.0,,,84-78,,S. Mack enters the game for J. Isaac
4:31.0,,,84-80,2,N. Vucevic makes 2-pt shot from 7 ft (assist by A. Afflalo)
4:16.0,Offensive foul by D. Wright (drawn by D. Augustin),,84-80,,
4:16.0,Turnover by D. Wright (offensive foul),,84-80,,
3:50.0,,,84-80,,D. Augustin misses 2-pt shot from 20 ft
3:48.0,Defensive rebound by L. Nogueira,,84-80,,
3:39.0,P. Siakam makes 2-pt shot from 1 ft (assist by K. Lowry),2,86-80,,
3:09.0,,,86-80,,A. Afflalo misses 2-pt shot from 22 ft
3:07.0,Defensive rebound by K. Lowry,,86-80,,
3:04.0,Toronto full timeout,,86-80,,
3:04.0,,,86-80,,J. Isaac enters the game for A. Afflalo
2:47.0,D. Wright makes 2-pt shot from 6 ft,2,88-80,,
2:21.0,,,88-80,,A. Gordon misses 3-pt shot from 25 ft
2:19.0,Defensive rebound by P. Siakam,,88-80,,
2:05.0,P. Siakam misses 3-pt shot from 23 ft,,88-80,,
2:01.0,Offensive rebound by L. Nogueira,,88-80,,
1:43.0,K. Lowry misses 3-pt shot from 25 ft,,88-80,,
1:41.0,Offensive rebound by D. Wright,,88-80,,
1:39.0,K. Lowry makes 3-pt shot from 24 ft (assist by D. Wright),3,91-80,,
1:39.0,,,91-80,,Orlando full timeout
1:28.0,Personal block foul by L. Nogueira (drawn by A. Gordon),,91-80,,
1:24.0,,,91-83,3,N. Vucevic makes 3-pt shot from 25 ft (assist by S. Mack)
1:03.0,Turnover by P. Siakam (bad pass; steal by N. Vucevic),,91-83,,
0:54.0,,,91-83,,A. Gordon misses 3-pt shot from 26 ft
0:40.0,Defensive rebound by P. Siakam,,91-83,,
0:40.0,,,91-83,,Personal foul by J. Isaac (drawn by K. Lowry)
0:38.0,,,91-83,,Personal foul by J. Isaac (drawn by D. Wright)
0:38.0,D. Wright makes free throw 1 of 2,1,92-83,,
0:38.0,D. Wright misses free throw 2 of 2,,92-83,,
0:35.0,,,92-83,,Defensive rebound by A. Gordon
0:27.0,,,92-83,,A. Gordon misses 3-pt shot from 26 ft
0:25.0,,,92-83,,Offensive rebound by N. Vucevic
