time,Minnesota,pts.away,score,pts.home,Phoenix
4:42.0,Turnover by J. Teague (offensive foul),,14-13,,
4:42.0,T. Jones enters the game for J. Teague,,14-13,,
4:21.0,,,14-15,2,T. Warren makes 2-pt shot from 17 ft (assist by A. Len)
3:54.0,T. Gibson misses 2-pt shot from 19 ft,,14-15,,
3:52.0,,,14-15,,Defensive rebound by T. Warren
3:40.0,,,14-15,,T. Warren misses 2-pt shot from 21 ft
3:38.0,Defensive rebound by T. Jones,,14-15,,
3:29.0,T. Gibson misses 2-pt shot from 8 ft,,14-15,,
3:27.0,,,14-15,,Defensive rebound by D. Booker
3:08.0,,,14-17,2,D. Bender makes 2-pt shot at rim (assist by M. James)
2:53.0,T. Jones makes 2-pt shot from 2 ft,2,16-17,,
2:36.0,,,16-17,,D. Bender misses 3-pt shot from 26 ft
2:34.0,Defensive rebound by T. Gibson,,16-17,,
2:26.0,Shooting foul by M. James (drawn by T. Gibson),,16-17,,
2:26.0,Minnesota full timeout,,16-17,,
2:26.0,,,16-17,,J. Jackson enters the game for T. Warren
2:26.0,T. Gibson makes free throw 1 of 2,1,17-17,,
2:26.0,T. Gibson makes free throw 2 of 2,1,18-17,,
2:08.0,,,18-17,,Turnover by J. Jackson (lost ball; steal by A. Wiggins)
2:04.0,A. Wiggins makes 2-pt shot from 1 ft,2,20-17,,
1:52.0,,,20-17,,D. Bender misses 2-pt shot from 4 ft
1:52.0,Defensive rebound by Team,,20-17,,
1:35.0,N. Bjelica misses 3-pt shot from 25 ft,,20-17,,
1:34.0,Offensive rebound by J. Butler,,20-17,,
1:34.0,,,20-17,,Personal foul by D. Booker (drawn by J. Butler)
1:34.0,J. Butler makes free throw 1 of 2,1,21-17,,
1:34.0,,,21-17,,T. Daniels enters the game for D. Booker
1:34.0,J. Butler makes free throw 2 of 2,1,22-17,,
1:20.0,,,22-17,,T. Daniels misses 3-pt shot from 23 ft
1:17.0,Defensive rebound by J. Butler,,22-17,,
1:04.0,A. Wiggins makes 2-pt shot from 17 ft (assist by J. Butler),2,24-17,,
0:45.0,,,24-17,,Shooting foul by T. Gibson (drawn by J. Jackson)
0:45.0,,,24-17,,J. Jackson misses free throw 1 of 2
0:45.0,,,24-17,,Offensive rebound by Team
0:45.0,,,24-17,,J. Jackson misses free throw 2 of 2
0:44.0,Defensive rebound by N. Bjelica,,24-17,,
0:37.0,,,24-17,,Personal foul by J. Jackson (drawn by A. Wiggins)
0:37.0,A. Wiggins makes free throw 1 of 2,1,25-17,,
0:37.0,A. Wiggins makes free throw 2 of 2,1,26-17,,
0:23.0,,,26-19,2,M. James makes 2-pt shot from 19 ft
0:03.0,J. Butler misses 2-pt shot from 5 ft,,26-19,,
0:01.0,Offensive rebound by T. Gibson,,26-19,,
0:01.0,T. Gibson makes 2-pt shot at rim,2,28-19,,
0:00.0,,,28-19,,J. Jackson misses 3-pt shot from 41 ft
0:00.0,,,28-19,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,28-22,3,D. Bender makes 3-pt shot from 23 ft (assist by M. James)
11:29.0,J. Crawford misses 2-pt shot from 10 ft,,28-22,,
11:25.0,,,28-22,,Defensive rebound by A. Len
11:17.0,Shooting block foul by N. Bjelica (drawn by J. Jackson),,28-22,,
11:17.0,,,28-22,,J. Jackson misses free throw 1 of 2
11:17.0,,,28-22,,Offensive rebound by Team
11:17.0,,,28-23,1,J. Jackson makes free throw 2 of 2
11:08.0,N. Bjelica makes 2-pt shot at rim,2,30-23,,
11:00.0,,,30-23,,Turnover by M. James (bad pass)
10:44.0,N. Bjelica misses 3-pt shot from 27 ft,,30-23,,
10:41.0,,,30-23,,Defensive rebound by J. Jackson
10:36.0,,,30-23,,J. Jackson misses 2-pt shot from 1 ft
10:36.0,,,30-23,,A. Len misses 2-pt shot from 1 ft
10:36.0,Defensive rebound by S. Muhammad,,30-23,,
10:35.0,,,30-23,,Defensive rebound by A. Len
10:29.0,S. Muhammad makes 2-pt shot from 4 ft,2,32-23,,
10:29.0,,,32-23,,Phoenix full timeout
10:29.0,,,32-23,,T. Warren enters the game for T. Daniels
10:13.0,,,32-25,2,J. Jackson makes 2-pt shot from 1 ft
10:13.0,,,32-25,,Shooting foul by J. Crawford (drawn by J. Jackson)
10:13.0,,,32-26,1,J. Jackson makes free throw 1 of 1
10:00.0,K. Towns misses 2-pt shot from 9 ft,,32-26,,
9:57.0,,,32-26,,Defensive rebound by A. Len
9:47.0,,,32-26,,T. Warren misses 2-pt shot from 1 ft
9:42.0,,,32-26,,Offensive rebound by A. Len
9:42.0,,,32-28,2,A. Len makes 2-pt shot at rim
9:29.0,S. Muhammad misses 2-pt shot from 7 ft,,32-28,,
9:24.0,Offensive rebound by N. Bjelica,,32-28,,
9:24.0,N. Bjelica makes 2-pt shot at rim,2,34-28,,
9:20.0,,,34-28,,J. Jackson misses 2-pt shot from 12 ft
9:18.0,Defensive rebound by N. Bjelica,,34-28,,
9:07.0,S. Muhammad makes 2-pt shot from 7 ft (assist by N. Bjelica),2,36-28,,
8:51.0,,,36-30,2,M. James makes 2-pt shot from 20 ft
8:27.0,N. Bjelica misses 2-pt shot from 1 ft (block by A. Len),,36-30,,
8:14.0,Offensive rebound by N. Bjelica,,36-30,,
8:14.0,N. Bjelica makes 2-pt shot at rim,2,38-30,,
8:12.0,,,38-30,,J. Jackson misses 3-pt shot from 25 ft
8:08.0,Defensive rebound by N. Bjelica,,38-30,,
8:01.0,J. Crawford misses 2-pt shot from 15 ft (block by J. Jackson),,38-30,,
7:58.0,Offensive rebound by J. Crawford,,38-30,,
7:52.0,Shooting foul by D. Bender (drawn by S. Muhammad),,38-30,,
7:52.0,,,38-30,,M. Chriss enters the game for J. Jackson
7:52.0,,,38-30,,D. Booker enters the game for D. Bender
7:52.0,,,38-30,,T. Ulis enters the game for M. James
7:52.0,J. Butler enters the game for T. Jones,,38-30,,
7:52.0,J. Teague enters the game for N. Bjelica,,38-30,,
7:52.0,S. Muhammad misses free throw 1 of 2,,38-30,,
7:52.0,Offensive rebound by Team,,38-30,,
7:52.0,S. Muhammad makes free throw 2 of 2,1,39-30,,
7:33.0,,,39-32,2,M. Chriss makes 2-pt shot at rim (assist by T. Ulis)
7:11.0,K. Towns makes 2-pt shot at rim (assist by J. Butler),2,41-32,,
7:05.0,,,41-35,3,D. Booker makes 3-pt shot from 27 ft
6:50.0,Shooting foul by M. Chriss (drawn by S. Muhammad),,41-35,,
6:50.0,S. Muhammad makes free throw 1 of 2,1,42-35,,
6:50.0,,,42-35,,J. Jackson enters the game for A. Len
6:50.0,,,42-35,,T. Chandler enters the game for M. Chriss
6:50.0,T. Gibson enters the game for J. Crawford,,42-35,,
6:50.0,S. Muhammad makes free throw 2 of 2,1,43-35,,
6:36.0,,,43-35,,J. Jackson misses 2-pt shot from 6 ft (block by K. Towns)
6:36.0,,,43-35,,Offensive rebound by Team
6:36.0,A. Wiggins enters the game for S. Muhammad,,43-35,,
6:26.0,,,43-35,,J. Jackson misses 3-pt shot from 28 ft
6:21.0,Defensive rebound by K. Towns,,43-35,,
6:17.0,Turnover by J. Teague (bad pass),,43-35,,
6:02.0,,,43-37,2,T. Warren makes 2-pt shot from 11 ft
5:40.0,A. Wiggins misses 2-pt shot from 5 ft (block by T. Chandler),,43-37,,
5:37.0,,,43-37,,Defensive rebound by T. Chandler
5:33.0,,,43-37,,J. Jackson misses 3-pt shot from 25 ft
5:31.0,Defensive rebound by J. Teague,,43-37,,
5:20.0,J. Teague misses 3-pt shot from 25 ft,,43-37,,
5:16.0,,,43-37,,Defensive rebound by J. Jackson
5:09.0,,,43-37,,D. Booker misses 3-pt shot from 22 ft
5:06.0,Defensive rebound by J. Teague,,43-37,,
4:59.0,J. Teague misses 2-pt shot from 17 ft,,43-37,,
4:56.0,,,43-37,,Defensive rebound by J. Jackson
4:53.0,,,43-39,2,T. Warren makes 2-pt shot from 1 ft (assist by J. Jackson)
4:38.0,,,43-39,,Personal foul by D. Booker (drawn by J. Butler)
4:29.0,Turnover by J. Butler (traveling),,43-39,,
4:16.0,,,43-41,2,J. Jackson makes 2-pt shot from 19 ft
4:04.0,K. Towns misses 3-pt shot from 25 ft,,43-41,,
4:03.0,,,43-41,,Defensive rebound by T. Ulis
4:02.0,,,43-41,,Turnover by T. Ulis (bad pass)
3:50.0,A. Wiggins misses 2-pt shot from 17 ft,,43-41,,
3:48.0,Offensive rebound by T. Gibson,,43-41,,
3:48.0,Shooting foul by J. Jackson (drawn by T. Gibson),,43-41,,
3:48.0,T. Gibson makes free throw 1 of 2,1,44-41,,
3:48.0,T. Gibson makes free throw 2 of 2,1,45-41,,
3:39.0,,,45-43,2,J. Jackson makes 2-pt shot from 12 ft
3:28.0,Shooting foul by T. Ulis (drawn by J. Teague),,45-43,,
3:28.0,J. Teague misses free throw 1 of 2,,45-43,,
3:28.0,Offensive rebound by Team,,45-43,,
3:28.0,,,45-43,,M. Chriss enters the game for T. Ulis
3:28.0,J. Teague makes free throw 2 of 2,1,46-43,,
3:20.0,,,46-43,,Turnover by J. Jackson (lost ball; steal by J. Teague)
3:15.0,A. Wiggins makes 2-pt shot at rim,2,48-43,,
2:55.0,Def 3 sec tech foul by T. Gibson,,48-43,,
2:55.0,Minnesota full timeout,,48-43,,
2:55.0,,,48-44,1,D. Booker makes technical free throw
2:50.0,,,48-44,,Turnover by J. Jackson (bad pass; steal by A. Wiggins)
2:49.0,,,48-44,,Personal foul by T. Warren (drawn by J. Butler)
2:49.0,J. Butler makes free throw 1 of 2,1,49-44,,
2:49.0,J. Butler makes free throw 2 of 2,1,50-44,,
2:35.0,,,50-47,3,D. Booker makes 3-pt shot from 26 ft
2:13.0,K. Towns makes 2-pt shot at rim,2,52-47,,
2:01.0,,,52-49,2,D. Booker makes 2-pt shot from 16 ft
1:48.0,A. Wiggins makes 3-pt shot from 25 ft (assist by K. Towns),3,55-49,,
1:28.0,,,55-49,,J. Jackson misses 3-pt shot from 24 ft
1:26.0,,,55-49,,Offensive rebound by M. Chriss
1:22.0,,,55-49,,J. Jackson misses 2-pt shot from 2 ft (block by K. Towns)
1:22.0,,,55-49,,Offensive rebound by T. Chandler
1:22.0,,,55-49,,Shooting foul by T. Gibson (drawn by T. Chandler)
1:22.0,,,55-50,1,T. Chandler makes free throw 1 of 2
1:22.0,,,55-51,1,T. Chandler makes free throw 2 of 2
1:06.0,A. Wiggins misses 2-pt shot from 1 ft,,55-51,,
1:05.0,,,55-51,,Defensive rebound by D. Booker
1:02.0,,,55-53,2,T. Warren makes 2-pt shot at rim (assist by D. Booker)
0:42.0,K. Towns makes 2-pt shot at rim (assist by J. Teague),2,57-53,,
0:38.0,,,57-56,3,D. Booker makes 3-pt shot from 24 ft
0:28.0,J. Teague misses 2-pt shot from 12 ft,,57-56,,
0:22.0,Offensive rebound by T. Gibson,,57-56,,
0:22.0,T. Gibson misses 2-pt shot at rim,,57-56,,
0:21.0,,,57-56,,Defensive rebound by J. Jackson
0:03.0,,,57-56,,Turnover by J. Jackson (bad pass; steal by J. Teague)
0:00.0,Shooting foul by D. Booker (drawn by J. Butler),,57-56,,
0:00.0,J. Butler makes free throw 1 of 3,1,58-56,,
0:00.0,J. Butler makes free throw 2 of 3,1,59-56,,
0:00.0,J. Butler makes free throw 3 of 3,1,60-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,60-56,,T. Ulis misses 3-pt shot from 22 ft
11:38.0,,,60-56,,Offensive rebound by Team
11:38.0,Loose ball foul by K. Towns (drawn by T. Chandler),,60-56,,
11:23.0,,,60-56,,T. Warren misses 2-pt shot from 13 ft
11:19.0,Defensive rebound by T. Gibson,,60-56,,
11:06.0,J. Teague misses 2-pt shot from 4 ft (block by M. Chriss),,60-56,,
11:04.0,,,60-56,,Defensive rebound by M. Chriss
10:59.0,,,60-56,,T. Warren misses 2-pt shot from 1 ft
10:59.0,,,60-56,,Offensive rebound by T. Warren
10:56.0,,,60-58,2,T. Warren makes 2-pt shot at rim
10:34.0,J. Butler misses 2-pt shot from 7 ft,,60-58,,
10:34.0,Offensive rebound by K. Towns,,60-58,,
10:34.0,Shooting foul by M. Chriss (drawn by J. Butler),,60-58,,
10:34.0,J. Butler misses free throw 1 of 2,,60-58,,
10:34.0,Offensive rebound by Team,,60-58,,
10:34.0,J. Butler makes free throw 2 of 2,1,61-58,,
10:25.0,,,61-61,3,M. Chriss makes 3-pt shot from 25 ft (assist by D. Booker)
10:09.0,J. Teague makes 2-pt shot from 9 ft,2,63-61,,
9:58.0,,,63-61,,T. Ulis misses 2-pt shot from 11 ft
9:55.0,Defensive rebound by K. Towns,,63-61,,
9:43.0,A. Wiggins misses 3-pt shot from 25 ft,,63-61,,
9:41.0,,,63-61,,Defensive rebound by D. Booker
9:35.0,,,63-61,,D. Booker misses 2-pt shot from 13 ft
9:33.0,Defensive rebound by K. Towns,,63-61,,
9:23.0,A. Wiggins misses 2-pt shot from 9 ft,,63-61,,
9:21.0,Offensive rebound by K. Towns,,63-61,,
9:20.0,K. Towns misses 2-pt shot at rim,,63-61,,
9:20.0,Offensive rebound by K. Towns,,63-61,,
9:20.0,,,63-61,,Loose ball foul by T. Chandler (drawn by K. Towns)
9:14.0,T. Gibson misses 3-pt shot from 23 ft,,63-61,,
9:12.0,,,63-61,,Defensive rebound by M. Chriss
9:08.0,,,63-63,2,D. Booker makes 2-pt shot from 16 ft
8:51.0,T. Gibson makes 2-pt shot from 7 ft (assist by J. Butler),2,65-63,,
8:40.0,,,65-66,3,M. Chriss makes 3-pt shot from 24 ft (assist by T. Ulis)
8:24.0,J. Butler makes 3-pt shot from 25 ft,3,68-66,,
8:00.0,,,68-68,2,T. Chandler makes 2-pt shot at rim (assist by T. Ulis)
7:49.0,J. Teague misses 2-pt shot from 16 ft,,68-68,,
7:47.0,Offensive rebound by K. Towns,,68-68,,
7:45.0,K. Towns makes 2-pt shot from 12 ft,2,70-68,,
7:37.0,,,70-70,2,D. Booker makes 2-pt shot at rim (assist by T. Ulis)
7:23.0,Turnover by J. Teague (lost ball; steal by T. Ulis),,70-70,,
7:19.0,,,70-72,2,T. Warren makes 2-pt shot at rim (assist by T. Ulis)
7:19.0,,,70-72,,Shooting foul by J. Teague (drawn by T. Warren)
7:19.0,,,70-73,1,T. Warren makes free throw 1 of 1
7:01.0,J. Teague misses 3-pt shot from 24 ft,,70-73,,
6:58.0,,,70-73,,Defensive rebound by T. Chandler
6:52.0,,,70-73,,D. Booker misses 2-pt shot from 7 ft
6:49.0,Defensive rebound by K. Towns,,70-73,,
6:42.0,K. Towns misses 3-pt shot from 25 ft,,70-73,,
6:39.0,,,70-73,,Defensive rebound by M. Chriss
6:36.0,,,70-73,,Phoenix full timeout
6:36.0,,,70-73,,A. Len enters the game for T. Chandler
6:16.0,,,70-73,,M. Chriss misses 2-pt shot from 8 ft
6:11.0,,,70-73,,Offensive rebound by A. Len
6:11.0,,,70-75,2,A. Len makes 2-pt shot at rim
6:00.0,J. Teague makes 2-pt shot from 12 ft,2,72-75,,
5:51.0,,,72-77,2,T. Ulis makes 2-pt shot from 9 ft
5:31.0,A. Wiggins misses 2-pt shot from 10 ft,,72-77,,
5:31.0,Offensive rebound by J. Butler,,72-77,,
5:26.0,J. Butler makes 2-pt shot from 11 ft,2,74-77,,
4:58.0,,,74-79,2,D. Booker makes 2-pt shot from 2 ft
4:41.0,Shooting foul by T. Warren (drawn by A. Wiggins),,74-79,,
4:41.0,A. Wiggins makes free throw 1 of 2,1,75-79,,
4:41.0,A. Wiggins misses free throw 2 of 2,,75-79,,
4:38.0,,,75-79,,Defensive rebound by M. Chriss
4:26.0,,,75-81,2,T. Warren makes 2-pt shot from 2 ft (assist by D. Booker)
4:10.0,K. Towns misses 2-pt shot from 7 ft (block by M. Chriss),,75-81,,
4:06.0,,,75-81,,Defensive rebound by D. Booker
4:06.0,,,75-83,2,T. Warren makes 2-pt shot from 1 ft (assist by D. Booker)
4:06.0,Minnesota full timeout,,75-83,,
4:06.0,N. Bjelica enters the game for J. Teague,,75-83,,
4:06.0,T. Jones enters the game for K. Towns,,75-83,,
3:51.0,J. Butler makes 2-pt shot from 7 ft,2,77-83,,
3:30.0,,,77-83,,Turnover by D. Booker (lost ball; steal by T. Gibson)
3:25.0,A. Wiggins makes 2-pt shot from 1 ft (assist by T. Jones),2,79-83,,
3:09.0,,,79-83,,M. James enters the game for T. Ulis
3:01.0,,,79-83,,M. Chriss misses 2-pt shot from 12 ft
3:00.0,Defensive rebound by Team,,79-83,,
2:38.0,T. Gibson makes 2-pt shot from 6 ft (assist by T. Jones),2,81-83,,
2:22.0,,,81-83,,Shooting foul by T. Gibson (drawn by M. Chriss)
2:22.0,,,81-83,,M. Chriss misses free throw 1 of 2
2:22.0,,,81-83,,Offensive rebound by Team
2:22.0,,,81-83,,J. Jackson enters the game for T. Warren
2:22.0,,,81-84,1,M. Chriss makes free throw 2 of 2
2:10.0,Shooting foul by A. Len (drawn by J. Butler),,81-84,,
2:10.0,J. Butler makes free throw 1 of 2,1,82-84,,
2:10.0,,,82-84,,D. Bender enters the game for M. Chriss
2:10.0,J. Butler makes free throw 2 of 2,1,83-84,,
1:55.0,,,83-84,,D. Booker misses 2-pt shot from 14 ft
1:52.0,Defensive rebound by N. Bjelica,,83-84,,
1:43.0,T. Gibson makes 2-pt shot at rim (assist by J. Butler),2,85-84,,
1:32.0,,,85-84,,D. Booker misses 3-pt shot from 24 ft
1:29.0,Defensive rebound by T. Gibson,,85-84,,
1:22.0,A. Wiggins makes 2-pt shot at rim (assist by J. Butler),2,87-84,,
1:22.0,Shooting foul by J. Jackson (drawn by A. Wiggins),,87-84,,
1:22.0,,,87-84,,T. Daniels enters the game for D. Booker
1:22.0,A. Wiggins makes free throw 1 of 1,1,88-84,,
1:11.0,,,88-84,,Turnover by M. James (bad pass; steal by J. Butler)
0:59.0,J. Butler misses 3-pt shot from 26 ft,,88-84,,
0:56.0,Offensive rebound by J. Butler,,88-84,,
0:52.0,A. Wiggins misses 2-pt shot from 22 ft,,88-84,,
0:49.0,,,88-84,,Defensive rebound by A. Len
0:41.0,,,88-84,,Turnover by J. Jackson (traveling)
0:29.0,J. Butler misses 2-pt shot from 19 ft,,88-84,,
0:26.0,,,88-84,,Defensive rebound by M. James
0:05.0,,,88-84,,Shooting foul by T. Gibson (drawn by M. James)
0:05.0,,,88-85,1,M. James makes free throw 1 of 3
0:05.0,,,88-85,,M. James misses free throw 2 of 3
0:05.0,,,88-85,,Offensive rebound by Team
0:05.0,,,88-85,,M. James misses free throw 3 of 3
0:00.0,,,88-85,,Offensive rebound by A. Len
0:00.0,,,88-85,,A. Len misses 2-pt shot at rim
0:00.0,Defensive rebound by T. Gibson,,88-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,K. Towns makes 2-pt shot from 7 ft,2,90-85,,
11:35.0,Personal foul by K. Towns (drawn by A. Len),,90-85,,
11:29.0,,,90-85,,Turnover by J. Jackson (lost ball; steal by J. Crawford)
11:16.0,T. Jones misses 2-pt shot from 6 ft,,90-85,,
11:14.0,,,90-85,,Defensive rebound by A. Len
11:10.0,,,90-87,2,M. James makes 2-pt shot from 15 ft
10:54.0,K. Towns makes 2-pt shot from 4 ft (assist by T. Jones),2,92-87,,
10:45.0,Personal foul by S. Muhammad (drawn by J. Jackson),,92-87,,
10:33.0,,,92-87,,Turnover by A. Len (out of bounds lost ball)
10:21.0,,,92-87,,Personal foul by A. Len (drawn by K. Towns)
10:18.0,K. Towns misses 2-pt shot from 21 ft,,92-87,,
10:15.0,,,92-87,,Defensive rebound by M. James
10:06.0,,,92-87,,Turnover by T. Daniels (bad pass; steal by N. Bjelica)
9:47.0,S. Muhammad makes 2-pt shot from 1 ft (assist by K. Towns),2,94-87,,
9:47.0,,,94-87,,Phoenix full timeout
9:47.0,,,94-87,,T. Warren enters the game for J. Jackson
9:47.0,,,94-87,,T. Chandler enters the game for A. Len
9:47.0,,,94-87,,D. Booker enters the game for T. Daniels
9:28.0,,,94-87,,D. Bender misses 3-pt shot from 24 ft
9:25.0,Defensive rebound by S. Muhammad,,94-87,,
9:11.0,S. Muhammad misses 3-pt shot from 25 ft,,94-87,,
9:08.0,,,94-87,,Defensive rebound by T. Chandler
9:04.0,,,94-87,,Shooting foul by N. Bjelica (drawn by D. Booker)
9:04.0,,,94-87,,D. Booker misses free throw 1 of 2
9:04.0,,,94-87,,Offensive rebound by Team
9:04.0,,,94-88,1,D. Booker makes free throw 2 of 2
8:54.0,T. Jones misses 2-pt shot at rim,,94-88,,
8:52.0,,,94-88,,Defensive rebound by M. James
8:49.0,,,94-90,2,M. James makes 2-pt shot from 8 ft
8:36.0,Offensive foul by J. Crawford (drawn by D. Booker),,94-90,,
8:36.0,Turnover by J. Crawford (offensive foul),,94-90,,
8:36.0,J. Butler enters the game for S. Muhammad,,94-90,,
8:28.0,,,94-92,2,D. Booker makes 2-pt shot from 16 ft (assist by M. James)
8:06.0,Offensive foul by N. Bjelica (drawn by D. Booker),,94-92,,
8:06.0,Turnover by N. Bjelica (offensive foul),,94-92,,
7:45.0,,,94-95,3,D. Bender makes 3-pt shot from 24 ft (assist by M. James)
7:43.0,Minnesota full timeout,,94-95,,
7:43.0,J. Teague enters the game for T. Jones,,94-95,,
7:43.0,A. Wiggins enters the game for J. Crawford,,94-95,,
7:30.0,J. Butler misses 2-pt shot at rim,,94-95,,
7:29.0,,,94-95,,Defensive rebound by T. Chandler
7:24.0,,,94-95,,D. Booker misses 2-pt shot from 22 ft
7:22.0,Defensive rebound by N. Bjelica,,94-95,,
7:09.0,N. Bjelica misses 3-pt shot from 25 ft,,94-95,,
7:06.0,,,94-95,,Defensive rebound by T. Warren
6:53.0,,,94-97,2,T. Warren makes 2-pt shot from 16 ft (assist by M. James)
6:35.0,A. Wiggins makes 2-pt shot from 1 ft,2,96-97,,
6:19.0,,,96-97,,Turnover by M. James (lost ball; steal by K. Towns)
6:12.0,J. Butler makes 2-pt shot from 1 ft (assist by J. Teague),2,98-97,,
5:55.0,,,98-97,,T. Warren misses 3-pt shot from 25 ft
5:54.0,,,98-97,,Offensive rebound by Team
5:54.0,T. Gibson enters the game for N. Bjelica,,98-97,,
5:48.0,,,98-97,,D. Booker misses 3-pt shot from 74 ft (block by J. Butler)
5:48.0,Defensive rebound by J. Teague,,98-97,,
5:45.0,Shooting foul by T. Warren (drawn by A. Wiggins),,98-97,,
5:45.0,A. Wiggins makes free throw 1 of 2,1,99-97,,
5:45.0,,,99-97,,T. Ulis enters the game for M. James
