time,Charlotte,pts.away,score,pts.home,New Orleans
8:23.0,M. Williams makes 2-pt shot from 1 ft (assist by N. Batum),2,9-9,,
8:15.0,,,9-9,,R. Rondo misses 2-pt shot from 4 ft (block by D. Howard)
8:15.0,,,9-9,,Offensive rebound by Team
8:13.0,,,9-12,3,J. Holiday makes 3-pt shot from 25 ft (assist by R. Rondo)
7:58.0,N. Batum misses 3-pt shot from 25 ft,,9-12,,
7:54.0,,,9-12,,Defensive rebound by A. Davis
7:42.0,,,9-14,2,A. Davis makes 2-pt shot from 3 ft (assist by J. Holiday)
7:18.0,M. Williams misses 2-pt shot at rim,,9-14,,
7:13.0,Offensive rebound by M. Kidd-Gilchrist,,9-14,,
7:05.0,M. Williams misses 2-pt shot from 7 ft,,9-14,,
7:03.0,,,9-14,,Defensive rebound by E. Okafor
6:58.0,,,9-14,,E. Moore misses 2-pt shot from 18 ft
6:53.0,,,9-14,,Offensive rebound by A. Davis
6:53.0,,,9-16,2,A. Davis makes 2-pt shot at rim
6:39.0,K. Walker makes 2-pt shot at rim,2,11-16,,
6:39.0,Shooting foul by A. Davis (drawn by K. Walker),,11-16,,
6:39.0,,,11-16,,New Orleans full timeout
6:39.0,K. Walker makes free throw 1 of 1,1,12-16,,
6:27.0,,,12-18,2,E. Moore makes 2-pt shot from 1 ft (assist by R. Rondo)
6:08.0,D. Howard makes 2-pt shot from 9 ft (assist by N. Batum),2,14-18,,
5:58.0,,,14-20,2,A. Davis makes 2-pt shot from 21 ft (assist by J. Holiday)
5:40.0,N. Batum misses 2-pt shot from 1 ft,,14-20,,
5:37.0,,,14-20,,Defensive rebound by J. Holiday
5:34.0,,,14-20,,E. Moore misses 3-pt shot from 23 ft
5:31.0,,,14-20,,Offensive rebound by R. Rondo
5:29.0,,,14-22,2,J. Holiday makes 2-pt shot from 12 ft (assist by R. Rondo)
5:13.0,D. Howard makes 2-pt shot from 1 ft,2,16-22,,
5:13.0,Shooting foul by E. Okafor (drawn by D. Howard),,16-22,,
5:13.0,,,16-22,,N. Mirotic enters the game for A. Davis
5:13.0,,,16-22,,D. Miller enters the game for R. Rondo
5:13.0,F. Kaminsky enters the game for M. Williams,,16-22,,
5:13.0,D. Howard makes free throw 1 of 1,1,17-22,,
4:58.0,,,17-24,2,E. Moore makes 2-pt shot from 9 ft (assist by J. Holiday)
4:44.0,K. Walker misses 2-pt shot from 6 ft,,17-24,,
4:39.0,,,17-24,,Defensive rebound by E. Moore
4:33.0,,,17-24,,Turnover by D. Miller (bad pass; steal by K. Walker)
4:24.0,N. Batum makes 2-pt shot from 1 ft (assist by K. Walker),2,19-24,,
4:15.0,,,19-24,,J. Holiday misses 2-pt shot from 1 ft
4:09.0,,,19-24,,Offensive rebound by E. Okafor
4:09.0,,,19-26,2,E. Okafor makes 2-pt shot at rim
3:58.0,K. Walker misses 2-pt shot from 16 ft,,19-26,,
3:54.0,,,19-26,,Defensive rebound by N. Mirotic
3:45.0,,,19-28,2,E. Okafor makes 2-pt shot from 8 ft (assist by N. Mirotic)
3:29.0,M. Kidd-Gilchrist misses 2-pt shot from 16 ft (block by D. Miller),,19-28,,
3:26.0,,,19-28,,Defensive rebound by N. Mirotic
3:13.0,,,19-30,2,J. Holiday makes 2-pt shot from 11 ft
3:05.0,Charlotte full timeout,,19-30,,
3:05.0,J. Lamb enters the game for M. Kidd-Gilchrist,,19-30,,
2:46.0,N. Batum misses 3-pt shot from 26 ft,,19-30,,
2:42.0,,,19-30,,Defensive rebound by N. Mirotic
2:34.0,,,19-30,,N. Mirotic misses 2-pt shot from 20 ft
2:31.0,Defensive rebound by D. Howard,,19-30,,
2:18.0,K. Walker makes 2-pt shot from 1 ft,2,21-30,,
2:11.0,,,21-30,,E. Moore misses 2-pt shot from 6 ft (block by J. Lamb)
2:07.0,,,21-30,,Offensive rebound by E. Moore
2:04.0,,,21-30,,E. Okafor misses 2-pt shot from 14 ft
2:02.0,Defensive rebound by D. Howard,,21-30,,
1:59.0,K. Walker makes 3-pt shot from 25 ft,3,24-30,,
1:49.0,,,24-30,,J. Holiday misses 2-pt shot from 20 ft
1:44.0,,,24-30,,Offensive rebound by E. Okafor
1:44.0,,,24-32,2,E. Okafor makes 2-pt shot at rim
1:32.0,K. Walker misses 2-pt shot from 2 ft,,24-32,,
1:30.0,,,24-32,,Defensive rebound by E. Okafor
1:23.0,,,24-32,,J. Holiday misses 2-pt shot from 13 ft
1:20.0,,,24-32,,Offensive rebound by E. Okafor
1:15.0,,,24-32,,E. Moore misses 2-pt shot from 12 ft (block by N. Batum)
1:10.0,,,24-32,,Offensive rebound by E. Moore
1:08.0,,,24-32,,Turnover by E. Moore (lost ball; steal by N. Batum)
1:01.0,N. Batum makes 2-pt shot from 5 ft,2,26-32,,
1:01.0,Shooting foul by D. Miller (drawn by N. Batum),,26-32,,
1:01.0,,,26-32,,I. Clark enters the game for J. Holiday
1:01.0,,,26-32,,R. Rondo enters the game for E. Moore
1:01.0,T. Graham enters the game for D. Howard,,26-32,,
1:01.0,N. Batum makes free throw 1 of 1,1,27-32,,
1:01.0,M. Monk enters the game for K. Walker,,27-32,,
0:55.0,,,27-34,2,I. Clark makes 2-pt shot from 1 ft (assist by R. Rondo)
0:49.0,,,27-34,,Personal foul by D. Miller (drawn by J. Lamb)
0:49.0,N. Batum makes free throw 1 of 2,1,28-34,,
0:49.0,,,28-34,,A. Davis enters the game for D. Miller
0:49.0,,,28-34,,D. Liggins enters the game for E. Okafor
0:49.0,N. Batum makes free throw 2 of 2,1,29-34,,
0:43.0,Personal foul by F. Kaminsky (drawn by A. Davis),,29-34,,
0:40.0,,,29-34,,Shooting foul by J. Lamb (drawn by I. Clark)
0:40.0,,,29-34,,I. Clark misses free throw 1 of 2
0:40.0,,,29-34,,Offensive rebound by Team
0:40.0,,,29-35,1,I. Clark makes free throw 2 of 2
0:32.0,M. Monk makes 3-pt shot from 26 ft,3,32-35,,
0:22.0,,,32-37,2,R. Rondo makes 2-pt shot from 1 ft
0:04.0,F. Kaminsky misses 3-pt shot from 27 ft,,32-37,,
0:01.0,,,32-37,,Defensive rebound by A. Davis
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,M. Monk misses 3-pt shot from 25 ft,,32-37,,
11:43.0,,,32-37,,Defensive rebound by N. Mirotic
11:37.0,,,32-37,,A. Davis misses 2-pt shot from 3 ft
11:34.0,Defensive rebound by J. Lamb,,32-37,,
11:23.0,F. Kaminsky makes 2-pt shot at rim (assist by T. Graham),2,34-37,,
10:58.0,,,34-39,2,R. Rondo makes 2-pt shot from 5 ft
10:43.0,,,34-39,,Personal foul by N. Mirotic (drawn by N. Batum)
10:38.0,J. Lamb misses 3-pt shot from 25 ft,,34-39,,
10:34.0,,,34-39,,Defensive rebound by I. Clark
10:23.0,,,34-41,2,A. Davis makes 2-pt shot from 9 ft (assist by D. Liggins)
10:03.0,F. Kaminsky makes 2-pt shot from 2 ft (assist by N. Batum),2,36-41,,
9:46.0,,,36-43,2,A. Davis makes 2-pt shot at rim (assist by R. Rondo)
9:27.0,N. Batum misses 2-pt shot from 1 ft,,36-43,,
9:23.0,Offensive rebound by J. Lamb,,36-43,,
9:21.0,J. Lamb misses 2-pt shot from 1 ft,,36-43,,
9:17.0,Offensive rebound by J. Lamb,,36-43,,
9:17.0,J. Lamb makes 2-pt shot at rim,2,38-43,,
9:14.0,,,38-46,3,N. Mirotic makes 3-pt shot from 26 ft (assist by I. Clark)
9:12.0,Charlotte full timeout,,38-46,,
9:12.0,D. Bacon enters the game for N. Batum,,38-46,,
8:58.0,J. Lamb makes 2-pt shot from 15 ft (assist by T. Graham),2,40-46,,
8:44.0,,,40-46,,Turnover by R. Rondo (bad pass; steal by D. Bacon)
8:41.0,T. Graham makes 2-pt shot at rim,2,42-46,,
8:30.0,,,42-48,2,A. Davis makes 2-pt shot at rim (assist by R. Rondo)
8:19.0,D. Bacon misses 3-pt shot from 24 ft,,42-48,,
8:16.0,,,42-48,,Defensive rebound by R. Rondo
8:05.0,,,42-48,,A. Davis misses 2-pt shot from 1 ft
8:02.0,Defensive rebound by D. Bacon,,42-48,,
7:57.0,M. Monk misses 2-pt shot from 23 ft,,42-48,,
7:51.0,,,42-48,,Defensive rebound by N. Mirotic
7:51.0,,,42-48,,Shooting foul by F. Kaminsky (drawn by A. Davis)
7:51.0,,,42-49,1,A. Davis makes free throw 1 of 2
7:51.0,,,42-49,,A. Davis misses free throw 2 of 2
7:48.0,Defensive rebound by T. Graham,,42-49,,
7:33.0,F. Kaminsky misses 2-pt shot from 6 ft,,42-49,,
7:31.0,,,42-49,,Defensive rebound by N. Mirotic
7:26.0,,,42-52,3,N. Mirotic makes 3-pt shot from 25 ft (assist by R. Rondo)
7:09.0,Shooting foul by I. Clark (drawn by J. Lamb),,42-52,,
7:09.0,J. Lamb makes free throw 1 of 2,1,43-52,,
7:09.0,,,43-52,,J. Holiday enters the game for I. Clark
7:09.0,,,43-52,,E. Moore enters the game for D. Liggins
7:09.0,K. Walker enters the game for M. Monk,,43-52,,
7:09.0,J. Lamb makes free throw 2 of 2,1,44-52,,
6:59.0,,,44-52,,A. Davis misses 2-pt shot from 19 ft
6:55.0,Defensive rebound by D. Bacon,,44-52,,
6:48.0,F. Kaminsky makes 2-pt shot at rim (assist by K. Walker),2,46-52,,
6:38.0,,,46-54,2,J. Holiday makes 2-pt shot from 16 ft
6:23.0,K. Walker makes 2-pt shot from 18 ft,2,48-54,,
6:13.0,,,48-54,,J. Holiday misses 2-pt shot at rim
6:10.0,Defensive rebound by K. Walker,,48-54,,
6:08.0,Shooting foul by J. Holiday (drawn by J. Lamb),,48-54,,
6:08.0,J. Lamb makes free throw 1 of 2,1,49-54,,
6:08.0,J. Lamb makes free throw 2 of 2,1,50-54,,
6:01.0,,,50-56,2,A. Davis makes 2-pt shot at rim (assist by R. Rondo)
5:45.0,Turnover by F. Kaminsky (lost ball; steal by R. Rondo),,50-56,,
5:41.0,,,50-59,3,E. Moore makes 3-pt shot from 23 ft (assist by R. Rondo)
5:30.0,Charlotte full timeout,,50-59,,
5:30.0,,,50-59,,E. Okafor enters the game for R. Rondo
5:30.0,,,50-59,,I. Clark enters the game for A. Davis
5:30.0,D. Howard enters the game for D. Bacon,,50-59,,
5:30.0,M. Williams enters the game for T. Graham,,50-59,,
5:30.0,N. Batum enters the game for F. Kaminsky,,50-59,,
5:23.0,Turnover by J. Lamb (out of bounds lost ball),,50-59,,
5:14.0,,,50-59,,E. Moore misses 2-pt shot from 4 ft
5:09.0,Defensive rebound by D. Howard,,50-59,,
5:01.0,Turnover by D. Howard (lost ball; steal by E. Okafor),,50-59,,
4:56.0,,,50-59,,N. Mirotic misses 3-pt shot from 25 ft
4:52.0,Defensive rebound by N. Batum,,50-59,,
4:45.0,J. Lamb misses 2-pt shot from 18 ft,,50-59,,
4:42.0,,,50-59,,Defensive rebound by N. Mirotic
4:37.0,,,50-61,2,J. Holiday makes 2-pt shot from 14 ft
4:20.0,N. Batum makes 2-pt shot from 18 ft,2,52-61,,
4:11.0,,,52-61,,I. Clark misses 3-pt shot from 27 ft (block by J. Lamb)
4:05.0,Defensive rebound by D. Howard,,52-61,,
4:03.0,J. Lamb makes 2-pt shot from 8 ft (assist by D. Howard),2,54-61,,
3:49.0,,,54-63,2,E. Okafor makes 2-pt shot at rim (assist by J. Holiday)
3:24.0,Turnover by D. Howard (step out of bounds),,54-63,,
3:24.0,M. Kidd-Gilchrist enters the game for J. Lamb,,54-63,,
3:13.0,,,54-63,,E. Okafor misses 2-pt shot from 2 ft
3:10.0,Defensive rebound by D. Howard,,54-63,,
3:02.0,K. Walker makes 3-pt shot from 25 ft,3,57-63,,
2:50.0,,,57-65,2,J. Holiday makes 2-pt shot from 13 ft (assist by I. Clark)
2:36.0,,,57-65,,A. Davis enters the game for N. Mirotic
2:31.0,N. Batum makes 3-pt shot from 24 ft (assist by M. Williams),3,60-65,,
2:17.0,,,60-65,,Turnover by E. Moore (bad pass; steal by N. Batum)
2:13.0,K. Walker makes 2-pt shot at rim (assist by N. Batum),2,62-65,,
1:57.0,,,62-65,,J. Holiday misses 3-pt shot from 25 ft
1:54.0,Defensive rebound by N. Batum,,62-65,,
1:48.0,Offensive charge foul by D. Howard (drawn by E. Okafor),,62-65,,
1:48.0,Turnover by D. Howard (offensive foul),,62-65,,
1:48.0,F. Kaminsky enters the game for M. Williams,,62-65,,
1:37.0,,,62-67,2,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday)
1:23.0,Shooting foul by E. Okafor (drawn by D. Howard),,62-67,,
1:23.0,D. Howard misses free throw 1 of 2,,62-67,,
1:23.0,Offensive rebound by Team,,62-67,,
1:23.0,,,62-67,,N. Mirotic enters the game for E. Okafor
1:23.0,D. Howard misses free throw 2 of 2,,62-67,,
1:21.0,,,62-67,,Defensive rebound by E. Moore
1:11.0,,,62-69,2,N. Mirotic makes 2-pt shot from 3 ft (assist by A. Davis)
0:49.0,K. Walker misses 2-pt shot from 4 ft (block by N. Mirotic),,62-69,,
0:47.0,,,62-69,,Defensive rebound by E. Moore
0:45.0,,,62-69,,J. Holiday misses 3-pt shot from 23 ft
0:41.0,Defensive rebound by M. Kidd-Gilchrist,,62-69,,
0:34.0,Shooting foul by I. Clark (drawn by M. Kidd-Gilchrist),,62-69,,
0:34.0,M. Kidd-Gilchrist misses free throw 1 of 2,,62-69,,
0:34.0,Offensive rebound by Team,,62-69,,
0:34.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,63-69,,
0:27.0,,,63-72,3,N. Mirotic makes 3-pt shot from 27 ft (assist by J. Holiday)
0:04.0,K. Walker makes 2-pt shot from 1 ft,2,65-72,,
0:00.0,,,65-72,,J. Holiday misses 2-pt shot from 21 ft
0:00.0,,,65-72,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,D. Howard makes 2-pt shot from 1 ft (assist by K. Walker),2,67-72,,
11:31.0,,,67-74,2,E. Okafor makes 2-pt shot at rim (assist by J. Holiday)
11:15.0,M. Kidd-Gilchrist misses 2-pt shot from 16 ft,,67-74,,
11:12.0,,,67-74,,Defensive rebound by A. Davis
10:50.0,,,67-74,,R. Rondo misses 2-pt shot from 21 ft
10:46.0,Defensive rebound by M. Williams,,67-74,,
10:40.0,N. Batum misses 2-pt shot from 20 ft (block by A. Davis),,67-74,,
10:36.0,,,67-74,,Defensive rebound by A. Davis
10:21.0,,,67-74,,Turnover by E. Okafor (out of bounds lost ball)
10:07.0,Turnover by M. Williams (lost ball; steal by A. Davis),,67-74,,
10:07.0,Personal foul by M. Williams (drawn by A. Davis),,67-74,,
9:51.0,,,67-74,,A. Davis misses 3-pt shot from 26 ft
9:47.0,Defensive rebound by M. Kidd-Gilchrist,,67-74,,
9:43.0,M. Williams misses 3-pt shot from 24 ft,,67-74,,
9:39.0,Offensive rebound by D. Howard,,67-74,,
9:36.0,D. Howard makes 2-pt shot from 1 ft,2,69-74,,
9:27.0,,,69-74,,E. Okafor misses 2-pt shot from 3 ft (block by D. Howard)
9:22.0,Defensive rebound by M. Williams,,69-74,,
9:20.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by K. Walker),2,71-74,,
9:09.0,,,71-76,2,R. Rondo makes 2-pt shot from 8 ft
8:51.0,N. Batum makes 2-pt shot at rim,2,73-76,,
8:35.0,Personal foul by K. Walker (drawn by E. Moore),,73-76,,
8:28.0,,,73-78,2,E. Okafor makes 2-pt shot from 13 ft
8:09.0,Shooting foul by E. Okafor (drawn by D. Howard),,73-78,,
8:09.0,D. Howard makes free throw 1 of 2,1,74-78,,
8:09.0,D. Howard misses free throw 2 of 2,,74-78,,
8:07.0,,,74-78,,Defensive rebound by E. Moore
8:00.0,,,74-78,,J. Holiday misses 2-pt shot from 14 ft
7:57.0,Defensive rebound by D. Howard,,74-78,,
7:53.0,K. Walker misses 3-pt shot from 25 ft,,74-78,,
7:49.0,Offensive rebound by M. Williams,,74-78,,
7:47.0,K. Walker makes 2-pt shot at rim,2,76-78,,
7:46.0,,,76-78,,New Orleans full timeout
7:39.0,,,76-78,,Turnover by A. Davis (step out of bounds)
7:28.0,Turnover by K. Walker (bad pass; steal by R. Rondo),,76-78,,
7:24.0,,,76-80,2,E. Moore makes 2-pt shot at rim (assist by J. Holiday)
7:06.0,D. Howard misses 2-pt shot from 1 ft,,76-80,,
7:01.0,,,76-80,,Defensive rebound by J. Holiday
6:57.0,,,76-82,2,E. Okafor makes 2-pt shot from 9 ft (assist by R. Rondo)
6:27.0,Turnover by N. Batum (bad pass; steal by R. Rondo),,76-82,,
6:24.0,,,76-82,,A. Davis misses 2-pt shot from 1 ft
6:23.0,,,76-82,,Offensive rebound by J. Holiday
6:23.0,,,76-82,,J. Holiday misses 2-pt shot at rim
6:21.0,Defensive rebound by M. Williams,,76-82,,
6:21.0,Turnover by M. Williams (bad pass; steal by R. Rondo),,76-82,,
6:17.0,,,76-84,2,A. Davis makes 2-pt shot at rim (assist by R. Rondo)
6:17.0,Charlotte full timeout,,76-84,,
6:02.0,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by K. Walker),2,78-84,,
5:47.0,,,78-84,,E. Okafor misses 2-pt shot from 1 ft (block by M. Kidd-Gilchrist)
5:43.0,Defensive rebound by M. Williams,,78-84,,
5:38.0,M. Kidd-Gilchrist makes 2-pt shot from 17 ft (assist by K. Walker),2,80-84,,
5:26.0,,,80-84,,E. Okafor misses 2-pt shot from 16 ft
5:22.0,Defensive rebound by M. Williams,,80-84,,
5:11.0,D. Howard makes 2-pt shot from 13 ft (assist by N. Batum),2,82-84,,
4:57.0,,,82-84,,E. Moore misses 2-pt shot from 4 ft
4:55.0,,,82-84,,Offensive rebound by E. Okafor
4:46.0,,,82-84,,A. Davis misses 2-pt shot from 1 ft
4:43.0,Defensive rebound by M. Williams,,82-84,,
4:34.0,M. Kidd-Gilchrist misses 2-pt shot from 6 ft,,82-84,,
4:30.0,Offensive rebound by D. Howard,,82-84,,
4:29.0,D. Howard makes 2-pt shot at rim,2,84-84,,
4:23.0,,,84-86,2,R. Rondo makes 2-pt shot at rim
4:07.0,M. Williams misses 3-pt shot from 28 ft,,84-86,,
4:02.0,,,84-86,,Defensive rebound by E. Okafor
3:57.0,,,84-88,2,J. Holiday makes 2-pt shot at rim (assist by A. Davis)
3:27.0,Turnover by M. Williams (bad pass; steal by E. Okafor),,84-88,,
3:21.0,,,84-88,,A. Davis misses 2-pt shot from 5 ft
3:19.0,Defensive rebound by D. Howard,,84-88,,
2:59.0,N. Batum misses 2-pt shot from 22 ft,,84-88,,
2:56.0,Offensive rebound by M. Kidd-Gilchrist,,84-88,,
2:55.0,M. Williams misses 3-pt shot from 25 ft,,84-88,,
2:54.0,,,84-88,,Defensive rebound by Team
2:54.0,Loose ball foul by D. Howard (drawn by E. Okafor),,84-88,,
2:54.0,,,84-88,,N. Mirotic enters the game for A. Davis
2:54.0,,,84-88,,D. Miller enters the game for R. Rondo
2:54.0,F. Kaminsky enters the game for M. Kidd-Gilchrist,,84-88,,
2:54.0,J. Lamb enters the game for M. Williams,,84-88,,
2:34.0,,,84-88,,E. Moore misses 3-pt shot from 25 ft
2:31.0,Defensive rebound by D. Howard,,84-88,,
2:22.0,N. Batum makes 2-pt shot from 9 ft,2,86-88,,
2:02.0,,,86-88,,E. Okafor misses 2-pt shot from 7 ft
1:58.0,Defensive rebound by N. Batum,,86-88,,
1:49.0,F. Kaminsky makes 2-pt shot at rim,2,88-88,,
1:28.0,,,88-90,2,E. Moore makes 2-pt shot from 5 ft
1:09.0,Turnover by K. Walker (bad pass; steal by E. Okafor),,88-90,,
1:05.0,,,88-90,,E. Moore misses 2-pt shot from 1 ft (block by N. Batum)
1:00.0,Defensive rebound by K. Walker,,88-90,,
0:59.0,Shooting foul by E. Okafor (drawn by J. Lamb),,88-90,,
0:59.0,J. Lamb makes free throw 1 of 2,1,89-90,,
0:59.0,,,89-90,,I. Clark enters the game for J. Holiday
0:59.0,,,89-90,,A. Davis enters the game for E. Moore
0:59.0,,,89-90,,R. Rondo enters the game for E. Okafor
0:59.0,T. Graham enters the game for D. Howard,,89-90,,
0:59.0,M. Monk enters the game for K. Walker,,89-90,,
0:59.0,J. Lamb makes free throw 2 of 2,1,90-90,,
0:51.0,,,90-92,2,I. Clark makes 2-pt shot from 8 ft
0:37.0,Turnover by N. Batum (bad pass; steal by R. Rondo),,90-92,,
0:30.0,,,90-92,,D. Miller misses 3-pt shot from 25 ft
0:26.0,Defensive rebound by J. Lamb,,90-92,,
0:04.0,N. Batum misses 3-pt shot from 26 ft,,90-92,,
0:04.0,Offensive rebound by F. Kaminsky,,90-92,,
0:00.0,F. Kaminsky makes 2-pt shot at rim,2,92-92,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,92-92,,R. Rondo misses 2-pt shot from 14 ft
11:44.0,,,92-92,,Offensive rebound by I. Clark
11:43.0,,,92-94,2,I. Clark makes 2-pt shot from 5 ft
11:19.0,N. Batum makes 2-pt shot from 1 ft (assist by J. Lamb),2,94-94,,
11:09.0,,,94-96,2,I. Clark makes 2-pt shot from 9 ft (assist by R. Rondo)
10:53.0,F. Kaminsky makes 2-pt shot from 5 ft,2,96-96,,
10:53.0,Shooting foul by A. Davis (drawn by F. Kaminsky),,96-96,,
10:53.0,F. Kaminsky makes free throw 1 of 1,1,97-96,,
10:45.0,,,97-98,2,R. Rondo makes 2-pt shot at rim
10:37.0,M. Monk misses 3-pt shot from 26 ft,,97-98,,
10:33.0,,,97-98,,Defensive rebound by R. Rondo
10:31.0,,,97-98,,N. Mirotic misses 3-pt shot from 25 ft
10:26.0,Defensive rebound by N. Batum,,97-98,,
10:21.0,F. Kaminsky misses 3-pt shot from 29 ft,,97-98,,
10:17.0,,,97-98,,Defensive rebound by N. Mirotic
9:59.0,,,97-98,,R. Rondo misses 2-pt shot from 3 ft
9:54.0,,,97-98,,Offensive rebound by A. Davis
9:54.0,,,97-98,,A. Davis misses 2-pt shot at rim
9:51.0,,,97-98,,Offensive rebound by A. Davis
9:51.0,,,97-98,,A. Davis misses 2-pt shot at rim (block by N. Batum)
9:51.0,Defensive rebound by F. Kaminsky,,97-98,,
9:45.0,J. Lamb makes 2-pt shot from 9 ft,2,99-98,,
9:29.0,,,99-98,,Turnover by R. Rondo (bad pass; steal by F. Kaminsky)
9:26.0,J. Lamb makes 2-pt shot from 1 ft,2,101-98,,
9:26.0,,,101-98,,New Orleans full timeout
9:26.0,,,101-98,,J. Holiday enters the game for D. Miller
9:26.0,K. Walker enters the game for N. Batum,,101-98,,
9:14.0,,,101-98,,Turnover by A. Davis (lost ball; steal by T. Graham)
9:02.0,F. Kaminsky makes 3-pt shot from 29 ft (assist by J. Lamb),3,104-98,,
8:46.0,,,104-98,,N. Mirotic misses 2-pt shot from 14 ft
8:42.0,Defensive rebound by J. Lamb,,104-98,,
8:31.0,F. Kaminsky misses 2-pt shot from 8 ft,,104-98,,
8:28.0,,,104-98,,Defensive rebound by A. Davis
8:15.0,,,104-100,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
7:53.0,J. Lamb misses 2-pt shot from 16 ft (block by A. Davis),,104-100,,
7:48.0,,,104-100,,Defensive rebound by N. Mirotic
7:40.0,,,104-102,2,A. Davis makes 2-pt shot at rim (assist by R. Rondo)
7:11.0,K. Walker misses 2-pt shot at rim (block by A. Davis),,104-102,,
7:11.0,Offensive rebound by Team,,104-102,,
7:10.0,Turnover by Team (shot clock),,104-102,,
6:56.0,,,104-105,3,I. Clark makes 3-pt shot from 23 ft (assist by R. Rondo)
6:39.0,K. Walker misses 3-pt shot from 25 ft,,104-105,,
6:38.0,,,104-105,,Defensive rebound by Team
6:38.0,N. Batum enters the game for M. Monk,,104-105,,
6:38.0,D. Howard enters the game for T. Graham,,104-105,,
6:21.0,,,104-105,,N. Mirotic misses 3-pt shot from 26 ft
6:16.0,Defensive rebound by N. Batum,,104-105,,
6:13.0,Shooting foul by J. Holiday (drawn by D. Howard),,104-105,,
6:13.0,D. Howard makes free throw 1 of 2,1,105-105,,
6:13.0,D. Howard makes free throw 2 of 2,1,106-105,,
6:00.0,,,106-107,2,A. Davis makes 2-pt shot at rim (assist by R. Rondo)
5:44.0,K. Walker misses 3-pt shot from 26 ft,,106-107,,
5:41.0,,,106-107,,Defensive rebound by A. Davis
5:33.0,Personal foul by J. Lamb (drawn by R. Rondo),,106-107,,
5:25.0,,,106-107,,A. Davis misses 3-pt shot from 26 ft
5:21.0,Defensive rebound by J. Lamb,,106-107,,
5:11.0,D. Howard misses 2-pt shot from 2 ft,,106-107,,
5:07.0,,,106-107,,Defensive rebound by A. Davis
4:52.0,,,106-107,,R. Rondo misses 2-pt shot from 4 ft (block by D. Howard)
4:51.0,Defensive rebound by D. Howard,,106-107,,
4:47.0,Jump ball: A. Davis vs. D. Howard (N. Batum gains possession),,,,Jump ball: A. Davis vs. D. Howard (N. Batum gains possession)
4:37.0,N. Batum misses 2-pt shot from 19 ft,,106-107,,
4:34.0,,,106-107,,Defensive rebound by R. Rondo
4:14.0,,,106-107,,R. Rondo misses 2-pt shot from 12 ft
4:11.0,Defensive rebound by K. Walker,,106-107,,
3:58.0,K. Walker misses 2-pt shot from 8 ft,,106-107,,
3:55.0,,,106-107,,Defensive rebound by R. Rondo
3:46.0,,,106-107,,E. Moore enters the game for I. Clark
3:45.0,,,106-107,,Turnover by J. Holiday (out of bounds lost ball)
