time,Denver,pts.away,score,pts.home,San Antonio
7:03.0,,,7-10,,M. Ginobili enters the game for P. Gasol
6:50.0,,,7-12,2,L. Aldridge makes 2-pt shot from 10 ft
6:40.0,Shooting foul by D. Bertans (drawn by M. Plumlee),,7-12,,
6:40.0,,,7-12,,San Antonio full timeout
6:40.0,,,7-12,,P. Mills enters the game for T. Parker
6:40.0,M. Plumlee misses free throw 1 of 2,,7-12,,
6:40.0,Offensive rebound by Team,,7-12,,
6:40.0,M. Plumlee makes free throw 2 of 2,1,8-12,,
6:20.0,,,8-15,3,D. Bertans makes 3-pt shot from 23 ft (assist by P. Mills)
6:03.0,G. Harris misses 2-pt shot from 5 ft (block by L. Aldridge),,8-15,,
5:51.0,Offensive rebound by N. Jokic,,8-15,,
5:51.0,N. Jokic makes 2-pt shot at rim,2,10-15,,
5:51.0,Personal foul by W. Chandler (drawn by K. Leonard),,10-15,,
5:51.0,,,10-15,,K. Anderson enters the game for K. Leonard
5:51.0,W. Barton enters the game for W. Chandler,,10-15,,
5:42.0,,,10-15,,Turnover by P. Mills (bad pass; steal by W. Barton)
5:39.0,Offensive charge foul by W. Barton (drawn by M. Ginobili),,10-15,,
5:39.0,Turnover by W. Barton (offensive foul),,10-15,,
5:25.0,,,10-17,2,L. Aldridge makes 2-pt shot from 11 ft
5:04.0,G. Harris makes 2-pt shot from 9 ft (assist by N. Jokic),2,12-17,,
4:41.0,,,12-20,3,D. Bertans makes 3-pt shot from 29 ft (assist by K. Anderson)
4:25.0,,,12-20,,Personal foul by P. Mills (drawn by G. Harris)
4:25.0,,,12-20,,P. Gasol enters the game for L. Aldridge
4:25.0,T. Lyles enters the game for M. Plumlee,,12-20,,
4:11.0,T. Lyles misses 2-pt shot from 19 ft,,12-20,,
4:08.0,,,12-20,,Defensive rebound by K. Anderson
4:03.0,,,12-23,3,D. Bertans makes 3-pt shot from 28 ft (assist by K. Anderson)
4:02.0,Denver full timeout,,12-23,,
3:44.0,Turnover by N. Jokic (turnover),,12-23,,
3:25.0,Personal foul by T. Lyles (drawn by P. Gasol),,12-23,,
3:16.0,,,12-23,,D. Bertans misses 2-pt shot from 16 ft
3:10.0,Defensive rebound by N. Jokic,,12-23,,
3:06.0,G. Harris makes 2-pt shot from 2 ft (assist by N. Jokic),2,14-23,,
2:48.0,,,14-23,,P. Mills misses 2-pt shot from 17 ft
2:45.0,Defensive rebound by T. Lyles,,14-23,,
2:42.0,W. Barton misses 2-pt shot from 8 ft,,14-23,,
2:28.0,,,14-23,,Defensive rebound by P. Gasol
2:26.0,,,14-23,,P. Mills misses 2-pt shot from 6 ft
2:23.0,Defensive rebound by W. Barton,,14-23,,
2:23.0,N. Jokic misses 2-pt shot from 7 ft,,14-23,,
2:23.0,Offensive rebound by N. Jokic,,14-23,,
2:23.0,Shooting foul by P. Gasol (drawn by N. Jokic),,14-23,,
2:23.0,N. Jokic makes free throw 1 of 2,1,15-23,,
2:23.0,R. Jefferson enters the game for J. Murray,,15-23,,
2:23.0,N. Jokic makes free throw 2 of 2,1,16-23,,
2:10.0,,,16-25,2,K. Anderson makes 2-pt shot from 21 ft (assist by M. Ginobili)
1:55.0,G. Harris misses 3-pt shot from 23 ft,,16-25,,
1:49.0,,,16-25,,Defensive rebound by P. Gasol
1:41.0,,,16-28,3,P. Mills makes 3-pt shot from 24 ft (assist by D. Bertans)
1:19.0,T. Lyles misses 3-pt shot from 25 ft,,16-28,,
1:12.0,,,16-28,,Defensive rebound by K. Anderson
1:07.0,,,16-28,,Shooting foul by R. Jefferson (drawn by P. Gasol)
1:07.0,,,16-29,1,P. Gasol makes free throw 1 of 2
1:07.0,K. Faried enters the game for G. Harris,,16-29,,
1:07.0,M. Beasley enters the game for N. Jokic,,16-29,,
1:07.0,,,16-30,1,P. Gasol makes free throw 2 of 2
0:54.0,Offensive foul by K. Faried (drawn by K. Anderson),,16-30,,
0:54.0,Turnover by K. Faried (offensive foul),,16-30,,
0:45.0,,,16-32,2,M. Ginobili makes 2-pt shot from 1 ft (assist by P. Gasol)
0:24.0,W. Barton misses 3-pt shot from 24 ft,,16-32,,
0:18.0,,,16-32,,Defensive rebound by M. Ginobili
0:00.0,,,16-32,,P. Gasol misses 2-pt shot from 4 ft
0:00.0,,,16-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:31.0,W. Barton makes 2-pt shot from 2 ft,2,18-32,,
11:25.0,,,18-32,,Turnover by K. Anderson (bad pass; steal by W. Barton)
11:22.0,K. Faried misses 2-pt shot from 11 ft,,18-32,,
11:22.0,Offensive rebound by Team,,18-32,,
11:11.0,R. Jefferson makes 2-pt shot from 9 ft,2,20-32,,
10:47.0,,,20-32,,L. Aldridge misses 2-pt shot from 4 ft
10:44.0,Defensive rebound by T. Lyles,,20-32,,
10:37.0,T. Lyles misses 2-pt shot from 6 ft (block by K. Leonard),,20-32,,
10:37.0,Offensive rebound by Team,,20-32,,
10:37.0,,,20-32,,D. Bertans enters the game for K. Anderson
10:29.0,W. Barton makes 2-pt shot from 12 ft,2,22-32,,
10:27.0,,,22-32,,San Antonio full timeout
10:13.0,,,22-32,,Offensive charge foul by L. Aldridge (drawn by K. Faried)
10:13.0,,,22-32,,Turnover by L. Aldridge (offensive foul)
10:01.0,,,22-32,,Def 3 sec tech foul by L. Aldridge
10:01.0,W. Barton makes technical free throw,1,23-32,,
9:55.0,Shooting foul by L. Aldridge (drawn by K. Faried),,23-32,,
9:55.0,K. Faried makes free throw 1 of 2,1,24-32,,
9:55.0,K. Faried makes free throw 2 of 2,1,25-32,,
9:35.0,,,25-32,,T. Parker misses 2-pt shot from 6 ft
9:32.0,Defensive rebound by W. Barton,,25-32,,
9:28.0,R. Jefferson makes 2-pt shot from 1 ft (assist by W. Barton),2,27-32,,
9:16.0,Personal foul by R. Jefferson (drawn by D. Bertans),,27-32,,
9:08.0,,,27-32,,K. Leonard misses 2-pt shot from 20 ft
9:03.0,Defensive rebound by W. Barton,,27-32,,
8:58.0,W. Barton misses 3-pt shot from 25 ft,,27-32,,
8:53.0,,,27-32,,Defensive rebound by L. Aldridge
8:47.0,,,27-35,3,D. Bertans makes 3-pt shot from 23 ft (assist by T. Parker)
8:21.0,M. Beasley misses 2-pt shot from 17 ft,,27-35,,
8:12.0,,,27-35,,Defensive rebound by L. Aldridge
8:08.0,,,27-37,2,T. Parker makes 2-pt shot from 10 ft
8:08.0,Denver full timeout,,27-37,,
7:53.0,T. Lyles makes 2-pt shot from 8 ft,2,29-37,,
7:32.0,,,29-37,,D. Bertans misses 3-pt shot from 29 ft
7:28.0,Defensive rebound by R. Jefferson,,29-37,,
7:25.0,M. Beasley misses 2-pt shot from 4 ft,,29-37,,
7:20.0,,,29-37,,Defensive rebound by K. Leonard
7:06.0,,,29-39,2,L. Aldridge makes 2-pt shot from 4 ft
6:46.0,Turnover by M. Beasley (bad pass; steal by K. Leonard),,29-39,,
6:35.0,,,29-39,,D. Green misses 2-pt shot from 20 ft
6:30.0,Defensive rebound by T. Lyles,,29-39,,
6:23.0,T. Lyles misses 2-pt shot from 3 ft (block by D. Green),,29-39,,
6:18.0,Offensive rebound by M. Beasley,,29-39,,
6:15.0,K. Faried misses 2-pt shot from 9 ft,,29-39,,
6:15.0,Offensive rebound by T. Lyles,,29-39,,
6:15.0,Turnover by T. Lyles (bad pass; steal by K. Leonard),,29-39,,
6:10.0,,,29-42,3,D. Green makes 3-pt shot from 25 ft (assist by K. Leonard)
6:08.0,Denver full timeout,,29-42,,
6:08.0,,,29-42,,K. Anderson enters the game for D. Green
6:08.0,,,29-42,,M. Ginobili enters the game for D. Bertans
6:08.0,W. Chandler enters the game for W. Barton,,29-42,,
6:08.0,M. Plumlee enters the game for T. Lyles,,29-42,,
6:08.0,J. Murray enters the game for R. Jefferson,,29-42,,
6:08.0,N. Jokic enters the game for M. Beasley,,29-42,,
6:08.0,G. Harris enters the game for K. Faried,,29-42,,
5:45.0,N. Jokic makes 2-pt shot from 7 ft (assist by J. Murray),2,31-42,,
5:36.0,,,31-44,2,K. Leonard makes 2-pt shot from 12 ft
5:36.0,,,31-44,,Shooting foul by W. Chandler (drawn by K. Leonard)
5:36.0,,,31-44,,P. Mills enters the game for T. Parker
5:36.0,,,31-45,1,K. Leonard makes free throw 1 of 1
5:23.0,N. Jokic makes 2-pt shot from 14 ft (assist by J. Murray),2,33-45,,
5:02.0,,,33-47,2,K. Leonard makes 2-pt shot from 18 ft
4:35.0,J. Murray misses 2-pt shot from 12 ft,,33-47,,
4:31.0,,,33-47,,Defensive rebound by K. Leonard
4:20.0,,,33-47,,K. Anderson misses 3-pt shot from 22 ft
4:15.0,Defensive rebound by W. Chandler,,33-47,,
4:13.0,G. Harris misses 2-pt shot from 12 ft,,33-47,,
4:13.0,,,33-47,,Defensive rebound by K. Leonard
4:03.0,,,33-47,,L. Aldridge misses 2-pt shot from 17 ft
4:03.0,,,33-47,,Offensive rebound by M. Ginobili
3:56.0,,,33-49,2,M. Ginobili makes 2-pt shot at rim
3:42.0,G. Harris misses 3-pt shot from 25 ft,,33-49,,
3:40.0,,,33-49,,Defensive rebound by K. Leonard
3:30.0,,,33-51,2,K. Leonard makes 2-pt shot from 12 ft
3:11.0,Shooting foul by P. Mills (drawn by N. Jokic),,33-51,,
3:11.0,N. Jokic makes free throw 1 of 2,1,34-51,,
3:11.0,,,34-51,,P. Gasol enters the game for K. Leonard
3:11.0,N. Jokic makes free throw 2 of 2,1,35-51,,
2:55.0,,,35-53,2,M. Ginobili makes 2-pt shot from 2 ft
2:36.0,M. Plumlee makes 2-pt shot from 1 ft (assist by N. Jokic),2,37-53,,
2:08.0,,,37-53,,M. Ginobili misses 2-pt shot from 6 ft
2:04.0,Defensive rebound by M. Plumlee,,37-53,,
1:56.0,M. Plumlee makes 2-pt shot from 18 ft (assist by W. Chandler),2,39-53,,
1:33.0,,,39-53,,L. Aldridge misses 3-pt shot from 23 ft
1:29.0,,,39-53,,Offensive rebound by K. Anderson
1:12.0,,,39-53,,P. Gasol misses 2-pt shot from 7 ft (block by M. Plumlee)
1:07.0,Defensive rebound by G. Harris,,39-53,,
1:04.0,Turnover by W. Chandler (bad pass; steal by P. Gasol),,39-53,,
1:01.0,Personal foul by N. Jokic (drawn by L. Aldridge),,39-53,,
0:56.0,,,39-53,,K. Anderson misses 3-pt shot from 22 ft
0:52.0,Defensive rebound by M. Plumlee,,39-53,,
0:51.0,,,39-53,,Personal foul by M. Ginobili (drawn by M. Plumlee)
0:51.0,,,39-53,,K. Leonard enters the game for M. Ginobili
0:51.0,,,39-53,,D. Bertans enters the game for P. Gasol
0:39.0,W. Chandler makes 2-pt shot from 5 ft,2,41-53,,
0:34.0,,,41-53,,Turnover by P. Mills (bad pass)
0:27.0,N. Jokic makes 3-pt shot from 24 ft (assist by G. Harris),3,44-53,,
0:06.0,,,44-56,3,D. Bertans makes 3-pt shot from 23 ft (assist by P. Mills)
0:01.0,J. Murray misses 3-pt shot from 27 ft,,44-56,,
0:01.0,Offensive rebound by Team,,44-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,44-56,,Personal foul by L. Aldridge (drawn by N. Jokic)
11:30.0,Shooting foul by P. Gasol (drawn by G. Harris),,44-56,,
11:30.0,G. Harris makes free throw 1 of 2,1,45-56,,
11:30.0,G. Harris makes free throw 2 of 2,1,46-56,,
11:09.0,,,46-56,,D. Green misses 3-pt shot from 22 ft
11:02.0,Defensive rebound by N. Jokic,,46-56,,
10:58.0,Turnover by N. Jokic (bad pass; steal by K. Leonard),,46-56,,
10:55.0,,,46-56,,Offensive charge foul by L. Aldridge (drawn by N. Jokic)
10:55.0,,,46-56,,Turnover by L. Aldridge (offensive foul)
10:55.0,,,46-56,,D. Bertans enters the game for L. Aldridge
10:40.0,N. Jokic makes 2-pt shot from 7 ft,2,48-56,,
10:22.0,,,48-56,,P. Gasol misses 2-pt shot from 16 ft
10:18.0,Defensive rebound by W. Chandler,,48-56,,
10:02.0,N. Jokic misses 3-pt shot from 27 ft,,48-56,,
9:57.0,Offensive rebound by W. Chandler,,48-56,,
9:51.0,J. Murray makes 2-pt shot from 14 ft,2,50-56,,
9:50.0,,,50-56,,San Antonio full timeout
9:31.0,Personal foul by M. Plumlee (drawn by D. Bertans),,50-56,,
9:29.0,,,50-56,,Shooting foul by M. Plumlee (drawn by K. Leonard)
9:29.0,,,50-57,1,K. Leonard makes free throw 1 of 2
9:29.0,,,50-58,1,K. Leonard makes free throw 2 of 2
9:09.0,N. Jokic misses 2-pt shot from 8 ft,,50-58,,
9:05.0,Offensive rebound by N. Jokic,,50-58,,
9:03.0,J. Murray misses 3-pt shot from 27 ft,,50-58,,
9:03.0,,,50-58,,Defensive rebound by K. Leonard
8:58.0,,,50-58,,D. Green misses 2-pt shot from 4 ft
8:58.0,Defensive rebound by W. Chandler,,50-58,,
8:40.0,G. Harris misses 3-pt shot from 27 ft,,50-58,,
8:37.0,,,50-58,,Defensive rebound by D. Green
8:27.0,Def 3 sec tech foul by M. Plumlee,,50-58,,
8:27.0,,,50-58,,K. Leonard misses technical free throw
8:27.0,,,50-58,,Offensive rebound by Team
8:16.0,,,50-58,,Shooting foul by W. Chandler (drawn by K. Leonard)
8:16.0,,,50-59,1,K. Leonard makes free throw 1 of 2
8:16.0,W. Barton enters the game for M. Plumlee,,50-59,,
8:16.0,,,50-60,1,K. Leonard makes free throw 2 of 2
7:59.0,G. Harris misses 2-pt shot from 15 ft,,50-60,,
7:55.0,,,50-60,,Defensive rebound by P. Gasol
7:51.0,,,50-63,3,D. Green makes 3-pt shot from 24 ft (assist by T. Parker)
7:50.0,Denver full timeout,,50-63,,
7:44.0,,,50-63,,Personal foul by D. Green (drawn by W. Barton)
7:29.0,N. Jokic makes 2-pt shot from 3 ft (assist by W. Barton),2,52-63,,
7:16.0,,,52-66,3,P. Gasol makes 3-pt shot from 23 ft (assist by T. Parker)
7:02.0,J. Murray misses 2-pt shot from 9 ft,,52-66,,
7:01.0,Turnover by W. Chandler (lost ball; steal by D. Green),,52-66,,
6:53.0,Offensive rebound by W. Chandler,,52-66,,
6:51.0,,,52-68,2,K. Leonard makes 2-pt shot from 2 ft
6:30.0,Turnover by Team (shot clock),,52-68,,
6:15.0,,,52-70,2,P. Gasol makes 2-pt shot from 1 ft (assist by T. Parker)
6:15.0,Denver full timeout,,52-70,,
6:15.0,R. Jefferson enters the game for W. Chandler,,52-70,,
6:15.0,T. Lyles enters the game for J. Murray,,52-70,,
5:51.0,N. Jokic makes 3-pt shot from 28 ft (assist by G. Harris),3,55-70,,
5:36.0,,,55-70,,D. Green misses 3-pt shot from 27 ft
5:32.0,Defensive rebound by N. Jokic,,55-70,,
5:15.0,G. Harris misses 2-pt shot from 2 ft,,55-70,,
5:12.0,,,55-70,,Defensive rebound by K. Leonard
5:08.0,,,55-73,3,T. Parker makes 3-pt shot from 23 ft (assist by K. Leonard)
4:42.0,G. Harris makes 3-pt shot from 26 ft (assist by W. Barton),3,58-73,,
4:25.0,,,58-73,,Shooting foul by G. Harris (drawn by K. Leonard)
4:25.0,,,58-73,,K. Leonard misses free throw 1 of 2
4:25.0,,,58-73,,Offensive rebound by Team
4:25.0,,,58-73,,K. Anderson enters the game for T. Parker
4:25.0,,,58-73,,P. Mills enters the game for D. Green
4:25.0,,,58-73,,M. Ginobili enters the game for D. Bertans
4:25.0,,,58-74,1,K. Leonard makes free throw 2 of 2
4:12.0,G. Harris makes 3-pt shot from 26 ft (assist by N. Jokic),3,61-74,,
3:54.0,,,61-74,,P. Gasol misses 2-pt shot from 8 ft
3:50.0,Defensive rebound by G. Harris,,61-74,,
3:42.0,W. Barton misses 2-pt shot from 10 ft,,61-74,,
3:39.0,Offensive rebound by R. Jefferson,,61-74,,
3:32.0,T. Lyles misses 2-pt shot from 8 ft,,61-74,,
3:24.0,Offensive rebound by W. Barton,,61-74,,
3:24.0,W. Barton misses 2-pt shot at rim,,61-74,,
3:24.0,,,61-74,,Defensive rebound by K. Anderson
3:24.0,,,61-74,,Shooting foul by N. Jokic (drawn by K. Leonard)
3:24.0,,,61-75,1,K. Leonard makes free throw 1 of 2
3:24.0,,,61-75,,J. Lauvergne enters the game for P. Gasol
3:24.0,,,61-76,1,K. Leonard makes free throw 2 of 2
3:14.0,,,61-76,,Personal foul by J. Lauvergne (drawn by N. Jokic)
3:14.0,,,61-76,,B. Forbes enters the game for K. Leonard
3:05.0,G. Harris makes 2-pt shot from 2 ft (assist by N. Jokic),2,63-76,,
2:49.0,,,63-76,,Turnover by P. Mills (bad pass; steal by G. Harris)
2:46.0,Shooting foul by M. Ginobili (drawn by G. Harris),,63-76,,
2:46.0,G. Harris makes free throw 1 of 2,1,64-76,,
2:46.0,G. Harris makes free throw 2 of 2,1,65-76,,
2:28.0,,,65-78,2,M. Ginobili makes 2-pt shot from 18 ft
2:12.0,R. Jefferson misses 2-pt shot from 8 ft,,65-78,,
2:09.0,,,65-78,,Defensive rebound by P. Mills
1:59.0,,,65-80,2,J. Lauvergne makes 2-pt shot at rim (assist by K. Anderson)
1:40.0,G. Harris misses 3-pt shot from 25 ft,,65-80,,
1:36.0,,,65-80,,Defensive rebound by P. Mills
1:28.0,,,65-82,2,K. Anderson makes 2-pt shot from 5 ft
1:08.0,W. Barton makes 3-pt shot from 24 ft (assist by T. Lyles),3,68-82,,
0:53.0,,,68-82,,K. Anderson misses 2-pt shot from 20 ft
0:48.0,Defensive rebound by N. Jokic,,68-82,,
0:43.0,Shooting foul by P. Mills (drawn by T. Lyles),,68-82,,
0:43.0,T. Lyles misses free throw 1 of 2,,68-82,,
0:43.0,Offensive rebound by Team,,68-82,,
0:43.0,M. Beasley enters the game for G. Harris,,68-82,,
0:43.0,K. Faried enters the game for N. Jokic,,68-82,,
0:43.0,T. Lyles makes free throw 2 of 2,1,69-82,,
0:30.0,,,69-82,,M. Ginobili misses 2-pt shot from 16 ft
0:30.0,,,69-82,,Offensive rebound by Team
0:09.0,,,69-82,,M. Ginobili misses 3-pt shot from 25 ft
0:05.0,Defensive rebound by T. Lyles,,69-82,,
0:01.0,T. Lyles misses 2-pt shot from 10 ft,,69-82,,
0:01.0,Offensive rebound by Team,,69-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,69-82,,Offensive foul by J. Lauvergne (drawn by K. Faried)
11:46.0,,,69-82,,Turnover by J. Lauvergne (offensive foul)
11:27.0,T. Lyles misses 3-pt shot from 27 ft,,69-82,,
11:24.0,,,69-82,,Defensive rebound by Team
11:24.0,,,69-82,,D. Murray enters the game for M. Ginobili
11:24.0,,,69-82,,L. Aldridge enters the game for J. Lauvergne
11:02.0,,,69-82,,Shooting foul by M. Beasley (drawn by D. Murray)
11:02.0,,,69-83,1,D. Murray makes free throw 1 of 2
11:02.0,,,69-84,1,D. Murray makes free throw 2 of 2
10:53.0,Turnover by W. Barton (bad pass; steal by L. Aldridge),,69-84,,
10:36.0,,,69-86,2,B. Forbes makes 2-pt shot from 9 ft
10:21.0,R. Jefferson misses 2-pt shot from 10 ft,,69-86,,
10:21.0,Offensive rebound by K. Faried,,69-86,,
10:15.0,K. Faried misses 2-pt shot at rim,,69-86,,
10:13.0,,,69-86,,Defensive rebound by K. Anderson
10:10.0,,,69-86,,L. Aldridge misses 3-pt shot from 25 ft
10:07.0,Defensive rebound by M. Beasley,,69-86,,
10:04.0,K. Faried misses 2-pt shot from 7 ft,,69-86,,
10:04.0,,,69-86,,Defensive rebound by P. Mills
9:57.0,,,69-88,2,L. Aldridge makes 2-pt shot from 5 ft (assist by K. Anderson)
9:57.0,,,69-88,,Shooting foul by T. Lyles (drawn by L. Aldridge)
9:57.0,,,69-88,,D. Bertans enters the game for K. Anderson
9:57.0,,,69-88,,K. Leonard enters the game for P. Mills
9:57.0,,,69-89,1,L. Aldridge makes free throw 1 of 1
9:57.0,M. Plumlee enters the game for T. Lyles,,69-89,,
9:47.0,K. Faried makes 2-pt shot from 17 ft (assist by W. Barton),2,71-89,,
9:30.0,,,71-89,,Turnover by K. Leonard (bad pass; steal by K. Faried)
9:24.0,M. Beasley misses 3-pt shot from 22 ft,,71-89,,
9:24.0,,,71-89,,Defensive rebound by L. Aldridge
9:18.0,,,71-89,,K. Leonard misses 2-pt shot from 4 ft (block by M. Plumlee)
9:06.0,Defensive rebound by M. Plumlee,,71-89,,
9:05.0,M. Beasley misses 2-pt shot from 5 ft,,71-89,,
9:05.0,,,71-89,,Defensive rebound by D. Murray
8:56.0,,,71-89,,B. Forbes misses 2-pt shot from 18 ft
8:56.0,Defensive rebound by M. Beasley,,71-89,,
8:40.0,K. Faried misses 2-pt shot from 7 ft,,71-89,,
8:40.0,,,71-89,,Defensive rebound by B. Forbes
8:32.0,,,71-92,3,B. Forbes makes 3-pt shot from 25 ft (assist by D. Murray)
8:31.0,Denver full timeout,,71-92,,
8:31.0,W. Chandler enters the game for W. Barton,,71-92,,
8:31.0,N. Jokic enters the game for R. Jefferson,,71-92,,
8:31.0,G. Harris enters the game for M. Beasley,,71-92,,
8:31.0,J. Murray enters the game for K. Faried,,71-92,,
8:13.0,W. Chandler makes 3-pt shot from 26 ft (assist by N. Jokic),3,74-92,,
7:58.0,,,74-94,2,K. Leonard makes 2-pt shot from 2 ft
7:32.0,W. Chandler misses 2-pt shot from 16 ft,,74-94,,
7:29.0,,,74-94,,Defensive rebound by D. Bertans
7:22.0,,,74-97,3,D. Bertans makes 3-pt shot from 28 ft (assist by D. Murray)
7:00.0,G. Harris misses 3-pt shot from 25 ft,,74-97,,
7:00.0,,,74-97,,Defensive rebound by D. Murray
6:49.0,,,74-99,2,L. Aldridge makes 2-pt shot from 4 ft
6:26.0,G. Harris misses 3-pt shot from 27 ft,,74-99,,
6:25.0,Offensive rebound by Team,,74-99,,
6:25.0,E. Mudiay enters the game for W. Chandler,,74-99,,
6:25.0,T. Lyles enters the game for N. Jokic,,74-99,,
6:25.0,J. Hernangomez enters the game for G. Harris,,74-99,,
6:19.0,Turnover by Team (shot clock),,74-99,,
6:13.0,,,74-99,,B. Forbes misses 3-pt shot from 25 ft
6:12.0,,,74-99,,Offensive rebound by L. Aldridge
6:08.0,,,74-101,2,L. Aldridge makes 2-pt shot from 8 ft
6:06.0,Denver full timeout,,74-101,,
6:06.0,,,74-101,,J. Lauvergne enters the game for K. Leonard
6:06.0,,,74-101,,D. White enters the game for D. Bertans
6:06.0,R. Jefferson enters the game for M. Plumlee,,74-101,,
6:06.0,M. Beasley enters the game for J. Murray,,74-101,,
5:53.0,T. Lyles misses 2-pt shot from 7 ft,,74-101,,
5:53.0,,,74-101,,Defensive rebound by L. Aldridge
5:38.0,,,74-101,,L. Aldridge misses 2-pt shot from 15 ft
5:34.0,Defensive rebound by E. Mudiay,,74-101,,
5:31.0,E. Mudiay misses 3-pt shot from 26 ft,,74-101,,
5:27.0,,,74-101,,Defensive rebound by D. White
5:18.0,D. Arthur enters the game for T. Lyles,,74-101,,
5:18.0,,,74-101,,K. Anderson enters the game for L. Aldridge
5:08.0,,,74-103,2,K. Anderson makes 2-pt shot from 4 ft (assist by J. Lauvergne)
4:53.0,R. Jefferson misses 3-pt shot from 26 ft,,74-103,,
4:50.0,,,74-103,,Defensive rebound by J. Lauvergne
4:38.0,,,74-103,,Turnover by D. White (lost ball; steal by R. Jefferson)
4:35.0,Turnover by R. Jefferson (bad pass),,74-103,,
4:20.0,,,74-106,3,B. Forbes makes 3-pt shot from 25 ft (assist by K. Anderson)
4:07.0,D. Arthur misses 2-pt shot from 21 ft,,74-106,,
4:03.0,,,74-106,,Defensive rebound by J. Lauvergne
3:55.0,,,74-108,2,D. Murray makes 2-pt shot from 6 ft
3:39.0,Turnover by R. Jefferson (bad pass),,74-108,,
3:25.0,,,74-108,,B. Forbes misses 3-pt shot from 25 ft (block by J. Hernangomez)
3:16.0,,,74-108,,Offensive rebound by K. Anderson
3:15.0,,,74-108,,K. Anderson misses 2-pt shot from 3 ft
3:12.0,Defensive rebound by M. Beasley,,74-108,,
3:10.0,M. Beasley misses 3-pt shot from 26 ft,,74-108,,
3:10.0,Offensive rebound by M. Beasley,,74-108,,
3:05.0,M. Beasley misses 3-pt shot from 26 ft,,74-108,,
3:04.0,,,74-108,,Defensive rebound by B. Forbes
2:49.0,,,74-108,,K. Anderson misses 3-pt shot from 22 ft
2:48.0,Defensive rebound by E. Mudiay,,74-108,,
2:45.0,Turnover by E. Mudiay (lost ball; steal by K. Anderson),,74-108,,
2:43.0,Personal foul by E. Mudiay (drawn by K. Anderson),,74-108,,
2:43.0,,,74-109,1,K. Anderson makes clear path free throw 2 of 2
2:43.0,,,74-110,1,K. Anderson makes clear path free throw 1 of 2
2:32.0,,,74-110,,D. White misses 3-pt shot from 25 ft
2:32.0,,,74-110,,Offensive rebound by B. Forbes
2:26.0,,,74-110,,Turnover by J. Lauvergne (turnover)
2:18.0,E. Mudiay misses 2-pt shot from 16 ft,,74-110,,
2:15.0,,,74-110,,Defensive rebound by D. Murray
1:56.0,,,74-112,2,J. Lauvergne makes 2-pt shot from 2 ft (assist by K. Anderson)
