time,Oklahoma City,pts.away,score,pts.home,Cleveland
8:44.0,P. George makes 3-pt shot from 26 ft (assist by R. Westbrook),3,13-5,,
8:32.0,,,13-8,3,I. Thomas makes 3-pt shot from 23 ft
8:23.0,R. Westbrook misses 2-pt shot from 19 ft,,13-8,,
8:16.0,Offensive rebound by S. Adams,,13-8,,
8:16.0,S. Adams makes 2-pt shot at rim,2,15-8,,
8:11.0,,,15-8,,Shooting foul by S. Adams (drawn by L. James)
8:11.0,,,15-9,1,L. James makes free throw 1 of 2
8:11.0,,,15-9,,L. James misses free throw 2 of 2
8:09.0,Defensive rebound by C. Anthony,,15-9,,
8:01.0,P. George makes 3-pt shot from 25 ft (assist by R. Westbrook),3,18-9,,
7:41.0,,,18-12,3,I. Thomas makes 3-pt shot from 24 ft (assist by L. James)
7:31.0,S. Adams makes 2-pt shot from 11 ft (assist by R. Westbrook),2,20-12,,
7:20.0,,,20-12,,J. Crowder misses 3-pt shot from 24 ft
7:17.0,Defensive rebound by C. Anthony,,20-12,,
7:11.0,C. Anthony misses 2-pt shot from 21 ft,,20-12,,
7:09.0,,,20-12,,Defensive rebound by J. Crowder
6:58.0,,,20-12,,Turnover by I. Thomas (out of bounds lost ball)
6:58.0,Oklahoma City full timeout,,20-12,,
6:45.0,Shooting foul by I. Thomas (drawn by R. Westbrook),,20-12,,
6:45.0,R. Westbrook makes free throw 1 of 2,1,21-12,,
6:45.0,R. Westbrook makes free throw 2 of 2,1,22-12,,
6:29.0,,,22-12,,Turnover by J. Crowder (bad pass; steal by R. Westbrook)
6:26.0,R. Westbrook makes 2-pt shot from 1 ft,2,24-12,,
6:11.0,,,24-12,,I. Thomas misses 3-pt shot from 26 ft
6:10.0,Defensive rebound by P. George,,24-12,,
6:08.0,Offensive foul by S. Adams (drawn by L. James),,24-12,,
6:08.0,Turnover by S. Adams (offensive foul),,24-12,,
5:53.0,,,24-14,2,J. Smith makes 2-pt shot from 2 ft
5:36.0,C. Anthony makes 2-pt shot from 18 ft (assist by R. Westbrook),2,26-14,,
5:24.0,,,26-14,,I. Thomas misses 2-pt shot from 5 ft (block by S. Adams)
5:20.0,Defensive rebound by C. Anthony,,26-14,,
5:18.0,R. Westbrook makes 2-pt shot from 1 ft (assist by C. Anthony),2,28-14,,
5:06.0,,,28-14,,J. Crowder misses 2-pt shot from 18 ft
5:06.0,Defensive rebound by A. Roberson,,28-14,,
4:58.0,J. Grant enters the game for S. Adams,,28-14,,
4:53.0,C. Anthony makes 2-pt shot from 10 ft (assist by R. Westbrook),2,30-14,,
4:40.0,,,30-14,,J. Smith misses 3-pt shot from 24 ft
4:37.0,Defensive rebound by C. Anthony,,30-14,,
4:28.0,P. George makes 3-pt shot from 23 ft (assist by J. Grant),3,33-14,,
4:27.0,,,33-14,,Cleveland full timeout
4:27.0,,,33-14,,D. Wade enters the game for I. Thomas
4:27.0,,,33-14,,J. Green enters the game for J. Crowder
4:07.0,,,33-14,,J. Green misses 2-pt shot from 22 ft
4:07.0,,,33-14,,Offensive rebound by Team
4:07.0,Loose ball foul by C. Anthony (drawn by T. Thompson),,33-14,,
4:00.0,,,33-16,2,L. James makes 2-pt shot from 1 ft
3:35.0,C. Anthony makes 2-pt shot at rim,2,35-16,,
3:24.0,,,35-18,2,J. Green makes 2-pt shot from 19 ft (assist by L. James)
3:13.0,R. Westbrook misses 2-pt shot from 1 ft,,35-18,,
3:13.0,,,35-18,,Defensive rebound by Team
3:13.0,P. Patterson enters the game for C. Anthony,,35-18,,
3:04.0,,,35-18,,L. James misses 2-pt shot from 2 ft
3:02.0,Defensive rebound by R. Westbrook,,35-18,,
2:57.0,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook),2,37-18,,
2:46.0,,,37-18,,J. Green misses 2-pt shot from 1 ft
2:43.0,Defensive rebound by J. Grant,,37-18,,
2:28.0,P. Patterson misses 3-pt shot from 26 ft,,37-18,,
2:27.0,,,37-18,,Defensive rebound by Team
2:27.0,J. Huestis enters the game for A. Roberson,,37-18,,
2:12.0,,,37-18,,Shooting foul by P. George (drawn by T. Thompson)
2:12.0,,,37-19,1,T. Thompson makes free throw 1 of 2
2:12.0,,,37-19,,K. Korver enters the game for J. Smith
2:12.0,,,37-20,1,T. Thompson makes free throw 2 of 2
2:01.0,P. George misses 3-pt shot from 29 ft,,37-20,,
1:57.0,Offensive rebound by J. Huestis,,37-20,,
1:57.0,R. Felton enters the game for R. Westbrook,,37-20,,
1:46.0,P. George misses 2-pt shot from 8 ft,,37-20,,
1:43.0,,,37-20,,Defensive rebound by T. Thompson
1:38.0,,,37-20,,L. James misses 2-pt shot from 1 ft
1:36.0,Defensive rebound by P. George,,37-20,,
1:24.0,P. Patterson makes 3-pt shot from 22 ft (assist by P. George),3,40-20,,
1:10.0,Violation by J. Grant (kicked ball),,40-20,,
1:10.0,T. Ferguson enters the game for P. George,,40-20,,
1:05.0,,,40-22,2,T. Thompson makes 2-pt shot from 1 ft (assist by L. James)
0:45.0,R. Felton misses 3-pt shot from 25 ft,,40-22,,
0:42.0,,,40-22,,Defensive rebound by L. James
0:35.0,,,40-24,2,D. Wade makes 2-pt shot at rim (assist by L. James)
0:23.0,P. Patterson makes 3-pt shot from 25 ft (assist by J. Grant),3,43-24,,
0:02.0,,,43-24,,Turnover by L. James (bad pass; steal by T. Ferguson)
0:00.0,T. Ferguson misses 3-pt shot from 34 ft,,43-24,,
0:00.0,Offensive rebound by Team,,43-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,43-24,,Shooting foul by J. Huestis (drawn by D. Wade)
11:45.0,,,43-25,1,D. Wade makes free throw 1 of 2
11:45.0,,,43-26,1,D. Wade makes free throw 2 of 2
11:32.0,,,43-26,,Personal foul by D. Wade (drawn by R. Felton)
11:21.0,J. Grant misses 2-pt shot from 7 ft,,43-26,,
11:20.0,,,43-26,,Defensive rebound by T. Thompson
11:11.0,,,43-28,2,D. Wade makes 2-pt shot from 15 ft
10:59.0,P. Patterson misses 2-pt shot from 13 ft,,43-28,,
10:54.0,,,43-28,,Defensive rebound by T. Thompson
10:54.0,,,43-30,2,J. Green makes 2-pt shot from 2 ft
10:54.0,,,43-30,,Shooting foul by J. Huestis (drawn by J. Green)
10:54.0,,,43-31,1,J. Green makes free throw 1 of 1
10:54.0,S. Adams enters the game for P. Patterson,,43-31,,
10:44.0,R. Felton misses 2-pt shot from 6 ft,,43-31,,
10:40.0,,,43-31,,Defensive rebound by T. Thompson
10:37.0,,,43-31,,K. Korver misses 3-pt shot from 23 ft
10:37.0,Defensive rebound by R. Felton,,43-31,,
10:26.0,J. Grant misses 3-pt shot from 26 ft,,43-31,,
10:26.0,Offensive rebound by J. Huestis,,43-31,,
10:18.0,J. Huestis misses 2-pt shot at rim,,43-31,,
10:18.0,,,43-31,,Defensive rebound by T. Thompson
10:12.0,Personal foul by T. Ferguson (drawn by D. Wade),,43-31,,
10:12.0,A. Roberson enters the game for J. Huestis,,43-31,,
10:06.0,,,43-31,,Shooting foul by J. Grant (drawn by T. Thompson)
10:06.0,,,43-31,,T. Thompson misses free throw 1 of 2
10:06.0,,,43-31,,Offensive rebound by Team
10:06.0,,,43-32,1,T. Thompson makes free throw 2 of 2
9:50.0,R. Felton misses 2-pt shot from 18 ft,,43-32,,
9:45.0,Offensive rebound by R. Felton,,43-32,,
9:35.0,Turnover by R. Felton (turnover),,43-32,,
9:26.0,,,43-34,2,D. Rose makes 2-pt shot from 12 ft
9:15.0,Shooting foul by K. Korver (drawn by J. Grant),,43-34,,
9:15.0,J. Grant makes free throw 1 of 2,1,44-34,,
9:15.0,P. George enters the game for R. Felton,,44-34,,
9:15.0,R. Westbrook enters the game for T. Ferguson,,44-34,,
9:15.0,J. Grant makes free throw 2 of 2,1,45-34,,
9:06.0,,,45-34,,Turnover by D. Wade (out of bounds lost ball)
8:59.0,,,45-34,,L. James enters the game for T. Thompson
8:52.0,Shooting foul by L. James (drawn by S. Adams),,45-34,,
8:52.0,S. Adams misses free throw 1 of 2,,45-34,,
8:52.0,Offensive rebound by Team,,45-34,,
8:52.0,C. Anthony enters the game for J. Grant,,45-34,,
8:52.0,S. Adams makes free throw 2 of 2,1,46-34,,
8:43.0,,,46-34,,Turnover by D. Wade (lost ball; steal by C. Anthony)
8:36.0,R. Westbrook makes 2-pt shot from 1 ft,2,48-34,,
8:36.0,,,48-34,,Cleveland full timeout
8:26.0,,,48-34,,L. James misses 2-pt shot from 8 ft
8:23.0,Defensive rebound by P. George,,48-34,,
8:05.0,C. Anthony misses 3-pt shot from 25 ft,,48-34,,
7:59.0,,,48-34,,Defensive rebound by J. Green
7:57.0,,,48-36,2,D. Rose makes 2-pt shot at rim (assist by L. James)
7:49.0,P. George makes 2-pt shot from 14 ft,2,50-36,,
7:37.0,,,50-36,,Shooting foul by S. Adams (drawn by J. Green)
7:37.0,,,50-37,1,J. Green makes free throw 1 of 2
7:37.0,,,50-37,,I. Thomas enters the game for D. Wade
7:37.0,P. Patterson enters the game for S. Adams,,50-37,,
7:37.0,,,50-38,1,J. Green makes free throw 2 of 2
7:28.0,C. Anthony misses 2-pt shot from 15 ft,,50-38,,
7:23.0,,,50-38,,Defensive rebound by D. Rose
7:17.0,,,50-38,,Shooting foul by A. Roberson (drawn by I. Thomas)
7:17.0,,,50-39,1,I. Thomas makes free throw 1 of 2
7:17.0,,,50-39,,J. Smith enters the game for K. Korver
7:17.0,,,50-39,,J. Crowder enters the game for J. Green
7:17.0,,,50-40,1,I. Thomas makes free throw 2 of 2
7:07.0,R. Westbrook misses 2-pt shot from 1 ft,,50-40,,
7:05.0,,,50-40,,Defensive rebound by L. James
6:57.0,,,50-42,2,D. Rose makes 2-pt shot at rim (assist by J. Smith)
6:57.0,Oklahoma City full timeout,,50-42,,
6:57.0,,,50-42,,I. Thomas misses technical free throw
6:57.0,Defensive rebound by Team,,50-42,,
6:45.0,P. George misses 3-pt shot from 23 ft,,50-42,,
6:40.0,Offensive rebound by R. Westbrook,,50-42,,
6:37.0,R. Westbrook makes 2-pt shot from 17 ft,2,52-42,,
6:17.0,,,52-44,2,L. James makes 2-pt shot from 1 ft
6:08.0,P. George makes 3-pt shot from 26 ft (assist by R. Westbrook),3,55-44,,
5:47.0,,,55-46,2,I. Thomas makes 2-pt shot from 17 ft (assist by J. Crowder)
5:35.0,C. Anthony misses 2-pt shot from 2 ft,,55-46,,
5:34.0,Offensive rebound by C. Anthony,,55-46,,
5:33.0,C. Anthony misses 2-pt shot at rim,,55-46,,
5:32.0,Offensive rebound by C. Anthony,,55-46,,
5:31.0,C. Anthony makes 2-pt shot from 1 ft,2,57-46,,
5:20.0,Personal foul by P. Patterson (drawn by I. Thomas),,57-46,,
5:20.0,,,57-47,1,I. Thomas makes free throw 1 of 2
5:20.0,,,57-48,1,I. Thomas makes free throw 2 of 2
5:10.0,A. Roberson misses 2-pt shot at rim (block by L. James),,57-48,,
5:10.0,Offensive rebound by A. Roberson,,57-48,,
5:03.0,C. Anthony misses 3-pt shot from 25 ft,,57-48,,
5:03.0,,,57-48,,Defensive rebound by J. Crowder
4:53.0,,,57-48,,I. Thomas misses 3-pt shot from 24 ft
4:53.0,Defensive rebound by R. Westbrook,,57-48,,
4:45.0,R. Westbrook makes 2-pt shot at rim,2,59-48,,
4:26.0,,,59-48,,D. Rose misses 2-pt shot from 16 ft
4:24.0,Defensive rebound by R. Westbrook,,59-48,,
4:17.0,Shooting foul by D. Rose (drawn by C. Anthony),,59-48,,
4:17.0,C. Anthony makes free throw 1 of 2,1,60-48,,
4:17.0,,,60-48,,D. Wade enters the game for D. Rose
4:17.0,J. Grant enters the game for P. Patterson,,60-48,,
4:17.0,C. Anthony makes free throw 2 of 2,1,61-48,,
4:05.0,,,61-50,2,J. Crowder makes 2-pt shot from 2 ft (assist by I. Thomas)
3:48.0,R. Westbrook makes 2-pt shot from 1 ft,2,63-50,,
3:33.0,,,63-50,,J. Smith misses 3-pt shot from 22 ft
3:30.0,Defensive rebound by C. Anthony,,63-50,,
3:11.0,P. George makes 2-pt shot from 19 ft,2,65-50,,
2:56.0,,,65-50,,Turnover by I. Thomas (bad pass; steal by A. Roberson)
2:52.0,Shooting foul by I. Thomas (drawn by A. Roberson),,65-50,,
2:52.0,A. Roberson misses free throw 1 of 2,,65-50,,
2:52.0,Offensive rebound by Team,,65-50,,
2:52.0,A. Roberson misses free throw 2 of 2,,65-50,,
2:52.0,Offensive rebound by A. Roberson,,65-50,,
2:52.0,Shooting foul by D. Wade (drawn by A. Roberson),,65-50,,
2:52.0,A. Roberson misses free throw 1 of 2,,65-50,,
2:52.0,Offensive rebound by Team,,65-50,,
2:52.0,A. Roberson misses free throw 2 of 2,,65-50,,
2:49.0,,,65-50,,Defensive rebound by D. Wade
2:46.0,,,65-52,2,D. Wade makes 2-pt shot from 1 ft (assist by J. Smith)
2:46.0,,,65-52,,Shooting foul by A. Roberson (drawn by D. Wade)
2:46.0,J. Huestis enters the game for A. Roberson,,65-52,,
2:46.0,,,65-53,1,D. Wade makes free throw 1 of 1
2:39.0,Turnover by R. Westbrook (lost ball; steal by D. Wade),,65-53,,
2:33.0,,,65-55,2,L. James makes 2-pt shot from 1 ft (assist by D. Wade)
2:23.0,Shooting foul by D. Wade (drawn by P. George),,65-55,,
2:23.0,P. George makes free throw 1 of 2,1,66-55,,
2:23.0,P. George makes free throw 2 of 2,1,67-55,,
1:57.0,,,67-55,,J. Smith misses 3-pt shot from 23 ft
1:55.0,Defensive rebound by C. Anthony,,67-55,,
1:47.0,C. Anthony makes 2-pt shot at rim (assist by R. Westbrook),2,69-55,,
1:35.0,,,69-55,,Turnover by I. Thomas (palming)
1:35.0,,,69-55,,J. Green enters the game for D. Wade
1:21.0,R. Westbrook misses 2-pt shot from 19 ft,,69-55,,
1:17.0,,,69-55,,Defensive rebound by L. James
1:15.0,,,69-57,2,L. James makes 2-pt shot from 1 ft
1:15.0,,,69-57,,Shooting foul by J. Grant (drawn by L. James)
1:15.0,,,69-57,,L. James misses free throw 1 of 1
1:14.0,,,69-57,,Offensive rebound by Team
1:14.0,Loose ball foul by C. Anthony (drawn by J. Green),,69-57,,
1:14.0,,,69-57,,J. Green misses free throw 1 of 2
1:14.0,,,69-57,,Offensive rebound by Team
1:14.0,,,69-58,1,J. Green makes free throw 2 of 2
0:59.0,P. George makes 3-pt shot from 23 ft (assist by R. Westbrook),3,72-58,,
0:45.0,,,72-58,,L. James misses 3-pt shot from 26 ft
0:42.0,,,72-58,,Offensive rebound by J. Green
0:39.0,,,72-58,,J. Crowder misses 3-pt shot from 23 ft
0:39.0,Defensive rebound by R. Westbrook,,72-58,,
0:30.0,C. Anthony makes 3-pt shot from 22 ft (assist by R. Westbrook),3,75-58,,
0:10.0,,,75-60,2,J. Green makes 2-pt shot from 1 ft (assist by J. Crowder)
0:04.0,,,75-60,,Personal foul by J. Green (drawn by R. Westbrook)
0:04.0,R. Westbrook misses free throw 1 of 2,,75-60,,
0:04.0,Offensive rebound by Team,,75-60,,
0:04.0,R. Westbrook makes free throw 2 of 2,1,76-60,,
0:00.0,,,76-60,,J. Smith misses 3-pt shot from 32 ft
0:00.0,,,76-60,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,76-60,,J. Crowder misses 3-pt shot from 25 ft
11:41.0,Defensive rebound by P. George,,76-60,,
11:30.0,S. Adams makes 2-pt shot from 10 ft (assist by R. Westbrook),2,78-60,,
11:19.0,,,78-60,,I. Thomas misses 3-pt shot from 25 ft
11:16.0,Defensive rebound by R. Westbrook,,78-60,,
11:11.0,P. George misses 3-pt shot from 23 ft,,78-60,,
11:11.0,Offensive rebound by Team,,78-60,,
11:11.0,,,78-60,,Loose ball foul by T. Thompson (drawn by S. Adams)
11:02.0,C. Anthony makes 2-pt shot from 14 ft,2,80-60,,
10:48.0,,,80-62,2,J. Crowder makes 2-pt shot at rim (assist by L. James)
10:38.0,P. George misses 3-pt shot from 24 ft,,80-62,,
10:35.0,,,80-62,,Defensive rebound by J. Smith
10:21.0,,,80-62,,T. Thompson misses 2-pt shot from 5 ft
10:18.0,Defensive rebound by P. George,,80-62,,
10:10.0,C. Anthony makes 3-pt shot from 28 ft (assist by R. Westbrook),3,83-62,,
9:54.0,Personal foul by A. Roberson (drawn by J. Smith),,83-62,,
9:43.0,,,83-64,2,J. Crowder makes 2-pt shot from 19 ft (assist by T. Thompson)
9:28.0,P. George makes 2-pt shot from 7 ft (assist by R. Westbrook),2,85-64,,
9:09.0,,,85-66,2,I. Thomas makes 2-pt shot from 9 ft (assist by J. Crowder)
9:01.0,Offensive foul by A. Roberson (drawn by I. Thomas),,85-66,,
9:01.0,Turnover by A. Roberson (offensive foul),,85-66,,
8:42.0,,,85-68,2,I. Thomas makes 2-pt shot from 9 ft (assist by T. Thompson)
8:26.0,C. Anthony misses 3-pt shot from 26 ft,,85-68,,
8:24.0,S. Adams makes 2-pt shot at rim,2,87-68,,
8:24.0,Offensive rebound by S. Adams,,87-68,,
8:24.0,Shooting foul by T. Thompson (drawn by S. Adams),,87-68,,
8:24.0,J. Grant enters the game for A. Roberson,,87-68,,
8:24.0,S. Adams misses free throw 1 of 2,,87-68,,
8:19.0,,,87-68,,Defensive rebound by J. Smith
8:08.0,,,87-68,,J. Crowder misses 2-pt shot from 1 ft
8:08.0,Defensive rebound by S. Adams,,87-68,,
8:02.0,Turnover by R. Westbrook (bad pass; steal by J. Smith),,87-68,,
7:55.0,,,87-71,3,J. Smith makes 3-pt shot from 24 ft (assist by J. Crowder)
7:36.0,P. George makes 2-pt shot from 21 ft (assist by R. Westbrook),2,89-71,,
7:28.0,Personal foul by R. Westbrook (drawn by I. Thomas),,89-71,,
7:14.0,,,89-71,,J. Smith misses 2-pt shot from 11 ft
7:12.0,Defensive rebound by P. George,,89-71,,
6:54.0,Turnover by R. Westbrook (lost ball; steal by I. Thomas),,89-71,,
6:41.0,,,89-71,,J. Smith misses 3-pt shot from 25 ft
6:38.0,Defensive rebound by R. Westbrook,,89-71,,
6:33.0,J. Grant misses 2-pt shot from 10 ft (block by T. Thompson),,89-71,,
6:33.0,,,89-71,,Defensive rebound by J. Smith
6:20.0,,,89-71,,L. James misses 2-pt shot from 6 ft
6:20.0,Defensive rebound by Team,,89-71,,
6:20.0,,,89-71,,Cleveland full timeout
6:04.0,R. Westbrook makes 2-pt shot from 1 ft (assist by P. George),2,91-71,,
6:04.0,Shooting foul by J. Crowder (drawn by R. Westbrook),,91-71,,
6:04.0,R. Westbrook makes free throw 1 of 1,1,92-71,,
5:48.0,,,92-71,,L. James misses 3-pt shot from 25 ft
5:45.0,Defensive rebound by S. Adams,,92-71,,
5:42.0,C. Anthony makes 3-pt shot from 26 ft (assist by R. Westbrook),3,95-71,,
5:24.0,,,95-71,,J. Smith misses 3-pt shot from 23 ft
5:21.0,,,95-71,,Offensive rebound by T. Thompson
5:18.0,,,95-74,3,J. Crowder makes 3-pt shot from 26 ft (assist by T. Thompson)
5:04.0,C. Anthony makes 2-pt shot from 15 ft (assist by R. Westbrook),2,97-74,,
4:53.0,,,97-77,3,J. Smith makes 3-pt shot from 26 ft (assist by I. Thomas)
4:38.0,Shooting foul by J. Smith (drawn by C. Anthony),,97-77,,
4:38.0,C. Anthony makes free throw 1 of 2,1,98-77,,
4:38.0,,,98-77,,C. Frye enters the game for T. Thompson
4:38.0,C. Anthony makes free throw 2 of 2,1,99-77,,
4:18.0,,,99-79,2,L. James makes 2-pt shot at rim
4:18.0,Violation by J. Grant (def goaltending),,99-79,,
3:57.0,P. George misses 3-pt shot from 23 ft,,99-79,,
3:54.0,,,99-79,,Defensive rebound by J. Smith
3:53.0,,,99-82,3,I. Thomas makes 3-pt shot from 25 ft (assist by J. Smith)
3:40.0,P. George makes 2-pt shot from 2 ft (assist by C. Anthony),2,101-82,,
3:40.0,Shooting foul by J. Crowder (drawn by P. George),,101-82,,
3:40.0,J. Huestis enters the game for S. Adams,,101-82,,
3:40.0,P. George makes free throw 1 of 1,1,102-82,,
3:25.0,,,102-85,3,I. Thomas makes 3-pt shot from 26 ft (assist by J. Smith)
3:11.0,Turnover by R. Westbrook (bad pass; steal by C. Frye),,102-85,,
3:09.0,,,102-87,2,L. James makes 2-pt shot at rim (assist by J. Smith)
3:09.0,,,102-87,,Shooting foul by P. George (drawn by L. James)
3:09.0,,,102-87,,J. Green enters the game for J. Smith
3:09.0,,,102-87,,D. Wade enters the game for J. Crowder
3:09.0,,,102-88,1,L. James makes free throw 1 of 1
2:47.0,C. Anthony makes 2-pt shot from 18 ft (assist by R. Westbrook),2,104-88,,
2:38.0,,,104-90,2,I. Thomas makes 2-pt shot at rim
2:17.0,J. Huestis misses 3-pt shot from 24 ft,,104-90,,
2:15.0,,,104-90,,Defensive rebound by D. Wade
2:12.0,,,104-92,2,L. James makes 2-pt shot at rim (assist by I. Thomas)
2:12.0,Oklahoma City full timeout,,104-92,,
2:04.0,,,104-92,,Personal foul by C. Frye (drawn by P. George)
2:04.0,P. George makes free throw 1 of 2,1,105-92,,
2:04.0,S. Adams enters the game for J. Grant,,105-92,,
2:04.0,P. George makes free throw 2 of 2,1,106-92,,
1:47.0,,,106-92,,I. Thomas misses 3-pt shot from 22 ft
1:44.0,Defensive rebound by C. Anthony,,106-92,,
1:36.0,R. Westbrook makes 3-pt shot from 25 ft,3,109-92,,
1:27.0,,,109-92,,Turnover by C. Frye (bad pass)
1:27.0,,,109-92,,D. Rose enters the game for I. Thomas
1:27.0,R. Felton enters the game for R. Westbrook,,109-92,,
1:27.0,P. Patterson enters the game for C. Anthony,,109-92,,
1:10.0,P. George misses 3-pt shot from 26 ft,,109-92,,
1:08.0,,,109-92,,Defensive rebound by D. Wade
1:01.0,,,109-94,2,L. James makes 2-pt shot from 1 ft (assist by D. Wade)
0:43.0,P. George makes 2-pt shot from 20 ft,2,111-94,,
0:32.0,,,111-94,,Turnover by D. Wade (traveling)
0:27.0,R. Felton makes 3-pt shot from 31 ft,3,114-94,,
0:08.0,,,114-94,,D. Rose misses 3-pt shot from 24 ft
0:05.0,Defensive rebound by R. Felton,,114-94,,
0:05.0,Turnover by P. George (palming),,114-94,,
0:01.0,,,114-94,,Offensive charge foul by L. James (drawn by P. George)
0:01.0,,,114-94,,Turnover by L. James (offensive foul)
0:00.0,S. Adams misses 3-pt shot from 59 ft,,114-94,,
0:00.0,Offensive rebound by Team,,114-94,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,R. Felton makes 2-pt shot from 19 ft,2,116-94,,
11:31.0,,,116-97,3,K. Korver makes 3-pt shot from 25 ft (assist by D. Wade)
11:12.0,Turnover by J. Huestis (lost ball; steal by D. Wade),,116-97,,
11:07.0,,,116-97,,Turnover by D. Wade (bad pass; steal by P. Patterson)
11:02.0,A. Roberson enters the game for J. Huestis,,116-97,,
10:58.0,Offensive foul by P. Patterson (drawn by L. James),,116-97,,
10:58.0,Turnover by P. Patterson (offensive foul),,116-97,,
10:44.0,,,116-97,,Turnover by D. Wade (bad pass; steal by P. Patterson)
10:34.0,S. Adams makes 2-pt shot from 5 ft (assist by A. Roberson),2,118-97,,
10:23.0,,,118-99,2,D. Rose makes 2-pt shot from 1 ft
9:58.0,P. Patterson misses 2-pt shot from 17 ft,,118-99,,
9:53.0,,,118-99,,Defensive rebound by D. Rose
9:51.0,,,118-99,,D. Rose misses 2-pt shot from 4 ft (block by R. Felton)
9:51.0,,,118-99,,Offensive rebound by Team
9:48.0,,,118-99,,L. James misses 3-pt shot from 25 ft
9:45.0,Defensive rebound by S. Adams,,118-99,,
9:36.0,R. Felton misses 2-pt shot from 2 ft (block by J. Green),,118-99,,
9:31.0,,,118-99,,Defensive rebound by J. Green
9:17.0,,,118-99,,D. Wade misses 3-pt shot from 23 ft
9:17.0,Defensive rebound by S. Adams,,118-99,,
8:52.0,T. Ferguson makes 2-pt shot from 22 ft (assist by P. Patterson),2,120-99,,
8:30.0,,,120-99,,J. Green misses 3-pt shot from 24 ft
8:27.0,Defensive rebound by P. Patterson,,120-99,,
8:17.0,A. Roberson makes 2-pt shot from 1 ft (assist by R. Felton),2,122-99,,
8:17.0,,,122-99,,Cleveland full timeout
8:17.0,R. Westbrook enters the game for T. Ferguson,,122-99,,
8:08.0,,,122-99,,L. James misses 2-pt shot from 2 ft
8:08.0,Defensive rebound by Team,,122-99,,
7:59.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,124-99,,
7:43.0,,,124-99,,K. Korver misses 3-pt shot from 22 ft
7:41.0,Defensive rebound by S. Adams,,124-99,,
7:39.0,R. Westbrook misses 2-pt shot at rim,,124-99,,
7:38.0,Offensive rebound by A. Roberson,,124-99,,
7:38.0,A. Roberson makes 2-pt shot at rim,2,126-99,,
7:24.0,,,126-101,2,D. Wade makes 2-pt shot from 21 ft (assist by L. James)
7:11.0,A. Roberson misses 2-pt shot from 3 ft,,126-101,,
7:08.0,,,126-101,,Defensive rebound by K. Korver
7:03.0,,,126-101,,J. Green misses 3-pt shot from 26 ft
7:03.0,Defensive rebound by R. Felton,,126-101,,
6:44.0,S. Adams makes 2-pt shot from 1 ft,2,128-101,,
6:37.0,Shooting block foul by A. Roberson (drawn by D. Rose),,128-101,,
