time,Chicago,pts.away,score,pts.home,Phoenix
5:19.0,R. Lopez makes technical free throw,1,74-77,,
5:09.0,L. Markkanen makes 2-pt shot from 16 ft (assist by K. Dunn),2,76-77,,
4:47.0,,,76-77,,Turnover by D. Bender (lost ball; steal by K. Dunn)
4:44.0,K. Dunn makes 2-pt shot at rim,2,78-77,,
4:29.0,,,78-77,,D. Booker misses 3-pt shot from 24 ft
4:26.0,Defensive rebound by L. Markkanen,,78-77,,
4:15.0,J. Holiday misses 3-pt shot from 23 ft,,78-77,,
4:12.0,,,78-77,,Defensive rebound by J. Jackson
3:57.0,,,78-77,,Turnover by M. James (bad pass; steal by J. Holiday)
3:53.0,J. Holiday misses 3-pt shot from 25 ft,,78-77,,
3:49.0,,,78-77,,Defensive rebound by Team
3:49.0,,,78-77,,A. Len enters the game for G. Monroe
3:49.0,A. Blakeney enters the game for D. Valentine,,78-77,,
3:42.0,,,78-77,,Turnover by M. James (lost ball; steal by K. Dunn)
3:33.0,J. Holiday makes 2-pt shot from 3 ft,2,80-77,,
3:29.0,,,80-77,,Phoenix full timeout
3:19.0,,,80-79,2,D. Booker makes 2-pt shot from 1 ft
3:19.0,Violation by L. Markkanen (def goaltending),,80-79,,
2:58.0,K. Dunn makes 2-pt shot from 1 ft,2,82-79,,
2:45.0,,,82-79,,D. Booker misses 2-pt shot from 1 ft
2:42.0,Defensive rebound by L. Markkanen,,82-79,,
2:40.0,Jump ball: D. Booker vs. L. Markkanen (D. Bender gains possession),,,,Jump ball: D. Booker vs. L. Markkanen (D. Bender gains possession)
2:40.0,Turnover by L. Markkanen (turnover; steal by D. Booker),,82-79,,
2:30.0,,,82-79,,M. James misses 3-pt shot from 23 ft
2:28.0,Defensive rebound by Team,,82-79,,
2:28.0,,,82-79,,Loose ball foul by J. Jackson (drawn by J. Holiday)
2:28.0,B. Portis enters the game for L. Markkanen,,82-79,,
2:17.0,B. Portis makes 2-pt shot from 6 ft,2,84-79,,
2:04.0,,,84-79,,D. Booker misses 2-pt shot at rim
2:02.0,Defensive rebound by R. Lopez,,84-79,,
1:53.0,B. Portis misses 3-pt shot from 24 ft,,84-79,,
1:51.0,,,84-79,,Defensive rebound by J. Jackson
1:49.0,,,84-79,,Turnover by J. Jackson (bad pass)
1:49.0,,,84-79,,T. Daniels enters the game for D. Booker
1:49.0,C. Felicio enters the game for R. Lopez,,84-79,,
1:36.0,B. Portis misses 2-pt shot from 9 ft,,84-79,,
1:34.0,,,84-79,,Defensive rebound by J. Jackson
1:30.0,Shooting block foul by K. Dunn (drawn by J. Jackson),,84-79,,
1:30.0,,,84-79,,J. Jackson misses free throw 1 of 2
1:30.0,,,84-79,,Offensive rebound by Team
1:30.0,,,84-79,,J. Jackson misses free throw 2 of 2
1:27.0,Defensive rebound by B. Portis,,84-79,,
1:20.0,K. Dunn misses 2-pt shot from 5 ft,,84-79,,
1:16.0,Offensive rebound by K. Dunn,,84-79,,
1:15.0,K. Dunn misses 2-pt shot from 1 ft,,84-79,,
1:15.0,,,84-79,,Defensive rebound by T. Daniels
1:08.0,,,84-82,3,T. Daniels makes 3-pt shot from 25 ft (assist by M. James)
0:55.0,A. Blakeney misses 2-pt shot from 15 ft,,84-82,,
0:53.0,,,84-82,,Defensive rebound by T. Daniels
0:40.0,,,84-82,,J. Jackson misses 2-pt shot from 17 ft
0:38.0,Defensive rebound by A. Blakeney,,84-82,,
0:28.0,A. Blakeney misses 2-pt shot from 1 ft,,84-82,,
0:26.0,,,84-82,,Defensive rebound by A. Len
0:06.0,,,84-85,3,J. Jackson makes 3-pt shot from 22 ft (assist by M. James)
0:01.0,K. Dunn misses 3-pt shot from 26 ft,,84-85,,
0:01.0,,,84-85,,Defensive rebound by D. Bender
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Shooting foul by A. Len (drawn by C. Felicio),,84-85,,
11:49.0,C. Felicio misses free throw 1 of 2,,84-85,,
11:49.0,Offensive rebound by Team,,84-85,,
11:49.0,C. Felicio makes free throw 2 of 2,1,85-85,,
11:32.0,,,85-85,,J. Jackson misses 3-pt shot from 25 ft
11:28.0,Defensive rebound by K. Dunn,,85-85,,
11:22.0,B. Portis misses 3-pt shot from 26 ft,,85-85,,
11:17.0,,,85-85,,Defensive rebound by J. Jackson
11:07.0,,,85-87,2,A. Len makes 2-pt shot at rim (assist by J. Jackson)
10:48.0,D. Valentine misses 2-pt shot from 18 ft,,85-87,,
10:45.0,,,85-87,,Defensive rebound by A. Len
10:37.0,,,85-87,,T. Daniels misses 3-pt shot from 25 ft
10:35.0,Defensive rebound by B. Portis,,85-87,,
10:29.0,K. Dunn misses 2-pt shot from 15 ft,,85-87,,
10:25.0,,,85-87,,Defensive rebound by J. Jackson
10:16.0,,,85-87,,Shooting foul by C. Felicio (drawn by M. James)
10:16.0,,,85-88,1,M. James makes free throw 1 of 2
10:16.0,,,85-89,1,M. James makes free throw 2 of 2
10:02.0,B. Portis makes 3-pt shot from 22 ft (assist by K. Dunn),3,88-89,,
