time,Chicago,pts.away,score,pts.home,Utah
9:34.0,,,51-59,,R. Rubio misses 3-pt shot from 24 ft
9:31.0,Defensive rebound by K. Dunn,,51-59,,
9:23.0,R. Lopez misses 2-pt shot from 16 ft,,51-59,,
9:21.0,,,51-59,,Defensive rebound by J. Jerebko
9:11.0,Personal foul by D. Valentine (drawn by D. Favors),,51-59,,
9:11.0,,,51-60,1,D. Favors makes free throw 1 of 2
9:11.0,,,51-61,1,D. Favors makes free throw 2 of 2
9:01.0,Turnover by R. Lopez (bad pass),,51-61,,
8:51.0,,,51-64,3,J. Jerebko makes 3-pt shot from 24 ft (assist by D. Mitchell)
8:31.0,K. Dunn makes 2-pt shot from 2 ft,2,53-64,,
8:09.0,,,53-67,3,J. Ingles makes 3-pt shot from 26 ft (assist by D. Mitchell)
8:08.0,Chicago full timeout,,53-67,,
7:50.0,J. Holiday misses 2-pt shot from 13 ft,,53-67,,
7:43.0,Offensive rebound by R. Lopez,,53-67,,
7:43.0,R. Lopez makes 2-pt shot at rim,2,55-67,,
7:36.0,,,55-67,,Turnover by R. Rubio (lost ball; steal by K. Dunn)
7:32.0,K. Dunn misses 2-pt shot from 2 ft,,55-67,,
7:28.0,Offensive rebound by L. Markkanen,,55-67,,
7:27.0,L. Markkanen misses 2-pt shot from 2 ft (block by J. Jerebko),,55-67,,
7:27.0,Offensive rebound by L. Markkanen,,55-67,,
7:27.0,Turnover by L. Markkanen (lost ball; steal by R. Rubio),,55-67,,
7:16.0,,,55-67,,Utah full timeout
7:13.0,,,55-67,,Turnover by D. Mitchell (traveling)
7:03.0,,,55-67,,Personal foul by D. Favors (drawn by R. Lopez)
6:56.0,Turnover by J. Holiday (bad pass; steal by J. Ingles),,55-67,,
6:45.0,,,55-67,,Shooting foul by K. Dunn (drawn by D. Favors)
6:45.0,,,55-68,1,D. Favors makes free throw 1 of 2
6:45.0,,,55-69,1,D. Favors makes free throw 2 of 2
6:33.0,K. Dunn misses 2-pt shot from 16 ft,,55-69,,
6:30.0,,,55-69,,Defensive rebound by D. Mitchell
6:24.0,,,55-71,2,D. Favors makes 2-pt shot from 1 ft (assist by D. Mitchell)
6:05.0,D. Valentine misses 2-pt shot from 7 ft (block by R. Rubio),,55-71,,
6:03.0,,,55-71,,Defensive rebound by D. Mitchell
5:53.0,,,55-71,,Turnover by R. Rubio (bad pass; steal by K. Dunn)
5:48.0,L. Markkanen misses 3-pt shot from 25 ft,,55-71,,
5:45.0,,,55-71,,Defensive rebound by J. Ingles
5:23.0,,,55-73,2,D. Favors makes 2-pt shot from 5 ft (assist by D. Mitchell)
5:21.0,Chicago full timeout,,55-73,,
5:21.0,,,55-73,,R. Hood enters the game for R. Rubio
5:21.0,,,55-73,,T. Sefolosha enters the game for J. Jerebko
5:21.0,A. Blakeney enters the game for K. Dunn,,55-73,,
5:21.0,B. Portis enters the game for D. Valentine,,55-73,,
5:21.0,J. Grant enters the game for L. Markkanen,,55-73,,
5:10.0,J. Holiday misses 3-pt shot from 25 ft,,55-73,,
5:07.0,,,55-73,,Defensive rebound by D. Mitchell
5:00.0,,,55-73,,J. Ingles misses 3-pt shot from 24 ft
4:55.0,Defensive rebound by J. Grant,,55-73,,
4:42.0,R. Lopez makes 2-pt shot from 6 ft,2,57-73,,
4:26.0,,,57-76,3,J. Ingles makes 3-pt shot from 23 ft (assist by R. Hood)
4:07.0,,,57-76,,E. Udoh enters the game for J. Ingles
4:07.0,,,57-76,,R. Neto enters the game for D. Favors
4:07.0,,,57-76,,A. Burks enters the game for D. Mitchell
4:00.0,Shooting foul by E. Udoh (drawn by R. Lopez),,57-76,,
4:00.0,R. Lopez makes free throw 1 of 2,1,58-76,,
4:00.0,R. Lopez misses free throw 2 of 2,,58-76,,
3:57.0,,,58-76,,Defensive rebound by R. Hood
3:46.0,,,58-79,3,R. Hood makes 3-pt shot from 24 ft
3:29.0,Shooting foul by R. Hood (drawn by J. Holiday),,58-79,,
3:29.0,J. Holiday makes free throw 1 of 2,1,59-79,,
3:29.0,J. Holiday makes free throw 2 of 2,1,60-79,,
3:17.0,,,60-82,3,R. Hood makes 3-pt shot from 26 ft
3:04.0,A. Blakeney makes 3-pt shot from 23 ft (assist by B. Portis),3,63-82,,
2:49.0,,,63-82,,R. Hood misses 3-pt shot from 23 ft
2:46.0,Defensive rebound by R. Lopez,,63-82,,
2:29.0,J. Holiday makes 2-pt shot from 1 ft (assist by R. Lopez),2,65-82,,
2:08.0,,,65-82,,R. Hood misses 2-pt shot from 18 ft
2:04.0,,,65-82,,Offensive rebound by E. Udoh
1:53.0,Personal foul by B. Portis (drawn by R. Hood),,65-82,,
1:53.0,,,65-83,1,R. Hood makes free throw 1 of 2
1:53.0,C. Felicio enters the game for R. Lopez,,65-83,,
1:53.0,,,65-84,1,R. Hood makes free throw 2 of 2
1:32.0,Shooting foul by E. Udoh (drawn by B. Portis),,65-84,,
1:32.0,B. Portis makes free throw 1 of 2,1,66-84,,
1:32.0,B. Portis makes free throw 2 of 2,1,67-84,,
1:17.0,,,67-84,,T. Sefolosha misses 3-pt shot from 22 ft
1:13.0,Defensive rebound by C. Felicio,,67-84,,
1:05.0,C. Felicio misses 2-pt shot from 2 ft,,67-84,,
1:01.0,,,67-84,,Defensive rebound by R. Neto
0:47.0,,,67-84,,R. Hood misses 3-pt shot from 26 ft
0:45.0,Defensive rebound by B. Portis,,67-84,,
0:32.0,B. Portis makes 2-pt shot from 10 ft,2,69-84,,
0:09.0,,,69-87,3,R. Neto makes 3-pt shot from 22 ft (assist by E. Udoh)
0:00.0,J. Grant misses 2-pt shot from 10 ft (block by E. Udoh),,69-87,,
0:00.0,Offensive rebound by Team,,69-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,69-89,2,R. Neto makes 2-pt shot from 2 ft
11:25.0,Offensive foul by B. Portis (drawn by R. Neto),,69-89,,
11:25.0,Turnover by B. Portis (offensive foul),,69-89,,
11:09.0,,,69-89,,R. Hood misses 3-pt shot from 24 ft
11:05.0,Defensive rebound by L. Markkanen,,69-89,,
11:00.0,A. Blakeney makes 2-pt shot from 8 ft,2,71-89,,
10:36.0,,,71-89,,A. Burks misses 3-pt shot from 25 ft
10:35.0,Defensive rebound by B. Portis,,71-89,,
10:15.0,A. Blakeney makes 3-pt shot from 25 ft (assist by J. Grant),3,74-89,,
9:50.0,,,74-91,2,A. Burks makes 2-pt shot from 2 ft
9:33.0,K. Dunn misses 2-pt shot from 11 ft,,74-91,,
9:30.0,,,74-91,,Defensive rebound by R. Neto
9:20.0,,,74-91,,A. Burks misses 3-pt shot from 24 ft
9:17.0,Defensive rebound by K. Dunn,,74-91,,
9:12.0,B. Portis misses 2-pt shot from 5 ft,,74-91,,
9:10.0,,,74-91,,Defensive rebound by A. Burks
9:07.0,,,74-91,,Utah full timeout
9:07.0,,,74-91,,J. Jerebko enters the game for T. Sefolosha
9:07.0,,,74-91,,D. Favors enters the game for R. Neto
9:07.0,,,74-91,,R. Rubio enters the game for E. Udoh
8:53.0,,,74-91,,D. Favors misses 2-pt shot from 16 ft
8:50.0,Defensive rebound by L. Markkanen,,74-91,,
8:36.0,A. Blakeney misses 2-pt shot from 11 ft,,74-91,,
8:35.0,Offensive rebound by Team,,74-91,,
8:35.0,,,74-91,,Loose ball foul by J. Jerebko (drawn by L. Markkanen)
8:22.0,L. Markkanen misses 3-pt shot from 25 ft,,74-91,,
8:19.0,,,74-91,,Defensive rebound by D. Favors
8:11.0,,,74-93,2,A. Burks makes 2-pt shot from 2 ft (assist by R. Rubio)
7:49.0,A. Blakeney misses 3-pt shot from 25 ft,,74-93,,
7:46.0,,,74-93,,Defensive rebound by J. Jerebko
7:31.0,,,74-93,,Shooting foul by J. Grant (drawn by A. Burks)
7:31.0,,,74-93,,A. Burks misses free throw 1 of 2
7:31.0,,,74-93,,Offensive rebound by Team
7:31.0,,,74-94,1,A. Burks makes free throw 2 of 2
7:20.0,K. Dunn misses 2-pt shot from 1 ft,,74-94,,
7:17.0,Offensive rebound by K. Dunn,,74-94,,
7:12.0,Turnover by K. Dunn (bad pass; steal by A. Burks),,74-94,,
6:54.0,,,74-96,2,A. Burks makes 2-pt shot from 7 ft
6:54.0,Chicago full timeout,,74-96,,
6:54.0,,,74-96,,J. Ingles enters the game for R. Hood
6:54.0,P. Zipser enters the game for L. Markkanen,,74-96,,
6:36.0,B. Portis misses 2-pt shot from 8 ft (block by D. Favors),,74-96,,
6:32.0,,,74-96,,Defensive rebound by J. Ingles
6:18.0,,,74-98,2,R. Rubio makes 2-pt shot from 3 ft
6:05.0,Offensive foul by B. Portis (drawn by D. Favors),,74-98,,
6:05.0,Turnover by B. Portis (offensive foul),,74-98,,
6:05.0,,,74-98,,E. Udoh enters the game for D. Favors
6:05.0,K. Felder enters the game for K. Dunn,,74-98,,
5:50.0,,,74-101,3,A. Burks makes 3-pt shot from 24 ft (assist by E. Udoh)
5:35.0,B. Portis misses 2-pt shot from 3 ft,,74-101,,
5:32.0,,,74-101,,Defensive rebound by R. Rubio
5:25.0,,,74-101,,R. Rubio misses 2-pt shot from 21 ft
5:21.0,Defensive rebound by B. Portis,,74-101,,
5:15.0,Shooting foul by E. Udoh (drawn by K. Felder),,74-101,,
5:15.0,K. Felder makes free throw 1 of 2,1,75-101,,
5:15.0,,,75-101,,T. Sefolosha enters the game for J. Jerebko
5:15.0,C. Felicio enters the game for J. Grant,,75-101,,
5:15.0,Q. Pondexter enters the game for B. Portis,,75-101,,
5:15.0,K. Felder makes free throw 2 of 2,1,76-101,,
4:55.0,,,76-101,,T. Sefolosha misses 2-pt shot from 10 ft
4:52.0,Defensive rebound by C. Felicio,,76-101,,
4:46.0,K. Felder misses 2-pt shot from 17 ft,,76-101,,
4:42.0,,,76-101,,Defensive rebound by E. Udoh
4:25.0,,,76-103,2,T. Sefolosha makes 2-pt shot from 3 ft
4:08.0,P. Zipser makes 2-pt shot at rim (assist by C. Felicio),2,78-103,,
3:44.0,,,78-103,,R. Rubio misses 2-pt shot from 20 ft
3:41.0,Defensive rebound by P. Zipser,,78-103,,
3:33.0,A. Blakeney misses 2-pt shot from 20 ft,,78-103,,
3:30.0,,,78-103,,Defensive rebound by Team
3:30.0,,,78-103,,R. O'Neale enters the game for J. Ingles
3:30.0,,,78-103,,Utah full timeout
3:14.0,Personal foul by Q. Pondexter (drawn by R. Rubio),,78-103,,
2:59.0,,,78-103,,A. Burks misses 3-pt shot from 24 ft
2:55.0,,,78-103,,Offensive rebound by E. Udoh
2:38.0,,,78-105,2,R. Rubio makes 2-pt shot from 21 ft (assist by R. O'Neale)
2:15.0,,,78-105,,R. Neto enters the game for R. Rubio
2:15.0,,,78-105,,T. Bradley enters the game for E. Udoh
2:13.0,P. Zipser misses 2-pt shot from 17 ft,,78-105,,
2:09.0,,,78-105,,Defensive rebound by T. Sefolosha
1:47.0,,,78-105,,R. Neto misses 2-pt shot from 9 ft
1:44.0,Defensive rebound by K. Felder,,78-105,,
1:32.0,C. Felicio misses 2-pt shot from 4 ft,,78-105,,
1:30.0,,,78-105,,Defensive rebound by T. Bradley
1:21.0,,,78-105,,Shooting foul by C. Felicio (drawn by A. Burks)
1:21.0,,,78-105,,A. Burks misses free throw 1 of 2
1:21.0,,,78-105,,Offensive rebound by Team
