time,Chicago,pts.away,score,pts.home,Portland
9:49.0,,,22-45,,P. Connaughton misses 3-pt shot from 28 ft
9:47.0,Defensive rebound by B. Portis,,22-45,,
9:40.0,D. Nwaba misses 2-pt shot from 1 ft (block by D. Lillard),,22-45,,
9:40.0,Offensive rebound by Team,,22-45,,
9:38.0,B. Portis misses 3-pt shot from 23 ft,,22-45,,
9:38.0,Offensive rebound by D. Valentine,,22-45,,
9:35.0,Shooting foul by S. Napier (drawn by C. Felicio),,22-45,,
9:35.0,C. Felicio misses free throw 1 of 2,,22-45,,
9:35.0,Offensive rebound by Team,,22-45,,
9:35.0,C. Felicio makes free throw 2 of 2,1,23-45,,
9:14.0,,,23-47,2,P. Connaughton makes 2-pt shot from 5 ft
9:07.0,D. Valentine makes 3-pt shot from 24 ft,3,26-47,,
8:56.0,,,26-49,2,D. Lillard makes 2-pt shot from 2 ft
8:50.0,B. Portis makes 2-pt shot from 15 ft (assist by R. Arcidiacono),2,28-49,,
8:25.0,,,28-49,,Turnover by S. Napier (bad pass; steal by R. Arcidiacono)
8:13.0,D. Valentine misses 3-pt shot from 22 ft,,28-49,,
8:09.0,,,28-49,,Defensive rebound by E. Davis
7:55.0,Personal foul by C. Felicio (drawn by D. Lillard),,28-49,,
7:55.0,Z. LaVine enters the game for D. Nwaba,,28-49,,
7:47.0,,,28-51,2,D. Lillard makes 2-pt shot from 1 ft
7:41.0,D. Valentine misses 3-pt shot from 26 ft,,28-51,,
7:39.0,,,28-51,,Defensive rebound by Z. Collins
7:36.0,,,28-51,,D. Lillard misses 3-pt shot from 25 ft
7:32.0,Defensive rebound by D. Valentine,,28-51,,
7:20.0,Z. LaVine misses 2-pt shot from 18 ft,,28-51,,
7:18.0,,,28-51,,Defensive rebound by Z. Collins
7:07.0,,,28-54,3,P. Connaughton makes 3-pt shot from 24 ft (assist by E. Davis)
7:07.0,Chicago full timeout,,28-54,,
7:07.0,J. Grant enters the game for R. Arcidiacono,,28-54,,
7:07.0,J. Holiday enters the game for D. Valentine,,28-54,,
6:48.0,Z. LaVine misses 2-pt shot from 1 ft (block by E. Davis),,28-54,,
6:44.0,,,28-54,,Defensive rebound by E. Davis
6:36.0,,,28-54,,P. Connaughton misses 3-pt shot from 23 ft
6:33.0,Defensive rebound by J. Holiday,,28-54,,
6:20.0,Z. LaVine makes 2-pt shot from 13 ft,2,30-54,,
5:55.0,,,30-56,2,S. Napier makes 2-pt shot from 1 ft
5:46.0,J. Grant makes 3-pt shot from 22 ft (assist by J. Holiday),3,33-56,,
5:24.0,,,33-56,,Z. Collins misses 3-pt shot from 24 ft
5:19.0,Defensive rebound by C. Felicio,,33-56,,
5:16.0,Shooting foul by Z. Collins (drawn by Z. LaVine),,33-56,,
5:16.0,Z. LaVine misses free throw 1 of 2,,33-56,,
5:16.0,,,33-56,,J. Nurkic enters the game for S. Napier
5:16.0,,,33-56,,A. Aminu enters the game for E. Davis
5:16.0,,,33-56,,C. McCollum enters the game for Z. Collins
5:16.0,R. Lopez enters the game for C. Felicio,,33-56,,
5:16.0,Z. LaVine makes free throw 2 of 2,1,34-56,,
4:47.0,,,34-59,3,A. Aminu makes 3-pt shot from 25 ft
4:37.0,,,34-59,,Def 3 sec tech foul by J. Nurkic
4:37.0,Z. LaVine makes technical free throw,1,35-59,,
4:29.0,B. Portis misses 3-pt shot from 25 ft,,35-59,,
4:26.0,Offensive rebound by Team,,35-59,,
4:26.0,,,35-59,,E. Turner enters the game for P. Connaughton
4:09.0,B. Portis makes 2-pt shot at rim (assist by J. Holiday),2,37-59,,
3:56.0,,,37-59,,Turnover by J. Nurkic (bad pass; steal by B. Portis)
3:52.0,J. Holiday misses 3-pt shot from 22 ft,,37-59,,
3:50.0,Offensive rebound by B. Portis,,37-59,,
3:50.0,B. Portis makes 2-pt shot at rim,2,39-59,,
3:50.0,,,39-59,,Portland full timeout
3:50.0,,,39-59,,S. Napier enters the game for D. Lillard
3:31.0,,,39-59,,S. Napier misses 2-pt shot from 5 ft
3:28.0,Defensive rebound by B. Portis,,39-59,,
3:20.0,R. Lopez misses 2-pt shot from 3 ft,,39-59,,
3:18.0,,,39-59,,Defensive rebound by J. Nurkic
3:08.0,,,39-61,2,J. Nurkic makes 2-pt shot from 15 ft (assist by A. Aminu)
2:42.0,J. Grant misses 2-pt shot from 17 ft,,39-61,,
2:39.0,Offensive rebound by B. Portis,,39-61,,
2:34.0,J. Grant misses 3-pt shot from 25 ft,,39-61,,
2:33.0,,,39-61,,Defensive rebound by J. Nurkic
2:15.0,,,39-63,2,J. Nurkic makes 2-pt shot from 10 ft
2:00.0,B. Portis misses 3-pt shot from 24 ft,,39-63,,
1:59.0,,,39-63,,Defensive rebound by E. Turner
1:53.0,,,39-63,,S. Napier misses 3-pt shot from 23 ft
1:50.0,Defensive rebound by J. Grant,,39-63,,
1:37.0,Z. LaVine makes 2-pt shot from 17 ft,2,41-63,,
1:16.0,,,41-63,,C. McCollum misses 2-pt shot from 21 ft
1:14.0,Defensive rebound by J. Holiday,,41-63,,
1:00.0,R. Lopez misses 2-pt shot from 5 ft,,41-63,,
0:57.0,,,41-63,,Defensive rebound by A. Aminu
0:42.0,,,41-63,,J. Nurkic misses 2-pt shot from 15 ft
0:38.0,Defensive rebound by J. Grant,,41-63,,
0:33.0,Z. LaVine makes 3-pt shot from 24 ft,3,44-63,,
0:18.0,,,44-65,2,C. McCollum makes 2-pt shot from 18 ft
0:05.0,,,44-65,,Personal take foul by S. Napier (drawn by Z. LaVine)
0:02.0,Turnover by J. Grant (bad pass; steal by S. Napier),,44-65,,
0:00.0,,,44-67,2,C. McCollum makes 2-pt shot from 1 ft (assist by S. Napier)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,44-69,2,J. Nurkic makes 2-pt shot from 1 ft (assist by C. McCollum)
11:41.0,,,44-69,,Shooting foul by B. Portis (drawn by J. Nurkic)
11:41.0,,,44-70,1,J. Nurkic makes free throw 1 of 1
11:19.0,J. Grant makes 2-pt shot from 9 ft,2,46-70,,
11:00.0,,,46-70,,D. Lillard misses 3-pt shot from 23 ft
10:58.0,Defensive rebound by B. Portis,,46-70,,
10:49.0,B. Portis misses 2-pt shot from 3 ft (block by A. Aminu),,46-70,,
10:46.0,,,46-70,,Defensive rebound by J. Nurkic
10:45.0,,,46-70,,Turnover by E. Turner (bad pass)
10:37.0,Z. LaVine makes 3-pt shot from 25 ft (assist by R. Lopez),3,49-70,,
10:19.0,,,49-72,2,C. McCollum makes 2-pt shot from 14 ft
10:09.0,J. Holiday makes 3-pt shot from 23 ft (assist by Z. LaVine),3,52-72,,
9:50.0,,,52-72,,A. Aminu misses 2-pt shot from 5 ft
9:49.0,,,52-72,,Offensive rebound by J. Nurkic
9:49.0,,,52-72,,J. Nurkic misses 2-pt shot from 2 ft (block by B. Portis)
9:49.0,,,52-72,,Offensive rebound by Team
9:43.0,,,52-72,,A. Aminu misses 2-pt shot from 20 ft
9:40.0,Defensive rebound by B. Portis,,52-72,,
9:33.0,B. Portis misses 3-pt shot from 24 ft,,52-72,,
9:30.0,,,52-72,,Defensive rebound by J. Nurkic
9:22.0,,,52-72,,Shooting foul by Z. LaVine (drawn by E. Turner)
9:22.0,,,52-73,1,E. Turner makes free throw 1 of 2
9:22.0,,,52-74,1,E. Turner makes free throw 2 of 2
9:07.0,Shooting foul by C. McCollum (drawn by Z. LaVine),,52-74,,
9:07.0,Z. LaVine misses free throw 1 of 2,,52-74,,
9:07.0,Offensive rebound by Team,,52-74,,
9:07.0,Z. LaVine makes free throw 2 of 2,1,53-74,,
8:51.0,,,53-77,3,A. Aminu makes 3-pt shot from 25 ft (assist by D. Lillard)
8:32.0,Turnover by Z. LaVine (palming),,53-77,,
8:19.0,,,53-79,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard)
7:55.0,R. Lopez misses 2-pt shot from 4 ft,,53-79,,
7:53.0,,,53-79,,Defensive rebound by C. McCollum
7:47.0,,,53-79,,Turnover by C. McCollum (bad pass; steal by Z. LaVine)
7:43.0,J. Holiday misses 3-pt shot from 24 ft,,53-79,,
7:41.0,,,53-79,,Defensive rebound by J. Nurkic
7:25.0,,,53-81,2,D. Lillard makes 2-pt shot at rim (assist by J. Nurkic)
7:25.0,Chicago full timeout,,53-81,,
7:13.0,Z. LaVine makes 2-pt shot from 16 ft,2,55-81,,
6:56.0,,,55-81,,Turnover by D. Lillard (lost ball; steal by J. Grant)
6:54.0,Z. LaVine makes 2-pt shot from 1 ft (assist by J. Grant),2,57-81,,
6:33.0,,,57-81,,A. Aminu misses 2-pt shot from 1 ft
6:32.0,,,57-81,,Offensive rebound by J. Nurkic
6:32.0,,,57-81,,Shooting foul by R. Lopez (drawn by J. Nurkic)
6:32.0,,,57-81,,J. Nurkic misses free throw 1 of 2
6:32.0,,,57-81,,Offensive rebound by Team
6:32.0,,,57-82,1,J. Nurkic makes free throw 2 of 2
6:18.0,Z. LaVine makes 3-pt shot from 25 ft,3,60-82,,
6:00.0,,,60-84,2,C. McCollum makes 2-pt shot from 2 ft (assist by D. Lillard)
5:51.0,,,60-84,,Personal foul by D. Lillard (drawn by J. Grant)
5:51.0,D. Valentine enters the game for Z. LaVine,,60-84,,
5:45.0,R. Lopez makes 2-pt shot from 5 ft (assist by J. Grant),2,62-84,,
5:33.0,,,62-84,,J. Nurkic misses 2-pt shot from 22 ft
5:30.0,Defensive rebound by B. Portis,,62-84,,
5:25.0,D. Valentine misses 3-pt shot from 24 ft,,62-84,,
5:21.0,,,62-84,,Defensive rebound by A. Aminu
5:17.0,,,62-84,,Shooting foul by J. Holiday (drawn by C. McCollum)
5:17.0,,,62-85,1,C. McCollum makes free throw 1 of 2
5:17.0,,,62-86,1,C. McCollum makes free throw 2 of 2
5:06.0,J. Grant makes 2-pt shot from 16 ft,2,64-86,,
4:55.0,,,64-86,,C. McCollum misses 3-pt shot from 24 ft
4:53.0,Defensive rebound by D. Valentine,,64-86,,
4:48.0,D. Valentine makes 2-pt shot from 13 ft,2,66-86,,
4:23.0,,,66-86,,Turnover by E. Turner (lost ball; steal by J. Grant)
4:19.0,Turnover by J. Holiday (bad pass; steal by C. McCollum),,66-86,,
4:13.0,,,66-86,,C. McCollum misses 3-pt shot from 25 ft
4:10.0,Defensive rebound by R. Lopez,,66-86,,
4:00.0,D. Valentine misses 3-pt shot from 23 ft,,66-86,,
3:53.0,,,66-86,,Defensive rebound by D. Lillard
3:37.0,,,66-86,,J. Nurkic misses 2-pt shot from 1 ft
3:35.0,,,66-86,,Offensive rebound by D. Lillard
3:31.0,,,66-88,2,D. Lillard makes 2-pt shot from 14 ft
3:25.0,Shooting foul by D. Lillard (drawn by J. Grant),,66-88,,
3:25.0,J. Grant makes free throw 1 of 2,1,67-88,,
3:25.0,,,67-88,,E. Davis enters the game for E. Turner
3:25.0,,,67-88,,Z. Collins enters the game for A. Aminu
3:25.0,,,67-88,,S. Napier enters the game for J. Nurkic
3:25.0,P. Zipser enters the game for B. Portis,,67-88,,
3:25.0,J. Grant makes free throw 2 of 2,1,68-88,,
3:05.0,Personal foul by J. Holiday (drawn by C. McCollum),,68-88,,
3:05.0,,,68-89,1,C. McCollum makes free throw 1 of 2
3:05.0,,,68-90,1,C. McCollum makes free throw 2 of 2
2:54.0,J. Holiday misses 3-pt shot from 24 ft,,68-90,,
2:52.0,,,68-90,,Defensive rebound by E. Davis
2:40.0,,,68-93,3,C. McCollum makes 3-pt shot from 29 ft (assist by Z. Collins)
2:25.0,J. Holiday misses 2-pt shot from 12 ft,,68-93,,
2:22.0,Offensive rebound by J. Grant,,68-93,,
2:16.0,P. Zipser makes 3-pt shot from 24 ft (assist by J. Grant),3,71-93,,
1:55.0,,,71-95,2,C. McCollum makes 2-pt shot from 16 ft
1:42.0,J. Holiday misses 2-pt shot from 1 ft (block by Z. Collins),,71-95,,
1:40.0,,,71-95,,Defensive rebound by Z. Collins
1:35.0,,,71-98,3,C. McCollum makes 3-pt shot from 22 ft
1:21.0,R. Lopez misses 2-pt shot from 1 ft,,71-98,,
1:19.0,,,71-98,,Defensive rebound by Z. Collins
1:13.0,,,71-98,,Turnover by C. McCollum (lost ball; steal by D. Valentine)
1:10.0,D. Valentine makes 2-pt shot at rim,2,73-98,,
0:50.0,,,73-98,,C. McCollum misses 2-pt shot from 11 ft
0:50.0,,,73-98,,Offensive rebound by E. Davis
0:50.0,,,73-100,2,E. Davis makes 2-pt shot from 1 ft
0:50.0,,,73-100,,Personal foul by E. Davis (drawn by J. Grant)
0:50.0,,,73-100,,Portland full timeout
0:50.0,C. Felicio enters the game for J. Holiday,,73-100,,
0:50.0,D. Nwaba enters the game for R. Lopez,,73-100,,
0:27.0,D. Valentine misses 2-pt shot from 12 ft,,73-100,,
0:24.0,,,73-100,,Defensive rebound by D. Lillard
0:12.0,Personal foul by D. Nwaba (drawn by C. McCollum),,73-100,,
0:12.0,,,73-101,1,C. McCollum makes free throw 1 of 2
0:12.0,,,73-102,1,C. McCollum makes free throw 2 of 2
0:03.0,J. Grant makes 2-pt shot from 1 ft,2,75-102,,
0:00.0,,,75-102,,D. Lillard misses 3-pt shot from 34 ft (block by C. Felicio)
0:00.0,,,75-102,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Shooting foul by P. Connaughton (drawn by D. Nwaba),,75-102,,
11:49.0,D. Nwaba misses free throw 1 of 2,,75-102,,
11:49.0,Offensive rebound by Team,,75-102,,
11:49.0,D. Nwaba misses free throw 2 of 2,,75-102,,
11:45.0,Offensive rebound by P. Zipser,,75-102,,
11:39.0,C. Felicio makes 2-pt shot at rim (assist by D. Valentine),2,77-102,,
11:25.0,,,77-102,,Turnover by S. Napier (step out of bounds)
11:10.0,D. Nwaba misses 2-pt shot from 1 ft,,77-102,,
11:08.0,,,77-102,,Defensive rebound by P. Connaughton
11:08.0,Personal foul by C. Felicio (drawn by P. Connaughton),,77-102,,
10:46.0,,,77-102,,Z. Collins misses 2-pt shot from 15 ft
10:44.0,Defensive rebound by C. Felicio,,77-102,,
10:36.0,D. Valentine makes 3-pt shot from 25 ft (assist by C. Felicio),3,80-102,,
10:20.0,,,80-102,,Shooting foul by P. Zipser (drawn by P. Connaughton)
10:20.0,,,80-103,1,P. Connaughton makes free throw 1 of 2
10:20.0,,,80-104,1,P. Connaughton makes free throw 2 of 2
9:58.0,C. Felicio makes 2-pt shot from 15 ft (assist by P. Zipser),2,82-104,,
9:35.0,,,82-104,,Turnover by S. Napier (bad pass; steal by R. Arcidiacono)
9:27.0,D. Nwaba misses 2-pt shot from 1 ft,,82-104,,
9:24.0,,,82-104,,Defensive rebound by E. Davis
9:14.0,,,82-104,,Turnover by E. Davis (out of bounds lost ball)
9:05.0,D. Valentine misses 2-pt shot from 13 ft,,82-104,,
9:01.0,Offensive rebound by D. Nwaba,,82-104,,
9:00.0,D. Nwaba makes 2-pt shot from 1 ft,2,84-104,,
9:00.0,,,84-104,,Portland full timeout
8:42.0,,,84-107,3,Z. Collins makes 3-pt shot from 24 ft (assist by M. Harkless)
8:30.0,,,84-107,,Personal foul by M. Harkless (drawn by D. Valentine)
8:26.0,P. Zipser makes 3-pt shot from 27 ft (assist by D. Valentine),3,87-107,,
7:57.0,,,87-109,2,M. Harkless makes 2-pt shot from 1 ft (assist by E. Davis)
7:45.0,D. Valentine makes 2-pt shot from 16 ft,2,89-109,,
7:27.0,,,89-109,,P. Connaughton misses 3-pt shot from 22 ft
7:24.0,Defensive rebound by D. Nwaba,,89-109,,
7:21.0,Turnover by D. Valentine (out of bounds lost ball),,89-109,,
7:21.0,,,89-109,,N. Vonleh enters the game for E. Davis
7:09.0,,,89-109,,Shooting foul by R. Arcidiacono (drawn by S. Napier)
7:09.0,,,89-109,,S. Napier misses free throw 1 of 3
7:09.0,,,89-109,,Offensive rebound by Team
7:09.0,,,89-109,,S. Napier misses free throw 2 of 3
7:09.0,,,89-109,,Offensive rebound by Team
7:09.0,,,89-110,1,S. Napier makes free throw 3 of 3
6:57.0,D. Valentine misses 2-pt shot from 9 ft,,89-110,,
6:54.0,,,89-110,,Defensive rebound by N. Vonleh
6:41.0,,,89-110,,Z. Collins misses 2-pt shot from 1 ft
6:39.0,Defensive rebound by D. Valentine,,89-110,,
6:26.0,Shooting foul by Z. Collins (drawn by C. Felicio),,89-110,,
6:26.0,C. Felicio makes free throw 1 of 2,1,90-110,,
6:26.0,Q. Pondexter enters the game for D. Nwaba,,90-110,,
6:26.0,A. Blakeney enters the game for D. Valentine,,90-110,,
6:26.0,C. Felicio misses free throw 2 of 2,,90-110,,
6:24.0,,,90-110,,Defensive rebound by M. Harkless
6:06.0,,,90-113,3,S. Napier makes 3-pt shot from 22 ft (assist by P. Connaughton)
5:51.0,C. Felicio misses 2-pt shot from 4 ft,,90-113,,
5:49.0,,,90-113,,Defensive rebound by S. Napier
5:44.0,,,90-115,2,S. Napier makes 2-pt shot from 17 ft
5:43.0,Chicago full timeout,,90-115,,
5:43.0,,,90-115,,J. Layman enters the game for S. Napier
5:27.0,A. Blakeney misses 2-pt shot from 16 ft,,90-115,,
5:24.0,,,90-115,,Defensive rebound by M. Harkless
5:05.0,,,90-115,,Z. Collins misses 2-pt shot from 1 ft
5:03.0,Defensive rebound by C. Felicio,,90-115,,
4:55.0,P. Zipser misses 3-pt shot from 26 ft,,90-115,,
4:52.0,,,90-115,,Defensive rebound by P. Connaughton
4:42.0,,,90-115,,N. Vonleh misses 2-pt shot from 19 ft
4:42.0,Defensive rebound by Team,,90-115,,
4:21.0,C. Felicio misses 2-pt shot at rim,,90-115,,
4:18.0,,,90-115,,Defensive rebound by N. Vonleh
4:01.0,,,90-115,,P. Connaughton misses 2-pt shot from 1 ft
4:00.0,Defensive rebound by Q. Pondexter,,90-115,,
3:54.0,C. Felicio makes 2-pt shot from 2 ft (assist by Q. Pondexter),2,92-115,,
3:39.0,,,92-118,3,N. Vonleh makes 3-pt shot from 25 ft (assist by J. Layman)
3:15.0,P. Zipser makes 3-pt shot from 23 ft (assist by Q. Pondexter),3,95-118,,
2:54.0,,,95-121,3,N. Vonleh makes 3-pt shot from 24 ft
2:41.0,A. Blakeney misses 2-pt shot from 14 ft,,95-121,,
2:37.0,,,95-121,,Defensive rebound by Z. Collins
2:33.0,,,95-121,,Turnover by M. Harkless (out of bounds lost ball)
