time,Phoenix,pts.away,score,pts.home,Portland
5:36.0,,,22-18,,Z. Collins enters the game for A. Aminu
5:36.0,,,22-18,,S. Napier enters the game for J. Nurkic
5:18.0,,,22-20,2,D. Lillard makes 2-pt shot from 17 ft
4:53.0,Turnover by J. Jackson (lost ball; steal by S. Napier),,22-20,,
4:42.0,,,22-20,,C. McCollum misses 3-pt shot from 26 ft
4:37.0,Defensive rebound by D. Bender,,22-20,,
4:17.0,T. Ulis makes 3-pt shot from 25 ft (assist by D. Bender),3,25-20,,
4:00.0,,,25-23,3,D. Lillard makes 3-pt shot from 26 ft
3:45.0,Shooting foul by S. Napier (drawn by D. Booker),,25-23,,
3:45.0,D. Booker makes free throw 1 of 2,1,26-23,,
3:45.0,T. Daniels enters the game for T. Chandler,,26-23,,
3:45.0,A. Len enters the game for J. Jackson,,26-23,,
3:45.0,D. Booker makes free throw 2 of 2,1,27-23,,
3:31.0,,,27-23,,Shooting foul by T. Daniels (drawn by C. McCollum)
3:31.0,,,27-24,1,C. McCollum makes free throw 1 of 3
3:31.0,,,27-25,1,C. McCollum makes free throw 2 of 3
3:31.0,,,27-26,1,C. McCollum makes free throw 3 of 3
3:10.0,T. Daniels misses 3-pt shot from 27 ft,,27-26,,
3:07.0,,,27-26,,Defensive rebound by E. Davis
3:00.0,,,27-28,2,S. Napier makes 2-pt shot from 18 ft
2:41.0,D. Booker misses 2-pt shot from 13 ft,,27-28,,
2:37.0,,,27-28,,Defensive rebound by S. Napier
2:33.0,,,27-28,,S. Napier misses 2-pt shot from 1 ft
2:31.0,Defensive rebound by A. Len,,27-28,,
2:28.0,D. Booker makes 2-pt shot from 1 ft (assist by T. Ulis),2,29-28,,
2:18.0,,,29-28,,C. McCollum misses 2-pt shot from 13 ft
2:16.0,Defensive rebound by D. Bender,,29-28,,
2:10.0,T. Ulis makes 2-pt shot from 11 ft,2,31-28,,
1:47.0,,,31-31,3,S. Napier makes 3-pt shot from 26 ft (assist by E. Davis)
1:25.0,Turnover by T. Ulis (bad pass; steal by Z. Collins),,31-31,,
1:12.0,,,31-34,3,C. McCollum makes 3-pt shot from 27 ft (assist by Z. Collins)
0:51.0,D. Booker misses 3-pt shot from 26 ft,,31-34,,
0:48.0,,,31-34,,Defensive rebound by D. Lillard
0:36.0,,,31-34,,D. Lillard misses 2-pt shot from 1 ft
0:33.0,Defensive rebound by D. Bender,,31-34,,
0:12.0,T. Ulis misses 3-pt shot from 23 ft (block by C. McCollum),,31-34,,
0:07.0,,,31-34,,Defensive rebound by E. Davis
0:01.0,,,31-36,2,D. Lillard makes 2-pt shot from 10 ft
0:00.0,T. Ulis misses 3-pt shot from 61 ft,,31-36,,
0:00.0,Offensive rebound by Team,,31-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,J. Jackson misses 3-pt shot from 25 ft,,31-36,,
11:44.0,,,31-36,,Defensive rebound by S. Napier
11:28.0,,,31-36,,S. Napier misses 2-pt shot from 19 ft
11:26.0,Defensive rebound by A. Len,,31-36,,
11:21.0,I. Canaan misses 3-pt shot from 25 ft,,31-36,,
11:18.0,,,31-36,,Defensive rebound by P. Connaughton
11:01.0,,,31-38,2,E. Turner makes 2-pt shot from 1 ft
10:51.0,J. Jackson makes 2-pt shot from 13 ft,2,33-38,,
10:23.0,,,33-38,,P. Connaughton misses 3-pt shot from 26 ft
10:20.0,Defensive rebound by J. Dudley,,33-38,,
10:09.0,J. Jackson misses 2-pt shot from 10 ft,,33-38,,
10:06.0,,,33-38,,Defensive rebound by E. Davis
9:58.0,,,33-40,2,S. Napier makes 2-pt shot from 18 ft
9:41.0,T. Daniels makes 3-pt shot from 27 ft (assist by J. Jackson),3,36-40,,
9:21.0,,,36-40,,Z. Collins misses 2-pt shot from 10 ft
9:19.0,Defensive rebound by J. Dudley,,36-40,,
9:15.0,J. Jackson misses 2-pt shot from 2 ft,,36-40,,
9:12.0,,,36-40,,Defensive rebound by E. Davis
9:00.0,,,36-40,,Z. Collins misses 3-pt shot from 26 ft
8:57.0,Defensive rebound by A. Len,,36-40,,
8:52.0,,,36-40,,Personal foul by S. Napier (drawn by A. Len)
8:45.0,J. Jackson misses 3-pt shot from 25 ft,,36-40,,
8:42.0,,,36-40,,Defensive rebound by E. Davis
8:37.0,Personal foul by I. Canaan (drawn by S. Napier),,36-40,,
8:28.0,,,36-42,2,S. Napier makes 2-pt shot from 1 ft
8:10.0,T. Daniels misses 2-pt shot from 17 ft,,36-42,,
8:08.0,,,36-42,,Defensive rebound by Z. Collins
7:59.0,,,36-45,3,P. Connaughton makes 3-pt shot from 27 ft (assist by S. Napier)
7:58.0,Phoenix full timeout,,36-45,,
7:58.0,D. Booker enters the game for J. Jackson,,36-45,,
7:46.0,I. Canaan misses 3-pt shot from 23 ft,,36-45,,
7:41.0,Offensive rebound by J. Dudley,,36-45,,
7:39.0,T. Daniels misses 3-pt shot from 26 ft,,36-45,,
7:37.0,,,36-45,,Defensive rebound by E. Davis
7:18.0,,,36-45,,Turnover by Z. Collins (lost ball; steal by I. Canaan)
7:04.0,Offensive charge foul by J. Dudley (drawn by S. Napier),,36-45,,
7:04.0,Turnover by J. Dudley (offensive foul),,36-45,,
6:49.0,,,36-45,,E. Turner misses 2-pt shot from 7 ft
6:45.0,Defensive rebound by A. Len,,36-45,,
6:40.0,D. Booker misses 2-pt shot at rim,,36-45,,
6:37.0,Offensive rebound by A. Len,,36-45,,
6:37.0,A. Len misses 2-pt shot at rim,,36-45,,
6:35.0,,,36-45,,Defensive rebound by E. Davis
6:28.0,,,36-47,2,E. Turner makes 2-pt shot from 13 ft
6:14.0,A. Len makes 2-pt shot at rim (assist by D. Booker),2,38-47,,
6:00.0,,,38-49,2,S. Napier makes 2-pt shot from 16 ft
5:53.0,I. Canaan makes 2-pt shot from 1 ft,2,40-49,,
5:53.0,Shooting foul by E. Davis (drawn by I. Canaan),,40-49,,
5:53.0,,,40-49,,A. Aminu enters the game for E. Davis
5:53.0,,,40-49,,M. Leonard enters the game for Z. Collins
5:53.0,I. Canaan makes free throw 1 of 1,1,41-49,,
5:32.0,,,41-52,3,A. Aminu makes 3-pt shot from 26 ft (assist by S. Napier)
5:22.0,,,41-52,,Violation by S. Napier (kicked ball)
5:22.0,,,41-52,,D. Lillard enters the game for E. Turner
5:22.0,,,41-52,,C. McCollum enters the game for S. Napier
5:17.0,J. Dudley misses 3-pt shot from 25 ft,,41-52,,
5:13.0,,,41-52,,Defensive rebound by D. Lillard
5:01.0,,,41-52,,P. Connaughton misses 3-pt shot from 23 ft
5:00.0,,,41-52,,Offensive rebound by Team
5:00.0,D. Bender enters the game for I. Canaan,,41-52,,
5:00.0,T. Ulis enters the game for J. Dudley,,41-52,,
4:52.0,,,41-52,,C. McCollum misses 2-pt shot from 16 ft
4:48.0,Defensive rebound by D. Bender,,41-52,,
4:45.0,Shooting foul by P. Connaughton (drawn by D. Booker),,41-52,,
4:45.0,D. Booker makes free throw 1 of 2,1,42-52,,
4:45.0,D. Booker makes free throw 2 of 2,1,43-52,,
4:32.0,,,43-54,2,D. Lillard makes 2-pt shot from 16 ft (assist by A. Aminu)
4:15.0,T. Daniels misses 2-pt shot from 11 ft,,43-54,,
4:11.0,Offensive rebound by A. Len,,43-54,,
4:10.0,D. Booker makes 3-pt shot from 27 ft (assist by A. Len),3,46-54,,
3:46.0,,,46-54,,M. Leonard misses 3-pt shot from 22 ft
3:44.0,Defensive rebound by T. Ulis,,46-54,,
3:39.0,Shooting foul by C. McCollum (drawn by D. Booker),,46-54,,
3:39.0,D. Booker makes free throw 1 of 2,1,47-54,,
3:39.0,T. Chandler enters the game for A. Len,,47-54,,
3:39.0,J. Jackson enters the game for T. Daniels,,47-54,,
3:39.0,D. Booker makes free throw 2 of 2,1,48-54,,
3:25.0,,,48-54,,A. Aminu misses 3-pt shot from 26 ft
3:21.0,Defensive rebound by Team,,48-54,,
3:06.0,D. Bender misses 3-pt shot from 25 ft,,48-54,,
3:04.0,,,48-54,,Defensive rebound by P. Connaughton
2:57.0,,,48-54,,D. Lillard misses 3-pt shot from 27 ft
2:57.0,,,48-54,,Offensive rebound by A. Aminu
2:50.0,,,48-54,,Turnover by C. McCollum (step out of bounds)
2:50.0,,,48-54,,Portland full timeout
2:50.0,,,48-54,,S. Napier enters the game for P. Connaughton
2:41.0,Turnover by D. Bender (bad pass),,48-54,,
2:41.0,Loose ball foul by T. Ulis (drawn by S. Napier),,48-54,,
2:28.0,,,48-57,3,D. Lillard makes 3-pt shot from 25 ft (assist by S. Napier)
2:13.0,D. Booker misses 2-pt shot from 11 ft,,48-57,,
2:10.0,Offensive rebound by T. Chandler,,48-57,,
2:07.0,Offensive foul by T. Chandler (drawn by S. Napier),,48-57,,
2:07.0,Turnover by T. Chandler (offensive foul),,48-57,,
1:57.0,,,48-57,,C. McCollum misses 3-pt shot from 25 ft
1:56.0,Defensive rebound by Team,,48-57,,
1:56.0,,,48-57,,Loose ball foul by M. Leonard (drawn by T. Chandler)
1:56.0,T. Chandler makes free throw 1 of 2,1,49-57,,
1:56.0,T. Chandler misses free throw 2 of 2,,49-57,,
1:53.0,,,49-57,,Defensive rebound by A. Aminu
1:39.0,,,49-60,3,C. McCollum makes 3-pt shot from 23 ft (assist by M. Leonard)
1:23.0,T. Ulis makes 2-pt shot from 14 ft (assist by D. Booker),2,51-60,,
1:05.0,,,51-60,,M. Leonard misses 3-pt shot from 26 ft
1:02.0,Defensive rebound by D. Booker,,51-60,,
0:59.0,Turnover by D. Booker (lost ball; steal by C. McCollum),,51-60,,
0:58.0,Personal foul by J. Jackson (drawn by D. Lillard),,51-60,,
0:43.0,,,51-60,,Shooting foul by J. Jackson (drawn by D. Lillard)
0:43.0,,,51-61,1,D. Lillard makes free throw 1 of 3
0:43.0,,,51-62,1,D. Lillard makes free throw 2 of 3
0:43.0,,,51-63,1,D. Lillard makes free throw 3 of 3
0:32.0,D. Booker misses 3-pt shot from 25 ft,,51-63,,
0:30.0,,,51-63,,Defensive rebound by S. Napier
0:12.0,,,51-66,3,C. McCollum makes 3-pt shot from 26 ft (assist by D. Lillard)
0:05.0,Turnover by D. Booker (bad pass),,51-66,,
0:00.0,,,51-66,,C. McCollum misses 2-pt shot from 9 ft
0:00.0,,,51-66,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,D. Booker misses 2-pt shot from 17 ft,,51-66,,
11:46.0,Offensive rebound by T. Chandler,,51-66,,
11:45.0,T. Ulis misses 2-pt shot from 16 ft,,51-66,,
11:45.0,Offensive rebound by T. Chandler,,51-66,,
11:38.0,T. Chandler misses 2-pt shot from 1 ft,,51-66,,
11:34.0,,,51-66,,Defensive rebound by E. Turner
11:31.0,Personal foul by J. Jackson (drawn by D. Lillard),,51-66,,
11:21.0,,,51-66,,A. Aminu misses 2-pt shot from 11 ft
11:18.0,Defensive rebound by J. Jackson,,51-66,,
11:16.0,,,51-66,,Violation by C. McCollum (kicked ball)
11:15.0,,,51-66,,Personal foul by C. McCollum (drawn by D. Booker)
11:09.0,J. Jackson misses 2-pt shot from 5 ft,,51-66,,
11:02.0,,,51-66,,Defensive rebound by J. Nurkic
10:59.0,,,51-69,3,D. Lillard makes 3-pt shot from 25 ft
10:39.0,Turnover by D. Booker (lost ball; steal by J. Nurkic),,51-69,,
10:33.0,,,51-72,3,A. Aminu makes 3-pt shot from 25 ft (assist by D. Lillard)
10:15.0,D. Booker misses 2-pt shot from 14 ft (block by A. Aminu),,51-72,,
10:13.0,,,51-72,,Defensive rebound by C. McCollum
10:08.0,,,51-72,,C. McCollum misses 2-pt shot from 14 ft
10:06.0,Defensive rebound by D. Booker,,51-72,,
9:54.0,J. Jackson misses 3-pt shot from 23 ft,,51-72,,
9:52.0,,,51-72,,Defensive rebound by A. Aminu
9:46.0,,,51-72,,A. Aminu misses 3-pt shot from 25 ft
9:43.0,,,51-72,,Offensive rebound by J. Nurkic
9:43.0,,,51-74,2,J. Nurkic makes 2-pt shot from 1 ft
9:43.0,Phoenix full timeout,,51-74,,
9:24.0,J. Jackson misses 3-pt shot from 25 ft,,51-74,,
9:20.0,Offensive rebound by T. Ulis,,51-74,,
9:18.0,D. Bender makes 3-pt shot from 23 ft (assist by T. Ulis),3,54-74,,
8:55.0,,,54-74,,J. Nurkic misses 2-pt shot from 10 ft
8:53.0,,,54-74,,Offensive rebound by A. Aminu
8:52.0,,,54-74,,A. Aminu misses 2-pt shot from 7 ft
8:52.0,,,54-74,,Offensive rebound by J. Nurkic
8:47.0,,,54-76,2,J. Nurkic makes 2-pt shot at rim
8:39.0,D. Booker misses 3-pt shot from 26 ft,,54-76,,
8:39.0,,,54-76,,Defensive rebound by D. Lillard
8:30.0,,,54-76,,D. Lillard misses 3-pt shot from 27 ft
8:28.0,Defensive rebound by T. Chandler,,54-76,,
8:16.0,D. Bender misses 2-pt shot from 1 ft (block by J. Nurkic),,54-76,,
8:16.0,Offensive rebound by Team,,54-76,,
8:16.0,T. Daniels enters the game for J. Jackson,,54-76,,
8:10.0,Turnover by D. Bender (traveling),,54-76,,
7:57.0,,,54-76,,E. Turner misses 2-pt shot from 9 ft
7:54.0,Defensive rebound by T. Chandler,,54-76,,
7:49.0,Shooting foul by E. Turner (drawn by T. Chandler),,54-76,,
7:49.0,T. Chandler makes free throw 1 of 2,1,55-76,,
7:49.0,T. Chandler makes free throw 2 of 2,1,56-76,,
7:34.0,,,56-76,,D. Lillard misses 2-pt shot from 14 ft
7:32.0,,,56-76,,Offensive rebound by J. Nurkic
7:28.0,,,56-76,,J. Nurkic misses 2-pt shot from 8 ft
7:24.0,,,56-76,,Offensive rebound by A. Aminu
7:22.0,,,56-76,,A. Aminu misses 2-pt shot at rim
7:18.0,Defensive rebound by D. Booker,,56-76,,
7:02.0,T. Ulis misses 2-pt shot from 17 ft,,56-76,,
6:58.0,,,56-76,,Defensive rebound by A. Aminu
6:54.0,,,56-76,,J. Nurkic misses 2-pt shot from 1 ft
6:52.0,Defensive rebound by D. Bender,,56-76,,
6:44.0,D. Booker misses 2-pt shot from 1 ft (block by J. Nurkic),,56-76,,
6:44.0,Offensive rebound by Team,,56-76,,
6:44.0,A. Len enters the game for T. Chandler,,56-76,,
6:40.0,D. Booker misses 2-pt shot from 15 ft,,56-76,,
6:39.0,,,56-76,,Defensive rebound by A. Aminu
6:32.0,,,56-76,,Shooting foul by T. Ulis (drawn by D. Lillard)
6:32.0,,,56-77,1,D. Lillard makes free throw 1 of 2
6:32.0,I. Canaan enters the game for T. Ulis,,56-77,,
6:32.0,,,56-78,1,D. Lillard makes free throw 2 of 2
6:22.0,Turnover by I. Canaan (bad pass; steal by C. McCollum),,56-78,,
6:18.0,,,56-80,2,C. McCollum makes 2-pt shot from 1 ft
6:04.0,Shooting foul by J. Nurkic (drawn by A. Len),,56-80,,
6:04.0,A. Len makes free throw 1 of 2,1,57-80,,
6:04.0,A. Len makes free throw 2 of 2,1,58-80,,
5:49.0,,,58-80,,D. Lillard misses 3-pt shot from 24 ft
5:47.0,Defensive rebound by A. Len,,58-80,,
5:41.0,Turnover by T. Daniels (bad pass; steal by C. McCollum),,58-80,,
5:37.0,,,58-83,3,C. McCollum makes 3-pt shot from 25 ft
5:35.0,Phoenix full timeout,,58-83,,
5:20.0,,,58-83,,Personal foul by J. Nurkic (drawn by I. Canaan)
5:15.0,Turnover by D. Booker (out of bounds lost ball),,58-83,,
5:02.0,,,58-85,2,J. Nurkic makes 2-pt shot from 2 ft (assist by D. Lillard)
4:44.0,T. Daniels makes 3-pt shot from 27 ft (assist by D. Booker),3,61-85,,
4:31.0,,,61-85,,A. Aminu misses 3-pt shot from 25 ft
4:28.0,Defensive rebound by I. Canaan,,61-85,,
4:24.0,D. Booker makes 2-pt shot from 1 ft (assist by I. Canaan),2,63-85,,
4:08.0,,,63-85,,Turnover by J. Nurkic (lost ball; steal by D. Booker)
4:02.0,D. Booker misses 3-pt shot from 26 ft,,63-85,,
4:00.0,,,63-85,,Defensive rebound by A. Aminu
3:50.0,,,63-87,2,E. Turner makes 2-pt shot from 6 ft (assist by J. Nurkic)
3:27.0,I. Canaan makes 2-pt shot from 12 ft,2,65-87,,
3:10.0,,,65-90,3,C. McCollum makes 3-pt shot from 28 ft
2:58.0,I. Canaan makes 2-pt shot from 5 ft,2,67-90,,
2:53.0,Personal take foul by D. Booker (drawn by C. McCollum),,67-90,,
2:53.0,,,67-90,,E. Davis enters the game for E. Turner
2:53.0,,,67-90,,P. Connaughton enters the game for A. Aminu
2:53.0,,,67-90,,Z. Collins enters the game for J. Nurkic
2:53.0,J. Jackson enters the game for D. Booker,,67-90,,
2:53.0,J. Dudley enters the game for D. Bender,,67-90,,
2:38.0,,,67-92,2,D. Lillard makes 2-pt shot from 1 ft
2:27.0,I. Canaan misses 3-pt shot from 26 ft,,67-92,,
2:25.0,,,67-92,,Defensive rebound by P. Connaughton
2:13.0,,,67-92,,Turnover by D. Lillard (bad pass; steal by T. Daniels)
2:04.0,J. Dudley makes 3-pt shot from 26 ft (assist by J. Jackson),3,70-92,,
1:34.0,,,70-92,,C. McCollum misses 2-pt shot from 15 ft
1:32.0,Defensive rebound by A. Len,,70-92,,
1:26.0,Shooting foul by E. Davis (drawn by A. Len),,70-92,,
1:26.0,,,70-92,,Portland full timeout
1:26.0,A. Len makes free throw 1 of 2,1,71-92,,
1:26.0,A. Len makes free throw 2 of 2,1,72-92,,
1:09.0,,,72-92,,Turnover by C. McCollum (traveling)
0:57.0,I. Canaan misses 2-pt shot from 15 ft,,72-92,,
0:55.0,,,72-92,,Defensive rebound by C. McCollum
0:40.0,Personal foul by J. Jackson (drawn by C. McCollum),,72-92,,
0:30.0,,,72-92,,D. Lillard misses 2-pt shot from 1 ft (block by J. Jackson)
0:27.0,Defensive rebound by T. Daniels,,72-92,,
0:07.0,I. Canaan misses 2-pt shot from 1 ft,,72-92,,
0:05.0,Offensive rebound by Team,,72-92,,
0:00.0,A. Len misses 2-pt shot from 1 ft (block by P. Connaughton),,72-92,,
0:00.0,Offensive rebound by J. Dudley,,72-92,,
0:00.0,J. Dudley misses 2-pt shot from 1 ft,,72-92,,
0:00.0,Offensive rebound by Team,,72-92,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,72-94,2,P. Connaughton makes 2-pt shot from 13 ft (assist by S. Napier)
11:22.0,I. Canaan makes 3-pt shot from 23 ft,3,75-94,,
11:04.0,,,75-96,2,P. Connaughton makes 2-pt shot from 21 ft
10:47.0,A. Len makes 2-pt shot at rim (assist by D. Booker),2,77-96,,
10:47.0,Shooting foul by E. Davis (drawn by A. Len),,77-96,,
10:47.0,,,77-96,,M. Harkless enters the game for E. Turner
10:47.0,A. Len makes free throw 1 of 1,1,78-96,,
10:39.0,Personal foul by I. Canaan (drawn by M. Harkless),,78-96,,
10:26.0,,,78-96,,E. Davis misses 2-pt shot from 6 ft
10:24.0,Defensive rebound by D. Booker,,78-96,,
10:14.0,J. Dudley misses 2-pt shot from 18 ft,,78-96,,
10:10.0,,,78-96,,Defensive rebound by P. Connaughton
10:02.0,,,78-99,3,Z. Collins makes 3-pt shot from 23 ft (assist by S. Napier)
9:46.0,T. Daniels makes 3-pt shot from 25 ft (assist by I. Canaan),3,81-99,,
9:27.0,Personal foul by T. Daniels (drawn by P. Connaughton),,81-99,,
9:20.0,,,81-99,,Turnover by S. Napier (out of bounds lost ball)
9:15.0,,,81-99,,Personal foul by M. Harkless (drawn by D. Booker)
9:08.0,T. Daniels misses 3-pt shot from 22 ft,,81-99,,
9:04.0,Offensive rebound by A. Len,,81-99,,
9:01.0,T. Daniels makes 3-pt shot from 23 ft (assist by D. Booker),3,84-99,,
9:00.0,,,84-99,,Portland full timeout
8:38.0,,,84-99,,P. Connaughton misses 3-pt shot from 23 ft
8:36.0,Defensive rebound by I. Canaan,,84-99,,
8:25.0,T. Daniels makes 3-pt shot from 25 ft (assist by D. Booker),3,87-99,,
8:01.0,,,87-101,2,P. Connaughton makes 2-pt shot from 15 ft (assist by S. Napier)
7:46.0,T. Daniels makes 3-pt shot from 26 ft (assist by D. Booker),3,90-101,,
7:19.0,,,90-101,,S. Napier misses 2-pt shot from 18 ft
7:14.0,,,90-101,,Offensive rebound by Z. Collins
7:14.0,,,90-103,2,Z. Collins makes 2-pt shot at rim
7:07.0,D. Booker makes 3-pt shot from 25 ft,3,93-103,,
6:39.0,,,93-103,,S. Napier misses 2-pt shot from 12 ft
6:39.0,,,93-103,,Offensive rebound by Team
6:39.0,,,93-103,,Turnover by Team (shot clock)
6:39.0,,,93-103,,J. Nurkic enters the game for S. Napier
6:39.0,,,93-103,,D. Lillard enters the game for E. Davis
6:39.0,,,93-103,,A. Aminu enters the game for Z. Collins
6:39.0,,,93-103,,C. McCollum enters the game for M. Harkless
6:39.0,D. Bender enters the game for J. Dudley,,93-103,,
6:31.0,T. Daniels misses 3-pt shot from 26 ft,,93-103,,
6:26.0,Offensive rebound by A. Len,,93-103,,
6:23.0,I. Canaan misses 3-pt shot from 23 ft,,93-103,,
6:20.0,,,93-103,,Defensive rebound by P. Connaughton
6:07.0,,,93-103,,J. Nurkic misses 2-pt shot from 1 ft
6:05.0,Defensive rebound by D. Bender,,93-103,,
5:55.0,A. Len misses 2-pt shot from 1 ft,,93-103,,
5:55.0,,,93-103,,Defensive rebound by C. McCollum
5:45.0,,,93-105,2,D. Lillard makes 2-pt shot from 1 ft
5:45.0,Phoenix full timeout,,93-105,,
5:45.0,T. Ulis enters the game for I. Canaan,,93-105,,
5:45.0,T. Chandler enters the game for A. Len,,93-105,,
5:34.0,D. Booker makes 3-pt shot from 26 ft (assist by T. Ulis),3,96-105,,
5:18.0,,,96-105,,Turnover by C. McCollum (bad pass; steal by D. Booker)
4:57.0,D. Booker misses 3-pt shot from 27 ft,,96-105,,
4:55.0,,,96-105,,Defensive rebound by D. Lillard
4:42.0,,,96-107,2,D. Lillard makes 2-pt shot from 1 ft
4:29.0,D. Booker makes 3-pt shot from 27 ft (assist by T. Ulis),3,99-107,,
4:12.0,,,99-109,2,C. McCollum makes 2-pt shot from 5 ft
3:55.0,T. Ulis misses 2-pt shot from 3 ft (block by C. McCollum),,99-109,,
3:55.0,Offensive rebound by Team,,99-109,,
3:55.0,,,99-109,,E. Turner enters the game for P. Connaughton
3:55.0,I. Canaan enters the game for T. Ulis,,99-109,,
3:46.0,D. Booker misses 3-pt shot from 25 ft,,99-109,,
3:43.0,,,99-109,,Defensive rebound by J. Nurkic
3:30.0,,,99-112,3,A. Aminu makes 3-pt shot from 23 ft (assist by D. Lillard)
3:13.0,T. Daniels misses 3-pt shot from 25 ft,,99-112,,
3:11.0,,,99-112,,Defensive rebound by D. Lillard
3:04.0,,,99-112,,Portland full timeout
2:50.0,,,99-112,,D. Lillard misses 3-pt shot from 27 ft (block by I. Canaan)
2:46.0,Defensive rebound by D. Booker,,99-112,,
2:40.0,D. Booker makes 2-pt shot from 11 ft,2,101-112,,
2:22.0,,,101-112,,C. McCollum misses 3-pt shot from 25 ft
2:19.0,Defensive rebound by D. Booker,,101-112,,
2:03.0,D. Booker makes 2-pt shot from 6 ft,2,103-112,,
1:42.0,,,103-112,,D. Lillard misses 2-pt shot from 1 ft
1:41.0,,,103-112,,Offensive rebound by J. Nurkic
1:41.0,,,103-114,2,J. Nurkic makes 2-pt shot at rim
1:30.0,D. Booker makes 2-pt shot from 21 ft,2,105-114,,
1:12.0,,,105-117,3,A. Aminu makes 3-pt shot from 23 ft (assist by C. McCollum)
1:09.0,Shooting foul by E. Turner (drawn by D. Booker),,105-117,,
1:09.0,D. Booker makes free throw 1 of 3,1,106-117,,
1:09.0,D. Booker makes free throw 2 of 3,1,107-117,,
1:09.0,D. Booker makes free throw 3 of 3,1,108-117,,
0:49.0,Personal foul by T. Daniels (drawn by D. Lillard),,108-117,,
0:48.0,Personal foul by T. Chandler (drawn by J. Nurkic),,108-117,,
0:48.0,,,108-117,,J. Nurkic misses free throw 1 of 2
0:48.0,,,108-117,,Offensive rebound by Team
0:48.0,,,108-118,1,J. Nurkic makes free throw 2 of 2
0:48.0,Phoenix full timeout,,108-118,,
0:42.0,D. Booker makes 3-pt shot from 28 ft,3,111-118,,
0:24.0,,,111-118,,E. Turner misses 2-pt shot from 8 ft (block by D. Booker)
