time,Miami,pts.away,score,pts.home,Orlando
3:48.0,J. Johnson makes 2-pt shot from 3 ft (assist by G. Dragic),2,24-19,,
3:41.0,,,24-19,,E. Payton misses 2-pt shot from 2 ft
3:39.0,Defensive rebound by H. Whiteside,,24-19,,
3:32.0,G. Dragic misses 2-pt shot from 15 ft (block by E. Payton),,24-19,,
3:32.0,Offensive rebound by J. Johnson,,24-19,,
3:25.0,G. Dragic makes 2-pt shot from 7 ft (assist by J. Johnson),2,26-19,,
3:10.0,,,26-19,,B. Biyombo enters the game for E. Payton
3:10.0,,,26-19,,J. Isaac enters the game for N. Vucevic
3:10.0,,,26-19,,D. Augustin enters the game for E. Fournier
3:10.0,J. Winslow enters the game for G. Dragic,,26-19,,
3:00.0,,,26-19,,D. Augustin misses 3-pt shot from 26 ft
2:57.0,,,26-19,,Offensive rebound by J. Isaac
2:55.0,,,26-21,2,J. Isaac makes 2-pt shot from 1 ft
2:47.0,Turnover by J. Johnson (traveling),,26-21,,
2:34.0,,,26-23,2,J. Simmons makes 2-pt shot from 1 ft
2:26.0,Miami full timeout,,26-23,,
2:26.0,K. Olynyk enters the game for H. Whiteside,,26-23,,
2:20.0,Shooting foul by B. Biyombo (drawn by J. Johnson),,26-23,,
2:20.0,J. Johnson makes free throw 1 of 2,1,27-23,,
2:20.0,J. Johnson misses free throw 2 of 2,,27-23,,
2:17.0,,,27-23,,Defensive rebound by D. Augustin
2:07.0,,,27-23,,A. Gordon misses 2-pt shot from 8 ft (block by J. Johnson)
2:02.0,Defensive rebound by J. Winslow,,27-23,,
1:55.0,J. Winslow makes 2-pt shot from 3 ft (assist by K. Olynyk),2,29-23,,
1:46.0,Shooting block foul by T. Johnson (drawn by D. Augustin),,29-23,,
1:46.0,,,29-23,,D. Augustin misses free throw 1 of 2
1:46.0,,,29-23,,Offensive rebound by Team
1:46.0,J. Richardson enters the game for D. Waiters,,29-23,,
1:46.0,,,29-24,1,D. Augustin makes free throw 2 of 2
1:37.0,T. Johnson makes 2-pt shot from 18 ft (assist by J. Winslow),2,31-24,,
1:23.0,,,31-26,2,B. Biyombo makes 2-pt shot from 3 ft (assist by A. Gordon)
1:14.0,Offensive foul by J. Johnson (drawn by J. Simmons),,31-26,,
1:14.0,Turnover by J. Johnson (offensive foul),,31-26,,
1:06.0,,,31-28,2,D. Augustin makes 2-pt shot from 2 ft
1:00.0,,,31-28,,Personal foul by J. Simmons (drawn by J. Winslow)
1:00.0,J. Winslow misses free throw 1 of 2,,31-28,,
1:00.0,Offensive rebound by Team,,31-28,,
1:00.0,J. Winslow makes free throw 2 of 2,1,32-28,,
0:45.0,,,32-28,,Shooting foul by T. Johnson (drawn by D. Augustin)
0:45.0,,,32-29,1,D. Augustin makes free throw 1 of 2
0:45.0,B. Adebayo enters the game for J. Johnson,,32-29,,
0:45.0,,,32-30,1,D. Augustin makes free throw 2 of 2
0:35.0,J. Winslow makes 2-pt shot from 3 ft,2,34-30,,
0:28.0,,,34-30,,Shooting foul by B. Adebayo (drawn by A. Gordon)
0:28.0,,,34-31,1,A. Gordon makes free throw 1 of 2
0:28.0,,,34-32,1,A. Gordon makes free throw 2 of 2
0:09.0,J. Richardson makes 3-pt shot from 26 ft (assist by J. Winslow),3,37-32,,
0:04.0,,,37-32,,A. Gordon misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by K. Olynyk,,37-32,,
0:00.0,J. Richardson misses 3-pt shot from 41 ft,,37-32,,
0:00.0,Offensive rebound by Team,,37-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,37-32,,T. Ross misses 2-pt shot from 6 ft
11:29.0,,,37-32,,Offensive rebound by D. Augustin
11:12.0,,,37-32,,Turnover by B. Biyombo (bad pass; steal by J. Winslow)
11:05.0,J. Richardson misses 3-pt shot from 22 ft,,37-32,,
11:01.0,,,37-32,,Defensive rebound by B. Biyombo
10:55.0,,,37-32,,Turnover by D. Augustin (bad pass; steal by W. Ellington)
10:44.0,B. Adebayo misses 2-pt shot from 4 ft (block by J. Isaac),,37-32,,
10:41.0,,,37-32,,Defensive rebound by J. Isaac
10:33.0,,,37-32,,J. Simmons misses 2-pt shot from 16 ft
10:30.0,Defensive rebound by K. Olynyk,,37-32,,
10:10.0,J. Winslow misses 2-pt shot from 17 ft,,37-32,,
10:06.0,,,37-32,,Defensive rebound by D. Augustin
10:04.0,,,37-32,,Offensive charge foul by D. Augustin (drawn by K. Olynyk)
10:04.0,,,37-32,,Turnover by D. Augustin (offensive foul)
9:51.0,W. Ellington misses 3-pt shot from 25 ft,,37-32,,
9:51.0,,,37-32,,Defensive rebound by J. Isaac
9:42.0,,,37-32,,Shooting foul by B. Adebayo (drawn by B. Biyombo)
9:42.0,,,37-33,1,B. Biyombo makes free throw 1 of 2
9:42.0,,,37-33,,B. Biyombo misses free throw 2 of 2
9:39.0,Defensive rebound by K. Olynyk,,37-33,,
9:20.0,,,37-33,,Personal foul by J. Isaac (drawn by W. Ellington)
9:06.0,K. Olynyk misses 2-pt shot from 20 ft,,37-33,,
9:02.0,,,37-33,,Defensive rebound by T. Ross
8:55.0,,,37-33,,J. Isaac misses 3-pt shot from 23 ft
8:54.0,,,37-33,,Offensive rebound by Team
8:52.0,,,37-35,2,J. Simmons makes 2-pt shot from 16 ft (assist by T. Ross)
8:32.0,J. Winslow makes 3-pt shot from 23 ft (assist by K. Olynyk),3,40-35,,
8:21.0,,,40-37,2,J. Simmons makes 2-pt shot from 12 ft
8:06.0,W. Ellington makes 2-pt shot from 18 ft (assist by K. Olynyk),2,42-37,,
8:06.0,Shooting foul by J. Isaac (drawn by W. Ellington),,42-37,,
8:06.0,W. Ellington makes free throw 1 of 1,1,43-37,,
7:57.0,,,43-40,3,T. Ross makes 3-pt shot from 26 ft
7:37.0,W. Ellington misses 3-pt shot from 26 ft,,43-40,,
7:33.0,,,43-40,,Defensive rebound by J. Isaac
7:24.0,,,43-40,,T. Ross misses 3-pt shot from 25 ft
7:21.0,Defensive rebound by K. Olynyk,,43-40,,
7:09.0,J. Richardson makes 2-pt shot from 3 ft,2,45-40,,
7:04.0,,,45-40,,Orlando full timeout
7:04.0,G. Dragic enters the game for J. Richardson,,45-40,,
7:04.0,H. Whiteside enters the game for K. Olynyk,,45-40,,
7:04.0,J. Johnson enters the game for B. Adebayo,,45-40,,
6:48.0,,,45-40,,B. Biyombo misses 2-pt shot from 6 ft
6:46.0,Defensive rebound by H. Whiteside,,45-40,,
6:37.0,Turnover by W. Ellington (traveling),,45-40,,
6:37.0,,,45-40,,E. Payton enters the game for B. Biyombo
6:37.0,,,45-40,,E. Fournier enters the game for D. Augustin
6:37.0,,,45-40,,N. Vucevic enters the game for J. Simmons
6:23.0,,,45-42,2,T. Ross makes 2-pt shot from 19 ft
6:07.0,J. Johnson makes 2-pt shot from 3 ft,2,47-42,,
5:57.0,,,47-42,,Shooting foul by J. Winslow (drawn by N. Vucevic)
5:57.0,,,47-42,,N. Vucevic misses free throw 1 of 2
5:57.0,,,47-42,,Offensive rebound by Team
5:57.0,,,47-42,,A. Gordon enters the game for J. Isaac
5:57.0,D. Waiters enters the game for W. Ellington,,47-42,,
5:57.0,T. Johnson enters the game for J. Winslow,,47-42,,
5:57.0,,,47-43,1,N. Vucevic makes free throw 2 of 2
5:47.0,G. Dragic misses 2-pt shot from 8 ft,,47-43,,
5:44.0,,,47-43,,Defensive rebound by N. Vucevic
5:40.0,,,47-45,2,E. Payton makes 2-pt shot from 5 ft
5:21.0,T. Johnson misses 2-pt shot from 17 ft,,47-45,,
5:19.0,,,47-45,,Defensive rebound by A. Gordon
5:10.0,,,47-47,2,E. Fournier makes 2-pt shot from 15 ft (assist by N. Vucevic)
5:02.0,Miami full timeout,,47-47,,
4:51.0,J. Johnson makes 2-pt shot from 2 ft,2,49-47,,
4:36.0,Personal foul by J. Johnson (drawn by E. Fournier),,49-47,,
4:36.0,J. Winslow enters the game for J. Johnson,,49-47,,
4:28.0,,,49-47,,A. Gordon misses 2-pt shot from 6 ft
4:25.0,Defensive rebound by H. Whiteside,,49-47,,
4:10.0,G. Dragic misses 2-pt shot from 11 ft,,49-47,,
4:08.0,,,49-47,,Defensive rebound by N. Vucevic
4:05.0,,,49-47,,E. Payton misses 2-pt shot from 5 ft (block by D. Waiters)
4:05.0,,,49-47,,Offensive rebound by Team
3:59.0,,,49-47,,E. Fournier misses 3-pt shot from 25 ft
3:58.0,,,49-49,2,N. Vucevic makes 2-pt shot from 3 ft (assist by E. Fournier)
3:48.0,,,49-49,,Offensive rebound by Team
3:36.0,Turnover by D. Waiters (lost ball; steal by E. Payton),,49-49,,
3:30.0,,,49-51,2,E. Fournier makes 2-pt shot from 3 ft (assist by E. Payton)
3:18.0,J. Winslow misses 2-pt shot from 16 ft,,49-51,,
3:18.0,,,49-51,,Defensive rebound by A. Gordon
3:09.0,,,49-51,,A. Gordon misses 2-pt shot from 5 ft
3:09.0,,,49-51,,Offensive rebound by A. Gordon
3:02.0,,,49-53,2,A. Gordon makes 2-pt shot at rim
3:02.0,Miami full timeout,,49-53,,
3:02.0,,,49-53,,J. Simmons enters the game for T. Ross
2:52.0,Turnover by T. Johnson (bad pass),,49-53,,
2:43.0,,,49-53,,Turnover by E. Payton (bad pass)
2:23.0,D. Waiters makes 2-pt shot from 4 ft,2,51-53,,
2:09.0,,,51-53,,E. Fournier misses 2-pt shot from 5 ft
2:09.0,Defensive rebound by J. Winslow,,51-53,,
2:03.0,G. Dragic misses 3-pt shot from 22 ft,,51-53,,
2:03.0,,,51-53,,Defensive rebound by N. Vucevic
1:55.0,,,51-53,,Shooting foul by H. Whiteside (drawn by A. Gordon)
1:55.0,,,51-54,1,A. Gordon makes free throw 1 of 2
1:55.0,J. Richardson enters the game for T. Johnson,,51-54,,
1:55.0,,,51-55,1,A. Gordon makes free throw 2 of 2
1:41.0,D. Waiters misses 2-pt shot from 5 ft (block by N. Vucevic),,51-55,,
1:40.0,Offensive rebound by Team,,51-55,,
1:27.0,D. Waiters misses 2-pt shot from 1 ft,,51-55,,
1:24.0,,,51-55,,Defensive rebound by N. Vucevic
1:12.0,,,51-55,,A. Gordon misses 2-pt shot from 13 ft
1:09.0,,,51-55,,Offensive rebound by N. Vucevic
1:04.0,,,51-55,,A. Gordon misses 2-pt shot from 18 ft
1:03.0,,,51-55,,Offensive rebound by Team
0:57.0,,,51-58,3,E. Fournier makes 3-pt shot from 26 ft (assist by E. Payton)
0:43.0,H. Whiteside makes 2-pt shot from 3 ft (assist by G. Dragic),2,53-58,,
0:30.0,,,53-58,,Turnover by E. Payton (lost ball; steal by G. Dragic)
0:25.0,G. Dragic makes 2-pt shot from 3 ft (assist by D. Waiters),2,55-58,,
0:02.0,,,55-58,,N. Vucevic misses 2-pt shot from 15 ft
0:02.0,Defensive rebound by H. Whiteside,,55-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,55-60,2,N. Vucevic makes 2-pt shot from 13 ft (assist by E. Payton)
11:30.0,G. Dragic misses 2-pt shot from 2 ft,,55-60,,
11:30.0,,,55-60,,Defensive rebound by N. Vucevic
11:14.0,,,55-60,,Shooting foul by K. Olynyk (drawn by N. Vucevic)
11:14.0,,,55-61,1,N. Vucevic makes free throw 1 of 2
11:14.0,,,55-62,1,N. Vucevic makes free throw 2 of 2
10:59.0,Turnover by D. Waiters (bad pass; steal by T. Ross),,55-62,,
10:45.0,,,55-65,3,E. Fournier makes 3-pt shot from 25 ft (assist by A. Gordon)
10:22.0,G. Dragic makes 2-pt shot from 17 ft,2,57-65,,
10:13.0,,,57-67,2,E. Payton makes 2-pt shot from 17 ft
9:56.0,D. Waiters misses 3-pt shot from 25 ft,,57-67,,
9:52.0,,,57-67,,Defensive rebound by T. Ross
9:47.0,,,57-67,,N. Vucevic misses 3-pt shot from 26 ft
9:44.0,Defensive rebound by H. Whiteside,,57-67,,
9:37.0,J. Richardson misses 3-pt shot from 22 ft,,57-67,,
9:33.0,,,57-67,,Defensive rebound by E. Payton
9:26.0,,,57-67,,E. Payton misses 2-pt shot from 6 ft
9:24.0,,,57-67,,Offensive rebound by A. Gordon
9:24.0,,,57-69,2,A. Gordon makes 2-pt shot at rim
9:24.0,Miami full timeout,,57-69,,
9:11.0,H. Whiteside misses 2-pt shot from 2 ft,,57-69,,
9:06.0,Offensive rebound by G. Dragic,,57-69,,
9:06.0,G. Dragic misses 2-pt shot at rim,,57-69,,
9:05.0,,,57-69,,Defensive rebound by N. Vucevic
9:03.0,,,57-72,3,T. Ross makes 3-pt shot from 24 ft (assist by E. Payton)
8:47.0,H. Whiteside makes 2-pt shot from 10 ft,2,59-72,,
8:29.0,Personal foul by K. Olynyk (drawn by A. Gordon),,59-72,,
8:29.0,J. Johnson enters the game for K. Olynyk,,59-72,,
8:20.0,,,59-72,,E. Fournier misses 2-pt shot from 13 ft
8:15.0,Defensive rebound by J. Richardson,,59-72,,
8:09.0,G. Dragic makes 3-pt shot from 23 ft (assist by J. Johnson),3,62-72,,
7:47.0,,,62-72,,A. Gordon misses 2-pt shot from 16 ft
7:44.0,Defensive rebound by J. Richardson,,62-72,,
7:34.0,Turnover by J. Richardson (bad pass; steal by T. Ross),,62-72,,
7:33.0,,,62-72,,Shooting foul by J. Johnson (drawn by E. Fournier)
7:33.0,,,62-73,1,E. Fournier makes free throw 1 of 2
7:33.0,J. Winslow enters the game for J. Johnson,,62-73,,
7:33.0,,,62-74,1,E. Fournier makes free throw 2 of 2
7:21.0,G. Dragic misses 2-pt shot from 4 ft,,62-74,,
7:15.0,Offensive rebound by J. Winslow,,62-74,,
7:15.0,J. Winslow makes 2-pt shot at rim,2,64-74,,
7:14.0,,,64-74,,Turnover by E. Payton (traveling)
7:03.0,G. Dragic misses 3-pt shot from 26 ft,,64-74,,
7:01.0,,,64-74,,Defensive rebound by T. Ross
7:00.0,,,64-74,,Shooting foul by J. Winslow (drawn by E. Payton)
7:00.0,,,64-74,,E. Payton misses free throw 1 of 2
7:00.0,,,64-74,,Offensive rebound by Team
7:00.0,,,64-74,,E. Payton misses free throw 2 of 2
6:56.0,Defensive rebound by H. Whiteside,,64-74,,
6:44.0,Turnover by J. Winslow (bad pass; steal by E. Payton),,64-74,,
6:31.0,,,64-76,2,N. Vucevic makes 2-pt shot from 1 ft (assist by T. Ross)
6:15.0,Turnover by J. Richardson (bad pass; steal by E. Fournier),,64-76,,
6:09.0,,,64-79,3,E. Payton makes 3-pt shot from 23 ft (assist by T. Ross)
5:43.0,Turnover by H. Whiteside (lost ball; steal by N. Vucevic),,64-79,,
5:42.0,,,64-79,,Turnover by A. Gordon (traveling)
5:35.0,G. Dragic misses 2-pt shot from 3 ft,,64-79,,
5:32.0,,,64-79,,Defensive rebound by N. Vucevic
5:30.0,,,64-79,,E. Fournier misses 3-pt shot from 25 ft
5:24.0,Defensive rebound by G. Dragic,,64-79,,
5:18.0,Shooting foul by A. Gordon (drawn by H. Whiteside),,64-79,,
5:18.0,H. Whiteside makes free throw 1 of 2,1,65-79,,
5:18.0,T. Johnson enters the game for D. Waiters,,65-79,,
5:18.0,H. Whiteside makes free throw 2 of 2,1,66-79,,
5:05.0,,,66-79,,E. Fournier misses 2-pt shot from 11 ft
5:02.0,Defensive rebound by H. Whiteside,,66-79,,
4:53.0,J. Richardson makes 3-pt shot from 26 ft (assist by T. Johnson),3,69-79,,
4:52.0,,,69-79,,Orlando full timeout
4:52.0,,,69-79,,J. Simmons enters the game for E. Fournier
4:34.0,,,69-79,,T. Ross misses 3-pt shot from 26 ft
4:31.0,Defensive rebound by H. Whiteside,,69-79,,
4:19.0,T. Johnson misses 2-pt shot from 9 ft,,69-79,,
4:19.0,Offensive rebound by Team,,69-79,,
4:19.0,,,69-79,,Personal foul by N. Vucevic (drawn by H. Whiteside)
4:15.0,,,69-79,,Personal foul by J. Simmons (drawn by H. Whiteside)
4:05.0,T. Johnson misses 2-pt shot from 12 ft,,69-79,,
4:02.0,,,69-79,,Defensive rebound by E. Payton
4:00.0,Personal foul by J. Richardson (drawn by A. Gordon),,69-79,,
4:00.0,,,69-80,1,A. Gordon makes free throw 1 of 2
4:00.0,,,69-80,,E. Fournier enters the game for T. Ross
4:00.0,,,69-80,,A. Gordon misses free throw 2 of 2
3:57.0,Defensive rebound by J. Winslow,,69-80,,
3:46.0,G. Dragic misses 3-pt shot from 23 ft,,69-80,,
3:43.0,,,69-80,,Defensive rebound by A. Gordon
3:30.0,,,69-82,2,E. Payton makes 2-pt shot from 3 ft
3:25.0,,,69-82,,Personal foul by E. Payton (drawn by J. Richardson)
3:25.0,D. Waiters enters the game for G. Dragic,,69-82,,
3:13.0,D. Waiters makes 2-pt shot from 10 ft,2,71-82,,
2:52.0,,,71-84,2,J. Simmons makes 2-pt shot from 3 ft
2:40.0,D. Waiters makes 2-pt shot from 16 ft,2,73-84,,
2:33.0,,,73-86,2,E. Payton makes 2-pt shot from 2 ft
2:15.0,T. Johnson makes 2-pt shot from 3 ft,2,75-86,,
1:52.0,Personal foul by J. Richardson (drawn by N. Vucevic),,75-86,,
1:52.0,,,75-87,1,N. Vucevic makes free throw 1 of 2
1:52.0,,,75-87,,D. Augustin enters the game for A. Gordon
1:52.0,,,75-87,,J. Isaac enters the game for E. Payton
1:52.0,W. Ellington enters the game for J. Richardson,,75-87,,
1:52.0,K. Olynyk enters the game for H. Whiteside,,75-87,,
1:52.0,,,75-88,1,N. Vucevic makes free throw 2 of 2
1:39.0,,,75-88,,B. Biyombo enters the game for N. Vucevic
1:38.0,D. Waiters misses 2-pt shot from 4 ft,,75-88,,
1:38.0,Offensive rebound by Team,,75-88,,
1:28.0,T. Johnson misses 3-pt shot from 26 ft,,75-88,,
1:24.0,,,75-88,,Defensive rebound by J. Isaac
1:05.0,,,75-88,,E. Fournier misses 2-pt shot from 15 ft
1:02.0,Defensive rebound by K. Olynyk,,75-88,,
0:50.0,J. Winslow misses 2-pt shot from 9 ft,,75-88,,
0:47.0,,,75-88,,Defensive rebound by J. Simmons
0:43.0,,,75-88,,Offensive charge foul by J. Simmons (drawn by K. Olynyk)
0:43.0,,,75-88,,Turnover by J. Simmons (offensive foul)
0:26.0,K. Olynyk makes 2-pt shot from 12 ft,2,77-88,,
0:26.0,Shooting foul by B. Biyombo (drawn by K. Olynyk),,77-88,,
0:26.0,K. Olynyk makes free throw 1 of 1,1,78-88,,
0:04.0,,,78-88,,Turnover by B. Biyombo (traveling)
0:00.0,W. Ellington misses 3-pt shot from 28 ft,,78-88,,
0:00.0,Offensive rebound by Team,,78-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,W. Ellington misses 3-pt shot from 26 ft,,78-88,,
11:46.0,,,78-88,,Defensive rebound by J. Isaac
11:30.0,,,78-88,,Offensive foul by B. Biyombo (drawn by T. Johnson)
11:30.0,,,78-88,,Turnover by B. Biyombo (offensive foul)
11:15.0,J. Winslow misses 2-pt shot from 14 ft,,78-88,,
11:11.0,,,78-88,,Defensive rebound by B. Biyombo
11:07.0,,,78-90,2,D. Augustin makes 2-pt shot from 11 ft
11:07.0,,,78-90,,Shooting foul by K. Olynyk (drawn by D. Augustin)
11:07.0,,,78-90,,D. Augustin misses free throw 1 of 1
11:04.0,,,78-90,,Offensive rebound by B. Biyombo
10:55.0,,,78-93,3,T. Ross makes 3-pt shot from 22 ft (assist by D. Augustin)
10:36.0,D. Waiters makes 2-pt shot from 3 ft,2,80-93,,
10:25.0,,,80-95,2,B. Biyombo makes 2-pt shot from 6 ft (assist by D. Augustin)
10:17.0,Turnover by D. Waiters (discontinued dribble),,80-95,,
10:17.0,J. Johnson enters the game for J. Winslow,,80-95,,
10:05.0,,,80-95,,B. Biyombo misses 2-pt shot from 5 ft
10:00.0,,,80-95,,Offensive rebound by J. Isaac
9:58.0,,,80-95,,D. Augustin misses 2-pt shot from 5 ft
9:58.0,,,80-95,,Offensive rebound by J. Isaac
9:58.0,,,80-97,2,J. Isaac makes 2-pt shot at rim
9:58.0,Miami full timeout,,80-97,,
9:58.0,H. Whiteside enters the game for W. Ellington,,80-97,,
9:58.0,J. Richardson enters the game for K. Olynyk,,80-97,,
9:45.0,H. Whiteside makes 2-pt shot from 3 ft (assist by J. Johnson),2,82-97,,
9:22.0,,,82-97,,T. Ross misses 2-pt shot from 19 ft
9:19.0,Defensive rebound by J. Johnson,,82-97,,
9:17.0,J. Richardson makes 2-pt shot from 3 ft (assist by J. Johnson),2,84-97,,
8:50.0,,,84-97,,B. Biyombo misses 2-pt shot from 8 ft
8:48.0,Defensive rebound by H. Whiteside,,84-97,,
8:41.0,T. Johnson misses 2-pt shot from 3 ft (block by B. Biyombo),,84-97,,
8:38.0,,,84-97,,Defensive rebound by D. Augustin
8:36.0,,,84-97,,J. Simmons misses 2-pt shot from 15 ft (block by H. Whiteside)
8:32.0,Defensive rebound by J. Johnson,,84-97,,
8:30.0,D. Waiters misses 3-pt shot from 25 ft,,84-97,,
8:27.0,,,84-97,,Defensive rebound by T. Ross
8:07.0,,,84-97,,J. Simmons misses 2-pt shot from 4 ft
8:02.0,,,84-97,,Offensive rebound by B. Biyombo
8:01.0,,,84-99,2,B. Biyombo makes 2-pt shot from 2 ft
7:50.0,H. Whiteside makes 2-pt shot from 3 ft (assist by J. Johnson),2,86-99,,
7:50.0,Shooting foul by J. Isaac (drawn by H. Whiteside),,86-99,,
7:50.0,,,86-99,,E. Fournier enters the game for T. Ross
7:50.0,H. Whiteside makes free throw 1 of 1,1,87-99,,
7:31.0,,,87-101,2,B. Biyombo makes 2-pt shot from 6 ft (assist by E. Fournier)
7:10.0,H. Whiteside misses 2-pt shot from 9 ft (block by B. Biyombo),,87-101,,
7:05.0,,,87-101,,Defensive rebound by B. Biyombo
6:57.0,,,87-101,,J. Simmons misses 2-pt shot from 8 ft
6:54.0,Defensive rebound by H. Whiteside,,87-101,,
6:42.0,H. Whiteside makes 3-pt shot from 27 ft (assist by J. Richardson),3,90-101,,
