time,Brooklyn,pts.away,score,pts.home,Indiana
6:06.0,S. Dinwiddie makes 3-pt shot from 27 ft (assist by R. Hollis-Jefferson),3,19-9,,
5:45.0,,,19-9,,D. Sabonis misses 2-pt shot from 20 ft
5:43.0,Defensive rebound by A. Crabbe,,19-9,,
5:26.0,A. Crabbe makes 2-pt shot from 10 ft (assist by S. Dinwiddie),2,21-9,,
5:09.0,,,21-9,,M. Turner misses 3-pt shot from 27 ft
5:07.0,Defensive rebound by D. Carroll,,21-9,,
4:59.0,D. Carroll misses 2-pt shot at rim,,21-9,,
4:57.0,,,21-9,,Defensive rebound by B. Bogdanovic
4:47.0,,,21-9,,Shooting foul by T. Zeller (drawn by M. Turner)
4:47.0,Brooklyn full timeout,,21-9,,
4:47.0,,,21-9,,C. Joseph enters the game for B. Bogdanovic
4:47.0,J. Harris enters the game for A. Crabbe,,21-9,,
4:47.0,J. Allen enters the game for T. Zeller,,21-9,,
4:47.0,,,21-10,1,M. Turner makes free throw 1 of 2
4:47.0,,,21-11,1,M. Turner makes free throw 2 of 2
4:31.0,D. Carroll misses 3-pt shot from 24 ft,,21-11,,
4:28.0,Offensive rebound by J. Allen,,21-11,,
4:19.0,J. Harris misses 3-pt shot from 27 ft,,21-11,,
4:15.0,,,21-11,,Defensive rebound by M. Turner
4:07.0,,,21-11,,Shooting foul by J. Allen (drawn by D. Sabonis)
4:07.0,,,21-12,1,D. Sabonis makes free throw 1 of 2
4:07.0,N. Stauskas enters the game for S. Dinwiddie,,21-12,,
4:07.0,Q. Acy enters the game for D. Carroll,,21-12,,
4:07.0,C. LeVert enters the game for R. Hollis-Jefferson,,21-12,,
4:07.0,,,21-12,,D. Sabonis misses free throw 2 of 2
4:04.0,Defensive rebound by Q. Acy,,21-12,,
3:44.0,J. Harris misses 2-pt shot from 3 ft (block by M. Turner),,21-12,,
3:42.0,Offensive rebound by J. Harris,,21-12,,
3:41.0,J. Harris misses 2-pt shot from 12 ft,,21-12,,
3:39.0,,,21-12,,Defensive rebound by D. Sabonis
3:22.0,,,21-14,2,C. Joseph makes 2-pt shot at rim (assist by D. Sabonis)
2:55.0,J. Allen misses 3-pt shot from 23 ft,,21-14,,
2:55.0,Offensive rebound by Team,,21-14,,
2:55.0,Turnover by Team (shot clock),,21-14,,
2:55.0,,,21-14,,L. Stephenson enters the game for D. Collison
2:44.0,,,21-17,3,V. Oladipo makes 3-pt shot from 27 ft (assist by C. Joseph)
2:27.0,C. LeVert makes 2-pt shot from 18 ft,2,23-17,,
2:01.0,,,23-17,,C. Joseph misses 3-pt shot from 25 ft
1:58.0,Defensive rebound by J. Allen,,23-17,,
1:51.0,Q. Acy misses 3-pt shot from 28 ft,,23-17,,
1:50.0,,,23-17,,Defensive rebound by Team
1:50.0,,,23-17,,T. Leaf enters the game for M. Turner
1:39.0,,,23-17,,L. Stephenson misses 2-pt shot from 19 ft
1:35.0,,,23-17,,Offensive rebound by T. Leaf
1:31.0,,,23-17,,L. Stephenson misses 2-pt shot from 19 ft
1:27.0,Defensive rebound by Q. Acy,,23-17,,
1:19.0,Turnover by C. LeVert (bad pass; steal by D. Sabonis),,23-17,,
1:14.0,,,23-17,,C. Joseph misses 2-pt shot from 2 ft
1:11.0,Defensive rebound by C. LeVert,,23-17,,
1:11.0,Turnover by C. LeVert (lost ball; steal by D. Sabonis),,23-17,,
1:05.0,,,23-19,2,D. Sabonis makes 2-pt shot from 9 ft (assist by T. Leaf)
0:48.0,C. LeVert makes 3-pt shot from 25 ft,3,26-19,,
0:35.0,,,26-19,,V. Oladipo misses 2-pt shot from 19 ft
0:31.0,Defensive rebound by J. Harris,,26-19,,
0:12.0,N. Stauskas makes 2-pt shot from 2 ft,2,28-19,,
0:02.0,,,28-21,2,V. Oladipo makes 2-pt shot from 20 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,28-23,2,D. Sabonis makes 2-pt shot at rim (assist by C. Joseph)
11:24.0,N. Stauskas makes 3-pt shot from 29 ft (assist by D. Carroll),3,31-23,,
11:03.0,,,31-23,,D. Sabonis misses 2-pt shot from 1 ft
11:01.0,Defensive rebound by D. Carroll,,31-23,,
10:55.0,N. Stauskas misses 3-pt shot from 27 ft,,31-23,,
10:53.0,,,31-23,,Defensive rebound by D. Sabonis
10:47.0,,,31-23,,Offensive charge foul by L. Stephenson (drawn by C. LeVert)
10:47.0,,,31-23,,Turnover by L. Stephenson (offensive foul)
10:32.0,Turnover by C. LeVert (bad pass; steal by C. Joseph),,31-23,,
10:26.0,,,31-23,,C. Joseph misses 2-pt shot at rim
10:22.0,,,31-23,,Offensive rebound by T. Leaf
10:22.0,,,31-25,2,T. Leaf makes 2-pt shot at rim
10:04.0,,,31-25,,Personal foul by L. Stephenson (drawn by N. Stauskas)
10:04.0,A. Crabbe enters the game for N. Stauskas,,31-25,,
9:54.0,Turnover by C. LeVert (bad pass; steal by B. Bogdanovic),,31-25,,
9:50.0,,,31-25,,B. Bogdanovic misses 2-pt shot from 10 ft (block by J. Harris)
9:48.0,Defensive rebound by Team,,31-25,,
9:30.0,A. Crabbe misses 3-pt shot from 29 ft,,31-25,,
9:27.0,Offensive rebound by D. Carroll,,31-25,,
9:20.0,D. Carroll makes 2-pt shot from 1 ft,2,33-25,,
9:03.0,,,33-25,,L. Stephenson misses 2-pt shot from 20 ft
8:59.0,Defensive rebound by D. Carroll,,33-25,,
8:55.0,D. Carroll makes 2-pt shot at rim,2,35-25,,
8:55.0,,,35-25,,Indiana full timeout
8:55.0,,,35-25,,T. Young enters the game for T. Leaf
8:55.0,S. Dinwiddie enters the game for C. LeVert,,35-25,,
8:40.0,,,35-27,2,B. Bogdanovic makes 2-pt shot from 9 ft
8:13.0,J. Harris makes 3-pt shot from 27 ft (assist by S. Dinwiddie),3,38-27,,
7:44.0,,,38-27,,D. Sabonis misses 2-pt shot from 8 ft
7:43.0,,,38-27,,Offensive rebound by Team
7:43.0,Q. Acy enters the game for J. Allen,,38-27,,
7:35.0,,,38-27,,B. Bogdanovic misses 2-pt shot from 17 ft
7:31.0,Defensive rebound by D. Carroll,,38-27,,
7:17.0,D. Carroll misses 3-pt shot from 26 ft,,38-27,,
7:17.0,Offensive rebound by Team,,38-27,,
7:17.0,,,38-27,,Loose ball foul by D. Sabonis (drawn by Q. Acy)
7:12.0,A. Crabbe makes 2-pt shot from 19 ft (assist by Q. Acy),2,40-27,,
6:52.0,Personal foul by A. Crabbe (drawn by D. Sabonis),,40-27,,
6:52.0,,,40-27,,D. Collison enters the game for C. Joseph
6:52.0,,,40-27,,V. Oladipo enters the game for B. Bogdanovic
6:52.0,R. Hollis-Jefferson enters the game for J. Harris,,40-27,,
6:38.0,,,40-29,2,L. Stephenson makes 2-pt shot from 17 ft (assist by D. Sabonis)
6:17.0,D. Carroll makes 3-pt shot from 27 ft (assist by R. Hollis-Jefferson),3,43-29,,
5:59.0,,,43-31,2,D. Sabonis makes 2-pt shot from 1 ft (assist by V. Oladipo)
5:38.0,,,43-31,,Personal foul by T. Young (drawn by D. Carroll)
5:38.0,,,43-31,,M. Turner enters the game for T. Young
5:34.0,R. Hollis-Jefferson misses 2-pt shot from 11 ft,,43-31,,
5:31.0,,,43-31,,Defensive rebound by L. Stephenson
5:22.0,,,43-33,2,L. Stephenson makes 2-pt shot from 1 ft (assist by D. Sabonis)
5:22.0,Brooklyn full timeout,,43-33,,
5:22.0,T. Zeller enters the game for Q. Acy,,43-33,,
5:02.0,Shooting foul by V. Oladipo (drawn by R. Hollis-Jefferson),,43-33,,
5:02.0,R. Hollis-Jefferson makes free throw 1 of 2,1,44-33,,
5:02.0,R. Hollis-Jefferson makes free throw 2 of 2,1,45-33,,
4:48.0,,,45-33,,Turnover by D. Sabonis (out of bounds lost ball)
4:48.0,C. LeVert enters the game for D. Carroll,,45-33,,
4:31.0,S. Dinwiddie makes 3-pt shot from 27 ft (assist by A. Crabbe),3,48-33,,
4:13.0,,,48-33,,D. Sabonis misses 2-pt shot from 18 ft
4:11.0,Defensive rebound by R. Hollis-Jefferson,,48-33,,
4:07.0,Turnover by R. Hollis-Jefferson (lost ball; steal by V. Oladipo),,48-33,,
4:03.0,,,48-33,,V. Oladipo misses 2-pt shot from 1 ft
4:00.0,Defensive rebound by T. Zeller,,48-33,,
3:52.0,A. Crabbe misses 2-pt shot from 2 ft,,48-33,,
3:48.0,,,48-33,,Defensive rebound by M. Turner
3:41.0,Personal foul by S. Dinwiddie (drawn by L. Stephenson),,48-33,,
3:41.0,,,48-33,,B. Bogdanovic enters the game for L. Stephenson
3:35.0,,,48-35,2,V. Oladipo makes 2-pt shot from 1 ft (assist by D. Collison)
3:13.0,Turnover by S. Dinwiddie (bad pass; steal by D. Sabonis),,48-35,,
2:57.0,Personal foul by T. Zeller (drawn by M. Turner),,48-35,,
2:57.0,J. Harris enters the game for A. Crabbe,,48-35,,
2:48.0,,,48-35,,M. Turner misses 2-pt shot from 22 ft
2:45.0,Defensive rebound by T. Zeller,,48-35,,
2:26.0,S. Dinwiddie misses 3-pt shot from 24 ft,,48-35,,
2:22.0,Offensive rebound by T. Zeller,,48-35,,
2:21.0,C. LeVert makes 3-pt shot from 28 ft (assist by T. Zeller),3,51-35,,
2:21.0,Shooting foul by V. Oladipo (drawn by C. LeVert),,51-35,,
2:21.0,C. LeVert makes free throw 1 of 1,1,52-35,,
2:10.0,,,52-35,,D. Sabonis misses 2-pt shot from 1 ft
2:06.0,Defensive rebound by T. Zeller,,52-35,,
1:51.0,R. Hollis-Jefferson makes 2-pt shot from 10 ft,2,54-35,,
1:37.0,,,54-35,,D. Sabonis misses 2-pt shot from 19 ft
1:35.0,Defensive rebound by C. LeVert,,54-35,,
1:25.0,T. Zeller misses 2-pt shot at rim,,54-35,,
1:22.0,,,54-35,,Defensive rebound by D. Sabonis
1:17.0,,,54-37,2,V. Oladipo makes 2-pt shot from 1 ft (assist by D. Collison)
0:57.0,S. Dinwiddie misses 3-pt shot from 23 ft,,54-37,,
0:54.0,,,54-37,,Defensive rebound by B. Bogdanovic
0:41.0,,,54-39,2,M. Turner makes 2-pt shot at rim (assist by D. Sabonis)
0:31.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by C. LeVert),2,56-39,,
0:31.0,Shooting foul by D. Sabonis (drawn by R. Hollis-Jefferson),,56-39,,
0:31.0,J. Allen enters the game for T. Zeller,,56-39,,
0:31.0,D. Carroll enters the game for J. Harris,,56-39,,
0:31.0,R. Hollis-Jefferson makes free throw 1 of 1,1,57-39,,
0:11.0,,,57-41,2,D. Sabonis makes 2-pt shot from 1 ft (assist by V. Oladipo)
0:00.0,C. LeVert misses 2-pt shot from 22 ft,,57-41,,
0:00.0,,,57-41,,Defensive rebound by D. Sabonis
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,,,57-43,2,V. Oladipo makes 2-pt shot from 22 ft (assist by T. Young)
11:29.0,A. Crabbe misses 2-pt shot from 19 ft,,57-43,,
11:25.0,,,57-43,,Defensive rebound by T. Young
11:22.0,,,57-45,2,D. Collison makes 2-pt shot from 2 ft (assist by T. Young)
11:01.0,D. Carroll misses 3-pt shot from 22 ft,,57-45,,
10:59.0,,,57-45,,Defensive rebound by T. Young
10:55.0,,,57-45,,B. Bogdanovic misses 3-pt shot from 25 ft
10:51.0,Defensive rebound by A. Crabbe,,57-45,,
10:40.0,D. Carroll misses 2-pt shot from 1 ft (block by M. Turner),,57-45,,
10:38.0,Offensive rebound by D. Carroll,,57-45,,
10:28.0,S. Dinwiddie misses 2-pt shot from 17 ft (block by V. Oladipo),,57-45,,
10:26.0,,,57-45,,Defensive rebound by B. Bogdanovic
10:25.0,,,57-47,2,D. Collison makes 2-pt shot at rim (assist by B. Bogdanovic)
10:24.0,Brooklyn full timeout,,57-47,,
10:00.0,Turnover by Team (shot clock),,57-47,,
9:52.0,,,57-50,3,V. Oladipo makes 3-pt shot from 26 ft (assist by T. Young)
9:27.0,S. Dinwiddie misses 2-pt shot from 12 ft,,57-50,,
9:25.0,,,57-50,,Defensive rebound by M. Turner
9:22.0,,,57-52,2,B. Bogdanovic makes 2-pt shot at rim (assist by M. Turner)
8:56.0,S. Dinwiddie misses 3-pt shot from 26 ft,,57-52,,
8:53.0,Offensive rebound by D. Carroll,,57-52,,
8:53.0,D. Carroll makes 2-pt shot from 4 ft,2,59-52,,
8:29.0,,,59-54,2,M. Turner makes 2-pt shot at rim (assist by D. Collison)
8:09.0,T. Zeller misses 2-pt shot from 1 ft (block by M. Turner),,59-54,,
8:05.0,,,59-54,,Defensive rebound by V. Oladipo
8:05.0,,,59-54,,Turnover by B. Bogdanovic (step out of bounds)
7:55.0,,,59-54,,Personal foul by D. Collison (drawn by S. Dinwiddie)
7:49.0,A. Crabbe makes 2-pt shot from 13 ft (assist by S. Dinwiddie),2,61-54,,
7:38.0,,,61-54,,B. Bogdanovic misses 3-pt shot from 28 ft
7:34.0,Defensive rebound by T. Zeller,,61-54,,
7:25.0,R. Hollis-Jefferson makes 2-pt shot from 6 ft,2,63-54,,
7:09.0,,,63-54,,Turnover by B. Bogdanovic (bad pass)
6:49.0,D. Carroll makes 3-pt shot from 24 ft,3,66-54,,
6:32.0,,,66-57,3,T. Young makes 3-pt shot from 26 ft (assist by V. Oladipo)
6:16.0,A. Crabbe misses 3-pt shot from 26 ft,,66-57,,
6:12.0,,,66-57,,Defensive rebound by M. Turner
6:02.0,Personal foul by A. Crabbe (drawn by V. Oladipo),,66-57,,
6:02.0,C. LeVert enters the game for A. Crabbe,,66-57,,
5:54.0,,,66-59,2,V. Oladipo makes 2-pt shot from 14 ft (assist by T. Young)
5:30.0,R. Hollis-Jefferson makes 2-pt shot from 17 ft (assist by D. Carroll),2,68-59,,
5:12.0,,,68-61,2,B. Bogdanovic makes 2-pt shot from 14 ft
5:06.0,J. Allen enters the game for T. Zeller,,68-61,,
4:42.0,Turnover by Team (shot clock),,68-61,,
4:34.0,,,68-63,2,M. Turner makes 2-pt shot from 1 ft (assist by D. Collison)
4:34.0,,,68-63,,Shooting foul by J. Allen (drawn by M. Turner)
4:34.0,Q. Acy enters the game for D. Carroll,,68-63,,
4:34.0,N. Stauskas enters the game for R. Hollis-Jefferson,,68-63,,
4:34.0,,,68-64,1,M. Turner makes free throw 1 of 1
4:12.0,C. LeVert misses 3-pt shot from 26 ft,,68-64,,
4:10.0,,,68-64,,Defensive rebound by T. Young
4:00.0,,,68-66,2,D. Collison makes 2-pt shot from 21 ft
3:33.0,S. Dinwiddie misses 2-pt shot from 18 ft,,68-66,,
3:29.0,Offensive rebound by J. Allen,,68-66,,
3:27.0,N. Stauskas misses 3-pt shot from 22 ft,,68-66,,
3:24.0,,,68-66,,Defensive rebound by M. Turner
3:21.0,,,68-69,3,D. Collison makes 3-pt shot from 28 ft (assist by V. Oladipo)
3:20.0,Brooklyn full timeout,,68-69,,
3:20.0,,,68-69,,C. Joseph enters the game for B. Bogdanovic
3:20.0,J. Harris enters the game for S. Dinwiddie,,68-69,,
3:02.0,Jump ball: M. Turner vs. C. LeVert (C. Joseph gains possession),,,,Jump ball: M. Turner vs. C. LeVert (C. Joseph gains possession)
3:02.0,Turnover by C. LeVert (lost ball; steal by D. Collison),,68-69,,
2:43.0,,,68-69,,D. Collison misses 3-pt shot from 27 ft
2:40.0,Defensive rebound by J. Harris,,68-69,,
2:31.0,,,68-69,,D. Sabonis enters the game for V. Oladipo
2:31.0,,,68-69,,L. Stephenson enters the game for T. Young
2:27.0,C. LeVert makes 2-pt shot at rim,2,70-69,,
2:04.0,,,70-72,3,M. Turner makes 3-pt shot from 27 ft (assist by D. Collison)
1:49.0,Q. Acy makes 3-pt shot from 24 ft (assist by C. LeVert),3,73-72,,
1:36.0,,,73-72,,D. Collison misses 2-pt shot from 20 ft
1:31.0,Defensive rebound by N. Stauskas,,73-72,,
1:23.0,,,73-72,,Shooting block foul by L. Stephenson (drawn by Q. Acy)
1:23.0,Q. Acy makes free throw 1 of 2,1,74-72,,
1:23.0,Q. Acy misses free throw 2 of 2,,74-72,,
1:22.0,Offensive rebound by J. Allen,,74-72,,
1:22.0,Shooting foul by M. Turner (drawn by J. Allen),,74-72,,
1:22.0,J. Allen makes free throw 1 of 2,1,75-72,,
1:22.0,J. Allen makes free throw 2 of 2,1,76-72,,
1:18.0,,,76-72,,Indiana full timeout
1:10.0,,,76-75,3,L. Stephenson makes 3-pt shot from 27 ft (assist by D. Collison)
0:51.0,J. Allen makes 2-pt shot from 1 ft (assist by J. Harris),2,78-75,,
0:35.0,,,78-75,,L. Stephenson misses 2-pt shot from 15 ft
0:33.0,,,78-75,,Offensive rebound by M. Turner
0:33.0,,,78-77,2,M. Turner makes 2-pt shot at rim
0:25.0,N. Stauskas makes 3-pt shot from 25 ft,3,81-77,,
0:05.0,,,81-80,3,M. Turner makes 3-pt shot from 26 ft (assist by D. Collison)
0:00.0,C. LeVert misses 2-pt shot from 14 ft,,81-80,,
0:00.0,Offensive rebound by Team,,81-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,Q. Acy misses 2-pt shot from 1 ft,,81-80,,
11:41.0,,,81-80,,Defensive rebound by C. Joseph
11:30.0,,,81-80,,Turnover by L. Stephenson (bad pass; steal by C. LeVert)
11:29.0,,,81-80,,Personal foul by C. Joseph (drawn by C. LeVert)
11:19.0,J. Harris makes 2-pt shot from 2 ft,2,83-80,,
11:03.0,,,83-80,,L. Stephenson misses 2-pt shot at rim
11:03.0,,,83-80,,Offensive rebound by Team
11:03.0,Loose ball foul by J. Harris (drawn by D. Sabonis),,83-80,,
11:03.0,R. Hollis-Jefferson enters the game for Q. Acy,,83-80,,
10:54.0,,,83-82,2,C. Joseph makes 2-pt shot from 9 ft
10:38.0,R. Hollis-Jefferson misses 2-pt shot at rim (block by B. Bogdanovic),,83-82,,
10:38.0,,,83-82,,Defensive rebound by D. Sabonis
10:29.0,,,83-82,,L. Stephenson misses 2-pt shot from 20 ft
10:26.0,Defensive rebound by R. Hollis-Jefferson,,83-82,,
10:17.0,R. Hollis-Jefferson misses 2-pt shot from 13 ft,,83-82,,
10:13.0,Offensive rebound by J. Allen,,83-82,,
10:11.0,J. Allen misses 2-pt shot at rim,,83-82,,
10:09.0,Offensive rebound by C. LeVert,,83-82,,
10:08.0,C. LeVert misses 2-pt shot from 1 ft,,83-82,,
10:08.0,Offensive rebound by N. Stauskas,,83-82,,
10:02.0,R. Hollis-Jefferson misses 2-pt shot from 8 ft,,83-82,,
9:58.0,,,83-82,,Defensive rebound by D. Sabonis
9:55.0,,,83-82,,V. Oladipo misses 3-pt shot from 25 ft
9:52.0,Defensive rebound by R. Hollis-Jefferson,,83-82,,
9:29.0,Turnover by Team (shot clock),,83-82,,
9:29.0,A. Crabbe enters the game for N. Stauskas,,83-82,,
9:29.0,T. Zeller enters the game for J. Allen,,83-82,,
9:21.0,,,83-82,,V. Oladipo misses 3-pt shot from 23 ft
9:18.0,Defensive rebound by A. Crabbe,,83-82,,
9:12.0,Shooting foul by D. Sabonis (drawn by A. Crabbe),,83-82,,
9:12.0,A. Crabbe misses free throw 1 of 2,,83-82,,
9:12.0,Offensive rebound by Team,,83-82,,
9:12.0,A. Crabbe makes free throw 2 of 2,1,84-82,,
8:56.0,,,84-84,2,V. Oladipo makes 2-pt shot from 1 ft
8:48.0,R. Hollis-Jefferson misses 2-pt shot at rim,,84-84,,
8:45.0,Offensive rebound by R. Hollis-Jefferson,,84-84,,
8:45.0,R. Hollis-Jefferson misses 2-pt shot from 1 ft,,84-84,,
8:44.0,Offensive rebound by R. Hollis-Jefferson,,84-84,,
8:44.0,R. Hollis-Jefferson misses 2-pt shot from 1 ft,,84-84,,
8:42.0,,,84-84,,Defensive rebound by D. Sabonis
8:39.0,,,84-84,,B. Bogdanovic misses 3-pt shot from 23 ft
8:35.0,,,84-84,,Offensive rebound by L. Stephenson
8:31.0,,,84-84,,V. Oladipo misses 3-pt shot from 26 ft
8:29.0,,,84-84,,Offensive rebound by L. Stephenson
8:29.0,,,84-84,,Shooting foul by A. Crabbe (drawn by L. Stephenson)
8:29.0,,,84-84,,L. Stephenson misses free throw 1 of 2
8:29.0,,,84-84,,Offensive rebound by Team
8:29.0,,,84-84,,T. Young enters the game for V. Oladipo
8:29.0,,,84-85,1,L. Stephenson makes free throw 2 of 2
8:18.0,,,84-85,,Personal foul by B. Bogdanovic (drawn by A. Crabbe)
8:18.0,S. Dinwiddie enters the game for C. LeVert,,84-85,,
8:18.0,D. Carroll enters the game for J. Harris,,84-85,,
8:15.0,Offensive charge foul by R. Hollis-Jefferson (drawn by T. Young),,84-85,,
8:15.0,Turnover by R. Hollis-Jefferson (offensive foul),,84-85,,
8:07.0,,,84-87,2,B. Bogdanovic makes 2-pt shot from 13 ft (assist by C. Joseph)
7:53.0,T. Zeller misses 2-pt shot from 2 ft (block by D. Sabonis),,84-87,,
7:50.0,,,84-87,,Defensive rebound by D. Sabonis
7:46.0,,,84-87,,T. Young misses 2-pt shot from 1 ft (block by R. Hollis-Jefferson)
7:46.0,,,84-87,,Offensive rebound by Team
7:37.0,,,84-90,3,B. Bogdanovic makes 3-pt shot from 27 ft (assist by C. Joseph)
7:17.0,Turnover by D. Carroll (lost ball; steal by L. Stephenson),,84-90,,
7:14.0,,,84-92,2,L. Stephenson makes 2-pt shot from 1 ft
7:14.0,,,84-92,,Shooting foul by S. Dinwiddie (drawn by L. Stephenson)
7:14.0,Brooklyn full timeout,,84-92,,
7:14.0,C. LeVert enters the game for T. Zeller,,84-92,,
7:14.0,,,84-93,1,L. Stephenson makes free throw 1 of 1
7:04.0,Shooting foul by D. Sabonis (drawn by S. Dinwiddie),,84-93,,
7:04.0,S. Dinwiddie makes free throw 1 of 2,1,85-93,,
7:04.0,S. Dinwiddie makes free throw 2 of 2,1,86-93,,
6:47.0,,,86-95,2,B. Bogdanovic makes 2-pt shot from 4 ft
6:32.0,S. Dinwiddie makes 2-pt shot from 1 ft,2,88-95,,
6:17.0,,,88-95,,T. Young misses 2-pt shot from 4 ft
6:14.0,Defensive rebound by S. Dinwiddie,,88-95,,
6:11.0,S. Dinwiddie misses 3-pt shot from 24 ft,,88-95,,
6:08.0,,,88-95,,Defensive rebound by B. Bogdanovic
6:00.0,Personal foul by D. Carroll (drawn by D. Sabonis),,88-95,,
5:54.0,,,88-97,2,C. Joseph makes 2-pt shot from 14 ft (assist by D. Sabonis)
5:47.0,Shooting foul by D. Sabonis (drawn by R. Hollis-Jefferson),,88-97,,
5:47.0,R. Hollis-Jefferson makes free throw 1 of 2,1,89-97,,
5:47.0,,,89-97,,M. Turner enters the game for D. Sabonis
5:47.0,R. Hollis-Jefferson misses free throw 2 of 2,,89-97,,
5:45.0,,,89-97,,Defensive rebound by T. Young
5:40.0,,,89-97,,Turnover by M. Turner (traveling)
5:30.0,S. Dinwiddie makes 2-pt shot from 1 ft,2,91-97,,
5:26.0,,,91-97,,Indiana full timeout
5:26.0,,,91-97,,V. Oladipo enters the game for B. Bogdanovic
5:06.0,,,91-97,,Shooting foul by C. LeVert (drawn by V. Oladipo)
5:06.0,,,91-98,1,V. Oladipo makes free throw 1 of 2
5:06.0,,,91-98,,D. Collison enters the game for C. Joseph
5:06.0,,,91-99,1,V. Oladipo makes free throw 2 of 2
4:57.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,93-99,,
4:57.0,Shooting foul by M. Turner (drawn by R. Hollis-Jefferson),,93-99,,
4:57.0,R. Hollis-Jefferson misses free throw 1 of 1,,93-99,,
4:54.0,Offensive rebound by A. Crabbe,,93-99,,
4:51.0,C. LeVert makes 2-pt shot from 12 ft,2,95-99,,
4:35.0,,,95-101,2,V. Oladipo makes 2-pt shot from 12 ft
4:20.0,S. Dinwiddie misses 2-pt shot from 18 ft,,95-101,,
4:16.0,,,95-101,,Defensive rebound by V. Oladipo
4:03.0,,,95-101,,V. Oladipo misses 3-pt shot from 28 ft
4:00.0,Defensive rebound by D. Carroll,,95-101,,
3:52.0,Shooting foul by V. Oladipo (drawn by C. LeVert),,95-101,,
3:52.0,C. LeVert misses free throw 1 of 2,,95-101,,
3:52.0,Offensive rebound by Team,,95-101,,
3:52.0,C. LeVert makes free throw 2 of 2,1,96-101,,
3:47.0,,,96-101,,Indiana full timeout
3:47.0,,,96-101,,B. Bogdanovic enters the game for T. Young
3:40.0,,,96-103,2,V. Oladipo makes 2-pt shot from 17 ft
3:26.0,R. Hollis-Jefferson misses 2-pt shot from 6 ft,,96-103,,
3:24.0,,,96-103,,Defensive rebound by B. Bogdanovic
3:16.0,,,96-103,,V. Oladipo misses 2-pt shot from 1 ft
3:13.0,Defensive rebound by D. Carroll,,96-103,,
