time,Toronto,pts.away,score,pts.home,Denver
9:35.0,,,23-40,,Shooting foul by C. Miles (drawn by K. Faried)
9:35.0,,,23-41,1,K. Faried makes free throw 1 of 2
9:35.0,D. DeRozan enters the game for O. Anunoby,,23-41,,
9:35.0,J. Valanciunas enters the game for J. Poeltl,,23-41,,
9:35.0,N. Powell enters the game for D. Wright,,23-41,,
9:35.0,,,23-41,,K. Faried misses free throw 2 of 2
9:32.0,Defensive rebound by N. Powell,,23-41,,
9:26.0,K. Lowry misses 2-pt shot from 2 ft (block by W. Barton),,23-41,,
9:22.0,Offensive rebound by K. Lowry,,23-41,,
9:11.0,N. Powell misses 3-pt shot from 26 ft,,23-41,,
9:08.0,Offensive rebound by J. Valanciunas,,23-41,,
9:07.0,J. Valanciunas makes 2-pt shot from 3 ft,2,25-41,,
8:52.0,Personal foul by J. Valanciunas (drawn by N. Jokic),,25-41,,
8:46.0,Personal foul by N. Powell (drawn by W. Barton),,25-41,,
8:33.0,,,25-41,,E. Mudiay misses 2-pt shot from 8 ft
8:32.0,,,25-41,,Offensive rebound by E. Mudiay
8:30.0,,,25-41,,M. Beasley misses 3-pt shot from 25 ft
8:28.0,Defensive rebound by D. DeRozan,,25-41,,
8:17.0,J. Valanciunas makes 2-pt shot from 3 ft (assist by D. DeRozan),2,27-41,,
8:05.0,,,27-41,,N. Jokic misses 2-pt shot from 7 ft
8:03.0,,,27-41,,Offensive rebound by N. Jokic
8:01.0,,,27-44,3,M. Beasley makes 3-pt shot from 25 ft (assist by E. Mudiay)
7:43.0,D. DeRozan makes 2-pt shot from 11 ft,2,29-44,,
7:33.0,,,29-44,,Turnover by E. Mudiay (bad pass)
7:33.0,S. Ibaka enters the game for C. Miles,,29-44,,
7:21.0,D. DeRozan misses 2-pt shot from 5 ft,,29-44,,
7:18.0,Offensive rebound by J. Valanciunas,,29-44,,
7:17.0,J. Valanciunas makes 2-pt shot from 4 ft,2,31-44,,
7:17.0,,,31-44,,Denver full timeout
7:17.0,,,31-44,,J. Murray enters the game for E. Mudiay
7:17.0,,,31-44,,P. Millsap enters the game for N. Jokic
7:09.0,,,31-46,2,K. Faried makes 2-pt shot from 3 ft (assist by W. Barton)
6:51.0,Shooting foul by M. Beasley (drawn by S. Ibaka),,31-46,,
6:51.0,S. Ibaka makes free throw 1 of 2,1,32-46,,
6:51.0,S. Ibaka makes free throw 2 of 2,1,33-46,,
6:34.0,,,33-46,,M. Beasley misses 3-pt shot from 25 ft
6:32.0,Defensive rebound by J. Valanciunas,,33-46,,
6:22.0,D. DeRozan makes 2-pt shot from 3 ft,2,35-46,,
6:07.0,,,35-46,,W. Barton misses 2-pt shot from 16 ft
6:06.0,Defensive rebound by Team,,35-46,,
6:06.0,,,35-46,,G. Harris enters the game for M. Beasley
5:51.0,Shooting foul by P. Millsap (drawn by S. Ibaka),,35-46,,
5:51.0,S. Ibaka misses free throw 1 of 2,,35-46,,
5:51.0,Offensive rebound by Team,,35-46,,
5:51.0,,,35-46,,W. Chandler enters the game for W. Barton
5:51.0,S. Ibaka misses free throw 2 of 2,,35-46,,
5:49.0,,,35-46,,Defensive rebound by J. Murray
5:37.0,Personal foul by D. DeRozan (drawn by J. Murray),,35-46,,
5:37.0,,,35-47,1,J. Murray makes free throw 1 of 2
5:37.0,L. Nogueira enters the game for J. Valanciunas,,35-47,,
5:37.0,,,35-48,1,J. Murray makes free throw 2 of 2
5:22.0,D. DeRozan misses 2-pt shot from 19 ft,,35-48,,
5:19.0,,,35-48,,Defensive rebound by G. Harris
5:10.0,,,35-50,2,G. Harris makes 2-pt shot from 3 ft (assist by P. Millsap)
4:48.0,K. Lowry misses 3-pt shot from 25 ft,,35-50,,
4:47.0,Turnover by Team (shot clock),,35-50,,
4:47.0,,,35-50,,N. Jokic enters the game for K. Faried
4:46.0,Defensive rebound by L. Nogueira,,35-50,,
4:28.0,,,35-53,3,P. Millsap makes 3-pt shot from 25 ft (assist by G. Harris)
4:28.0,,,35-53,,Shooting foul by S. Ibaka (drawn by P. Millsap)
4:28.0,,,35-54,1,P. Millsap makes free throw 1 of 1
4:08.0,D. DeRozan misses 3-pt shot from 25 ft,,35-54,,
4:06.0,,,35-54,,Defensive rebound by J. Murray
3:59.0,,,35-54,,G. Harris misses 3-pt shot from 25 ft
3:56.0,Defensive rebound by K. Lowry,,35-54,,
3:44.0,L. Nogueira makes 2-pt shot from 2 ft (assist by K. Lowry),2,37-54,,
3:44.0,Shooting foul by P. Millsap (drawn by L. Nogueira),,37-54,,
3:44.0,D. Wright enters the game for K. Lowry,,37-54,,
3:44.0,L. Nogueira makes free throw 1 of 1,1,38-54,,
3:27.0,,,38-54,,P. Millsap misses 3-pt shot from 25 ft
3:23.0,Defensive rebound by S. Ibaka,,38-54,,
3:13.0,S. Ibaka makes 2-pt shot from 2 ft (assist by N. Powell),2,40-54,,
2:58.0,,,40-56,2,N. Jokic makes 2-pt shot from 18 ft (assist by J. Murray)
2:50.0,Toronto full timeout,,40-56,,
2:50.0,,,40-56,,E. Mudiay enters the game for J. Murray
2:30.0,Shooting foul by G. Harris (drawn by N. Powell),,40-56,,
2:30.0,N. Powell misses free throw 1 of 2,,40-56,,
2:30.0,Offensive rebound by Team,,40-56,,
2:30.0,N. Powell makes free throw 2 of 2,1,41-56,,
2:09.0,,,41-58,2,P. Millsap makes 2-pt shot from 9 ft
1:53.0,N. Powell makes 2-pt shot from 3 ft (assist by D. Wright),2,43-58,,
1:38.0,,,43-58,,E. Mudiay misses 2-pt shot from 9 ft (block by L. Nogueira)
1:35.0,Defensive rebound by S. Ibaka,,43-58,,
1:29.0,L. Nogueira makes 2-pt shot from 2 ft (assist by S. Ibaka),2,45-58,,
1:18.0,,,45-60,2,G. Harris makes 2-pt shot from 3 ft (assist by N. Jokic)
0:59.0,Turnover by S. Ibaka (lost ball; steal by E. Mudiay),,45-60,,
0:52.0,,,45-60,,Turnover by W. Chandler (bad pass; steal by D. Wright)
0:51.0,,,45-60,,Personal foul by E. Mudiay (drawn by D. Wright)
0:51.0,D. Wright misses free throw 1 of 2,,45-60,,
0:51.0,Offensive rebound by Team,,45-60,,
0:51.0,D. Wright makes free throw 2 of 2,1,46-60,,
0:33.0,,,46-60,,E. Mudiay misses 2-pt shot from 5 ft
0:31.0,Defensive rebound by N. Powell,,46-60,,
0:27.0,S. Ibaka misses 3-pt shot from 25 ft,,46-60,,
0:24.0,,,46-60,,Defensive rebound by N. Jokic
0:00.0,,,46-60,,N. Jokic misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by D. Wright,,46-60,,
0:00.0,D. Wright misses 3-pt shot from 51 ft,,46-60,,
0:00.0,Offensive rebound by Team,,46-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,46-60,,N. Jokic misses 3-pt shot from 22 ft
11:33.0,Defensive rebound by K. Lowry,,46-60,,
11:25.0,S. Ibaka makes 3-pt shot from 26 ft (assist by K. Lowry),3,49-60,,
11:01.0,,,49-60,,W. Chandler misses 2-pt shot from 11 ft
10:59.0,Defensive rebound by S. Ibaka,,49-60,,
10:52.0,D. DeRozan makes 2-pt shot from 3 ft,2,51-60,,
10:52.0,Shooting foul by J. Murray (drawn by D. DeRozan),,51-60,,
10:52.0,D. DeRozan misses free throw 1 of 1,,51-60,,
10:50.0,,,51-60,,Defensive rebound by N. Jokic
10:32.0,,,51-60,,P. Millsap misses 2-pt shot from 10 ft
