time,Golden State,pts.away,score,pts.home,Phoenix
8:59.0,Q. Cook enters the game for S. Livingston,,32-43,,
8:42.0,D. West misses 2-pt shot from 9 ft,,32-43,,
8:39.0,,,32-43,,Defensive rebound by D. Bender
8:39.0,,,32-43,,Turnover by D. Bender (out of bounds lost ball)
8:33.0,,,32-43,,Personal foul by J. Dudley (drawn by N. Young)
8:26.0,A. Iguodala makes 2-pt shot from 11 ft (assist by D. West),2,34-43,,
8:06.0,,,34-43,,Turnover by D. Bender (traveling)
7:49.0,A. Iguodala misses 3-pt shot from 24 ft,,34-43,,
7:46.0,,,34-43,,Defensive rebound by D. Bender
7:38.0,,,34-45,2,T. Warren makes 2-pt shot from 9 ft
7:28.0,Q. Cook misses 2-pt shot from 14 ft,,34-45,,
7:26.0,,,34-45,,Defensive rebound by J. Dudley
7:23.0,,,34-47,2,J. Jackson makes 2-pt shot at rim
7:23.0,,,34-47,,Shooting foul by K. Looney (drawn by J. Jackson)
7:23.0,,,34-48,1,J. Jackson makes free throw 1 of 1
7:06.0,Shooting foul by J. Dudley (drawn by K. Looney),,34-48,,
7:06.0,K. Looney misses free throw 1 of 2,,34-48,,
7:06.0,Offensive rebound by Team,,34-48,,
7:06.0,,,34-48,,T. Daniels enters the game for J. Jackson
7:06.0,K. Looney makes free throw 2 of 2,1,35-48,,
6:52.0,,,35-50,2,T. Daniels makes 2-pt shot from 1 ft (assist by S. Harrison)
6:39.0,N. Young makes 2-pt shot from 12 ft,2,37-50,,
6:30.0,,,37-50,,T. Warren misses 2-pt shot from 17 ft
6:27.0,Defensive rebound by D. West,,37-50,,
6:16.0,D. West misses 3-pt shot from 25 ft,,37-50,,
6:14.0,,,37-50,,Defensive rebound by J. Dudley
5:54.0,,,37-50,,S. Harrison misses 2-pt shot from 1 ft (block by K. Looney)
5:54.0,,,37-50,,Offensive rebound by Team
5:54.0,,,37-50,,E. Payton enters the game for S. Harrison
5:54.0,D. Green enters the game for A. Iguodala,,37-50,,
5:49.0,,,37-50,,T. Warren misses 2-pt shot from 21 ft
5:46.0,Defensive rebound by D. Green,,37-50,,
5:42.0,K. Looney misses 2-pt shot from 1 ft,,37-50,,
5:41.0,Offensive rebound by D. West,,37-50,,
5:40.0,D. West makes 2-pt shot at rim,2,39-50,,
5:31.0,,,39-50,,T. Daniels misses 3-pt shot from 25 ft
5:28.0,,,39-50,,Offensive rebound by T. Warren
5:27.0,,,39-50,,T. Warren misses 2-pt shot at rim (block by K. Looney)
5:27.0,Defensive rebound by Team,,39-50,,
5:16.0,D. Green makes 2-pt shot from 1 ft,2,41-50,,
5:05.0,,,41-50,,Offensive foul by D. Bender (drawn by N. Young)
5:05.0,,,41-50,,Turnover by D. Bender (offensive foul)
5:05.0,Technical foul by N. Young,,41-50,,
5:05.0,,,41-51,1,T. Daniels makes technical free throw
5:05.0,,,41-51,,J. Jackson enters the game for T. Warren
4:47.0,N. Young misses 3-pt shot from 23 ft,,41-51,,
4:44.0,Offensive rebound by D. Green,,41-51,,
4:44.0,Turnover by D. Green (bad pass),,41-51,,
4:44.0,,,41-51,,M. Chriss enters the game for D. Bender
4:33.0,,,41-51,,M. Chriss misses 2-pt shot from 1 ft
4:31.0,Defensive rebound by N. Young,,41-51,,
4:13.0,Turnover by D. West (lost ball; steal by M. Chriss),,41-51,,
4:13.0,Personal foul by D. Green (drawn by M. Chriss),,41-51,,
4:13.0,,,41-52,1,M. Chriss makes clear path free throw 1 of 2
4:13.0,,,41-52,,M. Chriss misses clear path free throw 2 of 2
4:13.0,,,41-52,,Offensive rebound by Team
4:13.0,,,41-52,,A. Len enters the game for J. Dudley
4:13.0,J. McGee enters the game for D. West,,41-52,,
3:57.0,,,41-52,,Offensive charge foul by M. Chriss (drawn by D. Green)
3:57.0,,,41-52,,Turnover by M. Chriss (offensive foul)
3:54.0,,,41-52,,D. Bender enters the game for M. Chriss
3:38.0,Q. Cook misses 3-pt shot from 24 ft,,41-52,,
3:35.0,,,41-52,,Defensive rebound by J. Jackson
3:29.0,,,41-52,,J. Jackson misses 2-pt shot from 8 ft
3:28.0,Defensive rebound by N. Young,,41-52,,
3:24.0,N. Young makes 3-pt shot from 24 ft,3,44-52,,
3:07.0,,,44-52,,E. Payton misses 2-pt shot from 18 ft
3:05.0,Defensive rebound by D. Green,,44-52,,
2:47.0,N. Young misses 3-pt shot from 24 ft,,44-52,,
2:44.0,Offensive rebound by D. Green,,44-52,,
2:42.0,Q. Cook misses 2-pt shot from 13 ft,,44-52,,
2:39.0,,,44-52,,Defensive rebound by T. Daniels
2:23.0,,,44-54,2,J. Jackson makes 2-pt shot from 7 ft
2:13.0,D. Green misses 2-pt shot from 17 ft,,44-54,,
2:10.0,,,44-54,,Defensive rebound by A. Len
1:59.0,Personal foul by K. Looney (drawn by J. Jackson),,44-54,,
1:59.0,,,44-54,,Phoenix full timeout
1:59.0,,,44-54,,T. Warren enters the game for D. Bender
1:59.0,S. Livingston enters the game for K. Looney,,44-54,,
1:59.0,A. Iguodala enters the game for N. Young,,44-54,,
1:51.0,,,44-54,,Shooting foul by S. Livingston (drawn by T. Daniels)
1:51.0,,,44-55,1,T. Daniels makes free throw 1 of 3
1:51.0,,,44-55,,T. Daniels misses free throw 2 of 3
1:51.0,,,44-55,,Offensive rebound by Team
1:51.0,,,44-56,1,T. Daniels makes free throw 3 of 3
1:32.0,A. Iguodala makes 2-pt shot from 14 ft,2,46-56,,
1:32.0,Shooting foul by E. Payton (drawn by A. Iguodala),,46-56,,
1:32.0,A. Iguodala makes free throw 1 of 1,1,47-56,,
1:16.0,,,47-58,2,A. Len makes 2-pt shot at rim (assist by T. Daniels)
1:13.0,Turnover by J. McGee (turnover),,47-58,,
1:11.0,,,47-58,,Turnover by E. Payton (bad pass)
1:06.0,S. Livingston makes 2-pt shot from 13 ft,2,49-58,,
1:06.0,Shooting foul by A. Len (drawn by S. Livingston),,49-58,,
1:06.0,S. Livingston makes free throw 1 of 1,1,50-58,,
0:52.0,,,50-58,,Shooting foul by J. McGee (drawn by E. Payton)
0:52.0,,,50-59,1,E. Payton makes free throw 1 of 2
0:52.0,K. Looney enters the game for J. McGee,,50-59,,
0:52.0,,,50-60,1,E. Payton makes free throw 2 of 2
0:44.0,S. Livingston makes 2-pt shot from 11 ft,2,52-60,,
0:29.0,,,52-60,,E. Payton misses 2-pt shot from 11 ft
0:27.0,Defensive rebound by D. Green,,52-60,,
0:09.0,D. Green misses 2-pt shot from 20 ft,,52-60,,
0:05.0,,,52-60,,Defensive rebound by J. Jackson
0:01.0,,,52-60,,Turnover by J. Jackson (bad pass)
0:00.0,Turnover by A. Iguodala (bad pass; steal by T. Warren),,52-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,52-62,2,E. Payton makes 2-pt shot at rim
11:46.0,,,52-62,,Shooting foul by Z. Pachulia (drawn by E. Payton)
11:46.0,,,52-62,,E. Payton misses free throw 1 of 1
11:43.0,Defensive rebound by Z. Pachulia,,52-62,,
11:30.0,N. Young misses 3-pt shot from 25 ft (block by T. Warren),,52-62,,
11:25.0,Offensive rebound by Z. Pachulia,,52-62,,
11:23.0,D. Green makes 2-pt shot from 9 ft,2,54-62,,
11:23.0,Shooting foul by T. Daniels (drawn by D. Green),,54-62,,
11:23.0,D. Green misses free throw 1 of 1,,54-62,,
11:20.0,Offensive rebound by A. Iguodala,,54-62,,
11:17.0,Turnover by Q. Cook (lost ball; steal by T. Daniels),,54-62,,
11:05.0,,,54-64,2,E. Payton makes 2-pt shot from 20 ft
10:57.0,D. Green misses 3-pt shot from 26 ft,,54-64,,
10:54.0,,,54-64,,Defensive rebound by A. Len
10:51.0,,,54-64,,T. Daniels misses 3-pt shot from 25 ft
10:47.0,Defensive rebound by Z. Pachulia,,54-64,,
10:37.0,D. Green misses 2-pt shot at rim (block by D. Bender),,54-64,,
10:34.0,,,54-64,,Defensive rebound by A. Len
10:31.0,,,54-64,,D. Bender misses 3-pt shot from 25 ft
10:27.0,Defensive rebound by Z. Pachulia,,54-64,,
10:20.0,A. Iguodala misses 2-pt shot at rim,,54-64,,
10:20.0,Z. Pachulia misses 2-pt shot from 1 ft,,54-64,,
10:20.0,Offensive rebound by Z. Pachulia,,54-64,,
10:20.0,Offensive rebound by Z. Pachulia,,54-64,,
10:18.0,Z. Pachulia misses 2-pt shot at rim,,54-64,,
10:16.0,Offensive rebound by N. Young,,54-64,,
10:01.0,D. Green makes 3-pt shot from 25 ft (assist by Q. Cook),3,57-64,,
9:40.0,,,57-67,3,T. Warren makes 3-pt shot from 25 ft (assist by E. Payton)
9:23.0,Q. Cook makes 3-pt shot from 25 ft (assist by Z. Pachulia),3,60-67,,
9:08.0,,,60-67,,Turnover by D. Bender (lost ball; steal by Q. Cook)
9:02.0,Turnover by D. Green (bad pass; steal by T. Daniels),,60-67,,
8:56.0,,,60-67,,Turnover by T. Daniels (lost ball; steal by Q. Cook)
8:56.0,,,60-67,,Personal foul by T. Daniels (drawn by Q. Cook)
8:43.0,D. Green makes 2-pt shot from 1 ft,2,62-67,,
8:20.0,,,62-67,,A. Len misses 2-pt shot from 1 ft
8:20.0,,,62-67,,Offensive rebound by A. Len
8:20.0,,,62-67,,Shooting foul by Z. Pachulia (drawn by A. Len)
8:20.0,,,62-68,1,A. Len makes free throw 1 of 2
8:20.0,,,62-69,1,A. Len makes free throw 2 of 2
8:04.0,D. Green misses 2-pt shot from 1 ft,,62-69,,
8:02.0,,,62-69,,Defensive rebound by D. Bender
7:57.0,,,62-69,,Turnover by T. Warren (step out of bounds)
7:44.0,,,62-69,,Away from play foul by T. Warren (drawn by Z. Pachulia)
7:39.0,A. Iguodala makes 2-pt shot at rim (assist by D. Green),2,64-69,,
7:39.0,Shooting foul by T. Daniels (drawn by A. Iguodala),,64-69,,
7:39.0,A. Iguodala makes free throw 1 of 1,1,65-69,,
7:25.0,,,65-69,,E. Payton misses 2-pt shot from 20 ft
7:25.0,Defensive rebound by A. Iguodala,,65-69,,
7:16.0,D. Green misses 3-pt shot from 26 ft,,65-69,,
7:16.0,,,65-69,,Defensive rebound by T. Warren
7:11.0,Personal foul by N. Young (drawn by T. Warren),,65-69,,
7:11.0,,,65-69,,J. Jackson enters the game for E. Payton
7:11.0,,,65-69,,S. Harrison enters the game for T. Daniels
7:03.0,,,65-69,,Turnover by T. Warren (bad pass)
6:49.0,A. Iguodala makes 3-pt shot from 24 ft (assist by D. Green),3,68-69,,
6:49.0,,,68-69,,Phoenix full timeout
6:31.0,,,68-69,,A. Len misses 2-pt shot from 3 ft
6:29.0,Defensive rebound by Q. Cook,,68-69,,
6:18.0,,,68-69,,Personal foul by J. Jackson (drawn by N. Young)
6:18.0,N. Young makes free throw 1 of 2,1,69-69,,
6:18.0,J. Bell enters the game for A. Iguodala,,69-69,,
6:18.0,N. Young makes free throw 2 of 2,1,70-69,,
6:02.0,,,70-71,2,J. Jackson makes 2-pt shot from 17 ft
5:51.0,,,70-71,,J. Dudley enters the game for A. Len
5:47.0,Q. Cook makes 2-pt shot from 1 ft (assist by J. Bell),2,72-71,,
5:47.0,Shooting foul by S. Harrison (drawn by Q. Cook),,72-71,,
5:47.0,Q. Cook makes free throw 1 of 1,1,73-71,,
5:30.0,,,73-71,,T. Warren misses 2-pt shot from 2 ft
5:29.0,Defensive rebound by D. Green,,73-71,,
5:24.0,D. Green makes 2-pt shot from 1 ft,2,75-71,,
5:24.0,Shooting foul by J. Dudley (drawn by D. Green),,75-71,,
5:24.0,D. Green makes free throw 1 of 1,1,76-71,,
5:17.0,Personal foul by Q. Cook (drawn by S. Harrison),,76-71,,
5:10.0,,,76-71,,Turnover by J. Jackson (out of bounds lost ball)
5:01.0,Q. Cook makes 2-pt shot from 22 ft,2,78-71,,
5:01.0,,,78-71,,Phoenix full timeout
4:46.0,,,78-74,3,J. Dudley makes 3-pt shot from 22 ft (assist by J. Jackson)
4:26.0,Z. Pachulia makes 2-pt shot at rim (assist by Q. Cook),2,80-74,,
4:12.0,,,80-74,,S. Harrison misses 2-pt shot from 4 ft
4:09.0,Defensive rebound by N. Young,,80-74,,
4:04.0,Q. Cook makes 3-pt shot from 24 ft (assist by J. Bell),3,83-74,,
3:40.0,,,83-74,,S. Harrison misses 3-pt shot from 25 ft
3:36.0,Defensive rebound by D. Green,,83-74,,
3:34.0,Q. Cook makes 3-pt shot from 25 ft (assist by D. Green),3,86-74,,
3:15.0,,,86-76,2,J. Jackson makes 2-pt shot from 11 ft (assist by J. Dudley)
3:00.0,Offensive foul by Z. Pachulia (drawn by S. Harrison),,86-76,,
3:00.0,Turnover by Z. Pachulia (offensive foul),,86-76,,
3:00.0,,,86-76,,T. Daniels enters the game for T. Warren
3:00.0,,,86-76,,M. Chriss enters the game for D. Bender
3:00.0,S. Livingston enters the game for N. Young,,86-76,,
3:00.0,K. Looney enters the game for Z. Pachulia,,86-76,,
2:51.0,,,86-76,,Turnover by J. Jackson (bad pass; steal by J. Bell)
2:48.0,J. Bell makes 2-pt shot at rim,2,88-76,,
2:34.0,,,88-76,,Shooting foul by J. Bell (drawn by J. Dudley)
2:34.0,,,88-77,1,J. Dudley makes free throw 1 of 3
2:34.0,,,88-78,1,J. Dudley makes free throw 2 of 3
2:34.0,,,88-78,,T. Ulis enters the game for S. Harrison
2:34.0,,,88-79,1,J. Dudley makes free throw 3 of 3
2:10.0,D. Green misses 2-pt shot from 14 ft,,88-79,,
2:06.0,,,88-79,,Defensive rebound by M. Chriss
1:55.0,,,88-79,,T. Daniels misses 3-pt shot from 22 ft
1:52.0,,,88-79,,Offensive rebound by M. Chriss
1:51.0,,,88-79,,Shooting foul by D. Green (drawn by J. Jackson)
1:51.0,,,88-80,1,J. Jackson makes free throw 1 of 2
1:51.0,,,88-81,1,J. Jackson makes free throw 2 of 2
1:32.0,D. Green misses 3-pt shot from 26 ft,,88-81,,
1:27.0,,,88-81,,Defensive rebound by J. Dudley
1:18.0,,,88-83,2,T. Daniels makes 2-pt shot at rim (assist by J. Jackson)
1:17.0,Golden State full timeout,,88-83,,
1:17.0,N. Young enters the game for D. Green,,88-83,,
1:01.0,K. Looney makes 2-pt shot from 15 ft (assist by J. Bell),2,90-83,,
0:42.0,,,90-83,,M. Chriss misses 2-pt shot from 1 ft
0:39.0,Defensive rebound by J. Bell,,90-83,,
0:31.0,K. Looney makes 2-pt shot at rim (assist by S. Livingston),2,92-83,,
0:11.0,,,92-83,,Turnover by T. Ulis (lost ball; steal by J. Bell)
0:07.0,Q. Cook makes 2-pt shot at rim,2,94-83,,
0:01.0,,,94-85,2,J. Jackson makes 2-pt shot from 16 ft
0:01.0,K. Looney misses 3-pt shot from 68 ft,,94-85,,
0:01.0,Offensive rebound by Team,,94-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,Shooting foul by T. Ulis (drawn by S. Livingston),,94-85,,
11:44.0,S. Livingston makes free throw 1 of 2,1,95-85,,
11:44.0,S. Livingston makes free throw 2 of 2,1,96-85,,
11:24.0,,,96-85,,J. Jackson misses 2-pt shot from 4 ft (block by K. Looney)
11:21.0,Defensive rebound by N. Young,,96-85,,
11:15.0,,,96-85,,Personal foul by T. Ulis (drawn by N. Young)
11:15.0,,,96-85,,E. Payton enters the game for T. Ulis
11:11.0,D. West makes 2-pt shot from 19 ft (assist by S. Livingston),2,98-85,,
10:53.0,,,98-87,2,M. Chriss makes 2-pt shot from 16 ft (assist by E. Payton)
10:34.0,K. Looney makes 2-pt shot at rim (assist by A. Iguodala),2,100-87,,
10:25.0,,,100-89,2,M. Chriss makes 2-pt shot at rim (assist by J. Jackson)
10:09.0,D. West misses 2-pt shot from 7 ft,,100-89,,
10:06.0,,,100-89,,Defensive rebound by J. Dudley
9:58.0,,,100-89,,Shooting foul by D. West (drawn by M. Chriss)
9:58.0,,,100-90,1,M. Chriss makes free throw 1 of 2
9:58.0,,,100-90,,D. Bender enters the game for J. Dudley
9:58.0,,,100-90,,M. Chriss misses free throw 2 of 2
9:55.0,Defensive rebound by A. Iguodala,,100-90,,
9:41.0,N. Young misses 3-pt shot from 24 ft,,100-90,,
9:38.0,,,100-90,,Defensive rebound by M. Chriss
9:32.0,,,100-90,,J. Jackson misses 2-pt shot from 9 ft (block by K. Looney)
9:30.0,Defensive rebound by D. West,,100-90,,
9:23.0,D. West makes 2-pt shot from 4 ft,2,102-90,,
9:13.0,,,102-90,,M. Chriss misses 3-pt shot from 24 ft
9:09.0,Defensive rebound by K. Looney,,102-90,,
9:04.0,N. Young makes 2-pt shot from 14 ft (assist by A. Iguodala),2,104-90,,
9:02.0,,,104-90,,Phoenix full timeout
9:02.0,,,104-90,,T. Warren enters the game for T. Daniels
8:46.0,,,104-92,2,J. Jackson makes 2-pt shot from 12 ft (assist by D. Bender)
8:20.0,A. Iguodala misses 3-pt shot from 24 ft,,104-92,,
8:17.0,,,104-92,,Defensive rebound by D. Bender
8:12.0,,,104-94,2,M. Chriss makes 2-pt shot at rim (assist by J. Jackson)
7:45.0,K. Looney misses 2-pt shot from 17 ft,,104-94,,
7:42.0,,,104-94,,Defensive rebound by M. Chriss
7:37.0,,,104-94,,D. Bender misses 3-pt shot from 24 ft
7:34.0,Defensive rebound by A. Iguodala,,104-94,,
7:19.0,S. Livingston makes 2-pt shot at rim (assist by D. West),2,106-94,,
7:01.0,,,106-94,,Turnover by M. Chriss (bad pass)
7:01.0,J. Bell enters the game for K. Looney,,106-94,,
7:01.0,D. Green enters the game for A. Iguodala,,106-94,,
7:01.0,Q. Cook enters the game for S. Livingston,,106-94,,
6:48.0,D. West makes 2-pt shot from 11 ft (assist by Q. Cook),2,108-94,,
6:27.0,,,108-94,,T. Warren misses 2-pt shot from 20 ft
6:24.0,Defensive rebound by D. Green,,108-94,,
6:12.0,D. Green makes 2-pt shot at rim (assist by D. West),2,110-94,,
6:01.0,,,110-96,2,E. Payton makes 2-pt shot from 4 ft
5:44.0,Q. Cook makes 2-pt shot from 1 ft (assist by J. Bell),2,112-96,,
5:38.0,,,112-96,,J. Jackson misses 3-pt shot from 26 ft
5:34.0,Defensive rebound by J. Bell,,112-96,,
5:25.0,D. Green misses 2-pt shot at rim,,112-96,,
5:23.0,,,112-96,,Defensive rebound by M. Chriss
5:19.0,,,112-96,,Shooting foul by J. Bell (drawn by J. Jackson)
5:19.0,,,112-97,1,J. Jackson makes free throw 1 of 2
5:19.0,,,112-97,,S. Harrison enters the game for M. Chriss
5:19.0,,,112-97,,J. Dudley enters the game for T. Warren
5:19.0,,,112-98,1,J. Jackson makes free throw 2 of 2
