time,Indiana,pts.away,score,pts.home,Toronto
4:28.0,D. Sabonis enters the game for T. Young,,19-18,,
4:28.0,D. Collison makes free throw 2 of 2,1,20-18,,
4:15.0,,,20-18,,D. DeRozan misses 2-pt shot from 11 ft
4:13.0,Defensive rebound by M. Turner,,20-18,,
4:04.0,M. Turner makes 2-pt shot from 1 ft (assist by D. Collison),2,22-18,,
3:57.0,,,22-18,,Toronto full timeout
3:57.0,,,22-18,,P. Siakam enters the game for S. Ibaka
3:57.0,C. Joseph enters the game for D. Collison,,22-18,,
3:47.0,,,22-18,,P. Siakam misses 2-pt shot from 8 ft
3:45.0,Defensive rebound by C. Joseph,,22-18,,
3:42.0,V. Oladipo makes 2-pt shot from 1 ft (assist by C. Joseph),2,24-18,,
3:22.0,,,24-18,,D. DeRozan misses 2-pt shot from 13 ft
3:19.0,Defensive rebound by M. Turner,,24-18,,
3:15.0,V. Oladipo misses 3-pt shot from 25 ft,,24-18,,
3:10.0,,,24-18,,Defensive rebound by C. Miles
3:05.0,,,24-18,,P. Siakam misses 3-pt shot from 22 ft
3:02.0,Defensive rebound by B. Bogdanovic,,24-18,,
2:53.0,Shooting foul by J. Poeltl (drawn by D. Sabonis),,24-18,,
2:53.0,D. Sabonis makes free throw 1 of 2,1,25-18,,
2:53.0,,,25-18,,F. VanVleet enters the game for K. Lowry
2:53.0,D. Sabonis makes free throw 2 of 2,1,26-18,,
2:35.0,,,26-21,3,C. Miles makes 3-pt shot from 26 ft (assist by F. VanVleet)
2:20.0,M. Turner makes 2-pt shot from 1 ft (assist by V. Oladipo),2,28-21,,
2:06.0,,,28-21,,Turnover by P. Siakam (bad pass; steal by V. Oladipo)
2:06.0,,,28-21,,Personal block foul by C. Miles (drawn by V. Oladipo)
2:06.0,T. Leaf enters the game for V. Oladipo,,28-21,,
2:06.0,L. Stephenson enters the game for M. Turner,,28-21,,
1:51.0,C. Joseph misses 3-pt shot from 27 ft,,28-21,,
1:47.0,,,28-21,,Defensive rebound by P. Siakam
1:38.0,,,28-23,2,J. Poeltl makes 2-pt shot from 1 ft (assist by P. Siakam)
1:19.0,Turnover by L. Stephenson (bad pass; steal by J. Poeltl),,28-23,,
1:15.0,,,28-25,2,F. VanVleet makes 2-pt shot at rim (assist by D. DeRozan)
1:06.0,,,28-25,,N. Powell enters the game for D. DeRozan
0:52.0,L. Stephenson makes 2-pt shot from 13 ft,2,30-25,,
0:36.0,,,30-25,,F. VanVleet misses 2-pt shot from 2 ft
0:33.0,,,30-25,,Offensive rebound by J. Poeltl
0:33.0,,,30-27,2,J. Poeltl makes 2-pt shot at rim
0:29.0,,,30-27,,Personal foul by C. Miles (drawn by C. Joseph)
0:29.0,C. Joseph makes free throw 1 of 2,1,31-27,,
0:29.0,D. Collison enters the game for B. Bogdanovic,,31-27,,
0:29.0,C. Joseph makes free throw 2 of 2,1,32-27,,
0:10.0,,,32-27,,P. Siakam misses 2-pt shot from 5 ft
0:09.0,Defensive rebound by D. Sabonis,,32-27,,
0:00.0,L. Stephenson misses 2-pt shot from 1 ft (block by C. Miles),,32-27,,
0:00.0,Offensive rebound by D. Sabonis,,32-27,,
0:00.0,D. Sabonis misses 2-pt shot at rim,,32-27,,
0:00.0,Offensive rebound by Team,,32-27,,
0:00.0,Technical foul by L. Stephenson,,32-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,,,32-28,1,C. Miles makes free throw 1 of 1
11:51.0,,,32-31,3,C. Miles makes 3-pt shot from 26 ft (assist by F. VanVleet)
11:34.0,C. Joseph misses 2-pt shot from 5 ft,,32-31,,
11:34.0,Offensive rebound by D. Sabonis,,32-31,,
11:23.0,D. Sabonis misses 2-pt shot from 11 ft,,32-31,,
11:23.0,,,32-31,,Defensive rebound by F. VanVleet
11:13.0,,,32-33,2,F. VanVleet makes 2-pt shot from 2 ft
10:56.0,L. Stephenson misses 2-pt shot from 20 ft,,32-33,,
10:53.0,Offensive rebound by T. Leaf,,32-33,,
10:52.0,T. Leaf makes 2-pt shot from 3 ft,2,34-33,,
10:33.0,,,34-33,,C. Miles misses 3-pt shot from 27 ft
10:33.0,Defensive rebound by Team,,34-33,,
10:13.0,T. Leaf misses 2-pt shot from 8 ft (block by N. Powell),,34-33,,
10:13.0,Offensive rebound by Team,,34-33,,
10:10.0,L. Stephenson misses 3-pt shot from 29 ft,,34-33,,
10:07.0,Offensive rebound by T. Leaf,,34-33,,
10:05.0,T. Leaf makes 2-pt shot at rim,2,36-33,,
9:56.0,,,36-35,2,J. Poeltl makes 2-pt shot from 1 ft (assist by N. Powell)
9:49.0,Turnover by C. Joseph (bad pass),,36-35,,
9:38.0,,,36-37,2,P. Siakam makes 2-pt shot from 1 ft (assist by C. Miles)
9:38.0,Indiana full timeout,,36-37,,
9:38.0,T. Young enters the game for T. Leaf,,36-37,,
9:21.0,D. Sabonis misses 2-pt shot from 7 ft,,36-37,,
9:18.0,,,36-37,,Defensive rebound by C. Miles
9:14.0,,,36-40,3,F. VanVleet makes 3-pt shot from 22 ft (assist by N. Powell)
8:53.0,Turnover by D. Sabonis (lost ball; steal by C. Miles),,36-40,,
8:48.0,,,36-40,,N. Powell misses 3-pt shot from 23 ft
8:45.0,,,36-40,,Offensive rebound by Team
8:45.0,V. Oladipo enters the game for D. Collison,,36-40,,
8:39.0,,,36-42,2,J. Poeltl makes 2-pt shot from 2 ft (assist by P. Siakam)
8:39.0,Violation by D. Sabonis (def goaltending),,36-42,,
8:15.0,L. Stephenson makes 3-pt shot from 24 ft (assist by T. Young),3,39-42,,
7:51.0,,,39-42,,Turnover by P. Siakam (bad pass; steal by C. Joseph)
7:49.0,,,39-42,,Personal foul by N. Powell (drawn by C. Joseph)
7:49.0,,,39-42,,K. Lowry enters the game for C. Miles
7:36.0,V. Oladipo makes 3-pt shot from 22 ft (assist by C. Joseph),3,42-42,,
7:16.0,,,42-42,,N. Powell misses 3-pt shot from 25 ft
7:13.0,Defensive rebound by C. Joseph,,42-42,,
7:00.0,C. Joseph makes 2-pt shot from 15 ft,2,44-42,,
6:39.0,,,44-44,2,N. Powell makes 2-pt shot from 1 ft
6:26.0,D. Sabonis misses 2-pt shot from 5 ft,,44-44,,
6:24.0,,,44-44,,Defensive rebound by K. Lowry
6:20.0,,,44-46,2,P. Siakam makes 2-pt shot from 1 ft (assist by N. Powell)
5:59.0,T. Young misses 2-pt shot from 8 ft,,44-46,,
5:53.0,Offensive rebound by D. Sabonis,,44-46,,
5:53.0,D. Sabonis makes 2-pt shot at rim,2,46-46,,
5:48.0,,,46-46,,Toronto full timeout
5:48.0,,,46-46,,J. Valanciunas enters the game for F. VanVleet
5:48.0,,,46-46,,D. DeRozan enters the game for J. Poeltl
5:48.0,,,46-46,,S. Ibaka enters the game for P. Siakam
5:48.0,B. Bogdanovic enters the game for L. Stephenson,,46-46,,
5:48.0,M. Turner enters the game for D. Sabonis,,46-46,,
5:40.0,,,46-46,,N. Powell misses 3-pt shot from 25 ft
5:36.0,Defensive rebound by T. Young,,46-46,,
5:26.0,V. Oladipo makes 2-pt shot from 18 ft,2,48-46,,
5:05.0,,,48-46,,Offensive foul by S. Ibaka (drawn by V. Oladipo)
5:05.0,,,48-46,,Turnover by S. Ibaka (offensive foul)
5:05.0,,,48-46,,O. Anunoby enters the game for N. Powell
4:47.0,V. Oladipo makes 2-pt shot from 19 ft (assist by M. Turner),2,50-46,,
4:31.0,,,50-46,,Turnover by O. Anunoby (bad pass; steal by V. Oladipo)
4:26.0,V. Oladipo makes 2-pt shot at rim,2,52-46,,
4:05.0,,,52-48,2,J. Valanciunas makes 2-pt shot from 3 ft
3:47.0,V. Oladipo makes 2-pt shot from 19 ft (assist by T. Young),2,54-48,,
3:36.0,,,54-48,,K. Lowry misses 3-pt shot from 25 ft
3:33.0,Defensive rebound by M. Turner,,54-48,,
3:30.0,Shooting foul by O. Anunoby (drawn by V. Oladipo),,54-48,,
3:30.0,V. Oladipo misses free throw 1 of 2,,54-48,,
3:30.0,Offensive rebound by Team,,54-48,,
3:30.0,V. Oladipo misses free throw 2 of 2,,54-48,,
3:27.0,,,54-48,,Defensive rebound by S. Ibaka
3:16.0,,,54-48,,J. Valanciunas misses 2-pt shot from 3 ft (block by T. Young)
3:13.0,,,54-48,,Offensive rebound by J. Valanciunas
3:11.0,,,54-51,3,K. Lowry makes 3-pt shot from 27 ft (assist by J. Valanciunas)
2:58.0,T. Young makes 2-pt shot from 4 ft (assist by C. Joseph),2,56-51,,
2:47.0,,,56-53,2,S. Ibaka makes 2-pt shot from 3 ft (assist by D. DeRozan)
2:29.0,T. Young misses 3-pt shot from 24 ft,,56-53,,
2:26.0,,,56-53,,Defensive rebound by S. Ibaka
2:17.0,,,56-53,,D. DeRozan misses 2-pt shot from 13 ft
2:15.0,,,56-53,,Offensive rebound by D. DeRozan
2:15.0,,,56-53,,Shooting foul by M. Turner (drawn by D. DeRozan)
2:15.0,,,56-54,1,D. DeRozan makes free throw 1 of 2
2:15.0,D. Collison enters the game for C. Joseph,,56-54,,
2:15.0,,,56-55,1,D. DeRozan makes free throw 2 of 2
1:54.0,D. Collison makes 2-pt shot from 16 ft,2,58-55,,
1:46.0,,,58-57,2,D. DeRozan makes 2-pt shot at rim (assist by K. Lowry)
1:24.0,Turnover by D. Collison (lost ball; steal by O. Anunoby),,58-57,,
1:23.0,,,58-59,2,O. Anunoby makes 2-pt shot from 1 ft
1:23.0,,,58-59,,Shooting foul by T. Young (drawn by O. Anunoby)
1:23.0,,,58-60,1,O. Anunoby makes free throw 1 of 1
1:12.0,V. Oladipo misses 2-pt shot from 2 ft (block by J. Valanciunas),,58-60,,
1:12.0,,,58-60,,Defensive rebound by K. Lowry
0:58.0,,,58-60,,J. Valanciunas misses 2-pt shot from 3 ft
0:56.0,Defensive rebound by B. Bogdanovic,,58-60,,
0:52.0,D. Collison misses 2-pt shot from 2 ft,,58-60,,
0:49.0,,,58-60,,Defensive rebound by J. Valanciunas
0:42.0,,,58-62,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by K. Lowry)
0:42.0,,,58-62,,Shooting foul by M. Turner (drawn by J. Valanciunas)
0:42.0,,,58-62,,F. VanVleet enters the game for O. Anunoby
0:42.0,D. Sabonis enters the game for M. Turner,,58-62,,
0:42.0,,,58-63,1,J. Valanciunas makes free throw 1 of 1
0:29.0,V. Oladipo misses 3-pt shot from 25 ft,,58-63,,
0:28.0,,,58-63,,Defensive rebound by D. DeRozan
0:09.0,,,58-65,2,D. DeRozan makes 2-pt shot from 6 ft
0:00.0,T. Young misses 3-pt shot from 23 ft,,58-65,,
0:00.0,Offensive rebound by Team,,58-65,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,58-65,,O. Anunoby misses 2-pt shot from 16 ft
11:43.0,Defensive rebound by Team,,58-65,,
11:43.0,,,58-65,,Loose ball foul by J. Valanciunas (drawn by M. Turner)
11:21.0,M. Turner makes 2-pt shot from 19 ft (assist by D. Collison),2,60-65,,
11:08.0,,,60-67,2,D. DeRozan makes 2-pt shot from 18 ft
10:56.0,T. Young misses 2-pt shot from 20 ft,,60-67,,
10:53.0,,,60-67,,Defensive rebound by S. Ibaka
10:48.0,,,60-67,,J. Valanciunas misses 2-pt shot from 12 ft
10:48.0,Defensive rebound by V. Oladipo,,60-67,,
10:36.0,M. Turner makes 2-pt shot from 17 ft (assist by V. Oladipo),2,62-67,,
10:21.0,,,62-69,2,D. DeRozan makes 2-pt shot from 5 ft
10:13.0,V. Oladipo misses 2-pt shot from 2 ft,,62-69,,
10:10.0,,,62-69,,Defensive rebound by J. Valanciunas
9:55.0,,,62-69,,K. Lowry misses 3-pt shot from 25 ft
9:52.0,Defensive rebound by V. Oladipo,,62-69,,
9:35.0,Turnover by V. Oladipo (bad pass; steal by D. DeRozan),,62-69,,
9:31.0,,,62-71,2,D. DeRozan makes 2-pt shot from 1 ft
9:11.0,T. Young makes 2-pt shot from 3 ft (assist by V. Oladipo),2,64-71,,
8:57.0,,,64-73,2,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan)
8:56.0,Indiana full timeout,,64-73,,
8:45.0,D. Collison makes 3-pt shot from 26 ft,3,67-73,,
8:26.0,,,67-76,3,K. Lowry makes 3-pt shot from 24 ft (assist by D. DeRozan)
8:12.0,,,67-76,,Personal foul by K. Lowry (drawn by D. Collison)
8:02.0,V. Oladipo makes 2-pt shot at rim,2,69-76,,
7:42.0,,,69-78,2,J. Valanciunas makes 2-pt shot from 7 ft
7:27.0,V. Oladipo makes 2-pt shot from 20 ft,2,71-78,,
7:15.0,Violation by B. Bogdanovic (kicked ball),,71-78,,
7:08.0,,,71-81,3,S. Ibaka makes 3-pt shot from 24 ft (assist by K. Lowry)
6:50.0,V. Oladipo makes 3-pt shot from 24 ft,3,74-81,,
6:41.0,,,74-81,,Offensive foul by K. Lowry (drawn by D. Collison)
6:41.0,,,74-81,,Turnover by K. Lowry (offensive foul)
6:28.0,Turnover by T. Young (out of bounds lost ball),,74-81,,
6:14.0,Personal foul by B. Bogdanovic (drawn by D. DeRozan),,74-81,,
6:06.0,,,74-81,,O. Anunoby misses 3-pt shot from 25 ft
6:01.0,Defensive rebound by M. Turner,,74-81,,
5:58.0,V. Oladipo makes 2-pt shot from 17 ft (assist by D. Collison),2,76-81,,
5:43.0,,,76-81,,Shooting foul by D. Collison (drawn by K. Lowry)
5:39.0,,,76-81,,D. DeRozan misses 2-pt shot from 6 ft
5:39.0,,,76-81,,Offensive rebound by J. Valanciunas
5:31.0,,,76-81,,J. Valanciunas misses 2-pt shot at rim
5:30.0,,,76-81,,Offensive rebound by J. Valanciunas
5:30.0,,,76-83,2,J. Valanciunas makes 2-pt shot at rim
5:23.0,D. Collison misses 2-pt shot from 19 ft,,76-83,,
5:23.0,,,76-83,,Defensive rebound by J. Valanciunas
5:12.0,,,76-85,2,D. DeRozan makes 2-pt shot from 7 ft
4:52.0,M. Turner misses 2-pt shot from 3 ft,,76-85,,
4:49.0,,,76-85,,Defensive rebound by J. Valanciunas
4:44.0,Personal foul by D. Collison (drawn by K. Lowry),,76-85,,
4:44.0,D. Sabonis enters the game for T. Young,,76-85,,
4:36.0,,,76-85,,D. DeRozan misses 2-pt shot from 12 ft
4:33.0,Defensive rebound by D. Sabonis,,76-85,,
4:29.0,V. Oladipo makes 2-pt shot from 1 ft,2,78-85,,
4:15.0,,,78-85,,S. Ibaka misses 2-pt shot from 15 ft
4:13.0,Defensive rebound by D. Collison,,78-85,,
4:08.0,,,78-85,,Shooting block foul by S. Ibaka (drawn by M. Turner)
4:08.0,M. Turner makes free throw 1 of 2,1,79-85,,
4:08.0,,,79-85,,J. Poeltl enters the game for J. Valanciunas
4:08.0,,,79-85,,Toronto full timeout
4:08.0,,,79-85,,C. Miles enters the game for O. Anunoby
4:08.0,M. Turner makes free throw 2 of 2,1,80-85,,
3:55.0,,,80-88,3,S. Ibaka makes 3-pt shot from 25 ft (assist by K. Lowry)
3:40.0,Shooting foul by S. Ibaka (drawn by D. Sabonis),,80-88,,
3:40.0,D. Sabonis misses free throw 1 of 2,,80-88,,
3:40.0,Offensive rebound by Team,,80-88,,
3:40.0,D. Sabonis misses free throw 2 of 2,,80-88,,
3:38.0,,,80-88,,Defensive rebound by S. Ibaka
3:29.0,,,80-88,,K. Lowry misses 3-pt shot from 25 ft
3:26.0,Defensive rebound by V. Oladipo,,80-88,,
3:15.0,B. Bogdanovic makes 2-pt shot from 13 ft (assist by V. Oladipo),2,82-88,,
3:03.0,,,82-90,2,S. Ibaka makes 2-pt shot from 12 ft (assist by K. Lowry)
2:50.0,D. Sabonis misses 2-pt shot from 5 ft,,82-90,,
2:50.0,Offensive rebound by M. Turner,,82-90,,
2:45.0,M. Turner makes 2-pt shot at rim,2,84-90,,
2:34.0,,,84-90,,S. Ibaka misses 2-pt shot from 12 ft
2:33.0,Defensive rebound by V. Oladipo,,84-90,,
2:21.0,B. Bogdanovic misses 2-pt shot from 19 ft,,84-90,,
2:20.0,,,84-90,,Defensive rebound by Team
2:20.0,,,84-90,,F. VanVleet enters the game for K. Lowry
2:20.0,C. Joseph enters the game for V. Oladipo,,84-90,,
2:09.0,,,84-90,,D. DeRozan misses 2-pt shot from 11 ft
2:09.0,Defensive rebound by Team,,84-90,,
2:09.0,,,84-90,,Loose ball foul by J. Poeltl (drawn by B. Bogdanovic)
2:09.0,B. Bogdanovic makes free throw 1 of 2,1,85-90,,
2:09.0,,,85-90,,P. Siakam enters the game for S. Ibaka
2:09.0,B. Bogdanovic makes free throw 2 of 2,1,86-90,,
1:54.0,,,86-90,,C. Miles misses 3-pt shot from 30 ft
1:52.0,Defensive rebound by B. Bogdanovic,,86-90,,
1:47.0,D. Collison misses 2-pt shot from 16 ft,,86-90,,
1:44.0,,,86-90,,Defensive rebound by J. Poeltl
1:34.0,,,86-92,2,J. Poeltl makes 2-pt shot from 3 ft (assist by F. VanVleet)
1:17.0,B. Bogdanovic misses 2-pt shot from 1 ft,,86-92,,
1:15.0,,,86-92,,Defensive rebound by F. VanVleet
1:05.0,,,86-92,,D. DeRozan misses 2-pt shot from 12 ft
1:04.0,Defensive rebound by C. Joseph,,86-92,,
0:59.0,C. Joseph misses 2-pt shot from 2 ft (block by D. DeRozan),,86-92,,
0:56.0,,,86-92,,Defensive rebound by F. VanVleet
0:52.0,,,86-92,,D. DeRozan misses 2-pt shot from 2 ft
0:52.0,,,86-92,,Offensive rebound by P. Siakam
0:50.0,,,86-92,,Shooting foul by D. Sabonis (drawn by P. Siakam)
0:50.0,,,86-92,,P. Siakam misses free throw 1 of 2
0:50.0,,,86-92,,Offensive rebound by Team
0:50.0,,,86-92,,N. Powell enters the game for D. DeRozan
0:50.0,L. Stephenson enters the game for M. Turner,,86-92,,
0:50.0,T. Young enters the game for B. Bogdanovic,,86-92,,
0:50.0,,,86-92,,P. Siakam misses free throw 2 of 2
0:47.0,Defensive rebound by C. Joseph,,86-92,,
0:32.0,D. Sabonis misses 2-pt shot from 1 ft,,86-92,,
0:31.0,,,86-92,,Defensive rebound by C. Miles
0:15.0,,,86-94,2,J. Poeltl makes 2-pt shot at rim (assist by F. VanVleet)
0:03.0,C. Joseph makes 3-pt shot from 26 ft (assist by D. Collison),3,89-94,,
0:00.0,,,89-94,,P. Siakam misses 3-pt shot from 48 ft
0:00.0,,,89-94,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,Shooting foul by F. VanVleet (drawn by V. Oladipo),,89-94,,
11:43.0,V. Oladipo makes free throw 1 of 2,1,90-94,,
11:43.0,V. Oladipo makes free throw 2 of 2,1,91-94,,
11:27.0,Personal foul by L. Stephenson (drawn by F. VanVleet),,91-94,,
11:20.0,,,91-94,,Turnover by P. Siakam (bad pass; steal by D. Sabonis)
11:13.0,C. Joseph misses 2-pt shot from 1 ft (block by J. Poeltl),,91-94,,
11:13.0,Offensive rebound by T. Young,,91-94,,
11:08.0,T. Young makes 2-pt shot at rim,2,93-94,,
11:04.0,,,93-96,2,J. Poeltl makes 2-pt shot from 2 ft (assist by N. Powell)
11:04.0,,,93-96,,Shooting foul by T. Young (drawn by J. Poeltl)
11:04.0,,,93-97,1,J. Poeltl makes free throw 1 of 1
10:47.0,D. Sabonis misses 2-pt shot from 2 ft,,93-97,,
10:42.0,Offensive rebound by D. Sabonis,,93-97,,
10:42.0,D. Sabonis misses 2-pt shot at rim,,93-97,,
10:42.0,,,93-97,,Defensive rebound by J. Poeltl
10:39.0,,,93-97,,C. Miles misses 3-pt shot from 27 ft
10:37.0,,,93-97,,Offensive rebound by Team
10:24.0,,,93-97,,N. Powell misses 3-pt shot from 22 ft
10:21.0,,,93-97,,Offensive rebound by J. Poeltl
10:14.0,,,93-97,,F. VanVleet misses 2-pt shot from 3 ft (block by V. Oladipo)
10:12.0,Defensive rebound by D. Sabonis,,93-97,,
10:07.0,C. Joseph misses 3-pt shot from 25 ft,,93-97,,
10:03.0,,,93-97,,Defensive rebound by N. Powell
10:00.0,,,93-99,2,N. Powell makes 2-pt shot from 5 ft
10:00.0,Personal block foul by V. Oladipo (drawn by N. Powell),,93-99,,
10:00.0,Turnover by V. Oladipo (turnover),,93-99,,
10:00.0,,,93-100,1,N. Powell makes free throw 1 of 1
9:47.0,V. Oladipo misses 3-pt shot from 26 ft,,93-100,,
9:44.0,,,93-100,,Defensive rebound by N. Powell
9:36.0,,,93-100,,C. Miles misses 3-pt shot from 25 ft
9:36.0,Defensive rebound by T. Young,,93-100,,
9:25.0,L. Stephenson misses 2-pt shot from 2 ft,,93-100,,
9:25.0,Offensive rebound by D. Sabonis,,93-100,,
9:21.0,D. Sabonis makes 2-pt shot at rim,2,95-100,,
9:10.0,,,95-100,,F. VanVleet misses 2-pt shot from 2 ft (block by V. Oladipo)
9:10.0,Defensive rebound by V. Oladipo,,95-100,,
8:54.0,Jump ball: J. Poeltl vs. D. Sabonis (F. VanVleet gains possession),,,,Jump ball: J. Poeltl vs. D. Sabonis (F. VanVleet gains possession)
8:54.0,Turnover by V. Oladipo (out of bounds lost ball),,95-100,,
8:52.0,,,95-100,,C. Miles misses 3-pt shot from 26 ft
8:49.0,,,95-100,,Offensive rebound by P. Siakam
8:46.0,,,95-103,3,N. Powell makes 3-pt shot from 27 ft (assist by F. VanVleet)
8:31.0,Shooting foul by F. VanVleet (drawn by V. Oladipo),,95-103,,
8:31.0,V. Oladipo makes free throw 1 of 3,1,96-103,,
8:31.0,V. Oladipo makes free throw 2 of 3,1,97-103,,
8:31.0,,,97-103,,K. Lowry enters the game for C. Miles
8:31.0,V. Oladipo makes free throw 3 of 3,1,98-103,,
8:16.0,,,98-105,2,N. Powell makes 2-pt shot at rim
8:06.0,,,98-105,,Personal block foul by P. Siakam (drawn by T. Young)
8:00.0,Offensive charge foul by D. Sabonis (drawn by K. Lowry),,98-105,,
8:00.0,Turnover by D. Sabonis (offensive foul),,98-105,,
7:38.0,,,98-107,2,F. VanVleet makes 2-pt shot from 2 ft
7:38.0,Indiana full timeout,,98-107,,
7:38.0,M. Turner enters the game for V. Oladipo,,98-107,,
7:38.0,D. Collison enters the game for D. Sabonis,,98-107,,
7:18.0,C. Joseph misses 2-pt shot from 5 ft,,98-107,,
7:16.0,,,98-107,,Defensive rebound by J. Poeltl
7:12.0,,,98-107,,K. Lowry misses 3-pt shot from 25 ft
7:09.0,,,98-107,,Offensive rebound by K. Lowry
7:06.0,,,98-109,2,J. Poeltl makes 2-pt shot at rim (assist by F. VanVleet)
6:53.0,D. Collison misses 2-pt shot from 1 ft (block by J. Poeltl),,98-109,,
6:50.0,,,98-109,,Defensive rebound by F. VanVleet
6:48.0,,,98-111,2,K. Lowry makes 2-pt shot from 1 ft
6:48.0,Indiana full timeout,,98-111,,
6:48.0,B. Bogdanovic enters the game for L. Stephenson,,98-111,,
6:24.0,C. Joseph misses 2-pt shot from 3 ft,,98-111,,
