time,Memphis,pts.away,score,pts.home,LA Clippers
6:25.0,,,49-47,1,D. Jordan makes free throw 2 of 2
6:01.0,T. Evans makes 2-pt shot from 3 ft,2,51-47,,
5:48.0,Personal foul by T. Evans (drawn by M. Teodosic),,51-47,,
5:40.0,,,51-47,,M. Teodosic misses 2-pt shot from 17 ft
5:39.0,,,51-47,,Offensive rebound by Team
5:37.0,,,51-47,,C. Williams misses 2-pt shot from 1 ft
5:32.0,,,51-47,,Offensive rebound by M. Teodosic
5:30.0,,,51-47,,L. Williams misses 3-pt shot from 23 ft
5:30.0,Defensive rebound by W. Selden,,51-47,,
5:20.0,Turnover by D. Davis (out of bounds lost ball),,51-47,,
5:04.0,,,51-47,,B. Griffin misses 2-pt shot from 2 ft (block by J. Green)
5:02.0,Defensive rebound by T. Evans,,51-47,,
5:00.0,W. Selden makes 2-pt shot from 1 ft (assist by T. Evans),2,53-47,,
4:56.0,,,53-49,2,D. Jordan makes 2-pt shot from 2 ft (assist by M. Teodosic)
4:56.0,,,53-49,,Shooting foul by D. Davis (drawn by D. Jordan)
4:56.0,J. Martin enters the game for J. Green,,53-49,,
4:56.0,,,53-50,1,D. Jordan makes free throw 1 of 1
4:39.0,T. Evans misses 2-pt shot from 2 ft,,53-50,,
4:37.0,,,53-50,,Defensive rebound by D. Jordan
4:29.0,,,53-52,2,L. Williams makes 2-pt shot from 4 ft (assist by M. Teodosic)
4:14.0,W. Selden misses 2-pt shot from 11 ft,,53-52,,
4:11.0,Offensive rebound by W. Selden,,53-52,,
4:09.0,W. Selden misses 2-pt shot from 3 ft,,53-52,,
4:09.0,,,53-52,,Defensive rebound by D. Jordan
4:08.0,,,53-52,,Shooting foul by J. Martin (drawn by L. Williams)
4:08.0,,,53-53,1,L. Williams makes free throw 1 of 2
4:08.0,,,53-54,1,L. Williams makes free throw 2 of 2
4:07.0,Memphis full timeout,,53-54,,
4:07.0,J. Ennis enters the game for W. Selden,,53-54,,
4:07.0,B. Wright enters the game for D. Davis,,53-54,,
4:07.0,M. Gasol enters the game for J. Martin,,53-54,,
4:01.0,M. Gasol misses 2-pt shot from 12 ft,,53-54,,
3:59.0,,,53-54,,Defensive rebound by B. Griffin
3:37.0,,,53-56,2,B. Griffin makes 2-pt shot from 16 ft
3:24.0,D. Brooks makes 3-pt shot from 25 ft (assist by M. Gasol),2,56-56,,
3:10.0,,,56-58,2,D. Jordan makes 2-pt shot at rim (assist by L. Williams)
2:48.0,B. Wright makes 2-pt shot from 2 ft (assist by J. Ennis),2,58-58,,
2:27.0,,,58-61,3,M. Teodosic makes 3-pt shot from 25 ft
2:14.0,M. Gasol misses 3-pt shot from 26 ft,,58-61,,
2:12.0,,,58-61,,Defensive rebound by B. Griffin
2:05.0,,,58-63,2,B. Griffin makes 2-pt shot from 2 ft
1:43.0,J. Ennis misses 2-pt shot from 1 ft,,58-63,,
1:40.0,,,58-63,,Defensive rebound by D. Jordan
1:30.0,,,58-63,,B. Griffin misses 2-pt shot from 5 ft
1:27.0,Defensive rebound by B. Wright,,58-63,,
1:23.0,B. Wright misses 2-pt shot from 1 ft (block by M. Teodosic),,58-63,,
1:19.0,,,58-63,,Defensive rebound by M. Teodosic
1:14.0,,,58-63,,Turnover by B. Griffin (bad pass; steal by M. Gasol)
1:08.0,D. Brooks misses 3-pt shot from 23 ft,,58-63,,
1:05.0,,,58-63,,Defensive rebound by M. Teodosic
1:05.0,,,58-63,,Technical foul by D. Jordan
1:05.0,M. Gasol makes technical free throw,1,59-63,,
0:54.0,,,59-65,2,L. Williams makes 2-pt shot from 10 ft (assist by D. Jordan)
0:36.0,D. Brooks makes 3-pt shot from 25 ft (assist by B. Wright),3,62-65,,
0:34.0,Personal foul by J. Ennis (drawn by L. Williams),,62-65,,
0:34.0,,,62-66,1,L. Williams makes free throw 1 of 2
0:34.0,,,62-66,,W. Johnson enters the game for M. Teodosic
0:34.0,,,62-67,1,L. Williams makes free throw 2 of 2
0:23.0,Offensive foul by T. Evans (drawn by C. Williams),,62-67,,
0:23.0,Turnover by T. Evans (offensive foul),,62-67,,
0:23.0,,,62-67,,M. Teodosic enters the game for W. Johnson
0:01.0,,,62-67,,Turnover by L. Williams (turnover)
0:01.0,,,62-67,,W. Johnson enters the game for L. Williams
0:01.0,,,62-67,,S. Thornwell enters the game for M. Teodosic
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
12:00.0,,,62-68,1,B. Griffin makes technical free throw
11:48.0,Turnover by T. Evans (bad pass; steal by C. Williams),,62-68,,
11:45.0,,,62-70,2,C. Williams makes 2-pt shot at rim
11:26.0,M. Gasol misses 2-pt shot from 22 ft,,62-70,,
11:23.0,,,62-70,,Defensive rebound by W. Johnson
11:07.0,,,62-72,2,W. Johnson makes 2-pt shot from 17 ft (assist by B. Griffin)
10:53.0,J. Green makes 2-pt shot from 1 ft (assist by M. Gasol),2,64-72,,
10:31.0,,,64-72,,Turnover by C. Williams (lost ball; steal by T. Evans)
10:28.0,T. Evans makes 2-pt shot from 2 ft,2,66-72,,
10:05.0,,,66-72,,M. Teodosic misses 3-pt shot from 26 ft
10:03.0,Defensive rebound by J. Green,,66-72,,
10:01.0,,,66-72,,Personal block foul by W. Johnson (drawn by T. Evans)
9:54.0,,,66-72,,Personal foul by C. Williams (drawn by T. Evans)
9:42.0,J. Green misses 3-pt shot from 24 ft,,66-72,,
9:38.0,Offensive rebound by J. Green,,66-72,,
9:28.0,T. Evans misses 3-pt shot from 26 ft,,66-72,,
9:28.0,,,66-72,,Defensive rebound by Team
9:21.0,,,66-72,,B. Griffin misses 2-pt shot at rim
9:19.0,Defensive rebound by D. Brooks,,66-72,,
9:06.0,Turnover by J. Green (out of bounds lost ball),,66-72,,
9:00.0,,,66-72,,Offensive foul by M. Teodosic (drawn by A. Harrison)
9:00.0,,,66-72,,Turnover by M. Teodosic (offensive foul)
8:39.0,M. Gasol makes 2-pt shot from 18 ft (assist by D. Brooks),2,68-72,,
8:22.0,Personal foul by A. Harrison (drawn by M. Teodosic),,68-72,,
8:13.0,,,68-75,3,C. Williams makes 3-pt shot from 23 ft (assist by B. Griffin)
7:57.0,D. Brooks makes 2-pt shot from 15 ft,2,70-75,,
7:42.0,,,70-75,,M. Teodosic misses 2-pt shot from 16 ft
7:39.0,Defensive rebound by A. Harrison,,70-75,,
7:33.0,A. Harrison misses 2-pt shot from 16 ft,,70-75,,
7:31.0,,,70-75,,Defensive rebound by C. Williams
7:18.0,,,70-75,,Turnover by D. Jordan (bad pass; steal by T. Evans)
7:13.0,D. Brooks misses 2-pt shot from 1 ft,,70-75,,
7:12.0,Offensive rebound by T. Evans,,70-75,,
7:12.0,Shooting foul by C. Williams (drawn by T. Evans),,70-75,,
7:12.0,,,70-75,,LA Clippers full timeout
7:12.0,,,70-75,,L. Williams enters the game for C. Williams
7:12.0,J. Ennis enters the game for D. Brooks,,70-75,,
7:12.0,M. Chalmers enters the game for A. Harrison,,70-75,,
7:12.0,T. Evans misses free throw 1 of 2,,70-75,,
7:12.0,Offensive rebound by Team,,70-75,,
7:12.0,T. Evans makes free throw 2 of 2,1,71-75,,
7:05.0,Personal foul by J. Ennis (drawn by L. Williams),,71-75,,
6:56.0,,,71-75,,M. Teodosic misses 3-pt shot from 27 ft
6:52.0,Defensive rebound by T. Evans,,71-75,,
6:49.0,T. Evans misses 2-pt shot from 1 ft,,71-75,,
6:49.0,Offensive rebound by T. Evans,,71-75,,
6:44.0,M. Chalmers makes 3-pt shot from 25 ft (assist by T. Evans),3,74-75,,
6:36.0,,,74-75,,Turnover by M. Teodosic (bad pass)
6:27.0,J. Ennis misses 3-pt shot from 25 ft,,74-75,,
6:19.0,Offensive rebound by J. Green,,74-75,,
6:19.0,J. Green makes 2-pt shot at rim,2,76-75,,
6:05.0,,,76-75,,Turnover by M. Teodosic (bad pass)
6:05.0,A. Harrison enters the game for T. Evans,,76-75,,
5:51.0,M. Gasol misses 2-pt shot from 12 ft,,76-75,,
5:46.0,Offensive rebound by J. Green,,76-75,,
5:46.0,J. Green makes 2-pt shot at rim,2,78-75,,
5:37.0,,,78-75,,M. Teodosic misses 3-pt shot from 27 ft
5:33.0,,,78-75,,Offensive rebound by D. Jordan
5:24.0,,,78-75,,Turnover by L. Williams (bad pass)
5:24.0,,,78-75,,J. Evans enters the game for M. Teodosic
5:15.0,Offensive foul by J. Green (drawn by J. Evans),,78-75,,
5:15.0,Turnover by J. Green (offensive foul),,78-75,,
5:15.0,,,78-75,,S. Thornwell enters the game for W. Johnson
5:15.0,J. Martin enters the game for J. Green,,78-75,,
4:54.0,,,78-75,,B. Griffin misses 2-pt shot from 20 ft
4:49.0,Defensive rebound by M. Chalmers,,78-75,,
4:45.0,Shooting foul by J. Evans (drawn by M. Chalmers),,78-75,,
4:45.0,M. Chalmers makes free throw 1 of 2,1,79-75,,
4:45.0,M. Chalmers makes free throw 2 of 2,1,80-75,,
4:33.0,,,80-75,,Turnover by L. Williams (lost ball; steal by M. Chalmers)
4:16.0,,,80-75,,Personal foul by S. Thornwell (drawn by M. Gasol)
4:16.0,M. Gasol makes free throw 1 of 2,1,81-75,,
4:16.0,M. Gasol makes free throw 2 of 2,1,82-75,,
4:01.0,,,82-77,2,J. Evans makes 2-pt shot at rim (assist by B. Griffin)
3:51.0,A. Harrison makes 2-pt shot at rim,2,84-77,,
3:26.0,,,84-77,,B. Griffin misses 3-pt shot from 28 ft
3:23.0,Defensive rebound by A. Harrison,,84-77,,
3:18.0,A. Harrison misses 2-pt shot from 1 ft (block by S. Thornwell),,84-77,,
3:17.0,,,84-77,,Defensive rebound by B. Griffin
3:17.0,Personal take foul by M. Chalmers (drawn by B. Griffin),,84-77,,
3:17.0,,,84-77,,W. Reed enters the game for D. Jordan
3:02.0,,,84-77,,Offensive charge foul by L. Williams (drawn by A. Harrison)
3:02.0,,,84-77,,Turnover by L. Williams (offensive foul)
2:42.0,M. Gasol misses 2-pt shot from 8 ft,,84-77,,
2:42.0,,,84-77,,Defensive rebound by Team
2:42.0,Memphis full timeout,,84-77,,
2:29.0,,,84-80,3,L. Williams makes 3-pt shot from 28 ft
2:03.0,A. Harrison misses 3-pt shot from 26 ft,,84-80,,
1:57.0,Offensive rebound by A. Harrison,,84-80,,
1:53.0,J. Ennis misses 3-pt shot from 24 ft,,84-80,,
1:50.0,,,84-80,,Defensive rebound by S. Thornwell
1:46.0,,,84-80,,L. Williams misses 3-pt shot from 29 ft
1:46.0,Defensive rebound by M. Gasol,,84-80,,
1:32.0,M. Gasol misses 3-pt shot from 27 ft,,84-80,,
1:31.0,,,84-80,,Defensive rebound by Team
1:31.0,,,84-80,,S. Dekker enters the game for B. Griffin
1:31.0,T. Evans enters the game for A. Harrison,,84-80,,
1:31.0,D. Davis enters the game for M. Gasol,,84-80,,
1:17.0,,,84-82,2,W. Reed makes 2-pt shot from 1 ft (assist by J. Evans)
0:59.0,M. Chalmers misses 3-pt shot from 27 ft,,84-82,,
0:56.0,,,84-82,,Defensive rebound by J. Evans
0:49.0,,,84-84,2,L. Williams makes 2-pt shot from 16 ft
0:33.0,Turnover by T. Evans (bad pass),,84-84,,
0:13.0,,,84-84,,Shooting foul by M. Chalmers (drawn by L. Williams)
0:13.0,,,84-85,1,L. Williams makes free throw 1 of 2
0:13.0,,,84-86,1,L. Williams makes free throw 2 of 2
0:00.0,T. Evans misses 2-pt shot at rim,,84-86,,
0:00.0,Offensive rebound by Team,,84-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,84-88,2,S. Dekker makes 2-pt shot from 1 ft
11:25.0,A. Harrison misses 2-pt shot from 9 ft,,84-88,,
11:20.0,,,84-88,,Defensive rebound by S. Thornwell
11:11.0,,,84-88,,W. Reed misses 2-pt shot from 1 ft (block by D. Davis)
11:07.0,Defensive rebound by J. Martin,,84-88,,
11:03.0,T. Evans misses 2-pt shot from 4 ft (block by S. Thornwell),,84-88,,
11:03.0,,,84-88,,Defensive rebound by Team
11:03.0,Loose ball foul by D. Davis (drawn by W. Reed),,84-88,,
10:54.0,,,84-88,,Shooting foul by D. Davis (drawn by S. Dekker)
10:54.0,,,84-89,1,S. Dekker makes free throw 1 of 2
10:54.0,J. Green enters the game for J. Martin,,84-89,,
10:54.0,B. Wright enters the game for D. Davis,,84-89,,
10:54.0,,,84-89,,S. Dekker misses free throw 2 of 2
10:52.0,Defensive rebound by J. Green,,84-89,,
10:37.0,T. Evans misses 3-pt shot from 26 ft,,84-89,,
10:37.0,,,84-89,,Defensive rebound by Team
10:23.0,,,84-89,,Shooting foul by J. Green (drawn by S. Dekker)
10:23.0,,,84-90,1,S. Dekker makes free throw 1 of 2
10:23.0,,,84-90,,S. Dekker misses free throw 2 of 2
10:20.0,Defensive rebound by A. Harrison,,84-90,,
10:04.0,Turnover by A. Harrison (bad pass; steal by S. Dekker),,84-90,,
10:01.0,,,84-92,2,J. Evans makes 2-pt shot from 1 ft (assist by S. Thornwell)
10:00.0,Memphis full timeout,,84-92,,
10:00.0,M. Chalmers enters the game for A. Harrison,,84-92,,
9:39.0,,,84-92,,Personal foul by J. Evans (drawn by T. Evans)
9:27.0,Shooting foul by L. Williams (drawn by J. Green),,84-92,,
9:27.0,J. Green makes free throw 1 of 2,1,85-92,,
9:27.0,J. Green makes free throw 2 of 2,1,86-92,,
9:13.0,,,86-92,,Shooting foul by B. Wright (drawn by L. Williams)
9:13.0,,,86-93,1,L. Williams makes free throw 1 of 2
9:13.0,,,86-93,,M. Teodosic enters the game for J. Evans
9:13.0,,,86-94,1,L. Williams makes free throw 2 of 2
8:52.0,T. Evans makes 2-pt shot from 1 ft,2,88-94,,
8:40.0,Personal foul by J. Green (drawn by L. Williams),,88-94,,
8:40.0,M. Gasol enters the game for J. Green,,88-94,,
8:40.0,,,88-95,1,L. Williams makes free throw 1 of 2
8:40.0,,,88-96,1,L. Williams makes free throw 2 of 2
8:21.0,Turnover by B. Wright (bad pass),,88-96,,
8:03.0,,,88-96,,Turnover by L. Williams (bad pass)
7:51.0,Shooting foul by M. Teodosic (drawn by M. Gasol),,88-96,,
7:51.0,M. Gasol makes free throw 1 of 2,1,89-96,,
7:51.0,M. Gasol makes free throw 2 of 2,1,90-96,,
7:41.0,,,90-98,2,M. Teodosic makes 2-pt shot from 15 ft
7:19.0,B. Wright misses 2-pt shot from 12 ft,,90-98,,
7:17.0,,,90-98,,Defensive rebound by W. Reed
7:07.0,,,90-98,,L. Williams misses 3-pt shot from 27 ft
7:03.0,Defensive rebound by M. Chalmers,,90-98,,
6:42.0,Turnover by T. Evans (bad pass; steal by S. Thornwell),,90-98,,
6:37.0,,,90-100,2,L. Williams makes 2-pt shot at rim
6:37.0,,,90-100,,Shooting foul by M. Chalmers (drawn by L. Williams)
6:37.0,,,90-100,,B. Griffin enters the game for S. Dekker
6:37.0,,,90-100,,D. Jordan enters the game for W. Reed
6:37.0,,,90-101,1,L. Williams makes free throw 1 of 1
6:34.0,Memphis full timeout,,90-101,,
6:34.0,W. Selden enters the game for J. Ennis,,90-101,,
6:34.0,J. Martin enters the game for B. Wright,,90-101,,
6:18.0,Shooting foul by L. Williams (drawn by M. Chalmers),,90-101,,
6:18.0,M. Chalmers misses free throw 1 of 2,,90-101,,
6:18.0,Offensive rebound by Team,,90-101,,
6:18.0,M. Chalmers makes free throw 2 of 2,1,91-101,,
5:56.0,,,91-101,,S. Thornwell misses 3-pt shot from 22 ft
5:54.0,Defensive rebound by J. Martin,,91-101,,
5:45.0,J. Martin makes 2-pt shot from 13 ft (assist by T. Evans),2,93-101,,
5:21.0,,,93-101,,B. Griffin misses 2-pt shot from 9 ft
5:19.0,Defensive rebound by M. Gasol,,93-101,,
5:07.0,J. Martin misses 3-pt shot from 25 ft,,93-101,,
5:02.0,,,93-101,,Defensive rebound by B. Griffin
4:55.0,,,93-101,,LA Clippers full timeout
4:55.0,,,93-101,,C. Williams enters the game for S. Thornwell
4:44.0,,,93-101,,Turnover by B. Griffin (lost ball; steal by J. Martin)
4:41.0,J. Martin makes 2-pt shot from 2 ft,2,95-101,,
4:23.0,,,95-101,,L. Williams misses 2-pt shot from 6 ft
4:20.0,Defensive rebound by W. Selden,,95-101,,
4:16.0,Shooting foul by D. Jordan (drawn by T. Evans),,95-101,,
4:16.0,T. Evans misses free throw 1 of 2,,95-101,,
4:16.0,Offensive rebound by Team,,95-101,,
4:16.0,T. Evans makes free throw 2 of 2,1,96-101,,
4:00.0,,,96-101,,Turnover by C. Williams (bad pass; steal by J. Martin)
3:48.0,W. Selden misses 3-pt shot from 22 ft,,96-101,,
3:45.0,,,96-101,,Defensive rebound by B. Griffin
3:35.0,Personal foul by M. Chalmers (drawn by L. Williams),,96-101,,
3:35.0,,,96-102,1,L. Williams makes free throw 1 of 2
3:35.0,,,96-103,1,L. Williams makes free throw 2 of 2
3:17.0,T. Evans misses 3-pt shot from 25 ft,,96-103,,
3:14.0,Offensive rebound by J. Martin,,96-103,,
3:06.0,M. Gasol makes 2-pt shot from 1 ft (assist by W. Selden),2,98-103,,
