time,Denver,pts.away,score,pts.home,Houston
7:33.0,,,4-6,2,T. Ariza makes 2-pt shot at rim
7:19.0,N. Jokic misses 3-pt shot from 25 ft,,4-6,,
7:17.0,,,4-6,,Defensive rebound by P. Tucker
7:09.0,,,4-6,,Turnover by J. Harden (bad pass; steal by G. Harris)
7:03.0,J. Murray misses 3-pt shot from 24 ft,,4-6,,
6:58.0,Offensive rebound by W. Chandler,,4-6,,
6:57.0,Shooting foul by C. Capela (drawn by J. Murray),,4-6,,
6:57.0,,,4-6,,Houston full timeout
6:57.0,,,4-6,,N. Hilario enters the game for C. Capela
6:57.0,,,4-6,,L. Mbah a Moute enters the game for C. Paul
6:57.0,J. Murray makes free throw 1 of 2,1,5-6,,
6:57.0,J. Murray misses free throw 2 of 2,,5-6,,
6:55.0,,,5-6,,Defensive rebound by L. Mbah a Moute
6:43.0,,,5-8,2,J. Harden makes 2-pt shot from 1 ft (assist by N. Hilario)
6:35.0,W. Barton misses 3-pt shot from 25 ft,,5-8,,
6:33.0,,,5-8,,Defensive rebound by J. Harden
6:29.0,Personal foul by W. Chandler (drawn by J. Harden),,5-8,,
6:29.0,T. Lyles enters the game for W. Chandler,,5-8,,
6:24.0,,,5-10,2,J. Harden makes 2-pt shot from 1 ft
6:24.0,,,5-10,,Shooting foul by J. Murray (drawn by J. Harden)
6:24.0,,,5-11,1,J. Harden makes free throw 1 of 1
6:04.0,,,5-11,,Personal foul by P. Tucker (drawn by N. Jokic)
6:04.0,E. Mudiay enters the game for J. Murray,,5-11,,
5:57.0,G. Harris makes 3-pt shot from 22 ft (assist by T. Lyles),3,8-11,,
5:45.0,,,8-13,2,N. Hilario makes 2-pt shot at rim (assist by J. Harden)
5:32.0,W. Barton makes 2-pt shot from 15 ft,2,10-13,,
5:15.0,,,10-16,3,T. Ariza makes 3-pt shot from 23 ft (assist by N. Hilario)
4:59.0,Turnover by W. Barton (bad pass; steal by L. Mbah a Moute),,10-16,,
4:52.0,,,10-16,,Shooting foul by T. Lyles (drawn by P. Tucker)
4:52.0,Denver full timeout,,10-16,,
4:52.0,,,10-17,1,P. Tucker makes free throw 1 of 2
4:52.0,,,10-18,1,P. Tucker makes free throw 2 of 2
4:40.0,Turnover by E. Mudiay (bad pass),,10-18,,
4:30.0,,,10-20,2,J. Harden makes 2-pt shot from 13 ft
4:13.0,Turnover by W. Barton (bad pass; steal by L. Mbah a Moute),,10-20,,
4:09.0,,,10-22,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by J. Harden)
4:08.0,Denver full timeout,,10-22,,
4:08.0,M. Plumlee enters the game for N. Jokic,,10-22,,
3:57.0,G. Harris misses 3-pt shot from 27 ft,,10-22,,
3:53.0,,,10-22,,Defensive rebound by P. Tucker
3:50.0,,,10-22,,Shooting foul by M. Plumlee (drawn by N. Hilario)
3:50.0,,,10-23,1,N. Hilario makes free throw 1 of 2
3:50.0,W. Chandler enters the game for W. Barton,,10-23,,
3:50.0,,,10-24,1,N. Hilario makes free throw 2 of 2
3:32.0,W. Chandler misses 2-pt shot from 20 ft,,10-24,,
3:28.0,,,10-24,,Defensive rebound by P. Tucker
3:20.0,,,10-24,,Turnover by J. Harden (lost ball; steal by G. Harris)
3:18.0,Shooting foul by J. Harden (drawn by G. Harris),,10-24,,
3:18.0,G. Harris misses free throw 1 of 2,,10-24,,
3:18.0,Offensive rebound by Team,,10-24,,
3:18.0,,,10-24,,C. Paul enters the game for P. Tucker
3:18.0,G. Harris makes free throw 2 of 2,1,11-24,,
3:06.0,,,11-26,2,N. Hilario makes 2-pt shot from 1 ft (assist by J. Harden)
2:52.0,,,11-26,,Violation by L. Mbah a Moute (kicked ball)
2:44.0,M. Plumlee misses 2-pt shot from 9 ft,,11-26,,
2:41.0,Offensive rebound by Team,,11-26,,
2:38.0,,,11-26,,Personal foul by T. Ariza (drawn by G. Harris)
2:31.0,M. Plumlee makes 2-pt shot from 2 ft,2,13-26,,
2:17.0,,,13-26,,Turnover by L. Mbah a Moute (traveling)
2:06.0,G. Harris misses 2-pt shot from 8 ft,,13-26,,
2:05.0,,,13-26,,Defensive rebound by N. Hilario
2:00.0,,,13-29,3,T. Ariza makes 3-pt shot from 22 ft (assist by C. Paul)
1:41.0,E. Mudiay misses 2-pt shot from 20 ft,,13-29,,
1:38.0,,,13-29,,Defensive rebound by C. Paul
1:31.0,,,13-31,2,N. Hilario makes 2-pt shot from 1 ft (assist by C. Paul)
1:18.0,M. Plumlee misses 3-pt shot from 24 ft,,13-31,,
1:14.0,,,13-31,,Defensive rebound by N. Hilario
1:11.0,,,13-31,,Shooting foul by G. Harris (drawn by J. Harden)
1:11.0,,,13-32,1,J. Harden makes free throw 1 of 3
1:11.0,,,13-32,,J. Harden misses free throw 2 of 3
1:11.0,,,13-32,,Offensive rebound by Team
1:11.0,J. Murray enters the game for G. Harris,,13-32,,
1:11.0,J. Hernangomez enters the game for W. Chandler,,13-32,,
1:11.0,,,13-33,1,J. Harden makes free throw 3 of 3
1:01.0,T. Lyles misses 3-pt shot from 24 ft,,13-33,,
0:55.0,Offensive rebound by M. Plumlee,,13-33,,
0:55.0,M. Plumlee makes 2-pt shot at rim,2,15-33,,
0:52.0,,,15-36,3,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by C. Paul)
0:45.0,,,15-36,,Personal foul by L. Mbah a Moute (drawn by J. Hernangomez)
0:45.0,J. Hernangomez makes free throw 1 of 2,1,16-36,,
0:45.0,J. Hernangomez makes free throw 2 of 2,1,17-36,,
0:34.0,,,17-36,,J. Harden misses 3-pt shot from 26 ft
0:31.0,Defensive rebound by M. Plumlee,,17-36,,
0:18.0,J. Hernangomez misses 3-pt shot from 25 ft,,17-36,,
0:15.0,Offensive rebound by M. Plumlee,,17-36,,
0:13.0,Turnover by M. Plumlee (lost ball; steal by C. Paul),,17-36,,
0:01.0,,,17-36,,Turnover by J. Harden (bad pass; steal by T. Lyles)
0:00.0,T. Lyles misses 3-pt shot from 57 ft,,17-36,,
0:00.0,Offensive rebound by Team,,17-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,W. Barton misses 2-pt shot from 1 ft,,17-36,,
11:41.0,,,17-36,,Defensive rebound by P. Tucker
11:29.0,,,17-39,3,C. Paul makes 3-pt shot from 25 ft
11:19.0,N. Jokic makes 2-pt shot at rim (assist by J. Murray),2,19-39,,
11:19.0,Shooting foul by C. Capela (drawn by N. Jokic),,19-39,,
11:19.0,N. Jokic misses free throw 1 of 1,,19-39,,
11:13.0,,,19-39,,Defensive rebound by L. Mbah a Moute
11:05.0,,,19-39,,Turnover by L. Mbah a Moute (lost ball; steal by N. Jokic)
11:02.0,J. Murray makes 2-pt shot from 1 ft,2,21-39,,
10:39.0,,,21-41,2,C. Capela makes 2-pt shot from 1 ft (assist by L. Mbah a Moute)
10:30.0,Turnover by N. Jokic (bad pass),,21-41,,
10:22.0,,,21-44,3,C. Paul makes 3-pt shot from 25 ft
10:04.0,J. Murray misses 3-pt shot from 24 ft,,21-44,,
10:01.0,,,21-44,,Defensive rebound by C. Capela
9:38.0,,,21-46,2,C. Paul makes 2-pt shot from 1 ft
9:20.0,J. Hernangomez misses 3-pt shot from 22 ft,,21-46,,
9:17.0,,,21-46,,Defensive rebound by C. Capela
9:12.0,,,21-46,,T. Ariza misses 3-pt shot from 25 ft
9:09.0,Defensive rebound by W. Barton,,21-46,,
9:03.0,N. Jokic makes 2-pt shot from 2 ft (assist by J. Murray),2,23-46,,
8:51.0,,,23-48,2,C. Capela makes 2-pt shot from 1 ft (assist by C. Paul)
8:51.0,Denver full timeout,,23-48,,
8:29.0,N. Jokic misses 2-pt shot from 3 ft,,23-48,,
8:26.0,Offensive rebound by N. Jokic,,23-48,,
8:24.0,N. Jokic makes 2-pt shot from 5 ft,2,25-48,,
8:10.0,,,25-51,3,T. Ariza makes 3-pt shot from 25 ft (assist by C. Paul)
7:44.0,W. Barton misses 3-pt shot from 25 ft,,25-51,,
7:39.0,Offensive rebound by N. Jokic,,25-51,,
7:39.0,N. Jokic makes 2-pt shot at rim,2,27-51,,
7:38.0,Personal take foul by J. Hernangomez (drawn by C. Paul),,27-51,,
7:38.0,Denver full timeout,,27-51,,
7:38.0,,,27-51,,J. Harden enters the game for T. Ariza
7:38.0,M. Plumlee enters the game for N. Jokic,,27-51,,
7:16.0,,,27-51,,C. Capela misses 2-pt shot from 4 ft
7:15.0,Defensive rebound by J. Hernangomez,,27-51,,
7:07.0,Turnover by J. Murray (bad pass),,27-51,,
7:07.0,G. Harris enters the game for J. Hernangomez,,27-51,,
7:03.0,Violation by W. Barton (kicked ball),,27-51,,
6:54.0,,,27-51,,Shooting foul by J. Murray (drawn by C. Paul)
6:54.0,,,27-52,1,C. Paul makes free throw 1 of 3
6:54.0,,,27-53,1,C. Paul makes free throw 2 of 3
6:54.0,,,27-54,1,C. Paul makes free throw 3 of 3
6:53.0,W. Chandler enters the game for T. Lyles,,27-54,,
6:53.0,E. Mudiay enters the game for J. Murray,,27-54,,
6:41.0,G. Harris makes 2-pt shot from 1 ft (assist by E. Mudiay),2,29-54,,
6:30.0,,,29-56,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
6:07.0,Turnover by E. Mudiay (bad pass; steal by L. Mbah a Moute),,29-56,,
5:45.0,,,29-59,3,J. Harden makes 3-pt shot from 26 ft (assist by C. Paul)
5:22.0,G. Harris makes 2-pt shot from 20 ft (assist by W. Chandler),2,31-59,,
5:11.0,,,31-59,,Shooting foul by E. Mudiay (drawn by J. Harden)
5:11.0,,,31-59,,T. Ariza enters the game for C. Paul
5:11.0,,,31-60,1,J. Harden makes free throw 1 of 2
5:11.0,,,31-61,1,J. Harden makes free throw 2 of 2
4:47.0,E. Mudiay misses 3-pt shot from 24 ft,,31-61,,
4:42.0,,,31-61,,Defensive rebound by P. Tucker
4:38.0,,,31-61,,Turnover by J. Harden (turnover)
4:28.0,,,31-61,,Violation by T. Ariza (kicked ball)
4:18.0,Turnover by E. Mudiay (bad pass; steal by T. Ariza),,31-61,,
4:12.0,,,31-63,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
4:08.0,,,31-63,,Houston full timeout
4:08.0,,,31-63,,N. Hilario enters the game for L. Mbah a Moute
4:08.0,,,31-63,,Z. Qi enters the game for C. Capela
4:08.0,N. Jokic enters the game for M. Plumlee,,31-63,,
3:50.0,N. Jokic makes 2-pt shot from 5 ft,2,33-63,,
3:34.0,,,33-65,2,N. Hilario makes 2-pt shot from 16 ft (assist by J. Harden)
3:18.0,W. Chandler misses 2-pt shot from 6 ft (block by Z. Qi),,33-65,,
3:18.0,Offensive rebound by Team,,33-65,,
3:15.0,,,33-65,,Personal foul by N. Hilario (drawn by N. Jokic)
3:02.0,W. Barton misses 3-pt shot from 24 ft,,33-65,,
2:56.0,Offensive rebound by W. Chandler,,33-65,,
2:55.0,Turnover by W. Chandler (bad pass; steal by Z. Qi),,33-65,,
2:52.0,,,33-67,2,J. Harden makes 2-pt shot at rim (assist by Z. Qi)
2:38.0,E. Mudiay misses 2-pt shot from 16 ft,,33-67,,
2:36.0,,,33-67,,Defensive rebound by T. Ariza
2:28.0,,,33-67,,Turnover by N. Hilario (turnover)
2:12.0,E. Mudiay misses 2-pt shot at rim,,33-67,,
2:11.0,,,33-67,,Defensive rebound by P. Tucker
2:03.0,,,33-69,2,P. Tucker makes 2-pt shot from 21 ft (assist by J. Harden)
1:48.0,Shooting foul by P. Tucker (drawn by N. Jokic),,33-69,,
1:48.0,N. Jokic makes free throw 1 of 2,1,34-69,,
1:48.0,N. Jokic makes free throw 2 of 2,1,35-69,,
1:38.0,,,35-72,3,T. Ariza makes 3-pt shot from 26 ft (assist by J. Harden)
1:19.0,G. Harris makes 3-pt shot from 25 ft (assist by W. Barton),3,38-72,,
1:05.0,,,38-72,,Turnover by J. Harden (bad pass; steal by G. Harris)
1:01.0,Shooting foul by T. Ariza (drawn by W. Barton),,38-72,,
1:01.0,W. Barton makes free throw 1 of 2,1,39-72,,
1:01.0,,,39-72,,L. Mbah a Moute enters the game for P. Tucker
1:01.0,W. Barton misses free throw 2 of 2,,39-72,,
0:59.0,,,39-72,,Defensive rebound by J. Harden
0:44.0,,,39-72,,Shooting foul by W. Barton (drawn by J. Harden)
0:44.0,,,39-73,1,J. Harden makes free throw 1 of 3
0:44.0,,,39-74,1,J. Harden makes free throw 2 of 3
0:44.0,,,39-75,1,J. Harden makes free throw 3 of 3
0:33.0,,,39-75,,Personal foul by L. Mbah a Moute (drawn by E. Mudiay)
0:33.0,E. Mudiay misses free throw 1 of 2,,39-75,,
0:33.0,Offensive rebound by Team,,39-75,,
0:33.0,E. Mudiay makes free throw 2 of 2,1,40-75,,
0:26.0,,,40-75,,Z. Qi misses 3-pt shot from 25 ft
0:23.0,,,40-75,,Offensive rebound by J. Harden
0:02.0,,,40-75,,J. Harden misses 3-pt shot from 27 ft
0:01.0,,,40-75,,Offensive rebound by Z. Qi
0:00.0,,,40-75,,Z. Qi misses 2-pt shot from 5 ft (block by W. Barton)
0:00.0,Defensive rebound by G. Harris,,40-75,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,40-75,,Personal foul by C. Capela (drawn by N. Jokic)
11:30.0,N. Jokic makes 3-pt shot from 25 ft (assist by W. Barton),3,43-75,,
11:07.0,,,43-75,,Offensive foul by C. Paul (drawn by N. Jokic)
11:07.0,,,43-75,,Turnover by C. Paul (offensive foul)
10:59.0,,,43-75,,Personal foul by T. Ariza (drawn by N. Jokic)
10:49.0,W. Chandler misses 3-pt shot from 28 ft,,43-75,,
10:46.0,,,43-75,,Defensive rebound by C. Capela
10:36.0,,,43-75,,T. Ariza misses 3-pt shot from 23 ft
10:27.0,Defensive rebound by W. Chandler,,43-75,,
10:21.0,J. Murray misses 3-pt shot from 25 ft,,43-75,,
10:18.0,,,43-75,,Defensive rebound by C. Paul
10:11.0,,,43-75,,Turnover by T. Ariza (step out of bounds)
10:01.0,J. Murray makes 2-pt shot from 1 ft (assist by N. Jokic),2,45-75,,
9:42.0,,,45-75,,P. Tucker misses 3-pt shot from 22 ft
9:40.0,Defensive rebound by W. Barton,,45-75,,
9:34.0,W. Barton makes 3-pt shot from 26 ft,3,48-75,,
9:14.0,,,48-75,,J. Harden misses 3-pt shot from 23 ft
9:12.0,,,48-75,,Offensive rebound by C. Capela
9:05.0,,,48-75,,Turnover by J. Harden (traveling)
8:55.0,W. Chandler makes 2-pt shot at rim (assist by N. Jokic),2,50-75,,
8:55.0,,,50-75,,Houston full timeout
8:34.0,,,50-75,,J. Harden misses 3-pt shot from 25 ft
8:31.0,Defensive rebound by J. Murray,,50-75,,
8:20.0,N. Jokic misses 2-pt shot from 11 ft,,50-75,,
8:19.0,,,50-75,,Defensive rebound by C. Capela
8:18.0,,,50-75,,Turnover by C. Capela (lost ball; steal by N. Jokic)
8:15.0,W. Barton makes 2-pt shot at rim,2,52-75,,
8:06.0,,,52-75,,N. Hilario enters the game for C. Capela
7:59.0,,,52-75,,Shooting foul by N. Jokic (drawn by N. Hilario)
7:59.0,,,52-76,1,N. Hilario makes free throw 1 of 2
7:59.0,,,52-76,,N. Hilario misses free throw 2 of 2
7:59.0,Defensive rebound by W. Chandler,,52-76,,
7:34.0,Turnover by Team (shot clock),,52-76,,
7:14.0,,,52-78,2,N. Hilario makes 2-pt shot at rim (assist by C. Paul)
7:04.0,J. Murray misses 2-pt shot from 9 ft,,52-78,,
6:59.0,Offensive rebound by J. Murray,,52-78,,
6:53.0,W. Barton makes 3-pt shot from 26 ft (assist by J. Murray),3,55-78,,
6:44.0,,,55-81,3,C. Paul makes 3-pt shot from 24 ft
6:31.0,N. Jokic misses 2-pt shot from 22 ft,,55-81,,
6:29.0,,,55-81,,Defensive rebound by P. Tucker
6:15.0,,,55-81,,C. Paul misses 3-pt shot from 25 ft
6:11.0,Defensive rebound by J. Murray,,55-81,,
6:06.0,W. Barton makes 2-pt shot at rim,2,57-81,,
6:06.0,Shooting foul by N. Hilario (drawn by W. Barton),,57-81,,
6:06.0,,,57-81,,L. Mbah a Moute enters the game for C. Paul
6:06.0,W. Barton makes free throw 1 of 1,1,58-81,,
5:55.0,,,58-81,,Turnover by N. Hilario (bad pass; steal by W. Barton)
5:49.0,W. Barton makes 2-pt shot from 1 ft,2,60-81,,
5:37.0,,,60-84,3,T. Ariza makes 3-pt shot from 25 ft (assist by N. Hilario)
5:20.0,,,60-84,,Personal foul by N. Hilario (drawn by W. Barton)
5:04.0,N. Jokic misses 2-pt shot from 11 ft,,60-84,,
5:01.0,,,60-84,,Defensive rebound by J. Harden
4:57.0,,,60-84,,N. Hilario misses 2-pt shot at rim (block by W. Chandler)
4:55.0,Defensive rebound by W. Barton,,60-84,,
4:55.0,,,60-84,,Personal foul by L. Mbah a Moute (drawn by W. Barton)
4:55.0,W. Barton makes free throw 1 of 2,1,61-84,,
4:55.0,W. Barton makes free throw 2 of 2,1,62-84,,
4:40.0,Violation by W. Barton (kicked ball),,62-84,,
4:35.0,,,62-84,,J. Harden misses 3-pt shot from 26 ft
4:31.0,,,62-84,,Offensive rebound by N. Hilario
4:20.0,,,62-86,2,T. Ariza makes 2-pt shot from 1 ft
4:12.0,W. Barton makes 2-pt shot from 1 ft,2,64-86,,
4:03.0,,,64-86,,J. Harden misses 2-pt shot from 18 ft
4:00.0,Defensive rebound by N. Jokic,,64-86,,
3:57.0,Turnover by N. Jokic (bad pass; steal by T. Ariza),,64-86,,
3:51.0,,,64-89,3,T. Ariza makes 3-pt shot from 25 ft (assist by N. Hilario)
3:50.0,Denver full timeout,,64-89,,
3:37.0,W. Barton misses 3-pt shot from 25 ft,,64-89,,
3:34.0,,,64-89,,Defensive rebound by T. Ariza
3:28.0,,,64-92,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
3:11.0,Turnover by J. Murray (lost ball; steal by L. Mbah a Moute),,64-92,,
3:08.0,,,64-94,2,L. Mbah a Moute makes 2-pt shot from 1 ft
2:48.0,Turnover by J. Murray (bad pass; steal by N. Hilario),,64-94,,
2:43.0,,,64-94,,Turnover by J. Harden (lost ball; steal by W. Barton)
2:40.0,J. Murray makes 2-pt shot from 2 ft,2,66-94,,
2:40.0,Shooting foul by T. Ariza (drawn by J. Murray),,66-94,,
2:40.0,M. Plumlee enters the game for N. Jokic,,66-94,,
2:40.0,,,66-94,,C. Paul enters the game for T. Ariza
2:40.0,J. Murray makes free throw 1 of 1,1,67-94,,
2:22.0,,,67-96,2,J. Harden makes 2-pt shot at rim (assist by N. Hilario)
1:59.0,W. Chandler misses 3-pt shot from 25 ft,,67-96,,
1:56.0,,,67-96,,Defensive rebound by J. Harden
1:44.0,,,67-96,,J. Harden misses 3-pt shot from 25 ft
1:41.0,Defensive rebound by J. Murray,,67-96,,
1:18.0,G. Harris misses 2-pt shot from 17 ft (block by N. Hilario),,67-96,,
1:18.0,Offensive rebound by W. Barton,,67-96,,
1:18.0,Turnover by Team (shot clock),,67-96,,
1:08.0,,,67-99,3,P. Tucker makes 3-pt shot from 23 ft (assist by C. Paul)
0:53.0,Turnover by M. Plumlee (lost ball; steal by C. Paul),,67-99,,
0:51.0,,,67-101,2,C. Paul makes 2-pt shot at rim
0:35.0,,,67-101,,Personal foul by N. Hilario (drawn by M. Plumlee)
0:35.0,M. Plumlee misses free throw 1 of 2,,67-101,,
0:35.0,Offensive rebound by Team,,67-101,,
0:35.0,M. Plumlee misses free throw 2 of 2,,67-101,,
0:35.0,,,67-101,,Defensive rebound by P. Tucker
0:25.0,,,67-101,,N. Hilario misses 2-pt shot from 1 ft
0:24.0,Defensive rebound by J. Murray,,67-101,,
0:04.0,J. Murray misses 2-pt shot from 1 ft,,67-101,,
0:04.0,,,67-101,,Defensive rebound by N. Hilario
0:00.0,,,67-101,,J. Harden misses 2-pt shot at rim (block by W. Barton)
0:00.0,,,67-101,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,67-103,2,T. Black makes 2-pt shot at rim (assist by C. Paul)
11:27.0,E. Mudiay misses 3-pt shot from 27 ft,,67-103,,
11:20.0,Offensive rebound by M. Plumlee,,67-103,,
11:03.0,Turnover by E. Mudiay (lost ball; steal by C. Paul),,67-103,,
10:54.0,,,67-105,2,T. Black makes 2-pt shot at rim (assist by C. Paul)
10:53.0,Denver full timeout,,67-105,,
10:39.0,Turnover by M. Plumlee (bad pass),,67-105,,
10:16.0,,,67-108,3,C. Paul makes 3-pt shot from 24 ft
9:59.0,T. Lyles misses 2-pt shot from 13 ft,,67-108,,
9:58.0,Offensive rebound by M. Plumlee,,67-108,,
9:57.0,M. Plumlee misses 2-pt shot at rim,,67-108,,
9:57.0,M. Plumlee misses 2-pt shot at rim,,67-108,,
9:57.0,Offensive rebound by J. Hernangomez,,67-108,,
9:57.0,J. Hernangomez misses 2-pt shot from 3 ft,,67-108,,
9:57.0,Offensive rebound by J. Hernangomez,,67-108,,
9:57.0,J. Hernangomez misses 2-pt shot from 3 ft,,67-108,,
9:57.0,,,67-108,,Defensive rebound by L. Mbah a Moute
9:55.0,Defensive rebound by M. Plumlee,,67-108,,
9:33.0,,,67-108,,P. Tucker misses 3-pt shot from 25 ft
9:32.0,Defensive rebound by Team,,67-108,,
9:32.0,,,67-108,,Personal foul by T. Black (drawn by M. Plumlee)
9:14.0,M. Plumlee misses 2-pt shot from 7 ft,,67-108,,
9:12.0,,,67-108,,Defensive rebound by P. Tucker
9:02.0,,,67-111,3,L. Mbah a Moute makes 3-pt shot from 23 ft (assist by C. Paul)
8:49.0,Turnover by T. Lyles (offensive goaltending),,67-111,,
8:38.0,,,67-111,,C. Paul misses 3-pt shot from 27 ft
8:35.0,Defensive rebound by W. Barton,,67-111,,
8:27.0,W. Barton misses 2-pt shot from 6 ft (block by T. Black),,67-111,,
8:23.0,,,67-111,,Defensive rebound by L. Mbah a Moute
8:16.0,,,67-114,3,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by C. Paul)
8:13.0,Denver full timeout,,67-114,,
8:13.0,,,67-114,,Z. Qi enters the game for C. Paul
8:13.0,,,67-114,,B. Brown enters the game for P. Tucker
8:13.0,,,67-114,,B. Weber enters the game for L. Mbah a Moute
8:13.0,,,67-114,,T. Williams enters the game for T. Ariza
8:13.0,M. Beasley enters the game for W. Barton,,67-114,,
8:02.0,Turnover by T. Lyles (bad pass; steal by T. Williams),,67-114,,
7:42.0,,,67-114,,B. Brown misses 3-pt shot from 27 ft
7:41.0,Defensive rebound by Team,,67-114,,
7:41.0,,,67-114,,Violation by Z. Qi (kicked ball)
7:24.0,M. Beasley misses 2-pt shot from 2 ft,,67-114,,
7:20.0,Offensive rebound by M. Beasley,,67-114,,
7:17.0,J. Hernangomez misses 2-pt shot from 1 ft,,67-114,,
7:15.0,,,67-114,,Defensive rebound by Team
7:02.0,,,67-114,,Turnover by T. Black (traveling)
6:35.0,T. Lyles makes 2-pt shot from 2 ft (assist by E. Mudiay),2,69-114,,
6:27.0,,,69-114,,Shooting foul by J. Hernangomez (drawn by T. Williams)
6:27.0,,,69-114,,T. Williams misses free throw 1 of 2
6:27.0,,,69-114,,Offensive rebound by Team
6:27.0,,,69-115,1,T. Williams makes free throw 2 of 2
6:17.0,T. Lyles misses 3-pt shot from 25 ft,,69-115,,
6:14.0,,,69-115,,Defensive rebound by T. Black
6:06.0,,,69-115,,T. Williams misses 3-pt shot from 27 ft
6:03.0,,,69-115,,Offensive rebound by T. Black
6:01.0,,,69-115,,T. Black misses 2-pt shot at rim (block by T. Lyles)
6:01.0,,,69-115,,Offensive rebound by T. Black
5:56.0,,,69-117,2,T. Black makes 2-pt shot from 1 ft
5:43.0,J. Hernangomez misses 3-pt shot from 23 ft,,69-117,,
5:43.0,Offensive rebound by T. Lyles,,69-117,,
5:39.0,T. Lyles makes 2-pt shot from 1 ft,2,71-117,,
5:23.0,,,71-117,,B. Brown misses 2-pt shot from 18 ft
5:19.0,Defensive rebound by M. Beasley,,71-117,,
5:17.0,Turnover by M. Beasley (turnover),,71-117,,
4:58.0,,,71-117,,T. Black misses 2-pt shot from 4 ft
4:57.0,,,71-117,,Offensive rebound by Z. Qi
4:57.0,,,71-117,,Z. Qi misses 2-pt shot at rim
4:57.0,Defensive rebound by Team,,71-117,,
4:37.0,Shooting foul by T. Black (drawn by M. Beasley),,71-117,,
4:37.0,M. Beasley makes free throw 1 of 2,1,72-117,,
4:37.0,M. Beasley misses free throw 2 of 2,,72-117,,
4:35.0,,,72-117,,Defensive rebound by T. Black
4:24.0,,,72-120,3,Z. Qi makes 3-pt shot from 23 ft (assist by B. Weber)
4:12.0,Turnover by M. Beasley (bad pass; steal by B. Brown),,72-120,,
4:08.0,,,72-120,,B. Brown misses 3-pt shot from 26 ft
