time,Washington,pts.away,score,pts.home,Toronto
8:56.0,Personal foul by T. Frazier (drawn by K. Lowry),,7-2,,
8:56.0,T. Satoransky enters the game for T. Frazier,,7-2,,
8:48.0,,,7-2,,D. DeRozan misses 2-pt shot from 4 ft
8:47.0,Defensive rebound by O. Porter,,7-2,,
8:42.0,O. Porter makes 2-pt shot from 4 ft,2,9-2,,
8:30.0,,,9-2,,J. Valanciunas misses 2-pt shot from 6 ft
8:27.0,Defensive rebound by M. Morris,,9-2,,
8:18.0,M. Gortat makes 2-pt shot from 13 ft,2,11-2,,
8:08.0,,,11-2,,Toronto full timeout
7:54.0,,,11-4,2,J. Valanciunas makes 2-pt shot from 2 ft
7:31.0,O. Porter makes 2-pt shot from 12 ft,2,13-4,,
7:21.0,,,13-4,,S. Ibaka misses 3-pt shot from 27 ft
7:18.0,Defensive rebound by Team,,13-4,,
7:00.0,Shooting foul by S. Ibaka (drawn by M. Morris),,13-4,,
7:00.0,M. Morris makes free throw 1 of 2,1,14-4,,
7:00.0,M. Morris makes free throw 2 of 2,1,15-4,,
6:49.0,,,15-4,,Shooting foul by M. Morris (drawn by D. DeRozan)
6:49.0,,,15-5,1,D. DeRozan makes free throw 1 of 2
6:49.0,M. Scott enters the game for M. Morris,,15-5,,
6:49.0,,,15-6,1,D. DeRozan makes free throw 2 of 2
6:31.0,M. Gortat misses 2-pt shot from 3 ft (block by N. Powell),,15-6,,
6:28.0,Offensive rebound by T. Satoransky,,15-6,,
6:27.0,M. Scott makes 3-pt shot from 24 ft (assist by T. Satoransky),3,18-6,,
6:12.0,,,18-6,,Turnover by K. Lowry (bad pass; steal by T. Satoransky)
6:08.0,Turnover by T. Satoransky (bad pass; steal by S. Ibaka),,18-6,,
5:56.0,,,18-6,,Turnover by J. Valanciunas (bad pass; steal by O. Porter)
5:48.0,,,18-6,,Personal foul by K. Lowry (drawn by B. Beal)
5:48.0,,,18-6,,J. Poeltl enters the game for S. Ibaka
5:48.0,,,18-6,,C. Miles enters the game for J. Valanciunas
5:48.0,,,18-6,,P. Siakam enters the game for N. Powell
5:46.0,Offensive charge foul by B. Beal (drawn by J. Poeltl),,18-6,,
5:46.0,Turnover by B. Beal (offensive foul),,18-6,,
5:32.0,,,18-6,,C. Miles misses 2-pt shot from 15 ft
5:30.0,Defensive rebound by M. Gortat,,18-6,,
5:25.0,B. Beal makes 2-pt shot from 1 ft,2,20-6,,
5:25.0,Shooting foul by J. Poeltl (drawn by B. Beal),,20-6,,
5:25.0,B. Beal makes free throw 1 of 1,1,21-6,,
5:14.0,,,21-8,2,D. DeRozan makes 2-pt shot from 18 ft (assist by J. Poeltl)
4:59.0,T. Satoransky misses 2-pt shot from 11 ft,,21-8,,
4:57.0,Offensive rebound by T. Satoransky,,21-8,,
4:52.0,B. Beal makes 2-pt shot at rim (assist by T. Satoransky),2,23-8,,
4:40.0,,,23-8,,K. Lowry misses 3-pt shot from 26 ft
4:37.0,,,23-8,,Offensive rebound by D. DeRozan
4:35.0,,,23-8,,Turnover by D. DeRozan (bad pass; steal by B. Beal)
4:29.0,O. Porter makes 2-pt shot from 1 ft (assist by B. Beal),2,25-8,,
4:21.0,,,25-8,,Shooting foul by T. Satoransky (drawn by K. Lowry)
4:21.0,,,25-8,,K. Lowry misses free throw 1 of 3
4:21.0,,,25-8,,Offensive rebound by Team
4:21.0,,,25-9,1,K. Lowry makes free throw 2 of 3
4:21.0,,,25-10,1,K. Lowry makes free throw 3 of 3
4:04.0,Washington full timeout,,25-10,,
4:04.0,,,25-10,,D. Wright enters the game for K. Lowry
3:57.0,Shooting foul by J. Poeltl (drawn by B. Beal),,25-10,,
3:57.0,B. Beal misses free throw 1 of 2,,25-10,,
3:57.0,Offensive rebound by Team,,25-10,,
3:57.0,B. Beal makes free throw 2 of 2,1,26-10,,
3:43.0,,,26-10,,D. DeRozan misses 3-pt shot from 26 ft
3:40.0,,,26-10,,Offensive rebound by C. Miles
3:26.0,,,26-10,,D. DeRozan misses 2-pt shot from 5 ft
3:25.0,,,26-10,,Offensive rebound by D. DeRozan
3:25.0,,,26-10,,Shooting foul by M. Scott (drawn by P. Siakam)
3:25.0,,,26-10,,P. Siakam misses free throw 1 of 2
3:25.0,,,26-10,,Offensive rebound by Team
3:25.0,K. Oubre enters the game for O. Porter,,26-10,,
3:25.0,,,26-10,,P. Siakam misses free throw 2 of 2
3:23.0,Defensive rebound by M. Scott,,26-10,,
3:10.0,M. Gortat misses 2-pt shot from 4 ft,,26-10,,
3:08.0,Offensive rebound by T. Satoransky,,26-10,,
3:06.0,T. Satoransky misses 2-pt shot from 1 ft,,26-10,,
3:04.0,,,26-10,,Defensive rebound by P. Siakam
2:55.0,,,26-10,,C. Miles misses 3-pt shot from 26 ft
2:53.0,Defensive rebound by M. Gortat,,26-10,,
2:40.0,Turnover by M. Scott (bad pass),,26-10,,
2:40.0,,,26-10,,N. Powell enters the game for D. DeRozan
2:40.0,I. Mahinmi enters the game for M. Gortat,,26-10,,
2:28.0,,,26-10,,P. Siakam misses 2-pt shot from 6 ft
2:25.0,Defensive rebound by B. Beal,,26-10,,
2:19.0,M. Scott misses 2-pt shot from 14 ft,,26-10,,
2:19.0,,,26-10,,Defensive rebound by Team
2:18.0,Personal foul by I. Mahinmi (drawn by J. Poeltl),,26-10,,
2:18.0,,,26-10,,J. Poeltl misses free throw 1 of 2
2:18.0,,,26-10,,Offensive rebound by Team
2:18.0,,,26-10,,O. Anunoby enters the game for P. Siakam
2:18.0,J. Meeks enters the game for B. Beal,,26-10,,
2:18.0,,,26-10,,J. Poeltl misses free throw 2 of 2
2:16.0,Defensive rebound by K. Oubre,,26-10,,
1:57.0,Shooting foul by O. Anunoby (drawn by M. Scott),,26-10,,
1:57.0,M. Scott misses free throw 1 of 2,,26-10,,
1:57.0,Offensive rebound by Team,,26-10,,
1:57.0,M. Scott misses free throw 2 of 2,,26-10,,
1:55.0,,,26-10,,Defensive rebound by O. Anunoby
1:40.0,,,26-10,,Shooting foul by M. Scott (drawn by O. Anunoby)
1:40.0,,,26-10,,O. Anunoby misses free throw 1 of 2
1:40.0,,,26-10,,Offensive rebound by Team
1:40.0,,,26-10,,O. Anunoby misses free throw 2 of 2
1:38.0,Defensive rebound by K. Oubre,,26-10,,
1:23.0,I. Mahinmi misses 2-pt shot from 5 ft,,26-10,,
1:21.0,,,26-10,,Defensive rebound by N. Powell
1:15.0,,,26-13,3,D. Wright makes 3-pt shot from 25 ft (assist by N. Powell)
0:55.0,T. Satoransky misses 2-pt shot from 1 ft,,26-13,,
0:50.0,Offensive rebound by I. Mahinmi,,26-13,,
0:50.0,I. Mahinmi misses 2-pt shot at rim,,26-13,,
0:50.0,,,26-13,,Defensive rebound by J. Poeltl
0:47.0,,,26-13,,D. Wright misses 2-pt shot from 5 ft
0:44.0,Defensive rebound by I. Mahinmi,,26-13,,
0:37.0,I. Mahinmi makes 2-pt shot from 2 ft (assist by T. Satoransky),2,28-13,,
0:29.0,Shooting block foul by T. Satoransky (drawn by N. Powell),,28-13,,
0:29.0,,,28-14,1,N. Powell makes free throw 1 of 2
0:29.0,,,28-15,1,N. Powell makes free throw 2 of 2
0:10.0,,,28-15,,Personal foul by O. Anunoby (drawn by I. Mahinmi)
0:10.0,I. Mahinmi misses free throw 1 of 2,,28-15,,
0:10.0,Offensive rebound by Team,,28-15,,
0:10.0,I. Mahinmi makes free throw 2 of 2,1,29-15,,
0:04.0,,,29-17,2,J. Poeltl makes 2-pt shot at rim (assist by C. Miles)
0:00.0,K. Oubre makes 3-pt shot from 30 ft,3,32-17,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,32-17,,L. Nogueira misses 3-pt shot from 22 ft
11:43.0,Defensive rebound by M. Scott,,32-17,,
11:25.0,Turnover by I. Mahinmi (traveling),,32-17,,
11:16.0,,,32-19,2,L. Nogueira makes 2-pt shot from 2 ft (assist by D. Wright)
11:03.0,J. Meeks makes 3-pt shot from 26 ft,3,35-19,,
10:52.0,Personal foul by K. Oubre (drawn by L. Nogueira),,35-19,,
10:46.0,,,35-19,,Turnover by D. Wright (bad pass; steal by M. Scott)
10:38.0,K. Oubre misses 3-pt shot from 26 ft,,35-19,,
10:36.0,,,35-19,,Defensive rebound by O. Anunoby
10:31.0,,,35-19,,N. Powell misses 2-pt shot from 2 ft (block by M. Scott)
10:31.0,Defensive rebound by Team,,35-19,,
10:19.0,Turnover by I. Mahinmi (traveling),,35-19,,
9:57.0,,,35-21,2,L. Nogueira makes 2-pt shot from 1 ft (assist by D. Wright)
9:43.0,M. Scott misses 2-pt shot from 7 ft,,35-21,,
9:42.0,Offensive rebound by I. Mahinmi,,35-21,,
9:42.0,Shooting foul by K. Lowry (drawn by I. Mahinmi),,35-21,,
9:42.0,I. Mahinmi makes free throw 1 of 2,1,36-21,,
9:42.0,I. Mahinmi makes free throw 2 of 2,1,37-21,,
9:30.0,Personal foul by K. Oubre (drawn by K. Lowry),,37-21,,
9:20.0,,,37-21,,K. Lowry misses 2-pt shot from 2 ft
9:18.0,Defensive rebound by I. Mahinmi,,37-21,,
9:15.0,,,37-21,,S. Ibaka enters the game for O. Anunoby
9:13.0,J. Meeks misses 3-pt shot from 26 ft,,37-21,,
9:09.0,,,37-21,,Defensive rebound by L. Nogueira
9:06.0,,,37-23,2,N. Powell makes 2-pt shot from 2 ft (assist by K. Lowry)
8:48.0,J. Meeks misses 2-pt shot from 12 ft,,37-23,,
8:45.0,,,37-23,,Defensive rebound by L. Nogueira
8:38.0,,,37-23,,K. Lowry misses 3-pt shot from 28 ft
8:35.0,Defensive rebound by T. Satoransky,,37-23,,
8:29.0,Washington full timeout,,37-23,,
8:29.0,,,37-23,,D. DeRozan enters the game for D. Wright
8:29.0,M. Morris enters the game for I. Mahinmi,,37-23,,
8:29.0,T. Frazier enters the game for T. Satoransky,,37-23,,
8:25.0,Shooting foul by S. Ibaka (drawn by M. Morris),,37-23,,
8:25.0,M. Morris misses free throw 1 of 2,,37-23,,
8:25.0,Offensive rebound by Team,,37-23,,
8:25.0,M. Morris makes free throw 2 of 2,1,38-23,,
8:14.0,,,38-23,,K. Lowry misses 2-pt shot from 6 ft
8:12.0,Defensive rebound by T. Frazier,,38-23,,
8:08.0,,,38-23,,Technical foul by K. Lowry
8:08.0,,,38-23,,Technical foul by K. Lowry
8:08.0,M. Morris makes technical free throw,1,39-23,,
8:08.0,,,39-23,,D. Wright enters the game for K. Lowry
8:08.0,M. Morris makes technical free throw,1,40-23,,
8:04.0,M. Morris misses 3-pt shot from 27 ft,,40-23,,
8:02.0,,,40-23,,Defensive rebound by Team
7:42.0,,,40-23,,Turnover by D. Wright (bad pass)
7:42.0,B. Beal enters the game for J. Meeks,,40-23,,
7:27.0,M. Morris makes 2-pt shot from 18 ft (assist by T. Frazier),2,42-23,,
7:16.0,,,42-23,,Shooting foul by M. Morris
7:16.0,Technical foul by M. Morris,,42-23,,
7:16.0,,,42-24,1,D. DeRozan makes technical free throw
7:16.0,,,42-26,1,D. DeRozan makes free throw 1 of 2
7:16.0,,,42-26,1,D. DeRozan makes free throw 2 of 2
7:16.0,,,42-26,,J. Valanciunas enters the game for L. Nogueira
7:16.0,M. Gortat enters the game for M. Morris,,42-26,,
7:07.0,,,42-26,,Personal foul by J. Valanciunas (drawn by M. Gortat)
7:07.0,O. Porter enters the game for M. Scott,,42-26,,
7:02.0,Turnover by M. Gortat (bad pass; steal by N. Powell),,42-26,,
6:59.0,,,42-28,2,N. Powell makes 2-pt shot from 1 ft
6:39.0,O. Porter misses 2-pt shot from 20 ft,,42-28,,
6:36.0,,,42-28,,Defensive rebound by S. Ibaka
6:24.0,,,42-28,,D. DeRozan misses 2-pt shot from 18 ft
6:21.0,,,42-28,,Offensive rebound by D. Wright
6:19.0,,,42-28,,D. Wright misses 2-pt shot from 2 ft
6:19.0,Defensive rebound by K. Oubre,,42-28,,
6:10.0,O. Porter makes 2-pt shot from 14 ft (assist by M. Gortat),2,44-28,,
5:58.0,,,44-28,,Turnover by J. Valanciunas (bad pass; steal by K. Oubre)
5:54.0,K. Oubre makes 2-pt shot from 1 ft,2,46-28,,
5:44.0,,,46-28,,Toronto full timeout
5:44.0,,,46-28,,F. VanVleet enters the game for D. Wright
5:34.0,,,46-28,,Shooting foul by K. Oubre (drawn by D. DeRozan)
5:34.0,,,46-29,1,D. DeRozan makes free throw 1 of 2
5:34.0,T. Satoransky enters the game for K. Oubre,,46-29,,
5:34.0,,,46-29,,D. DeRozan misses free throw 2 of 2
5:28.0,Defensive rebound by M. Gortat,,46-29,,
5:10.0,B. Beal makes 2-pt shot from 1 ft,2,48-29,,
4:50.0,,,48-31,2,D. DeRozan makes 2-pt shot from 16 ft
4:34.0,,,48-31,,Personal foul by F. VanVleet (drawn by O. Porter)
4:27.0,M. Gortat misses 2-pt shot from 6 ft,,48-31,,
4:25.0,,,48-31,,Defensive rebound by S. Ibaka
4:18.0,,,48-33,2,N. Powell makes 2-pt shot from 1 ft
4:05.0,T. Frazier makes 2-pt shot from 21 ft,2,50-33,,
3:50.0,,,50-33,,D. DeRozan misses 2-pt shot from 14 ft
3:47.0,Defensive rebound by M. Gortat,,50-33,,
3:39.0,B. Beal makes 2-pt shot from 2 ft,2,52-33,,
3:19.0,,,52-36,3,N. Powell makes 3-pt shot from 24 ft (assist by D. DeRozan)
3:07.0,Shooting foul by J. Valanciunas (drawn by M. Gortat),,52-36,,
3:07.0,M. Gortat makes free throw 1 of 2,1,53-36,,
3:07.0,M. Gortat misses free throw 2 of 2,,53-36,,
3:05.0,,,53-36,,Defensive rebound by S. Ibaka
2:53.0,Personal foul by O. Porter (drawn by N. Powell),,53-36,,
2:53.0,,,53-37,1,N. Powell makes free throw 1 of 2
2:53.0,,,53-37,,C. Miles enters the game for J. Valanciunas
2:53.0,,,53-38,1,N. Powell makes free throw 2 of 2
2:34.0,B. Beal misses 2-pt shot from 5 ft,,53-38,,
2:33.0,,,53-38,,Defensive rebound by S. Ibaka
2:22.0,,,53-40,2,D. DeRozan makes 2-pt shot from 4 ft (assist by N. Powell)
2:03.0,B. Beal makes 2-pt shot from 1 ft (assist by M. Gortat),2,55-40,,
1:47.0,,,55-40,,C. Miles misses 3-pt shot from 24 ft
1:44.0,Defensive rebound by O. Porter,,55-40,,
1:40.0,B. Beal makes 3-pt shot from 26 ft (assist by O. Porter),3,58-40,,
1:23.0,,,58-42,2,N. Powell makes 2-pt shot from 1 ft (assist by F. VanVleet)
1:04.0,B. Beal makes 2-pt shot from 1 ft,2,60-42,,
0:51.0,,,60-44,2,F. VanVleet makes 2-pt shot from 3 ft
0:27.0,B. Beal makes 2-pt shot from 15 ft,2,62-44,,
0:03.0,,,62-46,2,D. DeRozan makes 2-pt shot from 7 ft
0:00.0,T. Frazier misses 3-pt shot from 34 ft,,62-46,,
0:00.0,Offensive rebound by Team,,62-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,62-46,,Turnover by D. DeRozan (lost ball; steal by M. Morris)
11:45.0,,,62-46,,Personal foul by D. DeRozan (drawn by M. Morris)
11:29.0,O. Porter makes 3-pt shot from 23 ft (assist by T. Frazier),3,65-46,,
11:06.0,,,65-49,3,S. Ibaka makes 3-pt shot from 26 ft (assist by D. Wright)
10:47.0,M. Morris misses 2-pt shot from 5 ft,,65-49,,
10:46.0,,,65-49,,Defensive rebound by S. Ibaka
10:37.0,,,65-52,3,S. Ibaka makes 3-pt shot from 26 ft (assist by D. DeRozan)
10:17.0,M. Morris makes 2-pt shot from 15 ft (assist by T. Frazier),2,67-52,,
9:56.0,,,67-52,,Turnover by S. Ibaka (lost ball; steal by M. Morris)
9:46.0,T. Frazier misses 2-pt shot from 19 ft,,67-52,,
9:43.0,,,67-52,,Defensive rebound by S. Ibaka
9:35.0,,,67-52,,S. Ibaka misses 3-pt shot from 27 ft
9:32.0,Defensive rebound by M. Gortat,,67-52,,
9:14.0,M. Morris misses 2-pt shot from 1 ft (block by S. Ibaka),,67-52,,
9:14.0,,,67-52,,Defensive rebound by D. DeRozan
9:07.0,,,67-54,2,D. DeRozan makes 2-pt shot from 1 ft
8:46.0,O. Porter misses 2-pt shot from 8 ft,,67-54,,
8:46.0,,,67-54,,Defensive rebound by J. Valanciunas
8:34.0,,,67-56,2,J. Valanciunas makes 2-pt shot at rim (assist by D. Wright)
8:33.0,Washington full timeout,,67-56,,
8:17.0,B. Beal misses 2-pt shot from 10 ft (block by N. Powell),,67-56,,
8:17.0,Offensive rebound by Team,,67-56,,
8:14.0,Shooting foul by J. Valanciunas (drawn by M. Morris),,67-56,,
8:14.0,M. Morris misses free throw 1 of 2,,67-56,,
8:14.0,Offensive rebound by Team,,67-56,,
8:14.0,M. Morris makes free throw 2 of 2,1,68-56,,
7:56.0,,,68-56,,D. DeRozan misses 2-pt shot from 2 ft
7:54.0,Defensive rebound by M. Morris,,68-56,,
7:49.0,B. Beal misses 2-pt shot from 12 ft,,68-56,,
7:49.0,,,68-56,,Defensive rebound by J. Valanciunas
7:41.0,Personal block foul by T. Frazier (drawn by D. DeRozan),,68-56,,
7:28.0,,,68-56,,S. Ibaka misses 3-pt shot from 25 ft
7:25.0,Defensive rebound by O. Porter,,68-56,,
7:20.0,O. Porter misses 2-pt shot from 1 ft,,68-56,,
7:13.0,Offensive rebound by M. Gortat,,68-56,,
7:13.0,M. Gortat makes 2-pt shot at rim,2,70-56,,
7:05.0,,,70-58,2,D. Wright makes 2-pt shot from 1 ft
6:56.0,B. Beal makes 2-pt shot from 1 ft,2,72-58,,
6:51.0,,,72-60,2,N. Powell makes 2-pt shot from 1 ft
6:51.0,Violation by M. Morris (def goaltending),,72-60,,
6:39.0,M. Morris misses 2-pt shot from 11 ft,,72-60,,
6:38.0,Offensive rebound by Team,,72-60,,
6:38.0,Offensive charge foul by M. Gortat (drawn by N. Powell),,72-60,,
6:38.0,Turnover by M. Gortat (offensive foul),,72-60,,
6:25.0,,,72-60,,Shooting foul by O. Porter (drawn by S. Ibaka)
6:25.0,,,72-61,1,S. Ibaka makes free throw 1 of 2
6:25.0,,,72-61,,P. Siakam enters the game for J. Valanciunas
6:25.0,,,72-61,,S. Ibaka misses free throw 2 of 2
6:21.0,,,72-61,,Offensive rebound by P. Siakam
6:21.0,,,72-63,2,P. Siakam makes 2-pt shot from 1 ft
6:07.0,Turnover by M. Gortat (bad pass),,72-63,,
5:55.0,,,72-65,2,D. DeRozan makes 2-pt shot from 17 ft
5:43.0,,,72-65,,Personal foul by P. Siakam (drawn by M. Morris)
5:33.0,B. Beal misses 2-pt shot from 14 ft,,72-65,,
5:31.0,,,72-65,,Defensive rebound by D. Wright
5:25.0,,,72-65,,N. Powell misses 3-pt shot from 27 ft
5:22.0,Defensive rebound by M. Gortat,,72-65,,
5:07.0,O. Porter makes 3-pt shot from 25 ft (assist by T. Frazier),3,75-65,,
4:40.0,,,75-65,,N. Powell misses 3-pt shot from 25 ft
4:38.0,Defensive rebound by M. Gortat,,75-65,,
4:32.0,B. Beal makes 3-pt shot from 22 ft (assist by T. Frazier),3,78-65,,
4:30.0,,,78-65,,Toronto full timeout
4:30.0,,,78-65,,F. VanVleet enters the game for S. Ibaka
4:30.0,,,78-65,,L. Nogueira enters the game for N. Powell
4:18.0,,,78-65,,D. DeRozan misses 2-pt shot from 17 ft
4:18.0,Defensive rebound by M. Gortat,,78-65,,
3:56.0,B. Beal makes 2-pt shot from 3 ft,2,80-65,,
3:36.0,,,80-68,3,P. Siakam makes 3-pt shot from 22 ft (assist by F. VanVleet)
3:23.0,T. Frazier makes 2-pt shot from 11 ft,2,82-68,,
3:11.0,,,82-68,,D. DeRozan misses 2-pt shot from 11 ft
3:08.0,Defensive rebound by M. Gortat,,82-68,,
3:00.0,Turnover by B. Beal (lost ball; steal by L. Nogueira),,82-68,,
2:55.0,,,82-70,2,D. Wright makes 2-pt shot from 1 ft
2:30.0,K. Oubre enters the game for O. Porter,,82-70,,
2:30.0,,,82-70,,O. Anunoby enters the game for D. Wright
2:30.0,T. Satoransky enters the game for T. Frazier,,82-70,,
2:29.0,M. Morris misses 2-pt shot from 4 ft (block by L. Nogueira),,82-70,,
2:29.0,Offensive rebound by Team,,82-70,,
2:27.0,Jump ball: F. VanVleet vs. M. Morris (B. Beal gains possession),,,,Jump ball: F. VanVleet vs. M. Morris (B. Beal gains possession)
2:12.0,T. Satoransky misses 3-pt shot from 25 ft,,82-70,,
2:09.0,,,82-70,,Defensive rebound by F. VanVleet
2:01.0,,,82-70,,D. DeRozan misses 2-pt shot from 14 ft
1:56.0,Defensive rebound by B. Beal,,82-70,,
1:44.0,B. Beal makes 2-pt shot from 16 ft,2,84-70,,
1:23.0,,,84-72,2,F. VanVleet makes 2-pt shot from 2 ft (assist by O. Anunoby)
1:06.0,Turnover by M. Morris (lost ball; steal by O. Anunoby),,84-72,,
1:00.0,,,84-74,2,F. VanVleet makes 2-pt shot from 2 ft
0:45.0,K. Oubre misses 3-pt shot from 23 ft,,84-74,,
0:42.0,,,84-74,,Defensive rebound by P. Siakam
0:35.0,Personal foul by T. Satoransky (drawn by F. VanVleet),,84-74,,
0:35.0,,,84-74,,C. Miles enters the game for D. DeRozan
0:35.0,M. Scott enters the game for M. Morris,,84-74,,
0:22.0,,,84-76,2,F. VanVleet makes 2-pt shot from 2 ft
0:05.0,,,84-76,,Personal foul by O. Anunoby (drawn by B. Beal)
0:00.0,B. Beal misses 3-pt shot from 27 ft,,84-76,,
0:00.0,Offensive rebound by M. Gortat,,84-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,J. Meeks misses 3-pt shot from 26 ft,,84-76,,
11:41.0,,,84-76,,Defensive rebound by P. Siakam
11:23.0,,,84-76,,C. Miles misses 2-pt shot from 3 ft
11:21.0,Defensive rebound by K. Oubre,,84-76,,
11:10.0,,,84-76,,Personal foul by F. VanVleet (drawn by M. Scott)
11:05.0,Turnover by K. Oubre (traveling),,84-76,,
10:55.0,,,84-78,2,P. Siakam makes 2-pt shot at rim (assist by F. VanVleet)
10:44.0,Offensive charge foul by M. Scott (drawn by F. VanVleet),,84-78,,
10:44.0,Turnover by M. Scott (offensive foul),,84-78,,
10:34.0,,,84-80,2,L. Nogueira makes 2-pt shot from 1 ft (assist by F. VanVleet)
10:32.0,Washington full timeout,,84-80,,
10:30.0,,,84-80,,Personal foul by P. Siakam (drawn by T. Satoransky)
10:17.0,Turnover by T. Satoransky (turnover),,84-80,,
10:17.0,Loose ball foul by T. Satoransky (drawn by F. VanVleet),,84-80,,
10:17.0,B. Beal enters the game for T. Satoransky,,84-80,,
10:17.0,T. Frazier enters the game for J. Meeks,,84-80,,
10:11.0,,,84-80,,C. Miles misses 3-pt shot from 25 ft
10:08.0,Defensive rebound by M. Scott,,84-80,,
9:51.0,T. Frazier misses 2-pt shot from 10 ft (block by F. VanVleet),,84-80,,
9:49.0,Offensive rebound by I. Mahinmi,,84-80,,
9:49.0,I. Mahinmi misses 2-pt shot from 4 ft (block by L. Nogueira),,84-80,,
9:49.0,Offensive rebound by Team,,84-80,,
9:46.0,M. Scott makes 2-pt shot from 13 ft (assist by B. Beal),2,86-80,,
9:23.0,,,86-82,2,F. VanVleet makes 2-pt shot from 3 ft
9:03.0,B. Beal misses 2-pt shot from 9 ft (block by F. VanVleet),,86-82,,
8:59.0,Offensive rebound by B. Beal,,86-82,,
8:59.0,B. Beal misses 2-pt shot from 2 ft,,86-82,,
8:59.0,Offensive rebound by I. Mahinmi,,86-82,,
8:54.0,I. Mahinmi makes 2-pt shot at rim,2,88-82,,
8:42.0,Personal foul by M. Scott (drawn by P. Siakam),,88-82,,
8:29.0,,,88-82,,F. VanVleet misses 2-pt shot from 3 ft (block by I. Mahinmi)
8:26.0,Defensive rebound by T. Frazier,,88-82,,
8:24.0,K. Oubre misses 2-pt shot from 3 ft (block by O. Anunoby),,88-82,,
8:24.0,,,88-82,,Defensive rebound by Team
8:24.0,Loose ball foul by K. Oubre (drawn by O. Anunoby),,88-82,,
8:14.0,,,88-82,,Offensive charge foul by P. Siakam (drawn by K. Oubre)
8:14.0,,,88-82,,Turnover by P. Siakam (offensive foul)
8:14.0,O. Porter enters the game for I. Mahinmi,,88-82,,
8:03.0,Turnover by B. Beal (bad pass),,88-82,,
7:57.0,,,88-82,,Offensive charge foul by L. Nogueira (drawn by T. Frazier)
7:57.0,,,88-82,,Turnover by L. Nogueira (offensive foul)
7:57.0,,,88-82,,D. DeRozan enters the game for C. Miles
7:35.0,O. Porter misses 2-pt shot from 13 ft,,88-82,,
7:32.0,,,88-82,,Defensive rebound by P. Siakam
7:24.0,,,88-84,2,D. DeRozan makes 2-pt shot from 2 ft
7:24.0,,,88-84,,Shooting foul by M. Scott (drawn by D. DeRozan)
7:24.0,M. Gortat enters the game for M. Scott,,88-84,,
7:24.0,,,88-85,1,D. DeRozan makes free throw 1 of 1
7:11.0,B. Beal misses 2-pt shot from 2 ft,,88-85,,
7:08.0,,,88-85,,Defensive rebound by D. DeRozan
7:05.0,,,88-85,,J. Valanciunas enters the game for F. VanVleet
7:05.0,,,88-85,,D. Wright enters the game for L. Nogueira
7:04.0,,,88-85,,O. Anunoby misses 2-pt shot from 4 ft (block by O. Porter)
7:04.0,Defensive rebound by Team,,88-85,,
6:51.0,B. Beal makes 2-pt shot from 7 ft (assist by T. Frazier),2,90-85,,
6:37.0,,,90-87,2,D. DeRozan makes 2-pt shot from 18 ft
6:24.0,B. Beal makes 3-pt shot from 25 ft,3,93-87,,
6:04.0,,,93-87,,O. Anunoby misses 2-pt shot from 2 ft
