time,LA Lakers,pts.away,score,pts.home,Denver
8:14.0,J. Randle makes 2-pt shot from 2 ft (assist by L. Ball),2,76-79,,
7:53.0,,,76-79,,N. Jokic misses 2-pt shot from 3 ft (block by B. Lopez)
7:50.0,Defensive rebound by J. Randle,,76-79,,
7:48.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,76-79,,
7:44.0,,,76-79,,Defensive rebound by J. Murray
7:35.0,,,76-79,,P. Millsap misses 2-pt shot from 7 ft
7:34.0,,,76-79,,Offensive rebound by N. Jokic
7:34.0,,,76-79,,Shooting foul by B. Lopez (drawn by N. Jokic)
7:34.0,,,76-80,1,N. Jokic makes free throw 1 of 2
7:34.0,,,76-81,1,N. Jokic makes free throw 2 of 2
7:22.0,L. Ball misses 3-pt shot from 25 ft,,76-81,,
7:18.0,,,76-81,,Defensive rebound by N. Jokic
7:03.0,,,76-83,2,N. Jokic makes 2-pt shot from 2 ft (assist by G. Harris)
6:46.0,B. Lopez makes 2-pt shot from 2 ft,2,78-83,,
6:35.0,,,78-86,3,W. Barton makes 3-pt shot from 24 ft (assist by N. Jokic)
6:33.0,LA Lakers full timeout,,78-86,,
6:20.0,B. Lopez makes 3-pt shot from 23 ft (assist by L. Ball),3,81-86,,
6:04.0,,,81-86,,J. Murray misses 3-pt shot from 22 ft
6:01.0,Defensive rebound by J. Randle,,81-86,,
5:52.0,J. Randle misses 2-pt shot from 2 ft (block by P. Millsap),,81-86,,
5:49.0,,,81-86,,Defensive rebound by N. Jokic
5:39.0,,,81-88,2,N. Jokic makes 2-pt shot from 2 ft (assist by J. Murray)
5:24.0,,,81-88,,Personal foul by N. Jokic (drawn by B. Lopez)
5:24.0,I. Thomas enters the game for B. Lopez,,81-88,,
5:17.0,Turnover by L. Ball (bad pass; steal by N. Jokic),,81-88,,
5:11.0,,,81-88,,W. Barton misses 2-pt shot from 4 ft
5:09.0,,,81-88,,Offensive rebound by W. Barton
