time,Sacramento,pts.away,score,pts.home,Miami
1:45.0,,,81-86,2,H. Whiteside makes 2-pt shot from 4 ft
1:38.0,D. Fox makes 2-pt shot from 3 ft,2,83-86,,
1:29.0,,,83-86,,Turnover by G. Dragic (lost ball; steal by D. Fox)
1:26.0,D. Fox misses 2-pt shot from 2 ft,,83-86,,
1:26.0,Offensive rebound by B. Hield,,83-86,,
1:25.0,B. Hield makes 2-pt shot from 2 ft,2,85-86,,
1:19.0,Personal block foul by D. Fox (drawn by G. Dragic),,85-86,,
1:19.0,,,85-87,1,G. Dragic makes free throw 1 of 2
1:19.0,,,85-88,1,G. Dragic makes free throw 2 of 2
1:03.0,Z. Randolph makes 2-pt shot from 5 ft,2,87-88,,
0:42.0,,,87-88,,J. Johnson misses 3-pt shot from 22 ft
0:40.0,Defensive rebound by Z. Randolph,,87-88,,
0:35.0,D. Fox misses 2-pt shot from 14 ft,,87-88,,
0:31.0,,,87-88,,Defensive rebound by H. Whiteside
0:21.0,,,87-88,,Offensive foul by H. Whiteside (drawn by D. Fox)
0:21.0,,,87-88,,Turnover by H. Whiteside (offensive foul)
0:21.0,Sacramento full timeout,,87-88,,
0:21.0,,,87-88,,B. Adebayo enters the game for H. Whiteside
0:04.0,B. Bogdanovic misses 2-pt shot from 19 ft,,87-88,,
0:03.0,Offensive rebound by D. Fox,,87-88,,
0:03.0,D. Fox makes 2-pt shot at rim,2,89-88,,
0:03.0,,,89-88,,K. Olynyk enters the game for B. Adebayo
0:03.0,G. Temple enters the game for Z. Randolph,,89-88,,
0:00.0,,,89-88,,J. Richardson misses 2-pt shot from 20 ft
0:00.0,,,89-88,,Offensive rebound by Team
