time,Indiana,pts.away,score,pts.home,LA Clippers
4:31.0,T. Young misses 2-pt shot from 5 ft (block by A. Rivers),,11-14,,
4:28.0,,,11-14,,Defensive rebound by L. Williams
4:24.0,,,11-16,2,T. Harris makes 2-pt shot at rim (assist by L. Williams)
4:07.0,C. Joseph enters the game for B. Bogdanovic,,11-16,,
4:04.0,M. Turner makes 3-pt shot from 25 ft (assist by V. Oladipo),3,14-16,,
3:56.0,,,14-16,,Turnover by T. Wallace (bad pass)
3:42.0,V. Oladipo misses 2-pt shot from 22 ft,,14-16,,
3:38.0,,,14-16,,Defensive rebound by D. Jordan
3:30.0,,,14-18,2,D. Jordan makes 2-pt shot from 1 ft (assist by A. Rivers)
3:14.0,V. Oladipo makes 2-pt shot from 1 ft,2,16-18,,
3:01.0,,,16-20,2,T. Harris makes 2-pt shot from 16 ft (assist by T. Wallace)
2:46.0,,,16-20,,Personal foul by A. Rivers (drawn by M. Turner)
2:46.0,,,16-20,,LA Clippers full timeout
2:46.0,,,16-20,,M. Harrell enters the game for D. Jordan
2:46.0,,,16-20,,S. Thornwell enters the game for T. Wallace
2:46.0,D. Sabonis enters the game for D. Collison,,16-20,,
2:46.0,L. Stephenson enters the game for T. Young,,16-20,,
2:37.0,C. Joseph misses 2-pt shot from 9 ft,,16-20,,
2:33.0,,,16-20,,Defensive rebound by S. Thornwell
2:22.0,,,16-20,,A. Rivers misses 2-pt shot from 4 ft (block by L. Stephenson)
2:19.0,,,16-20,,Offensive rebound by A. Rivers
2:17.0,,,16-22,2,A. Rivers makes 2-pt shot from 5 ft
2:03.0,D. Sabonis misses 2-pt shot from 5 ft,,16-22,,
2:00.0,Offensive rebound by M. Turner,,16-22,,
2:00.0,M. Turner misses 2-pt shot at rim,,16-22,,
1:59.0,,,16-22,,Defensive rebound by T. Harris
1:53.0,,,16-22,,A. Rivers misses 3-pt shot from 25 ft
1:50.0,Defensive rebound by C. Joseph,,16-22,,
1:40.0,M. Turner makes 2-pt shot from 2 ft (assist by V. Oladipo),2,18-22,,
1:28.0,,,18-24,2,A. Rivers makes 2-pt shot from 1 ft
1:16.0,D. Sabonis makes 2-pt shot at rim (assist by C. Joseph),2,20-24,,
1:09.0,,,20-26,2,L. Williams makes 2-pt shot from 8 ft
1:09.0,,,20-26,,Shooting foul by D. Sabonis (drawn by L. Williams)
1:09.0,T. Booker enters the game for V. Oladipo,,20-26,,
1:09.0,G. Robinson enters the game for M. Turner,,20-26,,
1:09.0,,,20-27,1,L. Williams makes free throw 1 of 1
1:09.0,,,20-27,,D. Gallinari enters the game for T. Harris
0:45.0,C. Joseph misses 2-pt shot from 13 ft,,20-27,,
0:45.0,Offensive rebound by Team,,20-27,,
0:45.0,Turnover by Team (shot clock),,20-27,,
0:31.0,,,20-27,,A. Rivers misses 3-pt shot from 25 ft
0:31.0,,,20-27,,Offensive rebound by S. Thornwell
0:25.0,,,20-27,,A. Rivers misses 3-pt shot from 23 ft
0:25.0,Defensive rebound by G. Robinson,,20-27,,
0:09.0,,,20-27,,Personal take foul by L. Williams (drawn by C. Joseph)
0:09.0,,,20-27,,T. Wallace enters the game for L. Williams
0:09.0,,,20-27,,C. Williams enters the game for A. Rivers
0:03.0,C. Joseph makes 2-pt shot from 14 ft,2,22-27,,
0:00.0,,,22-30,3,M. Harrell makes 3-pt shot from 28 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,G. Robinson misses 3-pt shot from 24 ft,,22-30,,
11:39.0,,,22-30,,Defensive rebound by D. Gallinari
11:34.0,,,22-32,2,S. Thornwell makes 2-pt shot from 2 ft (assist by L. Williams)
11:22.0,L. Stephenson misses 2-pt shot from 6 ft (block by D. Gallinari),,22-32,,
11:19.0,Offensive rebound by T. Booker,,22-32,,
11:10.0,L. Stephenson misses 3-pt shot from 25 ft,,22-32,,
11:08.0,,,22-32,,Defensive rebound by T. Wallace
11:01.0,,,22-34,2,T. Wallace makes 2-pt shot from 9 ft
10:52.0,,,22-34,,Personal foul by D. Gallinari (drawn by C. Joseph)
10:52.0,B. Bogdanovic enters the game for G. Robinson,,22-34,,
10:37.0,L. Stephenson misses 3-pt shot from 24 ft,,22-34,,
10:34.0,,,22-34,,Defensive rebound by D. Gallinari
10:30.0,,,22-36,2,M. Harrell makes 2-pt shot from 2 ft (assist by D. Gallinari)
10:14.0,C. Joseph makes 2-pt shot at rim (assist by T. Booker),2,24-36,,
9:56.0,,,24-36,,D. Gallinari misses 3-pt shot from 24 ft
9:54.0,Defensive rebound by L. Stephenson,,24-36,,
9:47.0,B. Bogdanovic misses 3-pt shot from 24 ft,,24-36,,
9:43.0,Offensive rebound by D. Sabonis,,24-36,,
9:32.0,Turnover by T. Booker (out of bounds lost ball),,24-36,,
9:23.0,,,24-38,2,L. Williams makes 2-pt shot from 2 ft
9:11.0,Indiana full timeout,,24-38,,
9:11.0,T. Young enters the game for T. Booker,,24-38,,
8:58.0,,,24-38,,Personal foul by S. Thornwell (drawn by B. Bogdanovic)
8:52.0,C. Joseph makes 3-pt shot from 25 ft (assist by D. Sabonis),3,27-38,,
8:24.0,,,27-40,2,D. Gallinari makes 2-pt shot from 1 ft
8:03.0,T. Young misses 2-pt shot from 3 ft,,27-40,,
7:59.0,,,27-40,,Defensive rebound by D. Gallinari
7:54.0,,,27-42,2,M. Harrell makes 2-pt shot from 3 ft (assist by S. Thornwell)
7:32.0,T. Young misses 2-pt shot from 4 ft,,27-42,,
7:32.0,Offensive rebound by Team,,27-42,,
7:32.0,V. Oladipo enters the game for L. Stephenson,,27-42,,
7:12.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by V. Oladipo),2,29-42,,
6:58.0,,,29-42,,Shooting foul by D. Sabonis (drawn by D. Gallinari)
6:58.0,,,29-43,1,D. Gallinari makes free throw 1 of 2
6:58.0,,,29-43,,T. Harris enters the game for S. Thornwell
6:58.0,,,29-44,1,D. Gallinari makes free throw 2 of 2
6:47.0,V. Oladipo makes 2-pt shot from 11 ft,2,31-44,,
6:38.0,,,31-47,3,T. Harris makes 3-pt shot from 23 ft (assist by M. Harrell)
6:28.0,Turnover by V. Oladipo (lost ball; steal by L. Williams),,31-47,,
6:22.0,,,31-47,,L. Williams misses 2-pt shot from 17 ft
6:20.0,Defensive rebound by T. Young,,31-47,,
6:04.0,V. Oladipo makes 2-pt shot from 9 ft,2,33-47,,
5:49.0,,,33-47,,M. Harrell misses 2-pt shot from 1 ft
5:47.0,,,33-47,,Offensive rebound by M. Harrell
5:46.0,,,33-47,,M. Harrell misses 2-pt shot from 8 ft
5:46.0,Defensive rebound by V. Oladipo,,33-47,,
5:38.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by V. Oladipo),2,35-47,,
5:37.0,,,35-47,,LA Clippers full timeout
5:37.0,,,35-47,,D. Jordan enters the game for M. Harrell
5:37.0,,,35-47,,A. Rivers enters the game for T. Wallace
5:37.0,D. Collison enters the game for C. Joseph,,35-47,,
5:37.0,M. Turner enters the game for D. Sabonis,,35-47,,
5:20.0,,,35-49,2,T. Harris makes 2-pt shot from 2 ft
5:06.0,V. Oladipo makes 2-pt shot from 18 ft,2,37-49,,
4:42.0,,,37-49,,D. Gallinari misses 3-pt shot from 25 ft
4:39.0,Defensive rebound by Team,,37-49,,
4:20.0,Shooting foul by L. Williams (drawn by M. Turner),,37-49,,
4:20.0,M. Turner makes free throw 1 of 2,1,38-49,,
4:20.0,M. Turner makes free throw 2 of 2,1,39-49,,
3:56.0,,,39-49,,L. Williams misses 3-pt shot from 25 ft
3:52.0,Defensive rebound by B. Bogdanovic,,39-49,,
3:38.0,D. Collison misses 3-pt shot from 25 ft,,39-49,,
3:35.0,Offensive rebound by V. Oladipo,,39-49,,
3:31.0,Turnover by B. Bogdanovic (lost ball; steal by T. Harris),,39-49,,
3:15.0,,,39-49,,Turnover by D. Jordan (lost ball; steal by V. Oladipo)
3:09.0,M. Turner makes 2-pt shot at rim (assist by V. Oladipo),2,41-49,,
2:47.0,,,41-49,,D. Gallinari misses 2-pt shot from 10 ft
2:43.0,Defensive rebound by T. Young,,41-49,,
2:28.0,Turnover by M. Turner (step out of bounds),,41-49,,
2:28.0,,,41-49,,T. Wallace enters the game for L. Williams
2:28.0,L. Stephenson enters the game for B. Bogdanovic,,41-49,,
2:09.0,,,41-49,,D. Gallinari misses 2-pt shot at rim
2:07.0,Defensive rebound by D. Collison,,41-49,,
2:03.0,L. Stephenson misses 3-pt shot from 23 ft,,41-49,,
1:54.0,Offensive rebound by M. Turner,,41-49,,
1:54.0,M. Turner makes 2-pt shot at rim,2,43-49,,
1:35.0,,,43-49,,M. Harrell enters the game for D. Gallinari
1:34.0,,,43-49,,T. Wallace misses 3-pt shot from 24 ft
1:34.0,Defensive rebound by Team,,43-49,,
1:16.0,V. Oladipo makes 2-pt shot from 1 ft,2,45-49,,
0:57.0,,,45-49,,T. Wallace misses 2-pt shot from 6 ft
0:55.0,,,45-49,,Offensive rebound by D. Jordan
0:55.0,,,45-49,,D. Jordan misses 2-pt shot at rim
0:55.0,Defensive rebound by M. Turner,,45-49,,
0:55.0,,,45-49,,Personal foul by T. Wallace (drawn by M. Turner)
0:33.0,V. Oladipo makes 2-pt shot from 17 ft,2,47-49,,
0:17.0,,,47-49,,A. Rivers misses 2-pt shot from 9 ft
0:16.0,,,47-49,,Offensive rebound by M. Harrell
0:16.0,,,47-51,2,M. Harrell makes 2-pt shot at rim
0:01.0,V. Oladipo makes 3-pt shot from 25 ft,3,50-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,V. Oladipo misses 3-pt shot from 25 ft,,50-51,,
11:32.0,,,50-51,,Defensive rebound by T. Harris
11:11.0,,,50-51,,T. Harris misses 3-pt shot from 23 ft
11:11.0,Defensive rebound by Team,,50-51,,
10:59.0,M. Turner misses 2-pt shot from 17 ft,,50-51,,
10:59.0,,,50-51,,Defensive rebound by D. Jordan
10:47.0,Personal foul by T. Young (drawn by D. Gallinari),,50-51,,
10:37.0,,,50-53,2,T. Wallace makes 2-pt shot from 1 ft (assist by A. Rivers)
10:15.0,,,50-53,,Personal take foul by D. Jordan (drawn by V. Oladipo)
10:02.0,Turnover by V. Oladipo (lost ball; steal by T. Wallace),,50-53,,
9:58.0,,,50-53,,T. Wallace misses 2-pt shot from 1 ft (block by V. Oladipo)
9:58.0,,,50-53,,Offensive rebound by Team
9:58.0,,,50-54,1,D. Gallinari makes technical free throw
9:48.0,,,50-54,,A. Rivers misses 3-pt shot from 26 ft
9:43.0,Defensive rebound by B. Bogdanovic,,50-54,,
9:38.0,M. Turner makes 3-pt shot from 24 ft (assist by D. Collison),3,53-54,,
9:13.0,,,53-54,,T. Harris misses 2-pt shot from 19 ft
9:09.0,Defensive rebound by B. Bogdanovic,,53-54,,
8:50.0,M. Turner misses 3-pt shot from 25 ft,,53-54,,
8:46.0,,,53-54,,Defensive rebound by T. Harris
8:30.0,,,53-57,3,A. Rivers makes 3-pt shot from 25 ft (assist by T. Harris)
8:15.0,B. Bogdanovic makes 2-pt shot from 9 ft,2,55-57,,
7:53.0,,,55-57,,D. Jordan misses 2-pt shot from 5 ft (block by M. Turner)
7:50.0,Defensive rebound by T. Young,,55-57,,
7:48.0,T. Young makes 2-pt shot from 1 ft (assist by V. Oladipo),2,57-57,,
7:26.0,,,57-57,,Turnover by D. Gallinari (lost ball; steal by V. Oladipo)
7:20.0,B. Bogdanovic misses 3-pt shot from 24 ft,,57-57,,
7:18.0,,,57-57,,Defensive rebound by D. Gallinari
7:15.0,Shooting block foul by B. Bogdanovic (drawn by D. Gallinari),,57-57,,
7:15.0,,,57-58,1,D. Gallinari makes free throw 1 of 2
7:15.0,,,57-59,1,D. Gallinari makes free throw 2 of 2
6:56.0,,,57-59,,LA Clippers full timeout
6:54.0,M. Turner makes 2-pt shot from 3 ft (assist by V. Oladipo),2,59-59,,
6:54.0,Shooting foul by A. Rivers (drawn by M. Turner),,59-59,,
6:54.0,M. Turner makes free throw 1 of 1,1,60-59,,
6:27.0,,,60-59,,T. Harris misses 2-pt shot from 20 ft
6:25.0,,,60-59,,Offensive rebound by T. Wallace
6:20.0,,,60-59,,T. Harris misses 3-pt shot from 25 ft
6:15.0,Defensive rebound by V. Oladipo,,60-59,,
6:04.0,Shooting foul by T. Harris (drawn by M. Turner),,60-59,,
6:04.0,M. Turner misses free throw 1 of 2,,60-59,,
6:04.0,Offensive rebound by Team,,60-59,,
6:04.0,,,60-59,,L. Williams enters the game for D. Gallinari
6:04.0,M. Turner makes free throw 2 of 2,1,61-59,,
5:56.0,,,61-59,,T. Harris misses 2-pt shot from 10 ft
5:55.0,,,61-59,,Offensive rebound by D. Jordan
5:54.0,,,61-61,2,D. Jordan makes 2-pt shot at rim
5:49.0,,,61-61,,Shooting block foul by T. Wallace (drawn by V. Oladipo)
5:49.0,V. Oladipo makes free throw 1 of 2,1,62-61,,
5:49.0,V. Oladipo makes free throw 2 of 2,1,63-61,,
5:35.0,,,63-61,,Turnover by L. Williams (lost ball; steal by V. Oladipo)
5:17.0,B. Bogdanovic misses 2-pt shot from 7 ft,,63-61,,
5:12.0,Offensive rebound by T. Young,,63-61,,
5:12.0,T. Young misses 2-pt shot at rim,,63-61,,
5:12.0,Offensive rebound by M. Turner,,63-61,,
5:10.0,M. Turner makes 2-pt shot at rim,2,65-61,,
4:56.0,,,65-64,3,A. Rivers makes 3-pt shot from 26 ft (assist by T. Harris)
4:31.0,D. Collison misses 2-pt shot from 21 ft,,65-64,,
4:28.0,,,65-64,,Defensive rebound by T. Wallace
4:24.0,,,65-64,,M. Harrell enters the game for D. Jordan
4:24.0,C. Joseph enters the game for B. Bogdanovic,,65-64,,
4:09.0,,,65-67,3,A. Rivers makes 3-pt shot from 27 ft (assist by T. Harris)
3:48.0,V. Oladipo makes 2-pt shot at rim,2,67-67,,
3:37.0,Personal foul by V. Oladipo (drawn by A. Rivers),,67-67,,
3:37.0,D. Sabonis enters the game for T. Young,,67-67,,
3:28.0,,,67-70,3,T. Wallace makes 3-pt shot from 23 ft (assist by T. Harris)
3:13.0,D. Sabonis misses 2-pt shot from 1 ft (block by T. Harris),,67-70,,
3:10.0,Offensive rebound by D. Sabonis,,67-70,,
3:09.0,D. Sabonis misses 2-pt shot from 1 ft,,67-70,,
3:07.0,,,67-70,,Defensive rebound by T. Wallace
3:04.0,,,67-72,2,T. Harris makes 2-pt shot from 1 ft (assist by T. Wallace)
3:04.0,Indiana full timeout,,67-72,,
2:39.0,V. Oladipo misses 2-pt shot from 16 ft,,67-72,,
2:37.0,,,67-72,,Defensive rebound by M. Harrell
2:23.0,,,67-74,2,A. Rivers makes 2-pt shot at rim (assist by T. Harris)
2:08.0,,,67-74,,S. Thornwell enters the game for T. Wallace
2:08.0,L. Stephenson enters the game for D. Collison,,67-74,,
2:08.0,T. Young enters the game for M. Turner,,67-74,,
2:00.0,Shooting foul by S. Thornwell (drawn by V. Oladipo),,67-74,,
2:00.0,V. Oladipo makes free throw 1 of 2,1,68-74,,
2:00.0,V. Oladipo makes free throw 2 of 2,1,69-74,,
1:39.0,,,69-74,,Turnover by T. Harris (bad pass; steal by D. Sabonis)
1:35.0,V. Oladipo makes 2-pt shot at rim (assist by L. Stephenson),2,71-74,,
1:25.0,,,71-76,2,M. Harrell makes 2-pt shot from 1 ft (assist by S. Thornwell)
1:05.0,T. Young makes 2-pt shot from 1 ft (assist by V. Oladipo),2,73-76,,
0:52.0,,,73-76,,Turnover by A. Rivers (traveling)
0:34.0,V. Oladipo misses 3-pt shot from 25 ft,,73-76,,
0:32.0,,,73-76,,Defensive rebound by Team
0:10.0,,,73-78,2,M. Harrell makes 2-pt shot from 1 ft
0:00.0,C. Joseph makes 3-pt shot from 25 ft (assist by V. Oladipo),3,76-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,76-78,,M. Harrell misses 2-pt shot from 1 ft (block by C. Joseph)
11:42.0,Defensive rebound by D. Sabonis,,76-78,,
11:38.0,C. Joseph misses 2-pt shot from 3 ft (block by D. Gallinari),,76-78,,
11:35.0,Offensive rebound by L. Stephenson,,76-78,,
11:23.0,C. Joseph misses 3-pt shot from 26 ft,,76-78,,
11:20.0,,,76-78,,Defensive rebound by L. Williams
11:11.0,,,76-78,,S. Thornwell misses 3-pt shot from 22 ft
11:07.0,Defensive rebound by L. Stephenson,,76-78,,
11:02.0,Shooting foul by S. Thornwell (drawn by L. Stephenson),,76-78,,
11:02.0,L. Stephenson misses free throw 1 of 2,,76-78,,
11:02.0,Offensive rebound by Team,,76-78,,
11:02.0,L. Stephenson makes free throw 2 of 2,1,77-78,,
10:50.0,,,77-80,2,M. Harrell makes 2-pt shot from 1 ft (assist by L. Williams)
10:32.0,L. Stephenson makes 2-pt shot from 1 ft,2,79-80,,
10:15.0,,,79-80,,Turnover by T. Wallace (bad pass)
10:04.0,Shooting foul by T. Wallace (drawn by B. Bogdanovic),,79-80,,
10:04.0,B. Bogdanovic misses free throw 1 of 2,,79-80,,
10:04.0,Offensive rebound by Team,,79-80,,
10:04.0,B. Bogdanovic makes free throw 2 of 2,1,80-80,,
9:51.0,,,80-82,2,L. Williams makes 2-pt shot from 7 ft
9:35.0,Turnover by D. Sabonis (lost ball; steal by L. Williams),,80-82,,
9:27.0,,,80-84,2,M. Harrell makes 2-pt shot from 5 ft
9:14.0,Offensive foul by L. Stephenson (drawn by S. Thornwell),,80-84,,
9:14.0,Turnover by L. Stephenson (offensive foul),,80-84,,
9:04.0,,,80-86,2,M. Harrell makes 2-pt shot from 1 ft
9:04.0,Indiana full timeout,,80-86,,
8:42.0,C. Joseph misses 2-pt shot from 8 ft,,80-86,,
8:39.0,Offensive rebound by D. Sabonis,,80-86,,
8:38.0,D. Sabonis misses 2-pt shot from 1 ft,,80-86,,
8:38.0,Offensive rebound by T. Young,,80-86,,
8:35.0,,,80-86,,Personal foul by S. Thornwell (drawn by T. Young)
8:21.0,L. Stephenson makes 2-pt shot from 1 ft,2,82-86,,
8:02.0,,,82-86,,Turnover by L. Williams (bad pass; steal by T. Young)
7:57.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by C. Joseph),3,85-86,,
7:35.0,Personal block foul by T. Young (drawn by D. Gallinari),,85-86,,
7:35.0,,,85-86,,T. Harris enters the game for T. Wallace
7:35.0,V. Oladipo enters the game for T. Young,,85-86,,
7:24.0,,,85-86,,D. Gallinari misses 2-pt shot from 22 ft
7:21.0,Defensive rebound by C. Joseph,,85-86,,
7:09.0,L. Stephenson misses 3-pt shot from 24 ft,,85-86,,
7:08.0,,,85-86,,Defensive rebound by Team
7:08.0,,,85-86,,A. Rivers enters the game for S. Thornwell
6:53.0,,,85-88,2,L. Williams makes 2-pt shot from 21 ft
6:28.0,V. Oladipo makes 3-pt shot from 25 ft (assist by C. Joseph),3,88-88,,
6:14.0,,,88-88,,A. Rivers misses 2-pt shot from 1 ft
6:12.0,Defensive rebound by L. Stephenson,,88-88,,
5:52.0,Turnover by C. Joseph (lost ball; steal by A. Rivers),,88-88,,
5:45.0,,,88-90,2,L. Williams makes 2-pt shot at rim (assist by M. Harrell)
5:44.0,Indiana full timeout,,88-90,,
5:44.0,,,88-90,,D. Jordan enters the game for M. Harrell
5:44.0,M. Turner enters the game for C. Joseph,,88-90,,
5:44.0,D. Collison enters the game for D. Sabonis,,88-90,,
5:44.0,T. Young enters the game for B. Bogdanovic,,88-90,,
5:25.0,D. Collison makes 3-pt shot from 22 ft,3,91-90,,
5:05.0,,,91-90,,L. Williams misses 2-pt shot from 21 ft
5:03.0,Defensive rebound by L. Stephenson,,91-90,,
4:47.0,Shooting foul by L. Williams (drawn by D. Collison),,91-90,,
4:47.0,D. Collison makes free throw 1 of 2,1,92-90,,
4:47.0,,,92-90,,T. Wallace enters the game for D. Gallinari
4:47.0,D. Collison makes free throw 2 of 2,1,93-90,,
4:38.0,,,93-90,,Turnover by D. Jordan (bad pass)
4:25.0,D. Collison misses 2-pt shot from 3 ft,,93-90,,
4:20.0,Offensive rebound by M. Turner,,93-90,,
4:20.0,M. Turner misses 2-pt shot at rim,,93-90,,
4:20.0,,,93-90,,Defensive rebound by D. Jordan
4:13.0,,,93-92,2,L. Williams makes 2-pt shot from 6 ft
3:54.0,L. Stephenson makes 2-pt shot from 5 ft (assist by V. Oladipo),2,95-92,,
3:47.0,,,95-92,,Shooting foul by V. Oladipo (drawn by L. Williams)
3:47.0,,,95-93,1,L. Williams makes free throw 1 of 2
3:47.0,,,95-94,1,L. Williams makes free throw 2 of 2
3:30.0,L. Stephenson misses 3-pt shot from 22 ft,,95-94,,
3:24.0,Offensive rebound by T. Young,,95-94,,
3:24.0,T. Young misses 2-pt shot at rim,,95-94,,
3:24.0,Offensive rebound by T. Young,,95-94,,
3:24.0,,,95-94,,Technical foul by D. Jordan (drawn by L. Stephenson)
3:24.0,L. Stephenson makes flagrant free throw 1 of 2,1,96-94,,
3:24.0,L. Stephenson misses flagrant free throw 2 of 2,,96-94,,
3:24.0,Offensive rebound by Team,,96-94,,
3:24.0,,,96-94,,S. Thornwell enters the game for L. Williams
3:24.0,B. Bogdanovic enters the game for L. Stephenson,,96-94,,
3:07.0,V. Oladipo makes 3-pt shot from 24 ft,3,99-94,,
3:05.0,,,99-94,,LA Clippers full timeout
3:05.0,,,99-94,,L. Williams enters the game for S. Thornwell
2:47.0,,,99-96,2,T. Harris makes 2-pt shot from 4 ft
2:30.0,D. Collison makes 2-pt shot from 20 ft (assist by V. Oladipo),2,101-96,,
2:17.0,,,101-96,,Shooting foul by V. Oladipo (drawn by L. Williams)
2:17.0,,,101-97,1,L. Williams makes free throw 1 of 2
2:17.0,,,101-98,1,L. Williams makes free throw 2 of 2
1:52.0,M. Turner makes 2-pt shot from 20 ft (assist by D. Collison),2,103-98,,
1:46.0,Personal foul by V. Oladipo (drawn by D. Jordan),,103-98,,
1:43.0,,,103-101,3,L. Williams makes 3-pt shot from 30 ft (assist by A. Rivers)
1:20.0,D. Collison makes 2-pt shot from 21 ft,2,105-101,,
1:19.0,,,105-101,,LA Clippers full timeout
1:14.0,,,105-101,,L. Williams misses 3-pt shot from 27 ft
1:11.0,,,105-101,,Offensive rebound by A. Rivers
1:11.0,,,105-104,3,T. Harris makes 3-pt shot from 25 ft (assist by A. Rivers)
0:50.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by D. Collison),3,108-104,,
0:40.0,,,108-104,,L. Williams misses 3-pt shot from 30 ft
0:37.0,Defensive rebound by T. Young,,108-104,,
0:33.0,,,108-104,,Personal take foul by T. Wallace (drawn by D. Collison)
0:33.0,D. Collison makes free throw 1 of 2,1,109-104,,
0:33.0,D. Collison makes free throw 2 of 2,1,110-104,,
0:33.0,,,110-104,,LA Clippers full timeout
0:33.0,,,110-104,,D. Gallinari enters the game for T. Wallace
0:22.0,,,110-104,,T. Harris misses 3-pt shot from 22 ft
0:20.0,,,110-104,,Offensive rebound by D. Gallinari
0:18.0,,,110-104,,D. Gallinari misses 2-pt shot from 22 ft
0:18.0,,,110-104,,Offensive rebound by D. Jordan
0:14.0,,,110-104,,D. Jordan misses 2-pt shot at rim
0:14.0,Defensive rebound by V. Oladipo,,110-104,,
0:14.0,,,110-104,,Personal take foul by A. Rivers (drawn by V. Oladipo)
0:14.0,V. Oladipo misses free throw 1 of 2,,110-104,,
0:14.0,Offensive rebound by Team,,110-104,,
