time,Charlotte,pts.away,score,pts.home,Denver
8:34.0,Defensive rebound by M. Kidd-Gilchrist,,62-68,,
8:25.0,N. Batum misses 2-pt shot from 17 ft,,62-68,,
8:23.0,Offensive rebound by N. Batum,,62-68,,
8:21.0,F. Kaminsky makes 2-pt shot from 3 ft (assist by N. Batum),2,64-68,,
8:02.0,,,64-68,,Turnover by J. Murray (lost ball; steal by K. Walker)
7:59.0,Shooting foul by J. Murray (drawn by K. Walker),,64-68,,
7:59.0,K. Walker makes free throw 1 of 2,1,65-68,,
7:59.0,K. Walker makes free throw 2 of 2,1,66-68,,
7:39.0,,,66-71,3,N. Jokic makes 3-pt shot from 24 ft (assist by J. Murray)
7:21.0,F. Kaminsky misses 3-pt shot from 27 ft,,66-71,,
7:20.0,,,66-71,,Defensive rebound by Team
7:15.0,,,66-74,3,W. Barton makes 3-pt shot from 25 ft (assist by J. Murray)
6:48.0,D. Howard misses 2-pt shot from 5 ft,,66-74,,
6:46.0,,,66-74,,Defensive rebound by N. Jokic
6:44.0,,,66-76,2,G. Harris makes 2-pt shot from 2 ft (assist by N. Jokic)
6:44.0,,,66-76,,Shooting foul by M. Kidd-Gilchrist (drawn by G. Harris)
6:44.0,,,66-76,,Denver full timeout
6:44.0,,,66-76,,T. Craig enters the game for W. Chandler
6:44.0,,,66-77,1,G. Harris makes free throw 1 of 1
6:31.0,N. Batum misses 2-pt shot from 20 ft,,66-77,,
6:27.0,,,66-77,,Defensive rebound by J. Murray
6:19.0,,,66-77,,Shooting foul by D. Howard (drawn by N. Jokic)
6:19.0,,,66-78,1,N. Jokic makes free throw 1 of 2
6:19.0,,,66-79,1,N. Jokic makes free throw 2 of 2
6:02.0,,,66-79,,Personal foul by J. Murray (drawn by F. Kaminsky)
6:02.0,T. Graham enters the game for F. Kaminsky,,66-79,,
5:57.0,N. Batum makes 3-pt shot from 24 ft (assist by T. Graham),3,69-79,,
5:41.0,,,69-81,2,T. Craig makes 2-pt shot from 1 ft (assist by W. Barton)
5:30.0,Turnover by K. Walker (bad pass; steal by N. Jokic),,69-81,,
5:18.0,,,69-81,,T. Craig misses 3-pt shot from 22 ft
5:15.0,Defensive rebound by K. Walker,,69-81,,
5:06.0,D. Howard makes 2-pt shot from 17 ft (assist by K. Walker),2,71-81,,
4:55.0,Personal foul by N. Batum (drawn by W. Barton),,71-81,,
4:49.0,,,71-81,,N. Jokic misses 2-pt shot from 7 ft
4:46.0,Defensive rebound by D. Howard,,71-81,,
4:42.0,Turnover by D. Howard (lost ball; steal by N. Jokic),,71-81,,
4:39.0,,,71-83,2,N. Jokic makes 2-pt shot from 1 ft
4:26.0,Shooting foul by G. Harris (drawn by D. Howard),,71-83,,
4:26.0,D. Howard misses free throw 1 of 2,,71-83,,
4:26.0,Offensive rebound by Team,,71-83,,
4:26.0,J. Lamb enters the game for M. Kidd-Gilchrist,,71-83,,
4:26.0,D. Howard misses free throw 2 of 2,,71-83,,
4:24.0,,,71-83,,Defensive rebound by T. Craig
4:08.0,,,71-83,,N. Jokic misses 2-pt shot from 20 ft
4:05.0,Defensive rebound by D. Howard,,71-83,,
3:55.0,Turnover by N. Batum (bad pass; steal by J. Murray),,71-83,,
3:52.0,,,71-83,,Turnover by J. Murray (out of bounds lost ball)
3:52.0,,,71-83,,T. Lyles enters the game for W. Barton
3:39.0,N. Batum makes 2-pt shot from 13 ft,2,73-83,,
3:19.0,,,73-85,2,J. Murray makes 2-pt shot from 9 ft
3:05.0,K. Walker makes 3-pt shot from 24 ft,3,76-85,,
2:45.0,,,76-88,3,J. Murray makes 3-pt shot from 24 ft
2:28.0,K. Walker makes 2-pt shot from 1 ft,2,78-88,,
2:16.0,,,78-91,3,J. Murray makes 3-pt shot from 24 ft
2:15.0,Charlotte full timeout,,78-91,,
2:15.0,,,78-91,,D. Arthur enters the game for G. Harris
2:15.0,,,78-91,,E. Mudiay enters the game for N. Jokic
2:15.0,C. Zeller enters the game for N. Batum,,78-91,,
2:15.0,M. Carter-Williams enters the game for D. Howard,,78-91,,
1:55.0,J. Lamb misses 3-pt shot from 24 ft,,78-91,,
1:52.0,,,78-91,,Defensive rebound by T. Lyles
1:32.0,,,78-94,3,D. Arthur makes 3-pt shot from 24 ft (assist by J. Murray)
1:21.0,Shooting foul by T. Lyles (drawn by K. Walker),,78-94,,
1:21.0,K. Walker makes free throw 1 of 2,1,79-94,,
1:21.0,K. Walker misses free throw 2 of 2,,79-94,,
1:18.0,,,79-94,,Defensive rebound by D. Arthur
0:59.0,,,79-97,3,E. Mudiay makes 3-pt shot from 24 ft (assist by J. Murray)
0:43.0,T. Graham makes 3-pt shot from 22 ft (assist by M. Carter-Williams),3,82-97,,
0:26.0,Personal foul by M. Carter-Williams (drawn by J. Murray),,82-97,,
0:15.0,,,82-97,,J. Murray misses 2-pt shot from 6 ft
0:14.0,Defensive rebound by C. Zeller,,82-97,,
0:03.0,T. Graham makes 2-pt shot from 10 ft (assist by K. Walker),2,84-97,,
0:00.0,,,84-97,,J. Murray misses 3-pt shot from 57 ft
0:00.0,,,84-97,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,84-99,2,D. Arthur makes 2-pt shot from 1 ft (assist by W. Barton)
11:24.0,T. Graham makes 3-pt shot from 24 ft (assist by J. Lamb),3,87-99,,
10:58.0,,,87-101,2,E. Mudiay makes 2-pt shot from 9 ft
10:35.0,M. Kidd-Gilchrist misses 2-pt shot from 18 ft,,87-101,,
10:32.0,,,87-101,,Defensive rebound by E. Mudiay
10:16.0,,,87-101,,W. Barton misses 2-pt shot from 20 ft
10:12.0,Defensive rebound by C. Zeller,,87-101,,
10:06.0,M. Carter-Williams misses 2-pt shot from 12 ft,,87-101,,
10:04.0,,,87-101,,Defensive rebound by T. Lyles
10:01.0,Personal foul by M. Carter-Williams (drawn by E. Mudiay),,87-101,,
9:51.0,,,87-101,,T. Craig misses 3-pt shot from 24 ft
9:48.0,Defensive rebound by C. Zeller,,87-101,,
9:40.0,Shooting foul by D. Arthur (drawn by J. Lamb),,87-101,,
9:40.0,J. Lamb makes free throw 1 of 2,1,88-101,,
9:40.0,J. Lamb makes free throw 2 of 2,1,89-101,,
9:16.0,Personal foul by C. Zeller (drawn by T. Craig),,89-101,,
9:04.0,,,89-103,2,D. Arthur makes 2-pt shot from 1 ft (assist by W. Barton)
8:46.0,J. Lamb misses 2-pt shot from 15 ft,,89-103,,
8:44.0,,,89-103,,Defensive rebound by T. Lyles
8:35.0,,,89-105,2,T. Lyles makes 2-pt shot from 6 ft (assist by W. Barton)
8:17.0,Turnover by M. Carter-Williams (bad pass; steal by D. Arthur),,89-105,,
8:13.0,,,89-105,,W. Barton misses 2-pt shot from 2 ft
8:09.0,,,89-105,,Offensive rebound by T. Craig
8:09.0,,,89-105,,T. Craig misses 2-pt shot at rim
8:08.0,Defensive rebound by M. Kidd-Gilchrist,,89-105,,
8:02.0,J. Lamb makes 3-pt shot from 25 ft,3,92-105,,
7:50.0,,,92-107,2,E. Mudiay makes 2-pt shot from 13 ft
7:50.0,Charlotte full timeout,,92-107,,
7:50.0,,,92-107,,G. Harris enters the game for W. Barton
7:50.0,N. Batum enters the game for M. Carter-Williams,,92-107,,
7:50.0,F. Kaminsky enters the game for T. Graham,,92-107,,
7:50.0,K. Walker enters the game for M. Kidd-Gilchrist,,92-107,,
7:36.0,N. Batum misses 3-pt shot from 23 ft,,92-107,,
7:34.0,Offensive rebound by C. Zeller,,92-107,,
7:30.0,Turnover by C. Zeller (bad pass; steal by D. Arthur),,92-107,,
7:18.0,,,92-109,2,T. Lyles makes 2-pt shot from 2 ft (assist by E. Mudiay)
6:54.0,Turnover by F. Kaminsky (lost ball; steal by E. Mudiay),,92-109,,
6:49.0,,,92-111,2,E. Mudiay makes 2-pt shot from 14 ft
6:39.0,,,92-111,,Technical foul by D. Arthur (drawn by C. Zeller)
6:39.0,C. Zeller makes flagrant free throw 1 of 2,1,93-111,,
6:39.0,C. Zeller makes flagrant free throw 2 of 2,1,94-111,,
6:39.0,,,94-111,,N. Jokic enters the game for D. Arthur
6:39.0,D. Howard enters the game for C. Zeller,,94-111,,
6:33.0,K. Walker misses 2-pt shot from 11 ft,,94-111,,
6:30.0,,,94-111,,Defensive rebound by N. Jokic
6:18.0,,,94-111,,Shooting foul by F. Kaminsky (drawn by T. Lyles)
6:18.0,,,94-112,1,T. Lyles makes free throw 1 of 2
6:18.0,,,94-112,,T. Lyles misses free throw 2 of 2
6:16.0,Defensive rebound by D. Howard,,94-112,,
5:59.0,N. Batum makes 3-pt shot from 23 ft (assist by F. Kaminsky),3,97-112,,
5:43.0,,,97-112,,G. Harris misses 2-pt shot from 2 ft
5:42.0,,,97-112,,Offensive rebound by N. Jokic
5:34.0,Violation by D. Howard (kicked ball),,97-112,,
5:34.0,T. Graham enters the game for F. Kaminsky,,97-112,,
5:22.0,,,97-112,,T. Lyles misses 2-pt shot from 2 ft
5:19.0,Defensive rebound by N. Batum,,97-112,,
5:11.0,N. Batum makes 3-pt shot from 25 ft,3,100-112,,
4:58.0,,,100-114,2,G. Harris makes 2-pt shot from 2 ft (assist by N. Jokic)
4:58.0,,,100-114,,Shooting foul by K. Walker (drawn by G. Harris)
4:58.0,,,100-114,,J. Murray enters the game for E. Mudiay
4:58.0,,,100-114,,G. Harris misses free throw 1 of 1
4:56.0,Defensive rebound by D. Howard,,100-114,,
4:47.0,N. Batum misses 3-pt shot from 26 ft,,100-114,,
4:43.0,,,100-114,,Defensive rebound by T. Lyles
4:24.0,,,100-114,,J. Murray misses 3-pt shot from 24 ft
4:20.0,Defensive rebound by N. Batum,,100-114,,
4:11.0,,,100-114,,Personal foul by T. Lyles (drawn by J. Lamb)
4:11.0,,,100-114,,W. Barton enters the game for T. Lyles
4:00.0,D. Howard makes 2-pt shot from 7 ft (assist by N. Batum),2,102-114,,
3:48.0,,,102-114,,Shooting foul by N. Batum (drawn by G. Harris)
3:48.0,,,102-115,1,G. Harris makes free throw 1 of 3
3:48.0,,,102-116,1,G. Harris makes free throw 2 of 3
3:48.0,,,102-117,1,G. Harris makes free throw 3 of 3
3:36.0,T. Graham misses 3-pt shot from 25 ft,,102-117,,
3:33.0,,,102-117,,Defensive rebound by N. Jokic
3:29.0,,,102-117,,Turnover by N. Jokic (bad pass; steal by J. Lamb)
3:21.0,J. Lamb makes 2-pt shot from 9 ft,2,104-117,,
3:07.0,,,104-119,2,T. Craig makes 2-pt shot from 2 ft (assist by G. Harris)
3:07.0,Charlotte full timeout,,104-119,,
3:07.0,J. O'Bryant enters the game for J. Lamb,,104-119,,
3:07.0,J. Stone enters the game for N. Batum,,104-119,,
3:07.0,D. Bacon enters the game for D. Howard,,104-119,,
3:07.0,M. Monk enters the game for K. Walker,,104-119,,
2:54.0,T. Graham misses 2-pt shot from 5 ft,,104-119,,
2:50.0,,,104-119,,Defensive rebound by W. Barton
2:31.0,,,104-119,,N. Jokic misses 2-pt shot from 12 ft
2:28.0,Defensive rebound by J. Stone,,104-119,,
2:22.0,J. O'Bryant misses 2-pt shot from 13 ft,,104-119,,
2:18.0,,,104-119,,Defensive rebound by W. Barton
2:03.0,,,104-119,,Turnover by N. Jokic (bad pass; steal by T. Graham)
1:58.0,M. Monk misses 3-pt shot from 22 ft,,104-119,,
1:54.0,,,104-119,,Defensive rebound by T. Craig
1:48.0,,,104-119,,Denver full timeout
1:48.0,,,104-119,,M. Beasley enters the game for W. Barton
1:48.0,,,104-119,,T. Lyles enters the game for G. Harris
1:48.0,,,104-119,,J. Hernangomez enters the game for N. Jokic
1:48.0,,,104-119,,E. Mudiay enters the game for J. Murray
1:32.0,,,104-119,,Turnover by M. Beasley (bad pass; steal by M. Monk)
1:24.0,M. Monk misses 2-pt shot from 14 ft,,104-119,,
1:20.0,,,104-119,,Defensive rebound by T. Craig
1:03.0,,,104-121,2,M. Beasley makes 2-pt shot from 11 ft (assist by T. Lyles)
0:50.0,J. O'Bryant misses 2-pt shot from 12 ft,,104-121,,
0:48.0,,,104-121,,Defensive rebound by J. Hernangomez
0:27.0,,,104-121,,M. Beasley misses 3-pt shot from 23 ft
0:23.0,Defensive rebound by D. Bacon,,104-121,,
0:09.0,T. Graham misses 2-pt shot from 12 ft,,104-121,,
0:05.0,,,104-121,,Defensive rebound by E. Mudiay
