time,Brooklyn,pts.away,score,pts.home,San Antonio
4:55.0,,,10-13,,Offensive rebound by L. Aldridge
4:53.0,,,10-15,2,L. Aldridge makes 2-pt shot at rim
4:37.0,Turnover by J. Harris (bad pass; steal by K. Anderson),,10-15,,
4:34.0,N. Stauskas enters the game for D. Carroll,,10-15,,
4:34.0,Q. Acy enters the game for R. Hollis-Jefferson,,10-15,,
4:21.0,,,10-15,,L. Aldridge misses 2-pt shot from 2 ft
4:19.0,Defensive rebound by Q. Acy,,10-15,,
4:12.0,J. Allen misses 2-pt shot from 6 ft,,10-15,,
4:10.0,,,10-15,,Defensive rebound by L. Aldridge
3:54.0,,,10-15,,R. Gay misses 2-pt shot from 17 ft
3:54.0,Defensive rebound by Q. Acy,,10-15,,
3:46.0,,,10-15,,Personal foul by P. Mills (drawn by J. Allen)
3:46.0,C. LeVert enters the game for S. Dinwiddie,,10-15,,
3:35.0,Turnover by C. LeVert (bad pass; steal by K. Anderson),,10-15,,
3:25.0,,,10-15,,Offensive charge foul by L. Aldridge (drawn by Q. Acy)
3:25.0,,,10-15,,Turnover by L. Aldridge (offensive foul)
3:01.0,C. LeVert makes 2-pt shot from 9 ft (assist by J. Allen),2,12-15,,
2:59.0,,,12-15,,San Antonio full timeout
2:59.0,,,12-15,,P. Gasol enters the game for L. Aldridge
2:47.0,,,12-17,2,P. Gasol makes 2-pt shot from 1 ft (assist by M. Ginobili)
2:25.0,N. Stauskas misses 2-pt shot from 2 ft,,12-17,,
2:16.0,Offensive rebound by N. Stauskas,,12-17,,
2:16.0,N. Stauskas misses 2-pt shot at rim,,12-17,,
2:14.0,,,12-17,,Defensive rebound by P. Gasol
2:13.0,,,12-17,,Turnover by R. Gay (bad pass; steal by C. LeVert)
2:06.0,C. LeVert makes 2-pt shot at rim,2,14-17,,
1:52.0,,,14-17,,Shooting foul by Q. Acy (drawn by P. Mills)
1:52.0,,,14-18,1,P. Mills makes free throw 1 of 2
1:52.0,,,14-19,1,P. Mills makes free throw 2 of 2
1:38.0,J. Harris misses 3-pt shot from 24 ft,,14-19,,
1:38.0,,,14-19,,Defensive rebound by R. Gay
1:24.0,,,14-19,,R. Gay misses 2-pt shot from 3 ft
1:24.0,Defensive rebound by J. Allen,,14-19,,
1:11.0,Q. Acy misses 2-pt shot from 2 ft,,14-19,,
1:11.0,,,14-19,,Defensive rebound by P. Gasol
1:03.0,,,14-19,,K. Anderson misses 2-pt shot from 12 ft
1:03.0,Defensive rebound by Q. Acy,,14-19,,
0:53.0,Shooting foul by R. Gay (drawn by N. Stauskas),,14-19,,
0:53.0,N. Stauskas makes free throw 1 of 3,1,15-19,,
0:53.0,N. Stauskas misses free throw 2 of 3,,15-19,,
0:53.0,Offensive rebound by Team,,15-19,,
0:53.0,,,15-19,,D. Bertans enters the game for R. Gay
0:53.0,N. Stauskas makes free throw 3 of 3,1,16-19,,
0:33.0,,,16-19,,Turnover by M. Ginobili (bad pass)
0:14.0,Offensive foul by J. Allen (drawn by P. Mills),,16-19,,
0:14.0,Turnover by J. Allen (offensive foul),,16-19,,
0:14.0,,,16-19,,B. Forbes enters the game for K. Anderson
0:02.0,,,16-19,,P. Mills misses 2-pt shot from 21 ft
0:02.0,Defensive rebound by Q. Acy,,16-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Turnover by A. Crabbe (bad pass),,16-19,,
11:45.0,,,16-19,,T. Parker enters the game for P. Mills
11:34.0,,,16-19,,Shooting foul by C. LeVert (drawn by T. Parker)
11:34.0,,,16-20,1,T. Parker makes free throw 1 of 2
11:34.0,,,16-20,,D. Green enters the game for B. Forbes
11:34.0,,,16-20,,K. Leonard enters the game for M. Ginobili
11:34.0,,,16-20,,T. Parker misses free throw 2 of 2
11:29.0,,,16-20,,Offensive rebound by D. Bertans
11:21.0,,,16-20,,Turnover by J. Lauvergne (out of bounds lost ball)
11:11.0,J. Allen makes 2-pt shot from 1 ft (assist by C. LeVert),2,18-20,,
10:49.0,,,18-22,2,D. Green makes 2-pt shot at rim (assist by D. Bertans)
10:29.0,D. Carroll makes 2-pt shot from 1 ft,2,20-22,,
10:08.0,,,20-22,,K. Leonard misses 2-pt shot from 9 ft
10:04.0,Defensive rebound by J. Allen,,20-22,,
9:57.0,C. LeVert misses 2-pt shot from 9 ft,,20-22,,
9:52.0,,,20-22,,Defensive rebound by D. Green
9:40.0,,,20-22,,K. Leonard misses 2-pt shot from 15 ft
9:36.0,Defensive rebound by J. Allen,,20-22,,
9:34.0,D. Carroll misses 2-pt shot from 2 ft,,20-22,,
9:33.0,Offensive rebound by J. Allen,,20-22,,
9:33.0,J. Allen makes 2-pt shot at rim,2,22-22,,
9:32.0,,,22-22,,San Antonio full timeout
9:32.0,,,22-22,,K. Anderson enters the game for D. Bertans
9:32.0,,,22-22,,L. Aldridge enters the game for J. Lauvergne
9:18.0,,,22-24,2,K. Anderson makes 2-pt shot at rim (assist by K. Leonard)
8:58.0,D. Carroll misses 2-pt shot from 1 ft,,22-24,,
8:58.0,Offensive rebound by J. Allen,,22-24,,
8:52.0,J. Allen misses 2-pt shot at rim,,22-24,,
8:51.0,,,22-24,,Defensive rebound by L. Aldridge
8:42.0,,,22-26,2,L. Aldridge makes 2-pt shot from 17 ft (assist by T. Parker)
8:28.0,J. Harris misses 3-pt shot from 27 ft,,22-26,,
8:28.0,,,22-26,,Defensive rebound by T. Parker
8:16.0,,,22-26,,Shooting foul by J. Allen (drawn by K. Leonard)
8:16.0,,,22-27,1,K. Leonard makes free throw 1 of 2
8:16.0,Q. Acy enters the game for J. Allen,,22-27,,
8:16.0,,,22-28,1,K. Leonard makes free throw 2 of 2
7:59.0,Q. Acy misses 3-pt shot from 25 ft,,22-28,,
7:56.0,,,22-28,,Defensive rebound by K. Anderson
7:45.0,,,22-28,,Turnover by T. Parker (bad pass; steal by D. Carroll)
7:37.0,A. Crabbe makes 3-pt shot from 25 ft (assist by J. Harris),3,25-28,,
7:20.0,,,25-30,2,K. Leonard makes 2-pt shot from 1 ft
7:06.0,C. LeVert misses 3-pt shot from 25 ft,,25-30,,
7:06.0,,,25-30,,Defensive rebound by T. Parker
6:51.0,,,25-30,,K. Leonard misses 2-pt shot from 12 ft
6:51.0,Defensive rebound by Q. Acy,,25-30,,
6:37.0,Turnover by A. Crabbe (lost ball; steal by L. Aldridge),,25-30,,
6:30.0,,,25-30,,T. Parker misses 2-pt shot from 1 ft
6:27.0,Defensive rebound by Q. Acy,,25-30,,
6:12.0,Q. Acy misses 3-pt shot from 25 ft,,25-30,,
6:12.0,,,25-30,,Defensive rebound by K. Anderson
5:55.0,,,25-30,,Shooting foul by D. Carroll (drawn by L. Aldridge)
5:55.0,,,25-31,1,L. Aldridge makes free throw 1 of 2
5:55.0,,,25-31,,M. Ginobili enters the game for K. Leonard
5:55.0,,,25-31,,P. Mills enters the game for T. Parker
5:55.0,S. Dinwiddie enters the game for J. Harris,,25-31,,
5:55.0,R. Hollis-Jefferson enters the game for C. LeVert,,25-31,,
5:55.0,,,25-32,1,L. Aldridge makes free throw 2 of 2
5:47.0,A. Crabbe makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson),3,28-32,,
5:47.0,Shooting foul by P. Mills (drawn by A. Crabbe),,28-32,,
5:47.0,,,28-32,,B. Forbes enters the game for K. Anderson
5:47.0,A. Crabbe makes free throw 1 of 1,1,29-32,,
5:31.0,,,29-32,,Shooting foul by Q. Acy (drawn by M. Ginobili)
5:31.0,,,29-33,1,M. Ginobili makes free throw 1 of 2
5:31.0,,,29-34,1,M. Ginobili makes free throw 2 of 2
5:16.0,Q. Acy makes 3-pt shot from 23 ft (assist by D. Carroll),3,32-34,,
4:56.0,,,32-34,,Turnover by M. Ginobili (bad pass)
4:56.0,,,32-34,,D. Murray enters the game for D. Green
4:41.0,Q. Acy makes 3-pt shot from 24 ft (assist by S. Dinwiddie),3,35-34,,
4:22.0,,,35-34,,Shooting foul by S. Dinwiddie (drawn by P. Mills)
4:22.0,,,35-35,1,P. Mills makes free throw 1 of 3
4:22.0,,,35-36,1,P. Mills makes free throw 2 of 3
4:22.0,C. LeVert enters the game for D. Carroll,,35-36,,
4:22.0,,,35-37,1,P. Mills makes free throw 3 of 3
4:10.0,S. Dinwiddie makes 2-pt shot from 1 ft (assist by R. Hollis-Jefferson),2,37-37,,
3:57.0,,,37-39,2,L. Aldridge makes 2-pt shot from 19 ft (assist by D. Murray)
3:36.0,Q. Acy misses 3-pt shot from 22 ft (block by M. Ginobili),,37-39,,
3:36.0,Offensive rebound by Q. Acy,,37-39,,
3:28.0,C. LeVert makes 3-pt shot from 25 ft (assist by S. Dinwiddie),3,40-39,,
3:15.0,Personal foul by Q. Acy (drawn by L. Aldridge),,40-39,,
3:15.0,,,40-40,1,L. Aldridge makes free throw 1 of 2
3:15.0,J. Harris enters the game for Q. Acy,,40-40,,
3:15.0,T. Zeller enters the game for A. Crabbe,,40-40,,
3:15.0,,,40-41,1,L. Aldridge makes free throw 2 of 2
2:59.0,T. Zeller misses 3-pt shot from 24 ft,,40-41,,
2:57.0,,,40-41,,Defensive rebound by D. Murray
2:47.0,,,40-41,,D. Murray misses 2-pt shot from 12 ft
2:45.0,Defensive rebound by T. Zeller,,40-41,,
2:31.0,T. Zeller misses 2-pt shot from 1 ft,,40-41,,
2:31.0,Offensive rebound by Team,,40-41,,
2:31.0,,,40-41,,Personal foul by L. Aldridge (drawn by T. Zeller)
2:31.0,Brooklyn full timeout,,40-41,,
2:31.0,,,40-41,,P. Gasol enters the game for D. Murray
2:31.0,,,40-41,,R. Gay enters the game for B. Forbes
2:31.0,,,40-41,,K. Leonard enters the game for L. Aldridge
2:18.0,C. LeVert makes 2-pt shot from 4 ft (assist by J. Harris),2,42-41,,
2:18.0,,,42-41,,Shooting block foul by M. Ginobili (drawn by C. LeVert)
2:18.0,C. LeVert misses free throw 1 of 1,,42-41,,
2:18.0,,,42-41,,Defensive rebound by K. Leonard
2:07.0,,,42-43,2,M. Ginobili makes 2-pt shot from 2 ft
1:50.0,Turnover by T. Zeller (turnover),,42-43,,
1:37.0,,,42-46,3,K. Leonard makes 3-pt shot from 24 ft
1:17.0,R. Hollis-Jefferson misses 2-pt shot from 4 ft,,42-46,,
1:17.0,,,42-46,,Defensive rebound by P. Gasol
1:16.0,Personal foul by R. Hollis-Jefferson (drawn by P. Gasol),,42-46,,
1:16.0,,,42-46,,P. Gasol misses free throw 1 of 2
1:16.0,,,42-46,,Offensive rebound by Team
1:16.0,,,42-47,1,P. Gasol makes free throw 2 of 2
1:06.0,T. Zeller misses 2-pt shot from 6 ft,,42-47,,
1:03.0,,,42-47,,Defensive rebound by M. Ginobili
0:58.0,,,42-50,3,P. Mills makes 3-pt shot from 23 ft (assist by R. Gay)
0:41.0,S. Dinwiddie makes 2-pt shot from 1 ft,2,44-50,,
0:34.0,,,44-50,,K. Leonard misses 3-pt shot from 24 ft
0:31.0,Defensive rebound by T. Zeller,,44-50,,
0:15.0,S. Dinwiddie misses 2-pt shot from 1 ft,,44-50,,
0:08.0,Offensive rebound by R. Hollis-Jefferson,,44-50,,
0:08.0,R. Hollis-Jefferson misses 2-pt shot at rim,,44-50,,
0:07.0,,,44-50,,Defensive rebound by P. Gasol
0:03.0,,,44-50,,Turnover by P. Mills (bad pass)
0:03.0,Q. Acy enters the game for T. Zeller,,44-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,S. Dinwiddie misses 2-pt shot from 2 ft,,44-50,,
11:33.0,,,44-50,,Defensive rebound by P. Gasol
11:24.0,,,44-50,,Shooting foul by T. Zeller (drawn by K. Leonard)
11:24.0,,,44-50,,K. Leonard misses free throw 1 of 2
11:24.0,,,44-50,,Offensive rebound by Team
11:24.0,,,44-51,1,K. Leonard makes free throw 2 of 2
11:15.0,,,44-51,,Personal block foul by L. Aldridge (drawn by D. Carroll)
11:04.0,A. Crabbe misses 2-pt shot from 7 ft,,44-51,,
10:59.0,Offensive rebound by T. Zeller,,44-51,,
10:59.0,T. Zeller makes 2-pt shot at rim,2,46-51,,
10:51.0,,,46-51,,T. Parker misses 2-pt shot from 17 ft
10:48.0,Defensive rebound by A. Crabbe,,46-51,,
10:27.0,T. Zeller makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,48-51,,
10:12.0,,,48-51,,D. Green misses 2-pt shot from 3 ft
10:09.0,Defensive rebound by D. Carroll,,48-51,,
10:04.0,S. Dinwiddie makes 3-pt shot from 27 ft (assist by D. Carroll),3,51-51,,
9:39.0,,,51-54,3,P. Gasol makes 3-pt shot from 24 ft (assist by L. Aldridge)
9:23.0,D. Carroll misses 2-pt shot from 2 ft,,51-54,,
9:20.0,,,51-54,,Defensive rebound by P. Gasol
9:12.0,,,51-54,,D. Green misses 2-pt shot from 15 ft
9:09.0,Defensive rebound by T. Zeller,,51-54,,
9:09.0,,,51-54,,Personal foul by D. Green (drawn by T. Zeller)
9:09.0,,,51-54,,B. Forbes enters the game for D. Green
8:55.0,A. Crabbe makes 3-pt shot from 24 ft (assist by S. Dinwiddie),3,54-54,,
8:31.0,,,54-54,,K. Leonard misses 2-pt shot from 19 ft
8:28.0,Defensive rebound by T. Zeller,,54-54,,
8:20.0,Turnover by A. Crabbe (lost ball; steal by L. Aldridge),,54-54,,
8:10.0,,,54-54,,B. Forbes misses 3-pt shot from 25 ft
8:07.0,Defensive rebound by D. Carroll,,54-54,,
7:56.0,Turnover by D. Carroll (bad pass; steal by B. Forbes),,54-54,,
7:50.0,,,54-57,3,T. Parker makes 3-pt shot from 23 ft (assist by B. Forbes)
7:48.0,Brooklyn full timeout,,54-57,,
7:31.0,A. Crabbe misses 3-pt shot from 24 ft,,54-57,,
7:24.0,Offensive rebound by D. Carroll,,54-57,,
7:24.0,D. Carroll misses 2-pt shot at rim,,54-57,,
7:24.0,,,54-57,,Defensive rebound by P. Gasol
7:13.0,Def 3 sec tech foul by D. Carroll,,54-57,,
7:13.0,,,54-58,1,L. Aldridge makes technical free throw
7:02.0,,,54-60,2,L. Aldridge makes 2-pt shot from 12 ft
6:45.0,Offensive foul by A. Crabbe (drawn by T. Parker),,54-60,,
6:45.0,Turnover by A. Crabbe (offensive foul),,54-60,,
6:45.0,Technical foul by Team,,54-60,,
6:45.0,,,54-60,,L. Aldridge misses technical free throw
6:45.0,,,54-60,,Offensive rebound by Team
6:28.0,,,54-63,3,P. Gasol makes 3-pt shot from 22 ft (assist by K. Leonard)
6:10.0,D. Carroll misses 3-pt shot from 24 ft,,54-63,,
6:10.0,,,54-63,,Defensive rebound by P. Gasol
6:02.0,,,54-65,2,T. Parker makes 2-pt shot from 6 ft
6:01.0,Brooklyn full timeout,,54-65,,
6:01.0,,,54-65,,P. Mills enters the game for T. Parker
6:01.0,J. Allen enters the game for A. Crabbe,,54-65,,
6:01.0,J. Harris enters the game for T. Zeller,,54-65,,
5:44.0,S. Dinwiddie misses 2-pt shot from 2 ft,,54-65,,
5:39.0,Offensive rebound by J. Allen,,54-65,,
5:39.0,J. Allen makes 2-pt shot at rim,2,56-65,,
5:18.0,,,56-65,,L. Aldridge misses 2-pt shot from 20 ft
5:16.0,,,56-65,,Offensive rebound by Team
5:16.0,C. LeVert enters the game for S. Dinwiddie,,56-65,,
5:16.0,N. Stauskas enters the game for D. Carroll,,56-65,,
5:01.0,,,56-67,2,B. Forbes makes 2-pt shot from 16 ft
4:39.0,R. Hollis-Jefferson makes 2-pt shot from 7 ft (assist by C. LeVert),2,58-67,,
4:23.0,,,58-69,2,K. Leonard makes 2-pt shot from 1 ft
3:59.0,J. Harris makes 2-pt shot from 1 ft,2,60-69,,
3:57.0,,,60-69,,San Antonio full timeout
3:57.0,,,60-69,,M. Ginobili enters the game for K. Leonard
3:57.0,,,60-69,,K. Anderson enters the game for B. Forbes
3:57.0,,,60-69,,R. Gay enters the game for L. Aldridge
3:57.0,Q. Acy enters the game for R. Hollis-Jefferson,,60-69,,
3:43.0,,,60-71,2,P. Gasol makes 2-pt shot from 2 ft (assist by M. Ginobili)
3:36.0,Offensive foul by J. Allen (drawn by P. Mills),,60-71,,
3:36.0,Turnover by J. Allen (offensive foul),,60-71,,
3:17.0,,,60-73,2,K. Anderson makes 2-pt shot from 4 ft (assist by P. Gasol)
3:17.0,,,60-73,,Shooting foul by Q. Acy (drawn by K. Anderson)
3:17.0,,,60-74,1,K. Anderson makes free throw 1 of 1
3:05.0,Q. Acy misses 3-pt shot from 22 ft,,60-74,,
3:01.0,,,60-74,,Defensive rebound by K. Anderson
2:53.0,,,60-76,2,M. Ginobili makes 2-pt shot from 2 ft (assist by P. Gasol)
2:41.0,J. Harris misses 3-pt shot from 24 ft,,60-76,,
2:38.0,,,60-76,,Defensive rebound by K. Anderson
2:25.0,Personal foul by N. Stauskas (drawn by P. Mills),,60-76,,
2:16.0,,,60-76,,Turnover by K. Anderson (bad pass)
2:04.0,C. LeVert makes 2-pt shot from 1 ft,2,62-76,,
1:52.0,,,62-76,,P. Gasol misses 3-pt shot from 25 ft
1:48.0,Defensive rebound by Q. Acy,,62-76,,
1:33.0,J. Allen misses 2-pt shot from 2 ft (block by M. Ginobili),,62-76,,
1:30.0,Offensive rebound by N. Stauskas,,62-76,,
1:28.0,Q. Acy misses 3-pt shot from 24 ft,,62-76,,
1:28.0,Offensive rebound by J. Allen,,62-76,,
1:20.0,J. Allen makes 2-pt shot at rim,2,64-76,,
1:11.0,,,64-78,2,R. Gay makes 2-pt shot from 1 ft (assist by P. Gasol)
0:58.0,C. LeVert misses 2-pt shot from 4 ft,,64-78,,
0:54.0,Offensive rebound by J. Allen,,64-78,,
0:54.0,J. Allen makes 2-pt shot at rim,2,66-78,,
0:46.0,,,66-78,,P. Mills misses 3-pt shot from 25 ft
0:42.0,Defensive rebound by Q. Acy,,66-78,,
0:32.0,,,66-78,,Personal foul by M. Ginobili (drawn by C. LeVert)
0:22.0,J. Harris makes 3-pt shot from 25 ft (assist by C. LeVert),3,69-78,,
0:00.0,,,69-78,,M. Ginobili misses 2-pt shot from 5 ft
0:00.0,,,69-78,,Offensive rebound by P. Gasol
0:00.0,,,69-80,2,P. Gasol makes 2-pt shot at rim
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,69-82,2,M. Ginobili makes 2-pt shot from 2 ft
11:26.0,Turnover by A. Crabbe (bad pass; steal by M. Ginobili),,69-82,,
11:12.0,,,69-82,,M. Ginobili misses 3-pt shot from 25 ft
11:08.0,Defensive rebound by Q. Acy,,69-82,,
10:56.0,C. LeVert makes 2-pt shot from 1 ft,2,71-82,,
10:56.0,,,71-82,,Violation by R. Gay (def goaltending)
10:37.0,,,71-84,2,L. Aldridge makes 2-pt shot from 3 ft
10:15.0,Brooklyn full timeout,,71-84,,
10:15.0,,,71-84,,T. Parker enters the game for P. Mills
10:09.0,J. Allen misses 3-pt shot from 25 ft,,71-84,,
10:07.0,,,71-84,,Defensive rebound by Team
9:48.0,,,71-84,,L. Aldridge misses 2-pt shot from 3 ft
9:40.0,,,71-84,,Offensive rebound by L. Aldridge
9:40.0,,,71-84,,L. Aldridge misses 2-pt shot at rim
9:38.0,Defensive rebound by J. Harris,,71-84,,
9:29.0,Q. Acy misses 3-pt shot from 24 ft,,71-84,,
9:27.0,,,71-84,,Defensive rebound by Team
9:27.0,,,71-84,,D. Green enters the game for M. Ginobili
9:06.0,,,71-86,2,T. Parker makes 2-pt shot from 22 ft (assist by D. Green)
8:52.0,J. Allen makes 2-pt shot from 5 ft (assist by C. LeVert),2,73-86,,
8:34.0,,,73-88,2,R. Gay makes 2-pt shot from 11 ft
8:11.0,Q. Acy misses 3-pt shot from 23 ft,,73-88,,
8:07.0,,,73-88,,Defensive rebound by L. Aldridge
7:59.0,,,73-90,2,T. Parker makes 2-pt shot from 5 ft
7:45.0,Q. Acy makes 2-pt shot from 1 ft (assist by C. LeVert),2,75-90,,
7:25.0,,,75-90,,Turnover by T. Parker (lost ball; steal by C. LeVert)
7:19.0,Turnover by C. LeVert (bad pass; steal by D. Green),,75-90,,
7:16.0,,,75-90,,R. Gay misses 3-pt shot from 22 ft
7:16.0,Defensive rebound by Team,,75-90,,
7:16.0,,,75-90,,B. Forbes enters the game for K. Anderson
7:16.0,R. Hollis-Jefferson enters the game for J. Harris,,75-90,,
7:16.0,D. Carroll enters the game for Q. Acy,,75-90,,
7:16.0,T. Zeller enters the game for C. LeVert,,75-90,,
7:16.0,S. Dinwiddie enters the game for J. Allen,,75-90,,
7:04.0,A. Crabbe makes 3-pt shot from 24 ft (assist by T. Zeller),3,78-90,,
6:59.0,,,78-90,,San Antonio full timeout
6:59.0,,,78-90,,P. Gasol enters the game for R. Gay
6:36.0,,,78-92,2,L. Aldridge makes 2-pt shot from 3 ft
6:27.0,S. Dinwiddie makes 3-pt shot from 24 ft,3,81-92,,
6:14.0,,,81-94,2,T. Parker makes 2-pt shot from 2 ft (assist by P. Gasol)
6:01.0,T. Zeller makes 2-pt shot from 3 ft,2,83-94,,
5:45.0,,,83-94,,P. Gasol misses 2-pt shot from 13 ft
5:41.0,Defensive rebound by R. Hollis-Jefferson,,83-94,,
5:30.0,D. Carroll misses 2-pt shot from 3 ft (block by P. Gasol),,83-94,,
5:27.0,Offensive rebound by T. Zeller,,83-94,,
5:25.0,T. Zeller misses 2-pt shot from 1 ft (block by D. Green),,83-94,,
5:19.0,,,83-94,,Defensive rebound by T. Parker
5:15.0,,,83-94,,L. Aldridge misses 2-pt shot from 3 ft
5:12.0,Defensive rebound by A. Crabbe,,83-94,,
5:05.0,R. Hollis-Jefferson makes 3-pt shot from 24 ft (assist by S. Dinwiddie),3,86-94,,
4:41.0,,,86-94,,L. Aldridge misses 2-pt shot from 7 ft
4:37.0,Defensive rebound by T. Zeller,,86-94,,
4:33.0,R. Hollis-Jefferson misses 2-pt shot from 7 ft,,86-94,,
4:27.0,,,86-94,,Defensive rebound by B. Forbes
4:26.0,,,86-94,,San Antonio full timeout
4:26.0,,,86-94,,P. Mills enters the game for T. Parker
4:26.0,,,86-94,,K. Leonard enters the game for B. Forbes
4:26.0,,,86-94,,M. Ginobili enters the game for D. Green
4:26.0,C. LeVert enters the game for T. Zeller,,86-94,,
4:13.0,,,86-97,3,P. Mills makes 3-pt shot from 23 ft (assist by M. Ginobili)
4:07.0,S. Dinwiddie makes 2-pt shot from 2 ft,2,88-97,,
3:58.0,,,88-99,2,L. Aldridge makes 2-pt shot from 3 ft (assist by P. Gasol)
3:58.0,,,88-99,,Shooting foul by D. Carroll (drawn by L. Aldridge)
3:58.0,,,88-100,1,L. Aldridge makes free throw 1 of 1
3:58.0,Violation by D. Carroll (lane),,88-100,,
3:45.0,R. Hollis-Jefferson makes 2-pt shot from 7 ft,2,90-100,,
3:29.0,,,90-100,,K. Leonard misses 3-pt shot from 25 ft
3:24.0,Defensive rebound by A. Crabbe,,90-100,,
3:23.0,C. LeVert makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,92-100,,
3:00.0,,,92-100,,L. Aldridge misses 2-pt shot from 16 ft
2:55.0,Defensive rebound by A. Crabbe,,92-100,,
2:48.0,A. Crabbe misses 3-pt shot from 25 ft,,92-100,,
