time,Minnesota,pts.away,score,pts.home,Boston
5:59.0,,,4-9,,Loose ball foul by A. Baynes (drawn by T. Gibson)
5:51.0,T. Gibson makes 2-pt shot from 4 ft (assist by J. Butler),2,6-9,,
5:34.0,,,6-9,,J. Tatum misses 2-pt shot from 2 ft
5:31.0,Defensive rebound by K. Towns,,6-9,,
5:08.0,K. Towns makes 2-pt shot from 14 ft,2,8-9,,
4:49.0,,,8-9,,A. Baynes misses 2-pt shot from 4 ft
4:46.0,Defensive rebound by K. Towns,,8-9,,
4:37.0,T. Jones makes 2-pt shot from 6 ft (assist by A. Wiggins),2,10-9,,
4:20.0,,,10-11,2,J. Tatum makes 2-pt shot at rim (assist by A. Horford)
3:59.0,A. Wiggins misses 3-pt shot from 23 ft,,10-11,,
3:57.0,,,10-11,,Defensive rebound by K. Irving
3:50.0,,,10-13,2,A. Baynes makes 2-pt shot at rim (assist by K. Irving)
3:26.0,T. Gibson misses 2-pt shot from 12 ft,,10-13,,
3:23.0,Offensive rebound by K. Towns,,10-13,,
3:20.0,K. Towns makes 2-pt shot from 5 ft,2,12-13,,
3:07.0,,,12-13,,Turnover by K. Irving (bad pass; steal by J. Butler)
3:03.0,J. Butler misses 2-pt shot from 1 ft (block by J. Brown),,12-13,,
3:02.0,Offensive rebound by T. Gibson,,12-13,,
3:00.0,T. Gibson makes 2-pt shot from 2 ft,2,14-13,,
2:55.0,Personal foul by A. Wiggins (drawn by A. Baynes),,14-13,,
2:55.0,Minnesota full timeout,,14-13,,
2:55.0,,,14-13,,D. Theis enters the game for J. Tatum
2:55.0,,,14-13,,G. Yabusele enters the game for A. Horford
2:55.0,,,14-13,,M. Smart enters the game for A. Baynes
2:55.0,G. Dieng enters the game for K. Towns,,14-13,,
2:55.0,J. Crawford enters the game for J. Butler,,14-13,,
2:50.0,,,14-13,,Turnover by D. Theis (traveling)
2:36.0,Shooting foul by D. Theis (drawn by A. Wiggins),,14-13,,
2:36.0,A. Wiggins misses free throw 1 of 2,,14-13,,
2:36.0,Offensive rebound by Team,,14-13,,
2:36.0,,,14-13,,T. Rozier enters the game for K. Irving
2:36.0,A. Wiggins makes free throw 2 of 2,1,15-13,,
2:13.0,,,15-13,,J. Brown misses 2-pt shot from 6 ft
2:12.0,,,15-13,,Offensive rebound by Team
2:10.0,,,15-13,,J. Brown misses 2-pt shot from 11 ft
2:06.0,,,15-13,,Offensive rebound by T. Rozier
1:59.0,,,15-15,2,T. Rozier makes 2-pt shot from 3 ft
1:44.0,,,15-15,,Personal foul by J. Brown (drawn by A. Wiggins)
1:44.0,,,15-15,,S. Ojeleye enters the game for G. Yabusele
1:44.0,N. Bjelica enters the game for T. Gibson,,15-15,,
1:35.0,G. Dieng misses 2-pt shot from 18 ft,,15-15,,
1:34.0,,,15-15,,Defensive rebound by S. Ojeleye
1:26.0,,,15-17,2,M. Smart makes 2-pt shot from 14 ft
1:08.0,Turnover by J. Crawford (bad pass; steal by D. Theis),,15-17,,
1:02.0,,,15-17,,T. Rozier misses 3-pt shot from 24 ft
1:01.0,,,15-17,,Offensive rebound by D. Theis
1:01.0,,,15-17,,D. Theis misses 2-pt shot at rim
1:00.0,Defensive rebound by A. Wiggins,,15-17,,
0:55.0,,,15-17,,Personal foul by D. Theis (drawn by A. Wiggins)
0:55.0,A. Wiggins makes free throw 1 of 2,1,16-17,,
0:55.0,A. Wiggins misses free throw 2 of 2,,16-17,,
0:55.0,Offensive rebound by N. Bjelica,,16-17,,
0:38.0,J. Crawford misses 3-pt shot from 25 ft,,16-17,,
0:35.0,,,16-17,,Defensive rebound by D. Theis
0:26.0,,,16-19,2,M. Smart makes 2-pt shot from 19 ft
0:06.0,A. Wiggins misses 2-pt shot from 6 ft (block by J. Brown),,16-19,,
0:05.0,Offensive rebound by Team,,16-19,,
0:03.0,J. Crawford makes 3-pt shot from 25 ft (assist by T. Jones),3,19-19,,
0:00.0,,,19-19,,M. Smart misses 3-pt shot from 58 ft
0:00.0,,,19-19,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,19-19,,M. Smart misses 2-pt shot from 14 ft (block by J. Crawford)
11:39.0,Defensive rebound by G. Dieng,,19-19,,
11:18.0,A. Brooks misses 2-pt shot from 7 ft,,19-19,,
11:17.0,Offensive rebound by N. Bjelica,,19-19,,
11:17.0,N. Bjelica misses 2-pt shot at rim,,19-19,,
11:16.0,,,19-19,,Defensive rebound by D. Theis
11:03.0,,,19-19,,S. Ojeleye misses 3-pt shot from 24 ft
11:03.0,Defensive rebound by J. Crawford,,19-19,,
10:51.0,Shooting foul by S. Ojeleye (drawn by G. Dieng),,19-19,,
10:51.0,G. Dieng misses free throw 1 of 2,,19-19,,
10:51.0,Offensive rebound by Team,,19-19,,
10:51.0,,,19-19,,A. Horford enters the game for S. Ojeleye
10:51.0,G. Dieng makes free throw 2 of 2,1,20-19,,
10:38.0,,,20-19,,M. Smart misses 3-pt shot from 23 ft
10:35.0,Defensive rebound by G. Dieng,,20-19,,
10:29.0,J. Crawford makes 3-pt shot from 26 ft,3,23-19,,
10:08.0,,,23-21,2,M. Smart makes 2-pt shot at rim (assist by A. Horford)
9:52.0,J. Crawford misses 2-pt shot from 18 ft,,23-21,,
9:49.0,,,23-21,,Defensive rebound by A. Horford
9:38.0,,,23-21,,A. Horford misses 3-pt shot from 24 ft
9:35.0,Defensive rebound by K. Towns,,23-21,,
9:26.0,A. Brooks misses 2-pt shot from 8 ft,,23-21,,
9:24.0,,,23-21,,Defensive rebound by T. Rozier
9:18.0,,,23-23,2,D. Theis makes 2-pt shot at rim (assist by J. Tatum)
9:06.0,K. Towns misses 2-pt shot from 19 ft,,23-23,,
9:02.0,,,23-23,,Defensive rebound by J. Tatum
8:56.0,,,23-23,,J. Tatum misses 3-pt shot from 26 ft
8:53.0,Defensive rebound by J. Crawford,,23-23,,
8:45.0,N. Bjelica misses 3-pt shot from 27 ft,,23-23,,
8:43.0,,,23-23,,Defensive rebound by T. Rozier
8:36.0,,,23-23,,D. Theis misses 3-pt shot from 24 ft
8:33.0,Defensive rebound by J. Crawford,,23-23,,
8:15.0,N. Bjelica makes 2-pt shot from 3 ft,2,25-23,,
7:57.0,,,25-25,2,M. Smart makes 2-pt shot from 21 ft (assist by A. Horford)
7:40.0,K. Towns makes 2-pt shot from 14 ft,2,27-25,,
7:40.0,Shooting foul by A. Horford (drawn by K. Towns),,27-25,,
7:40.0,,,27-25,,K. Irving enters the game for A. Horford
7:40.0,T. Jones enters the game for A. Brooks,,27-25,,
7:40.0,K. Towns makes free throw 1 of 1,1,28-25,,
7:27.0,,,28-27,2,K. Irving makes 2-pt shot from 5 ft
7:08.0,K. Towns misses 2-pt shot from 8 ft,,28-27,,
7:06.0,,,28-27,,Defensive rebound by K. Irving
6:57.0,,,28-27,,K. Irving misses 2-pt shot from 8 ft
6:55.0,Defensive rebound by K. Towns,,28-27,,
6:51.0,N. Bjelica misses 2-pt shot from 5 ft,,28-27,,
6:48.0,,,28-27,,Defensive rebound by T. Rozier
6:45.0,,,28-27,,M. Smart misses 3-pt shot from 23 ft
6:45.0,,,28-27,,Offensive rebound by T. Rozier
6:39.0,,,28-27,,T. Rozier misses 3-pt shot from 26 ft
6:37.0,Defensive rebound by G. Dieng,,28-27,,
6:21.0,N. Bjelica misses 3-pt shot from 25 ft,,28-27,,
6:19.0,,,28-27,,Defensive rebound by D. Theis
6:11.0,,,28-29,2,T. Rozier makes 2-pt shot from 1 ft
6:04.0,Minnesota full timeout,,28-29,,
6:04.0,,,28-29,,A. Baynes enters the game for D. Theis
6:04.0,A. Wiggins enters the game for G. Dieng,,28-29,,
6:04.0,J. Butler enters the game for N. Bjelica,,28-29,,
6:04.0,T. Gibson enters the game for J. Crawford,,28-29,,
6:00.0,K. Towns makes 2-pt shot from 3 ft (assist by J. Butler),2,30-29,,
6:00.0,Shooting foul by A. Baynes (drawn by K. Towns),,30-29,,
6:00.0,,,30-29,,A. Horford enters the game for M. Smart
6:00.0,K. Towns makes free throw 1 of 1,1,31-29,,
5:39.0,,,31-32,3,T. Rozier makes 3-pt shot from 23 ft (assist by A. Horford)
5:16.0,Shooting foul by A. Horford (drawn by K. Towns),,31-32,,
5:16.0,K. Towns makes free throw 1 of 2,1,32-32,,
5:16.0,K. Towns makes free throw 2 of 2,1,33-32,,
4:59.0,,,33-32,,K. Irving misses 2-pt shot from 3 ft
4:55.0,Defensive rebound by T. Jones,,33-32,,
4:51.0,T. Jones misses 2-pt shot from 4 ft,,33-32,,
4:50.0,,,33-32,,Defensive rebound by A. Baynes
4:50.0,Personal foul by K. Towns (drawn by A. Baynes),,33-32,,
4:40.0,,,33-32,,Offensive foul by K. Irving (drawn by K. Towns)
4:40.0,,,33-32,,Turnover by K. Irving (offensive foul)
4:40.0,,,33-32,,J. Brown enters the game for T. Rozier
4:17.0,J. Butler misses 2-pt shot from 2 ft,,33-32,,
4:14.0,Offensive rebound by K. Towns,,33-32,,
4:12.0,T. Jones misses 3-pt shot from 25 ft,,33-32,,
4:12.0,Offensive rebound by J. Butler,,33-32,,
4:04.0,J. Butler misses 3-pt shot from 23 ft,,33-32,,
4:02.0,,,33-32,,Defensive rebound by J. Brown
3:54.0,,,33-32,,J. Brown misses 3-pt shot from 25 ft
3:50.0,Defensive rebound by K. Towns,,33-32,,
3:33.0,T. Gibson misses 2-pt shot from 7 ft,,33-32,,
3:32.0,,,33-32,,Defensive rebound by Team
3:32.0,,,33-32,,Boston full timeout
3:32.0,,,33-32,,G. Yabusele enters the game for J. Tatum
3:32.0,,,33-32,,M. Smart enters the game for A. Horford
3:14.0,,,33-32,,Shooting foul by T. Jones (drawn by A. Baynes)
3:14.0,,,33-33,1,A. Baynes makes free throw 1 of 2
3:14.0,,,33-33,,A. Baynes misses free throw 2 of 2
3:14.0,Defensive rebound by K. Towns,,33-33,,
2:53.0,J. Butler makes 2-pt shot from 12 ft (assist by K. Towns),2,35-33,,
2:30.0,,,35-33,,A. Baynes misses 2-pt shot from 4 ft
2:29.0,,,35-33,,Offensive rebound by G. Yabusele
2:29.0,,,35-35,2,G. Yabusele makes 2-pt shot at rim
2:02.0,Turnover by T. Gibson (turnover),,35-35,,
1:51.0,Personal foul by T. Jones (drawn by K. Irving),,35-35,,
1:45.0,,,35-38,3,J. Brown makes 3-pt shot from 25 ft (assist by K. Irving)
1:32.0,,,35-38,,Personal foul by J. Brown (drawn by J. Butler)
1:32.0,J. Butler makes free throw 1 of 2,1,36-38,,
1:32.0,J. Butler misses free throw 2 of 2,,36-38,,
1:30.0,,,36-38,,Defensive rebound by A. Baynes
1:19.0,,,36-38,,K. Irving misses 3-pt shot from 25 ft
1:16.0,,,36-38,,Offensive rebound by J. Brown
1:02.0,,,36-38,,Turnover by G. Yabusele (lost ball; steal by J. Butler)
0:59.0,A. Wiggins makes 2-pt shot from 1 ft (assist by J. Butler),2,38-38,,
0:48.0,,,38-38,,A. Baynes misses 2-pt shot at rim
0:45.0,,,38-38,,Offensive rebound by Team
0:45.0,Violation by J. Butler (kicked ball),,38-38,,
0:45.0,,,38-38,,J. Tatum enters the game for A. Baynes
0:45.0,,,38-38,,D. Theis enters the game for G. Yabusele
0:31.0,,,38-40,2,M. Smart makes 2-pt shot from 5 ft
0:13.0,Offensive charge foul by A. Wiggins (drawn by M. Smart),,38-40,,
0:13.0,Turnover by A. Wiggins (offensive foul),,38-40,,
0:01.0,,,38-40,,Shooting foul by T. Jones (drawn by K. Irving)
0:01.0,,,38-41,1,K. Irving makes free throw 1 of 2
0:01.0,,,38-41,,K. Irving misses free throw 2 of 2
0:01.0,Defensive rebound by K. Towns,,38-41,,
0:00.0,,,38-41,,T. Rozier enters the game for J. Brown
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,38-41,,A. Baynes misses 2-pt shot from 6 ft (block by A. Wiggins)
11:37.0,Defensive rebound by K. Towns,,38-41,,
11:29.0,K. Towns misses 3-pt shot from 25 ft,,38-41,,
11:28.0,,,38-41,,Defensive rebound by A. Horford
11:19.0,,,38-41,,K. Irving misses 2-pt shot from 9 ft
11:19.0,Defensive rebound by Team,,38-41,,
11:04.0,T. Jones misses 2-pt shot from 2 ft (block by A. Baynes),,38-41,,
11:03.0,,,38-41,,Defensive rebound by K. Irving
10:59.0,,,38-41,,J. Brown misses 3-pt shot from 23 ft
10:58.0,,,38-41,,Offensive rebound by A. Horford
10:58.0,,,38-41,,A. Horford misses 2-pt shot at rim
10:57.0,,,38-41,,Offensive rebound by Team
10:51.0,Personal foul by T. Jones (drawn by A. Baynes),,38-41,,
10:51.0,A. Brooks enters the game for T. Jones,,38-41,,
10:40.0,,,38-43,2,J. Brown makes 2-pt shot from 1 ft (assist by K. Irving)
10:26.0,A. Brooks makes 2-pt shot from 13 ft,2,40-43,,
10:10.0,,,40-43,,Turnover by A. Horford (lost ball; steal by A. Wiggins)
10:05.0,J. Butler makes 2-pt shot from 11 ft (assist by T. Gibson),2,42-43,,
9:42.0,,,42-43,,Shooting foul by A. Wiggins (drawn by J. Brown)
9:42.0,,,42-44,1,J. Brown makes free throw 1 of 2
9:42.0,,,42-44,,D. Theis enters the game for A. Baynes
9:42.0,,,42-45,1,J. Brown makes free throw 2 of 2
9:31.0,A. Brooks makes 2-pt shot from 2 ft,2,44-45,,
9:17.0,,,44-45,,J. Brown misses 3-pt shot from 25 ft
9:16.0,Defensive rebound by K. Towns,,44-45,,
9:04.0,Shooting foul by D. Theis (drawn by K. Towns),,44-45,,
9:04.0,K. Towns makes free throw 1 of 2,1,45-45,,
9:04.0,K. Towns makes free throw 2 of 2,1,46-45,,
8:50.0,,,46-47,2,D. Theis makes 2-pt shot from 3 ft (assist by A. Horford)
8:25.0,J. Butler makes 2-pt shot from 13 ft,2,48-47,,
8:10.0,,,48-47,,J. Brown misses 3-pt shot from 25 ft
8:07.0,,,48-47,,Offensive rebound by D. Theis
8:06.0,,,48-47,,J. Brown misses 3-pt shot from 25 ft
8:06.0,Defensive rebound by A. Brooks,,48-47,,
7:55.0,A. Brooks misses 2-pt shot from 1 ft,,48-47,,
7:53.0,,,48-47,,Defensive rebound by D. Theis
7:46.0,,,48-47,,J. Tatum misses 3-pt shot from 26 ft
7:44.0,,,48-47,,Offensive rebound by D. Theis
7:44.0,,,48-47,,Shooting foul by A. Brooks (drawn by D. Theis)
7:44.0,,,48-47,,D. Theis misses free throw 1 of 2
7:44.0,,,48-47,,Offensive rebound by Team
7:44.0,,,48-48,1,D. Theis makes free throw 2 of 2
7:20.0,Turnover by J. Butler (bad pass; steal by J. Tatum),,48-48,,
7:15.0,,,48-48,,J. Tatum misses 3-pt shot from 26 ft
7:11.0,Defensive rebound by K. Towns,,48-48,,
7:01.0,A. Brooks misses 3-pt shot from 28 ft,,48-48,,
6:59.0,Offensive rebound by A. Wiggins,,48-48,,
6:54.0,A. Wiggins makes 2-pt shot from 13 ft,2,50-48,,
6:34.0,,,50-48,,A. Horford misses 3-pt shot from 27 ft
6:34.0,,,50-48,,Offensive rebound by J. Tatum
6:24.0,,,50-48,,J. Brown misses 2-pt shot from 3 ft
6:24.0,,,50-48,,Offensive rebound by J. Brown
6:24.0,,,50-48,,Boston full timeout
6:12.0,,,50-48,,K. Irving misses 2-pt shot from 2 ft (block by K. Towns)
6:11.0,Defensive rebound by K. Towns,,50-48,,
6:01.0,A. Wiggins makes 3-pt shot from 24 ft (assist by T. Gibson),3,53-48,,
5:43.0,,,53-48,,Turnover by D. Theis (bad pass; steal by A. Brooks)
5:31.0,Turnover by J. Butler (traveling),,53-48,,
5:05.0,,,53-48,,Turnover by Team (shot clock)
4:53.0,Shooting foul by K. Irving (drawn by J. Butler),,53-48,,
4:53.0,J. Butler makes free throw 1 of 2,1,54-48,,
4:53.0,,,54-48,,M. Smart enters the game for J. Tatum
4:53.0,J. Butler makes free throw 2 of 2,1,55-48,,
4:38.0,,,55-51,3,D. Theis makes 3-pt shot from 23 ft (assist by K. Irving)
4:21.0,K. Towns makes 2-pt shot from 19 ft (assist by A. Brooks),2,57-51,,
4:04.0,,,57-51,,A. Horford misses 2-pt shot from 3 ft
4:03.0,,,57-51,,Offensive rebound by M. Smart
4:03.0,,,57-53,2,M. Smart makes 2-pt shot at rim
3:48.0,,,57-53,,Personal foul by J. Brown (drawn by J. Butler)
3:48.0,,,57-53,,T. Rozier enters the game for K. Irving
3:38.0,K. Towns misses 2-pt shot from 1 ft (block by A. Horford),,57-53,,
3:35.0,,,57-53,,Defensive rebound by D. Theis
3:17.0,,,57-53,,A. Horford misses 3-pt shot from 25 ft
3:13.0,Defensive rebound by K. Towns,,57-53,,
2:57.0,J. Butler misses 2-pt shot from 11 ft,,57-53,,
2:54.0,,,57-53,,Defensive rebound by M. Smart
2:48.0,,,57-55,2,M. Smart makes 2-pt shot from 2 ft
2:44.0,Turnover by A. Wiggins (turnover),,57-55,,
2:44.0,Minnesota full timeout,,57-55,,
2:44.0,,,57-55,,A. Baynes enters the game for D. Theis
2:44.0,G. Dieng enters the game for J. Butler,,57-55,,
2:44.0,J. Crawford enters the game for K. Towns,,57-55,,
2:41.0,,,57-57,2,J. Brown makes 2-pt shot from 2 ft (assist by A. Horford)
2:22.0,J. Crawford makes 3-pt shot from 22 ft (assist by A. Brooks),3,60-57,,
2:07.0,,,60-60,3,A. Horford makes 3-pt shot from 25 ft (assist by T. Rozier)
1:43.0,T. Gibson misses 2-pt shot from 15 ft,,60-60,,
1:40.0,,,60-60,,Defensive rebound by T. Rozier
1:31.0,,,60-62,2,T. Rozier makes 2-pt shot from 2 ft
1:11.0,A. Wiggins misses 2-pt shot from 14 ft,,60-62,,
1:08.0,,,60-62,,Defensive rebound by T. Rozier
0:59.0,,,60-64,2,A. Horford makes 2-pt shot from 1 ft
0:59.0,,,60-64,,Shooting foul by T. Gibson (drawn by A. Horford)
0:59.0,,,60-64,,A. Horford misses free throw 1 of 1
0:59.0,Defensive rebound by A. Wiggins,,60-64,,
0:44.0,A. Wiggins misses 2-pt shot from 16 ft,,60-64,,
0:42.0,,,60-64,,Defensive rebound by A. Baynes
0:34.0,,,60-64,,T. Rozier misses 3-pt shot from 26 ft
0:31.0,Defensive rebound by Team,,60-64,,
0:31.0,,,60-64,,Loose ball foul by J. Brown (drawn by T. Gibson)
0:31.0,,,60-64,,J. Tatum enters the game for J. Brown
0:17.0,Shooting foul by J. Tatum (drawn by T. Gibson),,60-64,,
0:17.0,T. Gibson makes free throw 1 of 2,1,61-64,,
0:17.0,,,61-64,,K. Irving enters the game for A. Baynes
0:17.0,M. Georges-Hunt enters the game for J. Crawford,,61-64,,
0:17.0,T. Gibson makes free throw 2 of 2,1,62-64,,
0:01.0,,,62-66,2,K. Irving makes 2-pt shot from 3 ft (assist by A. Horford)
0:00.0,A. Brooks misses 3-pt shot from 68 ft,,62-66,,
0:00.0,Offensive rebound by Team,,62-66,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,J. Crawford makes 3-pt shot from 28 ft (assist by J. Butler),3,65-66,,
11:21.0,,,65-68,2,A. Baynes makes 2-pt shot from 18 ft (assist by M. Smart)
11:09.0,Offensive foul by G. Dieng (drawn by M. Smart),,65-68,,
11:09.0,Turnover by G. Dieng (offensive foul),,65-68,,
10:55.0,,,65-70,2,A. Baynes makes 2-pt shot from 1 ft (assist by K. Irving)
10:38.0,,,65-70,,Personal foul by K. Irving (drawn by N. Bjelica)
10:31.0,K. Towns makes 2-pt shot from 17 ft (assist by J. Butler),2,67-70,,
10:14.0,,,67-70,,M. Smart misses 3-pt shot from 26 ft
10:11.0,Defensive rebound by G. Dieng,,67-70,,
9:59.0,K. Towns misses 3-pt shot from 26 ft,,67-70,,
9:55.0,,,67-70,,Defensive rebound by A. Baynes
9:52.0,,,67-72,2,T. Rozier makes 2-pt shot from 8 ft
9:29.0,J. Butler misses 3-pt shot from 25 ft,,67-72,,
9:26.0,,,67-72,,Defensive rebound by A. Baynes
9:24.0,,,67-72,,T. Rozier misses 3-pt shot from 25 ft
9:22.0,,,67-72,,Offensive rebound by M. Smart
9:16.0,,,67-72,,T. Rozier misses 3-pt shot from 26 ft
9:13.0,Defensive rebound by K. Towns,,67-72,,
9:05.0,J. Crawford misses 2-pt shot from 18 ft,,67-72,,
9:02.0,,,67-72,,Defensive rebound by T. Rozier
8:59.0,Personal foul by N. Bjelica (drawn by K. Irving),,67-72,,
8:59.0,T. Jones enters the game for N. Bjelica,,67-72,,
8:45.0,,,67-74,2,M. Smart makes 2-pt shot from 2 ft (assist by K. Irving)
8:32.0,Shooting foul by D. Theis (drawn by J. Butler),,67-74,,
8:32.0,J. Butler makes free throw 1 of 2,1,68-74,,
8:32.0,J. Butler misses free throw 2 of 2,,68-74,,
8:32.0,,,68-74,,Defensive rebound by D. Theis
8:16.0,,,68-74,,D. Theis misses 3-pt shot from 24 ft
8:15.0,,,68-74,,Offensive rebound by A. Baynes
8:08.0,,,68-74,,D. Theis misses 3-pt shot from 23 ft
8:07.0,,,68-74,,Offensive rebound by D. Theis
8:02.0,,,68-77,3,T. Rozier makes 3-pt shot from 27 ft (assist by K. Irving)
8:00.0,Minnesota full timeout,,68-77,,
7:45.0,K. Towns makes 3-pt shot from 23 ft (assist by T. Jones),3,71-77,,
7:32.0,,,71-79,2,K. Irving makes 2-pt shot from 20 ft
7:09.0,J. Crawford misses 2-pt shot from 17 ft,,71-79,,
7:06.0,,,71-79,,Defensive rebound by T. Rozier
6:59.0,,,71-79,,Shooting foul by T. Jones (drawn by K. Irving)
6:59.0,,,71-80,1,K. Irving makes free throw 1 of 2
6:59.0,,,71-81,1,K. Irving makes free throw 2 of 2
6:48.0,Shooting foul by T. Rozier (drawn by J. Butler),,71-81,,
6:48.0,J. Butler makes free throw 1 of 2,1,72-81,,
6:48.0,J. Butler makes free throw 2 of 2,1,73-81,,
6:35.0,,,73-81,,A. Baynes misses 2-pt shot from 18 ft
6:33.0,,,73-81,,Offensive rebound by K. Irving
6:30.0,,,73-83,2,A. Baynes makes 2-pt shot from 1 ft (assist by D. Theis)
6:08.0,Turnover by J. Crawford (bad pass; steal by M. Smart),,73-83,,
6:05.0,,,73-83,,Shooting foul by J. Butler (drawn by M. Smart)
6:05.0,,,73-84,1,M. Smart makes free throw 1 of 2
6:05.0,A. Wiggins enters the game for G. Dieng,,73-84,,
6:05.0,T. Gibson enters the game for J. Butler,,73-84,,
6:05.0,,,73-85,1,M. Smart makes free throw 2 of 2
5:51.0,K. Towns misses 2-pt shot from 11 ft,,73-85,,
5:50.0,Offensive rebound by T. Gibson,,73-85,,
5:50.0,T. Gibson makes 2-pt shot at rim,2,75-85,,
5:30.0,,,75-85,,Turnover by T. Rozier (lost ball; steal by T. Jones)
5:17.0,Turnover by T. Gibson (bad pass; steal by K. Irving),,75-85,,
5:10.0,,,75-85,,K. Irving misses 3-pt shot from 25 ft
5:07.0,Defensive rebound by K. Towns,,75-85,,
5:01.0,Turnover by J. Crawford (traveling),,75-85,,
4:47.0,,,75-85,,D. Theis misses 3-pt shot from 26 ft
4:45.0,Defensive rebound by T. Jones,,75-85,,
4:37.0,Shooting foul by A. Baynes (drawn by J. Crawford),,75-85,,
4:37.0,J. Crawford makes free throw 1 of 2,1,76-85,,
4:37.0,,,76-85,,J. Tatum enters the game for K. Irving
4:37.0,,,76-85,,J. Brown enters the game for M. Smart
4:37.0,,,76-85,,A. Horford enters the game for A. Baynes
4:37.0,J. Crawford misses free throw 2 of 2,,76-85,,
4:37.0,,,76-85,,Defensive rebound by A. Horford
4:24.0,,,76-85,,Turnover by D. Theis (bad pass)
4:24.0,J. Butler enters the game for J. Crawford,,76-85,,
4:07.0,A. Wiggins misses 2-pt shot from 18 ft,,76-85,,
4:04.0,,,76-85,,Defensive rebound by J. Brown
4:03.0,,,76-85,,Boston full timeout
4:03.0,,,76-85,,K. Irving enters the game for T. Rozier
4:03.0,,,76-85,,M. Smart enters the game for D. Theis
3:42.0,,,76-87,2,K. Irving makes 2-pt shot from 17 ft
3:16.0,T. Jones misses 3-pt shot from 27 ft,,76-87,,
3:13.0,,,76-87,,Defensive rebound by K. Irving
2:57.0,,,76-87,,A. Horford misses 3-pt shot from 26 ft
2:55.0,Defensive rebound by K. Towns,,76-87,,
2:46.0,J. Butler misses 2-pt shot from 7 ft,,76-87,,
2:45.0,Offensive rebound by J. Butler,,76-87,,
2:44.0,Shooting foul by M. Smart (drawn by J. Butler),,76-87,,
2:44.0,J. Butler makes free throw 1 of 2,1,77-87,,
2:44.0,J. Butler makes free throw 2 of 2,1,78-87,,
