time,Phoenix,pts.away,score,pts.home,Oklahoma City
4:51.0,,,17-15,,Shooting foul by J. Jackson (drawn by P. George)
4:51.0,,,17-16,1,P. George makes free throw 1 of 2
4:51.0,,,17-17,1,P. George makes free throw 2 of 2
4:41.0,J. Jackson misses 3-pt shot from 25 ft,,17-17,,
4:39.0,,,17-17,,Defensive rebound by R. Westbrook
4:36.0,,,17-19,2,C. Brewer makes 2-pt shot from 1 ft (assist by R. Westbrook)
4:11.0,J. Jackson misses 2-pt shot from 4 ft (block by S. Adams),,17-19,,
4:09.0,,,17-19,,Defensive rebound by P. George
3:53.0,,,17-19,,C. Anthony misses 3-pt shot from 25 ft
3:50.0,,,17-19,,Offensive rebound by S. Adams
3:48.0,,,17-21,2,S. Adams makes 2-pt shot at rim
3:48.0,,,17-21,,Shooting foul by D. Bender (drawn by S. Adams)
3:48.0,,,17-21,,A. Abrines enters the game for C. Brewer
3:48.0,M. Chriss enters the game for J. Jackson,,17-21,,
3:48.0,,,17-21,,S. Adams misses free throw 1 of 1
3:47.0,Defensive rebound by A. Len,,17-21,,
3:47.0,Phoenix full timeout,,17-21,,
3:47.0,D. Booker enters the game for D. Bender,,17-21,,
3:26.0,D. Booker misses 2-pt shot from 13 ft,,17-21,,
3:22.0,,,17-21,,Defensive rebound by S. Adams
3:19.0,,,17-23,2,R. Westbrook makes 2-pt shot at rim
3:19.0,,,17-23,,Shooting foul by D. Booker (drawn by R. Westbrook)
3:19.0,,,17-24,1,R. Westbrook makes free throw 1 of 1
3:06.0,T. Daniels makes 3-pt shot from 24 ft (assist by E. Payton),3,20-24,,
2:49.0,Def 3 sec tech foul by A. Len,,20-24,,
2:49.0,,,20-25,1,P. George makes technical free throw
2:49.0,,,20-25,,R. Felton enters the game for R. Westbrook
2:39.0,,,20-25,,P. George misses 2-pt shot from 1 ft (block by T. Daniels)
2:38.0,Defensive rebound by E. Payton,,20-25,,
2:32.0,A. Len misses 2-pt shot from 1 ft,,20-25,,
2:30.0,,,20-25,,Defensive rebound by P. George
2:23.0,,,20-25,,P. George misses 2-pt shot from 17 ft
2:21.0,Defensive rebound by M. Chriss,,20-25,,
2:15.0,T. Daniels misses 3-pt shot from 24 ft,,20-25,,
2:12.0,,,20-25,,Defensive rebound by C. Anthony
2:03.0,,,20-25,,Turnover by C. Anthony (lost ball; steal by A. Len)
1:56.0,Turnover by E. Payton (lost ball; steal by A. Abrines),,20-25,,
1:48.0,,,20-25,,Shooting foul by T. Daniels (drawn by C. Anthony)
1:48.0,,,20-25,,C. Anthony misses free throw 1 of 2
1:48.0,,,20-25,,Offensive rebound by Team
1:48.0,,,20-25,,P. Patterson enters the game for S. Adams
1:48.0,S. Harrison enters the game for E. Payton,,20-25,,
1:48.0,,,20-25,,C. Anthony misses free throw 2 of 2
1:45.0,Defensive rebound by A. Len,,20-25,,
1:26.0,T. Daniels misses 3-pt shot from 24 ft,,20-25,,
1:23.0,,,20-25,,Defensive rebound by A. Abrines
1:08.0,,,20-25,,P. Patterson misses 3-pt shot from 22 ft
1:06.0,Defensive rebound by S. Harrison,,20-25,,
0:58.0,M. Chriss misses 3-pt shot from 23 ft,,20-25,,
0:55.0,,,20-25,,Defensive rebound by P. Patterson
0:36.0,,,20-25,,R. Felton misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by D. Booker,,20-25,,
0:24.0,D. Booker makes 2-pt shot from 1 ft,2,22-25,,
0:24.0,Shooting foul by A. Abrines (drawn by D. Booker),,22-25,,
0:24.0,,,22-25,,J. Grant enters the game for C. Anthony
0:24.0,D. Bender enters the game for A. Len,,22-25,,
0:24.0,D. Booker makes free throw 1 of 1,1,23-25,,
0:04.0,,,23-25,,Shooting foul by M. Chriss (drawn by J. Grant)
0:04.0,,,23-26,1,J. Grant makes free throw 1 of 2
0:04.0,,,23-26,,J. Grant misses free throw 2 of 2
0:02.0,Defensive rebound by T. Daniels,,23-26,,
0:00.0,T. Daniels misses 3-pt shot from 25 ft,,23-26,,
0:00.0,Offensive rebound by Team,,23-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,23-26,,Offensive foul by P. Patterson (drawn by S. Harrison)
11:46.0,,,23-26,,Turnover by P. Patterson (offensive foul)
11:37.0,Shooting foul by J. Grant (drawn by J. Jackson),,23-26,,
11:37.0,J. Jackson makes free throw 1 of 2,1,24-26,,
11:37.0,J. Jackson makes free throw 2 of 2,1,25-26,,
11:17.0,,,25-26,,R. Felton misses 3-pt shot from 26 ft
11:12.0,Defensive rebound by S. Harrison,,25-26,,
11:03.0,Offensive foul by T. Daniels (drawn by J. Grant),,25-26,,
11:03.0,Turnover by T. Daniels (offensive foul),,25-26,,
11:03.0,,,25-26,,T. Ferguson enters the game for A. Abrines
10:41.0,,,25-29,3,R. Felton makes 3-pt shot from 27 ft (assist by J. Huestis)
10:21.0,S. Harrison makes 2-pt shot from 4 ft,2,27-29,,
10:21.0,Shooting foul by J. Grant (drawn by S. Harrison),,27-29,,
10:21.0,S. Harrison makes free throw 1 of 1,1,28-29,,
10:21.0,,,28-29,,Oklahoma City full timeout
10:07.0,,,28-29,,Turnover by R. Felton (bad pass; steal by T. Daniels)
9:59.0,T. Daniels misses 3-pt shot from 24 ft,,28-29,,
9:55.0,,,28-29,,Defensive rebound by J. Huestis
9:46.0,,,28-29,,Turnover by R. Felton (lost ball; steal by J. Jackson)
9:32.0,S. Harrison misses 3-pt shot from 25 ft,,28-29,,
9:30.0,,,28-29,,Defensive rebound by J. Huestis
9:13.0,,,28-29,,Turnover by J. Grant (lost ball; steal by S. Harrison)
9:09.0,M. Chriss makes 2-pt shot at rim (assist by J. Jackson),2,30-29,,
8:42.0,,,30-29,,J. Grant misses 3-pt shot from 23 ft
8:40.0,Defensive rebound by D. Bender,,30-29,,
8:18.0,J. Jackson misses 2-pt shot from 2 ft (block by R. Felton),,30-29,,
8:18.0,Offensive rebound by Team,,30-29,,
8:18.0,,,30-29,,S. Adams enters the game for R. Felton
8:18.0,,,30-29,,R. Westbrook enters the game for J. Grant
8:17.0,J. Jackson misses 2-pt shot from 2 ft,,30-29,,
8:16.0,Offensive rebound by Team,,30-29,,
8:16.0,Turnover by Team (shot clock),,30-29,,
8:01.0,,,30-29,,R. Westbrook misses 2-pt shot from 20 ft
8:01.0,Defensive rebound by T. Daniels,,30-29,,
7:50.0,Turnover by J. Jackson (bad pass; steal by S. Adams),,30-29,,
7:39.0,Personal foul by S. Harrison (drawn by P. Patterson),,30-29,,
7:39.0,,,30-29,,C. Brewer enters the game for J. Huestis
7:39.0,T. Chandler enters the game for M. Chriss,,30-29,,
7:31.0,,,30-29,,R. Westbrook misses 2-pt shot from 8 ft
7:31.0,Defensive rebound by T. Chandler,,30-29,,
7:16.0,Turnover by J. Jackson (bad pass; steal by T. Ferguson),,30-29,,
7:13.0,D. Booker enters the game for S. Harrison,,30-29,,
7:13.0,E. Payton enters the game for J. Jackson,,30-29,,
7:02.0,,,30-29,,Turnover by S. Adams (traveling)
6:51.0,T. Daniels misses 3-pt shot from 24 ft,,30-29,,
6:49.0,Offensive rebound by T. Chandler,,30-29,,
6:36.0,E. Payton makes 2-pt shot at rim,2,32-29,,
6:22.0,,,32-29,,T. Ferguson misses 3-pt shot from 25 ft
6:18.0,Defensive rebound by T. Daniels,,32-29,,
6:12.0,T. Daniels misses 3-pt shot from 26 ft,,32-29,,
6:10.0,,,32-29,,Defensive rebound by R. Westbrook
6:04.0,,,32-31,2,R. Westbrook makes 2-pt shot from 12 ft
5:40.0,D. Bender misses 2-pt shot from 4 ft (block by S. Adams),,32-31,,
5:37.0,,,32-31,,Defensive rebound by C. Brewer
5:36.0,,,32-31,,Turnover by C. Brewer (bad pass; steal by E. Payton)
5:35.0,E. Payton misses 2-pt shot from 3 ft,,32-31,,
5:34.0,Offensive rebound by T. Chandler,,32-31,,
5:33.0,Shooting foul by S. Adams (drawn by T. Chandler),,32-31,,
5:33.0,T. Chandler makes free throw 1 of 2,1,33-31,,
5:33.0,,,33-31,,C. Anthony enters the game for T. Ferguson
5:33.0,,,33-31,,P. George enters the game for P. Patterson
5:33.0,T. Chandler makes free throw 2 of 2,1,34-31,,
5:23.0,,,34-33,2,R. Westbrook makes 2-pt shot from 9 ft
5:23.0,,,34-33,,Shooting foul by E. Payton (drawn by R. Westbrook)
5:23.0,,,34-34,1,R. Westbrook makes free throw 1 of 1
5:10.0,D. Booker makes 2-pt shot from 4 ft,2,36-34,,
4:59.0,,,36-37,3,C. Anthony makes 3-pt shot from 25 ft (assist by R. Westbrook)
4:35.0,T. Daniels misses 3-pt shot from 24 ft,,36-37,,
4:29.0,,,36-37,,Defensive rebound by C. Anthony
4:28.0,Personal foul by D. Bender (drawn by S. Adams),,36-37,,
4:20.0,,,36-37,,P. George misses 2-pt shot from 1 ft
4:19.0,,,36-37,,Offensive rebound by S. Adams
4:17.0,,,36-37,,S. Adams misses 2-pt shot from 1 ft (block by T. Chandler)
4:17.0,Defensive rebound by E. Payton,,36-37,,
4:11.0,E. Payton misses 2-pt shot at rim,,36-37,,
4:11.0,,,36-37,,Defensive rebound by C. Brewer
4:04.0,,,36-40,3,P. George makes 3-pt shot from 25 ft (assist by C. Brewer)
4:03.0,Phoenix full timeout,,36-40,,
3:55.0,Turnover by E. Payton (step out of bounds),,36-40,,
3:38.0,,,36-42,2,R. Westbrook makes 2-pt shot from 12 ft
3:11.0,T. Daniels misses 2-pt shot from 14 ft,,36-42,,
3:08.0,,,36-42,,Defensive rebound by S. Adams
3:03.0,,,36-44,2,C. Brewer makes 2-pt shot at rim (assist by R. Westbrook)
2:39.0,E. Payton misses 3-pt shot from 25 ft,,36-44,,
2:36.0,,,36-44,,Defensive rebound by Team
2:28.0,,,36-44,,P. George misses 3-pt shot from 26 ft
2:25.0,Defensive rebound by D. Bender,,36-44,,
2:12.0,D. Booker misses 2-pt shot from 8 ft (block by S. Adams),,36-44,,
2:09.0,,,36-44,,Defensive rebound by C. Brewer
2:06.0,,,36-46,2,C. Brewer makes 2-pt shot at rim
1:36.0,Turnover by Team (shot clock),,36-46,,
1:36.0,S. Harrison enters the game for T. Daniels,,36-46,,
1:25.0,,,36-46,,C. Brewer misses 3-pt shot from 23 ft
1:21.0,Defensive rebound by T. Chandler,,36-46,,
1:15.0,E. Payton misses 2-pt shot from 4 ft,,36-46,,
1:14.0,,,36-46,,Defensive rebound by Team
1:14.0,Loose ball foul by D. Bender (drawn by S. Adams),,36-46,,
1:14.0,M. Chriss enters the game for D. Bender,,36-46,,
1:05.0,,,36-49,3,C. Anthony makes 3-pt shot from 25 ft (assist by R. Westbrook)
0:51.0,,,36-49,,Personal foul by P. George (drawn by D. Booker)
0:42.0,Shooting foul by P. George (drawn by D. Booker),,36-49,,
0:42.0,D. Booker makes free throw 1 of 2,1,37-49,,
0:42.0,,,37-49,,T. Ferguson enters the game for P. George
0:42.0,D. Booker makes free throw 2 of 2,1,38-49,,
0:32.0,,,38-49,,Offensive foul by S. Adams (drawn by T. Chandler)
0:32.0,,,38-49,,Turnover by S. Adams (offensive foul)
0:12.0,D. Booker misses 2-pt shot from 15 ft,,38-49,,
0:09.0,,,38-49,,Defensive rebound by R. Westbrook
0:03.0,,,38-49,,C. Anthony misses 2-pt shot from 22 ft
0:01.0,Defensive rebound by D. Booker,,38-49,,
0:00.0,D. Booker misses 3-pt shot from 70 ft,,38-49,,
0:00.0,,,38-49,,Defensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,,,38-49,,Offensive foul by C. Brewer (drawn by D. Booker)
11:51.0,,,38-49,,Turnover by C. Brewer (offensive foul)
11:35.0,D. Bender misses 3-pt shot from 23 ft,,38-49,,
11:31.0,Offensive rebound by T. Chandler,,38-49,,
11:31.0,T. Chandler makes 2-pt shot at rim,2,40-49,,
11:23.0,Technical foul by D. Booker (drawn by C. Brewer),,40-49,,
11:23.0,,,40-50,1,C. Brewer makes flagrant free throw 1 of 2
11:23.0,,,40-51,1,C. Brewer makes flagrant free throw 2 of 2
11:16.0,,,40-53,2,S. Adams makes 2-pt shot at rim (assist by P. George)
10:50.0,D. Booker misses 2-pt shot from 14 ft,,40-53,,
10:47.0,,,40-53,,Defensive rebound by C. Brewer
10:42.0,,,40-53,,Shooting foul by E. Payton (drawn by R. Westbrook)
10:42.0,,,40-53,,R. Westbrook misses free throw 1 of 2
10:42.0,,,40-53,,Offensive rebound by Team
10:42.0,,,40-54,1,R. Westbrook makes free throw 2 of 2
10:21.0,T. Chandler makes 2-pt shot from 1 ft (assist by E. Payton),2,42-54,,
10:13.0,,,42-54,,C. Anthony misses 3-pt shot from 25 ft
10:11.0,Defensive rebound by D. Reed,,42-54,,
9:58.0,T. Chandler makes 2-pt shot from 1 ft (assist by E. Payton),2,44-54,,
9:41.0,,,44-57,3,C. Brewer makes 3-pt shot from 22 ft (assist by C. Anthony)
9:21.0,D. Reed misses 3-pt shot from 23 ft,,44-57,,
9:18.0,,,44-57,,Defensive rebound by S. Adams
9:18.0,,,44-57,,Turnover by S. Adams (bad pass)
9:13.0,D. Booker misses 2-pt shot from 13 ft,,44-57,,
9:10.0,,,44-57,,Defensive rebound by S. Adams
9:05.0,,,44-59,2,C. Brewer makes 2-pt shot at rim (assist by P. George)
9:05.0,,,44-59,,Shooting foul by D. Reed (drawn by C. Brewer)
9:05.0,,,44-60,1,C. Brewer makes free throw 1 of 1
8:57.0,E. Payton makes 2-pt shot at rim,2,46-60,,
8:57.0,Shooting foul by R. Westbrook (drawn by E. Payton),,46-60,,
8:57.0,E. Payton misses free throw 1 of 1,,46-60,,
8:55.0,,,46-60,,Defensive rebound by R. Westbrook
8:52.0,,,46-63,3,P. George makes 3-pt shot from 26 ft (assist by R. Westbrook)
8:32.0,,,46-63,,Personal foul by P. George (drawn by E. Payton)
8:20.0,T. Chandler makes 2-pt shot at rim (assist by D. Booker),2,48-63,,
8:15.0,Personal foul by T. Chandler (drawn by S. Adams),,48-63,,
8:05.0,,,48-65,2,R. Westbrook makes 2-pt shot from 1 ft (assist by S. Adams)
7:43.0,E. Payton misses 2-pt shot from 20 ft,,48-65,,
7:42.0,,,48-65,,Defensive rebound by R. Westbrook
7:38.0,,,48-67,2,R. Westbrook makes 2-pt shot at rim
7:38.0,Phoenix full timeout,,48-67,,
7:38.0,,,48-67,,T. Ferguson enters the game for P. George
7:38.0,M. Chriss enters the game for D. Bender,,48-67,,
7:38.0,T. Daniels enters the game for D. Reed,,48-67,,
7:30.0,Turnover by T. Chandler (out of bounds lost ball),,48-67,,
7:18.0,,,48-69,2,R. Westbrook makes 2-pt shot from 1 ft
7:02.0,,,48-69,,Violation by C. Anthony (kicked ball)
7:02.0,A. Len enters the game for E. Payton,,48-69,,
7:02.0,S. Harrison enters the game for T. Chandler,,48-69,,
6:53.0,T. Daniels misses 2-pt shot from 11 ft,,48-69,,
6:51.0,,,48-69,,Defensive rebound by S. Adams
6:46.0,,,48-69,,Shooting foul by A. Len (drawn by R. Westbrook)
6:46.0,,,48-70,1,R. Westbrook makes free throw 1 of 2
6:46.0,,,48-70,,R. Westbrook misses free throw 2 of 2
6:44.0,Defensive rebound by M. Chriss,,48-70,,
6:20.0,S. Harrison makes 2-pt shot at rim,2,50-70,,
6:10.0,Personal foul by M. Chriss (drawn by S. Adams),,50-70,,
6:10.0,,,50-70,,S. Adams misses free throw 1 of 2
6:10.0,,,50-70,,Offensive rebound by Team
6:10.0,,,50-70,,S. Adams misses free throw 2 of 2
6:07.0,,,50-70,,Offensive rebound by S. Adams
6:05.0,,,50-70,,C. Anthony misses 3-pt shot from 23 ft
6:01.0,,,50-70,,Offensive rebound by S. Adams
5:59.0,,,50-70,,C. Brewer misses 2-pt shot at rim (block by A. Len)
5:59.0,Defensive rebound by Team,,50-70,,
5:48.0,D. Booker misses 2-pt shot from 9 ft,,50-70,,
5:47.0,Offensive rebound by A. Len,,50-70,,
5:47.0,A. Len makes 2-pt shot at rim,2,52-70,,
5:35.0,,,52-72,2,R. Westbrook makes 2-pt shot from 8 ft
5:23.0,T. Daniels makes 3-pt shot from 26 ft (assist by S. Harrison),3,55-72,,
5:23.0,,,55-72,,Oklahoma City full timeout
5:00.0,,,55-72,,C. Anthony misses 2-pt shot from 22 ft (block by S. Harrison)
4:55.0,Defensive rebound by S. Harrison,,55-72,,
4:53.0,D. Booker makes 3-pt shot from 27 ft (assist by S. Harrison),3,58-72,,
4:36.0,,,58-74,2,C. Anthony makes 2-pt shot from 15 ft
4:22.0,,,58-74,,Personal foul by C. Brewer (drawn by D. Booker)
4:17.0,Shooting foul by C. Anthony (drawn by D. Booker),,58-74,,
4:17.0,D. Booker makes free throw 1 of 2,1,59-74,,
4:17.0,D. Booker makes free throw 2 of 2,1,60-74,,
4:03.0,,,60-76,2,S. Adams makes 2-pt shot at rim
3:48.0,T. Daniels misses 3-pt shot from 25 ft,,60-76,,
3:46.0,,,60-76,,Defensive rebound by R. Westbrook
3:41.0,,,60-76,,C. Anthony misses 3-pt shot from 25 ft
3:37.0,Defensive rebound by T. Daniels,,60-76,,
3:35.0,Turnover by T. Daniels (bad pass),,60-76,,
3:35.0,,,60-76,,J. Grant enters the game for C. Anthony
3:26.0,,,60-78,2,T. Ferguson makes 2-pt shot at rim (assist by R. Westbrook)
3:12.0,Turnover by S. Harrison (bad pass),,60-78,,
3:12.0,,,60-78,,Oklahoma City full timeout
3:12.0,,,60-78,,J. Huestis enters the game for T. Ferguson
2:54.0,,,60-80,2,S. Adams makes 2-pt shot from 6 ft (assist by R. Westbrook)
2:41.0,Turnover by D. Booker (bad pass; steal by S. Adams),,60-80,,
2:36.0,,,60-80,,J. Grant misses 3-pt shot from 22 ft
2:31.0,Defensive rebound by T. Daniels,,60-80,,
2:27.0,M. Chriss makes 2-pt shot from 1 ft (assist by T. Daniels),2,62-80,,
2:02.0,,,62-83,3,C. Brewer makes 3-pt shot from 22 ft (assist by S. Adams)
1:51.0,D. Booker makes 3-pt shot from 27 ft,3,65-83,,
1:40.0,,,65-83,,J. Huestis misses 2-pt shot from 1 ft
1:39.0,Defensive rebound by M. Chriss,,65-83,,
1:30.0,T. Daniels misses 2-pt shot from 9 ft,,65-83,,
1:28.0,Offensive rebound by T. Daniels,,65-83,,
1:26.0,Shooting foul by S. Adams (drawn by S. Harrison),,65-83,,
1:26.0,S. Harrison makes free throw 1 of 2,1,66-83,,
1:26.0,S. Harrison makes free throw 2 of 2,1,67-83,,
1:26.0,Loose ball foul by A. Len (drawn by S. Adams),,67-83,,
1:26.0,,,67-84,1,S. Adams makes free throw 1 of 2
1:26.0,,,67-85,1,S. Adams makes free throw 2 of 2
1:14.0,S. Harrison misses 2-pt shot from 1 ft,,67-85,,
1:13.0,,,67-85,,Defensive rebound by Team
0:54.0,,,67-85,,Turnover by R. Westbrook (out of bounds lost ball)
0:37.0,Offensive foul by D. Booker (drawn by C. Brewer),,67-85,,
0:37.0,Turnover by D. Booker (offensive foul),,67-85,,
0:33.0,,,67-87,2,R. Westbrook makes 2-pt shot from 1 ft
0:33.0,,,67-87,,Shooting foul by S. Harrison (drawn by R. Westbrook)
0:33.0,,,67-87,,P. Patterson enters the game for S. Adams
0:33.0,D. Bender enters the game for A. Len,,67-87,,
0:33.0,,,67-88,1,R. Westbrook makes free throw 1 of 1
0:12.0,D. Booker misses 3-pt shot from 30 ft,,67-88,,
0:09.0,,,67-88,,Defensive rebound by Team
0:02.0,,,67-88,,Turnover by R. Westbrook (bad pass; steal by T. Daniels)
0:00.0,T. Daniels misses 3-pt shot from 45 ft,,67-88,,
0:00.0,Offensive rebound by Team,,67-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,E. Payton misses 2-pt shot from 1 ft,,67-88,,
11:38.0,,,67-88,,Defensive rebound by J. Grant
11:27.0,,,67-88,,R. Felton misses 3-pt shot from 25 ft
11:24.0,Defensive rebound by M. Chriss,,67-88,,
11:10.0,T. Daniels misses 3-pt shot from 28 ft,,67-88,,
11:08.0,,,67-88,,Defensive rebound by J. Grant
11:02.0,,,67-91,3,P. George makes 3-pt shot from 24 ft
10:46.0,D. Reed makes 2-pt shot from 13 ft (assist by D. Bender),2,69-91,,
10:27.0,,,69-93,2,P. George makes 2-pt shot from 1 ft
10:02.0,D. Reed misses 2-pt shot from 21 ft,,69-93,,
9:59.0,,,69-93,,Defensive rebound by P. Patterson
9:50.0,,,69-93,,Shooting foul by T. Daniels (drawn by J. Grant)
9:50.0,,,69-94,1,J. Grant makes free throw 1 of 2
9:50.0,D. Booker enters the game for M. Chriss,,69-94,,
9:50.0,A. Peters enters the game for T. Daniels,,69-94,,
9:50.0,,,69-95,1,J. Grant makes free throw 2 of 2
9:37.0,A. Peters misses 3-pt shot from 25 ft,,69-95,,
9:35.0,,,69-95,,Defensive rebound by J. Huestis
9:12.0,,,69-95,,P. George misses 2-pt shot from 21 ft
9:10.0,Defensive rebound by E. Payton,,69-95,,
8:55.0,D. Booker misses 2-pt shot from 15 ft,,69-95,,
8:52.0,,,69-95,,Defensive rebound by P. Patterson
8:46.0,,,69-95,,P. Patterson misses 3-pt shot from 27 ft
8:43.0,Defensive rebound by D. Reed,,69-95,,
8:36.0,,,69-95,,Personal block foul by J. Grant (drawn by A. Peters)
8:36.0,Jump ball: J. Grant vs. A. Peters (R. Felton gains possession),,,,Jump ball: J. Grant vs. A. Peters (R. Felton gains possession)
8:22.0,D. Reed misses 2-pt shot from 1 ft (block by P. George),,69-95,,
8:19.0,,,69-95,,Defensive rebound by P. George
8:03.0,,,69-95,,Turnover by R. Felton (lost ball; steal by E. Payton)
7:59.0,E. Payton misses 2-pt shot from 3 ft (block by R. Felton),,69-95,,
7:59.0,Offensive rebound by Team,,69-95,,
7:53.0,,,69-95,,Personal foul by J. Grant (drawn by D. Bender)
7:46.0,D. Booker makes 2-pt shot from 15 ft (assist by E. Payton),2,71-95,,
7:31.0,,,71-98,3,P. George makes 3-pt shot from 24 ft
7:19.0,D. Reed misses 3-pt shot from 25 ft,,71-98,,
7:17.0,,,71-98,,Defensive rebound by J. Grant
7:09.0,,,71-98,,J. Huestis misses 3-pt shot from 25 ft
7:07.0,Defensive rebound by D. Booker,,71-98,,
7:01.0,D. Booker makes 2-pt shot from 12 ft,2,73-98,,
7:01.0,Shooting foul by P. George (drawn by D. Booker),,73-98,,
7:01.0,D. Booker makes free throw 1 of 1,1,74-98,,
6:56.0,,,74-98,,Oklahoma City full timeout
6:44.0,,,74-98,,J. Huestis misses 3-pt shot from 22 ft
6:39.0,Defensive rebound by D. Reed,,74-98,,
6:21.0,E. Payton misses 2-pt shot from 1 ft,,74-98,,
6:19.0,,,74-98,,Defensive rebound by J. Grant
6:13.0,,,74-98,,P. George misses 2-pt shot from 9 ft
6:09.0,Defensive rebound by D. Booker,,74-98,,
6:00.0,D. Booker makes 2-pt shot from 1 ft,2,76-98,,
5:42.0,Personal foul by E. Payton (drawn by J. Grant),,76-98,,
5:29.0,,,76-98,,P. George misses 2-pt shot from 16 ft
5:25.0,Defensive rebound by E. Payton,,76-98,,
5:19.0,D. Booker misses 3-pt shot from 25 ft,,76-98,,
5:17.0,,,76-98,,Defensive rebound by P. Patterson
5:15.0,,,76-98,,Turnover by P. Patterson (bad pass)
5:12.0,D. Reed misses 2-pt shot from 1 ft (block by J. Grant),,76-98,,
5:09.0,,,76-98,,Defensive rebound by J. Huestis
5:08.0,,,76-100,2,P. George makes 2-pt shot at rim
5:08.0,,,76-100,,Shooting foul by D. Booker (drawn by P. George)
5:08.0,,,76-100,,P. George misses free throw 1 of 1
