time,Philadelphia,pts.away,score,pts.home,Portland
1:59.0,,,23-22,,Turnover by C. McCollum (bad pass; steal by T. McConnell)
1:55.0,T. McConnell makes 2-pt shot from 1 ft,2,25-22,,
1:42.0,,,25-22,,M. Harkless misses 3-pt shot from 25 ft
1:39.0,Defensive rebound by J. Embiid,,25-22,,
1:27.0,T. McConnell misses 3-pt shot from 25 ft,,25-22,,
1:24.0,,,25-22,,Defensive rebound by E. Davis
1:16.0,,,25-22,,P. Connaughton misses 3-pt shot from 25 ft
1:14.0,Defensive rebound by J. Redick,,25-22,,
0:59.0,J. Embiid misses 3-pt shot from 24 ft,,25-22,,
0:57.0,,,25-22,,Defensive rebound by C. McCollum
0:45.0,,,25-24,2,P. Connaughton makes 2-pt shot from 7 ft (assist by Z. Collins)
0:35.0,T. McConnell makes 2-pt shot from 9 ft,2,27-24,,
0:31.0,,,27-27,3,C. McCollum makes 3-pt shot from 25 ft
0:14.0,J. Embiid makes 3-pt shot from 24 ft (assist by T. McConnell),3,30-27,,
0:03.0,Personal take foul by T. McConnell (drawn by C. McCollum),,30-27,,
0:03.0,,,30-27,,S. Napier enters the game for E. Davis
0:03.0,,,30-27,,E. Turner enters the game for M. Harkless
0:01.0,,,30-27,,C. McCollum misses 3-pt shot from 27 ft
0:01.0,,,30-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,T. Booker misses 2-pt shot from 7 ft,,30-27,,
11:43.0,,,30-27,,Defensive rebound by E. Davis
11:24.0,,,30-27,,S. Napier misses 2-pt shot from 18 ft
11:22.0,Defensive rebound by J. Bayless,,30-27,,
11:15.0,J. Embiid misses 3-pt shot from 24 ft,,30-27,,
11:12.0,,,30-27,,Defensive rebound by Z. Collins
11:06.0,,,30-27,,Turnover by S. Napier (lost ball; steal by T. McConnell)
11:03.0,J. Embiid makes 2-pt shot from 1 ft (assist by T. McConnell),2,32-27,,
10:45.0,,,32-27,,S. Napier misses 2-pt shot from 8 ft
10:44.0,Defensive rebound by T. Booker,,32-27,,
10:43.0,Turnover by J. Bayless (turnover),,32-27,,
10:42.0,Personal foul by T. McConnell (drawn by S. Napier),,32-27,,
10:34.0,,,32-27,,Turnover by Z. Collins (bad pass)
10:22.0,J. Redick misses 3-pt shot from 25 ft,,32-27,,
10:20.0,,,32-27,,Defensive rebound by Z. Collins
10:04.0,,,32-29,2,M. Harkless makes 2-pt shot at rim
9:44.0,Jump ball: Z. Collins vs. T. Booker (J. Bayless gains possession),,,,Jump ball: Z. Collins vs. T. Booker (J. Bayless gains possession)
9:39.0,T. McConnell makes 2-pt shot from 19 ft,2,34-29,,
9:27.0,,,34-29,,Turnover by S. Napier (bad pass; steal by T. McConnell)
9:23.0,T. McConnell misses 2-pt shot at rim,,34-29,,
9:21.0,,,34-29,,Defensive rebound by P. Connaughton
9:10.0,,,34-31,2,E. Davis makes 2-pt shot from 1 ft (assist by P. Connaughton)
8:45.0,J. Embiid misses 2-pt shot from 7 ft,,34-31,,
8:43.0,,,34-31,,Defensive rebound by M. Harkless
8:34.0,,,34-33,2,E. Davis makes 2-pt shot at rim (assist by Z. Collins)
8:34.0,Philadelphia full timeout,,34-33,,
8:34.0,A. Johnson enters the game for T. McConnell,,34-33,,
8:34.0,B. Simmons enters the game for J. Redick,,34-33,,
8:34.0,R. Covington enters the game for J. Embiid,,34-33,,
8:19.0,,,34-33,,Personal foul by M. Harkless (drawn by B. Simmons)
8:08.0,B. Simmons misses 2-pt shot from 5 ft,,34-33,,
8:06.0,,,34-33,,Defensive rebound by S. Napier
7:58.0,,,34-33,,S. Napier misses 2-pt shot from 18 ft
7:55.0,Defensive rebound by T. Booker,,34-33,,
7:50.0,B. Simmons makes 2-pt shot from 1 ft,2,36-33,,
7:32.0,D. Saric enters the game for T. Booker,,36-33,,
7:27.0,,,36-35,2,E. Davis makes 2-pt shot from 4 ft
7:10.0,D. Saric misses 2-pt shot from 21 ft,,36-35,,
7:06.0,Offensive rebound by J. Bayless,,36-35,,
7:04.0,J. Bayless misses 2-pt shot from 16 ft,,36-35,,
7:02.0,,,36-35,,Defensive rebound by P. Connaughton
6:54.0,,,36-35,,S. Napier misses 3-pt shot from 27 ft
6:53.0,Defensive rebound by D. Saric,,36-35,,
6:45.0,B. Simmons makes 2-pt shot from 11 ft,2,38-35,,
6:19.0,,,38-37,2,P. Connaughton makes 2-pt shot at rim (assist by S. Napier)
6:07.0,B. Simmons makes 2-pt shot from 8 ft,2,40-37,,
5:50.0,,,40-37,,Shooting foul by J. Bayless (drawn by S. Napier)
5:50.0,,,40-38,1,S. Napier makes free throw 1 of 2
5:50.0,,,40-38,,A. Aminu enters the game for M. Harkless
5:50.0,,,40-38,,C. McCollum enters the game for P. Connaughton
5:50.0,,,40-38,,E. Turner enters the game for Z. Collins
5:50.0,T. McConnell enters the game for J. Bayless,,40-38,,
5:50.0,,,40-38,,S. Napier misses free throw 2 of 2
5:48.0,Defensive rebound by T. McConnell,,40-38,,
5:37.0,B. Simmons misses 2-pt shot from 13 ft,,40-38,,
5:35.0,,,40-38,,Defensive rebound by C. McCollum
5:30.0,,,40-40,2,C. McCollum makes 2-pt shot from 1 ft
5:22.0,B. Simmons makes 2-pt shot from 1 ft,2,42-40,,
5:07.0,,,42-40,,E. Turner misses 3-pt shot from 24 ft
5:04.0,Defensive rebound by D. Saric,,42-40,,
4:53.0,B. Simmons misses 2-pt shot from 2 ft (block by E. Davis),,42-40,,
4:50.0,Jump ball: E. Davis vs. B. Simmons (E. Turner gains possession),,,,Jump ball: E. Davis vs. B. Simmons (E. Turner gains possession)
4:50.0,,,42-40,,Offensive rebound by Team
4:50.0,,,42-40,,J. Nurkic enters the game for E. Davis
4:40.0,,,42-40,,Shooting foul by A. Johnson (drawn by J. Nurkic)
4:40.0,,,42-41,1,J. Nurkic makes free throw 1 of 2
4:40.0,,,42-42,1,J. Nurkic makes free throw 2 of 2
4:19.0,T. McConnell makes 2-pt shot from 5 ft (assist by D. Saric),2,44-42,,
4:03.0,,,44-42,,Shooting foul by A. Johnson (drawn by J. Nurkic)
4:03.0,,,44-42,,J. Nurkic misses free throw 1 of 2
4:03.0,,,44-42,,Offensive rebound by Team
4:03.0,,,44-42,,J. Nurkic misses free throw 2 of 2
4:01.0,,,44-42,,Offensive rebound by Team
3:46.0,,,44-42,,Turnover by E. Turner (step out of bounds)
3:29.0,A. Johnson misses 2-pt shot from 16 ft,,44-42,,
3:26.0,Offensive rebound by D. Saric,,44-42,,
3:21.0,D. Saric makes 2-pt shot from 4 ft,2,46-42,,
3:02.0,,,46-42,,A. Aminu misses 3-pt shot from 25 ft
3:00.0,Defensive rebound by R. Covington,,46-42,,
2:52.0,B. Simmons misses 2-pt shot from 5 ft,,46-42,,
2:49.0,,,46-42,,Defensive rebound by C. McCollum
2:45.0,,,46-42,,Shooting foul by A. Johnson (drawn by C. McCollum)
2:45.0,,,46-42,,Portland full timeout
2:45.0,,,46-42,,P. Connaughton enters the game for S. Napier
2:45.0,J. Redick enters the game for A. Johnson,,46-42,,
2:45.0,J. Embiid enters the game for T. McConnell,,46-42,,
2:45.0,,,46-43,1,C. McCollum makes free throw 1 of 2
2:45.0,,,46-44,1,C. McCollum makes free throw 2 of 2
2:25.0,J. Redick misses 2-pt shot from 22 ft,,46-44,,
2:22.0,,,46-44,,Defensive rebound by A. Aminu
2:10.0,,,46-46,2,E. Turner makes 2-pt shot from 10 ft
1:56.0,R. Covington makes 3-pt shot from 24 ft (assist by D. Saric),3,49-46,,
1:35.0,,,49-49,3,E. Turner makes 3-pt shot from 22 ft (assist by C. McCollum)
1:19.0,,,49-49,,Personal foul by J. Nurkic (drawn by J. Embiid)
1:11.0,J. Embiid makes 2-pt shot from 14 ft,2,51-49,,
0:50.0,Personal foul by J. Embiid (drawn by J. Nurkic),,51-49,,
0:50.0,,,51-49,,J. Nurkic misses free throw 1 of 2
0:50.0,,,51-49,,Offensive rebound by Team
0:50.0,,,51-50,1,J. Nurkic makes free throw 2 of 2
0:27.0,J. Embiid misses 2-pt shot from 4 ft,,51-50,,
0:26.0,,,51-50,,Defensive rebound by J. Nurkic
0:11.0,,,51-50,,A. Aminu misses 3-pt shot from 22 ft
0:09.0,,,51-50,,Offensive rebound by J. Nurkic
0:09.0,,,51-52,2,J. Nurkic makes 2-pt shot at rim
0:03.0,D. Saric misses 3-pt shot from 24 ft,,51-52,,
0:00.0,,,51-52,,Defensive rebound by J. Nurkic
0:00.0,,,51-52,,J. Nurkic misses 3-pt shot from 49 ft
0:00.0,,,51-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,J. Redick misses 2-pt shot from 20 ft,,51-52,,
11:45.0,,,51-52,,Defensive rebound by A. Aminu
11:31.0,,,51-54,2,J. Nurkic makes 2-pt shot at rim (assist by C. McCollum)
11:13.0,D. Saric makes 3-pt shot from 25 ft (assist by R. Covington),3,54-54,,
11:01.0,,,54-54,,Turnover by E. Turner (bad pass)
10:47.0,J. Redick makes 3-pt shot from 24 ft,3,57-54,,
10:32.0,,,57-54,,S. Napier misses 3-pt shot from 24 ft
10:29.0,Defensive rebound by J. Embiid,,57-54,,
10:15.0,J. Redick misses 3-pt shot from 24 ft,,57-54,,
10:12.0,,,57-54,,Defensive rebound by J. Nurkic
10:04.0,,,57-54,,C. McCollum misses 2-pt shot from 20 ft
10:01.0,Defensive rebound by B. Simmons,,57-54,,
9:54.0,,,57-54,,Personal foul by J. Nurkic (drawn by J. Embiid)
9:47.0,,,57-54,,Personal foul by E. Turner (drawn by J. Embiid)
9:38.0,J. Redick misses 2-pt shot from 19 ft,,57-54,,
9:34.0,Offensive rebound by J. Embiid,,57-54,,
9:34.0,J. Embiid makes 2-pt shot at rim,2,59-54,,
9:12.0,,,59-54,,Offensive foul by J. Nurkic (drawn by J. Redick)
9:12.0,,,59-54,,Turnover by J. Nurkic (offensive foul)
9:06.0,J. Embiid misses 3-pt shot from 24 ft,,59-54,,
9:04.0,,,59-54,,Defensive rebound by S. Napier
9:03.0,,,59-54,,Turnover by S. Napier (bad pass; steal by B. Simmons)
9:03.0,,,59-54,,Personal foul by J. Nurkic (drawn by R. Covington)
9:03.0,,,59-54,,M. Leonard enters the game for J. Nurkic
8:50.0,J. Redick makes 3-pt shot from 24 ft (assist by R. Covington),3,62-54,,
8:33.0,,,62-54,,C. McCollum misses 3-pt shot from 24 ft
8:31.0,Defensive rebound by J. Embiid,,62-54,,
8:17.0,B. Simmons makes 2-pt shot from 1 ft,2,64-54,,
8:09.0,,,64-54,,Shooting foul by B. Simmons (drawn by E. Turner)
8:09.0,,,64-54,,E. Turner misses free throw 1 of 2
8:09.0,,,64-54,,Offensive rebound by Team
8:09.0,,,64-54,,P. Connaughton enters the game for S. Napier
8:09.0,,,64-55,1,E. Turner makes free throw 2 of 2
7:59.0,B. Simmons makes 2-pt shot from 2 ft (assist by J. Redick),2,66-55,,
7:59.0,Shooting foul by E. Turner (drawn by B. Simmons),,66-55,,
7:59.0,,,66-55,,Portland full timeout
7:59.0,T. McConnell enters the game for J. Redick,,66-55,,
7:59.0,B. Simmons makes free throw 1 of 1,1,67-55,,
7:39.0,,,67-57,2,C. McCollum makes 2-pt shot from 20 ft
7:18.0,J. Embiid misses 3-pt shot from 23 ft,,67-57,,
7:16.0,,,67-57,,Defensive rebound by E. Turner
7:09.0,,,67-57,,P. Connaughton misses 3-pt shot from 27 ft
7:07.0,Defensive rebound by J. Embiid,,67-57,,
7:07.0,,,67-57,,Personal foul by M. Leonard (drawn by J. Embiid)
7:07.0,J. Embiid misses free throw 1 of 2,,67-57,,
7:07.0,Offensive rebound by Team,,67-57,,
7:07.0,J. Embiid makes free throw 2 of 2,1,68-57,,
6:55.0,,,68-57,,Turnover by M. Leonard (out of bounds lost ball)
6:55.0,A. Johnson enters the game for J. Embiid,,68-57,,
6:40.0,Shooting foul by P. Connaughton (drawn by R. Covington),,68-57,,
6:40.0,R. Covington makes free throw 1 of 2,1,69-57,,
6:40.0,R. Covington misses free throw 2 of 2,,69-57,,
6:38.0,,,69-57,,Defensive rebound by E. Turner
6:30.0,,,69-57,,C. McCollum misses 2-pt shot from 19 ft
6:27.0,,,69-57,,Offensive rebound by M. Leonard
6:24.0,,,69-57,,C. McCollum misses 3-pt shot from 23 ft
6:23.0,Defensive rebound by T. McConnell,,69-57,,
6:12.0,B. Simmons misses 2-pt shot from 6 ft,,69-57,,
6:09.0,,,69-57,,Defensive rebound by A. Aminu
6:06.0,,,69-57,,Z. Collins enters the game for A. Aminu
6:06.0,,,69-57,,E. Davis enters the game for M. Leonard
6:01.0,,,69-57,,Shooting foul by B. Simmons (drawn by C. McCollum)
6:01.0,,,69-58,1,C. McCollum makes free throw 1 of 2
6:01.0,,,69-59,1,C. McCollum makes free throw 2 of 2
5:51.0,D. Saric makes 2-pt shot from 21 ft (assist by B. Simmons),2,71-59,,
5:38.0,,,71-59,,E. Turner misses 2-pt shot from 4 ft
5:36.0,Defensive rebound by A. Johnson,,71-59,,
5:26.0,A. Johnson makes 2-pt shot from 6 ft (assist by R. Covington),2,73-59,,
5:03.0,,,73-59,,E. Turner misses 2-pt shot from 16 ft
5:01.0,Defensive rebound by R. Covington,,73-59,,
4:56.0,D. Saric makes 2-pt shot from 18 ft (assist by T. McConnell),2,75-59,,
4:55.0,,,75-59,,Portland full timeout
4:34.0,,,75-59,,Shooting foul by R. Covington (drawn by Z. Collins)
4:34.0,,,75-59,,Z. Collins misses free throw 1 of 2
4:34.0,,,75-59,,Offensive rebound by Team
4:34.0,,,75-60,1,Z. Collins makes free throw 2 of 2
4:15.0,D. Saric makes 3-pt shot from 25 ft (assist by R. Covington),3,78-60,,
4:05.0,Personal foul by R. Covington (drawn by C. McCollum),,78-60,,
4:05.0,,,78-60,,S. Napier enters the game for E. Turner
4:05.0,J. Bayless enters the game for A. Johnson,,78-60,,
4:05.0,J. Embiid enters the game for B. Simmons,,78-60,,
4:05.0,J. Redick enters the game for R. Covington,,78-60,,
3:56.0,,,78-60,,Turnover by C. McCollum (bad pass; steal by D. Saric)
3:43.0,Turnover by J. Embiid (traveling),,78-60,,
3:26.0,,,78-63,3,S. Napier makes 3-pt shot from 24 ft (assist by P. Connaughton)
3:25.0,Philadelphia full timeout,,78-63,,
3:15.0,Shooting foul by E. Davis (drawn by J. Embiid),,78-63,,
3:15.0,J. Embiid makes free throw 1 of 2,1,79-63,,
3:15.0,J. Embiid misses free throw 2 of 2,,79-63,,
3:12.0,,,79-63,,Defensive rebound by P. Connaughton
3:06.0,,,79-65,2,C. McCollum makes 2-pt shot from 2 ft
3:06.0,,,79-65,,Shooting foul by J. Redick (drawn by C. McCollum)
3:06.0,,,79-65,,M. Harkless enters the game for P. Connaughton
3:06.0,,,79-66,1,C. McCollum makes free throw 1 of 1
2:51.0,Turnover by J. Embiid (traveling),,79-66,,
2:40.0,,,79-66,,C. McCollum misses 2-pt shot from 14 ft
2:38.0,Defensive rebound by D. Saric,,79-66,,
2:32.0,J. Redick misses 3-pt shot from 25 ft,,79-66,,
2:30.0,,,79-66,,Defensive rebound by Z. Collins
2:21.0,,,79-68,2,S. Napier makes 2-pt shot from 11 ft
2:06.0,J. Embiid misses 3-pt shot from 25 ft,,79-68,,
2:05.0,,,79-68,,Defensive rebound by Z. Collins
1:53.0,,,79-70,2,E. Davis makes 2-pt shot at rim (assist by M. Harkless)
1:42.0,J. Redick makes 2-pt shot from 14 ft (assist by T. McConnell),2,81-70,,
1:42.0,Shooting foul by S. Napier (drawn by J. Redick),,81-70,,
1:42.0,T. Booker enters the game for D. Saric,,81-70,,
1:42.0,J. Redick makes free throw 1 of 1,1,82-70,,
1:28.0,,,82-70,,Z. Collins misses 2-pt shot from 17 ft
1:25.0,Defensive rebound by J. Embiid,,82-70,,
1:11.0,Shooting foul by E. Davis (drawn by J. Embiid),,82-70,,
1:11.0,J. Embiid misses free throw 1 of 2,,82-70,,
1:11.0,Offensive rebound by Team,,82-70,,
1:11.0,,,82-70,,J. Nurkic enters the game for E. Davis
1:11.0,J. Embiid makes free throw 2 of 2,1,83-70,,
0:57.0,,,83-70,,P. Connaughton enters the game for C. McCollum
0:50.0,,,83-70,,Shooting foul by T. McConnell (drawn by S. Napier)
0:50.0,,,83-71,1,S. Napier makes free throw 1 of 2
0:50.0,,,83-72,1,S. Napier makes free throw 2 of 2
0:41.0,T. McConnell misses 3-pt shot from 24 ft,,83-72,,
0:39.0,,,83-72,,Defensive rebound by J. Nurkic
0:22.0,,,83-72,,M. Harkless misses 3-pt shot from 24 ft
0:19.0,Defensive rebound by T. Booker,,83-72,,
0:02.0,T. McConnell makes 2-pt shot from 11 ft,2,85-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,85-74,2,J. Nurkic makes 2-pt shot at rim
11:34.0,,,85-74,,Personal foul by J. Nurkic (drawn by J. Embiid)
11:25.0,T. McConnell misses 3-pt shot from 24 ft,,85-74,,
11:22.0,,,85-74,,Defensive rebound by A. Aminu
11:16.0,,,85-74,,Turnover by A. Aminu (lost ball; steal by J. Bayless)
11:11.0,J. Redick makes 3-pt shot from 26 ft (assist by J. Embiid),3,88-74,,
10:57.0,,,88-77,3,S. Napier makes 3-pt shot from 25 ft
10:46.0,Turnover by T. McConnell (bad pass; steal by S. Napier),,88-77,,
10:44.0,,,88-79,2,S. Napier makes 2-pt shot at rim
10:44.0,Philadelphia full timeout,,88-79,,
10:21.0,Turnover by T. McConnell (lost ball; steal by S. Napier),,88-79,,
10:14.0,,,88-79,,J. Nurkic misses 2-pt shot at rim
10:11.0,Defensive rebound by T. Booker,,88-79,,
9:54.0,J. Redick misses 2-pt shot from 1 ft,,88-79,,
9:51.0,,,88-79,,Defensive rebound by J. Nurkic
9:49.0,Technical foul by J. Embiid (drawn by J. Nurkic),,88-79,,
9:49.0,,,88-79,,J. Nurkic misses flagrant free throw 1 of 2
9:49.0,,,88-79,,Offensive rebound by Team
9:49.0,,,88-79,,J. Nurkic misses flagrant free throw 2 of 2
9:49.0,,,88-79,,Offensive rebound by Team
9:49.0,B. Simmons enters the game for J. Redick,,88-79,,
9:38.0,,,88-81,2,S. Napier makes 2-pt shot from 16 ft
9:08.0,Turnover by Team (shot clock),,88-81,,
8:52.0,,,88-81,,Shooting foul by T. McConnell (drawn by S. Napier)
8:52.0,,,88-82,1,S. Napier makes free throw 1 of 3
8:52.0,,,88-83,1,S. Napier makes free throw 2 of 3
8:52.0,,,88-83,,C. McCollum enters the game for P. Connaughton
8:52.0,A. Johnson enters the game for J. Embiid,,88-83,,
8:52.0,,,88-83,,S. Napier misses free throw 3 of 3
8:50.0,Defensive rebound by T. Booker,,88-83,,
8:32.0,Turnover by B. Simmons (bad pass; steal by J. Nurkic),,88-83,,
8:26.0,,,88-83,,Shooting foul by B. Simmons (drawn by J. Nurkic)
8:26.0,,,88-84,1,J. Nurkic makes free throw 1 of 2
8:26.0,D. Saric enters the game for T. Booker,,88-84,,
8:26.0,,,88-85,1,J. Nurkic makes free throw 2 of 2
8:06.0,A. Johnson misses 2-pt shot from 3 ft,,88-85,,
8:04.0,,,88-85,,Defensive rebound by J. Nurkic
7:57.0,,,88-87,2,S. Napier makes 2-pt shot at rim
7:56.0,Philadelphia full timeout,,88-87,,
7:41.0,B. Simmons misses 2-pt shot from 9 ft,,88-87,,
7:38.0,,,88-87,,Defensive rebound by A. Aminu
7:32.0,,,88-87,,Shooting foul by J. Bayless (drawn by C. McCollum)
7:32.0,,,88-88,1,C. McCollum makes free throw 1 of 2
7:32.0,,,88-89,1,C. McCollum makes free throw 2 of 2
7:23.0,,,88-89,,Personal foul by A. Aminu (drawn by B. Simmons)
7:15.0,A. Johnson misses 3-pt shot from 24 ft,,88-89,,
7:12.0,,,88-89,,Defensive rebound by C. McCollum
7:08.0,,,88-89,,S. Napier misses 3-pt shot from 24 ft
7:05.0,Defensive rebound by D. Saric,,88-89,,
7:01.0,Turnover by D. Saric (palming),,88-89,,
6:43.0,,,88-89,,Shooting foul by A. Johnson (drawn by S. Napier)
6:43.0,,,88-90,1,S. Napier makes free throw 1 of 2
6:43.0,J. Redick enters the game for J. Bayless,,88-90,,
6:43.0,J. Embiid enters the game for A. Johnson,,88-90,,
6:43.0,,,88-91,1,S. Napier makes free throw 2 of 2
6:32.0,J. Redick misses 2-pt shot from 16 ft,,88-91,,
6:29.0,,,88-91,,Defensive rebound by A. Aminu
6:21.0,,,88-91,,C. McCollum misses 2-pt shot from 2 ft
6:18.0,,,88-91,,Offensive rebound by J. Nurkic
6:18.0,,,88-93,2,J. Nurkic makes 2-pt shot at rim
6:12.0,Shooting foul by M. Harkless (drawn by B. Simmons),,88-93,,
6:12.0,B. Simmons makes free throw 1 of 2,1,89-93,,
6:12.0,B. Simmons makes free throw 2 of 2,1,90-93,,
5:56.0,,,90-93,,J. Nurkic misses 2-pt shot from 1 ft
5:53.0,,,90-93,,Offensive rebound by J. Nurkic
5:52.0,,,90-93,,Shooting foul by D. Saric (drawn by J. Nurkic)
5:52.0,,,90-94,1,J. Nurkic makes free throw 1 of 2
5:52.0,,,90-95,1,J. Nurkic makes free throw 2 of 2
5:41.0,Turnover by J. Embiid (bad pass; steal by S. Napier),,90-95,,
5:38.0,,,90-97,2,S. Napier makes 2-pt shot at rim
5:38.0,Philadelphia full timeout,,90-97,,
5:23.0,J. Embiid misses 2-pt shot from 16 ft,,90-97,,
5:20.0,Offensive rebound by Team,,90-97,,
5:09.0,J. Redick misses 2-pt shot from 20 ft,,90-97,,
5:08.0,,,90-97,,Defensive rebound by Team
4:53.0,,,90-97,,Turnover by A. Aminu (turnover)
4:44.0,J. Embiid misses 2-pt shot from 1 ft (block by J. Nurkic),,90-97,,
4:38.0,,,90-97,,Defensive rebound by A. Aminu
