time,Chicago,pts.away,score,pts.home,Miami
0:42.0,,,15-27,,W. Ellington misses 3-pt shot from 26 ft
0:40.0,Defensive rebound by K. Dunn,,15-27,,
0:31.0,C. Felicio makes 2-pt shot from 1 ft (assist by K. Dunn),2,17-27,,
0:07.0,,,17-27,,J. Richardson misses 3-pt shot from 25 ft
0:04.0,Defensive rebound by C. Felicio,,17-27,,
0:00.0,Q. Pondexter misses 3-pt shot from 25 ft,,17-27,,
0:00.0,Offensive rebound by Team,,17-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,Turnover by K. Dunn (bad pass; steal by J. Richardson),,17-27,,
11:24.0,,,17-27,,W. Ellington misses 3-pt shot from 23 ft
11:21.0,Defensive rebound by K. Dunn,,17-27,,
11:14.0,Turnover by P. Zipser (bad pass; steal by T. Johnson),,17-27,,
11:05.0,,,17-27,,Turnover by T. Johnson (bad pass; steal by D. Valentine)
10:57.0,D. Valentine misses 2-pt shot from 7 ft,,17-27,,
10:53.0,,,17-27,,Defensive rebound by J. Richardson
10:41.0,,,17-27,,K. Olynyk misses 2-pt shot from 21 ft
10:39.0,Defensive rebound by D. Valentine,,17-27,,
10:29.0,Turnover by C. Felicio (bad pass; steal by W. Ellington),,17-27,,
10:18.0,,,17-29,2,J. Winslow makes 2-pt shot from 12 ft
10:18.0,,,17-29,,Shooting foul by P. Zipser (drawn by J. Winslow)
10:18.0,,,17-29,,J. Winslow misses free throw 1 of 1
10:15.0,Defensive rebound by C. Felicio,,17-29,,
10:08.0,Shooting foul by K. Olynyk (drawn by C. Felicio),,17-29,,
10:08.0,C. Felicio makes free throw 1 of 2,1,18-29,,
10:08.0,C. Felicio misses free throw 2 of 2,,18-29,,
10:04.0,,,18-29,,Defensive rebound by K. Olynyk
9:57.0,,,18-29,,T. Johnson misses 2-pt shot from 1 ft (block by K. Dunn)
9:49.0,Defensive rebound by P. Zipser,,18-29,,
9:47.0,D. Valentine misses 2-pt shot from 1 ft,,18-29,,
9:47.0,,,18-29,,Defensive rebound by K. Olynyk
9:42.0,,,18-29,,W. Ellington misses 3-pt shot from 25 ft
9:38.0,Defensive rebound by P. Zipser,,18-29,,
9:32.0,K. Dunn misses 2-pt shot at rim,,18-29,,
9:30.0,Offensive rebound by C. Felicio,,18-29,,
9:25.0,K. Dunn misses 3-pt shot from 24 ft,,18-29,,
9:21.0,,,18-29,,Defensive rebound by J. Winslow
9:17.0,,,18-29,,J. Winslow misses 2-pt shot from 2 ft (block by K. Dunn)
9:12.0,Defensive rebound by P. Zipser,,18-29,,
9:01.0,D. Valentine makes 2-pt shot from 16 ft,2,20-29,,
8:41.0,,,20-32,3,K. Olynyk makes 3-pt shot from 25 ft (assist by T. Johnson)
8:18.0,P. Zipser misses 2-pt shot from 10 ft,,20-32,,
8:18.0,,,20-32,,Defensive rebound by Team
8:18.0,Loose ball foul by C. Felicio (drawn by K. Olynyk),,20-32,,
7:57.0,,,20-34,2,K. Olynyk makes 2-pt shot from 1 ft
7:57.0,,,20-34,,Shooting foul by C. Felicio (drawn by K. Olynyk)
7:57.0,L. Markkanen enters the game for C. Felicio,,20-34,,
7:57.0,J. Holiday enters the game for Q. Pondexter,,20-34,,
7:57.0,,,20-35,1,K. Olynyk makes free throw 1 of 1
7:44.0,,,20-35,,Personal foul by J. Richardson (drawn by L. Markkanen)
7:39.0,,,20-35,,Personal foul by K. Olynyk (drawn by P. Zipser)
7:32.0,D. Valentine misses 2-pt shot from 10 ft,,20-35,,
7:28.0,,,20-35,,Defensive rebound by T. Johnson
7:21.0,,,20-35,,J. Richardson misses 3-pt shot from 23 ft
7:17.0,Defensive rebound by D. Valentine,,20-35,,
7:14.0,K. Dunn makes 2-pt shot at rim,2,22-35,,
7:14.0,,,22-35,,Shooting block foul by T. Johnson (drawn by K. Dunn)
7:14.0,D. Nwaba enters the game for D. Valentine,,22-35,,
7:14.0,K. Dunn makes free throw 1 of 1,1,23-35,,
7:10.0,,,23-35,,Miami full timeout
7:10.0,,,23-35,,G. Dragic enters the game for J. Richardson
7:10.0,,,23-35,,D. Waiters enters the game for T. Johnson
7:00.0,,,23-37,2,K. Olynyk makes 2-pt shot from 2 ft (assist by W. Ellington)
6:53.0,K. Dunn makes 2-pt shot from 1 ft,2,25-37,,
6:53.0,Shooting foul by K. Olynyk (drawn by K. Dunn),,25-37,,
6:53.0,,,25-37,,H. Whiteside enters the game for K. Olynyk
6:53.0,R. Lopez enters the game for P. Zipser,,25-37,,
6:53.0,K. Dunn misses free throw 1 of 1,,25-37,,
6:50.0,,,25-37,,Defensive rebound by H. Whiteside
6:37.0,,,25-37,,G. Dragic misses 2-pt shot from 1 ft
6:31.0,,,25-37,,Offensive rebound by H. Whiteside
6:31.0,,,25-39,2,H. Whiteside makes 2-pt shot at rim
6:20.0,L. Markkanen makes 3-pt shot from 26 ft (assist by K. Dunn),3,28-39,,
6:06.0,,,28-39,,D. Waiters misses 2-pt shot from 1 ft
6:03.0,Defensive rebound by R. Lopez,,28-39,,
5:58.0,J. Holiday misses 3-pt shot from 25 ft,,28-39,,
5:54.0,,,28-39,,Defensive rebound by H. Whiteside
5:33.0,,,28-39,,H. Whiteside misses 2-pt shot from 20 ft
5:32.0,Defensive rebound by D. Nwaba,,28-39,,
5:19.0,,,28-39,,Personal foul by J. Winslow (drawn by L. Markkanen)
5:19.0,L. Markkanen makes free throw 1 of 2,1,29-39,,
5:19.0,J. Grant enters the game for K. Dunn,,29-39,,
5:19.0,L. Markkanen makes free throw 2 of 2,1,30-39,,
4:58.0,,,30-39,,J. Winslow misses 2-pt shot from 10 ft
4:54.0,Defensive rebound by D. Nwaba,,30-39,,
4:48.0,R. Lopez makes 2-pt shot from 1 ft (assist by D. Nwaba),2,32-39,,
4:35.0,,,32-41,2,D. Waiters makes 2-pt shot at rim
4:23.0,,,32-41,,T. Johnson enters the game for W. Ellington
4:23.0,,,32-41,,O. White enters the game for J. Winslow
4:18.0,J. Grant misses 2-pt shot from 12 ft,,32-41,,
4:14.0,,,32-41,,Defensive rebound by G. Dragic
4:10.0,,,32-41,,G. Dragic misses 2-pt shot from 3 ft
4:07.0,Defensive rebound by D. Nwaba,,32-41,,
3:54.0,,,32-41,,Personal foul by H. Whiteside (drawn by J. Holiday)
3:54.0,J. Holiday misses free throw 1 of 2,,32-41,,
3:54.0,Offensive rebound by Team,,32-41,,
3:54.0,J. Holiday makes free throw 2 of 2,1,33-41,,
3:39.0,,,33-43,2,H. Whiteside makes 2-pt shot from 7 ft (assist by D. Waiters)
3:20.0,L. Markkanen makes 2-pt shot from 10 ft,2,35-43,,
3:13.0,,,35-43,,G. Dragic misses 2-pt shot at rim (block by D. Nwaba)
3:13.0,Defensive rebound by J. Holiday,,35-43,,
3:06.0,R. Lopez makes 2-pt shot from 22 ft (assist by J. Grant),2,37-43,,
3:06.0,,,37-43,,Miami full timeout
3:01.0,,,37-43,,Turnover by G. Dragic (bad pass; steal by J. Holiday)
2:57.0,J. Holiday misses 2-pt shot at rim,,37-43,,
2:52.0,Offensive rebound by L. Markkanen,,37-43,,
2:52.0,L. Markkanen makes 2-pt shot at rim,2,39-43,,
2:40.0,,,39-43,,Shooting foul by D. Nwaba (drawn by T. Johnson)
2:40.0,,,39-44,1,T. Johnson makes free throw 1 of 2
2:40.0,,,39-45,1,T. Johnson makes free throw 2 of 2
2:22.0,R. Lopez makes 2-pt shot from 6 ft,2,41-45,,
2:02.0,,,41-45,,H. Whiteside misses 2-pt shot from 3 ft
2:00.0,Defensive rebound by R. Lopez,,41-45,,
1:52.0,L. Markkanen makes 2-pt shot from 6 ft (assist by J. Grant),2,43-45,,
1:40.0,,,43-47,2,D. Waiters makes 2-pt shot from 20 ft
1:18.0,L. Markkanen makes 2-pt shot from 1 ft (assist by R. Lopez),2,45-47,,
1:04.0,,,45-47,,Turnover by D. Waiters (bad pass; steal by L. Markkanen)
0:55.0,R. Lopez makes 2-pt shot from 1 ft (assist by J. Grant),2,47-47,,
0:34.0,,,47-49,2,G. Dragic makes 2-pt shot from 1 ft
0:28.0,J. Holiday misses 3-pt shot from 23 ft,,47-49,,
0:26.0,,,47-49,,Defensive rebound by D. Waiters
0:03.0,,,47-49,,D. Waiters misses 2-pt shot from 19 ft
0:03.0,Defensive rebound by J. Holiday,,47-49,,
0:00.0,L. Markkanen misses 3-pt shot from 25 ft,,47-49,,
0:00.0,Offensive rebound by Team,,47-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,J. Holiday makes 2-pt shot from 20 ft,2,49-49,,
11:19.0,,,49-49,,H. Whiteside misses 2-pt shot from 5 ft (block by D. Nwaba)
11:18.0,,,49-49,,Offensive rebound by D. Waiters
11:10.0,,,49-51,2,H. Whiteside makes 2-pt shot from 5 ft (assist by J. Richardson)
11:00.0,R. Lopez misses 2-pt shot from 20 ft,,49-51,,
10:58.0,,,49-51,,Defensive rebound by O. White
10:44.0,,,49-51,,J. Richardson misses 2-pt shot from 21 ft
10:41.0,Defensive rebound by J. Holiday,,49-51,,
10:34.0,,,49-51,,Personal foul by H. Whiteside (drawn by R. Lopez)
10:27.0,R. Lopez makes 2-pt shot from 1 ft (assist by J. Grant),2,51-51,,
9:58.0,,,51-53,2,D. Waiters makes 2-pt shot at rim
9:54.0,Shooting foul by D. Waiters (drawn by R. Lopez),,51-53,,
9:54.0,R. Lopez makes free throw 1 of 2,1,52-53,,
9:54.0,R. Lopez makes free throw 2 of 2,1,53-53,,
9:27.0,,,53-53,,G. Dragic misses 3-pt shot from 26 ft
9:25.0,Defensive rebound by D. Nwaba,,53-53,,
9:22.0,D. Nwaba makes 2-pt shot from 1 ft,2,55-53,,
9:11.0,Personal foul by J. Grant (drawn by G. Dragic),,55-53,,
8:57.0,,,55-53,,Turnover by O. White (bad pass; steal by R. Lopez)
8:47.0,R. Lopez makes 2-pt shot from 1 ft (assist by J. Grant),2,57-53,,
8:34.0,,,57-55,2,G. Dragic makes 2-pt shot from 2 ft
8:20.0,J. Holiday misses 3-pt shot from 25 ft,,57-55,,
8:17.0,,,57-55,,Defensive rebound by D. Waiters
8:07.0,,,57-55,,Offensive charge foul by G. Dragic (drawn by J. Grant)
8:07.0,,,57-55,,Turnover by G. Dragic (offensive foul)
7:57.0,Offensive charge foul by J. Grant (drawn by G. Dragic),,57-55,,
7:57.0,Turnover by J. Grant (offensive foul),,57-55,,
7:40.0,,,57-55,,G. Dragic misses 2-pt shot from 14 ft
7:37.0,Defensive rebound by D. Nwaba,,57-55,,
7:31.0,L. Markkanen misses 2-pt shot from 17 ft,,57-55,,
7:26.0,,,57-55,,Defensive rebound by G. Dragic
7:16.0,,,57-55,,J. Richardson misses 2-pt shot from 16 ft
7:09.0,Defensive rebound by D. Nwaba,,57-55,,
7:05.0,J. Holiday misses 2-pt shot from 1 ft,,57-55,,
7:02.0,Offensive rebound by D. Nwaba,,57-55,,
6:55.0,L. Markkanen makes 2-pt shot at rim (assist by J. Grant),2,59-55,,
6:36.0,,,59-55,,D. Waiters misses 2-pt shot from 17 ft
6:34.0,Defensive rebound by J. Grant,,59-55,,
6:23.0,J. Grant misses 3-pt shot from 22 ft,,59-55,,
6:19.0,,,59-55,,Defensive rebound by D. Waiters
6:14.0,,,59-55,,O. White misses 3-pt shot from 25 ft
6:11.0,Defensive rebound by D. Nwaba,,59-55,,
6:00.0,L. Markkanen misses 3-pt shot from 24 ft,,59-55,,
5:57.0,,,59-55,,Defensive rebound by G. Dragic
5:47.0,,,59-55,,D. Waiters misses 3-pt shot from 25 ft
5:44.0,Defensive rebound by D. Nwaba,,59-55,,
5:44.0,Chicago full timeout,,59-55,,
5:44.0,,,59-55,,T. Johnson enters the game for G. Dragic
5:44.0,K. Dunn enters the game for J. Grant,,59-55,,
5:35.0,D. Nwaba makes 2-pt shot from 1 ft (assist by K. Dunn),2,61-55,,
5:19.0,,,61-55,,Turnover by J. Richardson (out of bounds lost ball)
5:06.0,L. Markkanen misses 2-pt shot at rim,,61-55,,
5:03.0,,,61-55,,Defensive rebound by H. Whiteside
4:50.0,,,61-55,,Turnover by D. Waiters (traveling)
4:39.0,K. Dunn misses 2-pt shot from 1 ft,,61-55,,
4:37.0,,,61-55,,Defensive rebound by H. Whiteside
4:29.0,,,61-55,,O. White misses 3-pt shot from 25 ft
4:26.0,Defensive rebound by J. Holiday,,61-55,,
4:18.0,K. Dunn misses 2-pt shot from 1 ft,,61-55,,
4:15.0,,,61-55,,Defensive rebound by D. Waiters
4:08.0,,,61-55,,T. Johnson misses 2-pt shot at rim
4:06.0,Defensive rebound by K. Dunn,,61-55,,
3:55.0,J. Holiday misses 2-pt shot from 4 ft,,61-55,,
3:53.0,,,61-55,,Defensive rebound by O. White
3:46.0,,,61-57,2,T. Johnson makes 2-pt shot from 1 ft
3:28.0,R. Lopez makes 2-pt shot from 21 ft (assist by L. Markkanen),2,63-57,,
3:02.0,,,63-57,,J. Richardson misses 3-pt shot from 23 ft
2:58.0,Defensive rebound by J. Holiday,,63-57,,
2:42.0,D. Nwaba misses 2-pt shot at rim,,63-57,,
2:40.0,,,63-57,,Defensive rebound by D. Waiters
2:32.0,,,63-59,2,T. Johnson makes 2-pt shot from 19 ft
2:31.0,Chicago full timeout,,63-59,,
2:31.0,,,63-59,,J. Winslow enters the game for J. Richardson
2:31.0,,,63-59,,W. Ellington enters the game for D. Waiters
2:31.0,,,63-59,,G. Dragic enters the game for O. White
2:31.0,,,63-59,,K. Olynyk enters the game for H. Whiteside
2:31.0,P. Zipser enters the game for L. Markkanen,,63-59,,
2:31.0,C. Felicio enters the game for R. Lopez,,63-59,,
2:20.0,,,63-59,,Personal foul by K. Olynyk (drawn by C. Felicio)
2:11.0,K. Dunn misses 2-pt shot from 20 ft,,63-59,,
2:07.0,,,63-59,,Defensive rebound by W. Ellington
1:49.0,,,63-59,,T. Johnson misses 2-pt shot from 1 ft (block by C. Felicio)
1:45.0,Defensive rebound by C. Felicio,,63-59,,
1:41.0,Turnover by P. Zipser (lost ball; steal by J. Winslow),,63-59,,
1:40.0,,,63-59,,Turnover by J. Winslow (lost ball; steal by P. Zipser)
1:37.0,Turnover by P. Zipser (traveling),,63-59,,
1:37.0,D. Valentine enters the game for D. Nwaba,,63-59,,
1:25.0,,,63-62,3,T. Johnson makes 3-pt shot from 25 ft (assist by W. Ellington)
1:04.0,Shooting foul by K. Olynyk (drawn by C. Felicio),,63-62,,
1:04.0,C. Felicio makes free throw 1 of 2,1,64-62,,
1:04.0,,,64-62,,B. Adebayo enters the game for K. Olynyk
1:04.0,C. Felicio misses free throw 2 of 2,,64-62,,
1:01.0,,,64-62,,Defensive rebound by B. Adebayo
0:49.0,,,64-64,2,J. Winslow makes 2-pt shot from 1 ft (assist by W. Ellington)
0:40.0,K. Dunn misses 3-pt shot from 24 ft,,64-64,,
0:38.0,,,64-64,,Defensive rebound by T. Johnson
0:26.0,,,64-67,3,G. Dragic makes 3-pt shot from 25 ft (assist by T. Johnson)
0:03.0,K. Dunn misses 2-pt shot from 16 ft,,64-67,,
0:03.0,Offensive rebound by K. Dunn,,64-67,,
0:02.0,K. Dunn misses 2-pt shot from 16 ft,,64-67,,
0:01.0,,,64-67,,Defensive rebound by J. Winslow
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Personal foul by D. Nwaba (drawn by W. Ellington),,64-67,,
11:36.0,,,64-67,,W. Ellington misses 3-pt shot from 23 ft
11:34.0,Defensive rebound by D. Valentine,,64-67,,
11:14.0,P. Zipser misses 2-pt shot from 19 ft,,64-67,,
11:09.0,,,64-67,,Defensive rebound by J. Winslow
10:56.0,,,64-67,,G. Dragic misses 3-pt shot from 25 ft
10:50.0,Defensive rebound by D. Nwaba,,64-67,,
10:41.0,Turnover by K. Dunn (bad pass; steal by G. Dragic),,64-67,,
10:38.0,,,64-69,2,G. Dragic makes 2-pt shot from 1 ft
10:38.0,,,64-69,,Shooting foul by K. Dunn (drawn by G. Dragic)
10:38.0,,,64-70,1,G. Dragic makes free throw 1 of 1
10:23.0,K. Dunn misses 3-pt shot from 25 ft,,64-70,,
10:21.0,Offensive rebound by C. Felicio,,64-70,,
10:18.0,D. Valentine misses 3-pt shot from 25 ft,,64-70,,
10:16.0,,,64-70,,Defensive rebound by B. Adebayo
10:02.0,,,64-70,,B. Adebayo misses 2-pt shot from 1 ft
9:57.0,Defensive rebound by K. Dunn,,64-70,,
9:33.0,D. Valentine makes 2-pt shot from 16 ft,2,66-70,,
9:11.0,,,66-70,,J. Winslow misses 2-pt shot from 1 ft
9:09.0,Defensive rebound by P. Zipser,,66-70,,
9:05.0,D. Valentine misses 3-pt shot from 23 ft,,66-70,,
9:02.0,,,66-70,,Defensive rebound by G. Dragic
8:59.0,Personal foul by K. Dunn (drawn by J. Winslow),,66-70,,
8:47.0,,,66-70,,T. Johnson misses 2-pt shot from 20 ft
8:45.0,Defensive rebound by P. Zipser,,66-70,,
8:38.0,K. Dunn makes 2-pt shot from 17 ft,2,68-70,,
8:18.0,,,68-73,3,T. Johnson makes 3-pt shot from 22 ft (assist by G. Dragic)
8:04.0,,,68-73,,Personal foul by W. Ellington (drawn by D. Valentine)
7:56.0,Turnover by C. Felicio (offensive goaltending),,68-73,,
7:36.0,,,68-75,2,B. Adebayo makes 2-pt shot from 1 ft (assist by G. Dragic)
7:36.0,Chicago full timeout,,68-75,,
7:36.0,R. Lopez enters the game for C. Felicio,,68-75,,
7:36.0,J. Holiday enters the game for D. Nwaba,,68-75,,
7:17.0,R. Lopez misses 2-pt shot from 20 ft,,68-75,,
7:15.0,,,68-75,,Defensive rebound by J. Winslow
7:10.0,,,68-75,,J. Winslow misses 2-pt shot at rim
7:08.0,Defensive rebound by P. Zipser,,68-75,,
7:04.0,D. Valentine misses 3-pt shot from 25 ft,,68-75,,
7:01.0,,,68-75,,Defensive rebound by B. Adebayo
6:51.0,Personal foul by P. Zipser (drawn by J. Winslow),,68-75,,
6:51.0,L. Markkanen enters the game for P. Zipser,,68-75,,
6:51.0,J. Grant enters the game for D. Valentine,,68-75,,
6:41.0,,,68-75,,T. Johnson misses 2-pt shot from 1 ft (block by R. Lopez)
6:37.0,Defensive rebound by J. Holiday,,68-75,,
6:27.0,Turnover by K. Dunn (bad pass),,68-75,,
6:11.0,,,68-75,,G. Dragic misses 3-pt shot from 25 ft
6:08.0,Defensive rebound by L. Markkanen,,68-75,,
5:59.0,Turnover by K. Dunn (lost ball; steal by B. Adebayo),,68-75,,
5:54.0,,,68-78,3,T. Johnson makes 3-pt shot from 22 ft (assist by G. Dragic)
5:54.0,Chicago full timeout,,68-78,,
5:36.0,R. Lopez misses 2-pt shot from 5 ft,,68-78,,
5:32.0,,,68-78,,Defensive rebound by B. Adebayo
5:14.0,,,68-78,,G. Dragic misses 3-pt shot from 26 ft
5:10.0,Defensive rebound by J. Grant,,68-78,,
5:03.0,R. Lopez makes 2-pt shot from 14 ft (assist by J. Grant),2,70-78,,
4:50.0,Personal foul by K. Dunn (drawn by G. Dragic),,70-78,,
4:50.0,,,70-78,,G. Dragic misses free throw 1 of 2
4:50.0,,,70-78,,Offensive rebound by Team
4:50.0,,,70-78,,D. Waiters enters the game for T. Johnson
4:50.0,,,70-79,1,G. Dragic makes free throw 2 of 2
4:33.0,Shooting foul by G. Dragic (drawn by J. Grant),,70-79,,
4:33.0,J. Grant misses free throw 1 of 2,,70-79,,
4:33.0,Offensive rebound by Team,,70-79,,
4:33.0,,,70-79,,T. Johnson enters the game for G. Dragic
4:33.0,J. Grant makes free throw 2 of 2,1,71-79,,
4:24.0,,,71-79,,T. Johnson misses 3-pt shot from 23 ft
4:21.0,Defensive rebound by K. Dunn,,71-79,,
4:13.0,L. Markkanen misses 2-pt shot from 4 ft,,71-79,,
4:10.0,,,71-79,,Defensive rebound by W. Ellington
3:56.0,,,71-79,,Turnover by D. Waiters (out of bounds lost ball)
3:47.0,K. Dunn makes 2-pt shot from 1 ft,2,73-79,,
3:47.0,,,73-79,,Miami full timeout
3:41.0,Personal foul by J. Grant (drawn by T. Johnson),,73-79,,
3:41.0,,,73-80,1,T. Johnson makes free throw 1 of 2
3:41.0,,,73-81,1,T. Johnson makes free throw 2 of 2
3:28.0,Turnover by R. Lopez (bad pass; steal by B. Adebayo),,73-81,,
3:25.0,Personal foul by R. Lopez (drawn by B. Adebayo),,73-81,,
3:25.0,,,73-82,1,B. Adebayo makes free throw 1 of 2
3:25.0,,,73-83,1,B. Adebayo makes free throw 2 of 2
3:13.0,J. Holiday misses 3-pt shot from 26 ft,,73-83,,
3:09.0,,,73-83,,Defensive rebound by J. Winslow
2:54.0,,,73-86,3,W. Ellington makes 3-pt shot from 25 ft (assist by D. Waiters)
2:54.0,Chicago full timeout,,73-86,,
2:45.0,L. Markkanen makes 2-pt shot at rim (assist by J. Holiday),2,75-86,,
2:23.0,,,75-89,3,D. Waiters makes 3-pt shot from 25 ft (assist by W. Ellington)
2:14.0,K. Dunn misses 2-pt shot from 16 ft,,75-89,,
2:14.0,Offensive rebound by Team,,75-89,,
2:14.0,,,75-89,,Loose ball foul by D. Waiters (drawn by R. Lopez)
