time,Memphis,pts.away,score,pts.home,Minnesota
11:48.0,,,75-85,2,K. Towns makes 2-pt shot from 1 ft (assist by J. Butler)
11:36.0,Turnover by K. Simmons (bad pass),,75-85,,
11:23.0,,,75-85,,J. Crawford misses 3-pt shot from 23 ft
11:20.0,Defensive rebound by D. Brooks,,75-85,,
11:14.0,D. Brooks makes 2-pt shot from 1 ft,2,77-85,,
10:56.0,,,77-85,,N. Bjelica misses 2-pt shot from 6 ft
10:52.0,,,77-85,,Offensive rebound by J. Crawford
10:40.0,,,77-87,2,N. Bjelica makes 2-pt shot from 1 ft (assist by J. Crawford)
10:31.0,,,77-87,,Personal foul by N. Bjelica (drawn by D. Brooks)
10:31.0,D. Davis enters the game for M. Henry,,77-87,,
10:31.0,I. Rabb enters the game for O. Johnson,,77-87,,
10:25.0,Shooting foul by N. Bjelica (drawn by D. Brooks),,77-87,,
10:25.0,D. Brooks makes free throw 1 of 2,1,78-87,,
10:25.0,,,78-87,,D. Rose enters the game for N. Bjelica
10:25.0,D. Brooks misses free throw 2 of 2,,78-87,,
10:22.0,,,78-87,,Defensive rebound by K. Towns
10:07.0,,,78-89,2,K. Towns makes 2-pt shot from 1 ft (assist by D. Rose)
10:07.0,,,78-89,,Shooting foul by I. Rabb (drawn by K. Towns)
10:07.0,,,78-90,1,K. Towns makes free throw 1 of 1
9:51.0,I. Rabb makes 2-pt shot from 10 ft,2,80-90,,
9:30.0,,,80-90,,D. Rose misses 2-pt shot from 19 ft
9:27.0,,,80-90,,Offensive rebound by J. Butler
9:18.0,,,80-92,2,K. Towns makes 2-pt shot from 18 ft (assist by J. Crawford)
8:59.0,Turnover by I. Rabb (lost ball; steal by J. Butler),,80-92,,
8:54.0,,,80-92,,Turnover by D. Rose (bad pass)
8:36.0,D. Brooks misses 2-pt shot from 19 ft,,80-92,,
8:34.0,,,80-92,,Defensive rebound by K. Towns
8:21.0,,,80-92,,Shooting foul by I. Rabb (drawn by J. Butler)
8:21.0,,,80-93,1,J. Butler makes free throw 1 of 2
8:21.0,M. Brooks enters the game for D. Brooks,,80-93,,
8:21.0,,,80-94,1,J. Butler makes free throw 2 of 2
8:10.0,D. Davis misses 2-pt shot from 18 ft,,80-94,,
8:08.0,Offensive rebound by Team,,80-94,,
7:59.0,,,80-94,,Personal foul by T. Jones (drawn by K. Simmons)
7:59.0,,,80-94,,J. Teague enters the game for T. Jones
7:49.0,M. Brooks misses 2-pt shot from 8 ft,,80-94,,
7:46.0,,,80-94,,Defensive rebound by K. Towns
7:43.0,,,80-94,,Turnover by J. Teague (lost ball; steal by M. Brooks)
7:37.0,B. McLemore misses 3-pt shot from 23 ft,,80-94,,
7:33.0,Offensive rebound by B. McLemore,,80-94,,
7:25.0,M. Brooks makes 3-pt shot from 25 ft,3,83-94,,
7:06.0,,,83-96,2,D. Rose makes 2-pt shot from 1 ft
6:43.0,Turnover by M. Brooks (bad pass; steal by J. Butler),,83-96,,
6:40.0,,,83-98,2,J. Butler makes 2-pt shot from 1 ft (assist by D. Rose)
6:40.0,Memphis full timeout,,83-98,,
6:40.0,M. Henry enters the game for I. Rabb,,83-98,,
6:40.0,,,83-98,,A. Wiggins enters the game for J. Butler
6:17.0,B. McLemore makes 2-pt shot from 5 ft,2,85-98,,
6:03.0,,,85-98,,D. Rose misses 2-pt shot from 7 ft
6:02.0,,,85-98,,Offensive rebound by K. Towns
6:01.0,,,85-98,,K. Towns misses 2-pt shot from 1 ft
6:00.0,Defensive rebound by D. Davis,,85-98,,
