time,Memphis,pts.away,score,pts.home,Dallas
11:14.0,,,18-34,,D. Nowitzki misses 3-pt shot from 25 ft
11:12.0,Defensive rebound by Team,,18-34,,
11:00.0,Turnover by M. Chalmers (lost ball; steal by J. Barea),,18-34,,
10:50.0,,,18-37,3,J. Barea makes 3-pt shot from 25 ft (assist by D. Nowitzki)
10:41.0,Memphis full timeout,,18-37,,
10:41.0,M. Conley enters the game for M. Chalmers,,18-37,,
10:27.0,D. Brooks makes 2-pt shot from 13 ft,2,20-37,,
10:03.0,,,20-37,,Shooting foul by J. Ennis (drawn by D. Smith)
10:03.0,,,20-37,,D. Smith misses free throw 1 of 2
10:03.0,,,20-37,,Offensive rebound by Team
10:03.0,J. Martin enters the game for J. Ennis,,20-37,,
10:03.0,,,20-37,,D. Smith misses free throw 2 of 2
10:00.0,Defensive rebound by B. Wright,,20-37,,
9:51.0,M. Conley misses 3-pt shot from 22 ft,,20-37,,
9:49.0,,,20-37,,Defensive rebound by J. Barea
9:38.0,,,20-37,,D. Nowitzki misses 2-pt shot from 11 ft
9:34.0,Defensive rebound by M. Conley,,20-37,,
9:26.0,T. Evans makes 2-pt shot from 3 ft,2,22-37,,
9:12.0,,,22-37,,Turnover by J. Barea (bad pass)
8:56.0,T. Evans makes 2-pt shot from 2 ft,2,24-37,,
8:46.0,,,24-37,,Turnover by J. Barea (bad pass)
8:45.0,,,24-37,,J. Barea misses 2-pt shot from 3 ft (block by J. Martin)
8:45.0,,,24-37,,Offensive rebound by J. Barea
8:30.0,D. Brooks misses 3-pt shot from 23 ft,,24-37,,
8:28.0,,,24-37,,Defensive rebound by D. Smith
8:13.0,,,24-40,3,J. Barea makes 3-pt shot from 24 ft (assist by D. Nowitzki)
8:03.0,Shooting foul by D. Powell (drawn by M. Conley),,24-40,,
8:03.0,M. Conley misses free throw 1 of 2,,24-40,,
8:03.0,Offensive rebound by Team,,24-40,,
8:03.0,,,24-40,,Y. Ferrell enters the game for J. Barea
8:03.0,,,24-40,,H. Barnes enters the game for D. Powell
8:03.0,,,24-40,,N. Noel enters the game for D. Finney-Smith
8:03.0,,,24-40,,W. Matthews enters the game for D. Nowitzki
8:03.0,M. Gasol enters the game for B. Wright,,24-40,,
8:03.0,M. Conley makes free throw 2 of 2,1,25-40,,
7:42.0,,,25-40,,Y. Ferrell misses 3-pt shot from 26 ft
7:39.0,Defensive rebound by M. Gasol,,25-40,,
7:32.0,T. Evans makes 3-pt shot from 24 ft (assist by M. Gasol),3,28-40,,
7:10.0,,,28-40,,D. Smith misses 3-pt shot from 23 ft
7:06.0,Defensive rebound by M. Gasol,,28-40,,
6:54.0,J. Martin makes 2-pt shot from 18 ft,2,30-40,,
6:52.0,,,30-40,,Dallas full timeout
6:30.0,,,30-42,2,H. Barnes makes 2-pt shot from 18 ft (assist by W. Matthews)
6:13.0,M. Conley misses 3-pt shot from 24 ft,,30-42,,
6:11.0,,,30-42,,Defensive rebound by H. Barnes
6:04.0,,,30-42,,H. Barnes misses 3-pt shot from 25 ft
6:00.0,Defensive rebound by M. Gasol,,30-42,,
5:55.0,M. Gasol makes 3-pt shot from 25 ft (assist by T. Evans),3,33-42,,
5:41.0,,,33-42,,Turnover by D. Smith (bad pass; steal by T. Evans)
5:36.0,J. Martin misses 2-pt shot from 1 ft,,33-42,,
5:35.0,,,33-42,,Defensive rebound by H. Barnes
5:28.0,,,33-42,,N. Noel misses 2-pt shot from 19 ft
5:25.0,Defensive rebound by M. Gasol,,33-42,,
5:21.0,Shooting foul by N. Noel (drawn by M. Conley),,33-42,,
5:21.0,M. Conley makes free throw 1 of 2,1,34-42,,
5:21.0,,,34-42,,J. Barea enters the game for D. Smith
5:21.0,J. Ennis enters the game for D. Brooks,,34-42,,
5:21.0,M. Conley makes free throw 2 of 2,1,35-42,,
5:06.0,,,35-44,2,H. Barnes makes 2-pt shot from 3 ft
5:06.0,,,35-44,,Shooting foul by J. Martin (drawn by H. Barnes)
5:06.0,,,35-45,1,H. Barnes makes free throw 1 of 1
4:57.0,,,35-45,,Def 3 sec tech foul by W. Matthews
4:57.0,M. Conley misses technical free throw,,35-45,,
4:57.0,Offensive rebound by Team,,35-45,,
4:49.0,M. Conley makes 2-pt shot from 1 ft,2,37-45,,
4:22.0,,,37-45,,Turnover by N. Noel (turnover)
4:16.0,T. Evans misses 3-pt shot from 23 ft,,37-45,,
4:13.0,,,37-45,,Defensive rebound by N. Noel
3:59.0,,,37-47,2,J. Barea makes 2-pt shot from 10 ft (assist by Y. Ferrell)
3:47.0,J. Martin makes 3-pt shot from 24 ft (assist by M. Conley),3,40-47,,
3:30.0,,,40-50,3,J. Barea makes 3-pt shot from 25 ft
3:16.0,M. Gasol makes 3-pt shot from 24 ft (assist by M. Conley),3,43-50,,
3:11.0,,,43-50,,Dallas full timeout
3:11.0,D. Brooks enters the game for T. Evans,,43-50,,
3:11.0,,,43-50,,D. Nowitzki enters the game for N. Noel
2:53.0,,,43-52,2,H. Barnes makes 2-pt shot from 5 ft
2:53.0,,,43-52,,Shooting foul by D. Brooks (drawn by H. Barnes)
2:53.0,,,43-53,1,H. Barnes makes free throw 1 of 1
2:39.0,J. Martin misses 3-pt shot from 24 ft,,43-53,,
2:38.0,Offensive rebound by Team,,43-53,,
2:32.0,D. Brooks misses 3-pt shot from 24 ft,,43-53,,
2:29.0,,,43-53,,Defensive rebound by Y. Ferrell
2:14.0,,,43-56,3,W. Matthews makes 3-pt shot from 22 ft (assist by D. Nowitzki)
1:53.0,J. Martin makes 2-pt shot at rim,2,45-56,,
1:37.0,,,45-56,,Shooting foul by J. Martin (drawn by H. Barnes)
1:37.0,,,45-57,1,H. Barnes makes free throw 1 of 2
1:37.0,T. Evans enters the game for D. Brooks,,45-57,,
1:37.0,,,45-57,,H. Barnes misses free throw 2 of 2
1:35.0,Defensive rebound by M. Gasol,,45-57,,
1:15.0,Turnover by J. Martin (bad pass),,45-57,,
1:00.0,,,45-57,,J. Barea misses 2-pt shot from 22 ft
1:00.0,Defensive rebound by T. Evans,,45-57,,
0:42.0,M. Conley misses 3-pt shot from 25 ft,,45-57,,
0:39.0,,,45-57,,Defensive rebound by Y. Ferrell
0:32.0,,,45-57,,Turnover by Y. Ferrell (lost ball; steal by M. Gasol)
0:29.0,T. Evans makes 2-pt shot at rim,2,47-57,,
0:11.0,,,47-57,,Turnover by J. Barea (bad pass; steal by M. Gasol)
0:07.0,J. Ennis makes 2-pt shot at rim (assist by T. Evans),2,49-57,,
0:00.0,,,49-57,,H. Barnes misses 3-pt shot from 23 ft
0:00.0,,,49-57,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,49-57,,H. Barnes misses 2-pt shot at rim (block by J. Martin)
11:40.0,,,49-57,,Offensive rebound by Team
11:32.0,,,49-57,,W. Matthews misses 2-pt shot from 16 ft
11:29.0,Defensive rebound by J. Martin,,49-57,,
11:09.0,M. Gasol misses 2-pt shot from 15 ft,,49-57,,
11:07.0,,,49-57,,Defensive rebound by N. Noel
11:01.0,,,49-57,,Turnover by N. Noel (bad pass; steal by A. Harrison)
10:56.0,J. Ennis misses 3-pt shot from 24 ft,,49-57,,
10:53.0,,,49-57,,Defensive rebound by D. Nowitzki
10:33.0,,,49-57,,D. Nowitzki misses 2-pt shot from 13 ft
10:30.0,Defensive rebound by M. Conley,,49-57,,
10:13.0,M. Gasol makes 3-pt shot from 25 ft (assist by J. Ennis),3,52-57,,
9:50.0,,,52-57,,N. Noel misses 2-pt shot from 11 ft
9:50.0,Defensive rebound by Team,,52-57,,
9:50.0,,,52-57,,Loose ball foul by N. Noel (drawn by M. Gasol)
9:37.0,,,52-57,,Personal foul by D. Smith (drawn by M. Conley)
9:31.0,M. Conley misses 3-pt shot from 25 ft,,52-57,,
9:28.0,,,52-57,,Defensive rebound by N. Noel
9:07.0,,,52-60,3,D. Smith makes 3-pt shot from 24 ft (assist by H. Barnes)
8:49.0,M. Conley makes 2-pt shot from 8 ft,2,54-60,,
8:49.0,Shooting foul by N. Noel (drawn by M. Conley),,54-60,,
8:49.0,M. Conley makes free throw 1 of 1,1,55-60,,
8:35.0,,,55-62,2,D. Smith makes 2-pt shot from 15 ft
8:17.0,Shooting foul by N. Noel (drawn by M. Gasol),,55-62,,
8:17.0,M. Gasol misses free throw 1 of 2,,55-62,,
8:17.0,Offensive rebound by Team,,55-62,,
8:17.0,,,55-62,,D. Powell enters the game for N. Noel
8:17.0,M. Gasol makes free throw 2 of 2,1,56-62,,
8:04.0,,,56-64,2,D. Nowitzki makes 2-pt shot from 11 ft (assist by D. Smith)
7:45.0,M. Gasol makes 2-pt shot from 9 ft,2,58-64,,
7:29.0,,,58-66,2,D. Smith makes 2-pt shot from 1 ft
7:15.0,M. Gasol makes 3-pt shot from 25 ft (assist by J. Martin),3,61-66,,
6:56.0,,,61-68,2,D. Smith makes 2-pt shot from 1 ft
6:43.0,M. Gasol makes 3-pt shot from 25 ft (assist by A. Harrison),3,64-68,,
6:22.0,,,64-68,,Shooting foul by J. Martin (drawn by D. Nowitzki)
6:22.0,,,64-68,,Dallas full timeout
6:22.0,D. Brooks enters the game for J. Martin,,64-68,,
6:22.0,,,64-69,1,D. Nowitzki makes free throw 1 of 2
6:22.0,,,64-70,1,D. Nowitzki makes free throw 2 of 2
6:02.0,A. Harrison misses 3-pt shot from 22 ft,,64-70,,
5:58.0,,,64-70,,Defensive rebound by D. Nowitzki
5:48.0,,,64-70,,Turnover by W. Matthews (lost ball; steal by J. Ennis)
5:46.0,A. Harrison makes 2-pt shot at rim,2,66-70,,
5:46.0,Shooting foul by D. Smith (drawn by A. Harrison),,66-70,,
5:46.0,,,66-70,,D. Harris enters the game for D. Nowitzki
5:46.0,A. Harrison makes free throw 1 of 1,1,67-70,,
5:26.0,,,67-70,,Turnover by D. Harris (bad pass; steal by M. Conley)
5:18.0,M. Conley misses 2-pt shot from 7 ft,,67-70,,
5:15.0,,,67-70,,Defensive rebound by D. Powell
5:06.0,,,67-72,2,D. Powell makes 2-pt shot at rim (assist by D. Smith)
4:51.0,Turnover by D. Brooks (palming),,67-72,,
4:51.0,,,67-72,,Y. Ferrell enters the game for D. Smith
4:51.0,M. Chalmers enters the game for M. Conley,,67-72,,
4:38.0,,,67-72,,Y. Ferrell misses 2-pt shot from 12 ft
4:37.0,Defensive rebound by M. Gasol,,67-72,,
4:29.0,A. Harrison makes 2-pt shot from 21 ft,2,69-72,,
4:12.0,,,69-72,,H. Barnes misses 3-pt shot from 25 ft
4:08.0,Defensive rebound by M. Gasol,,69-72,,
3:55.0,M. Chalmers misses 3-pt shot from 25 ft,,69-72,,
3:53.0,Offensive rebound by M. Gasol,,69-72,,
3:53.0,,,69-72,,Personal foul by D. Harris (drawn by M. Gasol)
3:53.0,M. Gasol misses free throw 1 of 2,,69-72,,
3:53.0,Offensive rebound by Team,,69-72,,
3:53.0,T. Evans enters the game for J. Ennis,,69-72,,
3:53.0,M. Gasol misses free throw 2 of 2,,69-72,,
3:51.0,,,69-72,,Defensive rebound by D. Powell
3:37.0,,,69-74,2,D. Harris makes 2-pt shot at rim (assist by D. Powell)
3:18.0,Offensive foul by M. Gasol (drawn by D. Powell),,69-74,,
3:18.0,Turnover by M. Gasol (offensive foul),,69-74,,
3:05.0,,,69-74,,Shooting foul by A. Harrison (drawn by H. Barnes)
3:05.0,,,69-74,,H. Barnes misses free throw 1 of 2
3:05.0,,,69-74,,Offensive rebound by Team
3:05.0,,,69-75,1,H. Barnes makes free throw 2 of 2
2:57.0,Shooting foul by D. Harris (drawn by M. Chalmers),,69-75,,
2:57.0,Memphis full timeout,,69-75,,
2:57.0,,,69-75,,J. Barea enters the game for D. Harris
2:57.0,M. Chalmers makes free throw 1 of 2,1,70-75,,
2:57.0,M. Chalmers misses free throw 2 of 2,,70-75,,
2:55.0,,,70-75,,Defensive rebound by D. Powell
2:45.0,,,70-75,,D. Powell misses 3-pt shot from 24 ft
2:40.0,Defensive rebound by D. Brooks,,70-75,,
2:22.0,A. Harrison makes 2-pt shot from 16 ft,2,72-75,,
2:04.0,,,72-75,,H. Barnes misses 2-pt shot from 14 ft
2:01.0,Defensive rebound by M. Chalmers,,72-75,,
2:01.0,Turnover by M. Chalmers (step out of bounds),,72-75,,
1:53.0,,,72-75,,Shooting foul by A. Harrison (drawn by Y. Ferrell)
1:53.0,,,72-76,1,Y. Ferrell makes free throw 1 of 2
1:53.0,,,72-77,1,Y. Ferrell makes free throw 2 of 2
1:33.0,M. Gasol misses 2-pt shot from 11 ft,,72-77,,
1:30.0,Offensive rebound by D. Brooks,,72-77,,
1:26.0,D. Brooks misses 2-pt shot from 2 ft (block by D. Powell),,72-77,,
1:23.0,,,72-77,,Defensive rebound by W. Matthews
1:05.0,Personal foul by D. Brooks (drawn by H. Barnes),,72-77,,
1:05.0,,,72-78,1,H. Barnes makes free throw 2 of 2
1:05.0,,,72-79,1,H. Barnes makes free throw 1 of 2
1:05.0,,,72-79,,D. Harris enters the game for W. Matthews
1:05.0,M. Conley enters the game for A. Harrison,,72-79,,
1:05.0,B. Wright enters the game for D. Brooks,,72-79,,
1:05.0,J. Ennis enters the game for M. Gasol,,72-79,,
0:52.0,M. Chalmers misses 2-pt shot from 4 ft (block by D. Powell),,72-79,,
0:49.0,,,72-79,,Defensive rebound by J. Barea
0:43.0,,,72-79,,J. Barea misses 2-pt shot from 17 ft
0:38.0,Defensive rebound by M. Chalmers,,72-79,,
0:23.0,T. Evans misses 2-pt shot from 3 ft,,72-79,,
0:21.0,,,72-79,,Defensive rebound by D. Harris
0:01.0,,,72-79,,H. Barnes misses 2-pt shot from 13 ft
0:01.0,Defensive rebound by J. Ennis,,72-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,M. Chalmers misses 2-pt shot from 19 ft,,72-79,,
11:36.0,,,72-79,,Defensive rebound by J. Barea
11:30.0,,,72-79,,Offensive foul by W. Matthews (drawn by M. Conley)
11:30.0,,,72-79,,Turnover by W. Matthews (offensive foul)
11:14.0,Offensive foul by J. Ennis (drawn by J. Barea),,72-79,,
11:14.0,Turnover by J. Ennis (offensive foul),,72-79,,
10:57.0,,,72-81,2,J. Barea makes 2-pt shot from 1 ft
10:45.0,M. Chalmers makes 3-pt shot from 23 ft (assist by M. Conley),3,75-81,,
10:21.0,,,75-83,2,D. Nowitzki makes 2-pt shot from 10 ft (assist by J. Barea)
10:06.0,,,75-83,,Away from play foul by J. Barea (drawn by M. Chalmers)
10:06.0,M. Chalmers makes free throw 1 of 1,1,76-83,,
10:06.0,Offensive foul by M. Chalmers (drawn by J. Barea),,76-83,,
10:06.0,Turnover by M. Chalmers (offensive foul),,76-83,,
9:56.0,,,76-83,,D. Nowitzki misses 3-pt shot from 24 ft
9:52.0,,,76-83,,Offensive rebound by W. Matthews
9:49.0,,,76-83,,Y. Ferrell misses 3-pt shot from 24 ft
9:47.0,Defensive rebound by J. Ennis,,76-83,,
9:36.0,M. Conley makes 2-pt shot from 13 ft,2,78-83,,
9:10.0,,,78-83,,J. Barea misses 2-pt shot from 2 ft
9:08.0,Defensive rebound by T. Evans,,78-83,,
9:05.0,Shooting foul by Y. Ferrell (drawn by T. Evans),,78-83,,
9:05.0,T. Evans makes free throw 1 of 2,1,79-83,,
9:05.0,,,79-83,,D. Smith enters the game for J. Barea
9:05.0,,,79-83,,N. Noel enters the game for D. Powell
9:05.0,T. Evans makes free throw 2 of 2,1,80-83,,
8:41.0,,,80-85,2,D. Smith makes 2-pt shot from 21 ft
8:25.0,,,80-85,,Personal foul by Y. Ferrell (drawn by M. Conley)
8:11.0,Turnover by Team (shot clock),,80-85,,
7:48.0,,,80-87,2,N. Noel makes 2-pt shot at rim (assist by W. Matthews)
7:44.0,Memphis full timeout,,80-87,,
7:44.0,,,80-87,,H. Barnes enters the game for D. Nowitzki
7:44.0,M. Gasol enters the game for M. Conley,,80-87,,
7:44.0,D. Brooks enters the game for B. Wright,,80-87,,
7:26.0,M. Gasol misses 2-pt shot from 14 ft,,80-87,,
7:23.0,,,80-87,,Defensive rebound by N. Noel
7:14.0,,,80-89,2,N. Noel makes 2-pt shot from 1 ft (assist by D. Smith)
6:47.0,M. Chalmers misses 2-pt shot from 7 ft (block by Y. Ferrell),,80-89,,
6:43.0,,,80-89,,Defensive rebound by Y. Ferrell
6:38.0,,,80-92,3,W. Matthews makes 3-pt shot from 22 ft (assist by D. Smith)
6:21.0,,,80-92,,Personal block foul by N. Noel (drawn by J. Ennis)
6:21.0,,,80-92,,D. Powell enters the game for N. Noel
6:10.0,J. Ennis misses 3-pt shot from 25 ft,,80-92,,
6:08.0,Offensive rebound by Team,,80-92,,
6:01.0,,,80-92,,Shooting block foul by D. Powell (drawn by J. Ennis)
6:01.0,J. Ennis makes free throw 1 of 2,1,81-92,,
6:01.0,,,81-92,,J. Barea enters the game for Y. Ferrell
6:01.0,A. Harrison enters the game for T. Evans,,81-92,,
6:01.0,J. Ennis makes free throw 2 of 2,1,82-92,,
5:41.0,,,82-92,,W. Matthews misses 2-pt shot from 17 ft
5:38.0,Defensive rebound by M. Gasol,,82-92,,
5:26.0,M. Chalmers makes 3-pt shot from 26 ft (assist by M. Gasol),3,85-92,,
5:07.0,,,85-95,3,H. Barnes makes 3-pt shot from 24 ft (assist by J. Barea)
4:47.0,Turnover by M. Chalmers (bad pass; steal by D. Powell),,85-95,,
4:31.0,,,85-98,3,D. Smith makes 3-pt shot from 24 ft (assist by J. Barea)
4:30.0,Memphis full timeout,,85-98,,
4:12.0,M. Chalmers misses 3-pt shot from 23 ft,,85-98,,
4:11.0,Offensive rebound by Team,,85-98,,
4:11.0,,,85-98,,Personal foul by H. Barnes (drawn by M. Gasol)
4:11.0,M. Gasol makes free throw 1 of 2,1,86-98,,
4:11.0,M. Conley enters the game for J. Ennis,,86-98,,
4:11.0,M. Gasol makes free throw 2 of 2,1,87-98,,
3:57.0,,,87-98,,D. Powell misses 2-pt shot from 18 ft
3:54.0,Defensive rebound by M. Gasol,,87-98,,
3:52.0,Offensive foul by D. Brooks (drawn by W. Matthews),,87-98,,
3:52.0,Turnover by D. Brooks (offensive foul),,87-98,,
3:52.0,,,87-98,,Y. Ferrell enters the game for J. Barea
3:27.0,,,87-98,,D. Smith misses 3-pt shot from 30 ft
3:26.0,Defensive rebound by Team,,87-98,,
3:10.0,M. Conley makes 3-pt shot from 26 ft (assist by M. Gasol),3,90-98,,
3:03.0,,,90-98,,Dallas full timeout
2:50.0,,,90-98,,H. Barnes misses 2-pt shot from 19 ft
2:46.0,Defensive rebound by A. Harrison,,90-98,,
2:34.0,A. Harrison misses 3-pt shot from 26 ft,,90-98,,
2:31.0,,,90-98,,Defensive rebound by H. Barnes
2:17.0,,,90-98,,D. Smith misses 2-pt shot from 1 ft
2:15.0,Defensive rebound by M. Conley,,90-98,,
2:05.0,M. Conley makes 2-pt shot from 9 ft,2,92-98,,
