time,Atlanta,pts.away,score,pts.home,Phoenix
7:20.0,E. Ilyasova makes 3-pt shot from 26 ft (assist by T. Waller-Prince),3,14-9,,
7:19.0,,,14-9,,Phoenix full timeout
7:01.0,,,14-9,,T. Ulis misses 2-pt shot from 16 ft
6:57.0,,,14-9,,Offensive rebound by T. Chandler
6:54.0,,,14-9,,T. Ulis misses 2-pt shot from 9 ft
6:52.0,,,14-9,,Offensive rebound by T. Warren
6:46.0,,,14-9,,T. Warren misses 2-pt shot from 9 ft
6:40.0,,,14-9,,Offensive rebound by T. Chandler
6:40.0,,,14-11,2,T. Chandler makes 2-pt shot at rim
6:23.0,Turnover by M. Plumlee (bad pass; steal by T. Ulis),,14-11,,
6:19.0,,,14-13,2,T. Warren makes 2-pt shot from 1 ft (assist by T. Ulis)
5:56.0,M. Plumlee makes 2-pt shot from 4 ft (assist by K. Bazemore),2,16-13,,
5:35.0,,,16-13,,Turnover by D. Booker (bad pass; steal by K. Bazemore)
5:32.0,K. Bazemore makes 3-pt shot from 25 ft,3,19-13,,
5:10.0,,,19-13,,Offensive charge foul by T. Warren (drawn by M. Plumlee)
5:10.0,,,19-13,,Turnover by T. Warren (offensive foul)
5:10.0,,,19-13,,I. Canaan enters the game for T. Chandler
5:10.0,,,19-13,,T. Daniels enters the game for D. Booker
5:10.0,,,19-13,,A. Len enters the game for T. Ulis
5:10.0,J. Collins enters the game for M. Plumlee,,19-13,,
5:10.0,M. Belinelli enters the game for K. Bazemore,,19-13,,
4:55.0,T. Waller-Prince misses 2-pt shot from 2 ft,,19-13,,
4:51.0,Offensive rebound by J. Collins,,19-13,,
4:51.0,J. Collins makes 2-pt shot at rim,2,21-13,,
4:38.0,Violation by D. Schroder (kicked ball),,21-13,,
4:28.0,,,21-15,2,A. Len makes 2-pt shot from 10 ft (assist by T. Warren)
4:09.0,E. Ilyasova misses 2-pt shot from 15 ft,,21-15,,
4:06.0,,,21-15,,Defensive rebound by M. Chriss
3:54.0,,,21-15,,T. Warren misses 2-pt shot from 2 ft (block by T. Waller-Prince)
3:54.0,,,21-15,,Offensive rebound by Team
3:54.0,T. Cavanaugh enters the game for E. Ilyasova,,21-15,,
3:54.0,M. Delaney enters the game for T. Waller-Prince,,21-15,,
3:47.0,,,21-15,,T. Daniels misses 3-pt shot from 25 ft
3:45.0,,,21-15,,Offensive rebound by I. Canaan
3:39.0,,,21-15,,T. Daniels misses 3-pt shot from 22 ft
3:35.0,Defensive rebound by T. Cavanaugh,,21-15,,
3:27.0,Shooting foul by M. Chriss (drawn by J. Collins),,21-15,,
3:27.0,J. Collins makes free throw 1 of 2,1,22-15,,
3:27.0,,,22-15,,D. Bender enters the game for M. Chriss
3:27.0,I. Taylor enters the game for D. Schroder,,22-15,,
3:27.0,J. Collins makes free throw 2 of 2,1,23-15,,
3:06.0,Personal foul by M. Delaney (drawn by T. Warren),,23-15,,
2:56.0,,,23-15,,I. Canaan misses 2-pt shot from 22 ft
2:52.0,Defensive rebound by T. Cavanaugh,,23-15,,
2:48.0,M. Belinelli makes 2-pt shot from 20 ft,2,25-15,,
2:35.0,Personal foul by I. Taylor (drawn by I. Canaan),,25-15,,
2:35.0,Atlanta full timeout,,25-15,,
2:35.0,,,25-15,,D. Booker enters the game for T. Warren
2:23.0,,,25-17,2,D. Booker makes 2-pt shot from 18 ft
1:57.0,M. Delaney misses 3-pt shot from 26 ft,,25-17,,
1:55.0,,,25-17,,Defensive rebound by I. Canaan
1:47.0,,,25-17,,I. Canaan misses 2-pt shot from 7 ft (block by J. Collins)
1:47.0,,,25-17,,Offensive rebound by Team
1:37.0,,,25-17,,Offensive foul by T. Daniels (drawn by M. Belinelli)
1:37.0,,,25-17,,Turnover by T. Daniels (offensive foul)
1:24.0,Turnover by M. Delaney (traveling),,25-17,,
1:06.0,,,25-17,,D. Booker misses 2-pt shot from 4 ft
1:04.0,Defensive rebound by M. Belinelli,,25-17,,
0:58.0,T. Cavanaugh misses 3-pt shot from 26 ft,,25-17,,
0:55.0,,,25-17,,Defensive rebound by I. Canaan
0:53.0,,,25-19,2,D. Booker makes 2-pt shot at rim (assist by I. Canaan)
0:39.0,I. Taylor misses 2-pt shot from 3 ft,,25-19,,
0:37.0,,,25-19,,Defensive rebound by A. Len
0:26.0,,,25-19,,Turnover by D. Booker (bad pass; steal by M. Belinelli)
0:07.0,M. Belinelli misses 2-pt shot from 22 ft,,25-19,,
0:05.0,Offensive rebound by M. Belinelli,,25-19,,
0:04.0,M. Belinelli makes 2-pt shot from 11 ft,2,27-19,,
0:00.0,,,27-19,,D. Booker misses 3-pt shot from 30 ft
0:00.0,,,27-19,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,27-21,2,A. Len makes 2-pt shot at rim (assist by I. Canaan)
11:40.0,I. Taylor makes 2-pt shot from 1 ft (assist by M. Delaney),2,29-21,,
11:31.0,,,29-21,,T. Daniels misses 3-pt shot from 30 ft
11:29.0,Defensive rebound by T. Cavanaugh,,29-21,,
11:18.0,M. Belinelli makes 2-pt shot from 20 ft (assist by J. Collins),2,31-21,,
11:18.0,Shooting foul by D. Bender (drawn by M. Belinelli),,31-21,,
11:18.0,M. Belinelli makes free throw 1 of 1,1,32-21,,
11:06.0,,,32-21,,Turnover by D. Bender (bad pass; steal by J. Collins)
10:51.0,J. Collins misses 2-pt shot from 19 ft,,32-21,,
10:49.0,,,32-21,,Defensive rebound by A. Len
10:32.0,,,32-21,,D. Bender misses 3-pt shot from 25 ft
10:31.0,Defensive rebound by Team,,32-21,,
10:31.0,,,32-21,,Loose ball foul by A. Len (drawn by J. Collins)
10:19.0,M. Belinelli makes 3-pt shot from 26 ft (assist by I. Taylor),3,35-21,,
10:04.0,Personal foul by T. Cavanaugh (drawn by D. Bender),,35-21,,
10:01.0,,,35-21,,Turnover by D. Bender (traveling)
9:39.0,M. Delaney misses 2-pt shot from 16 ft,,35-21,,
9:35.0,,,35-21,,Defensive rebound by D. Bender
9:29.0,,,35-24,3,D. Booker makes 3-pt shot from 23 ft
9:12.0,M. Belinelli makes 2-pt shot from 21 ft (assist by M. Delaney),2,37-24,,
9:00.0,,,37-26,2,D. Booker makes 2-pt shot from 16 ft
8:48.0,J. Collins misses 2-pt shot from 18 ft,,37-26,,
8:45.0,,,37-26,,Defensive rebound by D. Bender
8:28.0,,,37-28,2,D. Booker makes 2-pt shot from 16 ft
8:28.0,Atlanta full timeout,,37-28,,
8:28.0,,,37-28,,T. Ulis enters the game for I. Canaan
8:28.0,,,37-28,,M. Chriss enters the game for T. Daniels
8:28.0,,,37-28,,T. Warren enters the game for D. Bender
8:28.0,E. Ilyasova enters the game for M. Belinelli,,37-28,,
8:28.0,K. Bazemore enters the game for J. Collins,,37-28,,
8:28.0,M. Plumlee enters the game for T. Cavanaugh,,37-28,,
8:12.0,E. Ilyasova misses 2-pt shot at rim,,37-28,,
8:11.0,Offensive rebound by E. Ilyasova,,37-28,,
8:11.0,E. Ilyasova misses 2-pt shot at rim,,37-28,,
8:08.0,,,37-28,,Defensive rebound by T. Ulis
7:51.0,,,37-30,2,D. Booker makes 2-pt shot from 11 ft
7:29.0,T. Waller-Prince enters the game for M. Delaney,,37-30,,
7:29.0,D. Schroder enters the game for I. Taylor,,37-30,,
7:26.0,T. Waller-Prince misses 2-pt shot from 5 ft,,37-30,,
7:25.0,Offensive rebound by E. Ilyasova,,37-30,,
7:24.0,E. Ilyasova makes 2-pt shot at rim,2,39-30,,
7:03.0,,,39-30,,D. Booker misses 2-pt shot from 15 ft
7:03.0,Defensive rebound by E. Ilyasova,,39-30,,
6:53.0,D. Schroder misses 3-pt shot from 25 ft,,39-30,,
6:50.0,,,39-30,,Defensive rebound by D. Booker
6:44.0,,,39-30,,D. Booker misses 2-pt shot from 15 ft
6:38.0,,,39-30,,Offensive rebound by M. Chriss
6:38.0,,,39-32,2,M. Chriss makes 2-pt shot at rim
6:24.0,Turnover by K. Bazemore (bad pass; steal by A. Len),,39-32,,
6:18.0,,,39-32,,M. Chriss misses 3-pt shot from 23 ft
6:16.0,Defensive rebound by E. Ilyasova,,39-32,,
6:10.0,Turnover by D. Schroder (step out of bounds),,39-32,,
5:54.0,,,39-32,,T. Ulis misses 2-pt shot from 17 ft
5:52.0,Defensive rebound by T. Waller-Prince,,39-32,,
5:40.0,Turnover by K. Bazemore (bad pass; steal by A. Len),,39-32,,
5:37.0,,,39-32,,Turnover by T. Ulis (lost ball; steal by K. Bazemore)
5:32.0,K. Bazemore makes 2-pt shot at rim,2,41-32,,
5:08.0,,,41-35,3,M. Chriss makes 3-pt shot from 26 ft (assist by D. Booker)
4:54.0,T. Waller-Prince makes 3-pt shot from 25 ft (assist by K. Bazemore),3,44-35,,
4:44.0,,,44-35,,T. Chandler enters the game for A. Len
4:35.0,,,44-37,2,T. Ulis makes 2-pt shot from 13 ft
4:16.0,Turnover by K. Bazemore (bad pass; steal by T. Ulis),,44-37,,
4:12.0,,,44-39,2,T. Warren makes 2-pt shot at rim (assist by D. Booker)
3:48.0,M. Plumlee misses 2-pt shot from 5 ft,,44-39,,
3:46.0,,,44-39,,Defensive rebound by M. Chriss
3:41.0,,,44-39,,Turnover by D. Booker (out of bounds lost ball)
3:29.0,D. Schroder makes 2-pt shot from 7 ft,2,46-39,,
3:27.0,,,46-39,,Phoenix full timeout
3:27.0,M. Belinelli enters the game for M. Plumlee,,46-39,,
3:27.0,J. Collins enters the game for K. Bazemore,,46-39,,
3:11.0,,,46-41,2,T. Warren makes 2-pt shot from 17 ft (assist by M. Chriss)
2:53.0,Turnover by E. Ilyasova (traveling),,46-41,,
2:38.0,,,46-43,2,T. Warren makes 2-pt shot from 7 ft (assist by M. Chriss)
2:21.0,E. Ilyasova misses 3-pt shot from 24 ft,,46-43,,
2:18.0,,,46-43,,Defensive rebound by D. Booker
1:57.0,,,46-43,,D. Booker misses 2-pt shot from 22 ft
1:55.0,,,46-43,,Offensive rebound by T. Ulis
1:53.0,,,46-45,2,M. Chriss makes 2-pt shot at rim (assist by T. Ulis)
1:52.0,Atlanta full timeout,,46-45,,
1:52.0,T. Cavanaugh enters the game for E. Ilyasova,,46-45,,
1:41.0,D. Schroder misses 2-pt shot from 2 ft,,46-45,,
1:38.0,,,46-45,,Defensive rebound by M. Chriss
1:36.0,,,46-45,,Shooting foul by M. Belinelli (drawn by D. Booker)
1:36.0,,,46-46,1,D. Booker makes free throw 2 of 2
1:36.0,,,46-46,,D. Booker misses free throw 1 of 2
1:36.0,,,46-46,,Offensive rebound by Team
1:14.0,D. Schroder misses 2-pt shot from 1 ft,,46-46,,
1:11.0,Offensive rebound by T. Cavanaugh,,46-46,,
1:10.0,T. Cavanaugh makes 2-pt shot at rim,2,48-46,,
0:58.0,Personal foul by J. Collins (drawn by T. Chandler),,48-46,,
0:58.0,,,48-47,1,T. Chandler makes free throw 1 of 2
0:58.0,,,48-47,,T. Chandler misses free throw 2 of 2
0:56.0,,,48-47,,Offensive rebound by T. Warren
0:41.0,,,48-47,,D. Booker misses 2-pt shot from 10 ft
0:40.0,,,48-47,,Offensive rebound by Team
0:40.0,Loose ball foul by J. Collins (drawn by T. Chandler),,48-47,,
0:40.0,,,48-47,,T. Chandler misses free throw 1 of 2
0:40.0,,,48-47,,Offensive rebound by Team
0:40.0,,,48-47,,T. Chandler misses free throw 2 of 2
0:40.0,,,48-47,,Turnover by T. Warren (turnover)
0:31.0,T. Waller-Prince misses 2-pt shot from 22 ft,,48-47,,
0:29.0,,,48-47,,Defensive rebound by T. Chandler
0:10.0,,,48-49,2,T. Warren makes 2-pt shot from 8 ft
0:01.0,D. Schroder misses 2-pt shot from 7 ft (block by T. Chandler),,48-49,,
0:00.0,,,48-49,,Defensive rebound by T. Chandler
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,48-49,,T. Warren misses 3-pt shot from 25 ft
11:38.0,Defensive rebound by M. Plumlee,,48-49,,
11:28.0,D. Schroder makes 2-pt shot from 17 ft (assist by K. Bazemore),2,50-49,,
11:17.0,Personal foul by T. Waller-Prince (drawn by T. Warren),,50-49,,
11:12.0,,,50-51,2,T. Ulis makes 2-pt shot from 14 ft
11:01.0,E. Ilyasova makes 2-pt shot from 1 ft,2,52-51,,
11:01.0,Shooting foul by T. Chandler (drawn by E. Ilyasova),,52-51,,
11:01.0,E. Ilyasova makes free throw 1 of 1,1,53-51,,
10:52.0,,,53-53,2,T. Warren makes 2-pt shot from 18 ft (assist by T. Ulis)
10:35.0,Shooting foul by T. Warren (drawn by T. Waller-Prince),,53-53,,
10:35.0,T. Waller-Prince makes free throw 1 of 2,1,54-53,,
10:35.0,T. Waller-Prince makes free throw 2 of 2,1,55-53,,
10:22.0,,,55-53,,M. Chriss misses 3-pt shot from 26 ft
10:19.0,Defensive rebound by E. Ilyasova,,55-53,,
10:14.0,E. Ilyasova misses 3-pt shot from 24 ft,,55-53,,
10:10.0,,,55-53,,Defensive rebound by M. Chriss
10:05.0,,,55-55,2,T. Warren makes 2-pt shot from 1 ft (assist by T. Ulis)
9:57.0,,,55-55,,Personal foul by T. Ulis (drawn by D. Schroder)
9:44.0,Turnover by M. Plumlee (traveling),,55-55,,
9:34.0,Personal foul by K. Bazemore (drawn by D. Booker),,55-55,,
9:30.0,,,55-55,,Turnover by M. Chriss (bad pass; steal by K. Bazemore)
9:27.0,K. Bazemore makes 2-pt shot at rim,2,57-55,,
9:00.0,,,57-58,3,T. Warren makes 3-pt shot from 23 ft (assist by D. Booker)
8:47.0,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Schroder),2,59-58,,
8:30.0,,,59-60,2,M. Chriss makes 2-pt shot from 2 ft
8:18.0,,,59-60,,Personal foul by T. Ulis (drawn by D. Schroder)
8:18.0,,,59-60,,I. Canaan enters the game for T. Ulis
8:08.0,D. Schroder makes 2-pt shot from 2 ft,2,61-60,,
7:51.0,,,61-60,,M. Chriss misses 2-pt shot at rim (block by M. Plumlee)
7:47.0,Defensive rebound by K. Bazemore,,61-60,,
7:41.0,T. Waller-Prince misses 3-pt shot from 24 ft,,61-60,,
7:37.0,Offensive rebound by E. Ilyasova,,61-60,,
7:33.0,D. Schroder misses 2-pt shot from 12 ft,,61-60,,
7:29.0,Offensive rebound by D. Schroder,,61-60,,
7:11.0,K. Bazemore makes 3-pt shot from 25 ft,3,64-60,,
7:09.0,,,64-60,,Phoenix full timeout
7:09.0,,,64-60,,D. Bender enters the game for M. Chriss
7:09.0,,,64-60,,T. Daniels enters the game for D. Booker
6:46.0,,,64-60,,I. Canaan misses 3-pt shot from 26 ft
6:42.0,Defensive rebound by K. Bazemore,,64-60,,
6:34.0,,,64-60,,Personal foul by I. Canaan (drawn by E. Ilyasova)
6:34.0,E. Ilyasova makes free throw 1 of 2,1,65-60,,
6:34.0,M. Belinelli enters the game for T. Waller-Prince,,65-60,,
6:34.0,E. Ilyasova makes free throw 2 of 2,1,66-60,,
6:13.0,,,66-60,,Shooting foul by M. Belinelli (drawn by T. Daniels)
6:13.0,,,66-61,1,T. Daniels makes free throw 1 of 3
6:13.0,,,66-62,1,T. Daniels makes free throw 2 of 3
6:13.0,,,66-62,,T. Daniels misses free throw 3 of 3
6:09.0,Defensive rebound by D. Schroder,,66-62,,
5:50.0,M. Belinelli makes 2-pt shot from 15 ft,2,68-62,,
5:31.0,,,68-65,3,T. Daniels makes 3-pt shot from 23 ft (assist by I. Canaan)
5:15.0,D. Schroder misses 3-pt shot from 25 ft,,68-65,,
5:12.0,,,68-65,,Defensive rebound by T. Warren
4:53.0,,,68-67,2,T. Warren makes 2-pt shot from 13 ft (assist by T. Chandler)
4:52.0,Atlanta full timeout,,68-67,,
4:52.0,,,68-67,,A. Len enters the game for T. Chandler
4:52.0,T. Waller-Prince enters the game for K. Bazemore,,68-67,,
4:36.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by D. Schroder),3,71-67,,
4:15.0,,,71-67,,T. Daniels misses 2-pt shot from 16 ft
4:13.0,Defensive rebound by E. Ilyasova,,71-67,,
3:57.0,E. Ilyasova makes 3-pt shot from 29 ft (assist by T. Waller-Prince),3,74-67,,
3:42.0,,,74-67,,D. Bender misses 3-pt shot from 22 ft
3:40.0,Defensive rebound by T. Waller-Prince,,74-67,,
3:31.0,Shooting foul by A. Len (drawn by D. Schroder),,74-67,,
3:31.0,D. Schroder makes free throw 1 of 2,1,75-67,,
3:31.0,,,75-67,,D. Booker enters the game for T. Warren
3:31.0,J. Collins enters the game for M. Plumlee,,75-67,,
3:31.0,D. Schroder makes free throw 2 of 2,1,76-67,,
3:16.0,,,76-69,2,A. Len makes 2-pt shot at rim (assist by I. Canaan)
3:03.0,Turnover by D. Schroder (lost ball; steal by D. Booker),,76-69,,
2:50.0,,,76-69,,I. Canaan misses 3-pt shot from 28 ft
2:47.0,Defensive rebound by E. Ilyasova,,76-69,,
2:31.0,D. Schroder misses 2-pt shot from 6 ft,,76-69,,
2:28.0,,,76-69,,Defensive rebound by T. Daniels
2:22.0,,,76-71,2,A. Len makes 2-pt shot from 1 ft (assist by I. Canaan)
2:07.0,M. Belinelli misses 2-pt shot from 22 ft,,76-71,,
2:04.0,Offensive rebound by J. Collins,,76-71,,
2:00.0,M. Belinelli misses 3-pt shot from 24 ft,,76-71,,
1:57.0,,,76-71,,Defensive rebound by A. Len
1:57.0,Personal foul by J. Collins (drawn by A. Len),,76-71,,
1:57.0,T. Cavanaugh enters the game for E. Ilyasova,,76-71,,
1:57.0,I. Taylor enters the game for D. Schroder,,76-71,,
1:46.0,,,76-73,2,A. Len makes 2-pt shot from 1 ft (assist by D. Booker)
1:46.0,,,76-73,,Shooting foul by I. Taylor (drawn by A. Len)
1:46.0,,,76-73,,A. Len misses free throw 1 of 1
1:44.0,Defensive rebound by J. Collins,,76-73,,
1:31.0,Turnover by T. Waller-Prince (bad pass),,76-73,,
1:17.0,,,76-73,,D. Bender misses 3-pt shot from 24 ft
1:16.0,Defensive rebound by Team,,76-73,,
0:59.0,M. Belinelli makes 2-pt shot from 17 ft (assist by J. Collins),2,78-73,,
0:48.0,,,78-73,,Turnover by I. Canaan (bad pass; steal by T. Waller-Prince)
0:46.0,,,78-73,,Personal take foul by I. Canaan (drawn by T. Waller-Prince)
0:46.0,T. Waller-Prince makes free throw 1 of 2,1,79-73,,
0:46.0,T. Waller-Prince makes free throw 2 of 2,1,80-73,,
0:36.0,,,80-73,,Turnover by D. Bender (bad pass; steal by T. Cavanaugh)
0:32.0,T. Waller-Prince misses 3-pt shot from 25 ft,,80-73,,
0:29.0,Offensive rebound by T. Cavanaugh,,80-73,,
0:11.0,T. Waller-Prince misses 3-pt shot from 22 ft,,80-73,,
0:08.0,Offensive rebound by T. Cavanaugh,,80-73,,
0:06.0,M. Belinelli misses 3-pt shot from 26 ft,,80-73,,
0:03.0,,,80-73,,Defensive rebound by T. Daniels
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Turnover by T. Cavanaugh (bad pass; steal by D. Booker),,80-73,,
11:43.0,Personal foul by K. Bazemore (drawn by D. Booker),,80-73,,
11:35.0,,,80-73,,Turnover by D. Booker (lost ball; steal by K. Bazemore)
11:31.0,I. Taylor misses 2-pt shot from 1 ft (block by T. Warren),,80-73,,
11:26.0,Offensive rebound by T. Cavanaugh,,80-73,,
11:26.0,T. Cavanaugh misses 2-pt shot at rim,,80-73,,
11:26.0,,,80-73,,Defensive rebound by T. Ulis
11:26.0,,,80-73,,Shooting foul by M. Delaney (drawn by D. Booker)
11:26.0,,,80-74,1,D. Booker makes free throw 1 of 2
11:26.0,,,80-75,1,D. Booker makes free throw 2 of 2
11:05.0,J. Collins misses 2-pt shot from 7 ft,,80-75,,
11:02.0,,,80-75,,Defensive rebound by D. Booker
10:58.0,Personal block foul by J. Collins (drawn by D. Booker),,80-75,,
10:52.0,,,80-77,2,T. Warren makes 2-pt shot from 7 ft
10:35.0,,,80-77,,Personal foul by M. Chriss (drawn by M. Delaney)
10:30.0,Shooting foul by A. Len (drawn by K. Bazemore),,80-77,,
10:30.0,K. Bazemore makes free throw 1 of 2,1,81-77,,
10:30.0,K. Bazemore makes free throw 2 of 2,1,82-77,,
10:17.0,,,82-77,,T. Warren misses 2-pt shot from 13 ft
10:17.0,Defensive rebound by Team,,82-77,,
10:17.0,,,82-77,,Technical foul by T. Warren
10:17.0,M. Delaney makes technical free throw,1,83-77,,
10:02.0,T. Cavanaugh misses 3-pt shot from 23 ft,,83-77,,
10:00.0,,,83-77,,Defensive rebound by T. Ulis
9:58.0,,,83-77,,Shooting foul by M. Delaney (drawn by M. Chriss)
9:58.0,,,83-77,,M. Chriss misses free throw 1 of 2
9:58.0,,,83-77,,Offensive rebound by Team
9:58.0,,,83-78,1,M. Chriss makes free throw 2 of 2
9:35.0,K. Bazemore makes 3-pt shot from 28 ft (assist by M. Delaney),3,86-78,,
9:19.0,,,86-78,,D. Booker misses 2-pt shot from 1 ft
9:15.0,,,86-78,,Offensive rebound by A. Len
9:15.0,,,86-78,,A. Len misses 2-pt shot at rim
9:14.0,Defensive rebound by I. Taylor,,86-78,,
9:11.0,T. Cavanaugh misses 3-pt shot from 22 ft,,86-78,,
9:10.0,,,86-78,,Defensive rebound by Team
8:48.0,,,86-78,,Turnover by T. Ulis (bad pass; steal by J. Collins)
8:46.0,Shooting foul by D. Booker (drawn by J. Collins),,86-78,,
8:46.0,J. Collins makes free throw 1 of 2,1,87-78,,
8:46.0,D. Schroder enters the game for I. Taylor,,87-78,,
8:46.0,E. Ilyasova enters the game for T. Cavanaugh,,87-78,,
8:46.0,J. Collins makes free throw 2 of 2,1,88-78,,
8:37.0,,,88-78,,Offensive foul by A. Len (drawn by M. Delaney)
8:37.0,,,88-78,,Turnover by A. Len (offensive foul)
8:22.0,,,88-78,,Personal foul by T. Ulis (drawn by D. Schroder)
8:09.0,J. Collins misses 2-pt shot from 12 ft,,88-78,,
8:04.0,Offensive rebound by J. Collins,,88-78,,
8:01.0,M. Delaney misses 2-pt shot from 5 ft,,88-78,,
7:58.0,Offensive rebound by J. Collins,,88-78,,
7:58.0,J. Collins misses 2-pt shot at rim,,88-78,,
7:58.0,,,88-78,,Defensive rebound by D. Booker
7:52.0,,,88-80,2,T. Warren makes 2-pt shot from 1 ft (assist by D. Booker)
7:35.0,D. Schroder misses 2-pt shot from 16 ft,,88-80,,
7:35.0,,,88-80,,Defensive rebound by M. Chriss
7:27.0,M. Plumlee enters the game for J. Collins,,88-80,,
7:17.0,,,88-80,,M. Chriss misses 3-pt shot from 25 ft
7:12.0,Defensive rebound by Team,,88-80,,
6:59.0,,,88-80,,Phoenix full timeout
6:59.0,,,88-80,,T. Chandler enters the game for T. Ulis
6:59.0,,,88-80,,I. Canaan enters the game for A. Len
6:59.0,T. Waller-Prince enters the game for M. Delaney,,88-80,,
6:56.0,E. Ilyasova misses 3-pt shot from 22 ft,,88-80,,
6:52.0,,,88-80,,Defensive rebound by I. Canaan
6:51.0,,,88-80,,Shooting foul by M. Plumlee (drawn by D. Booker)
6:51.0,,,88-81,1,D. Booker makes free throw 1 of 2
6:51.0,,,88-82,1,D. Booker makes free throw 2 of 2
6:36.0,M. Plumlee makes 2-pt shot at rim (assist by D. Schroder),2,90-82,,
6:26.0,,,90-82,,Turnover by D. Booker (traveling)
6:22.0,,,90-82,,Personal foul by I. Canaan (drawn by D. Schroder)
6:22.0,D. Schroder makes free throw 1 of 2,1,91-82,,
6:22.0,D. Schroder makes free throw 2 of 2,1,92-82,,
6:10.0,,,92-85,3,M. Chriss makes 3-pt shot from 27 ft (assist by I. Canaan)
5:53.0,T. Waller-Prince misses 3-pt shot from 26 ft,,92-85,,
5:50.0,Offensive rebound by M. Plumlee,,92-85,,
5:49.0,D. Schroder makes 3-pt shot from 27 ft (assist by M. Plumlee),3,95-85,,
5:30.0,,,95-85,,Turnover by D. Booker (lost ball; steal by E. Ilyasova)
5:28.0,Turnover by D. Schroder (turnover),,95-85,,
5:28.0,M. Belinelli enters the game for K. Bazemore,,95-85,,
5:16.0,,,95-85,,Offensive foul by M. Chriss (drawn by D. Schroder)
5:16.0,,,95-85,,Turnover by M. Chriss (offensive foul)
5:02.0,D. Schroder misses 3-pt shot from 24 ft,,95-85,,
4:59.0,Offensive rebound by M. Plumlee,,95-85,,
4:51.0,E. Ilyasova makes 2-pt shot at rim (assist by D. Schroder),2,97-85,,
4:51.0,,,97-85,,Phoenix full timeout
4:51.0,,,97-85,,T. Daniels enters the game for I. Canaan
4:27.0,,,97-85,,Turnover by Team (shot clock)
4:16.0,T. Waller-Prince misses 2-pt shot from 2 ft,,97-85,,
4:12.0,,,97-85,,Defensive rebound by T. Warren
4:07.0,,,97-87,2,T. Warren makes 2-pt shot from 8 ft
3:51.0,E. Ilyasova misses 2-pt shot from 7 ft,,97-87,,
3:48.0,,,97-87,,Defensive rebound by T. Chandler
3:47.0,,,97-89,2,T. Warren makes 2-pt shot from 1 ft (assist by D. Booker)
