time,Detroit,pts.away,score,pts.home,Cleveland
2:27.0,,,25-30,,Cleveland full timeout
2:15.0,A. Tolliver makes 3-pt shot from 24 ft (assist by L. Kennard),3,28-30,,
1:53.0,,,28-30,,J. Crowder enters the game for K. Love
1:53.0,,,28-30,,K. Korver enters the game for J. Smith
1:50.0,,,28-30,,C. Frye misses 2-pt shot from 22 ft
1:47.0,Defensive rebound by D. Buycks,,28-30,,
1:35.0,L. Kennard misses 2-pt shot from 9 ft,,28-30,,
1:32.0,Offensive rebound by A. Drummond,,28-30,,
1:30.0,A. Drummond misses 2-pt shot from 4 ft,,28-30,,
1:27.0,,,28-30,,Defensive rebound by J. Crowder
1:13.0,,,28-30,,K. Korver misses 2-pt shot from 11 ft
1:10.0,Defensive rebound by A. Drummond,,28-30,,
0:59.0,S. Johnson misses 3-pt shot from 25 ft,,28-30,,
0:55.0,,,28-30,,Defensive rebound by C. Frye
0:47.0,,,28-30,,D. Rose misses 2-pt shot from 1 ft
0:44.0,Defensive rebound by A. Drummond,,28-30,,
0:35.0,Turnover by A. Drummond (bad pass; steal by C. Frye),,28-30,,
0:31.0,,,28-32,2,J. Crowder makes 2-pt shot from 1 ft (assist by L. James)
0:15.0,L. Kennard misses 2-pt shot from 14 ft,,28-32,,
0:14.0,,,28-32,,Defensive rebound by Team
0:14.0,Loose ball foul by A. Drummond (drawn by C. Frye),,28-32,,
0:14.0,E. Moreland enters the game for A. Drummond,,28-32,,
0:04.0,,,28-32,,Shooting foul by S. Johnson (drawn by L. James)
0:04.0,,,28-32,,L. James misses free throw 1 of 2
0:04.0,,,28-32,,Offensive rebound by Team
0:04.0,,,28-32,,J. Green enters the game for C. Frye
0:04.0,,,28-33,1,L. James makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,28-35,2,J. Green makes 2-pt shot from 1 ft (assist by I. Thomas)
11:32.0,S. Johnson makes 2-pt shot from 1 ft (assist by D. Buycks),2,30-35,,
11:12.0,,,30-35,,Turnover by C. Frye (lost ball; steal by S. Johnson)
11:09.0,Shooting foul by J. Green (drawn by S. Johnson),,30-35,,
11:09.0,S. Johnson misses free throw 1 of 2,,30-35,,
11:09.0,Offensive rebound by Team,,30-35,,
11:09.0,S. Johnson makes free throw 2 of 2,1,31-35,,
10:59.0,Personal foul by D. Buycks (drawn by I. Thomas),,31-35,,
10:44.0,,,31-35,,C. Frye misses 3-pt shot from 26 ft
10:41.0,Defensive rebound by L. Kennard,,31-35,,
10:38.0,Shooting foul by K. Korver (drawn by S. Johnson),,31-35,,
10:34.0,D. Buycks makes 2-pt shot from 18 ft,2,33-35,,
10:19.0,,,33-35,,I. Thomas misses 2-pt shot from 6 ft (block by E. Moreland)
10:14.0,,,33-35,,Offensive rebound by K. Korver
10:12.0,,,33-35,,I. Thomas misses 3-pt shot from 23 ft
10:12.0,Defensive rebound by S. Johnson,,33-35,,
9:57.0,L. Kennard makes 2-pt shot from 1 ft (assist by S. Johnson),2,35-35,,
9:57.0,,,35-35,,Cleveland full timeout
9:34.0,,,35-35,,J. Green misses 2-pt shot from 1 ft
9:31.0,Defensive rebound by E. Moreland,,35-35,,
9:28.0,D. Buycks misses 2-pt shot from 11 ft,,35-35,,
9:24.0,,,35-35,,Defensive rebound by J. Green
9:24.0,Personal foul by E. Moreland (drawn by J. Green),,35-35,,
9:17.0,,,35-35,,J. Green misses 3-pt shot from 25 ft
9:14.0,Defensive rebound by L. Kennard,,35-35,,
9:06.0,S. Johnson makes 2-pt shot from 18 ft,2,37-35,,
8:51.0,,,37-35,,K. Korver misses 3-pt shot from 22 ft
8:49.0,Defensive rebound by S. Johnson,,37-35,,
8:42.0,A. Tolliver misses 3-pt shot from 25 ft,,37-35,,
8:42.0,,,37-35,,Defensive rebound by Team
8:42.0,Loose ball foul by E. Moreland (drawn by C. Frye),,37-35,,
8:42.0,T. Harris enters the game for A. Tolliver,,37-35,,
8:27.0,,,37-37,2,J. Crowder makes 2-pt shot from 1 ft (assist by K. Korver)
8:09.0,T. Harris makes 3-pt shot from 23 ft (assist by S. Johnson),3,40-37,,
7:57.0,Loose ball foul by T. Harris (drawn by J. Green),,40-37,,
7:57.0,A. Tolliver enters the game for T. Harris,,40-37,,
7:48.0,,,40-37,,K. Korver misses 3-pt shot from 28 ft
7:45.0,,,40-37,,Offensive rebound by J. Crowder
7:45.0,,,40-37,,I. Thomas misses 3-pt shot from 25 ft
7:44.0,,,40-37,,Offensive rebound by C. Frye
7:44.0,,,40-39,2,C. Frye makes 2-pt shot at rim
7:35.0,Detroit full timeout,,40-39,,
7:35.0,,,40-39,,L. James enters the game for C. Frye
7:35.0,R. Bullock enters the game for L. Kennard,,40-39,,
7:17.0,S. Johnson misses 3-pt shot from 29 ft,,40-39,,
7:17.0,,,40-39,,Defensive rebound by Team
6:59.0,,,40-39,,J. Green misses 2-pt shot from 4 ft (block by E. Moreland)
6:57.0,Defensive rebound by R. Bullock,,40-39,,
6:57.0,,,40-39,,Personal foul by J. Crowder (drawn by S. Johnson)
6:57.0,I. Smith enters the game for D. Buycks,,40-39,,
6:57.0,A. Drummond enters the game for E. Moreland,,40-39,,
6:57.0,,,40-39,,K. Love enters the game for J. Green
6:46.0,A. Tolliver makes 3-pt shot from 25 ft (assist by I. Smith),3,43-39,,
6:35.0,,,43-39,,J. Crowder misses 2-pt shot at rim
6:32.0,Defensive rebound by S. Johnson,,43-39,,
6:28.0,I. Smith misses 3-pt shot from 22 ft,,43-39,,
6:26.0,,,43-39,,Defensive rebound by K. Love
6:21.0,,,43-39,,K. Korver misses 3-pt shot from 24 ft
6:20.0,Defensive rebound by S. Johnson,,43-39,,
6:05.0,A. Drummond misses 2-pt shot from 1 ft,,43-39,,
6:04.0,,,43-39,,Defensive rebound by L. James
6:04.0,,,43-39,,Shooting foul by S. Johnson (drawn by J. Crowder)
6:04.0,,,43-39,,J. Crowder misses free throw 1 of 2
6:04.0,,,43-39,,Offensive rebound by Team
6:04.0,,,43-39,,J. Smith enters the game for K. Korver
6:04.0,,,43-40,1,J. Crowder makes free throw 2 of 2
5:51.0,R. Bullock misses 3-pt shot from 25 ft,,43-40,,
5:47.0,Offensive rebound by A. Drummond,,43-40,,
5:46.0,,,43-40,,Personal foul by I. Thomas (drawn by R. Bullock)
5:31.0,A. Drummond makes 2-pt shot from 7 ft (assist by A. Tolliver),2,45-40,,
5:18.0,,,45-40,,Shooting foul by R. Bullock (drawn by J. Smith)
5:18.0,,,45-41,1,J. Smith makes free throw 1 of 3
5:18.0,,,45-42,1,J. Smith makes free throw 2 of 3
5:18.0,,,45-42,,T. Thompson enters the game for J. Crowder
5:18.0,,,45-43,1,J. Smith makes free throw 3 of 3
5:02.0,R. Bullock makes 3-pt shot from 22 ft (assist by A. Drummond),3,48-43,,
4:47.0,Personal block foul by A. Drummond (drawn by I. Thomas),,48-43,,
4:47.0,,,48-44,1,I. Thomas makes free throw 1 of 2
4:47.0,,,48-45,1,I. Thomas makes free throw 2 of 2
4:25.0,S. Johnson misses 3-pt shot from 25 ft,,48-45,,
4:22.0,,,48-45,,Defensive rebound by J. Smith
4:17.0,,,48-45,,Turnover by L. James (bad pass)
4:07.0,I. Smith misses 2-pt shot from 11 ft,,48-45,,
4:02.0,,,48-45,,Defensive rebound by K. Love
3:57.0,,,48-48,3,K. Love makes 3-pt shot from 24 ft (assist by L. James)
3:30.0,S. Johnson misses 2-pt shot from 8 ft,,48-48,,
3:27.0,,,48-48,,Defensive rebound by T. Thompson
3:19.0,,,48-50,2,T. Thompson makes 2-pt shot from 8 ft
3:08.0,R. Bullock makes 3-pt shot from 25 ft (assist by I. Smith),3,51-50,,
2:47.0,,,51-50,,I. Thomas misses 2-pt shot from 11 ft
2:44.0,Defensive rebound by A. Drummond,,51-50,,
2:39.0,Offensive foul by I. Smith (drawn by K. Love),,51-50,,
2:39.0,Turnover by I. Smith (offensive foul),,51-50,,
2:39.0,,,51-50,,D. Rose enters the game for I. Thomas
2:22.0,,,51-50,,L. James misses 3-pt shot from 25 ft
2:18.0,Defensive rebound by I. Smith,,51-50,,
2:12.0,A. Drummond makes 2-pt shot at rim (assist by A. Tolliver),2,53-50,,
1:54.0,,,53-50,,K. Love misses 2-pt shot from 5 ft
1:51.0,Defensive rebound by A. Drummond,,53-50,,
1:47.0,S. Johnson misses 2-pt shot from 2 ft,,53-50,,
1:47.0,,,53-50,,Defensive rebound by L. James
1:43.0,,,53-52,2,L. James makes 2-pt shot from 7 ft
1:43.0,,,53-52,,Shooting foul by I. Smith (drawn by L. James)
1:43.0,E. Moreland enters the game for A. Drummond,,53-52,,
1:43.0,D. Buycks enters the game for I. Smith,,53-52,,
1:43.0,,,53-53,1,L. James makes free throw 1 of 1
1:36.0,,,53-53,,Personal foul by J. Smith (drawn by A. Tolliver)
1:36.0,A. Tolliver makes free throw 1 of 2,1,54-53,,
1:36.0,,,54-53,,J. Green enters the game for T. Thompson
1:36.0,A. Tolliver misses free throw 2 of 2,,54-53,,
1:33.0,,,54-53,,Defensive rebound by J. Smith
1:22.0,,,54-53,,Turnover by L. James (bad pass; steal by S. Johnson)
1:12.0,D. Buycks makes 2-pt shot from 1 ft (assist by A. Tolliver),2,56-53,,
1:07.0,,,56-53,,D. Rose misses 2-pt shot at rim (block by D. Buycks)
1:07.0,Defensive rebound by Team,,56-53,,
0:54.0,E. Moreland makes 2-pt shot from 1 ft (assist by R. Bullock),2,58-53,,
0:35.0,,,58-55,2,K. Love makes 2-pt shot from 12 ft
0:20.0,R. Bullock misses 2-pt shot from 1 ft,,58-55,,
0:20.0,Offensive rebound by Team,,58-55,,
0:16.0,R. Bullock makes 3-pt shot from 23 ft (assist by D. Buycks),3,61-55,,
0:02.0,,,61-58,3,L. James makes 3-pt shot from 25 ft
0:00.0,S. Johnson misses 3-pt shot from 51 ft,,61-58,,
0:00.0,Offensive rebound by Team,,61-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,61-60,2,L. James makes 2-pt shot from 13 ft
11:16.0,T. Harris misses 3-pt shot from 26 ft,,61-60,,
11:15.0,,,61-60,,Defensive rebound by K. Love
11:02.0,,,61-63,3,I. Thomas makes 3-pt shot from 26 ft (assist by L. James)
10:43.0,T. Harris misses 2-pt shot from 12 ft,,61-63,,
10:43.0,,,61-63,,Defensive rebound by T. Thompson
10:21.0,,,61-63,,K. Love misses 3-pt shot from 22 ft
10:19.0,Defensive rebound by A. Drummond,,61-63,,
10:05.0,A. Tolliver makes 2-pt shot from 1 ft (assist by A. Drummond),2,63-63,,
9:50.0,,,63-63,,I. Thomas misses 2-pt shot from 19 ft
9:48.0,Defensive rebound by I. Smith,,63-63,,
9:41.0,T. Harris misses 3-pt shot from 26 ft,,63-63,,
9:38.0,Offensive rebound by I. Smith,,63-63,,
9:38.0,Shooting foul by I. Thomas (drawn by A. Drummond),,63-63,,
9:38.0,A. Drummond misses free throw 1 of 2,,63-63,,
9:38.0,Offensive rebound by Team,,63-63,,
9:38.0,A. Drummond makes free throw 2 of 2,1,64-63,,
9:17.0,,,64-66,3,J. Smith makes 3-pt shot from 24 ft (assist by L. James)
9:00.0,T. Harris makes 3-pt shot from 25 ft (assist by A. Tolliver),3,67-66,,
8:33.0,,,67-66,,K. Love misses 2-pt shot from 3 ft
8:31.0,Defensive rebound by A. Tolliver,,67-66,,
8:24.0,R. Bullock makes 3-pt shot from 22 ft (assist by A. Tolliver),3,70-66,,
8:24.0,,,70-66,,Cleveland full timeout
8:08.0,,,70-69,3,K. Love makes 3-pt shot from 23 ft (assist by L. James)
7:49.0,T. Harris misses 2-pt shot from 1 ft,,70-69,,
7:46.0,,,70-69,,Defensive rebound by K. Love
7:31.0,,,70-71,2,I. Thomas makes 2-pt shot from 16 ft
7:22.0,,,70-71,,Personal foul by I. Thomas (drawn by I. Smith)
7:15.0,A. Drummond makes 2-pt shot at rim (assist by I. Smith),2,72-71,,
6:53.0,,,72-74,3,K. Love makes 3-pt shot from 23 ft (assist by L. James)
6:42.0,,,72-74,,Shooting block foul by K. Love (drawn by R. Bullock)
6:42.0,R. Bullock makes free throw 1 of 2,1,73-74,,
6:42.0,R. Bullock makes free throw 2 of 2,1,74-74,,
6:32.0,,,74-74,,Turnover by I. Thomas (bad pass)
6:18.0,T. Harris misses 3-pt shot from 25 ft,,74-74,,
6:17.0,Offensive rebound by A. Drummond,,74-74,,
6:17.0,A. Drummond misses 2-pt shot at rim,,74-74,,
6:15.0,,,74-74,,Defensive rebound by I. Thomas
6:08.0,,,74-76,2,L. James makes 2-pt shot at rim (assist by I. Thomas)
6:08.0,,,74-76,,Shooting foul by A. Drummond (drawn by L. James)
6:08.0,,,74-77,1,L. James makes free throw 1 of 1
5:50.0,T. Harris makes 2-pt shot from 1 ft (assist by R. Bullock),2,76-77,,
5:34.0,,,76-77,,K. Love misses 2-pt shot from 1 ft
5:31.0,Defensive rebound by R. Bullock,,76-77,,
5:27.0,I. Smith misses 2-pt shot from 17 ft,,76-77,,
5:27.0,,,76-77,,Defensive rebound by K. Love
5:20.0,,,76-77,,I. Thomas misses 3-pt shot from 25 ft
5:16.0,Defensive rebound by T. Harris,,76-77,,
5:06.0,A. Tolliver misses 3-pt shot from 25 ft,,76-77,,
5:02.0,,,76-77,,Defensive rebound by T. Thompson
4:57.0,,,76-77,,Cleveland full timeout
4:57.0,,,76-77,,J. Green enters the game for K. Love
4:57.0,,,76-77,,J. Crowder enters the game for L. James
4:57.0,S. Johnson enters the game for A. Tolliver,,76-77,,
4:45.0,,,76-77,,Turnover by J. Smith (bad pass; steal by A. Drummond)
4:40.0,T. Harris makes 3-pt shot from 24 ft (assist by S. Johnson),3,79-77,,
4:19.0,,,79-80,3,J. Crowder makes 3-pt shot from 25 ft (assist by I. Thomas)
4:00.0,A. Drummond makes 2-pt shot from 1 ft (assist by R. Bullock),2,81-80,,
3:39.0,,,81-80,,T. Thompson misses 2-pt shot from 2 ft
3:37.0,Defensive rebound by T. Harris,,81-80,,
3:31.0,I. Smith makes 2-pt shot from 11 ft,2,83-80,,
3:09.0,,,83-80,,J. Smith misses 3-pt shot from 25 ft
3:07.0,Defensive rebound by R. Bullock,,83-80,,
3:02.0,A. Drummond makes 2-pt shot from 1 ft (assist by I. Smith),2,85-80,,
2:41.0,,,85-80,,Shooting foul by I. Smith (drawn by I. Thomas)
2:41.0,,,85-81,1,I. Thomas makes free throw 1 of 2
2:41.0,,,85-81,,K. Korver enters the game for J. Smith
2:41.0,,,85-81,,C. Frye enters the game for T. Thompson
2:41.0,L. Kennard enters the game for I. Smith,,85-81,,
2:41.0,D. Buycks enters the game for R. Bullock,,85-81,,
2:41.0,,,85-81,,I. Thomas misses free throw 2 of 2
2:39.0,Defensive rebound by T. Harris,,85-81,,
2:26.0,L. Kennard misses 2-pt shot from 1 ft,,85-81,,
2:23.0,,,85-81,,Defensive rebound by J. Green
2:19.0,,,85-83,2,I. Thomas makes 2-pt shot at rim (assist by J. Green)
2:04.0,S. Johnson misses 3-pt shot from 23 ft,,85-83,,
2:04.0,,,85-83,,Defensive rebound by C. Frye
1:53.0,,,85-86,3,K. Korver makes 3-pt shot from 23 ft (assist by C. Frye)
1:37.0,T. Harris misses 3-pt shot from 23 ft,,85-86,,
1:35.0,,,85-86,,Defensive rebound by I. Thomas
1:17.0,,,85-88,2,I. Thomas makes 2-pt shot from 2 ft
1:02.0,T. Harris misses 2-pt shot from 12 ft,,85-88,,
0:59.0,,,85-88,,Defensive rebound by C. Frye
0:54.0,,,85-88,,K. Korver misses 3-pt shot from 23 ft
0:52.0,Defensive rebound by D. Buycks,,85-88,,
0:46.0,D. Buycks misses 3-pt shot from 26 ft,,85-88,,
0:42.0,,,85-88,,Defensive rebound by C. Frye
0:39.0,,,85-90,2,J. Green makes 2-pt shot from 1 ft (assist by I. Thomas)
0:29.0,,,85-90,,Personal foul by K. Korver (drawn by L. Kennard)
0:21.0,A. Drummond makes 2-pt shot from 1 ft (assist by L. Kennard),2,87-90,,
0:06.0,Personal foul by D. Buycks (drawn by C. Frye),,87-90,,
0:01.0,,,87-90,,I. Thomas misses 2-pt shot from 7 ft (block by A. Drummond)
0:01.0,,,87-90,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,L. Kennard misses 3-pt shot from 26 ft,,87-90,,
11:46.0,,,87-90,,Defensive rebound by Team
11:34.0,,,87-90,,Turnover by J. Green (bad pass)
11:18.0,S. Johnson makes 2-pt shot from 1 ft (assist by E. Moreland),2,89-90,,
11:13.0,,,89-90,,Shooting foul by A. Tolliver (drawn by J. Crowder)
11:13.0,,,89-91,1,J. Crowder makes free throw 1 of 2
11:13.0,,,89-92,1,J. Crowder makes free throw 2 of 2
10:49.0,S. Johnson misses 2-pt shot from 19 ft,,89-92,,
10:49.0,,,89-92,,Defensive rebound by Team
10:38.0,,,89-92,,Turnover by J. Green (bad pass)
10:28.0,L. Kennard misses 2-pt shot from 7 ft (block by K. Korver),,89-92,,
10:27.0,,,89-92,,Defensive rebound by K. Korver
10:14.0,,,89-92,,Shooting foul by A. Tolliver (drawn by J. Green)
10:14.0,,,89-92,,J. Green misses free throw 1 of 2
10:14.0,,,89-92,,Offensive rebound by Team
10:14.0,,,89-93,1,J. Green makes free throw 2 of 2
9:51.0,D. Buycks misses 2-pt shot from 2 ft,,89-93,,
9:49.0,,,89-93,,Defensive rebound by K. Korver
9:37.0,,,89-93,,C. Frye misses 2-pt shot from 2 ft (block by E. Moreland)
9:33.0,Defensive rebound by D. Buycks,,89-93,,
9:31.0,L. Kennard misses 3-pt shot from 25 ft,,89-93,,
9:27.0,Offensive rebound by E. Moreland,,89-93,,
9:15.0,D. Buycks misses 3-pt shot from 25 ft,,89-93,,
9:13.0,,,89-93,,Defensive rebound by J. Crowder
9:12.0,Personal foul by A. Tolliver (drawn by J. Green),,89-93,,
9:05.0,,,89-93,,J. Crowder misses 3-pt shot from 26 ft
9:03.0,Defensive rebound by E. Moreland,,89-93,,
8:47.0,D. Buycks makes 2-pt shot at rim (assist by E. Moreland),2,91-93,,
8:21.0,,,91-93,,L. James misses 3-pt shot from 25 ft
8:18.0,Defensive rebound by A. Tolliver,,91-93,,
8:14.0,S. Johnson makes 2-pt shot from 1 ft,2,93-93,,
7:46.0,,,93-95,2,L. James makes 2-pt shot at rim
7:33.0,D. Buycks makes 2-pt shot from 1 ft (assist by E. Moreland),2,95-95,,
7:15.0,,,95-98,3,K. Korver makes 3-pt shot from 25 ft (assist by L. James)
6:55.0,S. Johnson misses 2-pt shot from 3 ft (block by J. Crowder),,95-98,,
6:54.0,,,95-98,,Defensive rebound by L. James
6:54.0,Personal foul by D. Buycks (drawn by L. James),,95-98,,
6:54.0,,,95-98,,Cleveland full timeout
6:54.0,A. Drummond enters the game for A. Tolliver,,95-98,,
6:54.0,T. Harris enters the game for E. Moreland,,95-98,,
6:35.0,,,95-98,,L. James misses 3-pt shot from 24 ft
6:32.0,Defensive rebound by L. Kennard,,95-98,,
6:20.0,S. Johnson makes 2-pt shot from 15 ft (assist by T. Harris),2,97-98,,
6:01.0,,,97-100,2,J. Crowder makes 2-pt shot from 2 ft (assist by L. James)
5:36.0,T. Harris misses 2-pt shot from 21 ft,,97-100,,
5:33.0,,,97-100,,Defensive rebound by L. James
5:26.0,,,97-102,2,C. Frye makes 2-pt shot from 1 ft (assist by L. James)
5:26.0,Detroit full timeout,,97-102,,
5:26.0,I. Smith enters the game for L. Kennard,,97-102,,
5:26.0,R. Bullock enters the game for S. Johnson,,97-102,,
5:26.0,A. Tolliver enters the game for D. Buycks,,97-102,,
5:14.0,T. Harris misses 2-pt shot from 8 ft,,97-102,,
5:11.0,,,97-102,,Defensive rebound by C. Frye
5:08.0,,,97-102,,Shooting foul by T. Harris (drawn by L. James)
5:08.0,Technical foul by T. Harris,,97-102,,
5:08.0,,,97-103,1,K. Korver makes technical free throw
5:08.0,,,97-104,1,L. James makes free throw 1 of 2
5:08.0,,,97-105,1,L. James makes free throw 2 of 2
4:58.0,A. Drummond misses 2-pt shot from 2 ft,,97-105,,
4:56.0,,,97-105,,Defensive rebound by L. James
4:48.0,,,97-105,,J. Green misses 3-pt shot from 23 ft
4:45.0,Defensive rebound by R. Bullock,,97-105,,
4:27.0,T. Harris makes 3-pt shot from 25 ft (assist by A. Drummond),3,100-105,,
4:10.0,,,100-105,,C. Frye misses 3-pt shot from 24 ft
4:07.0,Defensive rebound by R. Bullock,,100-105,,
4:01.0,Turnover by I. Smith (lost ball; steal by L. James),,100-105,,
3:46.0,,,100-107,2,L. James makes 2-pt shot at rim
3:46.0,,,100-107,,Shooting foul by A. Drummond (drawn by L. James)
3:46.0,,,100-107,,K. Love enters the game for C. Frye
3:46.0,,,100-107,,J. Smith enters the game for J. Green
3:46.0,,,100-108,1,L. James makes free throw 1 of 1
3:32.0,I. Smith makes 2-pt shot from 1 ft,2,102-108,,
3:13.0,,,102-108,,Turnover by J. Smith (bad pass; steal by I. Smith)
3:05.0,I. Smith misses 2-pt shot from 1 ft,,102-108,,
3:03.0,,,102-108,,Defensive rebound by K. Love
2:59.0,,,102-111,3,J. Smith makes 3-pt shot from 24 ft (assist by L. James)
2:36.0,A. Drummond misses 2-pt shot from 9 ft,,102-111,,
2:34.0,,,102-111,,Defensive rebound by K. Love
2:29.0,,,102-111,,J. Smith misses 3-pt shot from 25 ft
2:29.0,Defensive rebound by T. Harris,,102-111,,
2:27.0,,,102-111,,Personal foul by J. Crowder (drawn by T. Harris)
2:17.0,A. Tolliver misses 2-pt shot from 13 ft,,102-111,,
2:14.0,,,102-111,,Defensive rebound by L. James
1:57.0,,,102-113,2,K. Korver makes 2-pt shot at rim
1:57.0,Detroit full timeout,,102-113,,
1:50.0,Shooting foul by K. Love (drawn by A. Tolliver),,102-113,,
1:50.0,A. Tolliver makes free throw 1 of 2,1,103-113,,
1:50.0,A. Tolliver makes free throw 2 of 2,1,104-113,,
1:36.0,,,104-116,3,J. Smith makes 3-pt shot from 24 ft (assist by L. James)
1:25.0,A. Drummond misses 2-pt shot from 1 ft,,104-116,,
