time,Miami,pts.away,score,pts.home,Boston
10:04.0,T. Johnson misses 2-pt shot from 20 ft,,15-27,,
10:04.0,Offensive rebound by J. Mickey,,15-27,,
10:02.0,J. Mickey makes 2-pt shot from 1 ft,2,17-27,,
9:48.0,,,17-27,,T. Rozier misses 2-pt shot from 20 ft
9:48.0,Defensive rebound by J. Mickey,,17-27,,
9:38.0,K. Olynyk makes 3-pt shot from 26 ft (assist by T. Johnson),3,20-27,,
9:14.0,,,20-27,,S. Larkin misses 2-pt shot from 17 ft
9:10.0,Defensive rebound by T. Johnson,,20-27,,
9:03.0,W. Ellington misses 3-pt shot from 23 ft,,20-27,,
9:01.0,,,20-27,,Defensive rebound by S. Larkin
8:51.0,Personal foul by J. Mickey (drawn by D. Theis),,20-27,,
8:51.0,U. Haslem enters the game for K. Olynyk,,20-27,,
8:43.0,,,20-27,,A. Horford misses 2-pt shot from 5 ft
8:41.0,Defensive rebound by T. Johnson,,20-27,,
8:29.0,Turnover by J. Mickey (out of bounds lost ball),,20-27,,
8:14.0,,,20-27,,J. Tatum misses 2-pt shot from 3 ft
8:13.0,Defensive rebound by W. Ellington,,20-27,,
8:02.0,U. Haslem misses 2-pt shot from 14 ft,,20-27,,
7:58.0,,,20-27,,Defensive rebound by T. Rozier
7:43.0,,,20-27,,A. Horford misses 3-pt shot from 23 ft
7:42.0,Defensive rebound by Team,,20-27,,
7:25.0,Shooting foul by D. Theis (drawn by T. Johnson),,20-27,,
7:25.0,T. Johnson misses free throw 1 of 2,,20-27,,
7:25.0,Offensive rebound by Team,,20-27,,
7:25.0,,,20-27,,M. Smart enters the game for S. Larkin
7:25.0,,,20-27,,G. Yabusele enters the game for A. Horford
7:25.0,T. Johnson misses free throw 2 of 2,,20-27,,
7:22.0,,,20-27,,Defensive rebound by G. Yabusele
7:08.0,,,20-30,3,G. Yabusele makes 3-pt shot from 25 ft (assist by T. Rozier)
6:50.0,T. Johnson misses 2-pt shot from 20 ft,,20-30,,
6:47.0,,,20-30,,Defensive rebound by J. Tatum
6:44.0,,,20-32,2,J. Tatum makes 2-pt shot from 1 ft
6:44.0,Miami full timeout,,20-32,,
6:44.0,D. Waiters enters the game for T. Johnson,,20-32,,
6:44.0,J. Richardson enters the game for D. Walton,,20-32,,
6:21.0,J. Mickey makes 2-pt shot from 1 ft (assist by J. Richardson),2,22-32,,
6:05.0,,,22-32,,Turnover by J. Tatum (lost ball; steal by J. Richardson)
6:03.0,J. Richardson makes 2-pt shot from 2 ft,2,24-32,,
6:03.0,Shooting foul by J. Tatum (drawn by J. Richardson),,24-32,,
6:03.0,,,24-32,,K. Irving enters the game for T. Rozier
6:03.0,J. Richardson makes free throw 1 of 1,1,25-32,,
5:49.0,,,25-32,,J. Tatum misses 2-pt shot from 1 ft
5:48.0,,,25-32,,Offensive rebound by G. Yabusele
5:47.0,,,25-32,,G. Yabusele misses 2-pt shot at rim (block by U. Haslem)
5:47.0,Defensive rebound by W. Ellington,,25-32,,
5:27.0,,,25-32,,Personal foul by K. Irving (drawn by J. Richardson)
5:18.0,J. Richardson makes 2-pt shot from 18 ft (assist by J. Mickey),2,27-32,,
5:05.0,,,27-35,3,K. Irving makes 3-pt shot from 26 ft (assist by D. Theis)
4:50.0,,,27-35,,Personal foul by D. Theis (drawn by J. Mickey)
4:50.0,J. Mickey misses free throw 1 of 2,,27-35,,
4:50.0,Offensive rebound by Team,,27-35,,
4:50.0,,,27-35,,J. Brown enters the game for J. Tatum
4:50.0,,,27-35,,A. Baynes enters the game for D. Theis
4:50.0,J. Mickey misses free throw 2 of 2,,27-35,,
4:48.0,,,27-35,,Defensive rebound by G. Yabusele
4:38.0,,,27-35,,A. Baynes misses 2-pt shot from 21 ft
4:36.0,,,27-35,,Offensive rebound by Team
4:33.0,,,27-35,,K. Irving misses 2-pt shot from 9 ft
4:30.0,Defensive rebound by J. Mickey,,27-35,,
4:23.0,D. Waiters makes 2-pt shot from 1 ft,2,29-35,,
4:10.0,,,29-35,,Turnover by J. Brown (traveling)
4:10.0,K. Olynyk enters the game for J. Mickey,,29-35,,
3:58.0,W. Ellington misses 3-pt shot from 26 ft,,29-35,,
3:54.0,,,29-35,,Defensive rebound by A. Baynes
3:47.0,,,29-35,,K. Irving misses 2-pt shot from 14 ft
3:44.0,Defensive rebound by W. Ellington,,29-35,,
3:38.0,W. Ellington misses 2-pt shot from 3 ft (block by J. Brown),,29-35,,
3:38.0,,,29-35,,Defensive rebound by A. Baynes
3:31.0,,,29-38,3,G. Yabusele makes 3-pt shot from 25 ft (assist by K. Irving)
3:12.0,,,29-38,,Personal foul by G. Yabusele (drawn by J. Richardson)
3:12.0,J. Richardson makes free throw 1 of 2,1,30-38,,
3:12.0,T. Johnson enters the game for W. Ellington,,30-38,,
3:12.0,J. Richardson misses free throw 2 of 2,,30-38,,
3:10.0,,,30-38,,Defensive rebound by A. Baynes
2:54.0,,,30-38,,Shooting foul by U. Haslem (drawn by A. Baynes)
2:54.0,,,30-38,,Boston full timeout
2:54.0,,,30-38,,A. Horford enters the game for G. Yabusele
2:54.0,,,30-39,1,A. Baynes makes free throw 1 of 2
2:54.0,,,30-40,1,A. Baynes makes free throw 2 of 2
2:31.0,D. Waiters misses 2-pt shot from 20 ft,,30-40,,
2:28.0,,,30-40,,Defensive rebound by A. Horford
2:21.0,,,30-40,,A. Horford misses 2-pt shot from 1 ft
2:19.0,Defensive rebound by K. Olynyk,,30-40,,
2:16.0,,,30-40,,Personal foul by J. Brown (drawn by D. Waiters)
2:16.0,D. Waiters makes free throw 1 of 2,1,31-40,,
2:16.0,J. Mickey enters the game for K. Olynyk,,31-40,,
2:16.0,D. Waiters makes free throw 2 of 2,1,32-40,,
1:56.0,,,32-40,,A. Baynes misses 2-pt shot from 1 ft
1:53.0,Defensive rebound by J. Mickey,,32-40,,
1:47.0,D. Waiters misses 2-pt shot from 2 ft,,32-40,,
1:44.0,Offensive rebound by U. Haslem,,32-40,,
1:33.0,J. Richardson misses 3-pt shot from 27 ft,,32-40,,
1:28.0,,,32-40,,Defensive rebound by K. Irving
1:19.0,,,32-40,,K. Irving misses 2-pt shot at rim
1:17.0,Defensive rebound by J. Mickey,,32-40,,
0:59.0,,,32-40,,Personal foul by A. Baynes (drawn by J. Richardson)
0:59.0,J. Richardson makes free throw 1 of 2,1,33-40,,
0:59.0,,,33-40,,J. Tatum enters the game for A. Baynes
0:59.0,W. Ellington enters the game for U. Haslem,,33-40,,
0:59.0,J. Richardson makes free throw 2 of 2,1,34-40,,
0:40.0,,,34-42,2,K. Irving makes 2-pt shot from 6 ft (assist by J. Tatum)
0:21.0,J. Mickey makes 2-pt shot from 2 ft (assist by D. Waiters),2,36-42,,
0:01.0,,,36-44,2,K. Irving makes 2-pt shot at rim (assist by A. Horford)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,K. Olynyk makes 3-pt shot from 24 ft (assist by T. Johnson),3,39-44,,
11:22.0,Jump ball: A. Horford vs. T. Johnson (K. Olynyk gains possession),,,,Jump ball: A. Horford vs. T. Johnson (K. Olynyk gains possession)
11:22.0,,,39-44,,Turnover by K. Irving (bad pass; steal by K. Olynyk)
11:08.0,T. Johnson misses 3-pt shot from 25 ft,,39-44,,
11:05.0,,,39-44,,Defensive rebound by J. Tatum
10:57.0,,,39-44,,A. Horford misses 3-pt shot from 27 ft
10:54.0,Defensive rebound by J. Richardson,,39-44,,
10:44.0,Turnover by K. Olynyk (traveling),,39-44,,
10:30.0,,,39-46,2,K. Irving makes 2-pt shot from 2 ft (assist by A. Horford)
10:30.0,,,39-46,,Shooting foul by T. Johnson (drawn by K. Irving)
10:30.0,,,39-47,1,K. Irving makes free throw 1 of 1
10:06.0,J. Richardson misses 3-pt shot from 23 ft (block by J. Tatum),,39-47,,
10:06.0,Offensive rebound by Team,,39-47,,
10:06.0,Turnover by Team (shot clock),,39-47,,
9:57.0,,,39-47,,K. Irving misses 3-pt shot from 28 ft
9:52.0,Defensive rebound by B. Adebayo,,39-47,,
9:41.0,Shooting foul by A. Horford (drawn by D. Waiters),,39-47,,
9:41.0,D. Waiters makes free throw 1 of 2,1,40-47,,
9:41.0,,,40-47,,M. Smart enters the game for A. Baynes
9:41.0,D. Waiters makes free throw 2 of 2,1,41-47,,
9:24.0,,,41-47,,M. Smart misses 3-pt shot from 29 ft
9:22.0,Defensive rebound by Team,,41-47,,
9:06.0,K. Olynyk makes 2-pt shot from 1 ft (assist by J. Richardson),2,43-47,,
9:06.0,,,43-47,,Boston full timeout
8:45.0,,,43-47,,J. Brown misses 3-pt shot from 28 ft
8:39.0,Defensive rebound by B. Adebayo,,43-47,,
8:29.0,J. Richardson misses 2-pt shot from 1 ft (block by J. Brown),,43-47,,
8:27.0,,,43-47,,Defensive rebound by A. Horford
8:10.0,,,43-47,,A. Horford misses 2-pt shot from 21 ft
8:07.0,Defensive rebound by T. Johnson,,43-47,,
8:00.0,D. Waiters misses 2-pt shot from 1 ft,,43-47,,
7:57.0,,,43-47,,Defensive rebound by J. Tatum
7:53.0,,,43-49,2,J. Tatum makes 2-pt shot from 2 ft
7:32.0,,,43-49,,Violation by A. Horford (kicked ball)
7:25.0,T. Johnson misses 2-pt shot from 21 ft,,43-49,,
7:24.0,Offensive rebound by Team,,43-49,,
7:24.0,,,43-49,,Loose ball foul by J. Tatum (drawn by B. Adebayo)
7:14.0,J. Richardson makes 3-pt shot from 28 ft (assist by D. Waiters),3,46-49,,
6:56.0,,,46-49,,J. Tatum misses 3-pt shot from 25 ft
6:54.0,Defensive rebound by T. Johnson,,46-49,,
6:40.0,Turnover by B. Adebayo (out of bounds lost ball),,46-49,,
6:24.0,,,46-49,,Turnover by M. Smart (lost ball; steal by D. Waiters)
6:15.0,J. Richardson makes 3-pt shot from 27 ft (assist by D. Waiters),3,49-49,,
6:00.0,,,49-49,,J. Brown misses 3-pt shot from 22 ft
5:58.0,Defensive rebound by K. Olynyk,,49-49,,
5:47.0,D. Waiters makes 2-pt shot from 1 ft (assist by T. Johnson),2,51-49,,
5:32.0,,,51-49,,K. Irving misses 2-pt shot from 13 ft
5:29.0,Defensive rebound by K. Olynyk,,51-49,,
5:16.0,K. Olynyk makes 2-pt shot from 2 ft (assist by T. Johnson),2,53-49,,
4:52.0,,,53-49,,Shooting foul by K. Olynyk (drawn by K. Irving)
4:52.0,,,53-50,1,K. Irving makes free throw 1 of 2
4:52.0,,,53-50,,T. Rozier enters the game for J. Tatum
4:52.0,,,53-50,,D. Theis enters the game for J. Brown
4:52.0,,,53-50,,G. Yabusele enters the game for A. Horford
4:52.0,,,53-51,1,K. Irving makes free throw 2 of 2
4:35.0,K. Olynyk makes 3-pt shot from 25 ft,3,56-51,,
4:12.0,,,56-51,,T. Rozier misses 3-pt shot from 23 ft
4:11.0,Defensive rebound by T. Johnson,,56-51,,
3:49.0,B. Adebayo makes 2-pt shot from 6 ft,2,58-51,,
3:49.0,,,58-51,,Boston full timeout
3:49.0,W. Ellington enters the game for J. Richardson,,58-51,,
3:32.0,,,58-51,,Shooting foul by B. Adebayo (drawn by K. Irving)
3:32.0,,,58-52,1,K. Irving makes free throw 1 of 2
3:32.0,,,58-53,1,K. Irving makes free throw 2 of 2
3:20.0,Shooting foul by G. Yabusele (drawn by K. Olynyk),,58-53,,
3:20.0,K. Olynyk makes free throw 1 of 2,1,59-53,,
3:20.0,K. Olynyk misses free throw 2 of 2,,59-53,,
3:17.0,,,59-53,,Defensive rebound by M. Smart
3:07.0,,,59-53,,K. Irving misses 3-pt shot from 23 ft
3:03.0,Defensive rebound by D. Waiters,,59-53,,
2:51.0,T. Johnson makes 2-pt shot at rim,2,61-53,,
2:51.0,Shooting foul by D. Theis (drawn by T. Johnson),,61-53,,
2:51.0,J. Mickey enters the game for B. Adebayo,,61-53,,
2:51.0,T. Johnson makes free throw 1 of 1,1,62-53,,
2:36.0,,,62-56,3,M. Smart makes 3-pt shot from 27 ft (assist by T. Rozier)
2:12.0,W. Ellington misses 3-pt shot from 25 ft,,62-56,,
2:09.0,Offensive rebound by T. Johnson,,62-56,,
1:56.0,Turnover by K. Olynyk (bad pass; steal by T. Rozier),,62-56,,
1:46.0,,,62-56,,T. Rozier misses 2-pt shot from 3 ft
1:44.0,Defensive rebound by K. Olynyk,,62-56,,
1:39.0,Miami full timeout,,62-56,,
1:39.0,,,62-56,,S. Larkin enters the game for K. Irving
1:39.0,,,62-56,,S. Ojeleye enters the game for G. Yabusele
1:28.0,Offensive foul by J. Mickey (drawn by T. Rozier),,62-56,,
1:28.0,Turnover by J. Mickey (offensive foul),,62-56,,
1:10.0,,,62-59,3,M. Smart makes 3-pt shot from 29 ft (assist by T. Rozier)
0:47.0,Turnover by W. Ellington (step out of bounds),,62-59,,
0:33.0,,,62-59,,T. Rozier misses 2-pt shot from 17 ft
0:30.0,Defensive rebound by T. Johnson,,62-59,,
0:13.0,J. Richardson enters the game for D. Waiters,,62-59,,
0:08.0,K. Olynyk misses 2-pt shot from 9 ft,,62-59,,
0:07.0,Offensive rebound by J. Mickey,,62-59,,
0:06.0,J. Mickey misses 2-pt shot from 2 ft,,62-59,,
0:05.0,,,62-59,,Defensive rebound by M. Smart
0:02.0,,,62-59,,M. Smart misses 3-pt shot from 28 ft
0:01.0,Defensive rebound by J. Mickey,,62-59,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,Personal foul by J. Mickey (drawn by A. Horford),,62-59,,
11:34.0,,,62-59,,Shooting foul by T. Johnson (drawn by A. Horford)
11:34.0,,,62-60,1,A. Horford makes free throw 1 of 2
11:34.0,,,62-60,,A. Horford misses free throw 2 of 2
11:32.0,Defensive rebound by K. Olynyk,,62-60,,
11:18.0,W. Ellington misses 2-pt shot from 2 ft,,62-60,,
11:16.0,Offensive rebound by J. Richardson,,62-60,,
11:09.0,K. Olynyk misses 3-pt shot from 25 ft,,62-60,,
11:05.0,,,62-60,,Defensive rebound by A. Horford
10:55.0,,,62-60,,Turnover by M. Smart (bad pass)
10:44.0,Shooting foul by S. Ojeleye (drawn by W. Ellington),,62-60,,
10:44.0,W. Ellington makes free throw 1 of 2,1,63-60,,
10:44.0,W. Ellington misses free throw 2 of 2,,63-60,,
10:42.0,,,63-60,,Defensive rebound by A. Horford
10:27.0,,,63-60,,T. Rozier misses 2-pt shot from 18 ft
10:23.0,Defensive rebound by T. Johnson,,63-60,,
10:16.0,J. Richardson makes 2-pt shot from 20 ft (assist by T. Johnson),2,65-60,,
10:02.0,,,65-60,,M. Smart misses 2-pt shot from 3 ft (block by K. Olynyk)
9:59.0,Defensive rebound by J. Richardson,,65-60,,
9:55.0,K. Olynyk makes 3-pt shot from 22 ft (assist by W. Ellington),3,68-60,,
9:54.0,,,68-60,,Boston full timeout
9:54.0,,,68-60,,J. Tatum enters the game for S. Larkin
9:54.0,,,68-60,,J. Brown enters the game for T. Rozier
9:54.0,,,68-60,,K. Irving enters the game for M. Smart
9:54.0,,,68-60,,D. Theis enters the game for S. Ojeleye
9:42.0,,,68-60,,Offensive foul by A. Horford (drawn by K. Olynyk)
9:42.0,,,68-60,,Turnover by A. Horford (offensive foul)
9:32.0,K. Olynyk makes 3-pt shot from 25 ft (assist by J. Richardson),3,71-60,,
9:02.0,,,71-62,2,J. Tatum makes 2-pt shot from 13 ft (assist by J. Brown)
8:42.0,W. Ellington makes 3-pt shot from 25 ft (assist by J. Richardson),3,74-62,,
8:27.0,,,74-62,,Shooting foul by K. Olynyk (drawn by K. Irving)
8:27.0,,,74-63,1,K. Irving makes free throw 1 of 2
8:27.0,,,74-64,1,K. Irving makes free throw 2 of 2
8:18.0,,,74-64,,Personal foul by A. Horford (drawn by K. Olynyk)
8:14.0,,,74-64,,Personal foul by A. Horford (drawn by K. Olynyk)
8:14.0,,,74-64,,M. Smart enters the game for A. Horford
8:02.0,J. Mickey misses 2-pt shot from 7 ft (block by D. Theis),,74-64,,
8:01.0,Offensive rebound by T. Johnson,,74-64,,
8:00.0,T. Johnson misses 2-pt shot from 20 ft,,74-64,,
7:58.0,Offensive rebound by Team,,74-64,,
7:58.0,Turnover by Team (shot clock),,74-64,,
7:54.0,,,74-64,,K. Irving misses 3-pt shot from 28 ft
7:50.0,Defensive rebound by J. Mickey,,74-64,,
7:38.0,J. Richardson misses 3-pt shot from 25 ft,,74-64,,
7:35.0,,,74-64,,Defensive rebound by D. Theis
7:29.0,,,74-64,,Shooting foul by T. Johnson (drawn by J. Tatum)
7:29.0,,,74-65,1,J. Tatum makes free throw 1 of 2
7:29.0,D. Waiters enters the game for T. Johnson,,74-65,,
7:29.0,,,74-66,1,J. Tatum makes free throw 2 of 2
7:10.0,J. Mickey makes 2-pt shot from 1 ft (assist by J. Richardson),2,76-66,,
6:52.0,,,76-69,3,M. Smart makes 3-pt shot from 28 ft (assist by J. Tatum)
6:31.0,J. Mickey misses 2-pt shot from 15 ft,,76-69,,
6:27.0,,,76-69,,Defensive rebound by D. Theis
6:20.0,,,76-69,,K. Irving misses 3-pt shot from 26 ft
6:19.0,,,76-69,,Offensive rebound by M. Smart
6:19.0,,,76-69,,M. Smart misses 2-pt shot at rim
6:18.0,Defensive rebound by D. Waiters,,76-69,,
6:09.0,Miami full timeout,,76-69,,
5:57.0,W. Ellington makes 3-pt shot from 25 ft (assist by J. Mickey),3,79-69,,
5:40.0,,,79-72,3,K. Irving makes 3-pt shot from 26 ft (assist by M. Smart)
5:16.0,D. Waiters misses 2-pt shot from 5 ft,,79-72,,
5:14.0,,,79-72,,Defensive rebound by J. Brown
5:00.0,,,79-75,3,M. Smart makes 3-pt shot from 26 ft (assist by D. Theis)
4:39.0,J. Richardson makes 2-pt shot from 1 ft,2,81-75,,
4:39.0,Shooting foul by D. Theis (drawn by J. Richardson),,81-75,,
4:39.0,,,81-75,,S. Ojeleye enters the game for J. Brown
4:39.0,T. Johnson enters the game for J. Mickey,,81-75,,
4:39.0,J. Richardson makes free throw 1 of 1,1,82-75,,
4:29.0,,,82-75,,K. Irving misses 2-pt shot from 4 ft (block by T. Johnson)
4:27.0,Defensive rebound by T. Johnson,,82-75,,
4:13.0,K. Olynyk makes 3-pt shot from 25 ft (assist by D. Waiters),3,85-75,,
3:56.0,,,85-75,,J. Tatum misses 2-pt shot from 14 ft
3:55.0,Defensive rebound by Team,,85-75,,
3:37.0,Turnover by K. Olynyk (lost ball; steal by M. Smart),,85-75,,
3:35.0,,,85-75,,Shooting foul by J. Richardson (drawn by J. Tatum)
3:35.0,,,85-75,,J. Tatum misses free throw 1 of 2
3:35.0,,,85-75,,Offensive rebound by Team
3:35.0,,,85-75,,T. Rozier enters the game for S. Ojeleye
3:35.0,,,85-75,,J. Brown enters the game for D. Theis
3:35.0,J. Mickey enters the game for W. Ellington,,85-75,,
3:35.0,,,85-76,1,J. Tatum makes free throw 2 of 2
3:35.0,Miami full timeout,,85-76,,
3:35.0,W. Ellington enters the game for J. Mickey,,85-76,,
3:21.0,W. Ellington misses 3-pt shot from 26 ft,,85-76,,
3:18.0,,,85-76,,Defensive rebound by J. Tatum
3:09.0,,,85-76,,M. Smart misses 3-pt shot from 27 ft
3:07.0,Defensive rebound by T. Johnson,,85-76,,
2:45.0,K. Olynyk makes 2-pt shot from 2 ft,2,87-76,,
2:28.0,,,87-78,2,K. Irving makes 2-pt shot from 14 ft
2:10.0,Turnover by K. Olynyk (out of bounds lost ball),,87-78,,
2:04.0,,,87-80,2,K. Irving makes 2-pt shot from 2 ft
2:04.0,,,87-80,,Shooting foul by K. Olynyk (drawn by K. Irving)
2:04.0,,,87-81,1,K. Irving makes free throw 1 of 1
1:47.0,D. Waiters misses 2-pt shot from 4 ft,,87-81,,
1:44.0,,,87-81,,Defensive rebound by M. Smart
