time,LA Lakers,pts.away,score,pts.home,Indiana
3:01.0,B. Lopez makes 2-pt shot from 6 ft (assist by I. Thomas),2,30-23,,
2:44.0,,,30-23,,A. Jefferson misses 2-pt shot at rim
2:42.0,Defensive rebound by L. Ball,,30-23,,
2:39.0,K. Kuzma misses 3-pt shot from 26 ft,,30-23,,
2:35.0,,,30-23,,Defensive rebound by V. Oladipo
2:28.0,Personal foul by K. Kuzma (drawn by V. Oladipo),,30-23,,
2:28.0,T. Wear enters the game for K. Kuzma,,30-23,,
2:19.0,,,30-23,,Turnover by V. Oladipo (bad pass; steal by L. Ball)
2:14.0,,,30-23,,Personal foul by V. Oladipo (drawn by K. Caldwell-Pope)
2:14.0,,,30-23,,L. Stephenson enters the game for B. Bogdanovic
2:10.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by B. Lopez),3,33-23,,
1:53.0,Personal block foul by I. Thomas (drawn by C. Joseph),,33-23,,
1:53.0,,,33-24,1,C. Joseph makes free throw 1 of 2
1:53.0,,,33-25,1,C. Joseph makes free throw 2 of 2
1:42.0,B. Lopez misses 2-pt shot from 16 ft,,33-25,,
1:39.0,,,33-25,,Defensive rebound by T. Booker
1:18.0,,,33-25,,V. Oladipo misses 2-pt shot from 7 ft
1:15.0,Defensive rebound by T. Wear,,33-25,,
1:03.0,I. Thomas makes 2-pt shot from 18 ft,2,35-25,,
0:46.0,,,35-25,,A. Jefferson misses 2-pt shot from 6 ft
0:43.0,Defensive rebound by I. Thomas,,35-25,,
0:39.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,35-25,,
0:37.0,Offensive rebound by B. Lopez,,35-25,,
0:37.0,B. Lopez makes 2-pt shot at rim,2,37-25,,
0:33.0,,,37-25,,Shooting foul by T. Wear (drawn by A. Jefferson)
0:33.0,,,37-26,1,A. Jefferson makes free throw 1 of 2
0:33.0,,,37-27,1,A. Jefferson makes free throw 2 of 2
0:23.0,Turnover by K. Caldwell-Pope (bad pass; steal by C. Joseph),,37-27,,
0:01.0,,,37-29,2,V. Oladipo makes 2-pt shot from 19 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,37-31,2,A. Jefferson makes 2-pt shot from 6 ft
11:29.0,Shooting foul by C. Joseph (drawn by I. Thomas),,37-31,,
11:29.0,I. Thomas misses free throw 1 of 2,,37-31,,
11:29.0,Offensive rebound by Team,,37-31,,
11:29.0,I. Thomas makes free throw 2 of 2,1,38-31,,
11:18.0,,,38-31,,L. Stephenson misses 2-pt shot from 17 ft
11:16.0,Defensive rebound by T. Ennis,,38-31,,
11:12.0,T. Wear misses 3-pt shot from 26 ft,,38-31,,
11:07.0,Offensive rebound by I. Zubac,,38-31,,
11:07.0,I. Zubac makes 2-pt shot at rim,2,40-31,,
11:01.0,,,40-31,,Shooting foul by T. Ennis (drawn by L. Stephenson)
11:01.0,,,40-32,1,L. Stephenson makes free throw 1 of 2
11:01.0,,,40-33,1,L. Stephenson makes free throw 2 of 2
10:48.0,I. Zubac misses 2-pt shot from 1 ft (block by A. Jefferson),,40-33,,
10:47.0,Offensive rebound by Team,,40-33,,
10:40.0,I. Thomas misses 2-pt shot from 4 ft (block by A. Jefferson),,40-33,,
10:37.0,,,40-33,,Defensive rebound by L. Stephenson
10:34.0,,,40-33,,C. Joseph misses 3-pt shot from 25 ft
10:31.0,Defensive rebound by K. Kuzma,,40-33,,
10:26.0,K. Kuzma makes 2-pt shot from 11 ft,2,42-33,,
10:26.0,Shooting foul by B. Bogdanovic (drawn by K. Kuzma),,42-33,,
10:26.0,K. Kuzma makes free throw 1 of 1,1,43-33,,
10:14.0,,,43-33,,C. Joseph misses 2-pt shot from 18 ft
10:12.0,Defensive rebound by T. Wear,,43-33,,
10:04.0,,,43-33,,M. Turner enters the game for A. Jefferson
9:57.0,I. Thomas misses 3-pt shot from 26 ft,,43-33,,
9:53.0,,,43-33,,Defensive rebound by T. Booker
9:44.0,,,43-33,,T. Booker misses 2-pt shot from 7 ft
9:42.0,Defensive rebound by T. Ennis,,43-33,,
9:37.0,T. Wear misses 3-pt shot from 26 ft,,43-33,,
9:34.0,Offensive rebound by I. Zubac,,43-33,,
9:29.0,I. Zubac misses 2-pt shot from 13 ft,,43-33,,
9:27.0,,,43-33,,Defensive rebound by M. Turner
9:12.0,,,43-35,2,M. Turner makes 2-pt shot from 18 ft (assist by L. Stephenson)
8:57.0,,,43-35,,Personal foul by B. Bogdanovic (drawn by K. Kuzma)
8:57.0,,,43-35,,T. Young enters the game for T. Booker
8:54.0,K. Kuzma makes 2-pt shot from 20 ft (assist by I. Zubac),2,45-35,,
8:37.0,,,45-35,,B. Bogdanovic misses 3-pt shot from 23 ft
8:34.0,,,45-35,,Offensive rebound by M. Turner
8:33.0,,,45-37,2,M. Turner makes 2-pt shot at rim
8:09.0,Offensive charge foul by I. Zubac (drawn by T. Young),,45-37,,
8:09.0,Turnover by I. Zubac (offensive foul),,45-37,,
7:58.0,Personal foul by T. Wear (drawn by M. Turner),,45-37,,
7:58.0,,,45-37,,D. Collison enters the game for B. Bogdanovic
7:58.0,L. Ball enters the game for T. Ennis,,45-37,,
7:58.0,J. Randle enters the game for I. Zubac,,45-37,,
7:52.0,,,45-39,2,M. Turner makes 2-pt shot from 16 ft (assist by C. Joseph)
7:39.0,J. Randle misses 2-pt shot from 4 ft (block by M. Turner),,45-39,,
7:36.0,Offensive rebound by J. Randle,,45-39,,
7:35.0,J. Randle misses 2-pt shot at rim,,45-39,,
7:34.0,,,45-39,,Defensive rebound by M. Turner
7:24.0,,,45-41,2,T. Young makes 2-pt shot from 1 ft (assist by C. Joseph)
7:24.0,LA Lakers full timeout,,45-41,,
7:24.0,K. Caldwell-Pope enters the game for K. Kuzma,,45-41,,
7:24.0,B. Lopez enters the game for T. Wear,,45-41,,
7:12.0,J. Randle misses 2-pt shot from 6 ft,,45-41,,
7:09.0,Offensive rebound by J. Randle,,45-41,,
7:09.0,J. Randle misses 2-pt shot from 2 ft (block by T. Young),,45-41,,
7:09.0,Offensive rebound by Team,,45-41,,
7:00.0,B. Lopez misses 2-pt shot from 6 ft,,45-41,,
6:57.0,,,45-41,,Defensive rebound by D. Collison
6:44.0,,,45-41,,M. Turner misses 2-pt shot from 1 ft
6:41.0,Defensive rebound by I. Thomas,,45-41,,
6:36.0,I. Thomas misses 3-pt shot from 25 ft,,45-41,,
6:33.0,Offensive rebound by B. Lopez,,45-41,,
6:25.0,J. Randle makes 2-pt shot from 2 ft (assist by B. Lopez),2,47-41,,
6:05.0,,,47-43,2,L. Stephenson makes 2-pt shot from 18 ft
5:54.0,I. Thomas misses 2-pt shot from 16 ft,,47-43,,
5:52.0,,,47-43,,Defensive rebound by L. Stephenson
5:45.0,,,47-45,2,L. Stephenson makes 2-pt shot at rim
5:27.0,J. Randle makes 2-pt shot from 1 ft,2,49-45,,
5:10.0,,,49-48,3,D. Collison makes 3-pt shot from 22 ft (assist by M. Turner)
4:58.0,B. Lopez makes 2-pt shot from 16 ft (assist by K. Caldwell-Pope),2,51-48,,
4:29.0,,,51-50,2,D. Collison makes 2-pt shot from 14 ft (assist by T. Young)
4:11.0,B. Lopez makes 2-pt shot from 1 ft,2,53-50,,
3:46.0,,,53-50,,Turnover by M. Turner (out of bounds lost ball)
3:46.0,K. Kuzma enters the game for I. Thomas,,53-50,,
3:40.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,53-50,,
3:37.0,,,53-50,,Defensive rebound by L. Stephenson
3:20.0,,,53-50,,D. Collison misses 3-pt shot from 22 ft
3:16.0,Defensive rebound by B. Lopez,,53-50,,
3:12.0,L. Ball misses 3-pt shot from 27 ft,,53-50,,
3:07.0,Offensive rebound by J. Randle,,53-50,,
3:05.0,Turnover by L. Ball (traveling),,53-50,,
3:00.0,,,53-50,,Indiana full timeout
3:00.0,,,53-50,,V. Oladipo enters the game for C. Joseph
3:00.0,,,53-50,,T. Booker enters the game for M. Turner
2:54.0,,,53-50,,L. Stephenson misses 3-pt shot from 26 ft
2:50.0,Defensive rebound by K. Caldwell-Pope,,53-50,,
2:40.0,Turnover by L. Ball (bad pass; steal by L. Stephenson),,53-50,,
2:36.0,,,53-52,2,L. Stephenson makes 2-pt shot from 1 ft
2:23.0,Turnover by L. Ball (bad pass),,53-52,,
2:11.0,,,53-52,,V. Oladipo misses 2-pt shot from 6 ft (block by B. Lopez)
2:08.0,Defensive rebound by K. Kuzma,,53-52,,
1:55.0,B. Lopez misses 3-pt shot from 27 ft,,53-52,,
1:53.0,,,53-52,,Defensive rebound by V. Oladipo
1:48.0,,,53-54,2,T. Young makes 2-pt shot at rim (assist by D. Collison)
1:26.0,Turnover by B. Lopez (turnover),,53-54,,
1:26.0,Loose ball foul by B. Lopez (drawn by T. Booker),,53-54,,
1:08.0,,,53-54,,Shooting foul by J. Randle (drawn by V. Oladipo)
1:08.0,,,53-55,1,V. Oladipo makes free throw 1 of 2
1:08.0,I. Thomas enters the game for J. Randle,,53-55,,
1:08.0,,,53-55,,V. Oladipo misses free throw 2 of 2
1:08.0,Defensive rebound by K. Kuzma,,53-55,,
0:49.0,L. Ball makes 3-pt shot from 27 ft,3,56-55,,
0:35.0,,,56-55,,D. Collison misses 2-pt shot from 9 ft
0:32.0,Defensive rebound by B. Lopez,,56-55,,
0:28.0,Shooting foul by V. Oladipo (drawn by K. Caldwell-Pope),,56-55,,
0:28.0,K. Caldwell-Pope makes free throw 1 of 3,1,57-55,,
0:28.0,K. Caldwell-Pope makes free throw 2 of 3,1,58-55,,
0:28.0,K. Caldwell-Pope makes free throw 3 of 3,1,59-55,,
0:07.0,,,59-57,2,V. Oladipo makes 2-pt shot from 17 ft
0:02.0,L. Ball misses 3-pt shot from 28 ft,,59-57,,
0:02.0,,,59-57,,Defensive rebound by D. Collison
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,Personal foul by K. Kuzma (drawn by M. Turner),,59-57,,
11:35.0,,,59-59,2,T. Young makes 2-pt shot from 1 ft (assist by M. Turner)
11:11.0,J. Randle misses 2-pt shot from 5 ft,,59-59,,
11:09.0,,,59-59,,Defensive rebound by B. Bogdanovic
10:50.0,,,59-61,2,T. Young makes 2-pt shot from 2 ft
10:37.0,B. Lopez makes 2-pt shot from 7 ft,2,61-61,,
10:19.0,,,61-61,,Turnover by T. Young (bad pass; steal by L. Ball)
10:18.0,,,61-61,,Personal take foul by M. Turner (drawn by B. Lopez)
10:08.0,Shooting foul by M. Turner (drawn by B. Lopez),,61-61,,
10:08.0,B. Lopez makes free throw 1 of 2,1,62-61,,
10:08.0,B. Lopez makes free throw 2 of 2,1,63-61,,
9:48.0,,,63-63,2,V. Oladipo makes 2-pt shot from 21 ft
9:33.0,Turnover by B. Lopez (lost ball; steal by V. Oladipo),,63-63,,
9:30.0,,,63-63,,Shooting foul by K. Caldwell-Pope (drawn by V. Oladipo)
9:30.0,,,63-64,1,V. Oladipo makes free throw 1 of 2
9:30.0,,,63-65,1,V. Oladipo makes free throw 2 of 2
9:20.0,Turnover by K. Kuzma (bad pass; steal by V. Oladipo),,63-65,,
9:16.0,,,63-65,,Indiana full timeout
9:01.0,,,63-65,,Turnover by V. Oladipo (lost ball; steal by K. Caldwell-Pope)
8:49.0,J. Randle makes 2-pt shot from 6 ft,2,65-65,,
8:36.0,,,65-67,2,M. Turner makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
8:23.0,Shooting foul by B. Bogdanovic (drawn by L. Ball),,65-67,,
8:23.0,L. Ball makes free throw 1 of 2,1,66-67,,
8:23.0,L. Ball misses free throw 2 of 2,,66-67,,
8:21.0,,,66-67,,Defensive rebound by T. Young
8:07.0,,,66-69,2,D. Collison makes 2-pt shot from 19 ft
7:47.0,K. Kuzma misses 3-pt shot from 24 ft,,66-69,,
7:44.0,Offensive rebound by B. Lopez,,66-69,,
7:39.0,K. Kuzma makes 2-pt shot from 1 ft (assist by J. Randle),2,68-69,,
7:27.0,,,68-69,,V. Oladipo misses 3-pt shot from 23 ft
7:24.0,Defensive rebound by K. Caldwell-Pope,,68-69,,
7:06.0,J. Randle misses 2-pt shot from 4 ft,,68-69,,
7:02.0,Offensive rebound by J. Randle,,68-69,,
7:01.0,J. Randle misses 2-pt shot from 4 ft (block by T. Young),,68-69,,
6:58.0,,,68-69,,Defensive rebound by B. Bogdanovic
6:56.0,,,68-69,,B. Bogdanovic misses 2-pt shot from 3 ft
6:51.0,,,68-69,,Offensive rebound by V. Oladipo
6:51.0,,,68-71,2,V. Oladipo makes 2-pt shot at rim
6:34.0,B. Lopez makes 2-pt shot from 7 ft,2,70-71,,
6:14.0,,,70-74,3,D. Collison makes 3-pt shot from 29 ft (assist by M. Turner)
5:57.0,,,70-74,,Personal foul by B. Bogdanovic (drawn by K. Kuzma)
5:57.0,,,70-74,,L. Stephenson enters the game for B. Bogdanovic
5:51.0,K. Caldwell-Pope misses 2-pt shot from 17 ft,,70-74,,
5:48.0,,,70-74,,Defensive rebound by T. Young
5:36.0,I. Thomas enters the game for K. Caldwell-Pope,,70-74,,
5:24.0,,,70-77,3,V. Oladipo makes 3-pt shot from 22 ft (assist by D. Collison)
5:06.0,K. Kuzma makes 2-pt shot from 17 ft (assist by B. Lopez),2,72-77,,
4:48.0,,,72-79,2,D. Collison makes 2-pt shot from 19 ft
4:44.0,LA Lakers full timeout,,72-79,,
4:44.0,,,72-79,,C. Joseph enters the game for D. Collison
4:44.0,,,72-79,,T. Booker enters the game for M. Turner
4:24.0,B. Lopez misses 2-pt shot from 4 ft,,72-79,,
4:20.0,,,72-79,,Defensive rebound by L. Stephenson
4:07.0,,,72-81,2,L. Stephenson makes 2-pt shot from 9 ft
3:47.0,J. Randle makes 2-pt shot from 2 ft,2,74-81,,
3:24.0,,,74-83,2,T. Young makes 2-pt shot from 2 ft
3:13.0,Turnover by I. Thomas (bad pass; steal by V. Oladipo),,74-83,,
3:05.0,,,74-85,2,T. Young makes 2-pt shot from 1 ft (assist by C. Joseph)
3:00.0,LA Lakers full timeout,,74-85,,
3:00.0,T. Wear enters the game for B. Lopez,,74-85,,
2:46.0,Turnover by T. Wear (lost ball; steal by T. Young),,74-85,,
2:32.0,,,74-85,,T. Booker misses 2-pt shot from 1 ft
2:29.0,Defensive rebound by T. Wear,,74-85,,
2:17.0,I. Thomas makes 2-pt shot from 13 ft,2,76-85,,
1:56.0,Personal foul by I. Thomas (drawn by C. Joseph),,76-85,,
1:56.0,,,76-85,,B. Bogdanovic enters the game for T. Young
1:46.0,,,76-87,2,C. Joseph makes 2-pt shot from 18 ft (assist by T. Booker)
1:34.0,Shooting foul by L. Stephenson (drawn by K. Kuzma),,76-87,,
1:34.0,K. Kuzma makes free throw 1 of 2,1,77-87,,
1:34.0,K. Caldwell-Pope enters the game for L. Ball,,77-87,,
1:34.0,I. Zubac enters the game for J. Randle,,77-87,,
1:34.0,K. Kuzma makes free throw 2 of 2,1,78-87,,
1:12.0,,,78-87,,L. Stephenson misses 2-pt shot from 1 ft
1:10.0,Defensive rebound by T. Wear,,78-87,,
1:06.0,I. Thomas makes 2-pt shot from 6 ft,2,80-87,,
0:50.0,,,80-89,2,V. Oladipo makes 2-pt shot from 1 ft
0:41.0,Turnover by K. Caldwell-Pope (lost ball; steal by C. Joseph),,80-89,,
0:33.0,,,80-89,,B. Bogdanovic misses 3-pt shot from 26 ft
0:28.0,,,80-89,,Offensive rebound by V. Oladipo
0:09.0,,,80-92,3,L. Stephenson makes 3-pt shot from 27 ft (assist by T. Booker)
0:02.0,K. Kuzma misses 3-pt shot from 28 ft,,80-92,,
0:02.0,,,80-92,,Defensive rebound by T. Booker
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,I. Thomas misses 3-pt shot from 27 ft,,80-92,,
11:43.0,,,80-92,,Defensive rebound by T. Booker
11:32.0,,,80-92,,C. Joseph misses 3-pt shot from 27 ft
11:28.0,,,80-92,,Offensive rebound by L. Stephenson
11:11.0,,,80-92,,B. Bogdanovic misses 2-pt shot from 20 ft
11:08.0,Defensive rebound by T. Ennis,,80-92,,
11:02.0,I. Thomas misses 2-pt shot from 1 ft,,80-92,,
11:00.0,,,80-92,,Defensive rebound by T. Booker
10:52.0,,,80-92,,D. Collison misses 2-pt shot from 14 ft
10:48.0,,,80-92,,Offensive rebound by T. Booker
10:48.0,,,80-92,,T. Booker misses 2-pt shot at rim
10:48.0,Defensive rebound by I. Zubac,,80-92,,
10:40.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,80-92,,
10:37.0,,,80-92,,Defensive rebound by B. Bogdanovic
10:29.0,,,80-94,2,T. Booker makes 2-pt shot from 4 ft (assist by D. Collison)
10:15.0,K. Caldwell-Pope misses 2-pt shot from 7 ft (block by D. Collison),,80-94,,
10:13.0,,,80-94,,Defensive rebound by C. Joseph
10:11.0,,,80-94,,Shooting foul by I. Thomas (drawn by D. Collison)
10:11.0,,,80-95,1,D. Collison makes free throw 1 of 2
10:11.0,J. Randle enters the game for I. Zubac,,80-95,,
10:11.0,,,80-96,1,D. Collison makes free throw 2 of 2
9:51.0,I. Thomas makes 2-pt shot from 2 ft,2,82-96,,
9:45.0,,,82-96,,B. Bogdanovic misses 3-pt shot from 23 ft
9:42.0,Defensive rebound by K. Caldwell-Pope,,82-96,,
9:33.0,Shooting foul by C. Joseph (drawn by I. Thomas),,82-96,,
9:33.0,I. Thomas makes free throw 1 of 2,1,83-96,,
9:33.0,I. Thomas makes free throw 2 of 2,1,84-96,,
9:15.0,,,84-96,,L. Stephenson misses 3-pt shot from 28 ft
9:12.0,Defensive rebound by I. Thomas,,84-96,,
9:07.0,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by I. Thomas),3,87-96,,
9:05.0,,,87-96,,Indiana full timeout
9:05.0,,,87-96,,T. Young enters the game for T. Booker
9:05.0,,,87-96,,M. Turner enters the game for B. Bogdanovic
9:05.0,B. Lopez enters the game for T. Wear,,87-96,,
8:47.0,,,87-96,,M. Turner misses 2-pt shot from 11 ft
8:44.0,Defensive rebound by K. Caldwell-Pope,,87-96,,
8:34.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,87-96,,
8:31.0,,,87-96,,Defensive rebound by T. Young
8:14.0,,,87-99,3,L. Stephenson makes 3-pt shot from 23 ft (assist by D. Collison)
8:01.0,I. Thomas misses 3-pt shot from 26 ft,,87-99,,
7:58.0,,,87-99,,Defensive rebound by M. Turner
7:45.0,,,87-99,,T. Young misses 2-pt shot from 9 ft
7:43.0,Defensive rebound by K. Caldwell-Pope,,87-99,,
7:36.0,T. Ennis misses 3-pt shot from 27 ft,,87-99,,
7:33.0,,,87-99,,Defensive rebound by C. Joseph
7:17.0,,,87-99,,L. Stephenson misses 2-pt shot from 5 ft
7:14.0,,,87-99,,Offensive rebound by M. Turner
7:14.0,,,87-101,2,M. Turner makes 2-pt shot at rim
7:04.0,I. Thomas misses 2-pt shot from 15 ft,,87-101,,
7:01.0,,,87-101,,Defensive rebound by T. Young
6:58.0,,,87-101,,Shooting foul by T. Ennis (drawn by C. Joseph)
6:58.0,,,87-102,1,C. Joseph makes free throw 1 of 2
6:58.0,K. Kuzma enters the game for T. Ennis,,87-102,,
6:58.0,L. Ball enters the game for J. Randle,,87-102,,
6:58.0,,,87-103,1,C. Joseph makes free throw 2 of 2
6:40.0,Shooting foul by T. Young (drawn by B. Lopez),,87-103,,
6:40.0,B. Lopez misses free throw 1 of 2,,87-103,,
6:40.0,Offensive rebound by Team,,87-103,,
6:40.0,B. Lopez misses free throw 2 of 2,,87-103,,
6:40.0,,,87-103,,Defensive rebound by M. Turner
6:26.0,,,87-103,,Turnover by L. Stephenson (traveling)
6:18.0,K. Kuzma makes 3-pt shot from 28 ft (assist by I. Thomas),3,90-103,,
6:00.0,,,90-103,,M. Turner misses 2-pt shot from 1 ft
5:58.0,,,90-103,,Offensive rebound by D. Collison
5:52.0,,,90-103,,T. Young misses 3-pt shot from 26 ft
5:48.0,Defensive rebound by B. Lopez,,90-103,,
5:42.0,K. Kuzma misses 3-pt shot from 24 ft,,90-103,,
5:40.0,,,90-103,,Defensive rebound by M. Turner
5:24.0,,,90-103,,L. Stephenson misses 2-pt shot from 10 ft (block by K. Caldwell-Pope)
5:22.0,Defensive rebound by K. Caldwell-Pope,,90-103,,
5:17.0,I. Thomas misses 2-pt shot from 5 ft (block by C. Joseph),,90-103,,
5:15.0,,,90-103,,Defensive rebound by C. Joseph
5:11.0,,,90-103,,Indiana full timeout
5:11.0,Technical foul by I. Thomas,,90-103,,
5:11.0,J. Randle enters the game for I. Thomas,,90-103,,
5:11.0,,,90-104,1,D. Collison makes technical free throw
5:11.0,,,90-104,,V. Oladipo enters the game for D. Collison
4:56.0,,,90-106,2,C. Joseph makes 2-pt shot from 18 ft
4:40.0,L. Ball misses 3-pt shot from 29 ft,,90-106,,
4:36.0,Offensive rebound by K. Kuzma,,90-106,,
4:36.0,K. Kuzma misses 2-pt shot at rim,,90-106,,
4:35.0,,,90-106,,Defensive rebound by T. Young
4:17.0,,,90-106,,Turnover by T. Young (lost ball; steal by J. Randle)
4:14.0,Shooting foul by C. Joseph (drawn by J. Randle),,90-106,,
4:14.0,J. Randle misses free throw 1 of 2,,90-106,,
4:14.0,Offensive rebound by Team,,90-106,,
4:14.0,J. Randle makes free throw 2 of 2,1,91-106,,
3:59.0,Personal foul by J. Randle (drawn by V. Oladipo),,91-106,,
3:50.0,,,91-106,,V. Oladipo misses 3-pt shot from 28 ft
3:47.0,Defensive rebound by K. Caldwell-Pope,,91-106,,
3:36.0,K. Kuzma makes 2-pt shot at rim (assist by L. Ball),2,93-106,,
3:16.0,,,93-106,,L. Stephenson misses 3-pt shot from 27 ft
3:13.0,Defensive rebound by J. Randle,,93-106,,
3:08.0,Shooting foul by L. Stephenson (drawn by J. Randle),,93-106,,
3:08.0,J. Randle makes free throw 1 of 2,1,94-106,,
3:08.0,J. Randle makes free throw 2 of 2,1,95-106,,
2:52.0,Personal foul by K. Caldwell-Pope (drawn by M. Turner),,95-106,,
2:43.0,,,95-108,2,M. Turner makes 2-pt shot from 1 ft
2:30.0,K. Kuzma misses 3-pt shot from 27 ft,,95-108,,
2:27.0,Offensive rebound by B. Lopez,,95-108,,
2:24.0,,,95-108,,Personal foul by L. Stephenson (drawn by K. Kuzma)
2:24.0,K. Kuzma makes free throw 1 of 2,1,96-108,,
2:24.0,,,96-108,,D. Collison enters the game for L. Stephenson
2:24.0,K. Kuzma misses free throw 2 of 2,,96-108,,
2:24.0,,,96-108,,Defensive rebound by D. Collison
