time,Atlanta,pts.away,score,pts.home,LA Clippers
4:27.0,D. Schroder misses 2-pt shot at rim (block by W. Johnson),,16-21,,
4:27.0,Offensive rebound by Team,,16-21,,
4:24.0,Turnover by D. Schroder (bad pass; steal by J. Evans),,16-21,,
4:20.0,,,16-23,2,D. Jordan makes 2-pt shot at rim (assist by L. Williams)
4:03.0,T. Waller-Prince makes 3-pt shot from 26 ft (assist by J. Collins),3,19-23,,
3:51.0,,,19-23,,Shooting foul by D. Schroder (drawn by J. Evans)
3:51.0,,,19-24,1,J. Evans makes free throw 1 of 2
3:51.0,,,19-24,,T. Wallace enters the game for L. Williams
3:51.0,M. Delaney enters the game for T. Waller-Prince,,19-24,,
3:51.0,,,19-25,1,J. Evans makes free throw 2 of 2
3:34.0,,,19-25,,S. Dekker enters the game for W. Johnson
3:27.0,D. Schroder makes 2-pt shot from 10 ft,2,21-25,,
3:03.0,,,21-27,2,D. Jordan makes 2-pt shot at rim (assist by T. Wallace)
3:00.0,Atlanta full timeout,,21-27,,
2:37.0,Turnover by D. Schroder (bad pass; steal by C. Williams),,21-27,,
2:33.0,,,21-27,,T. Wallace misses 2-pt shot from 2 ft (block by D. Dedmon)
2:30.0,Defensive rebound by D. Schroder,,21-27,,
2:21.0,J. Collins makes 2-pt shot at rim (assist by M. Delaney),2,23-27,,
2:01.0,,,23-27,,D. Jordan misses 2-pt shot from 3 ft
1:58.0,,,23-27,,Offensive rebound by D. Jordan
1:58.0,,,23-29,2,D. Jordan makes 2-pt shot at rim
1:43.0,D. Schroder misses 2-pt shot from 2 ft (block by T. Wallace),,23-29,,
1:43.0,,,23-29,,Defensive rebound by Team
1:43.0,T. Dorsey enters the game for D. Schroder,,23-29,,
1:34.0,,,23-31,2,T. Wallace makes 2-pt shot from 1 ft (assist by D. Jordan)
1:18.0,T. Dorsey misses 3-pt shot from 24 ft,,23-31,,
1:15.0,,,23-31,,Defensive rebound by D. Jordan
1:06.0,,,23-31,,Shooting foul by M. Delaney (drawn by S. Dekker)
1:06.0,,,23-31,,S. Dekker misses free throw 1 of 2
1:06.0,,,23-31,,Offensive rebound by Team
1:06.0,,,23-31,,M. Harrell enters the game for D. Jordan
1:06.0,T. Cavanaugh enters the game for D. Dedmon,,23-31,,
1:06.0,,,23-31,,S. Dekker misses free throw 2 of 2
1:04.0,Defensive rebound by M. Delaney,,23-31,,
0:45.0,M. Delaney makes 2-pt shot from 15 ft,2,25-31,,
0:33.0,Personal block foul by T. Dorsey (drawn by T. Wallace),,25-31,,
0:33.0,,,25-31,,T. Wallace misses free throw 1 of 2
0:33.0,,,25-31,,Offensive rebound by Team
0:33.0,,,25-31,,S. Thornwell enters the game for J. Evans
0:33.0,,,25-32,1,T. Wallace makes free throw 2 of 2
0:22.0,M. Belinelli misses 2-pt shot from 22 ft,,25-32,,
0:19.0,,,25-32,,Defensive rebound by S. Thornwell
0:03.0,,,25-32,,T. Wallace misses 2-pt shot from 10 ft
0:01.0,Defensive rebound by J. Collins,,25-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,M. Delaney misses 3-pt shot from 24 ft,,25-32,,
11:38.0,,,25-32,,Defensive rebound by Team
11:29.0,,,25-32,,Turnover by M. Harrell (turnover)
11:29.0,,,25-32,,L. Williams enters the game for C. Williams
11:13.0,Shooting foul by S. Dekker (drawn by J. Collins),,25-32,,
11:13.0,J. Collins misses free throw 1 of 2,,25-32,,
11:13.0,Offensive rebound by Team,,25-32,,
11:13.0,J. Collins makes free throw 2 of 2,1,26-32,,
11:00.0,,,26-32,,S. Dekker misses 2-pt shot from 7 ft
10:56.0,Defensive rebound by J. Collins,,26-32,,
10:45.0,T. Dorsey misses 3-pt shot from 24 ft,,26-32,,
10:38.0,Offensive rebound by J. Collins,,26-32,,
10:38.0,T. Cavanaugh makes 2-pt shot at rim (assist by J. Collins),2,28-32,,
10:30.0,,,28-32,,M. Harrell misses 2-pt shot from 1 ft (block by J. Collins)
10:22.0,,,28-32,,Offensive rebound by S. Dekker
10:22.0,,,28-34,2,S. Dekker makes 2-pt shot at rim
10:06.0,M. Delaney misses 2-pt shot from 1 ft,,28-34,,
10:01.0,,,28-34,,Defensive rebound by S. Thornwell
9:56.0,,,28-36,2,T. Wallace makes 2-pt shot at rim (assist by L. Williams)
9:46.0,,,28-36,,Personal foul by T. Wallace (drawn by M. Delaney)
9:40.0,Shooting foul by S. Thornwell (drawn by M. Belinelli),,28-36,,
9:40.0,M. Belinelli misses free throw 1 of 2,,28-36,,
9:40.0,Offensive rebound by Team,,28-36,,
9:40.0,M. Belinelli makes free throw 2 of 2,1,29-36,,
9:28.0,,,29-36,,T. Wallace misses 2-pt shot from 3 ft (block by J. Collins)
9:25.0,Defensive rebound by T. Dorsey,,29-36,,
9:15.0,M. Belinelli misses 2-pt shot from 2 ft,,29-36,,
9:12.0,,,29-36,,Defensive rebound by T. Wallace
8:59.0,,,29-39,3,L. Williams makes 3-pt shot from 25 ft (assist by S. Thornwell)
8:41.0,M. Belinelli misses 2-pt shot from 18 ft,,29-39,,
8:37.0,Offensive rebound by J. Collins,,29-39,,
8:36.0,,,29-39,,Personal foul by M. Harrell (drawn by J. Collins)
8:36.0,K. Bazemore enters the game for M. Belinelli,,29-39,,
8:36.0,M. Plumlee enters the game for J. Collins,,29-39,,
8:31.0,M. Delaney misses 2-pt shot from 18 ft,,29-39,,
8:25.0,Offensive rebound by T. Dorsey,,29-39,,
8:18.0,Shooting foul by M. Harrell (drawn by K. Bazemore),,29-39,,
8:18.0,K. Bazemore misses free throw 1 of 2,,29-39,,
8:18.0,Offensive rebound by Team,,29-39,,
8:18.0,,,29-39,,W. Johnson enters the game for S. Dekker
8:18.0,K. Bazemore makes free throw 2 of 2,1,30-39,,
7:58.0,,,30-39,,W. Johnson misses 3-pt shot from 22 ft
7:54.0,Defensive rebound by K. Bazemore,,30-39,,
7:47.0,T. Cavanaugh misses 3-pt shot from 25 ft,,30-39,,
7:44.0,,,30-39,,Defensive rebound by S. Thornwell
7:34.0,,,30-39,,S. Thornwell misses 2-pt shot from 2 ft
7:30.0,Defensive rebound by T. Cavanaugh,,30-39,,
7:22.0,K. Bazemore misses 2-pt shot from 2 ft (block by M. Harrell),,30-39,,
7:21.0,Offensive rebound by M. Plumlee,,30-39,,
7:21.0,M. Plumlee makes 2-pt shot at rim,2,32-39,,
7:21.0,,,32-39,,LA Clippers full timeout
7:21.0,,,32-39,,J. Evans enters the game for S. Thornwell
7:21.0,,,32-39,,D. Jordan enters the game for M. Harrell
7:21.0,E. Ilyasova enters the game for T. Dorsey,,32-39,,
7:21.0,D. Schroder enters the game for M. Delaney,,32-39,,
7:21.0,T. Waller-Prince enters the game for T. Cavanaugh,,32-39,,
7:06.0,,,32-41,2,D. Jordan makes 2-pt shot from 1 ft (assist by J. Evans)
6:46.0,Turnover by M. Plumlee (out of bounds lost ball),,32-41,,
6:43.0,,,32-41,,Shooting foul by D. Schroder (drawn by D. Jordan)
6:43.0,,,32-41,,D. Jordan misses free throw 1 of 2
6:43.0,,,32-41,,Offensive rebound by Team
6:43.0,,,32-41,,D. Jordan misses free throw 2 of 2
6:40.0,Defensive rebound by M. Plumlee,,32-41,,
6:21.0,E. Ilyasova misses 3-pt shot from 24 ft,,32-41,,
6:18.0,,,32-41,,Defensive rebound by J. Evans
6:17.0,,,32-43,2,T. Wallace makes 2-pt shot at rim (assist by J. Evans)
6:17.0,,,32-43,,Shooting foul by T. Waller-Prince (drawn by T. Wallace)
6:17.0,,,32-44,1,T. Wallace makes free throw 1 of 1
6:01.0,Turnover by M. Plumlee (lost ball; steal by J. Evans),,32-44,,
5:55.0,,,32-44,,W. Johnson misses 2-pt shot from 1 ft (block by T. Waller-Prince)
5:48.0,Defensive rebound by D. Schroder,,32-44,,
5:47.0,D. Schroder misses 2-pt shot from 5 ft,,32-44,,
5:42.0,Offensive rebound by E. Ilyasova,,32-44,,
5:42.0,E. Ilyasova makes 2-pt shot at rim,2,34-44,,
5:39.0,,,34-46,2,L. Williams makes 2-pt shot from 1 ft
5:39.0,Atlanta full timeout,,34-46,,
5:39.0,,,34-46,,C. Williams enters the game for T. Wallace
5:21.0,,,34-46,,Personal foul by J. Evans (drawn by M. Plumlee)
5:21.0,M. Plumlee misses free throw 1 of 2,,34-46,,
5:21.0,Offensive rebound by Team,,34-46,,
5:21.0,M. Plumlee makes free throw 2 of 2,1,35-46,,
5:03.0,,,35-46,,L. Williams misses 2-pt shot from 16 ft
5:00.0,Defensive rebound by E. Ilyasova,,35-46,,
4:51.0,Turnover by K. Bazemore (lost ball; steal by W. Johnson),,35-46,,
4:48.0,,,35-46,,Shooting foul by T. Waller-Prince (drawn by L. Williams)
4:48.0,,,35-47,1,L. Williams makes free throw 1 of 2
4:48.0,D. Dedmon enters the game for M. Plumlee,,35-47,,
4:48.0,,,35-48,1,L. Williams makes free throw 2 of 2
4:30.0,D. Schroder makes 2-pt shot from 1 ft,2,37-48,,
4:13.0,,,37-48,,L. Williams misses 2-pt shot from 5 ft
4:12.0,,,37-48,,Offensive rebound by D. Jordan
4:12.0,,,37-50,2,D. Jordan makes 2-pt shot at rim
3:52.0,Turnover by T. Waller-Prince (lost ball; steal by C. Williams),,37-50,,
3:43.0,,,37-52,2,L. Williams makes 2-pt shot from 1 ft (assist by C. Williams)
3:32.0,,,37-52,,Personal foul by C. Williams (drawn by D. Schroder)
3:32.0,D. Schroder makes free throw 1 of 2,1,38-52,,
3:32.0,M. Delaney enters the game for T. Waller-Prince,,38-52,,
3:32.0,M. Belinelli enters the game for K. Bazemore,,38-52,,
3:32.0,D. Schroder makes free throw 2 of 2,1,39-52,,
3:16.0,,,39-52,,J. Evans misses 2-pt shot from 7 ft (block by D. Schroder)
3:12.0,Defensive rebound by D. Dedmon,,39-52,,
3:09.0,D. Schroder makes 2-pt shot from 19 ft,2,41-52,,
2:53.0,,,41-52,,L. Williams misses 3-pt shot from 25 ft
2:51.0,Defensive rebound by E. Ilyasova,,41-52,,
2:37.0,Shooting foul by J. Evans (drawn by E. Ilyasova),,41-52,,
2:37.0,E. Ilyasova makes free throw 1 of 2,1,42-52,,
2:37.0,E. Ilyasova misses free throw 2 of 2,,42-52,,
2:34.0,,,42-52,,Defensive rebound by W. Johnson
2:20.0,,,42-52,,C. Williams misses 2-pt shot from 6 ft
2:17.0,,,42-52,,Offensive rebound by D. Jordan
2:17.0,,,42-54,2,D. Jordan makes 2-pt shot at rim
2:05.0,D. Schroder misses 2-pt shot from 18 ft,,42-54,,
1:56.0,,,42-54,,Defensive rebound by J. Evans
1:54.0,,,42-54,,Turnover by L. Williams (lost ball; steal by D. Schroder)
1:50.0,M. Belinelli makes 3-pt shot from 22 ft (assist by E. Ilyasova),3,45-54,,
1:32.0,,,45-54,,Offensive foul by C. Williams (drawn by M. Belinelli)
1:32.0,,,45-54,,Turnover by C. Williams (offensive foul)
1:16.0,D. Schroder makes 2-pt shot from 19 ft,2,47-54,,
0:58.0,,,47-56,2,L. Williams makes 2-pt shot from 1 ft
0:51.0,D. Dedmon misses 3-pt shot from 22 ft,,47-56,,
0:47.0,,,47-56,,Defensive rebound by W. Johnson
0:43.0,,,47-56,,L. Williams misses 3-pt shot from 32 ft
0:39.0,Defensive rebound by E. Ilyasova,,47-56,,
0:30.0,D. Schroder misses 2-pt shot from 10 ft,,47-56,,
0:28.0,Offensive rebound by D. Schroder,,47-56,,
0:26.0,M. Delaney misses 3-pt shot from 25 ft,,47-56,,
0:24.0,,,47-56,,Defensive rebound by J. Evans
0:22.0,,,47-58,2,J. Evans makes 2-pt shot from 1 ft
0:02.0,D. Dedmon misses 3-pt shot from 24 ft,,47-58,,
0:02.0,Offensive rebound by M. Delaney,,47-58,,
0:00.0,M. Delaney misses 2-pt shot from 2 ft (block by D. Jordan),,47-58,,
0:00.0,Offensive rebound by Team,,47-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,Offensive foul by D. Schroder (drawn by J. Evans),,47-58,,
11:50.0,Turnover by D. Schroder (offensive foul),,47-58,,
11:36.0,,,47-58,,J. Evans misses 2-pt shot from 16 ft
11:32.0,Defensive rebound by M. Plumlee,,47-58,,
11:19.0,,,47-58,,Personal foul by C. Williams (drawn by T. Waller-Prince)
11:05.0,K. Bazemore misses 2-pt shot from 20 ft,,47-58,,
11:02.0,,,47-58,,Defensive rebound by W. Johnson
11:00.0,,,47-60,2,J. Evans makes 2-pt shot from 1 ft (assist by W. Johnson)
10:44.0,T. Waller-Prince misses 3-pt shot from 25 ft,,47-60,,
10:41.0,Offensive rebound by E. Ilyasova,,47-60,,
10:40.0,E. Ilyasova makes 2-pt shot at rim,2,49-60,,
10:30.0,,,49-60,,Turnover by W. Johnson (bad pass; steal by K. Bazemore)
10:29.0,,,49-60,,Personal foul by D. Jordan (drawn by K. Bazemore)
10:14.0,E. Ilyasova misses 3-pt shot from 23 ft,,49-60,,
10:08.0,Offensive rebound by M. Plumlee,,49-60,,
10:06.0,T. Waller-Prince makes 3-pt shot from 24 ft (assist by M. Plumlee),3,52-60,,
9:49.0,,,52-62,2,L. Williams makes 2-pt shot from 3 ft (assist by D. Jordan)
9:43.0,Shooting foul by W. Johnson (drawn by D. Schroder),,52-62,,
9:43.0,D. Schroder makes free throw 1 of 2,1,53-62,,
9:43.0,D. Schroder makes free throw 2 of 2,1,54-62,,
9:29.0,,,54-65,3,L. Williams makes 3-pt shot from 25 ft
9:08.0,D. Schroder misses 2-pt shot from 17 ft,,54-65,,
9:05.0,,,54-65,,Defensive rebound by D. Jordan
9:04.0,,,54-65,,Turnover by D. Jordan (bad pass; steal by D. Schroder)
8:59.0,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Schroder),2,56-65,,
8:46.0,,,56-67,2,L. Williams makes 2-pt shot from 9 ft
8:27.0,Turnover by D. Schroder (bad pass; steal by C. Williams),,56-67,,
8:25.0,Personal foul by D. Schroder (drawn by L. Williams),,56-67,,
8:17.0,,,56-67,,J. Evans misses 2-pt shot from 10 ft
8:15.0,,,56-67,,Offensive rebound by D. Jordan
8:15.0,,,56-69,2,D. Jordan makes 2-pt shot at rim
8:10.0,Atlanta full timeout,,56-69,,
8:00.0,Turnover by E. Ilyasova (bad pass; steal by W. Johnson),,56-69,,
7:44.0,,,56-69,,C. Williams misses 3-pt shot from 24 ft
7:41.0,Defensive rebound by M. Plumlee,,56-69,,
7:33.0,,,56-69,,Personal foul by D. Jordan (drawn by K. Bazemore)
7:26.0,Shooting foul by W. Johnson (drawn by E. Ilyasova),,56-69,,
7:26.0,E. Ilyasova misses free throw 1 of 2,,56-69,,
7:26.0,Offensive rebound by Team,,56-69,,
7:26.0,E. Ilyasova makes free throw 2 of 2,1,57-69,,
7:15.0,,,57-69,,J. Evans misses 2-pt shot from 1 ft
7:14.0,,,57-69,,D. Jordan misses 2-pt shot from 1 ft
7:14.0,,,57-69,,Offensive rebound by Team
7:14.0,D. Dedmon enters the game for M. Plumlee,,57-69,,
7:14.0,,,57-69,,Defensive rebound by D. Jordan
7:07.0,Jump ball: D. Jordan vs. K. Bazemore (L. Williams gains possession),,,,Jump ball: D. Jordan vs. K. Bazemore (L. Williams gains possession)
7:02.0,,,57-71,2,L. Williams makes 2-pt shot from 13 ft
6:48.0,D. Schroder misses 3-pt shot from 24 ft,,57-71,,
6:39.0,Offensive rebound by D. Dedmon,,57-71,,
6:39.0,D. Dedmon misses 2-pt shot at rim,,57-71,,
6:38.0,,,57-71,,Defensive rebound by D. Jordan
6:33.0,,,57-71,,Turnover by L. Williams (bad pass; steal by K. Bazemore)
6:30.0,D. Schroder makes 2-pt shot at rim,2,59-71,,
6:20.0,Personal foul by E. Ilyasova (drawn by C. Williams),,59-71,,
6:12.0,,,59-71,,Offensive charge foul by L. Williams (drawn by D. Schroder)
6:12.0,,,59-71,,Turnover by L. Williams (offensive foul)
5:55.0,T. Waller-Prince misses 3-pt shot from 25 ft,,59-71,,
5:53.0,Offensive rebound by E. Ilyasova,,59-71,,
5:53.0,Shooting foul by D. Jordan (drawn by E. Ilyasova),,59-71,,
5:53.0,E. Ilyasova makes free throw 1 of 2,1,60-71,,
5:53.0,,,60-71,,S. Dekker enters the game for D. Jordan
5:53.0,,,60-71,,M. Harrell enters the game for W. Johnson
5:53.0,E. Ilyasova makes free throw 2 of 2,1,61-71,,
5:33.0,,,61-71,,J. Evans misses 2-pt shot from 6 ft
5:29.0,Defensive rebound by E. Ilyasova,,61-71,,
5:25.0,T. Waller-Prince misses 2-pt shot from 1 ft,,61-71,,
5:21.0,,,61-71,,Defensive rebound by L. Williams
5:18.0,,,61-71,,Turnover by S. Dekker (bad pass; steal by T. Waller-Prince)
5:12.0,E. Ilyasova misses 2-pt shot from 1 ft,,61-71,,
5:11.0,,,61-71,,Defensive rebound by J. Evans
5:11.0,Personal foul by D. Schroder (drawn by J. Evans),,61-71,,
5:11.0,M. Delaney enters the game for D. Schroder,,61-71,,
5:00.0,,,61-74,3,L. Williams makes 3-pt shot from 24 ft
4:52.0,Turnover by D. Dedmon (bad pass; steal by J. Evans),,61-74,,
4:48.0,,,61-74,,S. Dekker misses 2-pt shot at rim (block by E. Ilyasova)
4:46.0,,,61-74,,Offensive rebound by M. Harrell
4:46.0,,,61-74,,M. Harrell misses 2-pt shot from 5 ft
4:45.0,Defensive rebound by M. Delaney,,61-74,,
4:41.0,T. Cavanaugh enters the game for E. Ilyasova,,61-74,,
4:30.0,T. Waller-Prince makes 3-pt shot from 25 ft (assist by M. Delaney),3,64-74,,
4:21.0,Violation by M. Delaney (kicked ball),,64-74,,
4:21.0,,,64-74,,LA Clippers full timeout
4:18.0,,,64-74,,Turnover by L. Williams (bad pass; steal by K. Bazemore)
4:15.0,K. Bazemore makes 2-pt shot from 2 ft,2,66-74,,
4:15.0,,,66-74,,T. Wallace enters the game for J. Evans
3:58.0,,,66-76,2,S. Dekker makes 2-pt shot at rim (assist by M. Harrell)
3:40.0,M. Delaney makes 3-pt shot from 23 ft (assist by T. Waller-Prince),3,69-76,,
3:25.0,,,69-76,,Shooting foul by M. Delaney (drawn by M. Harrell)
3:25.0,,,69-76,,M. Harrell misses free throw 1 of 2
3:25.0,,,69-76,,Offensive rebound by Team
3:25.0,,,69-76,,M. Harrell misses free throw 2 of 2
3:22.0,,,69-76,,Offensive rebound by S. Dekker
3:10.0,,,69-76,,Turnover by L. Williams (bad pass; steal by K. Bazemore)
3:03.0,D. Dedmon makes 2-pt shot from 1 ft (assist by M. Delaney),2,71-76,,
2:38.0,Shooting block foul by M. Delaney (drawn by T. Wallace),,71-76,,
2:38.0,,,71-77,1,T. Wallace makes free throw 1 of 2
2:38.0,,,71-77,,J. Evans enters the game for L. Williams
2:38.0,M. Belinelli enters the game for K. Bazemore,,71-77,,
2:38.0,,,71-78,1,T. Wallace makes free throw 2 of 2
2:32.0,,,71-78,,Personal foul by C. Williams (drawn by M. Belinelli)
2:32.0,M. Belinelli makes free throw 1 of 2,1,72-78,,
2:32.0,,,72-78,,S. Thornwell enters the game for C. Williams
2:32.0,M. Belinelli makes free throw 2 of 2,1,73-78,,
2:08.0,,,73-78,,M. Harrell misses 2-pt shot from 17 ft
2:08.0,,,73-78,,Offensive rebound by Team
2:08.0,,,73-78,,Turnover by Team (shot clock)
1:54.0,T. Cavanaugh makes 3-pt shot from 24 ft (assist by M. Belinelli),3,76-78,,
1:42.0,,,76-78,,J. Evans misses 2-pt shot from 20 ft
1:36.0,Defensive rebound by T. Waller-Prince,,76-78,,
1:35.0,Offensive foul by T. Cavanaugh (drawn by J. Evans),,76-78,,
1:35.0,Turnover by T. Cavanaugh (offensive foul),,76-78,,
1:14.0,,,76-78,,Shooting foul by T. Cavanaugh (drawn by T. Wallace)
1:14.0,,,76-79,1,T. Wallace makes free throw 1 of 2
1:14.0,,,76-79,,T. Wallace misses free throw 2 of 2
1:11.0,Defensive rebound by M. Delaney,,76-79,,
1:04.0,M. Delaney misses 2-pt shot from 17 ft,,76-79,,
1:01.0,,,76-79,,Defensive rebound by J. Evans
0:56.0,,,76-79,,T. Wallace misses 3-pt shot from 25 ft
0:52.0,Defensive rebound by M. Delaney,,76-79,,
0:46.0,M. Belinelli misses 3-pt shot from 25 ft,,76-79,,
0:42.0,,,76-79,,Defensive rebound by J. Evans
0:37.0,,,76-79,,M. Harrell misses 2-pt shot from 1 ft (block by T. Cavanaugh)
0:31.0,Defensive rebound by M. Delaney,,76-79,,
0:28.0,Shooting foul by S. Thornwell (drawn by M. Belinelli),,76-79,,
0:28.0,M. Belinelli makes free throw 1 of 2,1,77-79,,
0:28.0,M. Plumlee enters the game for D. Dedmon,,77-79,,
0:28.0,M. Belinelli misses free throw 2 of 2,,77-79,,
0:26.0,Offensive rebound by Team,,77-79,,
0:20.0,M. Belinelli misses 3-pt shot from 25 ft,,77-79,,
0:18.0,,,77-79,,Defensive rebound by Team
0:18.0,Loose ball foul by T. Cavanaugh (drawn by S. Thornwell),,77-79,,
0:18.0,,,77-79,,S. Thornwell misses free throw 2 of 2
0:18.0,Defensive rebound by M. Muscala,,77-79,,
0:18.0,M. Muscala enters the game for M. Plumlee,,77-79,,
0:18.0,,,77-80,1,S. Thornwell makes free throw 1 of 2
0:01.0,M. Belinelli misses 3-pt shot from 22 ft,,77-80,,
0:00.0,Offensive rebound by Team,,77-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,77-80,,Shooting foul by M. Belinelli (drawn by L. Williams)
11:46.0,,,77-81,1,L. Williams makes free throw 1 of 2
11:46.0,,,77-82,1,L. Williams makes free throw 2 of 2
11:31.0,T. Waller-Prince misses 3-pt shot from 24 ft,,77-82,,
11:31.0,Offensive rebound by Team,,77-82,,
11:31.0,,,77-82,,Loose ball foul by T. Wallace (drawn by T. Cavanaugh)
11:20.0,M. Belinelli misses 2-pt shot from 5 ft (block by T. Wallace),,77-82,,
11:17.0,,,77-82,,Defensive rebound by T. Wallace
11:12.0,,,77-82,,L. Williams misses 2-pt shot from 6 ft
11:10.0,Defensive rebound by M. Muscala,,77-82,,
11:00.0,T. Waller-Prince makes 2-pt shot from 1 ft,2,79-82,,
10:49.0,,,79-82,,Offensive foul by M. Harrell (drawn by T. Waller-Prince)
10:49.0,,,79-82,,Turnover by M. Harrell (offensive foul)
10:35.0,T. Cavanaugh misses 3-pt shot from 25 ft,,79-82,,
10:31.0,Offensive rebound by M. Belinelli,,79-82,,
10:29.0,M. Belinelli misses 3-pt shot from 24 ft,,79-82,,
10:23.0,,,79-82,,Defensive rebound by L. Williams
10:15.0,,,79-82,,S. Dekker misses 2-pt shot from 8 ft
10:12.0,Defensive rebound by T. Waller-Prince,,79-82,,
10:03.0,M. Muscala makes 3-pt shot from 25 ft (assist by M. Delaney),3,82-82,,
9:50.0,,,82-84,2,L. Williams makes 2-pt shot from 1 ft
9:43.0,T. Waller-Prince makes 2-pt shot at rim (assist by M. Delaney),2,84-84,,
9:33.0,,,84-84,,S. Dekker misses 2-pt shot from 3 ft (block by T. Waller-Prince)
9:32.0,Defensive rebound by T. Waller-Prince,,84-84,,
9:32.0,,,84-84,,Personal take foul by M. Harrell (drawn by T. Waller-Prince)
9:32.0,,,84-84,,W. Johnson enters the game for J. Evans
9:32.0,,,84-84,,D. Jordan enters the game for M. Harrell
9:32.0,,,84-84,,C. Williams enters the game for S. Dekker
