time,Charlotte,pts.away,score,pts.home,Sacramento
2:50.0,Defensive rebound by D. Howard,,90-73,,
2:43.0,D. Howard makes 2-pt shot from 2 ft (assist by K. Walker),2,92-73,,
2:43.0,Shooting foul by Z. Randolph (drawn by D. Howard),,92-73,,
2:43.0,Charlotte full timeout,,92-73,,
2:43.0,J. Lamb enters the game for M. Kidd-Gilchrist,,92-73,,
2:43.0,D. Howard makes free throw 1 of 1,1,93-73,,
2:28.0,,,93-73,,W. Cauley-Stein misses 2-pt shot from 19 ft
2:25.0,,,93-73,,Offensive rebound by Z. Randolph
2:17.0,,,93-73,,D. Fox misses 2-pt shot from 12 ft (block by D. Howard)
2:14.0,,,93-73,,Offensive rebound by D. Fox
2:10.0,,,93-73,,B. Hield misses 3-pt shot from 24 ft
2:10.0,Defensive rebound by D. Howard,,93-73,,
2:03.0,N. Batum makes 3-pt shot from 25 ft (assist by F. Kaminsky),3,96-73,,
1:46.0,,,96-75,2,B. Bogdanovic makes 2-pt shot from 2 ft (assist by W. Cauley-Stein)
1:32.0,Turnover by F. Kaminsky (traveling),,96-75,,
1:32.0,,,96-75,,G. Hill enters the game for D. Fox
1:32.0,,,96-75,,K. Koufos enters the game for Z. Randolph
1:32.0,M. Carter-Williams enters the game for K. Walker,,96-75,,
1:18.0,,,96-77,2,K. Koufos makes 2-pt shot from 6 ft (assist by W. Cauley-Stein)
1:00.0,D. Howard misses 2-pt shot from 1 ft,,96-77,,
0:57.0,,,96-77,,Defensive rebound by K. Koufos
0:51.0,,,96-79,2,K. Koufos makes 2-pt shot from 9 ft (assist by W. Cauley-Stein)
0:31.0,D. Howard makes 2-pt shot from 1 ft (assist by J. Lamb),2,98-79,,
0:12.0,,,98-81,2,G. Hill makes 2-pt shot from 18 ft
0:00.0,F. Kaminsky makes 2-pt shot from 16 ft,2,100-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,J. Lamb makes 2-pt shot from 1 ft (assist by F. Kaminsky),2,102-81,,
11:48.0,Shooting foul by B. Hield (drawn by J. Lamb),,102-81,,
11:48.0,J. Lamb makes free throw 1 of 1,1,103-81,,
11:32.0,,,103-83,2,B. Bogdanovic makes 2-pt shot from 11 ft
11:32.0,,,103-83,,Shooting foul by M. Carter-Williams (drawn by B. Bogdanovic)
11:32.0,,,103-84,1,B. Bogdanovic makes free throw 1 of 1
11:16.0,J. Lamb makes 3-pt shot from 22 ft (assist by J. O'Bryant),3,106-84,,
11:04.0,,,106-87,3,G. Hill makes 3-pt shot from 25 ft (assist by B. Hield)
10:44.0,J. Lamb misses 2-pt shot from 8 ft,,106-87,,
10:41.0,,,106-87,,Defensive rebound by W. Cauley-Stein
10:36.0,Personal foul by T. Graham (drawn by K. Koufos),,106-87,,
10:28.0,,,106-89,2,B. Bogdanovic makes 2-pt shot from 14 ft
10:03.0,J. O'Bryant makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,109-89,,
9:50.0,,,109-92,3,G. Hill makes 3-pt shot from 23 ft (assist by B. Bogdanovic)
9:28.0,F. Kaminsky misses 2-pt shot from 20 ft,,109-92,,
9:24.0,,,109-92,,Defensive rebound by B. Bogdanovic
9:14.0,,,109-92,,B. Hield misses 2-pt shot from 10 ft
9:12.0,,,109-92,,Offensive rebound by K. Koufos
9:12.0,,,109-94,2,K. Koufos makes 2-pt shot at rim
9:12.0,Charlotte full timeout,,109-94,,
9:03.0,,,109-94,,Personal foul by B. Bogdanovic (drawn by M. Carter-Williams)
8:49.0,J. O'Bryant makes 2-pt shot from 12 ft,2,111-94,,
8:30.0,,,111-94,,Offensive foul by B. Bogdanovic (drawn by T. Graham)
8:30.0,,,111-94,,Turnover by B. Bogdanovic (offensive foul)
8:08.0,J. Lamb misses 3-pt shot from 24 ft,,111-94,,
