time,Houston,pts.away,score,pts.home,Chicago
2:31.0,C. Paul enters the game for E. Gordon,,30-13,,
2:24.0,,,30-13,,B. Portis misses 2-pt shot from 21 ft
2:24.0,Defensive rebound by C. Paul,,30-13,,
2:13.0,T. Ariza misses 2-pt shot from 2 ft (block by J. Holiday),,30-13,,
2:13.0,,,30-13,,C. Felicio enters the game for L. Markkanen
2:13.0,Defensive rebound by Team,,30-13,,
2:10.0,Jump ball: J. Holiday vs. T. Ariza (G. Green gains possession),,,,Jump ball: J. Holiday vs. T. Ariza (G. Green gains possession)
2:02.0,C. Paul makes 3-pt shot from 24 ft,3,33-13,,
2:02.0,Shooting foul by C. Felicio (drawn by C. Paul),,33-13,,
2:02.0,C. Paul makes free throw 1 of 1,1,34-13,,
1:54.0,,,34-16,3,B. Portis makes 3-pt shot from 25 ft (assist by C. Felicio)
1:27.0,G. Green misses 3-pt shot from 26 ft,,34-16,,
1:25.0,,,34-16,,Defensive rebound by B. Portis
1:19.0,,,34-16,,B. Portis misses 3-pt shot from 24 ft
1:16.0,Defensive rebound by T. Ariza,,34-16,,
1:07.0,G. Green misses 2-pt shot from 2 ft,,34-16,,
1:05.0,,,34-16,,Defensive rebound by C. Felicio
0:57.0,,,34-18,2,C. Felicio makes 2-pt shot from 2 ft (assist by D. Nwaba)
0:46.0,T. Black misses 2-pt shot from 2 ft,,34-18,,
0:44.0,,,34-18,,Defensive rebound by D. Nwaba
0:42.0,,,34-18,,Shooting foul by G. Green (drawn by D. Nwaba)
0:42.0,,,34-19,1,D. Nwaba makes free throw 1 of 2
0:42.0,,,34-20,1,D. Nwaba makes free throw 2 of 2
0:32.0,T. Ariza misses 3-pt shot from 25 ft,,34-20,,
0:30.0,Offensive rebound by T. Black,,34-20,,
0:30.0,Shooting foul by C. Felicio (drawn by T. Black),,34-20,,
0:30.0,T. Black makes free throw 1 of 2,1,35-20,,
0:30.0,T. Black misses free throw 2 of 2,,35-20,,
0:28.0,,,35-20,,Defensive rebound by C. Felicio
0:19.0,,,35-20,,Shooting foul by T. Black (drawn by C. Felicio)
0:19.0,,,35-21,1,C. Felicio makes free throw 1 of 2
0:19.0,,,35-21,,P. Zipser enters the game for J. Holiday
0:19.0,,,35-22,1,C. Felicio makes free throw 2 of 2
0:00.0,C. Paul misses 3-pt shot from 27 ft,,35-22,,
0:00.0,Offensive rebound by Team,,35-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,G. Green makes 3-pt shot from 27 ft (assist by P. Tucker),3,38-22,,
11:31.0,,,38-22,,C. Felicio misses 2-pt shot from 1 ft
11:31.0,,,38-22,,Offensive rebound by Team
11:28.0,,,38-22,,D. Nwaba misses 2-pt shot from 2 ft
11:28.0,,,38-22,,Offensive rebound by D. Nwaba
11:24.0,,,38-24,2,D. Nwaba makes 2-pt shot from 1 ft
11:10.0,E. Gordon misses 3-pt shot from 23 ft,,38-24,,
11:10.0,,,38-24,,Defensive rebound by C. Felicio
10:56.0,,,38-24,,P. Zipser misses 2-pt shot from 20 ft
10:56.0,Defensive rebound by P. Tucker,,38-24,,
10:35.0,C. Paul makes 2-pt shot from 1 ft,2,40-24,,
10:35.0,Shooting foul by C. Felicio (drawn by C. Paul),,40-24,,
10:35.0,,,40-24,,D. Valentine enters the game for C. Felicio
10:35.0,C. Paul makes free throw 1 of 1,1,41-24,,
10:25.0,,,41-26,2,J. Grant makes 2-pt shot at rim
10:12.0,C. Paul misses 3-pt shot from 24 ft,,41-26,,
10:11.0,Offensive rebound by P. Tucker,,41-26,,
10:11.0,Turnover by P. Tucker (out of bounds lost ball),,41-26,,
9:58.0,,,41-26,,D. Nwaba misses 2-pt shot from 10 ft
9:52.0,Defensive rebound by E. Gordon,,41-26,,
9:49.0,,,41-26,,Personal foul by J. Grant (drawn by C. Paul)
9:46.0,Turnover by C. Paul (traveling),,41-26,,
9:33.0,,,41-26,,D. Valentine misses 3-pt shot from 24 ft
9:30.0,Defensive rebound by P. Tucker,,41-26,,
9:17.0,E. Gordon misses 2-pt shot from 3 ft (block by D. Nwaba),,41-26,,
9:16.0,Offensive rebound by G. Green,,41-26,,
9:16.0,Turnover by G. Green (step out of bounds),,41-26,,
9:07.0,,,41-29,3,D. Valentine makes 3-pt shot from 24 ft
8:51.0,R. Anderson makes 2-pt shot from 15 ft (assist by E. Gordon),2,43-29,,
8:36.0,,,43-31,2,D. Valentine makes 2-pt shot from 2 ft (assist by J. Grant)
8:23.0,Shooting foul by D. Valentine (drawn by G. Green),,43-31,,
8:23.0,G. Green misses free throw 1 of 3,,43-31,,
8:23.0,Offensive rebound by Team,,43-31,,
8:23.0,G. Green makes free throw 2 of 3,1,44-31,,
8:23.0,C. Capela enters the game for C. Paul,,44-31,,
8:23.0,B. Weber enters the game for P. Tucker,,44-31,,
8:23.0,G. Green makes free throw 3 of 3,1,45-31,,
8:06.0,,,45-31,,Shooting foul by E. Gordon (drawn by P. Zipser)
8:06.0,,,45-32,1,P. Zipser makes free throw 1 of 2
8:06.0,,,45-33,1,P. Zipser makes free throw 2 of 2
7:52.0,G. Green misses 3-pt shot from 22 ft,,45-33,,
7:48.0,,,45-33,,Defensive rebound by D. Valentine
7:39.0,,,45-35,2,B. Portis makes 2-pt shot from 15 ft (assist by D. Valentine)
7:17.0,C. Capela makes 2-pt shot from 1 ft (assist by E. Gordon),2,47-35,,
7:17.0,Shooting foul by D. Valentine (drawn by C. Capela),,47-35,,
7:17.0,,,47-35,,L. Markkanen enters the game for P. Zipser
7:17.0,T. Ariza enters the game for G. Green,,47-35,,
7:17.0,C. Capela misses free throw 1 of 1,,47-35,,
7:12.0,Offensive rebound by R. Anderson,,47-35,,
7:00.0,R. Anderson misses 2-pt shot from 8 ft,,47-35,,
6:58.0,,,47-35,,Defensive rebound by B. Portis
6:47.0,,,47-35,,D. Valentine misses 3-pt shot from 25 ft
6:45.0,,,47-35,,Offensive rebound by Team
6:45.0,,,47-35,,Chicago full timeout
6:45.0,,,47-36,1,L. Markkanen makes technical free throw
6:45.0,,,47-36,,J. Holiday enters the game for D. Nwaba
6:37.0,Personal foul by B. Weber (drawn by J. Grant),,47-36,,
6:29.0,,,47-38,2,B. Portis makes 2-pt shot from 17 ft (assist by J. Grant)
6:08.0,E. Gordon misses 3-pt shot from 25 ft,,47-38,,
6:03.0,Offensive rebound by E. Gordon,,47-38,,
5:50.0,T. Ariza misses 2-pt shot from 7 ft,,47-38,,
5:50.0,,,47-38,,Defensive rebound by L. Markkanen
5:38.0,,,47-40,2,B. Portis makes 2-pt shot from 4 ft
5:36.0,Houston full timeout,,47-40,,
5:36.0,,,47-40,,K. Dunn enters the game for J. Grant
5:36.0,C. Paul enters the game for B. Weber,,47-40,,
5:29.0,,,47-40,,Personal foul by K. Dunn (drawn by C. Paul)
5:29.0,C. Paul makes free throw 1 of 2,1,48-40,,
5:29.0,C. Paul makes free throw 2 of 2,1,49-40,,
5:09.0,,,49-40,,D. Valentine misses 2-pt shot from 6 ft
5:07.0,Defensive rebound by C. Capela,,49-40,,
5:00.0,Turnover by E. Gordon (bad pass; steal by K. Dunn),,49-40,,
4:55.0,,,49-40,,Turnover by L. Markkanen (bad pass; steal by C. Paul)
4:50.0,C. Capela makes 2-pt shot from 1 ft (assist by T. Ariza),2,51-40,,
4:38.0,,,51-42,2,B. Portis makes 2-pt shot from 17 ft (assist by K. Dunn)
4:19.0,C. Capela makes 2-pt shot from 2 ft (assist by C. Paul),2,53-42,,
4:04.0,,,53-44,2,J. Holiday makes 2-pt shot from 2 ft (assist by K. Dunn)
3:41.0,R. Anderson misses 3-pt shot from 22 ft,,53-44,,
3:37.0,,,53-44,,Defensive rebound by B. Portis
3:27.0,,,53-47,3,L. Markkanen makes 3-pt shot from 22 ft (assist by K. Dunn)
3:04.0,E. Gordon misses 3-pt shot from 26 ft,,53-47,,
3:00.0,Offensive rebound by C. Capela,,53-47,,
2:58.0,E. Gordon misses 3-pt shot from 26 ft,,53-47,,
2:58.0,,,53-47,,Defensive rebound by K. Dunn
2:47.0,,,53-49,2,K. Dunn makes 2-pt shot from 4 ft
2:31.0,C. Paul misses 3-pt shot from 22 ft,,53-49,,
2:29.0,,,53-49,,Defensive rebound by D. Valentine
2:16.0,,,53-49,,B. Portis misses 2-pt shot from 1 ft (block by T. Ariza)
2:13.0,,,53-49,,Offensive rebound by B. Portis
2:13.0,,,53-49,,Shooting foul by C. Capela (drawn by B. Portis)
2:13.0,,,53-50,1,B. Portis makes free throw 1 of 2
2:13.0,P. Tucker enters the game for E. Gordon,,53-50,,
2:13.0,G. Green enters the game for R. Anderson,,53-50,,
2:13.0,,,53-50,,B. Portis misses free throw 2 of 2
2:10.0,Defensive rebound by P. Tucker,,53-50,,
1:52.0,G. Green makes 2-pt shot from 1 ft (assist by C. Paul),2,55-50,,
1:36.0,,,55-50,,K. Dunn misses 2-pt shot from 1 ft
1:34.0,Defensive rebound by C. Capela,,55-50,,
1:28.0,Turnover by C. Paul (lost ball; steal by K. Dunn),,55-50,,
1:24.0,,,55-52,2,B. Portis makes 2-pt shot at rim (assist by K. Dunn)
1:11.0,Houston full timeout,,55-52,,
1:00.0,P. Tucker misses 3-pt shot from 24 ft,,55-52,,
0:57.0,Offensive rebound by G. Green,,55-52,,
0:56.0,G. Green makes 2-pt shot from 16 ft,2,57-52,,
0:44.0,,,57-52,,L. Markkanen misses 3-pt shot from 24 ft
0:44.0,,,57-52,,Offensive rebound by D. Valentine
0:39.0,,,57-55,3,K. Dunn makes 3-pt shot from 25 ft (assist by D. Valentine)
0:22.0,G. Green makes 3-pt shot from 26 ft (assist by P. Tucker),3,60-55,,
0:01.0,,,60-55,,K. Dunn misses 2-pt shot from 22 ft
0:01.0,Defensive rebound by C. Paul,,60-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,T. Ariza misses 3-pt shot from 26 ft,,60-55,,
11:45.0,,,60-55,,Defensive rebound by K. Dunn
11:30.0,,,60-58,3,D. Valentine makes 3-pt shot from 25 ft
11:07.0,C. Paul misses 3-pt shot from 25 ft,,60-58,,
11:02.0,,,60-58,,Defensive rebound by D. Valentine
10:56.0,,,60-58,,Shooting foul by C. Paul (drawn by R. Lopez)
10:56.0,,,60-59,1,R. Lopez makes free throw 1 of 2
10:56.0,,,60-60,1,R. Lopez makes free throw 2 of 2
10:40.0,T. Ariza misses 2-pt shot from 3 ft,,60-60,,
10:38.0,,,60-60,,Defensive rebound by D. Valentine
10:35.0,,,60-60,,J. Holiday misses 3-pt shot from 22 ft
10:32.0,Defensive rebound by R. Anderson,,60-60,,
10:25.0,E. Gordon makes 2-pt shot from 1 ft,2,62-60,,
10:06.0,,,62-62,2,K. Dunn makes 2-pt shot from 1 ft
9:57.0,R. Anderson misses 3-pt shot from 24 ft,,62-62,,
9:54.0,,,62-62,,Defensive rebound by J. Holiday
9:35.0,,,62-62,,Turnover by D. Valentine (out of bounds lost ball)
9:23.0,Turnover by C. Paul (bad pass; steal by D. Valentine),,62-62,,
9:16.0,,,62-64,2,K. Dunn makes 2-pt shot from 13 ft (assist by L. Markkanen)
9:04.0,Shooting foul by R. Lopez (drawn by E. Gordon),,62-64,,
9:04.0,E. Gordon misses free throw 1 of 2,,62-64,,
9:04.0,Offensive rebound by Team,,62-64,,
9:04.0,E. Gordon makes free throw 2 of 2,1,63-64,,
8:49.0,,,63-66,2,K. Dunn makes 2-pt shot from 10 ft
8:39.0,E. Gordon misses 3-pt shot from 25 ft,,63-66,,
8:35.0,,,63-66,,Defensive rebound by L. Markkanen
8:27.0,,,63-66,,D. Valentine misses 3-pt shot from 25 ft
8:24.0,Defensive rebound by E. Gordon,,63-66,,
8:16.0,E. Gordon misses 2-pt shot from 2 ft (block by K. Dunn),,63-66,,
8:16.0,Offensive rebound by Team,,63-66,,
8:14.0,,,63-66,,Personal foul by K. Dunn (drawn by E. Gordon)
8:05.0,C. Capela makes 2-pt shot from 2 ft (assist by E. Gordon),2,65-66,,
7:48.0,,,65-66,,R. Lopez misses 2-pt shot from 3 ft
7:46.0,Defensive rebound by C. Paul,,65-66,,
7:41.0,C. Paul makes 2-pt shot from 16 ft,2,67-66,,
7:23.0,,,67-66,,K. Dunn misses 2-pt shot from 16 ft
7:19.0,Defensive rebound by C. Capela,,67-66,,
7:13.0,R. Anderson misses 3-pt shot from 25 ft,,67-66,,
7:13.0,,,67-66,,Defensive rebound by J. Holiday
7:00.0,,,67-68,2,D. Valentine makes 2-pt shot from 12 ft
6:47.0,C. Paul makes 2-pt shot from 8 ft,2,69-68,,
6:20.0,,,69-68,,Turnover by Team (shot clock)
6:20.0,,,69-68,,Chicago full timeout
6:20.0,P. Tucker enters the game for C. Paul,,69-68,,
6:20.0,G. Green enters the game for R. Anderson,,69-68,,
6:05.0,C. Capela makes 2-pt shot from 3 ft (assist by E. Gordon),2,71-68,,
5:48.0,,,71-68,,L. Markkanen misses 2-pt shot from 15 ft
5:46.0,Defensive rebound by P. Tucker,,71-68,,
5:40.0,G. Green misses 3-pt shot from 25 ft,,71-68,,
5:38.0,,,71-68,,Defensive rebound by K. Dunn
5:26.0,,,71-68,,J. Holiday misses 3-pt shot from 23 ft
5:22.0,Defensive rebound by C. Capela,,71-68,,
5:12.0,E. Gordon makes 2-pt shot from 13 ft,2,73-68,,
4:54.0,,,73-71,3,D. Valentine makes 3-pt shot from 22 ft (assist by R. Lopez)
4:35.0,Shooting foul by K. Dunn (drawn by E. Gordon),,73-71,,
4:35.0,E. Gordon makes free throw 1 of 3,1,74-71,,
4:35.0,E. Gordon makes free throw 2 of 3,1,75-71,,
4:35.0,,,75-71,,B. Portis enters the game for R. Lopez
4:35.0,E. Gordon makes free throw 3 of 3,1,76-71,,
4:17.0,,,76-71,,K. Dunn misses 3-pt shot from 25 ft
4:14.0,Defensive rebound by C. Capela,,76-71,,
4:07.0,G. Green misses 3-pt shot from 24 ft,,76-71,,
4:01.0,Offensive rebound by E. Gordon,,76-71,,
3:58.0,G. Green makes 2-pt shot from 1 ft (assist by E. Gordon),2,78-71,,
3:46.0,,,78-71,,Turnover by B. Portis (lost ball; steal by E. Gordon)
3:42.0,E. Gordon misses 3-pt shot from 27 ft,,78-71,,
3:39.0,,,78-71,,Defensive rebound by L. Markkanen
3:31.0,,,78-71,,K. Dunn misses 2-pt shot from 20 ft
3:29.0,Defensive rebound by T. Ariza,,78-71,,
3:17.0,P. Tucker makes 3-pt shot from 24 ft (assist by C. Capela),3,81-71,,
3:15.0,,,81-71,,Chicago full timeout
3:15.0,,,81-71,,J. Grant enters the game for K. Dunn
3:15.0,C. Paul enters the game for E. Gordon,,81-71,,
3:15.0,T. Black enters the game for C. Capela,,81-71,,
2:57.0,,,81-71,,Shooting foul by T. Black (drawn by B. Portis)
2:57.0,,,81-71,,B. Portis misses free throw 1 of 2
2:57.0,,,81-71,,Offensive rebound by Team
2:57.0,,,81-72,1,B. Portis makes free throw 2 of 2
2:32.0,C. Paul misses 3-pt shot from 29 ft,,81-72,,
2:29.0,,,81-72,,Defensive rebound by J. Grant
2:21.0,,,81-72,,Turnover by D. Valentine (bad pass)
2:21.0,,,81-72,,C. Felicio enters the game for L. Markkanen
2:06.0,T. Ariza misses 3-pt shot from 22 ft,,81-72,,
2:02.0,,,81-72,,Defensive rebound by J. Grant
1:53.0,,,81-75,3,D. Valentine makes 3-pt shot from 26 ft (assist by B. Portis)
1:31.0,P. Tucker misses 3-pt shot from 23 ft,,81-75,,
1:31.0,,,81-75,,Defensive rebound by D. Valentine
1:22.0,,,81-75,,Turnover by D. Valentine (lost ball; steal by T. Black)
1:22.0,,,81-75,,Personal foul by D. Valentine (drawn by T. Black)
1:22.0,,,81-75,,D. Nwaba enters the game for J. Holiday
1:09.0,Turnover by C. Paul (traveling),,81-75,,
0:52.0,,,81-75,,Shooting foul by C. Paul (drawn by D. Nwaba)
0:52.0,,,81-76,1,D. Nwaba makes free throw 1 of 2
0:52.0,,,81-76,,D. Nwaba misses free throw 2 of 2
0:49.0,Defensive rebound by T. Ariza,,81-76,,
0:33.0,G. Green makes 3-pt shot from 25 ft (assist by C. Paul),3,84-76,,
0:24.0,,,84-76,,B. Portis misses 3-pt shot from 26 ft
0:24.0,Defensive rebound by T. Ariza,,84-76,,
0:00.0,C. Paul makes 3-pt shot from 25 ft,3,87-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,87-76,,D. Nwaba misses 2-pt shot from 3 ft (block by T. Black)
11:47.0,Defensive rebound by T. Ariza,,87-76,,
11:31.0,C. Paul makes 2-pt shot from 21 ft,2,89-76,,
11:13.0,,,89-76,,J. Grant misses 3-pt shot from 24 ft
11:07.0,Defensive rebound by T. Ariza,,89-76,,
10:55.0,Houston full timeout,,89-76,,
10:55.0,,,89-76,,J. Holiday enters the game for C. Felicio
10:47.0,C. Paul misses 3-pt shot from 26 ft,,89-76,,
10:47.0,Offensive rebound by Team,,89-76,,
10:47.0,Turnover by Team (shot clock),,89-76,,
10:33.0,,,89-78,2,D. Nwaba makes 2-pt shot from 3 ft (assist by J. Holiday)
10:33.0,,,89-78,,Shooting foul by C. Paul (drawn by D. Nwaba)
10:33.0,,,89-79,1,D. Nwaba makes free throw 1 of 1
10:11.0,G. Green misses 3-pt shot from 24 ft,,89-79,,
10:09.0,,,89-79,,Defensive rebound by P. Zipser
9:55.0,,,89-79,,J. Grant misses 3-pt shot from 25 ft
9:52.0,Defensive rebound by T. Ariza,,89-79,,
9:43.0,Turnover by C. Paul (bad pass),,89-79,,
9:43.0,E. Gordon enters the game for T. Ariza,,89-79,,
9:25.0,,,89-79,,J. Holiday misses 3-pt shot from 24 ft
9:22.0,Defensive rebound by C. Paul,,89-79,,
9:16.0,Turnover by E. Gordon (lost ball; steal by J. Holiday),,89-79,,
9:14.0,,,89-79,,B. Portis misses 2-pt shot from 3 ft (block by C. Paul)
9:14.0,,,89-79,,Offensive rebound by Team
9:14.0,C. Capela enters the game for T. Black,,89-79,,
9:13.0,Personal foul by C. Capela (drawn by B. Portis),,89-79,,
9:13.0,R. Anderson enters the game for P. Tucker,,89-79,,
9:02.0,,,89-79,,Turnover by J. Grant (bad pass; steal by R. Anderson)
8:52.0,C. Paul misses 3-pt shot from 26 ft,,89-79,,
8:49.0,Offensive rebound by G. Green,,89-79,,
8:40.0,G. Green misses 2-pt shot from 16 ft,,89-79,,
8:40.0,,,89-79,,Defensive rebound by Team
8:39.0,Loose ball foul by C. Capela (drawn by B. Portis),,89-79,,
8:39.0,,,89-79,,K. Dunn enters the game for J. Grant
8:27.0,,,89-79,,J. Holiday misses 3-pt shot from 25 ft
8:27.0,Defensive rebound by E. Gordon,,89-79,,
8:18.0,Turnover by E. Gordon (bad pass; steal by P. Zipser),,89-79,,
8:13.0,,,89-79,,Turnover by D. Nwaba (lost ball; steal by C. Paul)
8:09.0,C. Paul makes 2-pt shot from 1 ft (assist by E. Gordon),2,91-79,,
7:54.0,,,91-79,,B. Portis misses 2-pt shot from 4 ft
7:50.0,Defensive rebound by C. Paul,,91-79,,
7:45.0,R. Anderson makes 3-pt shot from 26 ft (assist by C. Paul),3,94-79,,
7:45.0,,,94-79,,Chicago full timeout
7:45.0,,,94-79,,L. Markkanen enters the game for P. Zipser
7:45.0,T. Ariza enters the game for C. Paul,,94-79,,
7:36.0,,,94-81,2,B. Portis makes 2-pt shot from 2 ft (assist by J. Holiday)
7:36.0,,,94-81,,Shooting foul by G. Green (drawn by B. Portis)
7:36.0,,,94-82,1,B. Portis makes free throw 1 of 1
7:11.0,Turnover by T. Ariza (bad pass; steal by K. Dunn),,94-82,,
7:06.0,,,94-84,2,D. Nwaba makes 2-pt shot from 1 ft (assist by K. Dunn)
6:54.0,T. Ariza misses 3-pt shot from 23 ft,,94-84,,
6:54.0,Offensive rebound by C. Capela,,94-84,,
6:49.0,E. Gordon makes 3-pt shot from 25 ft (assist by C. Capela),3,97-84,,
6:33.0,,,97-84,,L. Markkanen misses 3-pt shot from 25 ft
6:33.0,Defensive rebound by C. Capela,,97-84,,
6:20.0,Turnover by R. Anderson (turnover),,97-84,,
6:20.0,,,97-84,,D. Valentine enters the game for D. Nwaba
6:09.0,,,97-84,,K. Dunn misses 2-pt shot from 1 ft
6:06.0,Defensive rebound by C. Capela,,97-84,,
5:57.0,T. Ariza makes 3-pt shot from 25 ft (assist by E. Gordon),3,100-84,,
5:41.0,,,100-86,2,B. Portis makes 2-pt shot from 21 ft (assist by K. Dunn)
5:32.0,T. Ariza makes 3-pt shot from 23 ft (assist by R. Anderson),3,103-86,,
5:15.0,,,103-88,2,K. Dunn makes 2-pt shot from 6 ft
4:50.0,T. Ariza makes 3-pt shot from 24 ft (assist by E. Gordon),2,106-88,,
4:34.0,,,106-90,2,J. Holiday makes 2-pt shot from 19 ft (assist by B. Portis)
4:34.0,,,106-90,,Shooting foul by C. Capela (drawn by J. Holiday)
4:34.0,Houston full timeout,,106-90,,
4:34.0,C. Paul enters the game for G. Green,,106-90,,
4:34.0,P. Tucker enters the game for R. Anderson,,106-90,,
4:34.0,,,106-91,1,J. Holiday makes free throw 1 of 1
4:19.0,Shooting foul by K. Dunn (drawn by C. Capela),,106-91,,
4:19.0,C. Capela makes free throw 1 of 2,1,107-91,,
4:19.0,C. Capela makes free throw 2 of 2,1,108-91,,
4:06.0,,,108-93,2,K. Dunn makes 2-pt shot from 6 ft
3:59.0,Shooting foul by L. Markkanen (drawn by C. Capela),,108-93,,
3:59.0,C. Capela makes free throw 1 of 2,1,109-93,,
3:59.0,C. Capela makes free throw 2 of 2,1,110-93,,
3:42.0,,,110-93,,B. Portis misses 2-pt shot from 11 ft
3:38.0,Defensive rebound by T. Ariza,,110-93,,
3:30.0,T. Ariza misses 3-pt shot from 25 ft,,110-93,,
3:27.0,,,110-93,,Defensive rebound by L. Markkanen
3:18.0,,,110-95,2,K. Dunn makes 2-pt shot from 21 ft
2:58.0,P. Tucker makes 3-pt shot from 23 ft (assist by C. Paul),3,113-95,,
