time,Houston,pts.away,score,pts.home,Cleveland
8:16.0,J. Harden makes free throw 1 of 1,1,10-4,,
8:03.0,,,10-4,,J. Smith misses 3-pt shot from 23 ft
7:59.0,,,10-4,,Offensive rebound by L. James
7:50.0,,,10-4,,J. Smith misses 3-pt shot from 25 ft
7:45.0,Defensive rebound by C. Paul,,10-4,,
7:32.0,Shooting foul by I. Thomas (drawn by J. Harden),,10-4,,
7:32.0,J. Harden makes free throw 1 of 2,1,11-4,,
7:32.0,J. Harden makes free throw 2 of 2,1,12-4,,
7:07.0,,,12-4,,J. Smith misses 3-pt shot from 29 ft
7:07.0,Defensive rebound by Team,,12-4,,
6:54.0,C. Paul makes 3-pt shot from 29 ft,3,15-4,,
6:52.0,,,15-4,,Cleveland full timeout
6:52.0,G. Green enters the game for R. Anderson,,15-4,,
6:52.0,P. Tucker enters the game for C. Paul,,15-4,,
6:40.0,,,15-4,,J. Smith misses 3-pt shot from 26 ft
6:37.0,Defensive rebound by J. Harden,,15-4,,
6:19.0,G. Green misses 2-pt shot from 9 ft,,15-4,,
6:17.0,,,15-4,,Defensive rebound by L. James
6:10.0,,,15-6,2,J. Smith makes 2-pt shot from 6 ft
5:52.0,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden),2,17-6,,
5:41.0,,,17-8,2,L. James makes 2-pt shot from 1 ft (assist by J. Crowder)
5:32.0,,,17-8,,Violation by L. James (kicked ball)
5:32.0,,,17-8,,C. Frye enters the game for T. Thompson
5:18.0,Turnover by G. Green (out of bounds lost ball),,17-8,,
5:14.0,,,17-8,,Offensive foul by J. Crowder (drawn by P. Tucker)
5:14.0,,,17-8,,Turnover by J. Crowder (offensive foul)
5:05.0,J. Harden makes 2-pt shot at rim,2,19-8,,
4:57.0,,,19-8,,I. Thomas misses 3-pt shot from 25 ft
4:55.0,Defensive rebound by C. Capela,,19-8,,
4:44.0,C. Capela misses 2-pt shot from 2 ft (block by L. James),,19-8,,
4:41.0,,,19-8,,Defensive rebound by L. James
4:38.0,,,19-8,,J. Crowder misses 2-pt shot from 1 ft
4:36.0,Defensive rebound by C. Capela,,19-8,,
4:28.0,L. Mbah a Moute misses 2-pt shot at rim,,19-8,,
4:26.0,,,19-8,,Defensive rebound by C. Frye
4:26.0,,,19-8,,Shooting foul by J. Harden (drawn by L. James)
4:26.0,,,19-9,1,L. James makes free throw 1 of 2
4:26.0,,,19-9,,J. Green enters the game for I. Thomas
4:26.0,,,19-9,,D. Wade enters the game for J. Crowder
4:26.0,N. Hilario enters the game for C. Capela,,19-9,,
4:26.0,,,19-10,1,L. James makes free throw 2 of 2
4:17.0,Turnover by N. Hilario (out of bounds lost ball),,19-10,,
4:09.0,,,19-12,2,D. Wade makes 2-pt shot from 1 ft (assist by L. James)
3:52.0,G. Green makes 3-pt shot from 23 ft (assist by N. Hilario),3,22-12,,
3:34.0,Personal foul by G. Green (drawn by L. James),,22-12,,
3:34.0,,,22-12,,K. Korver enters the game for J. Smith
3:30.0,,,22-12,,K. Korver misses 2-pt shot from 2 ft (block by G. Green)
3:26.0,,,22-12,,Offensive rebound by K. Korver
3:21.0,,,22-14,2,C. Frye makes 2-pt shot from 1 ft (assist by L. James)
3:02.0,Offensive foul by J. Harden (drawn by J. Green),,22-14,,
3:02.0,Turnover by J. Harden (offensive foul),,22-14,,
3:02.0,C. Paul enters the game for J. Harden,,22-14,,
2:55.0,Houston full timeout,,22-14,,
2:55.0,R. Anderson enters the game for L. Mbah a Moute,,22-14,,
2:50.0,,,22-14,,K. Korver misses 3-pt shot from 23 ft
2:48.0,Defensive rebound by R. Anderson,,22-14,,
2:39.0,N. Hilario makes 2-pt shot from 1 ft (assist by C. Paul),2,24-14,,
2:28.0,Personal foul by P. Tucker (drawn by D. Wade),,24-14,,
2:21.0,,,24-16,2,D. Wade makes 2-pt shot from 15 ft
2:01.0,N. Hilario makes 2-pt shot at rim (assist by C. Paul),2,26-16,,
1:40.0,,,26-16,,J. Green misses 2-pt shot from 16 ft
1:38.0,Defensive rebound by G. Green,,26-16,,
1:18.0,P. Tucker misses 2-pt shot from 11 ft,,26-16,,
1:14.0,,,26-16,,Defensive rebound by L. James
1:11.0,,,26-18,2,J. Green makes 2-pt shot from 1 ft (assist by L. James)
0:55.0,C. Paul makes 3-pt shot from 26 ft,3,29-18,,
0:44.0,,,29-18,,D. Wade misses 2-pt shot from 2 ft (block by G. Green)
0:40.0,Defensive rebound by C. Paul,,29-18,,
0:38.0,G. Green makes 3-pt shot from 25 ft (assist by C. Paul),3,32-18,,
0:22.0,,,32-18,,L. James misses 2-pt shot from 3 ft (block by G. Green)
0:21.0,,,32-18,,Offensive rebound by Team
0:17.0,,,32-20,2,L. James makes 2-pt shot from 1 ft
0:02.0,C. Paul misses 2-pt shot from 13 ft,,32-20,,
0:01.0,,,32-20,,Defensive rebound by L. James
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,32-20,,D. Rose misses 2-pt shot at rim
11:39.0,Defensive rebound by P. Tucker,,32-20,,
11:30.0,R. Anderson misses 2-pt shot from 3 ft,,32-20,,
11:27.0,,,32-20,,Defensive rebound by D. Rose
11:24.0,,,32-20,,K. Korver misses 3-pt shot from 23 ft
11:21.0,Defensive rebound by C. Paul,,32-20,,
11:17.0,C. Paul makes 3-pt shot from 25 ft,3,35-20,,
11:01.0,,,35-22,2,D. Wade makes 2-pt shot at rim
10:35.0,C. Paul misses 3-pt shot from 24 ft,,35-22,,
10:32.0,,,35-22,,Defensive rebound by J. Green
10:27.0,,,35-22,,J. Green misses 2-pt shot from 1 ft
10:24.0,Defensive rebound by N. Hilario,,35-22,,
10:16.0,P. Tucker makes 3-pt shot from 23 ft (assist by C. Paul),3,38-22,,
9:57.0,,,38-22,,I. Thomas misses 2-pt shot from 9 ft
9:54.0,Defensive rebound by P. Tucker,,38-22,,
9:47.0,R. Anderson makes 3-pt shot from 23 ft (assist by C. Paul),3,41-22,,
9:46.0,,,41-22,,Cleveland full timeout
9:46.0,C. Capela enters the game for N. Hilario,,41-22,,
9:33.0,,,41-22,,Turnover by D. Wade (out of bounds lost ball)
9:33.0,,,41-22,,T. Thompson enters the game for J. Green
9:22.0,P. Tucker misses 3-pt shot from 23 ft,,41-22,,
9:19.0,Offensive rebound by R. Anderson,,41-22,,
9:17.0,R. Anderson makes 2-pt shot at rim,2,43-22,,
9:04.0,,,43-25,3,D. Rose makes 3-pt shot from 22 ft (assist by K. Korver)
8:58.0,G. Green misses 3-pt shot from 25 ft,,43-25,,
8:55.0,,,43-25,,Defensive rebound by D. Rose
8:48.0,,,43-25,,D. Wade misses 2-pt shot from 1 ft (block by C. Capela)
8:45.0,Defensive rebound by G. Green,,43-25,,
8:39.0,C. Capela makes 2-pt shot from 1 ft (assist by C. Paul),2,45-25,,
8:27.0,,,45-25,,I. Thomas misses 2-pt shot from 1 ft
8:25.0,Defensive rebound by C. Capela,,45-25,,
8:16.0,R. Anderson makes 3-pt shot from 29 ft (assist by C. Paul),3,48-25,,
7:58.0,,,48-25,,K. Korver misses 3-pt shot from 22 ft
7:55.0,Defensive rebound by P. Tucker,,48-25,,
7:47.0,C. Paul misses 2-pt shot from 12 ft,,48-25,,
7:44.0,,,48-25,,Defensive rebound by K. Korver
7:39.0,,,48-25,,D. Wade misses 3-pt shot from 26 ft
7:35.0,Defensive rebound by C. Capela,,48-25,,
7:33.0,R. Anderson misses 3-pt shot from 26 ft,,48-25,,
7:31.0,,,48-25,,Defensive rebound by I. Thomas
7:22.0,,,48-25,,Turnover by I. Thomas (traveling)
7:22.0,,,48-25,,J. Smith enters the game for D. Wade
7:22.0,,,48-25,,L. James enters the game for K. Korver
7:22.0,L. Mbah a Moute enters the game for C. Paul,,48-25,,
7:22.0,J. Harden enters the game for P. Tucker,,48-25,,
7:10.0,J. Harden misses 3-pt shot from 24 ft,,48-25,,
7:08.0,,,48-25,,Defensive rebound by I. Thomas
7:05.0,,,48-25,,Shooting foul by R. Anderson (drawn by D. Rose)
7:05.0,,,48-26,1,D. Rose makes free throw 1 of 2
7:05.0,,,48-27,1,D. Rose makes free throw 2 of 2
6:41.0,G. Green misses 3-pt shot from 26 ft,,48-27,,
6:37.0,,,48-27,,Defensive rebound by J. Smith
6:33.0,,,48-27,,D. Rose misses 3-pt shot from 23 ft
6:29.0,Defensive rebound by R. Anderson,,48-27,,
6:19.0,C. Capela misses 2-pt shot at rim (block by D. Rose),,48-27,,
6:17.0,,,48-27,,Defensive rebound by J. Smith
6:09.0,,,48-29,2,T. Thompson makes 2-pt shot from 1 ft (assist by L. James)
5:48.0,J. Harden makes 2-pt shot from 1 ft,2,50-29,,
5:33.0,,,50-31,2,I. Thomas makes 2-pt shot at rim
5:23.0,G. Green misses 2-pt shot from 1 ft,,50-31,,
5:20.0,,,50-31,,Defensive rebound by T. Thompson
5:16.0,,,50-31,,I. Thomas misses 3-pt shot from 24 ft
5:13.0,Defensive rebound by J. Harden,,50-31,,
5:06.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,52-31,,
5:06.0,,,52-31,,Cleveland full timeout
5:06.0,,,52-31,,J. Crowder enters the game for I. Thomas
5:06.0,C. Paul enters the game for G. Green,,52-31,,
5:06.0,P. Tucker enters the game for R. Anderson,,52-31,,
4:48.0,,,52-31,,L. James misses 2-pt shot at rim
4:44.0,Defensive rebound by J. Harden,,52-31,,
4:41.0,J. Harden misses 3-pt shot from 27 ft,,52-31,,
4:37.0,,,52-31,,Defensive rebound by J. Smith
4:20.0,,,52-31,,D. Rose misses 2-pt shot from 21 ft
4:17.0,Defensive rebound by P. Tucker,,52-31,,
4:11.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,54-31,,
3:54.0,,,54-31,,T. Thompson misses 2-pt shot at rim
3:51.0,Defensive rebound by P. Tucker,,54-31,,
3:41.0,L. Mbah a Moute makes 3-pt shot from 23 ft (assist by P. Tucker),3,57-31,,
3:20.0,,,57-34,3,J. Smith makes 3-pt shot from 26 ft (assist by J. Crowder)
3:01.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,59-34,,
2:39.0,,,59-34,,L. James misses 2-pt shot at rim (block by C. Capela)
2:36.0,,,59-34,,Offensive rebound by D. Rose
2:35.0,,,59-37,3,J. Smith makes 3-pt shot from 25 ft (assist by D. Rose)
2:35.0,Houston full timeout,,59-37,,
2:35.0,,,59-37,,D. Wade enters the game for D. Rose
2:35.0,,,59-37,,J. Green enters the game for T. Thompson
2:35.0,N. Hilario enters the game for C. Capela,,59-37,,
2:20.0,,,59-37,,Personal foul by J. Green (drawn by J. Harden)
2:11.0,C. Paul makes 2-pt shot from 15 ft (assist by J. Harden),2,61-37,,
2:04.0,Personal block foul by P. Tucker (drawn by L. James),,61-37,,
1:52.0,,,61-37,,J. Smith misses 2-pt shot from 14 ft
1:47.0,,,61-37,,Offensive rebound by D. Wade
1:47.0,,,61-39,2,D. Wade makes 2-pt shot at rim
1:33.0,L. Mbah a Moute makes 2-pt shot at rim (assist by J. Harden),2,63-39,,
1:20.0,,,63-39,,J. Smith misses 3-pt shot from 25 ft
1:18.0,,,63-39,,Offensive rebound by Team
1:18.0,Loose ball foul by C. Paul (drawn by J. Green),,63-39,,
1:00.0,,,63-39,,Turnover by D. Wade (lost ball; steal by L. Mbah a Moute)
0:49.0,N. Hilario makes 2-pt shot at rim (assist by J. Harden),2,65-39,,
0:49.0,Shooting foul by J. Smith (drawn by N. Hilario),,65-39,,
0:49.0,N. Hilario misses free throw 1 of 1,,65-39,,
0:46.0,Offensive rebound by P. Tucker,,65-39,,
0:34.0,J. Harden misses 3-pt shot from 30 ft,,65-39,,
0:31.0,,,65-39,,Defensive rebound by L. James
0:10.0,,,65-39,,J. Green misses 3-pt shot from 28 ft
0:07.0,Defensive rebound by N. Hilario,,65-39,,
0:01.0,C. Paul misses 3-pt shot from 28 ft,,65-39,,
0:00.0,,,65-39,,Defensive rebound by L. James
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,65-42,3,L. James makes 3-pt shot from 26 ft (assist by I. Thomas)
11:30.0,R. Anderson makes 3-pt shot from 30 ft (assist by C. Paul),3,68-42,,
11:10.0,,,68-44,2,I. Thomas makes 2-pt shot at rim (assist by L. James)
10:54.0,J. Harden makes 3-pt shot from 23 ft,3,71-44,,
10:38.0,,,71-47,3,J. Smith makes 3-pt shot from 24 ft (assist by L. James)
10:23.0,R. Anderson misses 3-pt shot from 30 ft,,71-47,,
10:21.0,,,71-47,,Defensive rebound by J. Smith
10:12.0,,,71-47,,J. Smith misses 3-pt shot from 26 ft
10:10.0,Defensive rebound by C. Paul,,71-47,,
10:05.0,C. Paul makes 3-pt shot from 26 ft,3,74-47,,
9:54.0,,,74-49,2,J. Crowder makes 2-pt shot from 22 ft (assist by I. Thomas)
9:35.0,J. Harden misses 3-pt shot from 25 ft,,74-49,,
9:33.0,,,74-49,,Defensive rebound by J. Smith
9:29.0,Personal foul by C. Paul (drawn by T. Thompson),,74-49,,
9:25.0,,,74-49,,Turnover by I. Thomas (bad pass; steal by C. Paul)
9:19.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by J. Harden),2,76-49,,
9:05.0,,,76-49,,L. James misses 3-pt shot from 27 ft
9:02.0,Defensive rebound by J. Harden,,76-49,,
8:51.0,C. Paul makes 3-pt shot from 33 ft (assist by J. Harden),3,79-49,,
8:21.0,,,79-49,,I. Thomas misses 3-pt shot from 25 ft
8:17.0,Defensive rebound by J. Harden,,79-49,,
8:10.0,C. Capela misses 2-pt shot at rim,,79-49,,
8:07.0,,,79-49,,Defensive rebound by T. Thompson
8:03.0,,,79-49,,L. James misses 2-pt shot from 9 ft
8:01.0,Defensive rebound by L. Mbah a Moute,,79-49,,
7:37.0,J. Harden makes 2-pt shot from 18 ft,2,81-49,,
7:24.0,,,81-49,,Turnover by I. Thomas (bad pass; steal by R. Anderson)
7:23.0,,,81-49,,Personal foul by J. Crowder (drawn by C. Paul)
7:15.0,C. Paul misses 3-pt shot from 31 ft,,81-49,,
7:13.0,,,81-49,,Defensive rebound by I. Thomas
7:11.0,,,81-49,,Shooting foul by C. Paul (drawn by J. Smith)
7:11.0,,,81-50,1,J. Smith makes free throw 1 of 2
7:11.0,,,81-50,,J. Smith misses free throw 2 of 2
7:08.0,Defensive rebound by L. Mbah a Moute,,81-50,,
7:05.0,Shooting foul by J. Smith (drawn by J. Harden),,81-50,,
7:05.0,J. Harden makes free throw 1 of 2,1,82-50,,
7:05.0,J. Harden makes free throw 2 of 2,1,83-50,,
6:43.0,,,83-50,,J. Crowder misses 2-pt shot from 20 ft
6:40.0,Defensive rebound by C. Paul,,83-50,,
6:26.0,C. Paul makes 2-pt shot from 8 ft,2,85-50,,
6:17.0,Personal foul by C. Paul (drawn by J. Crowder),,85-50,,
6:17.0,,,85-50,,Cleveland full timeout
6:17.0,P. Tucker enters the game for C. Paul,,85-50,,
6:17.0,G. Green enters the game for R. Anderson,,85-50,,
6:06.0,,,85-50,,L. James misses 2-pt shot from 13 ft
6:01.0,Defensive rebound by P. Tucker,,85-50,,
5:45.0,J. Harden misses 3-pt shot from 29 ft,,85-50,,
5:42.0,,,85-50,,Defensive rebound by J. Smith
5:39.0,Personal foul by G. Green (drawn by J. Smith),,85-50,,
5:39.0,Houston full timeout,,85-50,,
5:23.0,,,85-53,3,J. Crowder makes 3-pt shot from 23 ft (assist by I. Thomas)
4:55.0,J. Harden misses 3-pt shot from 35 ft,,85-53,,
4:53.0,,,85-53,,Defensive rebound by I. Thomas
4:47.0,,,85-55,2,I. Thomas makes 2-pt shot from 1 ft
4:30.0,G. Green misses 2-pt shot from 19 ft,,85-55,,
4:30.0,,,85-55,,Defensive rebound by J. Crowder
4:21.0,,,85-55,,Shooting foul by G. Green (drawn by L. James)
4:21.0,,,85-56,1,L. James makes free throw 1 of 2
4:21.0,N. Hilario enters the game for C. Capela,,85-56,,
4:21.0,,,85-57,1,L. James makes free throw 2 of 2
4:14.0,Turnover by J. Harden (lost ball; steal by T. Thompson),,85-57,,
4:04.0,,,85-57,,Shooting foul by G. Green (drawn by I. Thomas)
4:04.0,,,85-58,1,I. Thomas makes free throw 1 of 2
4:04.0,R. Anderson enters the game for G. Green,,85-58,,
4:04.0,,,85-59,1,I. Thomas makes free throw 2 of 2
3:37.0,J. Harden misses 2-pt shot from 10 ft,,85-59,,
3:33.0,Offensive rebound by N. Hilario,,85-59,,
3:28.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,85-59,,
3:27.0,Offensive rebound by Team,,85-59,,
3:27.0,,,85-59,,Loose ball foul by J. Crowder (drawn by N. Hilario)
3:14.0,Shooting foul by J. Crowder (drawn by L. Mbah a Moute),,85-59,,
3:14.0,L. Mbah a Moute makes free throw 1 of 2,1,86-59,,
3:14.0,L. Mbah a Moute makes free throw 2 of 2,1,87-59,,
2:55.0,,,87-59,,J. Crowder misses 3-pt shot from 23 ft
2:52.0,Defensive rebound by N. Hilario,,87-59,,
2:46.0,L. Mbah a Moute misses 2-pt shot from 2 ft (block by J. Smith),,87-59,,
2:42.0,Offensive rebound by R. Anderson,,87-59,,
2:29.0,J. Harden misses 3-pt shot from 31 ft,,87-59,,
2:27.0,Offensive rebound by P. Tucker,,87-59,,
2:23.0,R. Anderson makes 3-pt shot from 26 ft (assist by P. Tucker),3,90-59,,
2:11.0,,,90-61,2,T. Thompson makes 2-pt shot from 1 ft (assist by J. Smith)
2:00.0,P. Tucker makes 3-pt shot from 24 ft (assist by R. Anderson),3,93-61,,
1:59.0,,,93-61,,Cleveland full timeout
1:59.0,G. Green enters the game for L. Mbah a Moute,,93-61,,
1:43.0,,,93-63,2,I. Thomas makes 2-pt shot from 8 ft (assist by L. James)
1:33.0,G. Green misses 3-pt shot from 27 ft,,93-63,,
1:28.0,,,93-63,,Defensive rebound by T. Thompson
1:23.0,,,93-66,3,J. Crowder makes 3-pt shot from 25 ft (assist by L. James)
1:10.0,Shooting foul by J. Smith (drawn by N. Hilario),,93-66,,
1:10.0,N. Hilario makes free throw 1 of 2,1,94-66,,
1:10.0,N. Hilario misses free throw 2 of 2,,94-66,,
1:08.0,,,94-66,,Defensive rebound by L. James
1:00.0,,,94-66,,Shooting foul by N. Hilario (drawn by T. Thompson)
1:00.0,,,94-66,,T. Thompson misses free throw 1 of 2
1:00.0,,,94-66,,Offensive rebound by Team
1:00.0,,,94-67,1,T. Thompson makes free throw 2 of 2
0:50.0,Turnover by J. Harden (bad pass; steal by L. James),,94-67,,
0:45.0,,,94-67,,Turnover by L. James (bad pass; steal by J. Harden)
0:40.0,Turnover by J. Harden (bad pass; steal by L. James),,94-67,,
0:29.0,,,94-67,,I. Thomas misses 2-pt shot from 16 ft
0:27.0,Defensive rebound by J. Harden,,94-67,,
0:06.0,G. Green makes 3-pt shot from 26 ft (assist by N. Hilario),3,97-67,,
0:00.0,,,97-69,2,T. Thompson makes 2-pt shot from 17 ft (assist by L. James)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,Shooting foul by J. Green (drawn by R. Anderson),,97-69,,
11:42.0,R. Anderson misses free throw 1 of 3,,97-69,,
11:42.0,Offensive rebound by Team,,97-69,,
11:42.0,R. Anderson makes free throw 2 of 3,1,98-69,,
11:42.0,R. Anderson makes free throw 3 of 3,1,99-69,,
11:30.0,,,99-72,3,K. Korver makes 3-pt shot from 28 ft (assist by J. Green)
11:15.0,Offensive foul by N. Hilario (drawn by C. Frye),,99-72,,
11:15.0,Turnover by N. Hilario (offensive foul),,99-72,,
11:07.0,,,99-72,,D. Rose misses 3-pt shot from 23 ft
11:05.0,Defensive rebound by N. Hilario,,99-72,,
10:51.0,G. Green makes 3-pt shot from 30 ft,3,102-72,,
10:37.0,,,102-72,,D. Wade misses 2-pt shot from 12 ft
10:34.0,Defensive rebound by R. Anderson,,102-72,,
10:28.0,C. Paul misses 2-pt shot from 8 ft,,102-72,,
10:27.0,Offensive rebound by Team,,102-72,,
10:27.0,,,102-72,,Loose ball foul by D. Wade (drawn by N. Hilario)
10:21.0,P. Tucker misses 3-pt shot from 24 ft,,102-72,,
10:21.0,,,102-72,,Defensive rebound by C. Frye
10:17.0,Personal foul by P. Tucker (drawn by D. Rose),,102-72,,
10:06.0,,,102-74,2,J. Green makes 2-pt shot from 6 ft (assist by D. Rose)
9:54.0,R. Anderson misses 3-pt shot from 28 ft,,102-74,,
9:50.0,,,102-74,,Defensive rebound by C. Frye
9:36.0,,,102-74,,Turnover by D. Rose (lost ball; steal by G. Green)
9:36.0,,,102-74,,Personal foul by D. Rose (drawn by G. Green)
9:21.0,R. Anderson makes 2-pt shot from 1 ft (assist by N. Hilario),2,104-74,,
9:00.0,,,104-74,,J. Green misses 2-pt shot from 22 ft
9:00.0,Defensive rebound by C. Paul,,104-74,,
8:50.0,R. Anderson makes 3-pt shot from 23 ft (assist by C. Paul),3,107-74,,
8:32.0,,,107-74,,D. Rose misses 2-pt shot from 9 ft
8:29.0,Defensive rebound by C. Paul,,107-74,,
8:22.0,G. Green misses 3-pt shot from 27 ft,,107-74,,
8:19.0,Offensive rebound by C. Paul,,107-74,,
8:12.0,N. Hilario makes 2-pt shot at rim (assist by C. Paul),2,109-74,,
8:12.0,,,109-74,,Cleveland full timeout
8:12.0,J. Harden enters the game for N. Hilario,,109-74,,
8:12.0,C. Capela enters the game for C. Paul,,109-74,,
8:01.0,,,109-74,,D. Wade misses 2-pt shot from 17 ft
7:59.0,Defensive rebound by C. Capela,,109-74,,
7:39.0,P. Tucker misses 3-pt shot from 23 ft,,109-74,,
7:37.0,,,109-74,,Defensive rebound by Team
7:28.0,,,109-74,,C. Frye misses 3-pt shot from 25 ft
7:24.0,Defensive rebound by C. Capela,,109-74,,
7:16.0,G. Green misses 3-pt shot from 22 ft,,109-74,,
7:10.0,,,109-74,,Defensive rebound by J. Green
7:07.0,,,109-76,2,D. Rose makes 2-pt shot at rim (assist by J. Green)
6:56.0,,,109-76,,Violation by D. Rose (kicked ball)
6:44.0,Shooting foul by J. Green (drawn by C. Capela),,109-76,,
6:44.0,C. Capela makes free throw 1 of 2,1,110-76,,
6:44.0,C. Capela makes free throw 2 of 2,1,111-76,,
6:38.0,,,111-76,,Offensive foul by J. Green (drawn by J. Harden)
6:38.0,,,111-76,,Turnover by J. Green (offensive foul)
6:38.0,,,111-76,,C. Osman enters the game for K. Korver
6:26.0,J. Harden misses 3-pt shot from 28 ft,,111-76,,
6:22.0,,,111-76,,Defensive rebound by C. Frye
6:16.0,,,111-76,,D. Rose misses 2-pt shot from 21 ft
6:11.0,Defensive rebound by C. Capela,,111-76,,
5:54.0,J. Harden misses 3-pt shot from 27 ft,,111-76,,
5:50.0,,,111-76,,Defensive rebound by C. Osman
5:42.0,,,111-78,2,D. Wade makes 2-pt shot at rim (assist by C. Osman)
5:26.0,C. Capela misses 2-pt shot from 6 ft,,111-78,,
5:25.0,,,111-78,,Defensive rebound by C. Frye
5:24.0,,,111-78,,Turnover by C. Frye (bad pass)
5:24.0,M. Brown enters the game for J. Harden,,111-78,,
5:24.0,T. Black enters the game for C. Capela,,111-78,,
5:12.0,M. Brown misses 3-pt shot from 24 ft,,111-78,,
5:08.0,,,111-78,,Defensive rebound by C. Frye
5:00.0,,,111-78,,D. Wade misses 2-pt shot from 11 ft
4:58.0,Defensive rebound by R. Anderson,,111-78,,
4:41.0,G. Green makes 2-pt shot from 1 ft,2,113-78,,
4:23.0,,,113-80,2,J. Green makes 2-pt shot from 1 ft
4:01.0,R. Anderson misses 2-pt shot from 18 ft,,113-80,,
3:58.0,,,113-80,,Defensive rebound by C. Frye
3:53.0,,,113-82,2,C. Osman makes 2-pt shot from 14 ft (assist by D. Wade)
3:36.0,M. Brown makes 2-pt shot from 14 ft,2,115-82,,
3:26.0,,,115-82,,Shooting foul by G. Green (drawn by C. Frye)
3:26.0,,,115-83,1,C. Frye makes free throw 1 of 2
3:26.0,,,115-83,,J. Calderon enters the game for D. Wade
3:26.0,L. Mbah a Moute enters the game for R. Anderson,,115-83,,
3:26.0,,,115-83,,C. Frye misses free throw 2 of 2
3:24.0,Defensive rebound by P. Tucker,,115-83,,
3:15.0,M. Brown misses 3-pt shot from 24 ft,,115-83,,
3:11.0,,,115-83,,Defensive rebound by C. Osman
3:05.0,,,115-85,2,C. Osman makes 2-pt shot at rim
2:40.0,T. Black makes 2-pt shot from 1 ft (assist by L. Mbah a Moute),2,117-85,,
2:31.0,,,117-85,,D. Rose misses 2-pt shot from 1 ft
2:28.0,Defensive rebound by M. Brown,,117-85,,
2:24.0,P. Tucker misses 3-pt shot from 22 ft,,117-85,,
2:22.0,,,117-85,,Defensive rebound by J. Green
2:15.0,,,117-85,,C. Frye misses 2-pt shot from 15 ft
2:13.0,Defensive rebound by G. Green,,117-85,,
2:08.0,G. Green makes 2-pt shot from 1 ft,2,119-85,,
2:08.0,Shooting foul by J. Green (drawn by G. Green),,119-85,,
2:08.0,Houston full timeout,,119-85,,
2:08.0,G. Green makes free throw 1 of 1,1,120-85,,
1:52.0,Shooting block foul by P. Tucker (drawn by D. Rose),,120-85,,
1:52.0,,,120-85,,D. Rose misses free throw 1 of 2
1:52.0,,,120-85,,Offensive rebound by Team
1:52.0,,,120-86,1,D. Rose makes free throw 2 of 2
1:41.0,M. Brown misses 3-pt shot from 29 ft,,120-86,,
1:37.0,,,120-86,,Defensive rebound by C. Osman
1:25.0,,,120-86,,D. Rose misses 3-pt shot from 26 ft
1:21.0,Defensive rebound by M. Brown,,120-86,,
